"","Table 1#7#5# Relation of Gross Domestic Product, Gross National ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46"
"11","4","Equals: Gross national product","A001RC1",990.5,1044.7,1134.4,1246.4,1394.9,1515,1650.7,1841.4,2050.4,2315.3,2594.2,2822.3,3159.8,3289.7,3571.7,3967.2,4244,4477.7,4754,5123.8,5508.1,5835,6022,6371.4,6698.5,7109.2,7444.3,7870.1,8355.8,8810.8,9381.3,9989.2,10338.1,10691.4,11210.9,11944.5,12720.1,13449.6,14151.9,14460.7,14117.2,14708.2,15327.5
"12","5","Less: Consumption of fixed capital","A262RC1",99.2,108.3,117.8,127.2,140.8,163.7,190.4,208.2,231.8,261.4,298.9,344.1,393.3,433.5,451.1,474.3,505.4,538.5,571.1,611,651.5,691.2,724.4,744.4,778,819.2,869.5,912.5,963.8,1020.5,1094.4,1184.3,1256.2,1305,1354.1,1432.8,1541.4,1660.7,1767.5,1854.1,1866.3,1873.4,1936.8
"13","6","        Private","A024RC1",74.5,81.7,89.5,97.7,109.5,127.8,150.4,165.5,186.1,212,244.5,282.3,323.2,356.4,369.5,387.5,412.8,439.1,464.5,497.1,529.6,560.4,585.4,599.9,626.4,661,704.6,743.4,789.7,841.6,907.2,986.8,1051.6,1094,1135.9,1200.9,1290.8,1391.4,1476.2,1542.9,1542.8,1539.9,1587.4
"14","7","          Domestic business","W276RC1",61.9,68.2,74.6,81.2,90.6,106.1,125.8,138.5,155.5,176.4,203.5,235.4,271.2,300.7,311.4,326,348,369.9,390.3,417.6,444.4,469.8,490.6,500.9,521.2,549.4,586,619.2,658.5,702.1,756.8,824.3,876.5,908.5,935.4,978.7,1045.7,1123.3,1190.7,1248.3,1250,1245,1285.7
"15","8","            Capital consumption allowances","Y0000C1",68.8,73.8,79.4,88.3,96.8,107.6,118.4,128.5,146.1,165.5,189.7,216.9,269.3,309.4,347.9,393.5,445.6,458.5,475.3,501.3,521.3,521.2,530.1,541.3,567.4,605.1,651.1,697.4,757.2,810.6,883.8,945.3,1018.8,1110.9,1125.3,1138.8,965.6,1027.7,1087.2,1325.2,1282.9,1316,1509.5
"16","9","            Less: Capital consumption adjustment","Y0004C1",6.9,5.7,4.8,7.1,6.2,1.5,-7.3,-10,-9.3,-10.9,-13.8,-18.5,-1.9,8.7,36.5,67.5,97.6,88.6,84.9,83.7,76.9,51.4,39.5,40.4,46.2,55.7,65.1,78.2,98.7,108.5,126.9,121,142.3,202.4,189.9,160.1,-80.1,-95.6,-103.6,76.9,32.9,71,223.8
"17","10","          Households and institutions","W279RC1",12.6,13.5,14.9,16.5,18.8,21.7,24.7,27.1,30.7,35.5,41,46.9,52.1,55.8,58.1,61.5,64.8,69.2,74.1,79.5,85.2,90.6,94.8,99,105.2,111.5,118.7,124.2,131.2,139.5,150.4,162.5,175.1,185.5,200.5,222.2,245.1,268.1,285.5,294.6,292.7,294.9,301.7
"18","11","        Government","A264RC1",24.7,26.6,28.2,29.4,31.3,35.9,39.9,42.6,45.6,49.5,54.4,61.8,70.1,77.1,81.6,86.9,92.7,99.4,106.6,113.9,121.8,130.8,138.9,144.5,151.6,158.2,164.8,169.2,174.1,179,187.2,197.5,204.6,210.9,218.1,231.9,250.6,269.3,291.3,311.2,323.5,333.5,349.4
"19","12","          General government","A265RC1",22.5,24.1,25.5,26.3,27.8,31.6,34.9,37.1,39.6,42.8,46.9,53,60.1,66.2,70.1,74.7,79.7,85.6,92,98.3,105.1,112.9,120.1,124.7,130.5,135.8,141.2,144.5,148.1,151.9,158.5,166.8,172.5,177.3,182.8,193.4,208.7,224.7,243.2,259.6,270.4,278.2,291
"20","13","          Government enterprises","A266RC1",2.2,2.5,2.8,3.1,3.5,4.3,5.1,5.5,6,6.7,7.6,8.8,10,10.9,11.5,12.2,12.9,13.8,14.6,15.6,16.7,17.9,18.8,19.8,21.1,22.4,23.6,24.6,26,27.1,28.6,30.7,32.1,33.7,35.4,38.5,41.9,44.6,48.1,51.5,53.1,55.3,58.4
"21","14","Equals: Net national product","A027RC1",891.4,936.4,1016.6,1119.3,1254.1,1351.3,1460.3,1633.3,1818.6,2053.9,2295.3,2478.2,2766.4,2856.2,3120.6,3492.8,3738.6,3939.2,4182.9,4512.8,4856.6,5143.7,5297.6,5627.1,5920.5,6290.1,6574.9,6957.6,7392,7790.3,8286.9,8804.9,9081.9,9386.4,9856.9,10511.7,11178.7,11789,12384.4,12606.6,12250.9,12834.8,13390.8
"22","15","Less: Statistical discrepancy","A030RC1",2.9,6.9,11,8.9,8,9.8,16.3,23.5,21.2,26.1,47,45.3,36.6,4.8,49.7,31.5,42.3,67.7,32.9,-9.5,56.1,84.2,79.7,110,135.8,108.8,52.5,25.9,-14,-85.3,-71.1,-134,-103.4,-22.1,16.7,-22.3,-95.1,-242.3,-12,-2.4,118.3,23.3,31.9
"23","16","Equals: National income","A032RC1",888.5,929.5,1005.6,1110.3,1246.1,1341.5,1444,1609.8,1797.4,2027.9,2248.3,2433,2729.8,2851.4,3070.9,3461.3,3696.3,3871.5,4150,4522.3,4800.5,5059.5,5217.9,5517.1,5784.7,6181.3,6522.3,6931.7,7406,7875.6,8358,8938.9,9185.2,9408.5,9840.2,10534,11273.8,12031.2,12396.4,12609.1,12132.6,12811.4,13358.9
"24","17","Less: Corporate profits with inventory valuation and capital consumption adjustments","A051RC1",94.5,82.5,96.1,111.4,124.5,115.1,133.3,161.6,191.8,218.4,225.4,201.4,223.3,205.7,259.8,318.6,332.5,314.1,367.8,426.6,425.6,434.4,457.3,496.2,543.7,628.2,716.2,801.5,884.8,812.4,856.3,819.2,784.2,872.2,977.8,1246.9,1456.1,1608.3,1510.6,1248.4,1342.3,1702.4,1827
"25","18","      Taxes on production and imports less subsidies \1\","W254RC1",79.3,86.6,95.8,101.3,112,121.6,130.8,141.3,152.6,162,171.6,190.5,224.2,225.9,242,268.7,286.8,298.5,317.3,345,371.4,398,429.6,453.3,466.4,512.7,523.1,545.5,577.8,603.1,628.4,662.7,669,721.4,757.7,817,869.3,935.5,972.6,985.7,963.5,998,1036.2
"26","19","      Contributions for government social insurance, domestic","A061RC1",44.1,46.4,51.2,59.2,75.5,85.2,89.3,101.3,113.1,131.3,152.7,166.2,195.7,208.9,226,257.5,281.4,303.4,323.1,361.5,385.2,410.1,430.2,455,477.4,508.2,532.8,555.1,587.2,624.7,661.3,705.8,733.2,751.5,778.9,827.3,872.7,921.8,959.5,987.3,963.1,983.3,919.3
"27","20","      Net interest and miscellaneous payments on assets","W255RC1",32.7,39.1,43.9,47.9,55.2,70.8,81.6,85.5,101.1,115,138.9,181.8,232.3,271.1,285.3,327.1,341.5,367.1,366.7,385.3,434.1,444.2,418.2,387.7,364.6,362.2,358.3,371.1,407.6,479.3,481.4,539.3,544.4,506.4,504.1,461.6,543,652.2,731.6,870.1,640.5,567.9,527.4
"28","21","      Business current transfer payments (net)","B029RC1",4.9,4.5,4.3,4.9,6,7.1,9.4,9.5,8.5,10.8,13.3,14.7,17.9,20.6,22.6,30.3,35.2,36.9,34.1,33.6,39.2,40.1,39.9,40.7,40.5,41.9,45.8,53.8,51.3,65.2,69,87,101.3,82.4,76.1,81.7,95.9,83,103.3,123,133.4,140,132.6
"29","22","      Current surplus of government enterprises \1\","A108RC1",1,0,-0.2,0.5,-0.4,-0.9,-3.2,-1.8,-2.7,-2.2,-2.9,-5.1,-5.6,-4.5,-3.2,-1.9,0.6,0.9,0.2,2.6,4.9,1.6,5.7,8.2,8.7,9.6,13.1,14.4,14.1,13.3,14.1,9.1,4,6.3,7,1.2,-3.5,-4.2,-11.8,-16,-15.6,-19.5,-26.5
"30","23","      Wage accruals less disbursements","A062RC1",0,0,0.6,0,-0.1,-0.5,0.1,0.1,0.1,0.3,-0.2,0,0.1,0,-0.4,0.2,-0.2,0,0,0,0,0.1,-0.1,-15.8,6.4,17.6,16.4,3.6,-2.9,-0.7,5.2,0,0,0,15,-15,5,1.3,-6.3,-5,5,0,0
"31","24","Plus: Personal income receipts on assets","W210RC1",84.1,93.5,101,109.6,124.7,146.4,162.2,178.4,205.3,234.8,274.7,338.7,421.9,488.4,529.6,607.9,653.2,694.5,715.8,767,874.8,920.8,928.6,909.7,900.5,947.7,1005.4,1080.7,1165.5,1269.2,1246.8,1360.7,1346,1309.6,1312.9,1408.5,1542,1829.7,2057,2165.4,1626.5,1598.3,1685.1
"32","25","      Personal current transfer receipts","A577RC1",62.3,74.7,88.1,97.9,112.6,133.3,170,184,194.2,209.6,235.3,279.5,318.4,354.8,383.7,400.1,424.9,451,467.6,496.5,542.6,594.9,665.9,745.8,790.8,826.4,878.9,924.1,949.2,977.9,1021.6,1083,1188.1,1282.1,1341.7,1415.5,1508.6,1605,1718.5,1879.2,2140.1,2284.3,2319.2
"33","26","Equals: Personal income","A065RC1",778.3,838.6,903.1,992.6,1110.5,1222.7,1334.9,1474.7,1632.5,1836.7,2059.5,2301.5,2582.3,2766.8,2952.2,3268.9,3496.7,3696,3924.4,4231.2,4557.5,4846.7,5031.5,5347.3,5568.1,5874.8,6200.9,6591.6,7000.7,7525.4,7910.8,8559.4,8883.3,9060.1,9378.1,9937.2,10485.9,11268.1,11912.3,12460.2,11867,12321.9,12947.3
"34",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","27","  Gross domestic income","A261RC1",981.6,1031.4,1115.8,1228.9,1374.3,1489.6,1621.4,1801.1,2008.9,2267.7,2515.3,2742.9,3090.3,3248.4,3484.9,3899.4,4175.2,4392.3,4703.5,5110,5426,5716.3,5912.4,6232.3,6531.6,6976.4,7362.1,7812.5,8346.3,8878.8,9424.6,10085.5,10389.5,10664.4,11125.5,11875.6,12718,13619.5,14040.7,14294,13855.4,14475.6,15043.8
"36","28","  Gross national income","A023RC1",987.7,1037.8,1123.4,1237.5,1386.9,1505.2,1634.4,1818,2029.2,2289.3,2547.2,2777,3123.2,3285,3522,3935.6,4201.7,4409.9,4721.1,5133.3,5452,5750.8,5942.3,6261.5,6562.7,7000.4,7391.8,7844.2,8369.8,8896.1,9452.4,10123.2,10441.4,10713.5,11194.2,11966.8,12815.2,13691.9,14163.9,14463.1,13998.9,14684.9,15295.7
"37","29","  Gross national factor income \2\","X023RC1",902.4,946.7,1023.5,1130.8,1269.3,1377.4,1497.4,1669,1870.9,2118.7,2365.2,2576.9,2886.7,3042.9,3260.6,3638.6,3879.2,4073.7,4369.7,4752.2,5036.4,5311.1,5467.1,5759.3,6047.1,6436.2,6809.7,7230.6,7726.6,8214.5,8740.9,9364.4,9667.2,9903.4,10353.4,11066.9,11853.5,12677.7,13099.8,13370.4,12917.6,13566.4,14153.4
"38","30","  Net domestic product","A362RC1",885.2,930,1009,1110.7,1241.5,1335.8,1447.3,1616.4,1798.4,2032.3,2263.3,2444.1,2733.5,2819.7,3083.5,3456.5,3712,3921.6,4165.3,4489.4,4830.7,5109.3,5267.7,5598,5889.3,6266,6545.2,6925.9,7368.6,7772.9,8259.1,8767.2,9029.9,9337.3,9788.2,10420.5,11081.6,11716.5,12261.2,12437.5,12107.4,12625.5,13138.9
"39","31","  Net domestic income","W256RC1",882.4,923.1,998,1101.8,1233.5,1326,1431,1592.9,1777.1,2006.3,2216.4,2398.8,2696.9,2814.9,3033.8,3425,3669.7,3853.8,4132.4,4498.9,4774.6,5025.1,5188,5488,5753.5,6157.2,6492.7,6900,7382.5,7858.3,8330.2,8901.1,9133.3,9359.4,9771.5,10442.8,11176.7,11958.8,12273.2,12439.9,11989.1,12602.1,13107
"40","32","  Net national factor income \3\","X032RC1",803.2,838.4,905.7,1003.6,1128.5,1213.7,1307.1,1460.8,1639.1,1857.3,2066.3,2232.8,2493.3,2609.4,2809.5,3164.2,3373.7,3535.3,3798.6,4141.1,4385,4619.9,4742.7,5014.9,5269.1,5617,5940.3,6318.1,6762.8,7194,7646.5,8180.1,8410.9,8598.4,8999.3,9634.1,10312.2,11017,11332.3,11516.3,11051.3,11692.9,12216.6
"41","33","  Net domestic purchases","W367RC1",883.8,926.1,1008.4,1114.1,1237.4,1336.6,1431.3,1618,1821.4,2057.7,2285.9,2457.1,2746,2839.6,3135.2,3559.3,3827.2,4054.1,4310.2,4599.5,4918.6,5186.9,5294.7,5630.8,5953.7,6358.7,6635.9,7022.2,7469.9,7934.8,8521.2,9149.2,9400.9,9764.5,10292.3,11039.2,11804.3,12485.9,12974.2,13147.2,12496.1,13137.1,13707
"42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","1. Prior to 1959, current surplus of government enterprises (line 22) is not shown separately;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","subsidies are included net of the current surplus of government enterprises in line 18.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2. Consists of compensation of employees, proprietors' income with inventory valuation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","adjustment (IVA) and capital consumption adjustment (CCAdj), rental income of persons with",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","CCAdj, corporate profits with IVA and CCAdj, net interest and miscellaneous payments, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","consumption of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","3. Consists of gross national factor income less consumption of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
