"","Table 1#6#8# Contributions to Percent Change in the Gross Domest","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46"
"11","2","Personal consumption expenditures","DPCERS2",2.79,2.92,2.67,2.14,3.35,6.46,5.28,3.48,4.07,4.34,5.46,6.66,5.57,3.46,2.73,2.38,2.04,1.53,2.25,2.54,2.79,2.96,2.37,1.94,1.46,1.37,1.47,1.44,1.24,0.63,1.06,1.64,1.27,0.92,1.36,1.74,1.97,1.8,1.79,2.17,0.04,1.3,1.66
"12","3","  Goods","DGDSRS2",1.21,1.19,0.93,0.78,1.8,3.73,2.45,1.19,1.59,1.78,2.7,3.19,2.1,0.76,0.5,0.51,0.42,-0.12,0.83,0.68,0.99,1.04,0.62,0.3,0.21,0.25,0.23,0.27,-0.03,-0.36,0.12,0.48,-0.02,-0.25,-0.02,0.35,0.49,0.33,0.3,0.7,-0.6,0.38,0.86
"13","4","    Durable goods","DDURRS2",0.26,0.2,0.31,0.1,0.14,0.61,0.78,0.49,0.42,0.52,0.6,0.74,0.54,0.3,0.16,0.12,0.09,0.1,0.26,0.15,0.17,0.09,0.12,0.06,0.08,0.16,0.06,-0.09,-0.19,-0.25,-0.25,-0.16,-0.18,-0.23,-0.33,-0.17,-0.1,-0.14,-0.16,-0.15,-0.14,-0.1,-0.07
"14","5","      Motor vehicles and parts","DMOTRS2",0.08,0.11,0.17,0.01,0.02,0.22,0.32,0.26,0.22,0.27,0.28,0.24,0.23,0.14,0.1,0.1,0.09,0.11,0.18,0.06,0.11,0.01,0.09,0.06,0.13,0.16,0.14,0.07,0.01,-0.04,0.01,0.01,0.01,-0.02,-0.1,-0.02,0.05,0,-0.01,-0.05,0,0.14,0.08
"15","6","      Furnishings and durable household equipment","DFDHRS2",0.1,0.06,0.05,0.04,0.07,0.23,0.27,0.11,0.1,0.13,0.16,0.2,0.17,0.12,0.05,0.03,0.02,0.02,0.04,0.03,0.01,0.02,0.01,0.02,0.01,0.03,0,0.01,0,0,-0.03,-0.01,-0.04,-0.04,-0.06,-0.03,0,-0.01,-0.01,-0.01,-0.01,-0.07,-0.02
"16","7","      Recreational goods and vehicles","DREQRS2",0.04,0,0.06,0.03,0.03,0.08,0.12,0.07,0.05,0.07,0.08,0.1,0.07,0.04,-0.02,-0.02,-0.03,-0.06,-0.02,-0.01,-0.01,-0.02,-0.02,-0.06,-0.07,-0.04,-0.09,-0.16,-0.19,-0.19,-0.2,-0.15,-0.16,-0.15,-0.15,-0.12,-0.13,-0.15,-0.18,-0.13,-0.15,-0.17,-0.15
"17","8","      Other durable goods","DODGRS2",0.04,0.02,0.03,0.03,0.03,0.07,0.08,0.05,0.05,0.06,0.08,0.19,0.05,0.01,0.03,0.02,0.01,0.02,0.07,0.07,0.05,0.07,0.04,0.03,0.01,0.02,0.02,-0.01,-0.01,-0.02,-0.03,-0.01,0,-0.02,-0.02,0,-0.02,0.02,0.04,0.04,0.01,0.01,0.03
"18","9","    Nondurable goods","DNDGRS2",0.95,0.99,0.62,0.68,1.66,3.12,1.67,0.7,1.17,1.26,2.09,2.45,1.57,0.46,0.33,0.39,0.33,-0.22,0.57,0.53,0.82,0.96,0.5,0.24,0.13,0.09,0.17,0.35,0.16,-0.11,0.37,0.64,0.16,-0.01,0.31,0.52,0.59,0.47,0.46,0.84,-0.46,0.47,0.92
"19","10","      Food and beverages purchased for off-premises consumption","DFXARS2",0.44,0.55,0.23,0.45,1.13,1.39,0.73,0.18,0.53,0.81,0.83,0.72,0.6,0.22,0.09,0.22,0.08,0.16,0.21,0.2,0.34,0.32,0.21,0.05,0.09,0.1,0.13,0.18,0.11,0.07,0.09,0.12,0.15,0.08,0.1,0.15,0.09,0.08,0.19,0.29,0.06,0.02,0.2
"20","11","      Clothing and footwear","DCLORS2",0.24,0.17,0.16,0.08,0.14,0.32,0.19,0.13,0.17,0.07,0.08,0.14,0.12,0.05,0.05,0.02,0.07,-0.01,0.1,0.11,0.05,0.11,0.06,0.02,-0.02,-0.06,-0.07,-0.04,0,-0.05,-0.04,-0.03,-0.05,-0.07,-0.06,-0.01,-0.02,-0.01,-0.02,-0.02,0.02,-0.02,0.04
"21","12","      Gasoline and other energy goods","DGOERS2",0.08,0.04,0.04,0.03,0.25,0.94,0.21,0.14,0.2,0.13,0.9,1.17,0.46,-0.17,-0.13,-0.03,0.01,-0.55,0.07,0.01,0.17,0.28,-0.04,-0.02,-0.02,0,0.02,0.12,0,-0.22,0.12,0.44,-0.06,-0.11,0.27,0.31,0.44,0.29,0.23,0.44,-0.77,0.37,0.59
"22","13","      Other nondurable goods","DONGRS2",0.19,0.24,0.2,0.12,0.13,0.47,0.55,0.25,0.27,0.24,0.3,0.42,0.39,0.36,0.32,0.17,0.18,0.18,0.18,0.21,0.26,0.24,0.26,0.18,0.08,0.03,0.09,0.09,0.05,0.09,0.2,0.11,0.12,0.09,0.01,0.06,0.08,0.11,0.07,0.13,0.23,0.1,0.09
"23","14","  Services","DSERRS2",1.58,1.73,1.74,1.36,1.55,2.73,2.83,2.29,2.48,2.55,2.76,3.47,3.46,2.7,2.23,1.87,1.61,1.66,1.42,1.86,1.81,1.92,1.75,1.65,1.25,1.12,1.24,1.18,1.27,0.99,0.94,1.17,1.29,1.16,1.38,1.39,1.48,1.47,1.49,1.48,0.64,0.93,0.81
"24","15","    Household consumption expenditures","DHCERS2",1.51,1.68,1.68,1.31,1.48,2.57,2.73,2.24,2.41,2.48,2.66,3.37,3.4,2.75,2.32,1.91,1.64,1.69,1.44,1.87,1.89,2.02,1.85,1.77,1.32,1.12,1.24,1.15,1.21,0.9,0.89,1.08,1.22,1.15,1.41,1.4,1.41,1.43,1.46,1.46,0.7,0.95,0.79
"25","16","      Housing and utilities","DHUTRS2",0.33,0.46,0.54,0.4,0.47,0.59,0.85,0.77,0.93,0.75,0.86,1.14,1.22,1.04,0.75,0.58,0.6,0.55,0.42,0.46,0.47,0.51,0.4,0.34,0.35,0.31,0.33,0.36,0.33,0.28,0.28,0.39,0.54,0.35,0.38,0.31,0.41,0.51,0.42,0.43,0.14,0.04,0.18
"26","17","      Health care","DHLCRS2",0.29,0.33,0.24,0.2,0.23,0.47,0.59,0.52,0.46,0.47,0.55,0.71,0.76,0.73,0.62,0.51,0.41,0.41,0.47,0.59,0.69,0.7,0.67,0.65,0.51,0.38,0.35,0.22,0.19,0.17,0.2,0.25,0.3,0.25,0.37,0.36,0.31,0.3,0.36,0.27,0.29,0.28,0.2
"27","18","      Transportation services","DTRSRS2",0.11,0.14,0.14,0.08,0.09,0.16,0.21,0.15,0.14,0.13,0.17,0.31,0.23,0.11,0.07,0.08,0.04,0.02,0.09,0.1,0.1,0.08,0.06,0.06,0.07,0.03,0.05,0.03,0.06,0.04,0.04,0.08,0.03,0.01,0.05,0.03,0.08,0.09,0.05,0.11,0.06,0.04,0.05
"28","19","      Recreation services","DRCARS2",0.06,0.06,0.06,0.03,0.05,0.1,0.11,0.07,0.07,0.09,0.09,0.11,0.1,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.1,0.11,0.11,0.07,0.07,0.05,0.05,0.08,0.08,0.06,0.08,0.1,0.08,0.07,0.08,0.07,0.07,0.08,0.07,0.08,0.03,0.03,0.04
"29","20","      Food services and accommodations","DFSARS2",0.23,0.29,0.21,0.15,0.27,0.46,0.37,0.28,0.3,0.36,0.45,0.42,0.38,0.25,0.19,0.19,0.17,0.16,0.17,0.18,0.2,0.2,0.18,0.1,0.09,0.08,0.1,0.11,0.12,0.11,0.1,0.11,0.11,0.1,0.08,0.13,0.13,0.14,0.16,0.16,0.1,0.06,0.11
"30","21","      Financial services and insurance","DIFSRS2",0.25,0.15,0.18,0.19,0.07,0.25,0.24,0.13,0.25,0.43,0.19,0.27,0.25,0.2,0.36,0.25,0.17,0.23,0.11,0.25,0.15,0.21,0.2,0.35,0.06,0.08,0.19,0.2,0.29,0.12,0.05,0.05,-0.03,0.14,0.23,0.29,0.19,0.12,0.23,0.17,-0.06,0.35,0.09
"31","22","      Other services","DOTSRS2",0.25,0.25,0.31,0.26,0.3,0.54,0.36,0.31,0.25,0.25,0.34,0.41,0.46,0.35,0.26,0.24,0.17,0.25,0.12,0.21,0.19,0.21,0.24,0.21,0.18,0.19,0.17,0.15,0.15,0.11,0.14,0.11,0.18,0.23,0.22,0.2,0.22,0.2,0.17,0.25,0.14,0.16,0.12
"32","23","    Final consumption expenditures of nonprofit institutions serving households (NPISHs)","DNPIRS2",0.06,0.05,0.06,0.04,0.07,0.15,0.1,0.06,0.07,0.07,0.1,0.11,0.06,-0.06,-0.09,-0.05,-0.02,-0.04,-0.02,-0.01,-0.08,-0.11,-0.1,-0.13,-0.07,0,0,0.03,0.06,0.09,0.05,0.08,0.08,0.01,-0.03,-0.01,0.06,0.03,0.03,0.01,-0.06,-0.02,0.01
"33","24","Gross private domestic investment","A006RS2",0.75,0.65,0.76,0.68,0.93,1.7,1.88,0.83,1.25,1.48,1.71,1.71,1.67,0.87,-0.04,0.12,0.18,0.36,0.31,0.37,0.38,0.3,0.2,-0.05,0.16,0.19,0.17,-0.07,-0.06,-0.19,-0.02,0.19,0.14,0.06,0.17,0.52,0.73,0.7,0.31,0.17,-0.14,-0.15,0.18
"34","25","  Fixed investment","A007RS2",0.73,0.64,0.75,0.67,0.9,1.59,1.87,0.86,1.23,1.44,1.64,1.68,1.61,0.92,-0.03,0.1,0.21,0.39,0.3,0.4,0.37,0.3,0.21,-0.04,0.16,0.19,0.17,-0.04,-0.04,-0.15,-0.01,0.2,0.15,0.06,0.18,0.51,0.72,0.69,0.3,0.17,-0.15,-0.14,0.18
"35","26","    Nonresidential","A008RS2",0.43,0.5,0.49,0.35,0.42,1.09,1.49,0.59,0.74,0.78,1.02,1.15,1.27,0.73,-0.11,-0.03,0.1,0.2,0.1,0.24,0.23,0.21,0.16,-0.08,0,0.05,0.02,-0.13,-0.15,-0.26,-0.18,0.01,-0.05,-0.05,-0.04,0.14,0.33,0.35,0.23,0.22,-0.06,-0.14,0.16
"36","27","      Structures","A009RS2",0.25,0.25,0.29,0.27,0.3,0.55,0.46,0.18,0.31,0.37,0.49,0.44,0.68,0.42,-0.13,0.04,0.11,0.08,0.06,0.15,0.14,0.11,0.06,0,0.08,0.09,0.11,0.07,0.11,0.14,0.09,0.12,0.16,0.12,0.09,0.18,0.32,0.35,0.2,0.18,-0.09,-0.03,0.12
"37","28","      Equipment and software","A010RS2",0.19,0.25,0.2,0.08,0.12,0.54,1.02,0.41,0.43,0.41,0.53,0.71,0.58,0.31,0.02,-0.07,-0.01,0.12,0.04,0.09,0.09,0.1,0.1,-0.08,-0.07,-0.04,-0.09,-0.2,-0.26,-0.4,-0.27,-0.11,-0.21,-0.17,-0.13,-0.04,0.01,0,0.04,0.04,0.03,-0.11,0.04
"38","29","        Information processing equipment and software","A679RS2",0.01,0.01,-0.04,-0.04,0.01,0.03,0.11,0.02,-0.02,-0.09,-0.02,0.01,0.06,0.03,-0.08,-0.13,-0.11,-0.09,-0.09,-0.04,-0.07,-0.08,-0.05,-0.17,-0.13,-0.14,-0.17,-0.3,-0.31,-0.42,-0.31,-0.13,-0.23,-0.19,-0.19,-0.14,-0.1,-0.08,-0.06,-0.08,-0.09,-0.05,-0.03
"39","30","          Computers and peripheral equipment","B935RS2",-0.02,-0.03,-0.07,-0.06,-0.01,-0.06,-0.02,-0.04,-0.04,-0.14,-0.07,-0.11,-0.07,-0.06,-0.12,-0.16,-0.13,-0.11,-0.12,-0.05,-0.05,-0.07,-0.07,-0.11,-0.12,-0.09,-0.15,-0.25,-0.25,-0.3,-0.26,-0.14,-0.17,-0.11,-0.08,-0.05,-0.08,-0.08,-0.06,-0.06,-0.05,-0.02,-0.02
"40","31","          Software \1\","B985RS2",0,0,-0.01,0,0,0.01,0.01,0,0,-0.01,0.01,0.01,0.01,0.01,0,-0.01,-0.01,-0.02,0,-0.01,-0.04,-0.03,0,-0.08,-0.01,-0.03,-0.01,-0.03,-0.03,-0.04,0.02,0.05,0.01,-0.03,-0.04,-0.04,-0.01,0.02,0.01,0.01,-0.02,-0.02,0
"41","32","          Other","A937RS2",0.03,0.04,0.04,0.03,0.02,0.08,0.12,0.06,0.01,0.06,0.05,0.12,0.12,0.08,0.05,0.04,0.03,0.04,0.04,0.02,0.02,0.02,0.02,0.02,0,-0.01,-0.01,-0.03,-0.02,-0.08,-0.07,-0.05,-0.06,-0.05,-0.07,-0.05,-0.01,-0.02,-0.01,-0.03,-0.02,-0.01,0
"42","33","        Industrial equipment","A680RS2",0.07,0.1,0.08,0.04,0.05,0.19,0.39,0.16,0.17,0.17,0.21,0.28,0.2,0.1,0.04,0.02,0.03,0.07,0.07,0.07,0.06,0.08,0.05,0.03,0.02,0.03,0.06,0.04,0.01,0.01,0.01,0.01,0.01,0,0.01,0.03,0.04,0.04,0.05,0.06,0.01,0.01,0.03
"43","34","        Transportation equipment","A681RS2",0.06,0.08,0.08,0.04,0.02,0.17,0.18,0.11,0.14,0.18,0.18,0.2,0.13,0.07,0.02,0.02,0.05,0.1,0.02,0.02,0.05,0.04,0.06,0.03,0.01,0.04,-0.01,0.03,0.03,-0.01,0.02,0,-0.01,0.01,0.04,0.06,0.01,0.01,0.02,0.01,0.04,-0.04,0.02
"44","35","        Other equipment","A862RS2",0.05,0.05,0.07,0.04,0.03,0.15,0.34,0.12,0.15,0.15,0.16,0.22,0.19,0.12,0.03,0.03,0.03,0.04,0.03,0.04,0.06,0.06,0.04,0.03,0.02,0.02,0.03,0.03,0.02,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0.05,0.03,0.03,0.04,0.06,-0.03,0.02
"45","36","    Residential","A011RS2",0.29,0.14,0.26,0.32,0.48,0.51,0.38,0.27,0.49,0.66,0.62,0.53,0.34,0.19,0.09,0.13,0.11,0.19,0.19,0.16,0.14,0.1,0.05,0.04,0.15,0.14,0.15,0.09,0.11,0.11,0.17,0.19,0.2,0.11,0.22,0.37,0.4,0.34,0.07,-0.05,-0.1,0,0.02
"46","37","  Change in private inventories","A014RS2",0.02,0.01,0.02,0.01,0.03,0.11,0.01,-0.02,0.02,0.04,0.08,0.03,0.06,-0.05,-0.02,0.03,-0.03,-0.03,0.02,-0.04,0.01,-0.01,-0.01,-0.01,0,0,0,-0.02,-0.02,-0.04,-0.01,-0.01,0,0,-0.01,0.01,0.01,0.01,0.01,-0.01,0.01,-0.01,0
"47","38","    Farm","B018RS2",0,-0.01,0,0,0,-0.07,-0.02,-0.02,-0.02,-0.02,-0.01,-0.01,0,-0.04,-0.02,0,-0.03,-0.02,0,-0.06,-0.01,-0.01,0,-0.01,0,0,0,-0.01,-0.01,0,0,0,0,0,0,0,-0.01,0,0,0,0,0,-0.01
"48","39","    Nonfarm","A015RS2",0.02,0.02,0.01,0.01,0.03,0.18,0.03,0,0.04,0.06,0.08,0.04,0.07,0,0.01,0.03,0.01,-0.01,0.01,0.03,0.01,0,-0.01,0,0,0,0,-0.01,-0.01,-0.03,-0.01,-0.01,0,0,-0.01,0,0.01,0.01,0.01,-0.01,0.02,-0.01,0.01
"49","40","Government consumption expenditures and gross investment","A822RS2",1.37,1.82,1.71,1.63,1.51,2.1,2.16,1.41,1.43,1.28,1.63,2.15,1.97,1.33,0.82,1.02,0.62,0.37,0.58,0.54,0.62,0.81,0.7,0.52,0.49,0.51,0.5,0.43,0.32,0.23,0.54,0.67,0.46,0.46,0.75,0.77,1.02,0.85,0.85,0.91,-0.11,0.49,0.66
"50","41","  Federal","A823RS2",0.64,0.9,0.89,0.94,0.63,0.8,0.94,0.64,0.65,0.52,0.63,0.88,0.85,0.62,0.33,0.55,0.21,0.05,0.12,0.2,0.24,0.29,0.34,0.26,0.2,0.2,0.2,0.19,0.11,0.07,0.15,0.19,0.11,0.22,0.27,0.31,0.32,0.27,0.23,0.22,-0.02,0.19,0.22
"51","42","    National defense","A824RS2",0.52,0.67,0.7,0.81,0.49,0.6,0.62,0.45,0.45,0.4,0.45,0.63,0.6,0.46,0.24,0.49,0.13,-0.01,0.07,0.13,0.17,0.21,0.23,0.21,0.1,0.13,0.12,0.14,0.06,0.04,0.09,0.12,0.07,0.14,0.19,0.2,0.24,0.19,0.16,0.17,-0.04,0.13,0.16
"52","43","      Consumption expenditures","A997RS2",0.45,0.59,0.64,0.64,0.47,0.57,0.57,0.39,0.39,0.35,0.41,0.58,0.53,0.39,0.21,0.47,0.16,0.06,0.12,0.13,0.15,0.19,0.21,0.2,0.07,0.1,0.1,0.14,0.07,0.05,0.09,0.12,0.08,0.15,0.19,0.19,0.22,0.18,0.15,0.16,-0.04,0.12,0.15
"53","44","      Gross investment","A788RS2",0.07,0.08,0.06,0.17,0.02,0.03,0.05,0.06,0.06,0.06,0.04,0.05,0.07,0.07,0.03,0.02,-0.03,-0.07,-0.05,0,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0,-0.01,0,0.01,0,-0.01,0,0,0.01,0.01,0.01,0.01,0.02,0,0.01,0.01
"54","45","    Nondefense","A825RS2",0.13,0.23,0.19,0.13,0.14,0.21,0.32,0.18,0.2,0.12,0.18,0.26,0.25,0.16,0.09,0.06,0.08,0.06,0.04,0.07,0.07,0.08,0.11,0.05,0.11,0.08,0.08,0.05,0.05,0.03,0.05,0.07,0.04,0.08,0.08,0.11,0.09,0.07,0.07,0.05,0.02,0.06,0.06
"55","46","      Consumption expenditures","A542RS2",0.11,0.2,0.17,0.11,0.13,0.17,0.27,0.16,0.18,0.1,0.15,0.22,0.21,0.14,0.08,0.06,0.07,0.05,0.04,0.06,0.06,0.07,0.11,0.05,0.1,0.07,0.07,0.05,0.05,0.03,0.05,0.06,0.04,0.08,0.08,0.1,0.08,0.07,0.07,0.05,0.02,0.06,0.05
"56","47","      Gross investment","A798RS2",0.02,0.03,0.02,0.02,0.02,0.04,0.05,0.02,0.02,0.01,0.03,0.04,0.04,0.02,0,0,0,0,0,0.01,0.01,0.01,0.01,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0
"57","48","  State and local","A829RS2",0.72,0.92,0.82,0.69,0.88,1.3,1.22,0.78,0.78,0.76,1,1.27,1.12,0.71,0.49,0.47,0.41,0.32,0.46,0.35,0.39,0.52,0.36,0.25,0.28,0.31,0.31,0.24,0.21,0.16,0.39,0.48,0.35,0.25,0.48,0.46,0.7,0.59,0.62,0.68,-0.1,0.3,0.44
"58","49","      Consumption expenditures","A991RS2",0.53,0.68,0.62,0.55,0.69,0.86,0.93,0.72,0.69,0.63,0.8,1,0.88,0.58,0.47,0.46,0.38,0.27,0.39,0.29,0.34,0.46,0.33,0.25,0.24,0.26,0.24,0.21,0.18,0.14,0.35,0.41,0.3,0.2,0.45,0.36,0.54,0.45,0.46,0.57,-0.14,0.29,0.38
"59","50","      Gross investment","A799RS2",0.2,0.23,0.21,0.14,0.19,0.45,0.29,0.06,0.09,0.13,0.2,0.27,0.24,0.13,0.02,0.01,0.03,0.06,0.07,0.05,0.05,0.06,0.03,0.01,0.04,0.05,0.06,0.04,0.03,0.03,0.04,0.07,0.05,0.04,0.03,0.1,0.16,0.13,0.16,0.11,0.05,0,0.06
"60",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","51","  Final sales of computers to domestic purchasers \2\","W489RS2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.08,-0.13,-0.08,-0.07,-0.15,-0.18,-0.15,-0.15,-0.14,-0.07,-0.07,-0.1,-0.11,-0.16,-0.17,-0.13,-0.22,-0.38,-0.39,-0.46,-0.41,-0.23,-0.29,-0.2,-0.16,-0.1,-0.14,-0.14,-0.11,-0.11,-0.1,-0.05,-0.06
"62","52","  Gross domestic purchases excluding final sales of computers to domestic purchasers","BB05RS2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.89,10.65,9.28,5.74,3.65,3.7,2.99,2.41,3.28,3.51,3.86,4.16,3.38,2.57,2.27,2.2,2.36,2.19,1.89,1.13,1.99,2.73,2.17,1.64,2.44,3.12,3.86,3.5,3.06,3.36,-0.12,1.69,2.56
"63","53","  Food \3\","B981RS2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,0.22,0.04,0.15,0.22,0.14,0.34,0.32,0.21,0.05,0.09,0.1,0.13,0.17,0.1,0.06,0.09,0.12,0.15,0.08,0.09,0.16,0.08,0.08,0.19,0.3,0.06,0.02,0.18
"64","54","  Energy goods and services","B982RS2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,0.05,0.05,-0.59,0.05,0.03,0.22,0.31,0.01,0.02,0.03,0.01,0.03,0.15,0.03,-0.28,0.12,0.51,0.07,-0.18,0.36,0.37,0.58,0.41,0.27,0.56,-0.86,0.38,0.61
"65","55","  Gross domestic purchases excluding food and energy","B983RS2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.38,3.24,2.75,2.71,2.88,3.28,3.24,3.44,3.05,2.35,1.98,1.96,1.99,1.49,1.37,0.88,1.38,1.87,1.65,1.55,1.82,2.5,3.05,2.86,2.49,2.4,0.58,1.25,1.71
"66",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","1. Excludes software ""embedded,"" or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","2. Some components of final sales of computers include computer parts.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","3. Food excludes personal consumption expenditures for purchased meals and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","beverages, which are classified in food services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
