"","Table 1#1#7# Percent Change From Preceding Period in Prices for ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46"
"18","11","      Equipment and software","A010RV1",2.8,3.7,3,1.2,1.7,7.4,14.8,5.9,5.9,5.3,6.3,8.5,7.1,3.9,0.2,-0.9,-0.1,1.6,0.5,1.2,1.3,1.3,1.4,-1.2,-1,-0.6,-1.2,-2.4,-3,-4.4,-2.9,-1.2,-2.4,-2,-1.8,-0.5,0.1,0,0.5,0.5,0.5,-1.6,0.6
"19","12","    Residential","A011RV1",6.9,3.2,5.8,6.1,8.9,10.3,9.3,6.4,10.1,12.2,11.2,10.8,8.2,5.4,2.3,2.9,2.6,4.2,4.1,3.5,3.2,2.3,1.3,1.2,4,3.5,3.6,2.1,2.5,2.7,3.8,4.4,4.6,2.5,4.8,7.3,7.2,6.1,1.4,-1.2,-3.4,-0.2,0.9
"20","13","  Change in private inventories","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","14","Net exports of goods and services","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","15","  Exports","A020RV1",3.4,3.8,3.7,4.7,13.2,23.2,10.2,3.3,4.1,6.1,12,10.1,7.4,0.5,0.4,0.9,-3.1,-1.5,2.5,5.2,1.7,0.7,1.3,-0.4,0,1.1,2.3,-1.3,-1.7,-2.3,-0.6,1.8,-0.4,-0.4,2.1,3.5,3.6,3.4,3.3,4.7,-5.4,4.5,6.4
"23","16","    Goods","A253RV1",3.1,4.5,2.7,2.7,16.1,26.6,11.1,2.6,3.6,5.8,13.2,9.6,7.1,-1.1,-0.7,0.9,-5,-3.3,2.6,6.4,1.3,-0.9,-0.1,-1.6,-0.6,1.1,2.4,-2.6,-2.8,-3.2,-1.4,1.3,-0.6,-0.7,2,3.6,3.1,3.3,3.4,5,-6.8,5.1,7.6
"24","17","    Services","A646RV1",4.2,1.9,6.6,10.1,4.7,11.6,6.7,6,5.6,7.2,7.8,12.3,8.7,6.1,3.9,1.1,2.7,3.3,2.4,2,2.7,5.1,5,2.6,1.3,1.2,2.1,1.9,1,-0.1,1.2,3,0.1,0.2,2.6,3.3,4.6,3.7,3.3,4.1,-2.3,3.4,3.8
"25","18","  Imports","A021RV1",2.6,5.9,6.1,7,17.4,43.1,8.3,3,8.8,7.1,17.1,24.6,5.4,-3.4,-3.7,-0.9,-3.3,0,6.1,4.8,2.2,2.9,-0.8,0.1,-0.8,0.9,2.7,-1.7,-3.5,-5.4,0.6,4.3,-2.4,-1.1,3.5,4.8,6.2,4.1,3.5,10.6,-10.6,6,7.8
"26","19","    Goods","A255RV1",2.8,6.8,5.1,7.7,17.9,49.6,8.4,2.7,9.2,6.7,17.9,26.2,5.6,-4,-4.2,-0.7,-3.9,-2.2,7.1,4.8,2.8,1.8,-1.9,-0.5,-1.1,0.7,2.7,-2.5,-4.1,-6,0.1,4.9,-2.9,-1.8,2.9,4.9,6.5,4.2,3.5,11.6,-12.4,6.8,8.9
"27","20","    Services","A656RV1",2,3.6,9.1,5,15.7,18.9,8.1,4.5,7.1,9.1,12.9,16.1,4.3,0.1,-1.6,-1.7,-0.1,10.8,1.4,4.9,-0.5,7.5,3.7,2.8,0.8,2,3.1,2.5,0,-2,3.2,1.2,0,2.2,6.3,4.5,4.6,3.8,3.8,5.8,-2,2.6,3
"28","21","Government consumption expenditures and gross investment","A822RV1",6,8.2,7.8,7.7,7.3,10.1,10,6.6,6.9,6.4,8.4,10.9,9.8,6.6,4,5.1,3.1,1.8,2.8,2.7,3.1,4.1,3.5,2.5,2.5,2.7,2.7,2.4,1.8,1.4,3.2,4,2.7,2.6,4.2,4.3,5.8,4.8,4.8,4.9,-0.6,2.4,3.3
"29","22","  Federal","A823RV1",5.4,8.1,8.5,9.8,6.9,8.9,10.4,7.1,7.6,6.2,7.7,10.5,9.7,6.8,3.5,5.9,2.3,0.5,1.2,2.1,2.7,3.3,4,3.1,2.5,2.7,2.8,2.8,1.7,1.1,2.5,3.3,2,3.7,4.2,4.7,4.9,4.1,3.5,3.2,-0.2,2.4,2.8
"30","23","    National defense","A824RV1",5.5,7.7,8.9,11.5,7.3,9.3,9.8,7.3,7.6,7,8,10.9,9.9,7,3.5,7.1,1.9,-0.1,1,1.8,2.6,3.3,3.6,3.5,1.7,2.5,2.4,3.1,1.4,1.1,2.5,3.3,2,3.8,4.7,4.7,5.4,4.4,3.7,3.6,-0.7,2.3,3
"31","24","    Nondefense","A825RV1",5.2,9.6,7.6,5,5.6,8,12,6.7,7.5,4.3,7.1,9.7,9.3,6.2,3.4,2.5,3.4,2.5,1.9,3,3.1,3.4,5,2.1,4.4,3.2,3.5,2.1,2.2,1.3,2.6,3.3,2,3.6,3.5,4.9,3.9,3.5,3.2,2.3,0.9,2.4,2.2
"32","25","  State and local","A829RV1",6.7,8.2,7.1,6,7.7,11,9.8,6.2,6.5,6.6,8.9,11.2,9.9,6.4,4.4,4.5,3.9,3,4.2,3.1,3.5,4.6,3.1,2.2,2.5,2.7,2.7,2.2,1.9,1.5,3.6,4.4,3.1,2.1,4.2,4,6.3,5.3,5.5,5.9,-0.8,2.4,3.7
"33",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","26","  Gross national product","A001RV1",4.9,5.3,5,4.3,5.6,9,9.5,5.8,6.4,7,8.3,9.1,9.4,6.1,4,3.8,3,2.2,2.8,3.4,3.8,3.9,3.5,2.4,2.2,2.1,2.1,1.9,1.8,1.1,1.5,2.2,2.3,1.6,2.1,2.8,3.3,3.2,2.9,2.2,0.9,1.3,2.1
"35",NA,"  Implicit price deflators:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","27","    Gross domestic product \1\","A191RI1",4.9,5.3,5,4.3,5.5,9.1,9.5,5.7,6.4,7,8.3,9.1,9.4,6.1,4,3.8,3,2.2,2.9,3.4,3.8,3.9,3.5,2.4,2.2,2.1,2.1,1.9,1.8,1.1,1.5,2.2,2.3,1.6,2.1,2.8,3.3,3.2,2.9,2.2,0.9,1.3,2.1
"37","28","    Gross national product \1\","A001RI1",4.9,5.3,5,4.3,5.6,9.1,9.5,5.8,6.4,7,8.3,9.1,9.4,6.1,4,3.8,3,2.2,2.9,3.4,3.8,3.9,3.5,2.4,2.2,2.1,2.1,1.9,1.8,1.1,1.5,2.2,2.3,1.6,2.1,2.8,3.3,3.2,2.9,2.2,0.9,1.3,2.1
"38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","1. The percent change for this series is calculated from the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","implicit price deflator in NIPA table 1.1.9.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
