"","Table 1#8#6# Command-Basis Real Gross Domestic Product and Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"11","3","Plus: Imports of goods and services","A021RX1",51,52,46.1,48.6,54.8,56.9,59.9,58.9,57.2,56.3,54,54.9,56.4,59.5,73.4,73.6,73.6,71.1,65.1,63.4,70.8,70.4,74.7,81.4,79.4,83.5,83.2,79.1,74.5,81.2,76.3,77.1,81.6,86.2,87.7,90.9,94.7,94.2,95,90.7,97.9,98.6,96.7,97.1,98.5,102.7,101.2,106.5,109.2,114.5,115.6,112.6,116.9,117.8,114.3,108.9,108.4,109.7,117,119.7,123.4,126.1,127.7,129.2,126.3,129.2,132.5,132.1,131.9,134.9,138.5,142.3,137.2,153.3,154,161.5,165.7,169.8,179.3,181.3,184.2,182.7,185.1,194.8,206.3,209.5,222.1,220.2,199.4,238.8
"12","4","Equals: Gross domestic purchases","A712RX1",1726.4,1726.5,1725.2,1771.7,1814,1862.1,1873.2,1878.7,1838.2,1831.3,1858.7,1855.1,1933.9,1995.9,2089.3,2119.4,2141.8,2164.5,2196.9,2199.4,2225.9,2241,2270.1,2353,2396,2418.6,2399.6,2359.9,2347.2,2345.6,2369.3,2413.1,2484.7,2534.1,2562.9,2580.6,2568,2579.8,2573.3,2604.6,2620.6,2619.4,2646.5,2622.9,2565.9,2585.8,2644.4,2712.3,2762.5,2834,2827.9,2838,2890.6,2868.9,2873.6,2827.6,2845,2902.4,2958.4,3017.5,3076.4,3098.9,3138.7,3151.4,3186.1,3211.3,3285.1,3301.6,3365.9,3405.2,3457.2,3465.5,3566.5,3600.6,3686.6,3770.6,3871.8,3880.5,3924.1,3951.4,3985.4,3986.6,4026.2,4061.2,4150.7,4220.2,4249,4268.5,4342.2,4349.5
"13","5","Plus: Exports of goods and services, command basis \1\","C020RX1",140.1,146.8,144.1,128.1,121.4,108.1,107.2,101.8,112.3,109.9,99.9,85.5,83,83.8,84.9,91.8,98.6,111.5,117.2,116.6,119.7,105.9,96.7,96.9,95.6,95.9,99.1,95.1,90,102.3,98.9,103.3,107.1,104.5,111.1,111.6,116.7,124.7,128.8,135.4,144.6,140.5,136,131.1,116,115.6,115.6,115.3,121.7,125.6,130.3,127.6,143.6,151.8,148,149.9,149.4,149.1,147.6,153,152.1,164.6,154.9,151.2,154.5,172.1,162.1,169.4,179.5,181.8,181,187.6,170.6,201,188.8,200.4,199,207.5,200.3,208.7,215.6,212,204.8,209.5,214.9,221.3,229.1,224.6,198.7,240.4
"14","6","Less: Imports of goods and services, command basis \1\","C021RX1",57.3,61.8,56.8,60.6,69.1,71.2,72.8,70.5,67,65.7,63.2,64.3,67.4,72.2,90,92.9,97.4,98.8,92.9,89.7,95.9,93.4,96.7,103.4,99.9,103.8,102.6,97.2,92.2,100.7,95.3,96.2,100.2,105.4,106.7,110.2,114,113.3,113.7,108.8,116.7,116.9,113.1,111.8,109.9,113,110.8,116.8,119.5,125.6,127,124.5,128.6,128.9,125.2,118.4,117.9,119,126.4,129.1,130.8,133.5,134.3,136.2,133.8,137.4,141.4,140.8,141.4,144.8,147.8,151.6,146.8,162.7,163.8,172.4,176.7,181.3,189.3,191,193.2,190,190.8,198.8,209.7,212.3,223.1,219.8,198,234.9
"15","7","Equals: Command-basis gross domestic product \1,2\","C191RX1",1806.7,1810.2,1813.2,1847.6,1868,1895.1,1905.8,1915,1884.3,1869,1893.9,1875.4,1951,2007.4,2085.9,2126.1,2155.9,2192.2,2230.5,2231.7,2251.2,2248.8,2273.8,2348.7,2392.1,2410.1,2396.8,2355.7,2340.3,2340.3,2371.2,2422,2495.6,2533.5,2568,2591.3,2580.4,2591.8,2593,2630,2653.5,2647.7,2669.4,2628.2,2564.8,2577.6,2648.1,2719.4,2766.9,2832.5,2828.4,2838.5,2909.1,2892.2,2894.3,2852.7,2873.1,2929.9,2978.5,3042.9,3099.6,3128.5,3156.8,3162.7,3201.3,3243.5,3304,3333.7,3405.4,3441.3,3486.2,3498.4,3589.7,3637.9,3708.1,3795.9,3892.6,3901.6,3933.7,3969.4,4006.7,4004.4,4038.6,4070.6,4155.1,4225.6,4252.2,4271.4,4342.4,4352.5
"16","8","Plus: Income receipts from the rest of the world, command basis \1\","C645RX1",11,11.7,11.8,13,13.8,14.4,14.8,14.2,14.3,13.9,13.7,12.8,13.7,14.5,16.4,16.2,15.7,18,18.6,19.3,18,18.5,18.2,18.1,17.9,18.7,17.3,17.7,18.4,18.3,18.5,20.4,21.1,21.4,21.7,22.1,23.9,23.5,24.2,21.9,24.8,26.3,25.5,21.5,22,21.8,21.6,21.8,22.1,22.6,24.3,25.9,26.3,26.3,27,27.5,28.8,27.9,28.8,29.6,29.1,31.3,31.6,35.3,34.1,33.7,34.6,35.9,38.2,37.4,38.2,37,40.9,42.1,40.3,38.2,39.4,39.7,40,41.7,41.4,40.5,43.1,43.1,44.9,46.7,48.1,48,50.1,51.4
"17","9","Less: Income payments to the rest of the world, command basis \1\","C655RX1",3.6,3.5,3.4,4,3.8,3.9,4.5,4,4.6,4.5,4.7,4.8,5,5.2,5.3,5.3,5.7,5.7,5.6,5.5,5.2,5.6,5.6,5.8,5.8,5.8,6,6.2,6,5.9,5.8,5.8,6,6.6,6.7,6.7,6.7,6.5,6.8,6.9,6.9,6.9,7,7,7.1,6.6,6.9,7.3,7.7,8.1,8.6,9.1,10.2,9.8,9.7,9.3,9.4,9.5,9.8,10.1,9.7,9.9,9.9,10.1,10.2,10.7,11.1,11.5,11.7,12,12,12.7,12.8,13.1,13.5,13.9,14.1,14.4,15.4,15.8,15.8,15.8,15.6,16.4,17.5,18.6,19.1,19.4,21.5,24
"18","10","Equals: Command-basis gross national product \1,3\","CB22RX1",1814.2,1818.5,1821.6,1856.6,1878,1905.6,1916.1,1925.2,1893.9,1878.4,1902.9,1883.5,1959.7,2016.7,2097,2137,2165.9,2204.4,2243.4,2245.5,2264.1,2261.7,2286.3,2360.9,2404.2,2423.1,2408.1,2367.2,2352.8,2352.8,2383.9,2436.6,2510.6,2548.2,2583,2606.7,2597.6,2608.7,2610.3,2645,2671.4,2667.1,2687.9,2642.7,2579.7,2592.7,2662.7,2733.9,2781.3,2847,2844.1,2855.3,2925.3,2908.7,2911.6,2871,2892.6,2948.3,2997.5,3062.3,3118.9,3149.9,3178.4,3187.9,3225.2,3266.5,3327.5,3358,3431.9,3466.8,3512.5,3522.7,3617.7,3666.8,3734.9,3820.2,3917.8,3926.8,3958.4,3995.2,4032.2,4029.1,4066.1,4097.3,4182.6,4253.7,4281.2,4300,4371,4380
"19",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","11","  Command-basis net domestic product \4\","C362RX1",1660.9,1666.4,1670.7,1707,1728.2,1756.4,1767.4,1777,1744.7,1728.5,1753.9,1734.3,1812.1,1869.5,1949.7,1989.8,2018.8,2054.3,2091.8,2090.5,2108,2102.5,2125.6,2200.3,2242.1,2257.5,2240.7,2195,2175.9,2173.3,2202.6,2253.1,2327.1,2364.1,2397.6,2419.4,2405.5,2414.9,2413.6,2450,2472.4,2463.8,2483.8,2437.6,2368.1,2378.6,2449.8,2522.7,2570.8,2637.9,2632.3,2641.4,2713.7,2694.4,2694.6,2649.1,2668.1,2724.7,2773,2837.4,2893.6,2921,2947.2,2950.2,2986.9,3027.5,3087,3114.2,3185.5,3219.1,3261.9,3270.3,3360.7,3406,3473.9,3560,3654.8,3658.6,3686.5,3718.1,3751.4,3743.8,3774,3802,3884.8,3952.8,3975.2,3989.8,4058.2,4063.4
"21","12","  Net domestic product","A362RX1",1625.9,1624.7,1624.1,1652.4,1681.9,1716.8,1727.1,1730.2,1702.8,1695.4,1716.4,1697.8,1774.2,1833.5,1912.2,1948,1973.4,2007.5,2049.6,2050.9,2071.2,2070.7,2083.3,2156.8,2198.3,2213.5,2195.7,2154,2139.5,2140,2164.3,2210.4,2279.2,2318.9,2351,2363.3,2348.7,2366.9,2361,2402.2,2416.6,2407.6,2431,2399.2,2322.9,2336.3,2395.9,2457.3,2511.8,2581.8,2577.1,2585.7,2649.4,2634,2637,2596.9,2612.1,2664.4,2710.4,2769.5,2822.2,2854.3,2880.6,2885.2,2924,2961.5,3020.3,3042.4,3115.1,3151.3,3195,3200.7,3283.7,3328.5,3398.5,3484.4,3573.6,3581.4,3602.1,3629.1,3659.3,3655,3682.2,3708.4,3788.4,3854.8,3879,3892.5,3955.5,3963.1
"22","13","  Command-basis net national product \4\","C027RX1",1668.6,1675,1679.3,1716.3,1738.5,1767.3,1778.1,1787.6,1754.8,1738.2,1763.2,1742.6,1821.1,1879.2,1961.3,2001.2,2029.2,2067,2105.3,2104.8,2121.4,2116,2138.7,2213.1,2254.7,2271,2252.5,2206.9,2188.9,2186.2,2215.8,2268.2,2342.7,2379.4,2413.1,2435.4,2423.4,2432.6,2431.7,2465.7,2491.2,2484.1,2503.1,2452.7,2383.6,2394.5,2465.1,2537.8,2585.8,2653.1,2648.8,2658.9,2730.5,2711.6,2712.7,2668.2,2688.4,2743.9,2792.8,2857.7,2913.8,2943.3,2969.8,2976.4,3011.9,3051.5,3111.5,3139.6,3213,3245.6,3289.2,3295.5,3389.8,3436.1,3501.8,3585.2,3681,3684.8,3712,3745,3777.9,3769.5,3802.5,3829.7,3913.3,3981.9,4005.2,4019.4,4087.9,4091.9
"23","14","  Net national product","A027RX1",1635.6,1634.9,1634.2,1663.2,1693.7,1729.2,1739.6,1742.6,1714.7,1707,1727.6,1708,1785.1,1845,1925.8,1961.6,1986.4,2022.7,2065.5,2067.7,2087,2086.6,2099,2172.2,2213.4,2229.5,2210.1,2168.5,2155,2155.4,2179.9,2227.9,2297.1,2336.5,2368.8,2381.5,2368.8,2386.8,2381.4,2420.2,2437.7,2430.2,2452.6,2416.6,2340.7,2354.4,2413.4,2474.7,2529.1,2599.1,2595.7,2605.4,2668.4,2653.3,2657.1,2618.2,2634.5,2685.8,2732.2,2791.8,2844.4,2878.6,2905.1,2913.3,2950.8,2987.4,3046.7,3069.5,3144.6,3179.7,3224.3,3228,3314.6,3360.4,3428.2,3511.6,3601.7,3609.5,3629.6,3657.9,3687.7,3682.6,3712.6,3737.9,3818.7,3885.7,3910.8,3924.1,3987.2,3993.7
"24",NA,"  Trade indexes (seasonally adjusted):"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","15","    Trading gains index \5\","W368RG3",102.172,102.458,102.602,102.564,102.45,102.348,102.268,102.24,102.238,102.181,102.122,102.049,101.906,101.834,101.743,101.627,101.531,101.471,101.501,101.563,101.607,101.66,101.725,101.793,101.848,101.883,101.891,101.872,101.805,101.77,101.735,101.731,101.795,101.81,101.824,101.839,101.86,101.871,101.894,101.907,101.95,101.982,102.017,102.051,102.105,102.132,102.135,102.13,102.097,102.08,102.097,102.101,102.122,102.114,102.113,102.104,102.123,102.195,102.188,102.225,102.28,102.221,102.231,102.213,102.179,102.151,102.112,102.088,102.058,102.031,102.075,102.116,102.195,102.193,102.163,102.091,102.152,102.14,102.21,102.267,102.36,102.361,102.35,102.373,102.376,102.444,102.366,102.366,102.421,102.407
"26","16","    Terms of trade index \6\","W369RG3",145.966,146.463,146.104,144.773,142.362,141.118,140.838,140.913,141.616,140.445,138.822,136.796,132.098,129.61,126.73,123.331,120.618,118.632,118.654,120.119,122.101,123.724,125.68,127.595,129.234,130.286,130.46,129.89,127.817,126.776,125.725,125.601,127.561,128.032,128.441,128.936,129.572,129.909,130.587,130.859,132.082,132.989,134.182,135.388,137.361,138.244,138.342,138.193,137.183,136.686,137.157,137.254,137.851,137.675,137.634,137.569,138.067,140.047,139.943,141.041,142.912,141.332,141.74,141.195,140.116,139.308,138.169,137.555,136.674,135.948,137.224,138.288,140.271,140.398,139.567,137.611,139.234,138.925,140.922,142.494,145.002,145.175,144.979,145.693,145.786,147.672,145.588,145.595,147.193,146.804
"27","17","      Terms of trade, goods \7\","W370RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164.8,164.669,163.968,164.549,164.208,167.095,164.174,163.849,165.695,164.581
"28","18","      Terms of trade, nonpetroleum goods \8\","W371RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117.799,117.893,117.669,117.948,117.37,119.497,117.286,117.25,118.375,117.544
"29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","1. Uses gross domestic purchases price index as deflator.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2. This measure is called ""real gross domestic income"" in the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","System of National Accounts, 2008.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","3. This measure is called ""real gross national income"" in the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","System of National Accounts, 2008.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","4. Uses net domestic purchases price index as deflator.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","5. Ratio (multiplied by 100) of price index for gross domestic product",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","to the price index for gross domestic purchases.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","6. Ratio (multiplied by 100) of the price index for exports of goods",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","and services to the price index for imports of goods and services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
