"","Table 1#1#3# Real Gross Domestic Product, Quantity Indexes      ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178"
"21","13","  Change in private inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","14","Net exports of goods and services","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","15","  Exports","B020RA3",10.424,12.76,12.454,12.886,12.997,13.569,13.525,13.649,13.701,13.674,14.236,13.042,14.423,14.004,14.849,15.479,16.613,17.414,17.472,18.331,18.565,19.468,18.418,18.899,19.032,18.479,18.167,19.195,19.061,19.254,19.813,20.014,19.693,20.224,20.38,19.726,20.191,22.295,22.54,23.434,23.454,23.516,24.363,25.896,26.619,27.12,27.063,26.899,27.407,27.555,26.969,27.094,25.919,26.075,24.92,23.779,24.163,24.236,24.601,25.097,25.622,26.259,26.839,27.384,27.403,27.304,26.904,27.714,28.59,28.901,29.562,30.663,30.686,31.904,33.279,34.509,36.421,37.429,38.123,39.287,40.442,42.202,42.664,43.335,45.229,45.843,46.178,46.565,46.899,48.587,49.7,50.833,51.739,51.741,52.865,53.135,53.255,53.907,53.731,55.45,55.981,57.827,60.036,61.365,62.493,63.354,66.11,67.064,67.909,69.047,69.606,73.969,75.378,78.363,80.184,80.038,80.415,79.488,79.119,82.103,81.472,82.409,84.57,86.689,88.184,90.688,92.9,92.168,90.96,87.991,83.462,81.109,82.405,84.641,85.231,84.363,83.584,83.313,85.575,89.585,91.717,93.154,93.845,95.993,97.786,99.885,99.909,102.42,106.411,108.2,108.36,112.904,114.672,116.571,120.91,124.281,125.966,129.793,128.631,121.112,111.295,111.46,115.116,121.467,123.231,126.079,129.03,132.151,134.004,135.352,137.379,137.871,139.356,141.152,141.824
"24","16","    Goods","B253RA3",9.429,11.941,11.64,12.038,12.264,12.565,12.599,12.757,12.521,12.498,13.387,11.583,13.459,13.142,13.916,14.844,16.188,16.982,16.967,17.941,18.264,19.011,17.965,18.244,18.172,17.328,17.666,18.612,18.395,18.637,18.991,19.161,18.782,19.266,19.461,18.659,18.914,21.541,21.675,22.55,22.569,22.733,23.788,25.596,26.4,26.874,26.404,26.291,26.525,26.486,25.692,26.118,24.58,24.862,23.616,22.291,22.621,22.771,23.159,24.054,23.941,24.51,25.33,26.145,25.924,25.853,25.536,26.299,26.365,26.869,27.294,28.405,28.103,29.295,31.055,32.558,34.543,35.499,36.049,37.72,38.367,40.56,40.7,41.322,43.194,43.57,43.784,43.943,45.132,46.161,47.25,47.991,49.124,49.276,50.727,51.363,50.853,51.5,51.131,53.538,53.55,55.463,58.295,59.853,61.247,62.274,64.664,65.558,66.935,67.647,68.903,72.638,75.151,78.65,80.951,81.069,81.29,79.37,79.514,82.694,81.075,81.987,84.655,87.435,89.383,92.181,96.096,94.662,93.403,89.18,84.308,82.383,82.324,85.207,85.598,83.574,83.928,83.88,85.504,89.434,90.9,92.423,93.586,95.072,97.034,100.232,99.957,102.777,107.073,109.017,109.078,112.532,115.963,118.101,121.697,124.599,127.394,131.666,130.878,120.825,108.374,107.65,112.939,120.692,123.571,127.096,129.877,133.371,135.239,136.464,138.516,140.559,141.961,144.389,144.774
"25","17","    Services","B646RA3",13.303,14.853,14.546,15.068,14.743,16.278,15.949,15.945,17.041,16.997,16.365,17.364,16.989,16.232,17.262,16.859,17.204,17.971,18.282,18.644,18.511,19.974,18.972,20.269,21.281,22.04,18.941,20.243,20.481,20.457,21.843,22.162,22.103,22.788,22.775,22.759,24.031,23.895,24.569,25.49,25.513,25.142,25.039,25.308,25.652,26.242,27.892,27.518,29.124,30.034,30.333,29.24,29.589,29.246,28.502,28.102,28.663,28.447,28.706,27.704,30.547,31.394,31.067,30.638,31.508,31.329,30.667,31.611,35.09,34.783,36.175,37.233,38.28,39.559,39.693,40.029,41.647,42.789,43.938,43.383,46.197,46.491,47.998,48.814,50.74,52.091,52.792,53.864,51.652,55.266,56.432,58.671,58.908,58.471,58.674,57.932,59.798,60.467,60.822,60.659,62.607,64.264,64.763,65.464,65.855,66.257,70.015,71.136,70.545,72.82,71.53,77.509,76.082,77.753,78.356,77.551,78.335,79.871,78.249,80.757,82.5,83.493,84.445,84.989,85.405,87.216,85.437,86.35,85.265,85.229,81.497,78.146,82.584,83.326,84.373,86.177,82.783,82,85.725,89.921,93.587,94.828,94.433,98.1,99.508,99.094,99.795,101.603,104.897,106.339,106.729,113.773,111.753,113.108,119.127,123.554,122.72,125.544,123.54,121.774,117.732,119.859,119.966,123.258,122.563,123.912,127.228,129.517,131.342,132.979,134.954,131.896,133.573,133.94,135.259
"26","18","  Imports","B021RA3",9.834,11.774,11.622,11.494,11.456,11.683,11.656,11.837,11.697,12.58,12.858,11.986,13.738,13.25,13.526,14.135,14.788,14.362,13.965,14.069,13.592,14.312,14.062,13.922,12.526,11.523,12.481,13.147,13.971,14.576,15.171,15.673,16.415,16.566,16.335,16.567,17.679,17.735,17.966,18.213,18.163,18.261,17.982,18.375,18.389,17.054,15.828,16.677,17.389,17.416,17.217,17.711,17.206,16.925,17.71,17.015,17.405,18.743,20.203,21.194,22.897,23.857,24.474,25.191,24.635,25.846,25.596,26.599,26.575,27.707,28.475,28.694,28.522,29.234,29.802,30.487,30.345,29.996,30.704,31.64,31.786,31.937,31.893,32.471,33.5,33.444,33.31,32.416,32.047,32.617,33.535,34.275,34.525,35.092,35.646,36.499,37.289,38.06,38.561,40.11,41.045,42.574,43.772,45.003,45.99,46.427,46.587,47.182,48.716,49.806,51.421,52.436,54.675,56.511,58.593,59.858,62.103,63.526,64.382,66.465,68.158,70.33,72.881,74.629,77.656,80.023,82.818,82.757,81.55,79.121,77.205,76.285,78.196,80.837,82.17,83.647,82.638,83.817,84.803,87.966,90.207,93.828,95.199,97.613,98.181,99.265,99.876,102.677,104.622,105.792,107.058,106.924,108.48,109.019,109.282,107.828,108.203,107.511,105.698,101.518,91.526,87.652,91.196,95.312,97.689,102.286,105.672,105.68,106.787,106.816,108.037,109.345,110.179,110.936,110.766
"27","19","    Goods","B255RA3",8.059,10.206,9.998,9.744,9.761,9.84,9.81,10.084,10.035,11.003,11.391,10.379,12.199,11.624,12.119,12.688,13.347,13.008,12.807,12.901,12.291,13.001,12.777,12.548,11.086,10.138,11.192,11.822,12.667,13.301,13.888,14.384,15.166,15.278,15.095,15.311,16.376,16.444,16.637,16.851,16.819,16.925,16.639,17.063,17.086,15.717,14.41,15.225,15.872,15.881,15.73,16.242,15.634,15.197,16.072,15.221,15.677,16.982,18.436,19.467,20.895,21.75,22.206,22.782,22.069,23.369,23.286,24.392,24.203,25.736,26.275,26.447,26.026,26.547,27.184,27.664,27.578,27.303,27.981,28.908,28.996,29.116,28.936,29.536,30.413,30.3,30.082,29.182,29.003,29.484,30.65,31.385,31.834,32.62,33.284,34.145,35.07,35.865,36.321,37.825,38.757,40.473,41.874,43.35,44.186,44.795,44.891,45.396,47.012,48.194,49.828,51.039,53.236,55.26,57.272,58.561,60.727,62.15,62.86,65.171,66.948,69.299,72.011,73.936,76.798,79.218,82.017,82.04,80.804,77.569,76.083,75.401,76.887,80.153,81.635,82.688,81.779,83.909,84.262,87.257,89.336,93.238,94.761,97.215,98.066,99.234,99.903,102.797,104.38,105.68,107.122,106.496,108.673,109.126,109.211,107.685,107.516,106.907,104.396,99.182,88.241,83.843,87.957,92.76,95.478,100.897,104.287,104.571,105.907,105.723,106.491,108.122,108.652,109.422,109.084
"28","20","    Services","B656RA3",20.807,21.523,21.706,22.349,21.967,23.115,23.112,22.695,22.001,22.369,21.99,21.941,23.311,23.363,22.255,23.117,23.738,22.765,21.141,21.298,21.782,22.456,22.007,22.596,21.994,20.712,20.718,21.566,22.1,22.388,22.947,23.42,23.724,24.165,23.588,23.906,25.213,25.165,25.667,26.138,25.961,25.982,25.805,25.841,25.754,25.012,24.782,25.729,26.866,27.053,26.477,26.717,27.236,28.367,28.217,28.999,28.733,30.09,31.316,31.791,35.51,37.173,39.031,40.789,41.652,41.855,40.276,40.32,41.593,39.703,42.055,42.602,44.284,46.364,46.343,48.52,47.965,47.087,47.941,48.823,49.399,49.762,50.809,51.14,53.226,53.61,54.095,53.324,51.58,52.727,51.821,52.563,51.411,50.442,50.226,50.993,50.848,51.427,52.215,54.005,54.922,55.163,54.966,54.554,56.524,55.801,56.371,57.529,58.486,58.955,60.417,60.197,62.666,63.336,65.819,66.928,69.63,71.037,72.724,73.493,74.695,75.855,77.492,78.236,82.182,84.23,86.983,86.424,85.375,87.568,83.234,80.989,85.198,84.434,84.976,88.739,87.206,83.371,87.636,91.684,94.787,96.949,97.531,99.741,98.816,99.441,99.73,102.012,105.888,106.358,106.715,109.276,107.509,108.471,109.642,108.535,111.891,110.696,112.908,114.459,109.184,107.866,108.625,109.284,109.935,110.262,113.646,112.185,112.023,113.188,116.906,116.402,118.95,119.637,120.394
"29","21","Government consumption expenditures and gross investment","B822RA3",53.674,53.45,53.525,52.739,52.455,51.777,52.001,52.002,51.16,50.996,50.964,50.584,50.768,51.083,50.03,50.344,50.839,50.536,49.887,50.254,51.305,51.651,51.728,51.908,52.544,52.14,53.057,53.507,53.64,53.052,52.773,52.732,53.21,53.763,53.861,53.688,53.775,55.227,55.667,56.172,55.667,56.255,56.337,56.704,57.616,57.795,56.998,56.94,57.696,57.825,57.694,58.225,58.167,58.506,58.906,59.923,60.373,60.889,61.946,60.899,61.512,62.838,63.302,64.659,65.4,66.867,68.603,69.013,69.759,71.242,72.854,72.436,72.732,73.192,73.194,74.08,73.721,73.914,73.871,75.372,74.909,76.069,76.786,77.194,78.385,78.501,78.478,79.257,79.579,79.857,79.478,79.144,79.745,79.651,80.06,80.083,79.239,79.18,79.101,79.491,78.48,78.81,80.192,79.5,79.816,80.083,79.907,79.013,79.519,80.661,80.583,81.266,81.411,82.116,82.208,82.344,81.849,83.628,84.402,85.157,85.593,85.95,87.061,88.438,87.714,88.884,88.604,88.874,90.188,92.061,91.893,93.525,94.958,95.87,96.646,97.293,97.091,98.534,98.824,98.895,99.366,99.73,100.094,99.482,99.577,99.685,100.59,100.147,101.147,101.232,101.386,101.67,101.552,102.401,103.292,103.606,104.391,104.838,105.941,106.356,106.825,109.307,110.312,110.602,109.727,110.498,110.416,109.179,107.21,106.985,106.189,105.604,104.804,104.622,105.62
"30","22","  Federal","B823RA3",72.285,71.132,71.182,69.277,67.908,65.781,64.808,64.455,61.946,61.053,60.796,58.915,59.155,60.101,56.86,56.673,57.611,56.718,54.311,54.354,56.066,55.977,56.258,56.671,56.034,55.584,56.97,57.115,56.588,56.466,56.306,56.45,56.919,57.857,58.191,57.621,57.823,59.202,59.411,59.932,60.013,60.755,60.661,60.647,62.588,64.162,63.297,63.511,64.826,66.761,66.689,67.403,67.508,68.12,69.141,71.185,72.042,73.574,75.639,72.99,73.614,75.924,75.634,78.144,78.977,80.904,83.617,83.585,83.141,85.792,89.039,87.657,88.179,89.403,89.498,90.829,88.361,87.461,86.806,89.413,87.583,89.554,90.416,89.962,91.312,91.421,90.605,91.401,92.11,92.371,90.65,88.871,88.899,88.81,89.824,89.87,87.106,85.876,84.97,85.415,82.358,81.893,84.14,81.83,81.63,81.307,80.754,77.722,79.341,80.472,79.053,78.825,77.764,79.142,78.884,78.776,76.319,78.419,77.767,78.529,78.01,78.009,79.646,81.416,78.194,81.324,79.747,79.379,81.069,82.805,83.361,84.368,86.376,88.372,89.772,91.289,91.315,95.718,95.812,96.511,97.749,98.304,100.01,98.778,99.19,99.286,101.608,99.915,102.763,101.887,101.792,102.066,100.828,102.582,104.95,105.236,107.703,108.996,112.058,114.518,113.639,117.333,119.129,120.352,120.535,123.355,124.468,123.172,119.864,120.681,119.351,118.024,116.751,116.685,119.359
"31","23","    National defense","B824RA3",87.542,85.578,85.448,83.658,81.434,77.587,76.38,75.8,72.237,69.47,68.079,66.136,65.182,66.208,61.528,61.434,62.627,61.504,57.856,58.257,59.601,60.56,59.117,59.101,58.647,57.741,59.928,59.805,58.981,58.94,58.813,58.578,59.235,60.138,60.167,58.505,58.876,60.203,60.365,60.633,60.931,62.156,61.972,62.32,64.154,64.308,64.427,65.275,66.514,68.523,69.108,70.367,71.161,73.141,74.413,76.541,76.996,78.776,79.314,81.355,81.609,82.477,82.148,85.65,86.242,88.731,92.308,92.727,92,95.469,99.187,96.41,97.831,100.183,101.665,101.522,100.432,99.576,98.608,100.687,97.426,99.502,100.711,99.703,99.921,99.639,97.934,99.725,100.593,100.318,97.631,94.314,92.843,92.91,94.185,93.464,89.785,88.463,87.26,88.097,83.683,83.726,86.484,82.395,82.174,82.028,81.047,78.495,80.026,81.117,79.396,78.886,76.352,78.151,77.772,78.199,73.543,76.359,77.308,76.7,75.772,75.81,78.056,79.904,75.179,78.647,77.03,77.09,78.447,79.544,80.267,81.374,83.128,85.041,86.482,88.476,87.785,95.191,94.066,95.929,97.359,97.871,100.708,98.201,99.068,99.826,102.492,98.614,101.115,101.384,100.892,102.963,101.066,103.103,105.645,105.655,107.756,109.173,113.693,115.975,113.88,118.2,120.387,120.776,119.646,121.776,123.906,121.987,117.354,119.717,120.496,117.163,115.031,114.987,118.518
"32","24","    Nondefense","B825RA3",43.058,43.445,43.841,41.734,41.994,43.084,42.558,42.633,42.116,44.732,46.601,44.851,47.411,48.209,47.823,47.446,47.879,47.44,47.544,46.854,49.34,47.09,50.917,52.216,51.189,51.648,51.428,52.111,52.184,51.9,51.673,52.584,52.674,53.69,54.645,56.288,56.154,57.654,57.968,59.024,58.653,58.392,58.483,57.706,59.889,64.479,61.525,60.399,61.893,63.69,62.222,61.777,60.409,58.097,58.601,60.5,62.243,63.26,68.597,55.785,57.162,62.704,62.463,62.786,64.182,64.907,65.768,64.745,64.914,65.826,68.094,69.688,68.284,67.097,64.23,68.713,63.309,62.313,62.316,66.056,67.239,68.991,69.123,69.827,73.559,74.492,75.544,74.264,74.647,76.02,76.293,77.719,80.891,80.465,80.931,82.583,81.701,80.665,80.369,80.014,79.718,78.223,79.429,80.729,80.565,79.878,80.19,76.197,77.99,79.198,78.389,78.73,80.646,81.173,81.154,79.976,81.924,82.594,78.732,82.245,82.544,82.461,82.879,84.496,84.278,86.733,85.239,84.015,86.369,89.387,89.607,90.416,92.933,95.098,96.42,96.976,98.458,96.789,99.352,97.687,98.537,99.178,98.599,99.955,99.436,98.176,99.796,102.592,106.163,102.927,103.653,100.203,100.325,101.492,103.5,104.363,107.602,108.64,108.622,111.459,113.123,115.522,116.51,119.46,122.357,126.607,125.617,125.614,125.072,122.662,116.929,119.792,120.317,120.205,121.082
"33","25","  State and local","B829RA3",42.268,42.623,42.713,42.625,43.021,43.251,44.228,44.451,44.653,44.952,45.063,45.642,45.792,45.695,46.068,46.717,46.928,47.009,47.503,48.085,48.713,49.339,49.286,49.317,50.778,50.401,51.025,51.675,52.238,51.342,50.983,50.821,51.31,51.614,51.56,51.645,51.657,53.172,53.768,54.268,53.375,53.869,54.066,54.683,54.936,54.218,53.456,53.223,53.623,52.596,52.427,52.844,52.68,52.846,52.85,53.217,53.408,53.279,53.7,53.667,54.281,54.984,55.942,56.569,57.256,58.439,59.565,60.258,61.759,62.514,63.114,63.29,63.449,63.446,63.393,64.012,64.922,65.773,66.099,66.939,67.29,67.965,68.595,69.512,70.609,70.73,71.172,71.939,72.031,72.317,72.733,73.258,74.201,74.106,74.153,74.165,74.467,75.107,75.523,75.88,76.093,76.899,77.761,78.034,78.659,79.279,79.329,79.72,79.556,80.706,81.434,82.662,83.534,83.832,84.135,84.419,85.101,86.686,88.313,89.063,90.065,90.636,91.435,92.579,93.332,93.347,93.827,94.47,95.564,97.518,96.931,98.931,100.03,100.302,100.711,100.848,100.511,100.201,100.608,100.31,100.325,100.575,100.14,99.895,99.806,99.922,99.995,100.277,100.205,100.851,101.149,101.437,101.96,102.288,102.334,102.661,102.501,102.473,102.49,101.776,102.992,104.794,105.359,105.128,103.665,103.292,102.544,101.342,100.117,99.317,98.818,98.643,98.103,97.858,97.932
