"","Table 5#5#3# Real Private Fixed Investment in Equipment and Soft","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"22","15","    Metalworking machinery","B271RA3",74.065,70.526,54.493,63.026,80.789,90.194,75.152,74.488,75.962,88.916,97.927,98.068,95.37,77.74,58.852,70.394,75.893,75.156,68.242,72.885,85.284,78.198,73.662,77.351,83.942,97.401,111.435,113.417,121.914,122.083,117.987,120.219,101.996,92.311,91.474,92.164,100,104.587,106.892,107.168,68.172
"23","16","    Special industry machinery, n.e.c.","B272RA3",64.561,64.435,59.444,64.386,71.229,69.243,55.468,54.595,54.913,67.411,69.241,69.08,67.398,67.513,68.159,77.386,83.127,84.37,87.074,92.19,101.515,91.94,83.042,82.517,90.49,96.001,109.307,112.313,111.44,115.369,116.233,132.06,117.08,102.712,98.035,94.649,100,108.503,113.242,102.466,77.064
"24","17","    General industrial, including materials handling, equipment","B273RA3",38.058,37.606,35.398,36.545,44.649,50.384,42.692,43.346,51.255,58.713,62.704,58.434,56.249,52.063,47.723,57.125,60.592,63.457,58.839,61.714,62.173,60.112,54.852,56.786,65.474,70.344,77.055,79.604,83.288,88.785,85.638,90.811,82.864,82.078,87.319,89.711,100,107.119,106.803,100.092,75.833
"25","18","    Electrical transmission, distribution, and industrial apparatus","B276RA3",44.336,46.079,42.206,45.94,54.795,59.068,48.067,47.52,55.118,55.391,59.509,57.521,58.825,56.896,58.118,70.114,69.224,65.645,70.124,71.75,73.699,71.558,66.523,67.513,69.793,76.33,82.175,85.129,90.299,94.568,102.423,115.146,105.244,94.269,91.45,95.947,100,110.745,117.43,113.729,92.899
"26","19","  Transportation equipment","B681RA3",38.16,31.31,33.816,39.285,47.243,42.763,36.84,40.96,49.78,55.017,57.434,46.886,45.592,40.396,45.488,54.185,56.309,54.157,51.497,54.293,48.89,48.628,47.324,48.161,57.096,66.885,72.383,75.291,81.565,89.163,104.723,102.466,93.31,84.861,77.279,89.341,100,108.134,102.223,78.698,38.207
"27","20","    Trucks, buses, and truck trailers","B279RA3",29.26,24.248,26.481,33.33,39.133,36.878,25.884,31.415,38.103,43.022,43.429,30.884,28.911,26.712,30.462,39.815,44.43,37.755,38.363,38.017,35.669,29.083,25.818,29.52,40.385,53.395,60.919,66.473,74.911,82.793,91.631,84.552,69.466,65.308,66.003,83.808,100,111.335,93.94,62.6,20.728
"28","21","      Light trucks (including utility vehicles) \3\","W178RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.645,23.539,20.273,17.911,16.95,16.604,24.143,39.325,46.289,59.944,75.132,77.862,85.754,82.636,73.106,66.551,68.548,83.933,100,113.045,103.211,64.619,8.782
"29","22","      Other trucks, buses, and truck trailers \3\","W179RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.173,67.376,66.832,51.739,43.778,55.92,73.482,81.435,89.983,79.307,74.045,92.168,102.831,88.113,62.654,62.853,61.16,83.568,100,108.309,78.221,58.77,39.085
"30","23","    Autos \3\","B280RA3",30.863,24.745,33.554,35.905,41.108,36.067,35.619,43.337,54.3,57.601,51.131,41.743,49.449,49.734,66.197,78.782,77.678,79.72,68.061,75.647,65.733,70.396,71.612,69.259,77.079,93.762,88.275,87.641,84.983,81.634,96.873,101.34,101.587,101.567,89.588,90.075,100,108.91,106.564,79.459,37.49
"31","24","    Aircraft","B281RA3",74.329,61.551,32.298,45.654,68.739,50.647,44.563,40.489,54.456,63.687,93.249,95.238,83.768,69.703,69.335,61.984,65.348,79.319,84.189,88.692,68.885,92.731,97.076,95.157,90.689,59.888,83.653,78.695,93.152,125.92,182.72,189.521,196.733,144.068,102.879,114.246,100,93.591,122.147,117.013,94.297
"32","25","    Ships and boats","B282RA3",96.573,94.697,87.633,107.146,153.264,125.498,162.996,153.969,157.916,150.885,171.477,168.485,197.76,124.176,74.461,63.199,46.419,51.107,61.941,53.085,47.187,47.548,47.646,34.391,60.987,50.759,48.763,61.174,70.178,73.713,74.925,85.809,77.303,89.114,94.716,104.65,100,87.879,109.345,133.456,82.68
"33","26","    Railroad equipment","B283RA3",139.746,106.974,112.525,101.294,113.446,132.336,120.217,92.388,102.706,127.87,172.956,150.648,87.313,52.13,34.785,51.588,45.327,40.053,31.334,48.896,68.936,69.26,63.149,59.413,67.382,88.06,94.586,93.608,103.396,118.429,132.736,126.161,96.495,84.365,73.632,78.961,100,116.617,121.255,132.75,68.596
"34","27","  Other equipment","B682RA3",36.88,38.41,38.121,43.026,50.792,50.794,46.778,47.531,53.145,59.232,62.034,55.6,56.954,47.887,45.795,51.85,52.255,51.373,53.01,55.077,61.16,58.988,50.381,50.1,55.948,59.989,63.223,65.655,71.606,78.643,80.429,84.708,83.704,83.177,86.782,92.201,100,103.831,103.309,99.287,76.894
"35","28","    Furniture and fixtures","B667RA3",26.468,25.664,23.938,30.027,32.127,28.756,24.34,26.446,32.464,36.284,39.147,41.396,42.671,45.072,48.213,55.861,58.299,60.008,64.102,61.931,68.815,64.415,56.699,62.183,62.624,63.977,67.375,68.827,79.023,88.741,96.177,103.174,96.402,92.07,92.609,95.314,100,101.599,95.967,90.487,68.541
"36","29","    Agricultural machinery","B268RA3",78.101,87.844,82.093,96.083,124.235,116.602,124.732,119.243,118.188,123.982,133.756,106.342,102.904,70.954,60.449,63.579,50.71,45.627,47.091,62.182,73.305,80.275,64.792,55.536,63.186,69.675,70.771,69.899,79.846,82.771,60.426,66.518,70.504,80.693,86.817,95.156,100,92.965,93.017,104.705,90.317
"37","30","    Construction machinery","B269RA3",51.029,48.92,48.262,57.979,69.138,73.638,58.837,55.755,71.649,86.339,79.8,61.407,57.284,36.277,40.006,54.667,59.012,56.563,51.659,49.434,61.291,60.701,39.575,38.641,48.911,54.69,60.161,67.229,71.452,80.327,80.737,81.442,72.094,66.609,69.827,80.357,100,112.846,108.31,92.611,51.969
"38","31","    Mining and oilfield machinery","B270RA3",47.401,63.157,70.877,57.337,69.83,92.883,113.334,114.385,120.605,112.809,109.001,106.773,155.21,104.809,62.312,55.128,47.8,25.475,23.916,28.441,33.196,30.089,23.861,21.073,40.162,38.772,38.47,39.837,51.21,50.941,74.161,73.289,83.016,53.886,64.978,74.354,100,147.722,194.891,193.854,150.77
"39","32","    Service industry machinery","B570RA3",43.084,43.03,43.9,44.345,47.638,45.688,37.984,41.812,44.912,50.763,55.983,55.062,54.624,54.675,55.316,64.407,68.282,68.392,73.832,74.814,78.745,69.047,64.475,62.115,65.508,71.065,74.473,76.339,74.977,84.435,91.182,94.175,97.414,94.344,93.702,95.734,100,98.829,94.256,93.445,77.21
"40","33","    Electrical equipment, n.e.c.","B670RA3",19.913,21.976,22.03,26.037,30.852,31.156,27.683,32.015,30.821,44.308,52.313,57.983,61.181,49.363,51.253,55.441,57.977,59.92,60.004,64.902,63.426,56.961,47.31,48.191,48.018,50.571,54.334,52.381,59.14,70.082,67.337,70.385,75.803,81.302,86.197,104.01,100,99.116,81.76,80.848,63.95
"41","34","    Other","B286RA3",16.157,17.074,18.439,20.365,24.464,26.069,22.501,24.3,28.288,32.027,36.113,32.971,32.327,34.042,33.051,35.375,37.09,39.179,41.651,43.749,45.925,44.74,43.749,44.191,50.979,55.459,58.574,61.548,65.467,70.575,74.571,79.558,81.881,87.716,93.474,95.797,100,99.93,101.326,96.186,82.05
"42","35","  Less: Sale of equipment scrap, excluding autos","B287RA3",72.559,72.554,62.984,60.466,96.234,116.79,99.306,117.568,115.698,164.642,253.98,219.987,218.024,109.375,84.815,95.524,91.1,93.667,107.397,90.189,87.669,90.702,76.241,75.202,141.055,129.205,136.378,142.601,137.768,137.348,124.177,117.044,95.038,100.449,90.603,102.452,100,109.159,113.41,103.734,74.852
"43","36","Residential equipment","B013RA3",18.731,20.393,22.878,27.407,30.841,31.417,29.242,30.768,33.672,36.631,40.133,40.169,40.118,38.561,43.041,47.708,51.468,55.688,57.965,59.927,60.246,58.435,56.15,57.886,59.042,59.428,60.196,59.908,59.402,63.773,70.765,75.752,77.726,80.834,86.316,95.721,100,103.751,102.3,98.677,91.636
"44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","1. Excludes software ""embedded,"" or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","2. For 1929-45, includes electrical transmission, distribution, and industrial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","apparatus (line 18) and electrical equipment, n.e.c. (line 33).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","3. Includes net purchases of used vehicles; additional information is available in table 7.2.3B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","n.e.c. Not elsewhere classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
