"","Table 1#11# Percentage Shares of Gross Domestic Income          ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"11","4","    Disbursements","W269RE1",52.8,53.5,52.3,52,51.6,51.9,50.3,50,49.5,49.4,49.8,50.1,48.9,48.9,48.2,47.3,47.5,47.9,48,47.8,47.6,48,47.7,47.8,47.2,46.4,46.5,46.3,46.5,47.1,47.4,47.9,47.7,46.9,46.2,45.7,44.9,44.6,45.8,46.1,45.1
"12","5","      To persons","W270RE1",52.8,53.4,52.3,52,51.6,51.9,50.2,49.9,49.5,49.4,49.8,50.1,48.9,48.9,48.1,47.3,47.5,47.8,47.9,47.7,47.6,47.9,47.6,47.7,47.1,46.3,46.4,46.3,46.4,47.1,47.3,47.8,47.6,46.8,46.2,45.7,44.8,44.5,45.7,46.1,45
"13","6","      To the rest of the world","B4189E1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"14","7","    Wage accruals less disbursements","A062RE1",0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.3,0.1,0.3,0.2,0,0,0,0.1,0,0,0,0.1,-0.1,0,0,0,0,0
"15","8","  Supplements to wages and salaries","A038RE1",6,6.4,6.7,7,7.5,7.9,8.3,8.9,9.3,9.5,9.7,10,10,10.2,10.3,10.3,10.3,10.4,10.2,10.1,10.1,10.2,10.6,10.8,10.9,10.8,10.3,9.9,9.5,9.5,9.4,9.5,9.9,10.4,11,10.8,10.7,10.3,10.3,10.6,11
"16","9","Taxes on production and imports","W056RE1",8.5,8.9,9,8.8,8.5,8.4,8.3,8.1,7.9,7.5,7.2,7.3,7.6,7.4,7.6,7.4,7.4,7.4,7.4,7.3,7.4,7.4,7.7,7.8,7.7,7.8,7.6,7.4,7.3,7.2,7.1,7,7,7.2,7.3,7.3,7.3,7.2,7.3,7.3,7.4
"17","10","Less: Subsidies \1\","A107RE1",0.5,0.5,0.4,0.5,0.4,0.2,0.3,0.3,0.4,0.4,0.3,0.4,0.4,0.5,0.6,0.5,0.5,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.4,0.4,0.5,0.5,0.6,0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.4
"18","11","Net operating surplus","W271RE1",23,21.3,21.8,22.4,22.6,21.1,21.6,21.8,22.1,22.4,21.7,20.4,21.1,20.6,21.7,23.4,23.3,22.7,22.9,23.5,23.4,22.7,22.3,22.5,22.8,23.5,24,25.1,25.6,25.1,24.9,24.2,23.9,23.6,23.6,24.6,25.4,26,24.5,23.3,23.6
"19","12","  Private enterprises","W260RE1",22.9,21.3,21.8,22.4,22.6,21.1,21.8,21.9,22.2,22.5,21.8,20.6,21.3,20.7,21.8,23.4,23.2,22.7,22.9,23.4,23.3,22.7,22.2,22.3,22.6,23.4,23.9,24.9,25.4,24.9,24.7,24.2,23.8,23.6,23.5,24.6,25.5,26,24.6,23.5,23.7
"20","13","    Net interest and miscellaneous payments, domestic industries","W272RE1",3.4,3.9,4,4,4.2,4.9,5.1,4.7,5,5.1,5.6,6.7,7.4,8.2,8.1,8.4,8.5,8.8,8.4,8.2,8.7,8.5,7.8,6.9,6.2,5.9,5.7,5.6,5.8,6.3,6,6.4,6.3,5.7,5.4,4.8,5.3,6.1,6.8,7.3,7
"21","14","    Business current transfer payments (net)","B029RE1",0.5,0.4,0.4,0.4,0.4,0.5,0.6,0.5,0.4,0.5,0.5,0.5,0.6,0.6,0.6,0.8,0.8,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.6,0.6,0.6,0.7,0.6,0.7,0.7,0.9,1,0.8,0.7,0.7,0.8,0.6,0.7,0.9,1
"22","15","    Proprietors' income with inventory valuation and capital consumption adjustments","A041RE1",7.9,7.6,7.6,7.8,8.3,7.6,7.4,7.3,7.3,7.4,7.2,6.3,5.9,5.4,5.5,6,5.9,6,6.3,6.6,6.5,6.4,6.2,6.7,6.9,7,7,7.5,7.5,7.7,7.9,8.1,8.4,8.3,8.4,8.7,8.4,8.3,7.8,7.7,7.3
"23","16","    Rental income of persons with capital consumption adjustment","A048RE1",2.1,2,2,1.9,1.7,1.6,1.4,1.2,1,0.9,0.9,1,1.2,1.2,1.1,1,1,0.8,0.7,0.8,0.8,0.9,1,1.4,1.7,2,2.1,2.2,2.1,2.2,2.2,2.1,2.2,2.1,1.8,1.7,1.4,1.1,1,1.6,2
"24","17","    Corporate profits with inventory valuation and capital consumption adjustments, domestic industries","A445RE1",9,7.3,7.9,8.3,8,6.6,7.3,8.1,8.6,8.6,7.6,6.1,6.3,5.3,6.4,7.2,7.1,6.3,6.8,7.2,6.6,6.3,6.4,6.8,7.1,7.9,8.5,9,9.3,8,7.8,6.7,5.9,6.7,7.3,8.8,9.6,9.9,8.3,6,6.5
"25","18","      Taxes on corporate income","A054RE1",4.1,3.4,3.4,3.4,3.6,3.5,3.2,3.6,3.7,3.7,3.6,3.2,2.7,2,2.3,2.5,2.4,2.5,2.8,2.8,2.7,2.5,2.3,2.4,2.6,2.8,3,3,2.9,2.8,2.7,2.6,2,1.8,2.2,2.6,3.2,3.5,3.2,2.2,1.8
"26","19","      Profits after tax with inventory valuation and capital consumption adjustments","W273RE1",4.9,3.9,4.5,4.8,4.3,3,4.1,4.4,4.9,4.9,4,2.9,3.5,3.3,4.1,4.7,4.7,3.8,4,4.5,3.9,3.7,4.1,4.4,4.5,5.1,5.5,6,6.4,5.2,5.1,4.1,4,4.9,5.1,6.2,6.3,6.4,5.1,3.8,4.7
"27","20","        Net dividends","A449RE1",2.1,2,1.8,1.8,1.7,1.6,1.6,1.7,1.7,1.7,1.6,1.7,1.9,1.9,2,2,2.1,2,2,1.9,2.3,2.5,2.6,2.6,2.8,2.8,3,3.3,3.4,3.5,3.1,3.5,3.2,3.3,3.5,4.1,2.3,4.6,4.6,4.3,4.4
"28","21","        Undistributed corporate profits with inventory valuation and capital consumption adjustments","W274RE1",2.8,2,2.7,3.1,2.7,1.4,2.5,2.8,3.2,3.1,2.4,1.1,1.6,1.4,2.1,2.7,2.6,1.7,2,2.5,1.6,1.2,1.5,1.8,1.7,2.3,2.5,2.7,3,1.7,1.9,0.6,0.8,1.6,1.6,2.1,4,1.8,0.5,-0.5,0.3
"29","22","  Current surplus of government enterprises \1\","A108RE1",0.1,0,0,0,0,-0.1,-0.2,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,-0.1,-0.1,0,0,0,0,0.1,0.1,0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.1,0.1,0,0.1,0.1,0,0,0,-0.1,-0.1,-0.1
"30","23","Consumption of fixed capital","A262RE1",10.1,10.5,10.6,10.3,10.2,11,11.7,11.6,11.5,11.5,11.9,12.5,12.7,13.3,12.9,12.2,12.1,12.3,12.1,12,12,12.1,12.3,11.9,11.9,11.7,11.8,11.7,11.5,11.5,11.6,11.7,12.1,12.2,12.2,12.1,12.1,12.2,12.6,13,13.4
"31","24","  Private","A024RE1",7.6,7.9,8,8,8,8.6,9.3,9.2,9.3,9.3,9.7,10.3,10.5,11,10.6,9.9,9.9,10,9.9,9.7,9.8,9.8,9.9,9.6,9.6,9.5,9.6,9.5,9.5,9.5,9.6,9.8,10.1,10.3,10.2,10.1,10.1,10.2,10.5,10.8,11
"32","25","  Government","A264RE1",2.5,2.6,2.5,2.4,2.3,2.4,2.5,2.4,2.3,2.2,2.2,2.3,2.3,2.4,2.3,2.2,2.2,2.3,2.3,2.2,2.2,2.3,2.3,2.3,2.3,2.3,2.2,2.2,2.1,2,2,2,2,2,2,2,2,2,2.1,2.2,2.3
"33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","1. Prior to 1959, subsidies (line 10) and the current surplus of government enterprises (line 22) are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","not shown separately; subsidies are presented net of the current surplus of government enterprises.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
