"","Table 5#3#4# Price Indexes for Private Fixed Investment by Type ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95"
"11","3","  Structures","B009RG3",7.526,7.622,7.89,8.154,8.371,8.601,8.823,8.905,8.754,8.633,8.588,8.605,8.589,8.562,8.745,9.116,9.484,9.716,9.877,9.969,10.052,10.018,9.997,10.018,10.048,10.19,10.322,10.307,10.164,10.062,10.066,10.08,10.107,10.189,10.327,10.558,11.025,10.99,11.287,11.4,11.523,11.667,11.729,11.701,11.383,11.455,11.5,11.535,11.457,11.522,11.566,11.575,11.615,11.545,11.49,11.414,11.413,11.435,11.447,11.489,11.506,11.544,11.532,11.567,11.602,11.625,11.655,11.664,11.647,11.78,11.796,11.98,12.003,12.09,12.12,12.359,12.329,12.6,12.615,12.777,12.831,12.901,12.99,13.17,13.355,13.523,13.632,13.976,14.174,14.408,14.607,14.885
"12","4","    Commercial and health care","W001RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.956,12.062,12.067,12.076,11.959,11.959,11.906,11.911,11.994,11.938,11.887,11.782,11.77,11.821,11.867,11.926,11.914,11.964,11.96,12.055,12.108,12.163,12.207,12.259,12.204,12.412,12.416,12.671,12.665,12.764,12.763,13.067,12.952,13.306,13.304,13.504,13.558,13.611,13.663,13.878,14.071,14.226,14.327,14.794,15.051,15.321,15.532,15.833
"13","5","    Manufacturing","C307RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.349,12.453,12.451,12.448,12.341,12.34,12.286,12.289,12.395,12.34,12.286,12.183,12.18,12.236,12.287,12.339,12.337,12.39,12.391,12.498,12.552,12.607,12.659,12.709,12.656,12.872,12.87,13.139,13.145,13.255,13.259,13.582,13.477,13.857,13.861,14.082,14.137,14.194,14.243,14.461,14.664,14.821,14.927,15.42,15.695,15.968,16.184,16.509
"14","6","    Power and communication","W003RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.715,15.676,15.863,15.997,15.954,16.078,16.313,16.283,16.295,16.223,16.248,16.229,16.251,16.239,16.174,16.176,16.121,16.103,16.004,15.936,16.022,16.071,16.174,16.133,16.127,16.071,16.142,16.224,16.363,16.448,16.548,16.737,16.85,16.947,16.92,17,17.14,17.312,17.577,17.771,17.967,18.274,18.452,18.62,18.806,19.011,19.268,19.672
"15","7","    Mining exploration, shafts, and wells","E318RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.776,5.778,5.778,5.778,5.775,5.953,6.095,6.131,6.064,5.956,5.848,5.809,5.809,5.774,5.74,5.777,5.884,5.922,5.923,5.819,5.785,5.716,5.647,5.58,5.648,5.689,5.688,5.731,5.731,5.77,5.841,5.885,5.987,6.139,6.244,6.323,6.322,6.36,6.397,6.509,6.551,6.659,6.733,6.855,6.866,6.979,7.09,7.137
"16","8","    Other structures \1\","W004RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.45,12.597,12.621,12.656,12.536,12.524,12.473,12.495,12.587,12.541,12.486,12.385,12.385,12.431,12.475,12.517,12.528,12.575,12.59,12.707,12.746,12.785,12.832,12.868,12.828,13.027,13.044,13.281,13.297,13.395,13.406,13.697,13.637,13.949,13.965,14.177,14.223,14.285,14.364,14.541,14.818,14.962,15.059,15.519,15.764,16.08,16.296,16.62
"17","9","  Equipment and software","B010RG3",33.467,34.877,35.661,35.978,35.791,36.843,38.375,39.066,38.988,39.202,39.053,38.624,38.75,39.407,40.215,41.406,42.71,43.243,43.433,43.965,44.106,44.381,44.209,44.162,44.113,44.267,44.465,44.44,45.115,45.81,45.259,45.353,45.01,45.219,46.039,46.991,47.836,48.605,49.82,50.616,51.582,51.624,52.038,52.794,52.782,53.054,53.06,53.206,53.602,53.909,54.171,54.31,54.206,54.497,54.577,54.502,54.359,54.201,54.056,53.968,53.923,53.922,53.934,53.731,53.69,53.574,53.554,53.507,53.552,53.589,53.566,53.526,53.593,53.575,53.735,53.524,53.472,53.622,53.761,54.143,54.457,54.731,55.086,55.486,55.687,56.144,56.626,57.208,57.387,57.688,58.183,58.681
"18","10","    Information processing equipment and software","B679RG3",245.266,253.897,258.678,260.418,257.328,258.889,261.528,262.751,262.779,261.284,260.819,263.031,266.825,264.084,267.254,272.336,281.981,283.797,285.566,283.146,285.137,282.549,275.368,271.301,274.815,277.364,278.502,279.821,275.577,278.853,279.417,287.559,286.336,282.288,281.817,283.947,291.937,280.727,298.547,295.386,303.783,302.634,301.894,314.798,307.798,309.696,310.154,309.619,309.794,311.07,313.179,314.319,310.907,312.183,309.981,308.467,307.009,308.692,304.157,304.604,302.029,301.406,297.859,294.187,290.767,289.323,287.315,285.562,285.627,285.151,282.43,282.277,280.719,276.224,277.812,271.018,267.377,264.141,260.4,258.707,258.786,258.775,259.587,258.898,257.268,256.816,256.505,258.044,258.723,258.677,259.373,260.416
"19","11","      Computers and peripheral equipment","B935RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,627505.053,519251.656,436457.093,404730.973,324738.962,448578.999,415687.753,371842.554,314673.395,339896.281,245568.462,252962.962,225492.312,232760.907,195647.377,164051.305,143975.736,137422.146,130635.746,125192.419,122577.613,118692.479,106955.459,101171.891,102124.281,91037.12,96390.919,81787.515,75153.526,67685.58,60621.291,56822.531,54455.69,53128.974,53001.445,50893.513,48074.734,45898.805,43575.734,42916.529,42262.8,41354.674,40227.01,39553.72
"20","12","      Software \2\","B985RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158.881,158.259,157.711,156.568,153.231,150.425,148.269,146.686,146.834,146.946,147.081,147.137,143.871,142.409,140.545,138.585,137.469,136.035,135.368,135.108,136.482,137.039,137.57,137.339,135.246,134.341,133.022,131.863,130.399,129.741,128.939,128.35,128.213,127.887,127.446,127.343,127.573,127.613,127.979,128.422,128.608,128.482,129.209,129.902
"21","13","      Other \3\","B937RG3",44.144,45.697,46.558,46.871,46.315,46.596,47.071,47.291,47.296,47.027,46.943,47.341,48.024,47.531,48.101,49.016,50.752,51.079,51.397,50.962,51.32,50.854,49.562,48.83,49.462,49.921,50.126,50.363,49.599,50.189,50.291,51.756,51.536,50.807,50.722,51.105,52.543,50.526,53.734,53.166,54.679,54.472,54.336,56.653,55.385,55.735,55.826,55.742,55.719,55.97,56.411,56.73,56.506,56.303,56.14,56.165,56.267,56.3,56.353,56.323,56.203,56.038,56.042,56.213,56.374,56.5,56.488,56.424,56.522,56.645,56.856,57.294,56.901,56.89,56.856,56.895,56.969,57.365,57.721,58.14,58.776,59.138,59.461,59.8,60.021,60.49,61.085,61.784,62.225,62.536,63.117,63.647
"22","14","    Industrial equipment","B680RG3",9.508,9.936,10.132,10.432,10.335,10.533,11.066,11.419,11.489,11.455,11.347,11.145,11.304,11.499,11.973,12.524,13.314,13.361,13.278,13.39,13.244,13.531,13.425,13.481,13.58,13.803,13.918,13.904,14.155,14.128,13.948,13.992,14.216,14.34,14.577,15.145,15.399,15.979,16.253,16.737,17.061,17.058,17.37,17.696,17.602,17.701,17.744,17.775,17.857,18.024,18.209,18.339,18.445,18.479,18.499,18.454,18.409,18.32,18.28,18.255,18.231,18.282,18.354,18.392,18.379,18.359,18.36,18.394,18.446,18.495,18.565,18.642,18.708,18.775,18.847,18.923,19.024,19.174,19.397,19.654,19.884,20.066,20.238,20.42,20.591,20.872,21.132,21.397,21.499,21.584,21.746,22.003
"23","15","    Transportation equipment","B681RG3",16.964,17.207,17.461,17.814,17.874,18.102,18.894,19.539,19.464,19.526,19.395,19.469,19.541,19.761,19.831,20.102,20.497,20.817,21.22,21.728,22.198,22.437,22.429,22.234,21.894,21.503,21.426,21.125,21.935,22.923,22.374,22.508,21.501,21.73,22.312,22.436,23.364,23.921,24.463,24.835,25.394,25.386,25.273,24.871,25.393,25.637,25.631,25.725,26.09,26.152,26.138,26.147,25.897,26.086,26.222,26.16,26.181,26.038,26.039,25.88,25.855,25.719,25.792,25.651,25.718,25.654,25.64,25.525,25.437,25.421,25.437,25.341,25.311,25.398,25.391,25.265,25.179,25.267,25.324,25.489,25.482,25.588,25.765,26.068,26.123,26.327,26.51,26.793,26.787,27,27.456,27.723
"24","16","    Other equipment \4\","B862RG3",11.784,12.684,13.153,12.827,12.724,13.568,14.145,14.082,13.97,14.235,14.285,13.838,13.71,14.176,14.567,15.131,15.329,15.618,15.567,15.747,15.704,15.577,15.68,15.783,15.759,15.919,16.065,16.289,16.261,16.369,16.303,16.056,16.154,16.169,16.462,16.848,16.669,16.804,17.12,17.317,17.492,17.597,17.858,18.371,18.278,18.258,18.192,18.282,18.42,18.53,18.605,18.585,18.631,18.785,18.847,18.921,18.828,18.755,18.807,18.823,18.93,19.016,19.043,19.013,19.082,19.071,19.156,19.228,19.297,19.327,19.335,19.268,19.389,19.437,19.515,19.594,19.683,19.847,19.971,20.212,20.414,20.517,20.646,20.822,20.99,21.208,21.521,21.753,21.887,22.075,22.19,22.358
"25","17","Residential","B011RG3",9.231,9.743,9.957,10.204,10.387,10.499,10.74,10.797,10.882,10.869,10.615,10.62,10.605,10.878,11.292,11.272,11.641,11.776,11.839,11.948,12.009,12.113,12.228,12.153,12.161,12.175,12.281,12.232,12.166,12.2,12.342,12.337,12.394,12.498,12.583,12.59,12.693,12.887,12.908,12.851,12.813,12.845,12.932,12.883,12.823,12.837,12.837,12.848,12.868,12.877,12.873,12.882,12.921,12.97,12.972,12.987,12.946,12.997,13,12.988,13.011,13.009,13.005,12.987,12.99,12.94,12.794,12.879,12.759,12.965,13.002,13.287,13.273,13.29,13.277,13.648,13.455,13.945,13.861,14.169,14.194,14.243,14.324,14.596,14.847,14.984,14.988,15.58,15.879,16.112,16.172,16.415
"26","18","  Structures","B012RG3",8.879,9.384,9.593,9.832,10.009,10.115,10.348,10.405,10.492,10.485,10.239,10.246,10.232,10.499,10.902,10.877,11.232,11.364,11.427,11.535,11.595,11.697,11.81,11.738,11.746,11.76,11.863,11.815,11.751,11.786,11.928,11.927,11.983,12.086,12.171,12.181,12.286,12.481,12.502,12.449,12.415,12.448,12.529,12.469,12.422,12.439,12.438,12.451,12.458,12.466,12.463,12.472,12.511,12.56,12.564,12.581,12.541,12.592,12.597,12.586,12.61,12.61,12.607,12.591,12.596,12.546,12.402,12.486,12.369,12.573,12.61,12.893,12.88,12.898,12.889,13.259,13.068,13.554,13.47,13.776,13.802,13.851,13.93,14.199,14.446,14.581,14.583,15.17,15.466,15.697,15.755,15.995
"27","19","    Permanent site","B943RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.946,11.946,11.947,11.947,11.947,11.947,11.946,11.946,11.987,12.037,12.037,12.046,11.988,12.039,12.039,12.05,12.088,12.088,12.087,12.087,12.087,12.035,11.846,11.929,11.789,12.026,12.043,12.387,12.358,12.396,12.354,12.821,12.564,13.134,12.998,13.351,13.324,13.39,13.448,13.762,13.979,14.123,14.068,14.759,14.962,15.113,15.11,15.324
"28","20","      Single family","B944RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.06,12.06,12.061,12.061,12.06,12.061,12.06,12.06,12.11,12.16,12.16,12.16,12.11,12.16,12.16,12.16,12.21,12.21,12.21,12.21,12.21,12.16,11.961,12.061,11.911,12.16,12.16,12.509,12.459,12.509,12.459,12.957,12.708,13.307,13.157,13.506,13.456,13.505,13.555,13.855,14.104,14.253,14.204,14.901,15.1,15.25,15.25,15.5
"29","21","      Multifamily","B292RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.618,12.617,12.62,12.619,12.619,12.619,12.619,12.618,12.618,12.676,12.676,12.732,12.619,12.675,12.676,12.734,12.732,12.733,12.732,12.733,12.732,12.676,12.505,12.562,12.448,12.675,12.732,13.073,13.073,13.074,13.074,13.529,13.301,13.869,13.755,14.097,14.04,14.097,14.154,14.552,14.722,14.892,14.836,15.575,15.802,15.973,15.972,16.143
"30","22","    Other structures \5\","B863RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.283,13.337,13.327,13.372,13.402,13.435,13.425,13.462,13.492,13.537,13.55,13.584,13.588,13.637,13.654,13.593,13.579,13.579,13.57,13.51,13.529,13.486,13.473,13.555,13.51,13.608,13.702,13.803,13.835,13.799,13.882,13.967,13.974,14.209,14.261,14.469,14.605,14.619,14.748,14.893,15.212,15.317,15.472,15.77,16.301,16.736,16.942,17.237
"31","23","  Equipment","B013RG3",57.797,58.341,58.997,60.143,60.657,61.858,63.143,62.946,61.939,60.523,59.187,58.585,58.445,58.809,60.149,61.787,64.035,64.235,63.989,63.555,63.811,63.849,63.973,63.523,63.445,63.538,63.802,63.658,63.376,63.045,62.451,61.377,61.157,61.263,60.709,59.733,58.981,58.259,58.127,57.309,56.622,56.17,57.466,60.267,57.032,56.569,56.845,56.586,59.012,59.225,59.151,59.053,58.853,58.661,58.373,57.958,57.704,57.601,57.319,56.995,56.739,56.4,55.868,55.594,55.258,55.244,55.193,55.077,54.882,54.657,54.558,54.414,54.235,53.883,53.129,52.674,52.621,52.619,52.723,52.68,52.588,52.631,52.797,53.047,53.41,53.728,54.009,54.439,54.716,54.974,55.248,55.521
"32",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","24","  Private fixed investment in structures","A349RG3",8.315,8.624,8.862,9.113,9.309,9.47,9.701,9.773,9.755,9.696,9.538,9.546,9.528,9.682,10,10.122,10.48,10.656,10.765,10.866,10.935,10.978,11.031,11,11.018,11.089,11.206,11.173,11.072,11.045,11.128,11.135,11.18,11.273,11.379,11.483,11.751,11.841,11.993,12.019,12.058,12.145,12.218,12.173,11.995,12.04,12.061,12.084,12.054,12.085,12.101,12.111,12.152,12.15,12.127,12.1,12.079,12.116,12.124,12.137,12.158,12.175,12.168,12.175,12.193,12.174,12.103,12.157,12.081,12.256,12.284,12.524,12.526,12.576,12.585,12.894,12.783,13.164,13.131,13.362,13.403,13.464,13.548,13.774,13.992,14.144,14.198,14.67,14.919,15.152,15.279,15.54
"34","25","  Private fixed investment in equipment and software","A327RG3",33.832,35.235,36.019,36.348,36.167,37.224,38.757,39.439,39.35,39.545,39.382,38.949,39.072,39.726,40.542,41.74,43.058,43.588,43.774,44.294,44.436,44.709,44.541,44.489,44.44,44.593,44.791,44.765,45.43,46.113,45.56,45.638,45.295,45.503,46.306,47.235,48.059,48.806,50.003,50.777,51.722,51.756,52.183,52.966,52.911,53.17,53.179,53.315,53.753,54.056,54.312,54.447,54.341,54.625,54.699,54.618,54.473,54.316,54.169,54.077,54.028,54.022,54.026,53.821,53.775,53.66,53.64,53.592,53.633,53.666,53.642,53.6,53.664,53.64,53.788,53.572,53.521,53.668,53.807,54.184,54.494,54.765,55.118,55.516,55.719,56.175,56.655,57.235,57.416,57.716,58.209,58.704
"35","26","  Private fixed investment in new structures \6\","W040RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.008,12.046,12.064,12.086,12.058,12.092,12.11,12.12,12.16,12.156,12.133,12.105,12.084,12.121,12.129,12.143,12.163,12.18,12.173,12.18,12.198,12.181,12.114,12.167,12.093,12.27,12.292,12.538,12.539,12.595,12.597,12.918,12.8,13.183,13.15,13.384,13.421,13.485,13.57,13.804,14.015,14.172,14.224,14.698,14.931,15.169,15.291,15.554
"36","27","    Nonresidential structures","A771RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.371,11.433,11.474,11.508,11.434,11.501,11.546,11.556,11.595,11.524,11.469,11.392,11.391,11.413,11.425,11.467,11.484,11.521,11.508,11.543,11.579,11.603,11.633,11.643,11.624,11.759,11.773,11.959,11.98,12.068,12.096,12.336,12.304,12.575,12.59,12.751,12.804,12.875,12.964,13.146,13.329,13.498,13.606,13.949,14.144,14.378,14.576,14.853
"37","28","    Residential structures","A756RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.518,12.533,12.531,12.543,12.551,12.56,12.558,12.567,12.607,12.656,12.659,12.678,12.638,12.688,12.693,12.683,12.706,12.706,12.704,12.685,12.689,12.64,12.497,12.582,12.465,12.674,12.704,13,12.985,13.013,12.989,13.387,13.18,13.677,13.591,13.906,13.923,13.979,14.061,14.346,14.583,14.727,14.723,15.323,15.592,15.832,15.88,16.124
"38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
