"","Table 5#5#4# Price Indexes for Private Fixed Investment in Equip","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"34","27","  Other equipment","B682RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.935,12.586,13.631,14.039,14.382,15.571,15.681,15.973,16.184,16.393,17.008,17.786,18.156,18.453,18.661,18.685,18.799,18.922,19.186,19.407,19.837,20.415,21.128,21.982
"35","28","    Furniture and fixtures","B667RG3",10.654,10.721,10.247,9.566,9.297,9.502,9.298,9.025,9.702,9.501,9.296,9.433,10.042,10.99,10.859,10.992,10.856,11.669,13.841,14.657,15.048,15.565,17.249,16.918,17.218,17.367,17.898,18.897,19.882,20.243,20.328,20.407,20.308,20.326,20.294,20.552,20.654,21.056,21.851,22.682,23.846
"36","29","    Agricultural machinery","B268RG3",7.796,7.919,7.803,7.658,8.298,7.96,7.564,7.586,7.749,7.829,7.579,7.573,7.635,7.917,7.873,7.806,7.843,8.342,9.079,10.192,10.858,11.224,11.857,12.327,12.513,12.658,12.65,12.982,13.492,14.03,14.518,14.788,15.041,15.39,15.643,15.919,16.344,16.866,17.454,17.943,18.696
"37","30","    Construction machinery","B269RG3",4.183,4.199,4.006,3.676,3.971,4.162,4.113,4.102,4.486,4.584,4.55,4.695,5.067,5.395,5.488,5.574,5.778,6.342,7.211,8.193,8.459,8.691,9.677,9.825,10.153,10.342,10.718,11.422,12.306,12.877,13.342,13.682,13.872,13.923,14.167,14.583,14.888,15.307,15.819,16.69,17.491
"38","31","    Mining and oilfield machinery","B270RG3",4.204,4.145,4.03,3.737,3.855,3.911,3.913,3.854,4.204,4.438,4.321,4.496,4.847,5.137,5.256,5.43,5.606,6.071,7.007,7.65,8.234,8.817,9.809,9.809,10.276,10.744,11.154,11.911,12.788,13.079,13.188,13.542,13.497,13.679,13.703,13.895,14.012,14.219,14.768,15.389,16.157
"39","32","    Service industry machinery","B570RG3",15.89,15.66,15.118,12.581,11.669,11.909,11.748,11.214,12.282,12.665,12.443,12.743,14.047,15.657,16.126,16.511,16.736,18.427,22.651,23.495,23.344,22.727,24.418,24.34,24.264,24.262,24.109,24.416,24.954,25.03,25.183,25.236,24.869,24.83,24.824,24.961,24.923,25.266,25.813,26.61,27.322
"40","33","    Electrical equipment, n.e.c.","B670RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.617,30.974,33.322,32.313,33.422,35.237,34.001,36.173,35.697,35.352,35.148,35.308,35.856,36.153,35.678,35.24,34.769,34.086,33.932,33.607,33.99,33.752,34.349,35.174
"41","34","    Other","B286RG3",13.026,12.602,11.621,11.475,11.335,11.763,11.482,11.341,13.16,13.032,12.816,13.441,14.42,15.41,16.03,16.514,17.016,18.478,20.096,21.219,21.286,22.267,24.364,23.8,24.01,24.713,24.927,25.484,26.395,25.975,25.743,25.807,25.757,25.766,25.891,26.018,26.107,26.527,26.951,27.596,28.47
"42","35","  Less: Sale of equipment scrap, excluding autos","B287RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.339,12.308,15.423,11.017,13.413,15.692,15.107,13.764,12.183,15.459,18.231,15.469,12.615,13.759,11.93,12.414,10.599,10.458,12.409,13.348,13.424,12.127,11.592,13.963
"43","36","Residential equipment","B013RG3",42.947,42.374,37.84,32.119,32.843,33.856,32.464,33.364,34.683,34.852,33.997,33.239,35.494,39.769,39.953,41.601,47.34,52.932,58.82,62.151,60.059,59.798,63.954,63.789,63.611,62.562,60.716,58.169,57.631,56.758,59.11,58.461,57.405,56.15,55.193,54.628,53.48,52.661,52.766,53.896,55.115
"44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","1. Excludes software ""embedded,"" or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","2. For 1929-45, includes electrical transmission, distribution, and industrial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","apparatus (line 18) and electrical equipment, n.e.c. (line 33).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","3. Includes net purchases of used vehicles; additional detail is available in table 7.2.4B.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","n.e.c. Not elsewhere classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
