"","Table 3#10#1# Percent Change From Preceding Period in Real Gover","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43"
"27","20","          Services","W116RL1",-5.3,1.6,2.6,62.1,10.4,-23.9,21.8,-11.9,4.6,24.6,-7.1,119.6,105.6,31.2,114.2,9.8,-28.8,-66.9,46.2,11.5,-4.2,107.5,39.7,-16.2,-10.9,23.8,11.8,26.5,-2.4,-3.4,14.5,11.5,7.9,12.4,-1.5,0.5,15.4,9.8,-2.2,-4.6
"28","21","      Less: Own-account investment \4\","W117RL1",8.6,26.3,25.4,1465.7,5.3,76.7,-25.6,-17.7,-13.3,6.8,3.4,5,20.8,-40.5,-55.8,39.4,-82.9,-9.5,73.1,28.4,19.8,81.8,45.5,4,-13.5,-16.9,-0.7,11.6,9.4,8,-3.1,4.3,0.5,-9.1,-2.9,3.4,10.4,-17.5,-9.8,-5.9
"29","22","            Sales to other sectors","W118RL1",-24.5,-42.9,-61.8,3.1,43.5,-33.1,-22,74.4,13.7,24.1,-15,352.6,321.9,214.9,83.1,88.4,-4.9,-86.2,-41.8,-49.2,77.2,63.3,-64.9,-3.7,49.3,216.9,-50.7,68.1,-5.5,-22.7,-10.1,-12.6,11.3,14.6,0.4,8.7,42.3,-31.9,-4.5,4.6
"30","23","    Defense consumption expenditures \1\","A997RL1",4.3,-3.1,1.5,-6,-14.5,27.5,4.7,-2.8,6.5,12.2,55.2,306.2,264.5,84,23.6,-4.3,-69.8,-31.7,-4.4,0.1,2.2,70.2,29.3,4.5,-12.9,-6.5,0.2,6.8,-2.2,-7.6,1.2,2.5,6.9,1.1,-2.6,0.3,14.1,13.1,4.3,-3.9
"31","24","      Gross output of general government","W085RL1",2.7,-4.3,0.5,-5.8,-14,27,4.4,-2.4,6.4,11.9,55,307.8,263.9,84,24,-2.3,-67.5,-39.1,-3.9,-0.1,2.2,72,27.7,4.5,-12.8,-5.9,0,7,-1.9,-8.1,1.3,2.3,7,0.9,-2.4,0.6,14.6,12,4,-3.9
"32","25","        Value added","W086RL1",1.8,-2.5,-5.3,-9.5,-2,16.3,1.4,4.9,5.5,6.9,60.7,206.2,162.9,100.6,29,-0.6,-57,-34.7,-11.2,-4.7,-2.4,42.7,14.1,1.8,-2.1,-2.7,-1.5,-0.7,-3.8,-1,1,2,3.9,-0.3,0.4,0,6.9,6.7,1.4,0
"33","26","          Compensation of general government employees","B237RL1",2.9,-2.7,-6.3,-11.5,-2.6,21.3,0.1,5.6,5.8,7.9,74.4,223.7,149.7,91.8,20.8,-6.5,-69.3,-45.5,-2.8,5.7,5.6,73.2,15.1,-2.1,-6.2,-5.1,-2.6,-1.4,-5.9,-2.7,-0.1,2,4.3,-1.8,0,0.1,10.1,8.8,1.3,0.1
"34","27","          Consumption of general government fixed capital \2\","B432RL1",-1.9,-2,-1.5,-1.5,-0.1,0.6,6.7,2,4.5,3.6,12,118.6,263.5,153.2,70.2,24.6,-5.2,-18.3,-18.6,-15.4,-12.7,-2.2,11.5,12,7.5,2.2,0.8,0.6,0.2,2.1,2.9,2,3.1,2.4,1.2,-0.2,0.3,2,1.7,-0.2
"35","28","        Intermediate goods and services purchased \3\","W087RL1",5.8,-10.3,24,5.8,-46.5,79,14.2,-24.8,10.2,32,35.8,655.4,404.5,69.5,18.4,-4.6,-86.2,-67.5,81,25.2,21.2,162.1,50.6,8.1,-25.9,-10.8,2.7,20.1,0.8,-18.8,2.1,2.8,12.9,3.2,-7.6,1.7,29.9,20.6,7.9,-9.5
"36","29","          Durable goods","A998RL1",58.3,6.8,-5.7,27.4,-6.8,-7.7,85,8.8,-1.8,32.3,51.3,1538.7,504.9,86.7,9.4,9,-96.6,-50,131.4,22.9,71,139.8,77.3,11.9,-27.2,-15.2,-5.4,4.7,3.6,-28.5,-15,-17.9,23.8,0.8,-15.5,3.7,45.6,-1.3,15.8,-16.6
"37","30","          Nondurable goods","A725RL1",19.9,18.2,21.3,-5.4,-75,295.6,3.5,-61.6,41.3,-2.5,82.7,478.9,598.4,61.9,9.3,-25.3,-90.2,-62.9,92.5,18.9,5.9,162.4,30.7,60.6,-34.3,-54,-1.4,20.9,1.9,-16.4,7.2,23.4,26.6,-7,10.4,8,42.6,53.8,14.5,-11.3
"38","31","          Services","A489RL1",-5.9,-30.8,33.3,13,-28.1,31.4,12.2,1.7,2.6,49.2,14.5,388.8,127.9,8.3,202.1,2.4,-35.9,-73.2,51.3,31,-3.4,186.2,35,-19.6,-15.9,30.5,12.3,33.9,-1.4,-10.3,13.6,9.4,4.9,7.4,-8.6,-1,19.2,18.9,1.6,-5.4
"39","32","      Less: Own-account investment \4\","W088RL1",7.2,33.4,31.5,1.9,-11.5,44.7,0.9,-3.9,-0.4,0.9,94.1,269,163.8,-39.9,-55.3,34.9,-81.3,-16.7,68.5,30.8,20.2,74.3,45.8,4.9,-12.1,-15.6,0.5,12.4,10.6,-26.1,4.4,1.8,4.6,-7,-0.6,5.2,16.1,-61.4,1.2,6.3
"40","33","            Sales to other sectors","W089RL1",-27.5,-42.1,-63.7,3.6,37.8,-35.1,-33.9,86.1,13.4,-11.4,-51.1,1237.7,372,201.2,63.8,76.1,-11.4,-99.8,1092.8,-51.6,-17.1,1017,-97.2,68,107.9,646.6,-24.4,35.2,32.2,-50.8,24.6,-26.1,23.3,-19.2,33.9,37.7,79.8,-60.7,-48.1,-3.5
"41","34","    Nondefense consumption expenditures \1\","A542RL1",9.6,-1.9,-10.6,50.3,76.6,-23.6,126.3,-14.3,16.1,10.9,-10.3,-28.5,-14,-26.8,48.4,-37,76.1,7.8,40.5,21.9,-22.4,-16.5,17.5,30.4,-3.8,-1.8,-12.2,-3.1,-0.1,44.6,-12.3,-1,21.8,8.9,7,4.6,0.5,4.6,0.1,5.2
"42","35","      Gross output of general government","W128RL1",9.7,-1.9,-10.3,102.5,57,-4.9,74.5,-14.8,12.1,10.6,-9.2,-26.6,-14.6,-24.6,50.4,-8.7,48.2,-6.9,26.8,18.1,-19.2,-16.3,17,28.1,-3,3.4,-16.4,1.2,-2.1,42.6,-12.8,-0.8,20.4,9.3,6,4.1,0.7,5.1,0.4,4.9
"43","36","        Value added","W129RL1",17.2,-7.1,-2.9,72.1,58.8,8.4,97.1,-17.8,15.2,0.5,-6.1,-28.2,-46.1,8.4,-33.2,32.6,97.3,18,11,-3.6,9.4,-6.5,-1.9,-7.1,-4.2,0.7,1.8,2.2,2.8,0.1,6.9,2.4,5.4,6.3,3.5,3.4,5.4,5.6,2.9,1.4
"44","37","          Compensation of general government employees","W130RL1",19.4,-8.9,-4.1,78.8,60.6,6,103,-19.4,15.3,-0.2,-7.4,-33.1,-59.8,9.1,-55.8,70.5,154.8,22,13.1,-4.8,11.1,-8,-2.4,-8.3,-5.1,1.1,2.4,2.7,3.2,0.3,8,2.6,5.3,5.8,2.3,1.9,4,4.9,2.4,0.9
"45","38","          Consumption of general government fixed capital \2\","B546RL1",1.6,9.2,7.5,13.7,33.8,46.5,27.8,15.5,13.9,11.6,9.8,16.7,16,7.2,3.4,3.3,3.3,1.6,1.6,1.8,1.1,1.7,0.7,-0.6,-0.1,-1,-1,-0.5,0.2,-0.8,-0.8,1.3,6.6,10.4,12,14,14.3,9.4,5.9,3.9
"46","39","        Intermediate goods and services purchased \3\","W131RL1",-1.3,7.5,-23.4,184.5,53.9,-27.1,19.5,-2.2,1.2,48.3,-16.6,-22.6,47.5,-45.9,188.6,-25.8,11.3,-38.3,66.5,55.1,-49.5,-40.4,92.5,100.5,-1.8,5.9,-34.2,-0.3,-10.3,129.5,-31.6,-5.8,46.2,13,9.1,5,-4.8,4.4,-2.9,10
"47","40","          Durable goods","A543RL1",21.4,-17,-19.9,868.1,130.5,45.4,-25.9,-10,10.9,-1.4,4,98.7,-35.6,-7.4,-37.9,78.4,-21.1,10.1,-26.5,-15,1.5,-0.9,-7.7,-8.5,13.2,-17.4,2.1,-8.1,-21.9,-24.3,20.4,81.1,61.8,39,29.6,27.7,3.9,-12.2,-20.2,-12.8
"48","41","          Nondurable goods","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","42","            Commodity Credit Corporation inventory change","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","43","            Other nondurable goods","B828RL1",6.6,-28.2,-67.3,745.6,86.4,-39.3,45.6,22,-6,-4.3,-21.8,-30.3,27.6,9.1,25,90.7,71.3,-76.7,91.8,14.5,-55,75.4,-37.6,-0.2,-2.9,15.4,55.2,38.2,-55.4,175.1,-21,16.7,-0.6,11.5,7.4,0.5,17.1,8,-19.7,25.7
"51","44","          Services","A544RL1",-4.7,24,-10.5,96.1,25.5,-35,25.1,-15.4,5.1,18,-14.3,-19.5,22.2,106.5,-4.8,43.6,-8,-56.5,41.6,-7.6,-5.4,-26.8,70.4,0.3,7.9,3.9,9.6,-1.9,-7.9,31,17.3,18.3,16.5,25.6,14.6,3.3,8.6,-7.7,-11.7,-2.3
"52","45","      Less: Own-account investment \4\","W136RL1",9.6,21,20.6,2652.7,5.8,77.5,-26.1,-18.1,-13.7,7.1,0,-13.5,-21.3,-41.1,-56.2,44,-84.5,-0.5,78.1,26,19.3,89.9,45.2,3.1,-14.9,-18.3,-1.9,10.8,8.3,41.6,-6.9,5.7,-1.6,-10.2,-4.2,2.4,7.3,8.4,-12.1,-8.8
"53","46","            Sales to other sectors","W137RL1",14.3,-50,-43.8,0,78.1,-25.1,16.7,50.2,14.3,117.1,20.8,7.4,78.4,392.9,227.1,136,15.8,-51.7,-53.2,-48.6,100.5,-33.8,-9,-7.8,43.2,151.3,-62.4,96.9,-28.2,8.7,-28.1,-0.2,3.1,41.6,-14.6,-11.3,3.3,19.2,20.4,6.5
"54","47","State and local consumption expenditures \1\","A991RL1",6.5,5.8,1.5,-1.6,2.5,6.1,-18.6,8.4,0.6,6.2,5.8,3.6,2.4,-0.9,-2,2.4,3.1,6.7,1.1,8.9,6.2,-0.3,1.4,3.4,4.2,6.6,3.6,5.3,7.8,4.2,5.7,5.5,2.9,4.9,6.6,6.6,6.1,4.6,6.5,6.3
"55","48","      Gross output of general government","W138RL1",7.8,6.2,0.9,1.6,12.6,1.7,4,-2.1,10.8,0.6,-1.3,-0.9,-5.5,-7.1,-2.7,2.3,2.9,7.7,1.5,9.7,6.4,-0.3,1.7,3.2,4.4,6.8,3.8,5.3,8.1,4.9,5.3,5.6,3.7,5.5,6.7,7,6.4,5.1,6.8,6.1
"56","49","        Value added","W139RL1",4,3.4,-0.5,0.7,6.1,4.8,-5.3,3,4.1,1.9,1.2,0.8,-1.3,-2.5,-2.3,2.1,5.2,6.3,2.6,6.6,3.5,2.6,3.3,4.4,4.4,4.6,6.3,5.5,6.1,4.2,5.3,5.2,3.6,5.2,6,6.1,5.9,4.2,6,4.6
"57","50","          Compensation of general government employees","B251RL1",3.6,2.9,-1.3,0.4,6.8,5.4,-6.7,2.9,4.1,1.3,0.7,0.7,-1.6,-2.7,-2.4,2.9,6.5,7.5,2.7,7.3,3.3,2.4,3.2,4.4,4.3,4.5,6.4,5.4,6.1,3.9,5.3,5.1,3.4,5.2,6,6.1,5.9,3.9,6,4.5
"58","51","          Consumption of general government fixed capital \2\","B986RL1",6.8,6.4,5.4,3.1,1.9,1.7,2.6,3.4,4,4.8,3.9,1.6,-0.1,-1.6,-1.8,-1.6,-1,0.6,2.3,3.4,4.2,4.2,4,4.2,5.1,5.6,5.5,5.8,6.1,6.4,5.6,5.5,5.5,5.7,6.2,6.3,6.4,6.4,5.9,5.4
"59","52","        Intermediate goods and services purchased \3\","W140RL1",18.6,13.6,4.5,3.9,28.4,-4.3,23.7,-10.4,23.3,-1.4,-5.7,-4,-13.1,-16.2,-3.5,2.9,-2.9,11.5,-1.4,18.4,14.3,-7.4,-2.5,-0.1,4.4,13.9,-3.9,4.7,15.1,7.2,5.2,7,3.8,6.6,9.3,10,8.1,8,9.7,11.1
"60","53","          Durable goods","B989RL1",-8.4,12.2,-8.7,8.6,41.8,-12.2,111.3,-14.6,34.5,-5.4,-22.9,-21.7,-39.4,-58.7,-22.3,10.8,53,48.2,30,7.4,1.7,5.7,8.8,4.4,10.4,-2.4,11,21.7,0.6,12.5,5.5,5.9,7,6.5,6.9,12.2,7.8,5.2,16.1,14.3
"61","54","          Nondurable goods","B337RL1",20.7,16.6,9.6,3.1,24.6,-9,26.3,-12.9,26.4,-2.2,-5.5,-4.1,-13.5,-15.9,-3.7,-0.5,-11.4,10.8,-4.8,26.8,12.5,-14.2,-0.4,-1.3,2.9,16.4,-7.1,2.3,22.3,21.8,5.1,6.4,3.6,5.2,7.2,7.2,4.6,5.2,8.2,9.1
"62","55","          Services","A988RL1",19.9,10.2,0,4.2,31.7,2.5,11.3,-6.3,17.6,0.6,-2.1,-0.8,-9.2,-13.3,-2.7,6.3,4.3,10.5,-0.1,11.8,16.9,-1.8,-5.2,0.5,5.1,13.5,-2.7,4.9,11.5,-3.6,5.3,7.6,3.7,7.8,11.2,12,10.7,10.3,10,12.1
"63","56","      Less: Own-account investment \4\","W144RL1",12.2,-9.1,-34.5,236,230.5,-25.8,231.5,-27.7,46.3,-13.6,-23.7,-20.4,-51.4,-85.1,-73.7,14.9,83.9,66.9,25.9,33,5.4,11.4,18,-5.1,4.5,-1.1,11.9,1.2,7.1,35.5,-6.3,4.7,6.2,12.4,-1.3,2.8,5.5,-3,5.4,0.7
"64","57","            Sales to other sectors","W145RL1",22.2,14.5,3.2,-1,5.8,1.6,-17.2,4.3,7.8,6.7,7.1,3.6,0.8,-1.1,-0.3,1.5,-2.3,13.1,3.4,14.4,8.8,-2.1,2.4,3.7,6.3,10.4,3.6,6.2,11.2,5.6,3.9,6.8,11.1,9.9,9.5,11.3,9.1,10.1,9.7,4.7
"65","58","              Tuition and related educational charges","B1065L1",17.3,10.8,-6.2,-7.4,-2.7,-0.1,-2.8,-1.2,1.4,-1.4,0,-2.5,-2.1,-7.8,-3.7,2.8,-5.3,9.7,20,13.8,-2.2,-0.7,5.7,8,8.3,12.3,13.5,15.2,13.6,7.6,10.5,9.5,13.1,14.2,17,16.1,13.3,11.5,12.5,10
"66","59","              Health and hospital charges","B1066L1",25,11.8,-3.8,-10.5,-5.6,-6.2,-2.5,-1.6,1.9,-1.9,-0.7,-3.3,-6.4,-4.2,-5,-0.1,-12.3,-5,17.4,12.1,-4.4,0.9,2,4.8,10.1,11.9,14.3,13.6,25.9,4.9,-7.3,1.9,17.1,3.7,8,14.2,14.3,13.4,16.8,3.5
"67","60","              Other sales","W146RL1",21.8,18.2,12.9,7.8,14.3,5.3,-25.8,8.8,12.1,12.5,11.8,7.1,3.5,0.6,1.4,1.8,1.1,18.5,-1.9,15.1,14.2,-3,2.1,2.9,5,9.7,-1.1,2.2,4.8,5.5,8.5,8.6,7.9,11.9,8.5,8.7,5.4,7.9,4.6,3.7
"68",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","1. Government consumption expenditures are services (such as education and national defense) produced by government that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","are valued at their cost of production. Excludes government sales to other sectors and government own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","2. Consumption of fixed capital, or depreciation, is included in government gross output as",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","a partial measure of the services of general government fixed assets; the use of depreciation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","assumes a zero net return on these assets.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","3. Includes general government intermediate inputs for goods and services sold to other sectors and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","for own-account investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","4. Own-account investment is measured in current dollars by compensation of general government",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
