"","Table 5#4#3# Real Private Fixed Investment in Structures by Type","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"34","27","    Amusement and recreation","W046RA3",58.668,53.876,39.741,23.361,19.979,17.089,16.595,19.298,22.744,26.849,27.948,23.322,23.682,10.779,3.76,6.507,11.986,31.049,19.815,29.007,34.679,34.922,33.415,31.3,36.69,44.098,37.585,42.086,46.094,57.692,67.544,82.205,78.459,81.148,88.559,86.267,112.584,114.946,110.823,56.672,67.084
"35","28","    Transportation","W047RA3",205.528,202.35,141.168,81.921,68.873,85.037,85.79,101.971,110.538,83.745,95.445,102.676,114.473,119.885,141.412,175.602,171.072,144.904,132.355,131.895,124.509,111.596,120.339,128.543,123.703,103.213,94.857,101.2,94.172,71.48,67.365,70.536,61.495,62.037,69.378,72.7,79.766,88.492,81.357,83.78,86.461
"36","29","      Air","W048RA3",58.624,54.026,39.396,22.517,18.507,16.24,16.202,19.442,22.969,27.452,28.752,23.561,24.116,10.85,3.791,6.575,12.186,31.923,19.739,29.918,35.73,35.201,34.836,32.163,37.322,45.263,37.642,43.211,46.34,58.922,69.307,83.807,80.307,82.788,90.311,87.444,114.793,116.496,112.754,52.723,62.244
"37","30","      Land \3\","W049RA3",221.584,218.547,152.294,88.411,74.367,92.473,93.311,110.891,120.001,89.796,102.626,111.238,124.268,131.841,156.614,194.24,188.47,156.713,144.523,142.492,133.44,119.166,128.927,138.414,132.34,108.59,100.297,106.621,98.457,71.857,66.105,67.928,58.39,58.698,65.914,69.934,74.428,83.923,76.439,86.823,88.589
"38","31","    Farm","B316RA3",53.318,28.89,14.403,5.535,8.98,12.143,27.167,34.34,40.807,35.272,40.468,32.166,39.565,35.329,42.953,42.417,38.887,154.446,146.341,136.829,132.965,134.467,126.665,133.994,120.114,115.949,109.403,113.037,104.844,119.228,159.449,171.958,166.044,182.082,184.056,181.696,183.294,189.031,210.234,188.033,184.843
"39","32","    Other \4\","W050RA3",42.288,36.27,27.751,20.196,21.408,15.649,12.812,11.339,13.879,14.026,13.824,14.226,13.428,7.006,2.45,4.195,7.101,16.466,15.829,15.694,18.928,25.664,16.001,18.148,24.212,26.412,30.435,25.617,34.625,35.991,40.42,53.788,48.714,51.929,56.776,59.348,73.072,79.721,73.285,72.763,87.901
"40","33","    Brokers' commissions on sale of structures","B321RA3",60.729,47.42,32.367,23.904,24.809,21.837,24.098,27.845,31.528,23.646,25.002,30.042,38.053,19.188,13.567,15.764,26.876,66.221,47.42,39.539,31.528,32.109,31.528,29.719,33.853,35.21,41.348,40.637,41.348,46.838,48.325,55.531,58.804,63.181,62.027,67.762,84.026,89.203,83.468,71.415,62.864
"41","34","    Net purchases of used structures","ZZZZZZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","35","Residential","B012RA3",10.209,6.152,5.124,2.672,2.144,2.954,4.161,5.289,5.747,5.817,8.297,9.352,9.901,4.968,2.982,2.583,3.016,12.706,16.307,19.577,18.091,24.794,20.715,20.34,21.053,22.82,26.527,24.283,22.767,22.982,28.873,26.813,26.887,29.485,32.961,34.868,33.757,30.66,29.658,33.664,34.575
"43","36","  Permanent site","B943RA3",13.834,7.417,6.749,3.043,1.915,2.223,4.224,6.758,7.567,7.909,11.017,12.224,13.33,6.096,2.987,2.195,2.448,14.398,19.149,23.757,22.429,33.001,26.352,24.826,25.641,28.195,33.316,28.843,26.221,26.89,34.25,30.259,30.094,34.32,38.932,41.554,39.733,34.863,33.233,39.051,40.179
"44","37","    Single-family structures","B944RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.115,31.934,28.233,26.753,28.535,30.469,33.431,32.667,29.092,28.511,31.344,29.76
"45","38","    Multifamily structures","B292RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.772,49.879,43.887,55.29,80.402,107.915,107.194,96.351,80.782,70.17,101.373,126.107
"46","39","  Other structures","A863RA3",4.672,4.224,2.645,2.105,2.491,4.066,4.055,3.027,2.948,2.606,4.116,4.932,4.633,3.222,2.962,3.168,3.878,10.05,11.907,13.154,11.451,12.32,12.114,13.458,14.013,14.587,16.147,17.268,17.426,16.953,20.594,21.45,21.883,22.019,23.765,24.588,24.552,24.18,24.147,25.346,25.921
"47","40","    Manufactured homes","B945RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.093,4.089,4.837,2.476,2.937,3.129,5.029,5.163,5.624,9.175,13.628,14.741,14.456,16.318,15.99,15.857,20.102,25.753,35.247,42.718,47.632,54.195,76.867,97.121
"48","41","    Dormitories","B295RA3",117.448,98.292,38.048,26.687,23.648,27.479,30.914,35.01,42.408,38.048,45.711,44.126,42.672,21.006,5.813,8.852,13.343,44.654,31.707,36.199,42.672,39.634,40.03,37.784,54.034,59.847,66.717,85.741,95.649,122.336,129.999,126.319,170.72,279.845,241.126,297.015,321.568,297.44,233.091,190.918,149.296
"49","42","    Improvements","B946RA3",5.714,5.263,3.332,2.452,3.442,4.279,5.448,6.119,6.024,5.387,5.803,5.874,6.031,3.391,2.241,2.843,4.574,14.557,18.14,21.041,18.583,19.795,19.176,20.823,21.789,22.093,24.131,25.607,26.872,26.456,29.861,31.85,32.48,29.86,30.934,30.918,30.169,30.925,31.288,30.549,30.09
"50","43","    Brokers' commissions on sale of structures","B758RA3",3.918,3.44,2.635,2.615,2.174,5.42,3.718,3.015,2.869,2.526,2.698,3.317,3.297,3.178,3.387,3.986,4.321,6.537,5.575,4.498,4.555,5.392,5.734,6.517,6.638,7.634,8.334,7.839,7.451,8.45,10.817,9.867,10.073,11.827,13.777,14.372,14.718,13.258,13.224,14.848,14.573
"51","44","    Net purchases of used structures","ZZZZZZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","45","  Private fixed investment in new structures \5\","W040RA3",18.388,13.749,9.753,5.568,4.359,4.998,6.466,8.865,10.486,9.374,11.22,12.482,13.996,7.554,4.754,5.371,6.983,18.901,21.532,25.081,23.722,29.883,27.348,26.908,28.483,30.219,33.916,33.857,32.811,32.244,36.785,36.427,36.799,39.438,42.064,45.347,47.466,46.77,45.4,48.663,50.651
"54","46","    Nonresidential structures","A771RA3",33.637,28.82,18.631,11.478,8.893,9.992,11.064,14.493,18.355,14.751,15.669,17.828,20.906,12.906,9.383,12.268,16.112,29.573,28.265,30.68,30.048,32.387,35.032,34.879,37.985,39.291,41.533,46.767,46.579,44.024,45.321,48.998,49.85,52.32,52.924,58.291,67.087,71.375,69.348,70.326,74.2
"55","47","    Residential structures","A756RA3",11.348,6.696,5.624,2.788,2.232,2.66,4.357,6.308,6.868,6.943,9.24,10.098,10.908,5.147,2.653,2.248,2.854,13.725,17.992,21.946,20.302,27.959,23.203,22.646,23.489,25.377,29.63,27.136,25.692,26.103,32.163,29.854,29.989,32.67,36.244,38.466,37.275,34.139,33.107,37.44,38.484
"56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","1. Consists of office buildings, except those constructed at manufacturing sites and those constructed by power utilities for ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","their own use.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Includes all financial buildings.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","2. Includes buildings and structures used by the retail, wholesale and selected service industries.  Consists of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","auto dealerships, garages, service stations, drug stores, restaurants, mobile structures, and other structures used",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","for commercial purposes.  Bus or truck garages are included in transportation.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","3. Consists primarily of railroads.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","4. Includes water supply, sewage and waste disposal, public safety, highway and street, and conservation and development.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","5. Excludes net purchases of used structures and brokers' commissions on the sale of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
