"","Table 5#4#2# Contributions to Percent Change in Real Private Fix","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43"
"34","25","    Educational and vocational","W044RW2",0.08,-0.05,-0.85,-1.73,-0.13,0.13,0.78,-0.11,-0.05,-0.02,0.19,0.06,-0.51,-0.42,0.14,0.51,1.54,0.05,0.27,0.09,0.11,0.03,-0.01,0.24,0.36,-0.2,0.13,-0.14,0.16,-0.11,0.09,0.1,0.14,-0.03,0.11,0.02,0.27,0.05,0.07,-0.2
"35","26","    Lodging","W045RW2",-0.12,-0.53,-0.84,-0.41,-0.15,0.06,0.3,0.21,0.25,0.09,-0.27,0.03,-0.49,-0.46,0.27,0.49,1.39,-0.36,0.29,0.13,-0.04,0.02,-0.07,0.1,0.16,-0.16,0.11,0.03,0.24,0.31,0.23,0.25,-0.11,0.36,0.91,-0.03,-0.18,-0.3,-0.14,0.06
"36","27","    Amusement and recreation","W046RW2",-0.21,-0.8,-1.27,-0.46,-0.51,-0.07,0.33,0.33,0.33,0.1,-0.34,0.02,-0.75,-0.74,0.43,0.75,2.09,-0.48,0.37,0.2,0.01,-0.04,-0.07,0.18,0.23,-0.19,0.12,0.11,0.32,0.27,0.35,-0.09,0.06,0.17,-0.05,0.52,0.04,-0.08,-1.08,0.19
"37","28","    Transportation","W047RW2",-0.15,-3.81,-5.48,-2.16,3.24,0.12,2.04,0.83,-2.15,1.04,0.52,0.74,0.3,2.09,4.63,-0.53,-2.37,-0.41,-0.01,-0.2,-0.38,0.21,0.21,-0.13,-0.54,-0.21,0.14,-0.17,-0.57,-0.11,0.07,-0.21,0.01,0.16,0.07,0.13,0.15,-0.12,0.04,0.04
"38","29","      Air","W048RW2",-0.02,-0.08,-0.13,-0.05,-0.04,0,0.04,0.03,0.04,0.01,-0.04,0,-0.08,-0.08,0.04,0.08,0.22,-0.05,0.04,0.02,0,0,-0.01,0.02,0.02,-0.02,0.01,0.01,0.03,0.03,0.03,-0.01,0.01,0.02,-0.01,0.05,0,-0.01,-0.12,0.02
"39","30","      Land \3\","W049RW2",-0.13,-3.72,-5.35,-2.11,3.28,0.12,2,0.8,-2.18,1.03,0.56,0.73,0.38,2.16,4.59,-0.61,-2.58,-0.36,-0.06,-0.22,-0.38,0.21,0.22,-0.15,-0.56,-0.19,0.13,-0.18,-0.61,-0.14,0.04,-0.2,0.01,0.14,0.07,0.07,0.15,-0.12,0.16,0.03
"40","31","    Farm","C316RW2",-0.67,-0.51,-0.43,0.28,0.34,1.46,0.56,0.37,-0.25,0.26,-0.31,0.24,-0.13,0.48,-0.05,-0.34,8.78,-0.23,-0.25,-0.09,0.04,-0.15,0.15,-0.29,-0.08,-0.12,0.06,-0.14,0.25,0.71,0.19,-0.09,0.25,0.03,-0.03,0.02,0.07,0.26,-0.28,-0.04
"41","32","    Other \4\","W050RW2",-0.11,-0.21,-0.27,0.07,-0.47,-0.2,-0.08,0.11,0.01,-0.01,0.01,-0.02,-0.16,-0.2,0.11,0.17,0.43,-0.01,0,0.04,0.09,-0.1,0.03,0.07,0.03,0.04,-0.04,0.09,0.01,0.05,0.12,-0.05,0.03,0.04,0.02,0.1,0.05,-0.05,0,0.11
"42","33","    Brokers' commissions on sale of structures","C321RW2",-0.17,-0.25,-0.19,0.03,-0.15,0.1,0.13,0.1,-0.19,0.04,0.11,0.15,-0.33,-0.18,0.1,0.46,1.31,-0.24,-0.09,-0.08,0.01,-0.01,-0.02,0.04,0.01,0.05,-0.01,0.01,0.04,0.01,0.05,0.02,0.03,-0.01,0.04,0.09,0.03,-0.03,-0.07,-0.05
"43","34","    Net purchases of used structures","E322RW2",0.07,-0.02,0,0.13,0.36,0.01,0.01,0.01,-0.05,-0.39,-0.26,0.4,0.33,0.12,0.05,1.85,9.85,-2.27,-1.07,-0.42,-0.21,-0.14,0.03,-0.03,-0.01,0.54,-0.73,0.15,-0.04,-0.25,-0.12,-0.19,-0.22,0,0.02,0.2,0.17,0.19,0.08,0.01
"44","35","Residential","A012RW2",-16.62,-5.65,-18.61,-6.77,13.49,16.83,12.73,4.01,0.53,21.08,7.29,3.38,-27.16,-19.53,-6.03,6.07,105.67,14.36,11.79,-4.69,22.65,-10.94,-1.09,2.09,4.91,9.73,-5.18,-3.46,0.5,14.18,-4.31,0.16,5.48,6.79,3.46,-1.87,-4.97,-1.64,6.78,1.43
"45","36","  Permanent site","A943RW2",-15.89,-2.22,-16.98,-8.72,3.11,16.89,17.31,4.28,1.54,15.97,5.04,4.12,-24.07,-18.51,-7.25,2.16,79.11,11.36,9.97,-2.52,21.46,-10.72,-2.66,1.44,4.27,8.09,-6.21,-3.61,0.95,10.68,-5.03,-0.21,5.36,5.42,2.86,-1.85,-4.74,-1.62,5.98,1.08
"46","37","    Single-family structures","A944RW2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.01,-4.24,-1.72,2.06,2.07,2.94,-0.7,-3.17,-0.53,2.65,-1.38
"47","38","    Multifamily structures","C292RW2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.67,-0.78,1.51,3.3,3.35,-0.08,-1.14,-1.57,-1.1,3.33,2.46
"48","39","  Other structures","A863RW2",-0.72,-3.44,-1.63,1.96,10.38,-0.06,-4.59,-0.28,-1.01,5.11,2.25,-0.73,-3.1,-1.01,1.23,3.92,26.56,3,1.82,-2.17,1.18,-0.22,1.57,0.66,0.64,1.64,1.04,0.14,-0.44,3.5,0.72,0.37,0.11,1.37,0.6,-0.02,-0.24,-0.02,0.79,0.36
"49","40","    Manufactured homes","A945RW2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.49,0.15,-0.39,0.08,0.03,0.28,0.02,0.06,0.42,0.44,0.1,-0.03,0.17,-0.02,-0.01,0.28,0.3,0.44,0.31,0.18,0.23,0.78,0.64
"50","41","    Dormitories","C295RW2",-0.15,-0.64,-0.17,-0.07,0.12,0.09,0.09,0.12,-0.06,0.13,-0.02,-0.02,-0.23,-0.29,0.09,0.12,0.65,-0.1,0.03,0.04,-0.02,0,-0.01,0.09,0.03,0.03,0.08,0.04,0.12,0.04,-0.01,0.18,0.44,-0.15,0.19,0.08,-0.07,-0.2,-0.14,-0.13
"51","42","    Improvements","A946RW2",-0.39,-2.22,-1.4,2.66,2.92,3.4,1.59,-0.17,-1,0.75,0.1,0.2,-3.07,-2.38,1.9,5.05,22.78,2.97,2.18,-1.62,0.85,-0.35,1,0.59,0.18,1.12,0.71,0.61,-0.21,1.74,0.89,0.29,-1.19,0.46,-0.01,-0.28,0.27,0.13,-0.28,-0.16
"52","43","    Brokers' commissions on sale of structures","A758RW2",-0.26,-0.58,-0.02,-0.75,7.1,-3.12,-1.04,-0.17,-0.34,0.19,0.57,-0.02,-0.09,0.27,1.18,0.61,3.17,-0.5,-0.51,0.02,0.37,0.12,0.3,0.05,0.36,0.24,-0.15,-0.12,0.31,0.75,-0.26,0.06,0.48,0.5,0.14,0.08,-0.3,-0.01,0.35,-0.06
"53","44","    Net purchases of used structures","A759RW2",0.07,0.01,-0.04,0.12,0.23,-0.44,-5.22,-0.06,0.39,4.04,1.6,-0.9,0.29,1.38,-1.94,-1.87,-0.04,0.13,-0.04,-0.22,-0.1,-0.03,0.01,-0.09,0.01,-0.17,-0.05,-0.49,-0.64,0.82,0.13,-0.15,0.1,0.25,-0.17,-0.21,-0.31,-0.17,0.08,0.06
"54",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","45","  Private fixed investment in new structures \5\","W040RW2",-24.72,-28.39,-42.04,-21.06,14.16,26.72,35.44,18.51,-10.73,19.99,11.04,11.7,-44.74,-35.09,11.6,27.26,156.83,12.76,15.65,-5.26,25.36,-8.32,-1.57,5.71,5.96,11.94,-0.17,-3.03,-1.7,13.93,-0.95,1,7.05,6.53,7.62,4.57,-1.43,-2.87,7.05,4
"56","46","    Nonresidential structures","A771RW2",-8.3,-23.31,-23.49,-14.92,8.01,6.33,16.45,14.28,-11.21,3.15,5.92,7.4,-17.38,-13.92,16.87,19.93,54.29,-1.96,3.32,-0.76,2.98,2.71,-0.17,3.57,1.42,2.28,4.81,-0.18,-2.54,1.31,3.22,0.75,2.16,0.5,4.13,6.3,2.93,-1.41,0.7,2.57
"57","47","    Residential structures","A756RW2",-16.43,-5.08,-18.55,-6.14,6.16,20.39,18.99,4.23,0.48,16.84,5.12,4.3,-27.37,-21.17,-5.27,7.33,102.54,14.72,12.33,-4.49,22.38,-11.04,-1.4,2.14,4.54,9.66,-4.98,-2.85,0.84,12.62,-4.18,0.25,4.89,6.04,3.48,-1.73,-4.36,-1.46,6.35,1.43
"58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","1. Consists of office buildings, except those constructed at manufacturing sites and those constructed by power utilities for ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","their own use.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","Includes all financial buildings.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","2. Includes buildings and structures used by the retail, wholesale and selected service industries.  Consists of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","auto dealerships, garages, service stations, drug stores, restaurants, mobile structures, and other structures used",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","for commercial purposes.  Bus or truck garages are included in transportation.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","3. Consists primarily of railroads.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","4. Includes water supply, sewage and waste disposal, public safety, highway and street, and conservation and development.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","5. Excludes net purchases of used structures and brokers' commissions on the sale of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
