"","Table 4#2#1# Percent Change From Preceding Period in Real Export","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45"
"18","11","  Automotive vehicles, engines, and parts","B641RL1",8.1,-2.3,13.4,12.2,17.4,11.5,5.3,4.5,0.7,2.7,0.6,-15.8,-1.1,-18.1,3.5,18,8.8,-1.7,7.8,18.7,2.8,0.1,7.2,15.3,9,10.5,5.4,3.7,13.2,-1.4,3.2,5.9,-6.4,4.1,1.4,9.8,9.1,7.7,11.8,-1.1,-33.1,36.1
"19","12","  Consumer goods, except automotive","A642RL1",7.1,6,0.3,16.9,21.9,24.4,-7.9,12.8,8.2,15.5,5.1,21.2,-4.1,-10,-8.5,-0.5,-3,10.6,17.6,27.7,28.2,17.3,3.6,7.7,5.1,9.3,6,6.7,10.3,3,2.3,10,-0.8,-4,6,13.8,10.4,10.6,10.8,8.2,-7.2,9.1
"20","13","    Durable goods","B690RL1",16.8,-3.2,-4.1,28.2,22.2,30.3,-13,17,4.1,23.4,1,19.7,-12.7,-15.8,-14.6,0.3,-3.8,13.6,22,35.7,40.8,17,0.7,7.2,6.6,7.1,6.3,6.4,11.9,3.4,3.2,11,-0.8,-5,4.4,16.6,14,13.5,15.2,7.5,-16.8,17.5
"21","14","    Nondurable goods","B691RL1",0,13.8,3.8,8.2,21.7,18.7,-2.5,8.9,12.1,8.2,9.8,22.9,6.5,-4,-2.9,-1.2,-2.2,8.3,14,20.8,15.9,17.7,7.1,8.3,3.4,11.5,5.7,6.9,8.7,2.6,1.4,9,-0.8,-2.9,7.7,10.7,6.6,7.2,5.4,9.1,5.2,0.7
"22","15","  Other","A643RL1",13.5,15,3.3,11.5,2.6,-2.1,-1,-5.7,16.9,-19.5,-0.7,10.1,19.1,-15.1,15.3,26,17,-1.8,23.7,8.1,1.7,-11.2,4.3,-2.4,-2.5,2.6,2.3,6.2,10.2,9.7,6.6,2.1,-4.5,6.1,-11.9,-0.2,11.4,2.8,15.8,-8.6,-4,9.9
"23","16","Exports of services \1\","A646RL1",3.7,8.9,7.7,-0.6,7.1,7.8,6.1,3,6.5,8.4,3.1,6.2,10.7,-2.8,-1.7,8.9,1.2,14.5,10,9,10.3,10.5,6,5.4,3.3,6.4,6.3,7,5.9,2.4,5.7,2.7,-4.1,1.9,1.2,11.9,5,7.9,8.3,5.3,-3.9,5.8
"24","17","  Transfers under U.S. military agency sales contracts","B267RL1",-1.8,6.4,19.6,-18.4,-11.9,-8,13.3,-13.6,22.2,2.5,-20,18.9,9.4,8.9,-3,-22.4,-11.1,4.5,36.8,-14.4,-9.2,12.1,4.6,9.2,3.6,-7.5,11.1,12.6,4.9,6,-12.8,-14.9,-6.4,-4.1,9.7,16,18.4,22,-32,-17.4,16.1,8.5
"25","18","  Travel","B493RL1",9.2,7.9,4.4,7.4,14.9,8.8,8.1,13.9,0.2,7.4,7.2,11.7,10.4,-10.9,-15.6,49.1,-1,11.6,10.4,20.6,19.5,12.8,6,10.9,4.9,0.5,7.2,7.5,2.9,-4,2.1,5.2,-13.2,-6.6,-5.3,11.9,5,0.5,9,8.6,-10.9,7.3
"26","19","  Passenger fares","B533RL1",8,20.3,3.3,7.9,38,-0.5,-15.5,11.4,8.6,17.4,37.5,6.9,9.3,-2.6,13.7,15.5,12.6,21.9,17.8,20.7,16,34.2,-5.9,1.9,-2.4,0.4,5.4,8,7.3,-2,-8.7,1.8,-14.1,-7.7,-16.6,7.6,3.2,4.6,6.9,10.7,-3.9,-4.2
"27","20","  Other transportation","B683RL1",7.7,13.4,-1.6,12.5,18.1,4.6,-1.3,8,1.1,6.2,12.7,-0.6,0.5,-4,-3.6,20.8,1.9,-1.9,11.6,13.9,1.3,0.3,0.6,-5.3,0.5,8.7,7.9,-2.7,3.3,-1.8,4.3,0.4,-3.5,4,4.1,13.4,1.7,6.3,-13.6,0.2,-14.6,9.4
"28","21","  Royalties and license fees","B684RL1",3.2,9.7,3.2,4.4,9.5,10.9,3,-4.9,4.8,10.7,-3.8,3.4,-5.8,-28.8,-1.2,2.5,4.3,18.1,21,14.9,9,15,3.2,13.7,1.6,20.4,10.7,4.9,0.5,6.3,9.7,6.3,-7.8,7.8,3.2,17.1,9.5,6.2,16.2,7.7,-4.3,9.6
"29","22","  Other private services","B720RL1",9.8,7.2,15.9,11.5,9.1,63.2,16,15.7,3,18.4,11.4,6.9,43,20.6,-1.2,1.4,-0.2,41.6,0.2,4.7,15.6,5.1,13.8,1.8,4.2,12.2,4.7,10.5,13.1,9.5,15.2,3.4,6,7.4,5.9,10.6,3.6,12,15.7,4.4,0.4,4.4
"30","23","  Other","B980RL1",1.4,5.6,1.8,7.5,16.8,8,7.6,3.8,6.4,6.4,7,-4.1,6.7,-22.1,28.6,1.7,17.2,-9.4,-4.2,-6.3,-4.9,10.9,11.6,6.7,8.5,1.7,-7.2,3.4,-0.6,-6.2,-1.9,-2.3,-1.5,-3.7,-6.6,3.7,-1.9,3.8,3.7,13.4,-7.1,0.9
"31","24","    Imports of goods and services","B021RL1",5.7,4.3,5.3,11.3,4.6,-2.3,-11.1,19.6,10.9,8.7,1.7,-6.6,2.6,-1.3,12.6,24.3,6.5,8.5,5.9,3.9,4.4,3.6,-0.1,7,8.6,11.9,8,8.7,13.5,11.7,11.5,13,-2.8,3.4,4.4,11,6.1,6.1,2.7,-2.6,-13.8,12.6
"32","25","Imports of goods \1\","A255RL1",5.5,3.9,8.4,13.6,7.1,-2.8,-12.6,22.6,12.2,9,1.7,-7.4,2.1,-2.5,13.6,24.2,6.3,10.2,4.6,4,4.3,2.9,0.5,9.4,10,13.4,9,9.4,14.4,11.8,12.5,13.4,-3.2,3.7,4.9,11,6.8,5.9,2.9,-3.5,-15.8,14.6
"33","26","  Foods, feeds, and beverages","B647RL1",-5.2,6.8,3.2,6.5,2.5,-7.5,-11.6,13.8,-1,12.3,2.6,-13,4,1.9,8.5,13.3,4.3,2.4,2.5,-4,2.2,3.8,-4.5,5.6,1.2,2.3,2.5,10,10.1,7.3,9.3,6.8,4.6,5.3,7.8,5.8,3.6,6.1,1.3,-1.3,-5.4,3
"34","27","  Industrial supplies and materials, except petroleum and products","A649RL1",-5.4,1,9,9.7,0.6,-2.6,-15.8,21.8,7.6,9.5,-3.9,-12.7,8.6,-9.3,18.8,24,0.6,5.3,-1,1.1,-2.3,1.6,-1.9,9.9,8.5,14.9,4.7,5.7,8.3,11.1,4.9,6.8,-3.5,2.9,1.6,15.5,6.6,4.3,-3.9,-7.5,-24.3,14.8
"35","28","    Durable goods","A820RL1",-8.8,0.7,9.5,10.7,2.2,-3,-20.5,16.9,12.1,10.5,-5.4,-17.8,5.7,-18.3,24.6,26.1,-1.9,6.4,-6,-1.7,-4.2,0.1,-4.6,9.8,9.8,19.9,3.6,7.1,7.7,15.4,4,6.6,-5.8,5.2,1,20.3,7.1,9.3,-9.7,-8.6,-29.9,15.1
"36","29","    Nondurable goods","B696RL1",0.7,1.7,8.3,8.2,-1.9,-1.8,-7.7,29,1.6,8.1,-1.8,-5.3,12.2,1.4,13.1,21.8,3.3,4.1,4.8,4.2,-0.2,3.1,0.8,10,7.3,10.1,5.8,4.3,8.8,6.4,5.8,6.9,-1,0.5,2.2,10.8,6.2,-1.3,3.6,-6.3,-18.3,14.4
"37","30","  Petroleum and products","B648RL1",11.6,8,14.4,22.1,42.1,-3.7,-1.7,20.6,20.3,-5.5,1.2,-19.2,-12.4,-14,-1,5.6,-6.1,23.6,4.4,10.6,8.1,1.1,-0.4,4.5,9.5,6.8,-1.8,8.4,4.1,6.9,0.8,5.5,2.9,-2.3,6.7,6.6,2,-1.9,4.8,-2.7,-8.8,0.7
"38","31","  Capital goods, except automotive","A650RL1",17.1,4.1,-1,27.8,23.4,6.6,-5,21.1,6.7,29.1,22.4,17.8,17.8,8.8,21,49.4,12.7,13.5,14.2,15.3,13.1,8,7.5,15.9,16.7,22.6,23.1,17.5,25.5,15,14.6,20.1,-11.4,-1.6,5.8,17.5,11.2,11.1,6.7,1.9,-16.8,22.5
"39","32","    Civilian aircraft, engines, and parts","B932RL1",-9.4,2.2,13.5,107.1,24.3,-7.5,-19.1,-34,32.7,33.3,46.1,102.2,12.7,-16.7,-13.2,11.9,39.8,12.9,11,15.9,14.3,5.7,0.8,4.6,-12.8,-2.9,-7.5,13.3,26.2,29.2,7.1,7.5,14.5,-20.5,-7.7,-2.4,2.2,6.1,15.3,-3,-18.1,-1.1
"40","33","    Computers, peripherals, and parts","B852RL1",NA,NA,NA,25,40,42.9,20,58.3,31.6,72,48.8,50,42.7,50.4,146.1,82.6,13.4,55.3,60.4,31,26.2,12.5,28.3,38.7,33.3,33.1,33,27.3,32,24.6,28.9,17,-9,10.3,9,23.8,14.3,17,9.9,1.7,-1.5,28.6
"41","34","    Other","B853RL1",18.1,2,-3.4,22.8,22.2,6.3,-4.7,22.9,4.5,26.9,19.9,10.9,17.1,9.7,15,48.1,10.4,7.1,6.4,11.7,9.9,7.1,3,10.8,15.3,21.8,22.4,14.3,22.9,9.8,10,23,-15.3,-2.9,6.4,17.6,11,9.6,4.7,2.5,-21.4,23.1
"42","35","  Automotive vehicles, engines, and parts","B651RL1",22.1,2.3,22,8.4,3.2,6.2,-20.6,32.5,5.9,8.2,-3.3,-0.9,-3.2,7,22.4,28.5,12,8.3,2.6,-2.5,-2.5,0.1,-6.8,5.1,9.9,12.1,1.7,3.4,8.1,6.5,19.6,8.7,-3,7,2.6,6.8,3.8,6.8,-1,-12.1,-32.4,42.1
"43","36","  Consumer goods, except automotive","A652RL1",18,7.5,5.2,21.9,2.6,-10,-22.5,29,20.8,22.9,0.8,0.7,9.5,4.5,20.4,26.2,9.2,10.8,3.2,1.5,4.7,-1.8,1.7,10.4,8.3,8.3,7.9,7.7,14.5,13.5,12.3,17.5,1.6,9.6,8.9,11.1,8.1,8,5.8,-1.1,-10.8,12.8
"44","37","    Durable goods","B697RL1",15.4,6.7,7.5,23.9,5.8,-5.6,-24.5,20.4,34.4,21.7,-0.5,5.4,8.8,2.1,18,26,11,8.3,-0.1,1.1,5.4,-5.3,0.9,9.7,8.6,9.2,7.1,8.7,13.4,15.7,14,19.6,-0.9,11.8,7.8,15.7,10.8,8.2,6.9,-1.4,-14.1,16.1
"45","38","    Nondurable goods","B698RL1",22.4,8.8,1.9,18.7,-2.4,-17,-19.2,41.4,3.7,24.7,2.9,-6.2,10.7,8.3,23.7,26.6,6.7,14.3,7.7,1.9,3.7,2.5,2.6,11.2,8,7.4,8.7,6.6,15.8,11.1,10.4,15.2,4.5,7.2,10.1,6.1,5.1,7.8,4.4,-0.7,-6.9,9.2
"46","39","  Other","A653RL1",8.5,0.3,3.8,4.7,-7.7,-8.6,-21.2,13.9,22.4,7.6,3,19.7,32,9.6,3.5,15.9,19.1,1.8,4.5,3.7,7.7,15.8,2.3,3.7,2.1,10.6,2.1,3.7,15.3,16.5,17.7,12.5,2.1,3.2,-4.7,-0.2,5.2,1.1,0.6,-9.6,-7,4.4
"47","40","Imports of services \1\","B656RL1",6.3,5.2,-2.8,4.2,-3.4,-0.1,-4.3,6.9,5,7.1,1.4,-2.2,5.8,5.3,8.1,25.1,7.6,1.1,11.8,3.4,4.8,6.5,-2.6,-2.7,2.7,5.3,3,5.2,8.7,10.9,6.8,11,-0.8,1.8,1.9,11.2,2.8,7.1,1.4,2.4,-4.2,3.5
"48","41","  Direct defense expenditures","B752RL1",5.8,-2.4,-12.8,-3.9,-19.8,-6.6,-16.5,-5.7,4.1,8.7,-3.3,9.4,6.2,7.4,8.9,-1.1,4.3,-10.4,-6.9,-6.7,-1.1,-3.1,-7.1,-18.7,-10.5,-17.9,-11.3,10.6,15.3,7.2,7.6,4.6,9.2,24.2,13.6,4.4,-6.6,-2,-18.7,-5.2,11.5,2.5
"49","42","  Travel","B768RL1",8.5,15.4,-0.1,8.2,-5.7,-10.2,-3.5,6.4,3,3.3,-2.4,-0.1,5.8,18.5,13.3,82.8,10.4,-7,18.6,2.8,3,6.8,-9.4,3,4.9,3.6,0.8,3.9,8.6,13,1.9,11.3,-4.8,-6.2,-8.8,6.7,-1.8,0.6,-2.1,-1.7,-2.1,-3.9
"50","43","  Passenger fares","B769RL1",20.9,12.2,-1.8,18.3,14,-2.8,0.4,8.7,0.4,11,2.8,-2.3,15,2.9,25.5,-2.1,16.4,-2.7,10.2,1.7,7.3,16.4,-14.7,3.1,9.1,13.9,6.7,6.4,8.2,8.7,4,7.7,-14.7,-16,3,19.8,1.6,-0.3,-3.6,-0.3,-13.8,-0.7
"51","44","  Other transportation","B770RL1",2,6.8,7.6,6.5,8.7,1.5,-4.4,13.2,11.3,4.2,2.7,-12,0.1,-11.5,3.8,19.4,1.8,2,14.8,7.8,3.6,7.6,-1.4,-4.2,2.2,6,-0.2,-1.4,8,6.8,0.5,11,-5.2,3.2,3.8,11.7,7,6.1,-15.4,-7.5,-15.9,11.4
"52","45","  Royalties and license fees","B908RL1",14.3,-4.1,1.2,16.6,23.6,8,17.2,-4.4,-3.2,18.8,11.1,-19.9,-13.5,-6.7,13.7,18.9,-3.3,16.1,27.9,35,-7,18.4,24.1,24.4,-4.9,13.8,15.3,10.9,14.8,21.7,14.9,22.5,-1.6,15.3,-3.9,18.5,2.1,-7.5,3.1,0.2,-2,15.6
"53","46","  Other private services","B909RL1",11.1,4.9,10.5,3,11.9,101,13,20.2,4.7,16.9,13.3,2.1,17.8,13.4,-6.3,12.1,11.4,43.1,14.3,6.8,16.6,8.5,11.3,-6.3,6.1,12.7,10.1,9.5,7.3,11.7,16.9,11.3,9.7,6.4,7.9,12.9,7.9,21.4,17.9,10.8,-3.6,4.2
"54","47","  Other","B910RL1",-3.3,-0.5,-3.5,-0.6,-0.7,-4.3,-1.1,7.5,0.7,4.7,0.6,-6.2,-0.4,11.5,7.6,3.3,7.1,-5.5,13.4,1.3,0.4,0.2,3.6,2.1,0.5,4.5,1.5,1.9,3.9,3.9,0,5.5,3.5,-0.5,0.4,7.1,-0.9,-1.2,0.9,-2.7,7.2,-3.1
"55",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","48","  Exports of durable goods","A332RL1",8.1,9.4,-0.7,10.5,24.6,15.4,-2.1,1.4,-0.2,11.5,13.8,11.5,-3.6,-13.1,-2.1,10.8,8,5.8,14.2,24.1,14.1,10.7,7.4,8,5.2,12.1,14.2,11.5,18.1,3.2,4.8,12.9,-8.3,-5.7,1.8,11,9.4,10.7,9.3,5.3,-17.1,17.2
"57","49","  Exports of nondurable goods","A339RL1",0.9,14.7,0.1,11.2,20.7,-0.9,-2.7,9.6,3.5,10.7,9,12.5,2.6,-3,-4,3.9,-2.6,4,6,10.2,8.1,4.2,5.8,6.5,-0.7,4.7,6.4,3.3,6.5,-0.2,1.4,6.5,-0.5,1.5,1.8,3.2,3.3,6.5,10.8,8.3,-2.3,10.2
"58","50","  Exports of agricultural goods \2\","B181RL1",-4.3,16.6,-0.2,14.9,26.9,-8.3,1.5,12,2.4,18.4,4.4,12.6,-0.1,-4.5,-4.5,-0.8,-12.8,0.8,5,9.9,4.1,2,0,12.1,-2.6,3.4,11.5,-2.4,2.1,-0.1,0.7,8.1,3.1,-2.5,1.3,-5.4,5.1,8.4,7,6.7,-3.2,8.5
"59","51","  Exports of nonagricultural goods","A182RL1",6.1,8.9,-1.4,8.7,21.7,12.3,-3.9,1.9,-0.5,10,12.8,10,-3,-13,-6.4,4.5,4.3,5.8,11.9,20.1,13,9.2,7.7,7,3.9,10.4,11.7,10.1,15.7,2.4,4.1,11.3,-6.9,-3.7,1.8,9.8,7.7,9.5,10,6.3,-12.8,15.2
"60","52","  Imports of durable goods","A333RL1",6.9,2.8,10.1,15,6.5,0.4,-18.3,22.5,13.2,15.6,2.3,0.8,8.3,1.1,20.5,33.1,10,9.3,4.4,4.2,4.4,2.6,0.5,10.5,11.9,16.5,11.5,10.7,16.5,13.2,14.6,15.2,-6.2,4.2,4.3,13.8,8.5,8.8,2.3,-3.9,-20.6,22.6
"61","53","  Imports of nondurable goods","A340RL1",3.7,5.4,6.2,11.7,7.9,-6.2,-7.2,22.7,11.4,3.3,1.2,-13.9,-3,-5.8,6.5,13.9,1.2,11.8,5,3.8,4.1,3.4,0.3,7.6,6.7,7.4,4.1,6.7,10.4,9.1,8.1,9.8,2.7,2.8,6,6.6,4.1,1.7,3.9,-3.1,-9.4,5.3
"62","54","  Imports of nonpetroleum goods","A187RL1",5,3.6,7.9,12.9,3.8,-2.6,-16.2,23.4,9.1,14.7,1.9,-1.8,9.2,2.1,18.2,28.9,8.8,8.5,4.7,3.4,3.9,3.1,0.6,10,10.1,14,9.9,9.4,15.4,12.2,13.3,14.1,-3.8,4.3,4.7,11.6,7.5,7.4,2.6,-3.7,-17.4,18
"63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","1. Exports and imports of certain goods, primarily military equipment purchased and sold by the federal government, are included ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","in services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Beginning with 1986, repairs and alterations of equipment are reclassified from goods to services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","2. Includes parts of foods, feeds, and beverages, of nondurable industrial supplies and materials, and of nondurable ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","nonautomotive consumer goods.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
