"","Table 5#5#1# Percent Change From Preceding Period in Real Privat","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43"
"28","21","      Light trucks (including utility vehicles) \3\","W178RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","22","      Other trucks, buses, and truck trailers \3\","W179RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","23","    Autos \3\","C280RL1",-33.4,-27.6,-41,34.2,25.1,49.6,26.9,1.8,-40.4,38.4,29.8,9.3,-84.7,-4.2,-45.1,5.2,597.2,40,3.5,19,26.6,-24.2,-21.2,61.2,-4.8,29.9,-29.8,10.6,-26.8,40.3,4.1,-6.2,23.4,-4.7,5.9,24.8,-4.7,-3.8,27.1,3.2
"31","24","    Aircraft","C281RL1",-54.8,-43.9,-90.1,818.7,94.9,-47.2,-10.6,146.7,-24.8,53.5,67.9,-18.4,-83.9,-100,0,541.1,242.5,-36.7,-57.4,84.8,-36.2,-2,134.1,-5.9,12,-28.8,118.3,29.4,-28.5,121.9,-9.9,3.6,-7.2,-40.2,76.2,49.2,39.7,31.9,43.2,-27.5
"32","25","    Ships and boats","C282RL1",26.4,-17.5,-72.8,-37.4,41.5,-57.8,527.6,5.1,87.6,-52.7,133.2,26.2,3.3,16.6,-46.1,56,1.6,103.2,-56.9,-40.3,-8.2,95.6,7.3,-12.7,-47.9,48.7,44.3,22.3,-6.1,-9,-9.9,-13.1,4.4,-13.9,15.4,13.9,5.6,2.1,30.9,7.9
"33","26","    Railroad equipment","C283RL1",0.8,-77.2,-43.7,-50.4,359.6,-13.6,103.6,73.5,-61.3,15.5,79.1,26.1,-12.1,-35.5,29.9,-4.1,-2.8,63.4,55.6,3.3,-27.8,31.1,-11.4,-10.1,-42.7,13.3,27.2,26.4,-57.6,12.5,33.5,-32.6,53.2,4.7,43,22.3,16.4,-12.3,-28.7,32.4
"34","27","  Other equipment","A682RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.8,20.2,-15.4,6.2,0.6,0.7,-1.7,-6.7,18.5,3.3,-5.7,0.9,8,-7.6,-0.2,6.6,16.6,11.1,11.5,12.3,-6,1.3,7.2
"35","28","    Furniture and fixtures","A667RL1",-19.5,-31,-37.1,-10.7,40.4,11.5,21,21.1,-14.7,9.4,18.5,23,-31.9,-18.3,5.2,38.1,60.6,15.4,-8,-6.7,5.1,20.4,-3.2,-3.3,11.4,15.4,6.5,-7.1,0.5,3.1,2.8,-2.9,5.7,12.4,8.3,9.6,11.9,-0.2,-2.3,10.2
"36","29","    Agricultural machinery","C268RL1",-6.9,-47.5,-46.5,-36.1,78.1,100.2,41.5,27.4,-12.5,-11,18.3,44.1,-28,-42.1,139.1,13.9,-21.8,73.4,30.9,-0.3,0.6,-0.7,-6.6,-7.4,-12.8,13.8,-16.8,-3,25.9,3.7,-20.6,2.3,6.4,23.7,7.8,8.6,15.6,0.9,-6.6,0.5
"37","30","    Construction machinery","C269RL1",-16.5,-36.6,-66.8,-38.3,131.8,90.5,66.1,19.9,-20.4,-5.5,28,14.5,-34.3,-29.3,30.1,200.3,17.6,10.8,18.3,-27.9,12.6,7.3,13.2,-11.3,-16.9,32.3,19.3,-22.5,3.3,15.2,-20.4,-5.3,7.3,32.7,19.5,13.6,10.3,-10.8,4.1,8.8
"38","31","    Mining and oilfield machinery","C270RL1",-38.3,-51.5,-21.1,6.6,52.3,50.9,54.3,-6.8,-37.1,17,27.1,67.6,-48.7,-6.4,41.7,73.1,-34.8,1.7,25.1,-25,15.7,21.6,0.7,-7.9,-10.3,31.4,3.5,-5,-33.9,17.8,-9.6,-8.9,-2.5,27.6,11.6,11.9,4.7,-25.6,2.8,5.3
"39","32","    Service industry machinery","C570RL1",-19.8,-17.6,-33.2,1.2,18.8,26,52.6,14.5,-26.7,14.6,10.6,0.2,-24.8,12.6,38.1,38.4,33.2,55.2,37.7,-30.8,5.6,-14.5,7.1,18.3,-4.2,14.1,12.7,3.5,-12.3,1.5,0.4,-0.9,5.8,-1.3,10.3,18.7,13.8,-0.9,4.8,11.3
"40","33","    Electrical equipment, n.e.c.","A670RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.7,-2.5,-0.6,28.9,-12,-6.3,-1.5,-11.7,18.5,11.4,-0.1,-20,6.3,8.6,4.7,10.1,36.2,8.7,16.8,2.4,-25.5,14.3,11.7
"41","34","    Other","C286RL1",-14,-21.5,-22.7,1.2,10.7,13.3,19.5,-12.3,-13.3,13.2,23.6,22.5,-24.7,-11.7,8.5,18.7,66.4,27.8,10.1,-11.9,5.9,-10.1,5.1,5.2,-2.2,16.6,2.2,1.3,13.8,21.1,8.4,8.7,11,9,11.6,7.2,13.9,-11.6,10.5,7.9
"42","35","  Less: Sale of equipment scrap, excluding autos","C287RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,228.5,-62.4,46.8,54.7,7.6,-20.6,44.9,-55,138.4,8,-13.5,-33.4,73.2,34.7,41.7,4,33.1,23.1,21.7,8.4,-19.1,3.8,21.9
"43","36","Residential equipment","B013RL1",-12.9,-4.7,-27.7,11.8,23.7,22.7,16.8,10.9,-16.1,12.8,15.6,21.6,-35.2,-57.5,-34.1,61,259.8,53,3.7,-6.2,26,-7.5,-0.5,5.2,3,13.9,10.7,0.3,6.2,15,-6.2,0.3,6,11.5,7.2,11.7,2.3,2.5,19.2,14.1
"44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","1. Excludes software ""embedded,"" or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","2. For 1929-45, includes electrical transmission, distribution, and industrial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","apparatus (line 18) and electrical equipment, n.e.c. (line 33).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","3. Includes net purchases of used vehicles; additional detail is available in table 7.2.1B.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","n.e.c. Not elsewhere classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
