"","Table 1#2#1# Percent Change From Preceding Period in Real Gross ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45"
"19","12","    Change in private inventories \1\","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","13","Services \2\","A341RL1",3.2,2.1,2.4,3.7,3,2.2,3.6,2.8,3.4,3.8,2.4,1.9,2,1.8,4.1,2.8,5.1,4.2,3.2,3.7,3.1,3,1.8,3,2.3,2.4,2.1,2.4,2.7,3.4,3.8,3.8,2.6,2.5,1.9,2.7,2.5,2.3,2.3,1.5,-0.2,0.8
"21","14","Structures","A755RL1",1.3,-4.3,9.3,7.4,2.1,-10.4,-9.1,9.4,9.5,9.6,2.9,-7.3,-1.3,-8.5,7.2,13.5,5.2,1.5,0.4,-0.2,-0.7,-2,-7.7,3.8,3.1,5.2,1.1,6.5,4.2,5.2,4.1,3.6,0.7,-2.5,3.3,4.9,2.9,-1.6,-5.5,-7.9,-16.6,-7.1
"22",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","15","  Motor vehicle output","A953RL1",0.1,-19.2,28.7,11.2,15,-14.5,-9.4,27.8,14.2,3.4,-7.5,-24.1,7.5,-6.8,28.6,21,10,-0.2,-1.1,5.2,1.7,-9.1,-10.3,11.7,8.9,12.3,-0.1,1.8,8.4,8.2,9.6,-1.5,-4.4,11.5,1.1,4,4,-1.2,0,-18.6,-24.7,25.8
"24","16","  Gross domestic product excluding motor vehicle output","A962RL1",3.3,1.1,2.4,5,5.4,0.1,0.2,4.5,4.2,5.7,3.6,0.7,2.4,-1.8,3.8,6.7,3.9,3.6,3.4,4.1,3.6,2.3,0.1,3.1,2.6,3.8,2.6,3.8,4.3,4.2,4.6,4.4,1.3,1.5,2.5,3.6,3,2.8,2,0.5,-2.1,2.4
"25","17","  Final sales of computers \3\","BB01RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.4,63.1,43.3,21.1,46.1,55.9,26.6,17.4,23.5,20.4,12.6,6.3,12.3,26.2,24.6,22.8,55.6,58,52.9,43,43.2,30.6,12.9,3.1,16.3,4.9,18.4,25.2,18.4,26.5,5,18.5
"26","18","  Gross domestic product excluding final sales of computers","BB00RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9,-0.6,2.3,-2.1,4.2,6.8,3.9,3.3,3,4,3.5,1.8,-0.3,3.2,2.7,3.9,2.1,3.3,4,4,4.5,3.9,1,1.8,2.4,3.6,3,2.5,1.9,-0.1,-2.7,2.8
"27","19","  Gross domestic purchases excluding final sales of computers to domestic purchasers","BB05RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,-2.1,2.4,-1.5,5.5,8.3,4.3,3.5,2.7,3.1,2.9,1.4,-1,3.2,3.2,4.2,1.9,3.3,4.2,5,5.2,4.6,1.1,2.3,2.7,3.9,3,2.4,1.2,-1.3,-3.7,3
"28","20","  Final sales of domestic product, current dollars","A190RP1",8.3,6.3,7.9,9.9,11.2,8.7,10.7,9.9,11.1,13,12.2,9.8,10.8,5.5,8.3,9.2,8.5,6.1,5.7,7.9,7.3,6.1,3.6,5.6,5.1,5.6,5.2,5.7,5.8,5.7,6.4,6.5,4.3,3,4.7,6.1,6.7,6,5.2,2.7,-1.1,2.4
"29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","1. Prior to 1959, inventories held by construction establishments are included in nondurable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","goods. Beginning with 1959, these inventories are included in durable goods.  Estimates for",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","durable goods and nondurable goods for 1996 and earlier periods are based on the 1987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Standard Industrial Classification (SIC); later estimates for these industries are based on",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2. Includes government consumption expenditures, which are for services (such as education",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","and national defense) produced by government. In current dollars, these services are valued",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","at their cost of production.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","3. Some components of final sales of computers include computer parts.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
