"","Table 2#4#5U# Personal Consumption Expenditures by Type of Produ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216"
"75","67","      Educational books (96)","DEBKRC0",269,274,273,285,285,294,286,288,297,305,312,310,311,320,330,339,344,352,356,375,389,412,432,396,401,410,413,444,471,464,469,459,466,467,464,476,498,511,499,528,555,580,597,599,699,680,739,833,728,779,806,692,742,762,718,750,729,740,792,850,839,845,836,786,906,949,952,954,936,982,973,937,890,967,1179,1363,1296,1330,1352,1407,1444,1545,1566,1630,1665,1689,1746,1883,1855,1932,2029,2128,2089,2179,2223,2209,2334,2406,2631,2662,2770,2937,2938,3007,3119,3113,3271,3438,3389,3491,3770,3937,4204,4238,4221,4322,4564,4658,4605,4752,4746,4936,4926,5085,5197,5304,5331,5359,5386,5365,5458,5407,5444,5555,5779,5784,5939,6012,6057,6208,6263,6404,6616,6651,6766,6727,6936,6781,6820,7029,6972,7207,7297,7216,7288,7537,7619,7719,7920,8160,8452,8588,8384,8830,8808,9357,9078,8929,9037,9075,9306,9501,9780,9662,9635,9730,9901,10361,10665,10532,10921,10902,10933,11027,11292,11338,11608,11929,12186,12352,12082,12377,12534,12668,13139,13380,13063,13252,13100,12498,12541,12668,12971,12688,13053,13213,13436,13614,14023,14018,14353,13960,14172
"76","68","      Luggage and similar personal items (part of 119)","DLUGRC0",1126,1143,1139,1148,1150,1187,1156,1163,1189,1199,1243,1265,1260,1273,1281,1285,1285,1317,1374,1353,1421,1454,1477,1510,1558,1570,1604,1686,1770,1794,1825,1836,1850,1888,1929,1951,1996,2162,2239,2283,2405,2435,2415,2463,2515,2597,2650,2703,2801,2898,3001,3094,3108,3211,3284,3387,3565,3621,3654,3695,3836,3993,4066,4022,4208,4362,4541,4643,4832,4951,5081,5180,5304,5343,5423,5686,5563,5690,5753,5823,5667,5632,5563,5509,5237,5176,5112,5189,5088,4931,4953,4689,4641,4605,4692,4736,5057,5323,5487,5717,5791,6015,6043,6203,6244,6387,6589,6683,6920,7114,7294,7487,7787,8057,8257,8348,8413,8525,8719,9028,9228,9482,9874,10107,9754,9637,9654,9745,9923,10007,9908,9970,10386,10275,10779,10835,11011,10956,10767,10805,10622,10748,10958,11389,11129,10776,10871,10810,10847,11136,11148,11085,11078,10985,11024,11249,11778,12324,11888,10997,12515,12773,13073,14119,14527,14538,14531,14663,14644,13806,13514,13530,14286,14256,14274,14309,14708,15633,16656,17489,17765,17713,17792,18271,19512,20242,20691,21519,22844,23306,23810,25044,26092,26627,27154,27440,27543,27973,27559,26293,25896,26850,27179,26681,27456,27355,28200,29521,30033,29917,30004,29593,31084
"77","69","      Telephone and facsimile equipment (67)","DTCERC0",9,9,9,9,9,10,10,10,10,10,10,11,11,11,11,11,12,12,12,12,13,13,14,14,14,14,15,15,16,16,17,17,17,17,18,18,19,19,20,20,20,20,20,20,21,21,21,21,22,22,23,23,23,24,25,26,27,28,28,29,30,31,32,32,32,34,35,36,37,38,39,40,39,43,45,47,73,125,175,234,285,342,406,478,540,607,682,782,870,942,1030,1076,1154,1167,1218,1257,1212,1192,1233,1262,1230,1273,1231,1241,1217,1227,1219,1216,1233,1233,1265,1294,1294,1301,1307,1322,1368,1419,1461,1498,1545,1605,1663,1686,1786,1766,1782,1796,1859,1866,1871,1900,1987,2009,2071,2128,2204,2261,2335,2407,2510,2624,2747,2821,2849,2968,3070,3157,3180,3368,3438,3568,3645,3683,3790,3828,3979,4123,4302,4307,4484,4707,4942,5091,5391,5480,5577,5611,5640,5678,5864,6174,6215,6257,6176,6325,6637,7340,7983,8357,8447,8731,8828,8879,9045,9020,9437,10002,10793,11240,11783,12608,13127,13614,14013,14437,14089,14435,14250,13677,13929,13119,13197,13650,14012,13893,14015,14047,14120,14222,14308,14053,13840
"78","70","  Nondurable goods","DNDGRC0",126074,127154,128190,129461,129603,131964,131579,132414,133402,134245,134597,136165,137833,138746,139961,141477,142457,142805,145168,145278,148653,151455,154877,155799,157760,160767,164068,170544,174094,177236,179771,180396,182376,184022,185777,187864,193534,197770,202842,205008,208835,212216,215988,219744,224482,226549,229714,234476,235828,238833,240423,243595,247038,254304,260085,268056,275454,281386,289917,297675,308853,318016,327667,330908,336206,344849,355964,359659,367436,373071,380606,389606,396466,403704,409908,423603,431075,444813,455622,469365,484591,500066,522348,539388,559946,565913,576500,591251,614045,622849,629126,635700,639853,638722,649719,656739,657003,673049,688436,696521,706457,722372,724568,732782,742385,752760,760484,773346,779252,767454,771041,779007,797383,812282,820657,826781,838387,853540,870778,886322,902528,927748,936289,951340,974170,980853,1003107,1018756,1014148,1021765,1024393,1020699,1037668,1047218,1061050,1074810,1079129,1086326,1092527,1105274,1116846,1128096,1149579,1163012,1166853,1176984,1183689,1191651,1211172,1239542,1246504,1268285,1281105,1277940,1297690,1308208,1307297,1320778,1335831,1356155,1385782,1419191,1441327,1484247,1494330,1537730,1560491,1580866,1575857,1594474,1595143,1585167,1588258,1612801,1621593,1648766,1692573,1672420,1726057,1741445,1781081,1797316,1822067,1876543,1895671,1914428,1984487,2018914,2030537,2065837,2099027,2083634,2121171,2162177,2184271,2234374,2259381,2320288,2349442,2162151,2110615,2134124,2195490,2231132,2280090,2268344,2298974,2358657,2437750,2478922,2502977,2515198,2554529
"79","71","    Food and beverages purchased for off-premises consumption","DFXARC0",61240,61261,61769,62119,61765,62939,62513,63009,63704,63934,63601,63749,64301,64367,64997,64962,65243,65346,66350,66542,67648,68892,70398,71023,71659,73218,74788,78106,79541,80589,81217,81092,81869,81971,82498,83900,85710,87920,90158,91538,93066,94114,95928,98376,101637,102599,104057,105730,105682,107247,107132,108438,109715,113835,115772,118566,121140,124031,129669,132017,137625,139639,145762,149127,151462,154809,159768,160228,163337,165833,168542,171476,175037,178888,180281,184875,188634,193791,198479,203545,210921,215700,220077,226781,232794,235963,241285,246626,250608,253984,256698,260062,262258,265873,268587,271846,270915,275722,279786,281721,285441,290612,293517,294838,297823,300540,303773,309677,314516,314120,316276,320746,321893,323996,325238,326124,332985,339885,347087,351271,357772,361995,367828,373958,382993,390002,395755,395953,400563,406296,405069,399885,402724,402249,404850,408032,408289,411418,414433,419748,423942,430151,435240,439104,440815,442461,443819,447897,453374,460108,464283,469750,473505,471791,476392,477422,478576,483651,488782,495018,502918,509294,515596,526466,524140,535554,541342,548789,552018,559304,562044,565461,566233,567505,569226,575465,582567,580798,591862,594885,603775,607394,614486,626197,632857,639449,647555,658111,662752,669914,675511,688588,698703,704600,714455,727071,732518,749245,757122,746692,741319,743838,746401,752625,761501,759406,766367,778152,792011,806727,815773,819857,825804
"80","72","      Food and nonalcoholic beverages purchased for off-premises consumption (4)","DTFDRC0",53640,53663,54061,54443,54178,55296,54878,55365,56026,56242,55990,56017,56334,56440,56965,56906,57165,57184,58084,58222,59328,60455,61896,62455,63115,64535,66008,69081,70342,71282,71887,71691,72290,72446,72976,74167,75592,77516,79402,80478,81601,82495,84065,86343,89050,89569,90691,92302,91651,92871,92521,93340,94276,98151,99926,102376,104552,107105,112349,114357,119458,121151,126548,129574,131674,134582,139131,139427,142355,144322,146639,149254,152265,155748,157101,161063,164657,169182,173061,177581,184149,188211,191273,197368,202092,205081,210131,214623,217885,220760,222762,225323,226995,230069,232731,235585,234027,238094,241521,243085,247619,252477,254864,255972,258256,260526,262592,267951,271890,271510,273662,278333,279560,281675,282812,283182,289913,295976,303142,306961,312756,316240,321581,327264,334973,340676,344947,344358,348167,354384,353359,350041,353112,352552,354976,357741,357554,360724,363317,367974,371356,376615,380822,384348,386151,387317,388103,391504,395340,401066,404677,409942,412254,410310,413967,414527,415261,419849,424105,429134,436348,441332,446664,455438,452113,461941,466159,472286,475176,481480,484424,487832,487903,488203,489931,495550,502420,501672,511313,513857,521810,524598,531161,541726,548124,554147,560824,569569,572279,578261,583242,594892,603654,608285,617707,629956,635123,650376,656841,647087,641676,644029,645617,649753,656469,653666,659060,668335,681377,694564,702367,706163,711056
"81","73","        Food purchased for off-premises consumption","DFOFRC0",48997,49020,49360,49670,49407,50392,49939,50294,50788,50894,50636,50692,51070,51256,51801,51783,52030,52052,52838,52905,53852,54801,56052,56535,57148,58462,59786,62529,63652,64461,64911,64616,65025,65041,65459,66545,67904,69733,71497,72487,73393,74118,75589,77804,80501,81232,82439,83978,83405,84488,84014,84530,85053,88235,89754,92109,94407,97119,102169,104100,108746,110189,114834,117234,118864,121170,124898,124843,127355,128986,130708,132577,134797,137402,138189,141418,144802,148933,152445,156446,162230,165782,168325,173468,177455,179840,184051,187845,190781,193402,194895,196641,197686,199787,201481,203444,201722,204969,207716,208955,212942,217164,219150,219948,221810,223648,225056,229153,231932,230982,232638,236861,238419,241029,242564,243103,248433,253657,259828,263144,268231,271290,275944,280894,287585,292559,296304,295874,299186,304625,303858,301123,304003,303536,305525,307687,308121,311006,313399,317579,320666,325379,329190,332417,334155,335346,336208,339339,342852,348008,351336,356105,358302,356836,360252,360976,361692,365707,369483,373985,380438,384947,389752,397551,394779,403492,407308,412796,415458,421120,423862,427026,427276,427676,429267,434204,440261,439340,447492,449676,457066,459520,465593,474669,480097,485279,491059,498402,500209,505416,509511,520045,527924,532102,540464,551796,556685,570338,576485,568045,563523,566022,567758,571795,577859,575479,580395,588831,600285,612039,618796,622276,626766
"82","74","          Cereals and bakery products","DCBPRC0",7622,7621,7689,7767,7769,7964,7917,7978,8054,8059,7980,7939,7945,7922,7965,7940,7979,7987,8111,8123,8287,8442,8604,8622,8652,8780,8913,9270,9427,9537,9571,9485,9509,9471,9482,9594,9770,10009,10222,10319,10448,10530,10651,10837,10967,10879,11070,11496,11766,12289,12531,12805,12969,13485,13673,13930,14002,14197,15004,15596,16749,17478,18702,19443,19865,20354,21058,21086,21519,21784,22024,22268,22564,22918,22981,23476,23323,23586,23986,24716,25878,26791,27648,28928,29898,30598,31620,32507,33055,33583,34023,34553,35148,35750,35964,35934,34805,34655,34740,34890,35708,36635,37288,37700,38196,38624,38853,39379,39402,38796,38858,39531,39740,40317,40838,41229,42012,43034,44224,44928,45909,46567,47502,48494,49791,50798,51597,51670,52404,53507,53520,53183,53818,53897,54434,55024,55090,55719,56261,57127,57798,58767,59576,60283,60723,61063,61345,62042,62753,63853,64647,65720,66562,66303,66758,66525,67324,69188,70704,72047,73502,74617,75889,77853,77827,80051,81276,82801,83739,85351,86461,87746,88468,88990,89473,90361,91389,90298,90944,90149,91001,90750,91123,92535,93058,94013,95118,96530,96760,97807,98368,99746,100815,101130,102609,105111,106738,109891,111125,109972,109543,109952,110404,110997,111451,110489,110969,111839,114214,116266,117615,117572,118135
"83","75","            Cereals","DGRARC0",1540,1533,1567,1620,1663,1751,1784,1829,1867,1880,1861,1840,1819,1791,1785,1773,1782,1788,1828,1847,1906,1961,2005,2004,1989,1996,2016,2100,2154,2198,2216,2195,2186,2164,2160,2189,2239,2306,2367,2400,2416,2432,2487,2581,2665,2703,2819,2986,3096,3265,3345,3419,3418,3523,3598,3737,3840,3995,4339,4611,5023,5296,5702,5935,6049,6175,6361,6346,6447,6506,6583,6683,6815,6969,7030,7207,7151,7225,7350,7582,7919,8199,8520,9014,9402,9725,10197,10632,10973,11279,11464,11589,11660,11722,11675,11595,11232,11188,11218,11272,11568,11892,12081,12161,12151,12173,12329,12735,13067,13210,13548,14008,14178,14450,14693,14871,15303,15751,16265,16607,17073,17409,17852,18319,18904,19385,19790,19917,20276,20815,20941,20930,21372,21465,21676,21844,21839,22061,22248,22563,22801,23154,23445,23694,23838,23943,24024,24268,24500,24908,25201,25606,26016,25837,25870,25578,25448,25721,25906,26068,26300,26398,26530,26879,26529,26948,27029,27213,27205,27385,27369,27375,27192,27033,26966,27125,28079,28598,29484,29637,30196,30380,30779,31598,32193,32812,33617,34380,34919,35764,36404,37444,38239,38825,39588,40457,40924,41858,42381,42068,41967,42283,42363,42473,42653,42154,42249,42551,43690,44489,45006,45018,45176
"84","76","            Bakery products","DBAKRC0",6082,6088,6123,6148,6106,6213,6133,6148,6188,6178,6119,6099,6126,6131,6180,6167,6197,6200,6283,6276,6382,6481,6598,6618,6664,6785,6897,7171,7273,7339,7355,7289,7322,7307,7322,7405,7531,7703,7855,7919,8031,8099,8164,8256,8302,8176,8252,8510,8670,9024,9186,9386,9551,9962,10075,10193,10162,10202,10665,10985,11726,12182,13000,13508,13816,14179,14697,14740,15072,15278,15442,15585,15749,15948,15951,16269,16172,16361,16637,17135,17959,18592,19127,19914,20497,20873,21423,21876,22082,22304,22559,22964,23488,24028,24289,24339,23573,23468,23522,23618,24140,24743,25207,25539,26045,26451,26524,26644,26336,25586,25310,25523,25563,25867,26145,26358,26710,27283,27958,28321,28836,29158,29651,30175,30886,31413,31807,31754,32129,32692,32580,32253,32446,32433,32757,33180,33251,33658,34012,34563,34998,35612,36131,36589,36885,37121,37321,37774,38253,38946,39445,40114,40546,40466,40888,40947,41876,43467,44799,45980,47202,48219,49359,50974,51298,53103,54247,55587,56535,57965,59091,60371,61276,61957,62507,63236,63310,61699,61460,60512,60805,60369,60343,60936,60865,61201,61501,62150,61840,62043,61964,62302,62576,62305,63021,64654,65814,68033,68744,67904,67576,67669,68041,68524,68798,68336,68720,69288,70524,71777,72608,72553,72959
"85","77","          Meats and poultry","DMAPRC0",13763,13773,13863,13944,13854,14116,13998,14122,14274,14330,14319,14413,14587,14712,14951,15023,15124,15167,15469,15579,15947,16315,16761,16949,17072,17433,17920,18928,19572,20095,20353,20210,20115,19884,19857,20144,20512,21110,21884,22544,23214,23838,24651,25581,26680,27002,27152,27187,26309,25993,25492,25638,26096,27459,28283,29272,30340,31380,32702,32656,33045,32469,33258,33920,34999,36345,37860,37879,38666,38934,38656,38100,37561,37065,36247,36452,39784,42423,44572,46297,48006,48832,49141,50110,50817,51022,51682,52301,52805,53262,53547,54051,54586,55459,55977,56372,55905,56587,56755,56359,56818,57305,57134,56796,56988,57243,57495,58586,59757,59856,60191,60861,60799,61027,60685,60108,62446,63847,65490,66397,67640,68445,69654,70938,72663,73958,74943,74874,75701,77141,77028,76420,77394,77231,77556,77781,77606,78084,78430,79215,79718,80617,81285,81801,81947,81955,81881,82357,82926,83871,84362,85189,85328,84697,85265,85225,85108,85676,86221,86969,88194,88955,89764,91240,90276,91944,92501,93445,93751,94691,94920,95187,94787,94567,94793,95944,97667,97565,100213,101657,104477,106181,107866,109889,111524,113414,114661,114776,114737,115047,115809,118943,120473,121161,122815,125229,125966,128837,130250,129188,128266,129120,129529,130708,132258,131832,133161,135114,137189,139924,141302,141477,142236
"86","78","            Beef and veal","DBEERC0",7388,7401,7429,7436,7339,7427,7331,7380,7464,7502,7511,7579,7699,7786,7905,7915,7912,7883,8022,8098,8327,8568,8861,9016,9130,9363,9646,10187,10526,10787,10877,10740,10561,10347,10371,10668,11087,11649,12268,12743,13167,13518,13895,14285,14680,14667,14690,14785,14529,14581,14431,14540,14781,15469,15749,16071,16373,16680,17260,17274,17727,17665,18209,18539,18964,19492,20110,19976,20500,20671,20232,19431,18529,17602,16620,16336,18693,20443,21842,22838,23653,23959,23937,24207,24426,24369,24436,24460,24519,24531,24403,24383,24479,24737,24770,24741,24407,24554,24470,24191,24412,24631,24465,24177,24068,23995,24013,24501,25143,25377,25655,26009,26080,26082,25764,25301,25876,26108,26421,26438,26657,26642,26774,26923,27227,27352,27352,26968,26915,27046,26615,26014,25921,25515,25314,25122,24993,24955,24864,24900,24836,24889,24864,24787,24596,24359,24096,23989,23949,23943,23784,23706,23247,22891,22996,23074,23142,23297,23457,23686,24056,24300,24556,24993,24759,25244,25422,25705,25811,26105,26220,26362,26324,26287,26312,26529,27022,27064,27839,28246,29007,29460,29916,30475,30935,31465,31814,31847,31834,31918,32129,32998,33423,33615,34074,34744,34948,35744,36136,35841,35586,35823,35936,36263,36693,36575,36944,37486,38061,38820,39202,39251,39462
"87","79","            Pork","DPORRC0",2573,2577,2587,2588,2552,2583,2545,2559,2583,2593,2595,2618,2655,2685,2737,2759,2792,2808,2859,2861,2910,2952,2999,2999,2985,3020,3092,3275,3400,3514,3601,3624,3697,3720,3691,3648,3537,3468,3508,3619,3819,4032,4264,4481,4701,4765,4765,4721,4490,4362,4247,4281,4400,4687,4886,5103,5335,5548,5767,5707,5675,5479,5565,5685,5942,6253,6560,6569,6584,6547,6576,6682,6871,7096,7213,7429,7986,8434,8822,9170,9553,9774,9896,10140,10246,10282,10523,10832,11086,11372,11711,12115,12426,12836,13231,13596,13791,14209,14317,14103,13875,13661,13470,13441,13784,14153,14374,14640,14761,14602,14528,14599,14639,14665,14502,14245,14780,15045,15363,15505,15725,15840,16048,16270,16591,16809,16952,16855,16973,17209,17097,16880,16969,16873,16904,16933,16863,16917,16948,17080,17155,17314,17421,17493,17485,17450,17398,17465,17540,17708,17782,17923,17992,17790,17806,17668,17587,17711,17800,17898,18065,18136,18223,18451,18192,18465,18514,18642,18641,18751,18702,18643,18447,18340,18385,18678,19017,18959,19452,19729,20288,20630,20964,21358,21672,22036,22277,22299,22292,22353,22502,23111,23408,23541,23863,24332,24475,25033,25307,25101,24922,25088,25167,25396,25697,25615,25873,26252,26655,27187,27455,27489,27636
"88","80","            Other meats","DMEARC0",2128,2126,2150,2181,2186,2251,2255,2295,2342,2366,2358,2350,2333,2312,2335,2356,2415,2463,2527,2531,2550,2565,2604,2620,2653,2723,2797,2939,2998,3043,3081,3087,3137,3161,3183,3216,3237,3280,3342,3393,3474,3545,3627,3718,3831,3834,3826,3820,3713,3685,3619,3633,3674,3845,3959,4110,4269,4437,4672,4726,4826,4797,4995,5177,5384,5641,5958,6053,6233,6346,6418,6460,6493,6537,6505,6613,6711,6869,6964,7067,7269,7358,7383,7525,7689,7759,7817,7807,7737,7658,7576,7573,7646,7759,7815,7844,7738,7799,7778,7673,7640,7629,7620,7655,7861,8051,8108,8151,8036,7790,7706,7798,7928,8098,8158,8118,8559,8862,9205,9447,9726,9955,10245,10551,10926,11243,11517,11630,11875,12231,12347,12382,12694,12782,12932,13049,12983,13103,13202,13376,13504,13701,13860,13995,14066,14115,14150,14281,14425,14642,14783,14985,15088,15021,15152,15162,15160,15298,15428,15591,15837,16000,16173,16468,16324,16658,16792,16999,17090,17293,17361,17431,17377,17374,17473,17763,18053,17968,18419,18679,19218,19550,19871,20245,20541,20884,21110,21131,21125,21184,21325,21902,22183,22310,22614,23059,23194,23723,23983,23788,23618,23775,23850,24067,24353,24274,24519,24879,25261,25764,26018,26050,26190
"89","81","            Poultry","DPOURC0",1674,1669,1697,1740,1776,1855,1866,1887,1885,1869,1855,1867,1900,1929,1974,1993,2005,2012,2061,2090,2161,2230,2296,2314,2304,2328,2385,2528,2648,2750,2794,2760,2721,2656,2612,2612,2652,2713,2766,2789,2754,2743,2866,3098,3468,3736,3872,3860,3577,3365,3195,3183,3241,3458,3689,3988,4362,4715,5003,4949,4818,4527,4489,4520,4709,4960,5232,5281,5349,5371,5431,5528,5668,5830,5909,6074,6393,6677,6944,7222,7531,7741,7925,8237,8455,8612,8905,9202,9462,9702,9857,9979,10035,10127,10161,10191,9969,10025,10190,10392,10891,11384,11578,11522,11275,11044,11000,11294,11816,12087,12301,12456,12153,12182,12261,12444,13231,13832,14500,15007,15532,16008,16587,17194,17919,18554,19122,19422,19938,20655,20969,21144,21810,22061,22406,22678,22768,23109,23416,23859,24223,24714,25140,25526,25799,26031,26238,26623,27012,27577,28014,28575,29001,28996,29311,29321,29219,29370,29536,29794,30237,30519,30811,31328,31001,31577,31772,32100,32210,32543,32638,32752,32638,32567,32624,32973,33575,33574,34504,35004,35964,36541,37116,37811,38376,39030,39460,39500,39486,39592,39854,40932,41459,41696,42265,43096,43349,44337,44823,44458,44141,44435,44575,44981,45514,45368,45825,46497,47211,48152,48627,48687,48948
"90","82","          Fish and seafood","DFISRC0",998,996,1011,1034,1052,1096,1100,1112,1110,1100,1096,1110,1141,1167,1195,1201,1198,1190,1208,1216,1246,1279,1323,1349,1373,1414,1457,1532,1572,1600,1605,1582,1553,1522,1537,1596,1672,1772,1887,1981,2055,2122,2207,2300,2417,2457,2463,2443,2340,2280,2196,2169,2191,2284,2316,2353,2420,2471,2513,2433,2416,2308,2256,2189,2137,2119,2176,2212,2319,2426,2546,2661,2758,2859,2915,3008,3058,3131,3202,3293,3440,3538,3595,3688,3741,3756,3816,3879,3975,4040,4027,3981,3817,3756,3826,4032,4318,4708,5077,5348,5602,5857,5990,6042,6072,6101,6175,6398,6670,6864,7097,7363,7562,7691,7720,7677,7698,7740,7805,7789,7873,7861,7893,7930,8012,8041,8032,7909,7896,7920,7778,7586,7508,7398,7373,7377,7367,7389,7398,7448,7471,7531,7569,7591,7580,7555,7524,7542,7603,7648,7638,7652,7476,7460,7656,7904,7875,7765,7736,7811,8004,8150,8279,8447,8369,8536,8605,8717,8774,8895,8953,9018,9020,9024,9053,9151,9311,9304,9559,9697,9965,10126,10286,10479,10635,10816,10935,10946,10942,10972,11044,11343,11489,11555,11712,11943,12013,12287,12422,12320,12232,12314,12353,12465,12613,12572,12699,12885,13083,13344,13476,13492,13565
"91","83","          Milk, dairy products, and eggs","DMDERC0",10352,10375,10391,10350,10162,10227,10018,10017,10133,10166,10066,9988,9946,9867,9884,9840,9943,9988,10092,9989,9982,9978,10105,10182,10411,10769,11044,11495,11581,11590,11532,11376,11422,11395,11401,11506,11704,11968,12168,12217,12271,12292,12442,12750,13218,13357,13513,13682,13508,13591,13416,13428,13467,13923,14146,14530,14964,15465,16291,16567,17233,17382,18069,18456,18668,19053,19862,20202,20947,21604,22356,23106,23795,24528,24902,25634,24620,24345,24182,24468,25538,26323,26796,27525,28030,28195,28488,28660,28886,28988,28681,28327,27920,27688,27482,27492,27306,27793,28055,28006,28246,28511,28583,28630,29025,29405,29539,29864,29815,29300,29366,29992,30539,31279,31674,31721,32042,32482,33073,33347,33929,34214,34683,35170,35855,36323,36639,36444,36714,37222,36949,36419,36535,36295,36421,36643,36397,36612,36750,37077,37258,37625,37887,38083,38110,38073,37998,38176,38416,38802,38970,39290,39255,38956,39257,39332,39422,39848,40243,40712,41389,41856,42354,43178,42854,43778,44169,44742,45009,45597,45866,46178,46171,46192,46354,46890,47477,46939,47667,47954,49244,49899,50359,50852,50887,50925,51255,51538,51513,51941,52361,53672,54602,55251,56407,58011,59052,60737,61051,59315,57883,57081,56789,57437,58186,58015,58664,59619,60407,61513,62209,62215,62438
"92","84","            Fresh milk","DMILRC0",6033,6048,6054,6026,5917,5950,5816,5797,5835,5830,5769,5738,5758,5752,5764,5710,5718,5688,5695,5603,5584,5572,5641,5690,5847,6069,6211,6421,6398,6333,6252,6149,6204,6217,6218,6245,6299,6377,6425,6407,6426,6425,6471,6587,6778,6798,6834,6894,6802,6841,6742,6731,6743,6965,7049,7204,7379,7582,7941,8043,8351,8409,8727,8900,9014,9200,9543,9629,9914,10140,10378,10607,10828,11076,11173,11457,10950,10796,10628,10629,10997,11221,11286,11467,11615,11613,11633,11604,11654,11625,11405,11169,10927,10805,10678,10651,10612,10808,10954,11025,11254,11515,11665,11776,12019,12247,12362,12564,12594,12463,12590,12977,13438,13836,14028,13998,13938,14041,14187,14185,14358,14363,14448,14543,14723,14805,14820,14624,14626,14707,14479,14161,14067,13888,13856,13866,13626,13582,13514,13518,13472,13489,13463,13409,13293,13154,13002,12935,12892,12887,12804,12766,12588,12360,12340,12264,12347,12559,12722,12868,13047,13161,13296,13544,13442,13729,13843,14009,14076,14249,14332,14437,14447,14439,14443,14531,14734,14625,14909,15050,15484,15719,15863,15984,15968,15952,16044,16139,16136,16275,16428,16881,17215,17461,17863,18400,18761,19327,19415,18807,18299,17988,17867,18073,18311,18259,18465,18767,19012,19360,19580,19582,19652
"93","85","            Processed dairy products","DDAIRC0",3141,3150,3147,3119,3033,3028,2961,2975,3047,3093,3078,3048,3004,2949,2938,2925,2954,2978,3051,3081,3160,3236,3316,3339,3366,3428,3480,3610,3649,3670,3672,3640,3636,3624,3673,3788,3952,4154,4333,4434,4516,4568,4631,4719,4815,4797,4845,4956,4987,5123,5159,5242,5314,5525,5605,5713,5788,5900,6210,6384,6768,6970,7383,7640,7753,7936,8325,8534,8887,9221,9648,10101,10528,10969,11234,11626,11221,11123,11121,11343,11871,12298,12659,13180,13590,13843,14153,14353,14470,14542,14443,14335,14199,14111,14066,14126,14035,14311,14409,14278,14179,14092,14046,14099,14419,14734,14850,14961,14763,14296,14194,14431,14602,15028,15308,15434,15665,15945,16323,16564,16935,17188,17528,17874,18317,18657,18924,18931,19164,19544,19514,19338,19549,19485,19597,19742,19629,19797,19917,20132,20262,20496,20675,20821,20877,20898,20898,21036,21210,21465,21601,21822,21861,21738,21946,22027,22089,22352,22600,22891,23301,23594,23906,24403,24252,24804,25053,25402,25577,25945,26145,26383,26443,26480,26549,26780,27128,26873,27287,27391,28047,28342,28584,28907,28976,29046,29255,29408,29385,29620,29827,30518,30990,31302,31908,32775,33321,34229,34423,33520,32786,32410,32284,32649,33072,32973,33339,33880,34331,34960,35354,35357,35484
"94","86","            Eggs","DGGSRC0",1179,1178,1190,1206,1213,1249,1241,1245,1251,1243,1220,1202,1183,1166,1182,1205,1271,1322,1346,1305,1237,1170,1147,1153,1197,1272,1354,1465,1534,1587,1608,1587,1582,1555,1510,1473,1453,1437,1410,1376,1329,1299,1340,1444,1625,1761,1834,1832,1719,1627,1515,1455,1410,1433,1493,1613,1797,1983,2140,2140,2114,2003,1959,1917,1901,1918,1994,2039,2146,2243,2330,2397,2440,2483,2494,2551,2449,2425,2433,2496,2670,2804,2852,2878,2825,2738,2701,2703,2763,2821,2833,2823,2794,2772,2738,2716,2660,2674,2691,2702,2813,2904,2872,2755,2587,2424,2327,2340,2459,2541,2582,2584,2499,2415,2338,2290,2439,2496,2562,2598,2636,2663,2706,2752,2815,2861,2895,2888,2924,2972,2956,2920,2919,2922,2968,3035,3142,3233,3320,3427,3524,3641,3749,3853,3940,4021,4099,4204,4313,4449,4565,4702,4806,4858,4972,5041,4985,4937,4921,4953,5041,5101,5152,5231,5160,5245,5273,5331,5357,5403,5390,5358,5282,5274,5363,5579,5615,5440,5471,5512,5713,5838,5913,5961,5943,5927,5956,5990,5992,6047,6105,6274,6397,6487,6636,6836,6970,7181,7213,6988,6799,6683,6638,6715,6803,6784,6860,6973,7064,7193,7275,7276,7302
