"","Table 5#6#5BU3# Inventory Valuation Adjustment by Industry      ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64"
"11","3","Manufacturing industries","I300",8391,6781,7520,8119,5866,6958,11213,16023,14956,1521,-4234,-12610,-9615,-13976,-8878,-9196,-8245,6006,11459,11072,17420,5739,-5792,-13510,-13486,-2263,-5484,-10466,-19299,-29315,-27447,-23833,-25012,-12851,-12802,-19740,-18990,-28283,-23069,-6689,-18703,-20733,-16472,-31151,-48679,-73868,-40776,83696,34144,14272,-7369,-31518,-13953,-14747,-13617,-33852,-48372,-29392,-11968,1940,-10996
"12",NA,"  By type of industry:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","4","    Durable goods industries","I30D0",1913,4049,6749,8362,2371,4041,8229,11877,7204,693,-388,-4920,1412,-5874,-4344,-5845,-4016,3954,5489,6068,10231,3423,180,-5365,-1484,2653,-1120,-4310,-9144,-15893,-18850,-15307,-12219,-3405,-1256,-6060,-10229,-19625,-18153,-6946,-6580,-9879,-2163,-3440,-23267,-39226,-23549,23516,22684,15292,-3037,-13840,-3940,-13227,-3512,-8686,-21216,-16844,-5244,3900,-5840
"14","5","      Wood product manufacturing","I3210",-297,-300,-245,-177,476,518,190,-200,-109,-149,169,205,131,502,91,-259,151,157,118,251,-488,256,626,2,-97,3,-377,-453,-1345,-642,-86,124,-1042,124,397,-159,-50,-356,-140,334,-620,-240,-506,-546,-315,-439,-895,-432,352,180,-36,-293,-190,-146,215,236,-328,120,120,348,-404
"15","6","      Nonmetallic mineral product manufacturing","I3270",175,-167,-173,64,46,-176,-69,-96,-79,-77,-228,-268,-319,-172,-503,-542,-664,-71,40,139,194,19,86,-501,-519,-352,-282,553,366,-137,-696,-549,-860,-625,-367,-296,-594,-690,-566,-399,-31,-310,-339,-934,-481,-845,-1272,-620,-687,-432,-58,-379,177,-85,-124,-42,-464,-584,-224,120,-612
"16","7","      Primary metal manufacturing","I3310",-1920,954,839,398,1853,1294,1923,2174,2015,639,-452,-1166,-1709,-976,-132,963,-72,809,943,695,739,535,-499,-806,-792,127,-236,-1671,-2383,-3111,-3355,-4801,-2730,-327,170,-1096,-2951,-5360,-3395,-2194,-1433,-3809,370,456,-4655,-8297,-3871,9503,7305,3522,-2483,-4761,-1493,-1793,-629,-2409,-3344,-1500,-308,2692,-900
"17","8","      Fabricated metal product manufacturing","I3320",-44,230,47,-185,62,-43,444,1209,1334,400,-379,-816,-1224,-692,-620,498,398,1233,566,762,583,73,-510,-645,-1610,-724,-503,1352,-1293,-3678,-5837,-4994,-2472,-18,787,-1945,-2498,-3783,-3307,-860,-3177,-2182,-172,-167,-4682,-10901,-6771,8381,8255,4929,-447,-3934,-1716,-4568,-612,-1948,-4344,-3832,-1012,692,-488
"18","9","      Machinery manufacturing","I3330",1108,-1347,-481,873,-970,-724,55,1157,-324,-305,258,-565,581,-861,-563,-1289,-1472,528,845,1046,2274,992,-427,-1250,-414,88,-548,-1787,-1867,-2585,-2972,-2552,-2190,-1529,-1064,907,-2190,-2390,-2388,-837,-2603,-1978,-1092,50,-4619,-7862,-4800,3279,3313,3711,-137,-2693,680,-2718,-664,-1383,-3908,-3460,-908,-832,-1260
"19","10","      Computer and electronic product manufacturing","I3340",4146,5313,6210,4999,2995,2686,3937,4257,3758,917,208,-122,4715,-965,1056,-2890,-3132,628,3126,2570,2151,1925,1322,934,4598,3886,1346,-709,730,-337,158,870,1226,709,431,-911,-971,-1034,-799,356,2769,2049,1313,634,94,-1141,270,903,1387,2304,615,-1832,1030,-125,629,-746,-2576,-460,292,820,-788
"20","11","      Electrical equipment, appliance, and component manufacturing","I3350",-748,-143,171,680,622,659,367,44,272,-121,-218,-76,-43,-569,343,-440,-396,-235,221,606,173,-10,146,295,-131,-29,96,-244,-893,-809,-955,-868,-702,-323,-241,-910,-1091,-1866,-1126,-153,149,-1123,-158,-367,-2082,-1512,-212,1322,1703,511,-442,-731,-716,-687,-238,-689,-1324,-1092,-504,208,-336
"21","12","      Transportation equipment manufacturing","I3360",-750,-302,356,2018,-2794,-351,1041,2787,424,-142,623,-2160,270,-2220,-3907,-2155,1699,1286,-797,-941,3972,-952,-876,-3305,-415,27,-60,-1849,-1162,-2905,-3797,-1946,-2043,-305,-793,-1823,1435,-2733,-5502,-2795,-82,-1496,-1014,-2590,-5038,-6399,-4049,264,-651,-571,-485,1709,-1612,-1561,-1642,-1069,-3412,-4340,-1968,-492,-724
"22","13","        Motor vehicle and parts manufacturing","I336MV0",652,-128,-257,951,-419,479,675,-193,-545,-47,1117,200,-1201,-340,-505,374,-591,460,-138,634,1237,-174,173,-988,-120,136,279,-359,-2207,-2087,-411,571,-2166,-811,203,282,11,-1123,-2230,-2,-980,-182,-52,-570,-1832,-3708,-1827,2284,2277,1876,-482,-1442,-2154,-108,81,135,-1348,-1700,-496,116,-424
"23","14","        Other transportation equipment manufacturing","I336OT0",-1402,-174,614,1067,-2375,-831,366,2980,969,-95,-494,-2360,1471,-1880,-3402,-2529,2289,827,-658,-1574,2735,-778,-1049,-2317,-295,-109,-338,-1490,1045,-818,-3386,-2517,124,506,-996,-2105,1424,-1610,-3272,-2794,898,-1314,-962,-2021,-3207,-2691,-2222,-2020,-2928,-2447,-3,3150,542,-1453,-1723,-1203,-2064,-2640,-1472,-608,-300
"24","15","      Furniture and related product manufacturing","I3370",-64,-137,32,65,-133,52,19,182,-98,-169,-146,172,-212,-207,129,256,-239,-490,246,763,400,320,-1,-329,-1065,-581,-457,547,-424,-703,-193,-7,-358,-125,-101,-140,-394,-177,41,114,-201,-96,-63,3,-686,-744,-426,252,416,343,-1,-252,240,-703,56,149,-312,-348,-52,64,-76
"25","16","      Miscellaneous durable goods manufacturing","I3390",307,-51,-7,-373,215,127,322,365,11,-301,-222,-124,-777,285,-237,13,-288,108,180,176,233,265,312,241,-1039,208,-100,-50,-873,-986,-1116,-585,-1048,-987,-474,313,-924,-1236,-973,-511,-1350,-694,-503,21,-801,-1085,-1523,664,1291,795,435,-673,-340,-841,-502,-786,-1204,-1348,-680,280,-252
"26","17","    Nondurable goods industries","I30N0",6477,2731,772,-243,3495,2917,2984,4146,7752,828,-3846,-7690,-11027,-8102,-4534,-3352,-4229,2052,5970,5004,7189,2316,-5972,-8144,-12001,-4916,-4363,-6156,-10155,-13422,-8597,-8526,-12793,-9446,-11545,-13680,-8761,-8658,-4916,257,-12124,-10854,-14309,-27711,-25412,-34642,-17227,60181,11460,-1019,-4332,-17678,-10014,-1520,-10105,-25166,-27156,-12548,-6724,-1960,-5156
"27","18","      Food manufacturing","I3110",379,392,450,-633,924,124,54,502,1288,319,-738,-483,-1487,-1198,688,-983,-2070,-659,253,632,-816,856,-1639,376,-2617,-2383,-3075,-2004,-3280,-4080,3351,-1184,-470,342,118,-597,878,-313,-3178,-3843,-5829,-4471,-3790,-6144,-9950,-4114,461,8759,5558,37,3535,-3830,-1554,50,-4645,-8536,-9620,-3780,-3632,2880,-407
"28","19","      Beverage and tobacco product manufacturing","I3120",559,-84,-565,-654,-256,5,-159,-145,290,296,-136,-670,-377,-308,-150,23,-18,31,198,70,-777,-72,122,326,51,-206,-230,133,-854,-889,-693,-28,1241,1143,1092,921,282,73,-409,-618,-991,-853,-488,-129,-814,-680,-596,-419,-350,-129,-236,-410,-6,3,-214,-658,-96,-80,-140,0,-69
"29","20","      Textile mills","I3130",115,-2,69,53,-145,-67,74,231,784,254,27,-214,-214,-85,20,62,-628,590,775,895,406,246,-79,-165,-242,48,-62,77,139,-165,154,84,-54,12,-219,-299,-287,-42,7,128,-77,-81,-156,-263,-320,-253,-242,110,439,-12,-70,-216,-5,-147,-137,-235,-384,-276,-188,-4,38
"30","21","      Textile product mills","I3140",24,65,12,-5,9,99,123,86,343,135,88,10,-184,-199,-25,176,173,362,267,102,-43,-131,8,94,62,126,75,41,41,-167,-29,-16,-265,-26,-38,101,-224,-103,50,162,-128,-71,-62,-10,-41,-63,-298,-10,221,-46,5,-9,31,-106,-53,-139,-336,-312,-68,96,62
"31","22","      Apparel manufacturing","I3150",133,37,38,-57,2,203,212,191,1205,365,-273,-201,-47,-65,-16,12,-674,83,609,491,193,-50,-145,-119,102,-71,-255,468,-74,-118,-203,-106,-410,-226,232,243,-353,-307,103,181,-95,-168,-214,-128,-424,-211,-143,-240,-172,-131,-17,24,-3,-56,-21,-22,-320,-272,0,80,59
"32","23","      Leather and allied product manufacturing","I3160",-131,32,70,44,72,12,1,162,69,4,-51,-42,-139,23,-44,-76,-139,-27,45,109,-143,-28,-69,96,-76,14,-47,-22,7,-26,44,-74,29,-56,-24,62,60,-69,-12,-55,-91,-46,-35,-20,9,-156,-85,-32,-19,-8,44,6,-14,-46,-75,-5,-124,-56,-80,-32,-11
"33","24","      Paper manufacturing","I3220",1623,26,5,-14,-935,-232,93,444,1097,869,597,-299,-1362,-1223,-577,-22,-260,408,632,-98,1360,1295,541,-172,-261,-560,-235,-128,269,-821,-1003,-1125,-1607,-1043,-122,757,-1289,-746,-249,96,-187,401,-33,-685,-1738,-1740,-1424,122,1508,1453,644,-607,-512,-1159,-693,-80,-684,-784,-324,296,31
"34","25","      Printing and related support activities","I3230",1116,-452,-363,-313,-391,-142,-193,22,917,660,248,-56,-753,-552,-340,112,-467,-125,409,578,1580,512,-200,-442,-365,-304,-17,142,36,-275,-194,-527,-364,-328,-429,17,-639,-273,-63,158,528,545,95,55,-766,-1028,-778,25,656,967,563,-255,190,-365,-438,-68,-208,-276,-124,-12,-56
"35","26","      Petroleum and coal product manufacturing","I3240",1654,2061,1022,1142,4316,2143,1078,213,-177,-2255,-2416,-3860,-3148,-861,-1157,-954,906,685,822,1778,30,-1403,-2320,-4920,-3850,1147,-1150,-4055,-2728,-2752,-4684,-1451,-7959,-6656,-8817,-3540,-2696,-4024,1922,1346,-3565,-3694,-6762,-13303,3837,-10718,-2334,44774,149,-5508,-7804,-8692,-5487,3346,-2234,-11054,-6888,1704,1896,-4224,-2699
"36","27","      Chemical manufacturing","I3250",847,752,-144,-124,-596,119,1060,2111,1031,219,-491,-1099,-1962,-2115,-2514,-1922,-1069,208,612,-87,1744,480,-463,-635,-3445,-1970,313,-373,-3147,-2878,-3754,-2165,-800,-1613,-2717,-9233,-3739,-3514,-1595,1706,-2143,-1817,-2397,-6327,-12987,-13378,-8515,4997,1013,1502,-581,-3165,-982,-1657,-1427,-4435,-6880,-6068,-2748,-1080,-1436
"37","28","      Plastics and rubber product manufacturing","I3260",158,-95,176,318,495,653,641,331,903,-38,-702,-775,-1354,-1520,-420,219,17,495,1348,535,3655,611,-1728,-2583,-1360,-758,320,-435,-563,-1253,-1587,-1934,-2131,-995,-622,-2112,-754,659,-1492,997,453,-600,-469,-757,-2218,-2300,-3272,2094,2458,856,-415,-523,-1673,-1382,-169,66,-1616,-2348,-1316,40,-669
"38",NA,"  By stage of fabrication:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","29","    Materials and supplies","I30M0",3406,1954,2325,3820,-1169,1557,5556,10288,9145,3908,-1963,-8642,-1082,-4236,-4229,-3014,-1715,207,4646,6336,5909,1888,-3150,-3886,-3605,-1054,-2285,-6349,-8682,-10470,-10658,-11303,-8590,-3419,-5479,-11141,-6400,-10631,-7662,-3497,-8107,-10411,-5962,-6387,-20174,-28641,-14831,33260,18528,12100,-3954,-17986,-5681,-5742,-4624,-16582,-18940,-12052,-5448,1688,-3576
"40","30","      Durable goods industries","I30DM0",1122,1525,1942,2947,-1386,657,4025,7553,4714,2474,-411,-4316,2776,-1286,-3076,-1756,-243,-57,2855,3910,1730,354,-175,-264,586,901,-116,-3444,-4013,-6139,-7560,-7748,-5253,-1227,-803,-3680,-2762,-7853,-7381,-2641,-2175,-5524,-472,-1364,-11085,-17435,-9696,13881,12511,11791,-2092,-9064,-4248,-6255,-103,-3735,-8252,-6444,-2620,1704,-1908
"41","31","      Nondurable goods industries","I30NM0",2284,429,382,873,217,900,1532,2735,4431,1434,-1552,-4326,-3858,-2950,-1153,-1258,-1472,264,1790,2426,4179,1534,-2975,-3622,-4191,-1955,-2169,-2906,-4669,-4330,-3098,-3555,-3337,-2191,-4675,-7461,-3638,-2778,-282,-857,-5932,-4887,-5490,-5024,-9089,-11205,-5134,19379,6017,309,-1861,-8921,-1433,514,-4521,-12847,-10688,-5608,-2828,-16,-1668
"42","32","    Work-in-process","I30W0",3281,2999,1454,2787,2328,2207,3133,4580,1475,-1151,-90,-1001,-1042,-4851,-1830,-3930,1949,3400,461,-874,3861,-638,-720,-1744,-4008,1138,-1739,939,-4558,-6377,-7176,-5222,-4022,-1822,-4073,-5899,-2166,-8820,-9129,-2486,-4086,-4951,-4025,-7899,-11417,-16470,-5519,19428,969,-775,-1831,-3749,-1157,-4940,-2826,-11096,-10804,-6260,-2272,-392,-2993
"43","33","      Durable goods industries","I30DW0",2455,2325,1427,2932,1449,1907,2168,3618,1751,-514,25,-915,-218,-3716,-648,-2796,1216,2198,174,-499,5903,785,-710,-3618,-1225,1180,-1123,633,-2702,-4735,-5380,-3972,-1938,308,-1443,-3175,-2561,-5994,-5258,-3879,-1608,-2657,-831,-477,-8621,-10443,-4014,5047,3688,550,-577,-600,465,-4703,-738,-3709,-6564,-5212,-1744,980,-1724
"44","34","      Nondurable goods industries","I30NW0",826,674,27,-145,879,301,965,962,-276,-637,-115,-86,-824,-1135,-1182,-1134,733,1202,287,-375,-2042,-1423,-10,1874,-2783,-42,-616,306,-1857,-1642,-1795,-1250,-2084,-2130,-2630,-2724,395,-2826,-3871,1393,-2478,-2294,-3194,-7422,-2796,-6027,-1504,14381,-2718,-1325,-1254,-3149,-1622,-237,-2088,-7388,-4240,-1048,-528,-1372,-1269
"45","35","    Finished goods","I30F0",1704,1827,3742,1513,4707,3194,2524,1155,4336,-1237,-2181,-2967,-7492,-4889,-2819,-2252,-8479,2399,6353,5610,7650,4489,-1922,-7880,-5872,-2347,-1460,-5056,-6059,-12468,-9613,-7309,-12400,-7610,-3250,-2700,-10425,-8832,-6278,-706,-6510,-5371,-6486,-16865,-17088,-28758,-20426,31008,14647,2947,-1584,-9783,-7115,-4066,-6166,-6173,-18628,-11080,-4248,644,-4426
"46","36","      Durable goods industries","I30DF0",-1663,199,3379,2483,2309,1478,2037,705,740,-1267,-2,311,-1147,-872,-619,-1293,-4989,1812,2460,2657,2598,2284,1065,-1484,-845,572,118,-1500,-2429,-5019,-5909,-3588,-5028,-2485,990,796,-4905,-5778,-5515,-426,-2796,-1697,-860,-1600,-3560,-11348,-9838,4588,6485,2951,-368,-4176,-156,-2269,-2670,-1242,-6400,-5188,-880,1216,-2208
"47","37","      Nondurable goods industries","I30NF0",3367,1628,363,-971,2399,1717,487,449,3596,30,-2179,-3278,-6345,-4017,-2199,-959,-3490,586,3893,2953,5052,2205,-2987,-6396,-5027,-2919,-1578,-3556,-3629,-7449,-3704,-3722,-7372,-5125,-4240,-3496,-5519,-3054,-764,-280,-3714,-3673,-5625,-15266,-13528,-17410,-10588,26420,8162,-4,-1216,-5607,-6959,-1797,-3496,-4931,-12228,-5892,-3368,-572,-2218
"48","38","Wholesale trade industries","IWT0",5099,8961,7815,4057,10106,12576,10024,302,7842,2511,-3104,-9168,-16002,-4989,-245,2411,-6619,-2274,4565,21950,13639,2601,-15417,-15297,-11358,1769,-492,-15654,-14504,-15045,-10029,-16814,-9875,-7067,-7889,-20233,-11871,-16915,-22065,-23523,-24487,-13572,-13591,-44458,-55013,-54478,-20523,77157,33313,-1352,-9549,-25818,-9686,5404,-16933,-56964,-55000,-19752,-18428,-7872,-11444
"49",NA,"  By type of industry:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","39","    Durable goods industries","IWTD0",5773,3757,6083,5333,5864,9609,8216,676,8116,4105,-1561,-4608,-6610,-1727,2162,6587,-3694,-985,3083,14003,11709,4649,-3339,-8522,-571,4487,2641,-9919,-9362,-10880,-7543,-7803,-4060,-290,3044,-13793,-8081,-9925,-14046,-7034,-5158,-5945,-4415,-8012,-16100,-27026,-12915,28135,20492,7937,-2996,-7455,-4854,-3150,-137,-8020,-12460,-11188,-6904,-2068,-3156
"51","40","    Nondurable goods industries","IWTN0",-675,5203,1732,-1277,4242,2967,1808,-373,-274,-1593,-1544,-4560,-9392,-3261,-2406,-4176,-2925,-1289,1482,7947,1930,-2048,-12079,-6775,-10788,-2717,-3133,-5735,-5142,-4165,-2486,-9010,-5815,-6777,-10933,-6439,-3790,-6989,-8019,-16489,-19329,-7627,-9176,-36446,-38913,-27451,-7608,49022,12821,-9289,-6553,-18363,-4831,8554,-16796,-48943,-42540,-8564,-11524,-5804,-8288
"52",NA,"  By type of wholesaler:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","41","    Merchant wholesale industries","I42W0",3287,7369,6603,3341,8222,12032,8936,-1226,7034,2347,-2184,-8036,-12258,-5041,1479,3075,-5907,-2226,3537,20274,10711,2177,-13225,-9153,-9738,2621,-1380,-11574,-9640,-8653,-6549,-14650,-3555,-2759,-5945,-18369,-6047,-10455,-15073,-17859,-20307,-10568,-9571,-35686,-51317,-43210,-15879,55805,32705,1852,-6313,-18190,-7270,7240,-15053,-50612,-44384,-14364,-16960,-7084,-8588
"54","42","      Durable goods industries","I42WD0",4429,2477,4807,4521,4812,9517,7488,-404,7504,3569,-1297,-4404,-4670,-2651,2826,6031,-3542,-1045,2899,13623,10081,4085,-3663,-7130,-1075,3811,1293,-7611,-6290,-7396,-6419,-7891,-1456,926,2324,-14393,-5829,-7097,-11218,-5382,-3650,-5009,-3675,-7240,-16356,-22530,-11251,20787,18136,6637,-3788,-6667,-4838,-1662,-405,-6840,-9272,-8836,-6700,-2756,-1880
"55","43","        Motor vehicles, parts, and supplies wholesalers","I42110",-550,346,1281,1799,-423,3269,862,-3965,154,-170,-103,-733,-86,-645,-407,-122,-952,132,-1836,3892,2917,1601,-1204,-1514,-812,3187,1341,-3932,-3437,-983,411,3564,1007,384,692,-1143,580,1586,-3013,43,2524,1645,-2597,-4068,-3249,-2005,5,2906,4768,910,-1825,362,-233,368,1457,-1620,-220,-1100,-1064,212,-210
"56","44","        Furniture and home furnishings wholesalers","I42120",69,103,5,-1,-210,65,-185,98,352,109,-164,-424,-454,-234,49,311,-59,12,56,-5,211,233,-265,-442,-226,-123,-35,101,-188,-174,-174,96,-140,-215,-149,-263,-40,109,-183,-554,-566,-296,-91,108,-654,-563,-268,22,130,-168,-109,-275,99,27,-122,-27,-188,-464,-304,-212,-176
"57","45","        Lumber and other construction materials wholesalers","I42130",-371,-922,67,1002,25,285,330,387,-607,-648,-621,372,-552,199,869,436,622,-905,-399,581,347,-159,-84,-122,559,363,-609,-1240,-1311,-1733,-629,373,499,444,662,-2853,-1884,-752,900,1310,1074,-755,274,-869,-306,-505,-1052,7,555,435,-87,-483,-861,-551,242,206,-320,-60,-360,36,279
"58","46","        Professional and commercial equipment wholesalers","I42140",4245,2416,3117,1526,2553,3365,4231,4895,4919,2851,1487,311,467,664,1717,2443,1694,545,2826,3730,0,459,1636,1902,-325,-14,888,2399,1246,824,591,-413,1267,1117,1110,1027,1663,1286,735,187,-48,697,1244,1498,-1647,-354,1518,2524,2306,360,-24,-229,608,1559,-390,-28,340,836,664,-68,-227
"59","47","          Computers and software wholesalers","I421430",2985,2926,2985,2804,2156,3583,4610,4820,4854,2983,1646,405,2407,1547,920,987,2374,943,2699,3240,-161,271,1945,2753,611,574,1072,1503,1336,1025,765,95,2075,1540,940,529,1808,1448,1004,412,717,1106,1382,1184,-387,200,1362,1994,1681,1001,440,271,-224,382,745,1009,676,904,804,256,32
"60","48","          Other professional and commercial equipment wholesalers","I4214X0",1260,-509,132,-1278,397,-218,-379,75,65,-132,-159,-93,-1939,-883,797,1457,-680,-398,127,490,161,188,-309,-851,-937,-588,-184,897,-90,-201,-173,-508,-808,-423,170,498,-145,-162,-269,-224,-765,-408,-138,315,-1261,-554,155,530,626,-641,-465,-500,832,1177,-1135,-1038,-336,-68,-140,-324,-259
"61","49","        Metal and mineral (except petroleum) wholesalers","I42150",-566,16,315,311,621,582,646,720,1738,1149,-67,-2260,-1219,-1035,-513,1319,465,489,412,386,1219,-202,-1216,-1288,-113,140,-96,-1865,-2819,-4830,-3389,-3738,-2708,1057,2288,-3409,-1005,-2218,-3232,-3165,-398,-2190,228,832,-1125,-9673,-7544,11900,12228,7637,-466,-7084,-4241,-2829,-104,722,-3932,-3280,-440,948,534
"62","50","        Electrical goods wholesalers","I42160",-582,-100,428,2218,-123,208,809,486,1522,812,-49,-960,1548,825,-86,-1323,-1691,136,1482,2095,2513,876,-186,-1520,1658,1144,-23,-1824,-633,-40,982,408,-95,356,43,-691,-323,-1002,-598,-346,-832,674,109,-914,-3177,-1422,706,1589,254,105,-75,-358,40,238,23,388,-360,-528,-544,-224,-672
"63","51","        Hardware and plumbing and heating equipment wholesalers","I42170",111,19,-98,-265,-428,-231,-32,666,49,-13,-242,-285,-544,-209,61,232,-58,-149,-243,-362,147,98,-195,-442,-464,-284,-42,422,174,-185,-587,-970,392,-281,-540,-1482,-1322,-691,-113,594,-51,-662,-525,-689,-1294,-1154,-796,-324,990,-82,-1141,-307,451,303,-356,-605,-184,-440,-452,-284,-193
