"","Table 2#4#6U# Personal Consumption Expenditures in Millions of C","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66"
"12","4","Q1NDC1 D       New domestic autos","Q1NDC10",70738,64825,65195,57527,50618,48880,50101,51412,54300,51353,53673,54595,53165,56154,56999,62887,61056,59598,57547,61113,53792,54879,56561,60558,59245,57572,52890,54444,53327,49363,54232,54289,52808,58415,54283,59405,58873,61922,63068,61413,69061,66638,64314,58347,64848,60018,57252,76658,63743,62491,67098,60826,61083,63679,63965,61079,63456,59777,58240,56896,58682,66585,69989
"13","5","Q1NFC1 D       New foreign autos","Q1NFC10",40053,38942,36810,35769,28659,30164,30528,28703,31377,31489,29295,30633,27968,30270,29302,29053,28370,28758,29336,27282,26327,26710,24961,24898,23299,23669,25339,25776,27784,25843,28616,30680,29734,31056,30225,32137,31899,35724,36374,40671,38957,38851,38738,39422,36999,39234,38012,41907,40091,39153,40506,39666,39749,37648,39875,38904,41635,42519,40818,43128,40196,42380,44862
"14","6","Q1NPU1 B     Net purchases of used autos (71)","Q1NPU10",42481,42078,42617,42436,46241,41877,46784,44362,47288,48667,47623,47683,49930,49043,48246,46244,55514,51736,53166,53487,53677,50743,56059,50740,51951,56265,57813,53175,61149,55754,55603,57016,55069,54610,65517,70151,59328,66511,65654,55342,65757,54754,55938,66152,60443,58862,60820,54680,55491,61005,60241,55542,59513,53769,56656,54986,52774,54740,55327,59410,60286,50920,53508
"15","7","Q1NET1 D       Net transactions in used autos","Q1NET10",22363,22961,23055,23269,25985,23131,27433,25200,27386,28338,27170,26806,29061,27850,26872,25609,33339,30109,31447,29889,30823,27783,32900,28994,29113,32818,34577,31061,38635,33394,32236,34528,33775,32607,42809,46300,37739,42964,42170,33903,41854,32930,33109,42106,36043,33301,36525,31191,32032,39667,41047,35724,38528,33818,35335,33159,33416,32103,33409,38349,37519,29203,32634
"16","8","Q1MAR1 D       Used auto margin","Q1MAR10",22628,21376,21906,21401,22585,21191,21269,21402,22265,22656,22779,23294,22958,23498,23851,23100,24067,23690,23729,25819,24932,25293,25095,23827,24967,25438,25140,24088,24414,24255,25237,24393,23189,23879,24504,25666,23415,25373,25318,23163,25702,23557,24560,25723,26174,27430,26154,25247,25038,23353,21445,21730,23028,21826,23157,23452,21311,24058,23545,23268,24628,22895,22478
"17","9","Q1REE1 D       Employee reimbursement","Q1REE10",-1861,-1843,-1857,-1845,-2076,-2054,-1999,-2060,-2300,-2322,-2168,-2137,-2127,-2123,-2138,-2096,-2055,-2038,-2055,-2031,-1994,-2011,-1990,-1983,-1944,-1965,-1962,-1998,-1938,-1914,-1888,-1863,-1863,-1857,-1798,-1813,-1834,-1791,-1793,-1730,-1753,-1733,-1724,-1729,-1744,-1804,-1853,-1823,-1728,-1687,-1684,-1746,-1756,-1742,-1725,-1695,-1751,-1782,-1784,-1799,-1776,-1808,-1743
"18","10","Q1OAU1 C     Other motor vehicles (72)","Q1OAU10",86187,80467,78273,73429,70282,70933,75288,74315,77899,81962,85474,87513,86425,92248,91277,96899,98152,98523,95839,102041,97547,98760,99379,103672,107679,108663,110030,114319,117490,118952,129030,133526,129822,145769,146500,165545,159237,169478,169709,165881,180254,167216,174726,170795,183016,182361,189123,227702,215103,211685,229436,221983,223533,242637,257095,249829,245638,240603,256305,252821,242781,250096,261414
"19","11","Q1TRU1 D       Trucks, new and net used","Q1TRU10",79388,73796,71202,67600,63065,64131,69467,67734,70885,75408,78929,80241,79353,84461,83097,89074,89809,89688,87259,92509,89132,89620,90201,95316,99153,99983,100656,104950,107985,109575,119338,123511,119578,135192,135338,154071,147946,157756,158210,153285,167117,155222,163138,159576,172182,171065,178007,216610,203282,199661,216931,209521,210687,229140,243065,235839,230756,226155,240969,236157,226108,233293,245446
"20","12","Q1REV1 D       Recreational vehicles","Q1REV10",6904,6733,7059,5918,7118,6754,5918,6590,7009,6637,6664,7334,7145,7844,8205,7895,8392,8869,8613,9562,8461,9178,9217,8390,8558,8715,9421,9406,9544,9409,9709,10031,10277,10580,11182,11468,11292,11721,11495,12609,13142,11996,11587,11217,10839,11296,11126,11142,11847,12040,12534,12482,12859,13523,14064,14011,14855,14430,15318,16584,16575,16715,15969
"21","13","Q1TBA1 C     Tires, tubes, accessories, and other parts (73)","Q1TBA10",29668,29446,29332,28588,28064,29311,28866,28105,28777,28993,29498,30391,30525,31735,32975,33348,34762,34971,35807,36464,36099,36837,37538,38157,38977,39492,39769,40466,40946,40918,41902,42165,42824,43957,43674,44710,45766,46652,47675,48639,49245,48665,49441,48796,47338,48048,47431,48825,47867,48176,48714,48217,48013,48731,49884,50144,50718,50838,51227,52681,53198,53900,53587
"22","14","Q1TAT1 D       Tires and tubes","Q1TAT10",14193,14152,14169,13620,13439,14091,13731,13164,13394,13414,13599,13940,13906,14334,14807,14915,15529,15502,15757,15829,15634,15846,15987,16250,16580,16797,16794,16965,17045,17054,17517,17718,18043,18464,18324,18893,19370,19643,20234,20711,21096,20685,20925,20741,20097,20313,20022,20649,20221,20354,20789,20640,20508,20862,21447,21643,21955,22053,21973,22559,22834,23206,23065
"23","15","Q1PAA1 D       Accessories and parts","Q1PAA10",15434,15254,15124,14929,14587,15180,15095,14903,15345,15542,15861,16412,16583,17365,18134,18399,19199,19437,20020,20614,20445,20976,21545,21901,22391,22689,22973,23504,23909,23870,24390,24450,24782,25495,25354,25817,26396,27011,27441,27929,28150,27980,28517,28055,27241,27736,27410,28177,27647,27823,27925,27577,27505,27870,28439,28505,28769,28792,29256,30123,30365,30697,30524
"24","16","Q1FUR1 B   Furniture and household equipment","Q1FUR10",122168,120213,118983,118079,118770,121874,122609,121101,124606,125557,128858,132022,136196,139794,142773,145586,148712,154229,158813,165312,166166,169474,176076,181546,183201,192663,195636,201978,206387,212683,220171,225847,233460,238554,249033,257604,266140,275073,285650,296066,306671,311280,315898,317779,323796,328146,332238,343018,356889,363454,365231,371649,372528,387401,407489,417681,428410,437087,449184,456819,469210,475903,489718
"25","17","Q1FNR1 C     Furniture, including mattresses and bedsprings (29)","Q1FNR10",43828,41916,41031,40383,40498,41198,41175,41125,41048,40763,41735,41853,42661,43915,44171,44470,44553,45457,46934,48605,47730,48031,49116,50072,49806,51837,52049,53338,54698,54721,56551,58070,58928,58625,58954,60444,61391,61989,63958,65559,66747,68593,68543,66501,67679,67630,68229,69848,71920,71944,70717,71623,70585,72769,74619,76536,77616,78526,81209,81639,82524,82541,84971
"26","18","Q1APP1 C     Kitchen and other household appliances (30)","Q1APP10",22522,22292,22009,21883,21868,22450,22024,21773,22854,22980,23106,23643,23417,23813,24421,24073,23870,24075,24076,24848,24983,24819,25385,25228,25042,25610,25076,25660,24902,25156,25339,25381,25869,26496,26813,27104,27899,28896,29541,29327,30036,30185,30412,31006,30982,30794,30814,31590,32302,32979,32604,32719,32680,33785,35383,36397,37426,38019,38965,40031,39945,39848,39818
"27","19","Q1MHA1 D       Major household appliances","Q1MHA10",20094,19742,19388,19171,19071,19520,19017,18713,19553,19640,19698,20137,19990,20363,20899,20405,20267,20511,20442,21059,21189,21071,21595,21410,21241,21697,21280,21842,21234,21507,21638,21658,22042,22685,22912,23068,23730,24602,25155,24885,25557,25607,25709,26202,26128,25884,25856,26433,26991,27575,27203,27244,27144,28105,29427,30311,31155,31655,32378,33275,33120,32946,32814
"28","20","Q1SEA1 D       Small electric appliances","Q1SEA10",2561,2663,2718,2794,2868,2995,3050,3090,3320,3356,3417,3511,3438,3467,3541,3665,3603,3571,3635,3787,3793,3748,3793,3819,3802,3914,3797,3820,3670,3653,3705,3726,3828,3817,3905,4036,4169,4296,4387,4443,4480,4579,4703,4805,4855,4913,4962,5166,5322,5415,5416,5495,5562,5703,5981,6107,6295,6387,6617,6786,6866,6958,7080
"29","21","Q1CHN1 C     China, glassware, tableware, and utensils (31)","Q1CHN10",18233,17623,17548,17816,17793,17816,17406,17300,17871,18448,19041,19248,19701,19607,20015,19870,20366,20965,21370,21719,21570,22542,22787,23258,22994,23930,23887,24795,24719,24831,25319,25166,25763,25546,26370,27326,27706,28233,29066,30735,31020,30601,30922,31429,31455,31798,31808,32487,33595,34044,34748,35481,35243,36404,37762,37795,39028,39174,38878,39806,40562,40141,41231
"30","22","Q1RAD1 C     Video and audio goods, including musical instruments, and computer goods (91)","Q1RAD10",18406,18662,18696,18723,19043,20243,21286,20740,21576,21850,22726,23764,25261,26568,27530,28923,30243,32020,33429,35532,36430,37733,40780,43350,45030,48251,50028,52286,54864,59134,62422,65428,69815,73557,79958,84179,88947,94225,100069,104674,111749,115179,118468,120995,125146,129321,133722,141201,149083,154060,157263,161970,164444,172123,184387,191244,197999,203556,211299,219097,230170,236924,246604
"31","23","Q1VAM1 C       Video and audio goods, including musical instruments (92)","Q1VAM10",32246,32423,32278,31713,31190,32455,33044,31832,33263,33009,33747,34898,35804,37010,37305,38066,39365,41432,42694,44275,44321,44568,46926,47784,47887,48914,48972,49373,49021,50753,51401,52175,54019,55659,57742,58731,60305,62968,66085,68141,71504,72378,73267,73906,75396,76548,77783,80361,82674,84629,85152,85575,85845,88349,92781,95465,98390,100535,103553,105501,110693,112035,115520
"32","24","Q1TVV1 D         Television receivers, video cassette recorders, and videotapes","Q1TVV10",10919,10908,10702,10464,10294,10509,10547,10171,10445,10270,10369,10582,10829,11277,11627,11686,12037,12547,12870,13323,13279,13408,13980,14229,14342,14536,14604,14653,14435,14774,15196,15377,16078,16629,17356,17968,18992,20149,21203,22037,23641,24641,25718,26592,27617,28780,30096,31860,32789,33820,34591,36060,36906,38872,41640,43652,45902,48131,50003,52238,55494,56213,58631
"33","25","Q1TVS1 D           Television receivers","Q1TVS10",7758,7754,7596,7287,7115,7312,7264,7024,7198,7081,7170,7333,7382,7691,8011,7950,8058,8285,8576,8855,8758,8795,9106,9243,9217,9340,9338,9443,9181,9305,9494,9574,10012,10257,10575,10775,11374,12032,12529,12858,13727,14181,14740,15041,15426,15924,16562,17669,18181,18720,19117,19915,20218,21415,23151,24461,25923,27233,28109,29196,31178,31750,33271
"34","26","Q1OVE1 D           Video equipment and media","Q1OVE10",3475,3469,3411,3427,3408,3447,3511,3373,3474,3413,3432,3490,3659,3808,3868,3961,4175,4438,4494,4669,4705,4788,5041,5151,5268,5341,5401,5363,5377,5574,5793,5888,6154,6443,6832,7220,7646,8142,8689,9183,9915,10458,10977,11553,12204,12884,13573,14218,14636,15132,15511,16185,16754,17507,18514,19193,19958,20871,21886,23056,24309,24434,25311
"35","27","Q1AMI1 D         Audio equipment, media, and instruments","Q1AMI10",20836,21066,21229,20939,20589,21739,22368,21532,22779,22748,23454,24465,25139,25860,25683,26468,27443,29061,30032,31179,31293,31389,33241,33858,33819,34698,34671,35048,34951,36414,36568,37180,38289,39370,40710,41016,41469,42932,44990,46187,47889,47723,47532,47320,47823,47890,47929,48880,50280,51263,51133,50396,50014,50839,52819,53801,54853,55268,56664,56948,59346,60038,61518
"36","28","Q1AUD1 D           Audio equipment","Q1AUD10",10843,11030,10937,10510,10169,10506,10706,10292,10995,11111,11312,11721,11794,12251,12747,12864,13391,14075,14556,15237,15203,15207,15856,16201,16053,16307,16304,16402,16053,16836,16842,16830,17598,18339,19141,19419,19643,20848,22245,23080,24435,23753,23773,24185,24602,25029,25580,26403,27137,27972,28448,28591,28392,29608,31494,32001,33029,33913,35184,35790,38341,39094,40763
"37","29","Q1RTD1 D           Records, tapes, and disks","Q1RTD10",7829,7898,8177,8315,8335,9037,9413,9121,9617,9546,9999,10504,11016,11215,10681,11247,11619,12373,12783,13113,13286,13401,14474,14603,14789,15392,15498,15609,15944,16514,16680,17155,17430,17723,18263,18254,18268,18528,19020,19147,19282,19551,19278,18833,18931,18431,18044,18105,18790,18932,18404,17696,17551,17420,17462,17685,18107,17868,18109,17990,17914,17972,18038
"38","30","Q1MSC1 D           Musical instruments","Q1MSC10",2062,2022,2018,2059,2055,2196,2264,2131,2158,2059,2130,2237,2362,2412,2187,2325,2392,2586,2665,2784,2768,2750,2910,3049,2986,3031,2900,3077,3033,3134,3125,3308,3345,3370,3357,3384,3594,3567,3726,3957,4176,4420,4480,4299,4287,4452,4368,4466,4445,4478,4461,4361,4320,4178,4385,4643,4310,4211,4200,4097,4337,4313,4290
"39","31","Q1CPT1 C       Computers, peripherals, and software (93)","Q1CPT10",543,574,593,650,763,881,1042,1058,1084,1185,1313,1429,1716,1909,2158,2474,2675,2881,3117,3537,3850,4285,4922,5765,6472,7667,8531,9568,11150,12921,14655,16227,18224,19951,23492,26217,29085,31582,34230,36692,40297,42783,45172,47084,49834,53090,56595,62091,68552,71977,75273,80772,83676,90053,99656,104717,109204,113365,119118,126929,133606,141147,149033
"40","32","Q1CPP1 D         Computers and peripherals","Q1CPP10",357,376,388,423,495,570,672,679,693,754,834,906,1096,1225,1389,1588,1723,1860,2021,2301,2510,2794,3208,3762,4224,5013,5578,6247,7285,8439,9586,10619,12062,13486,16385,18409,20755,22788,25261,27476,30387,32644,34768,36258,39246,42601,46417,51958,57996,61220,64164,69750,72864,79025,88243,92677,96480,100309,106037,114205,120869,127861,136395
"41","33","Q1CPS1 D         Software","Q1CPS10",211,226,237,263,312,365,436,448,467,515,576,629,739,809,907,1047,1120,1197,1277,1433,1549,1722,1983,2313,2596,3055,3399,3831,4455,5169,5833,6444,6947,7066,7467,8138,8565,8972,9030,9234,9915,10134,10405,10825,10639,10661,10584,10877,11622,12013,12492,12871,12969,13617,14638,15403,16157,16692,17212,17740,18360,19317,19762
"42","34","Q1ODH1 C     Other durable house furnishings (32)","Q1ODH10",40501,39551,38866,37943,37958,37755,36851,36609,37694,37850,38568,39467,40529,40811,41301,42124,42968,44683,45848,47122,47168,47641,48103,48814,48473,50859,51753,52791,53277,53578,54796,55501,56020,56544,58345,59674,60997,62222,63278,65960,67160,66718,67522,67836,68562,68815,68180,68845,71342,72202,72193,72624,72823,75967,80080,81148,82484,84550,86364,85306,87128,89017,91109
"43","35","Q1FLR1 D       Floor coverings","Q1FLR10",14626,14110,13775,13212,12865,13077,12547,12397,12709,12712,12659,12957,13365,13132,13000,13063,13013,13632,13822,14352,14059,13628,13505,13797,13427,14045,13950,13778,13854,13922,14097,14343,14198,14492,14660,15245,15272,15773,16174,16522,16872,16612,16419,16031,16061,16058,15875,15799,16042,16028,15877,15836,16002,16663,16917,17212,17231,17274,17825,17933,17892,18308,18531
"44","36","Q1DHF1 D       Durable house furnishings n.e.c.","Q1DHF10",18117,17767,17394,17152,17488,16991,16584,16494,16931,17086,17611,18042,18524,18823,19273,19879,20477,21323,22124,22748,22951,23821,24199,24510,24558,26041,26865,27946,28196,28309,29176,29553,29927,29917,31241,31644,32509,33159,33766,35652,36264,36239,37291,37942,38622,38564,38375,39003,41051,41700,41987,42356,42341,44452,47804,48316,49472,50918,52058,50699,52582,53868,55866
"45","37","Q1CLF1 D         Clocks, lamps, and furnishings","Q1CLF10",14211,13917,13599,13476,13862,13462,13106,13140,13602,13787,14290,14616,15050,15298,15712,16263,16797,17550,18327,18797,19033,19824,20148,20370,20394,21777,22520,23465,23727,23798,24579,24791,25148,25025,26187,26555,27443,27880,28384,30142,30865,30819,31897,32393,32754,32700,32598,33051,34935,35528,35681,36041,36107,37946,41216,41653,42574,44069,45112,43595,45251,46398,48579
"46","38","Q1TEX1 D         Blinds, rods, and other","Q1TEX10",3946,3890,3835,3714,3661,3564,3513,3384,3356,3324,3346,3453,3499,3550,3585,3639,3701,3795,3817,3972,3937,4016,4070,4160,4186,4281,4360,4496,4481,4524,4608,4779,4794,4916,5073,5106,5073,5292,5397,5515,5397,5420,5396,5550,5871,5869,5779,5956,6117,6171,6308,6314,6230,6501,6596,6670,6904,6868,6970,7110,7337,7477,7329
"47","39","Q1WTR1 D       Writing equipment","Q1WTR10",3243,3181,3166,3175,3233,3252,3256,3239,3276,3290,3348,3380,3307,3341,3331,3387,3365,3346,3320,3317,3230,3237,3256,3169,3011,3006,2991,2968,2924,2844,2794,2790,2875,2896,2959,2990,3029,3036,3017,3148,3058,3102,3058,3029,2882,2817,2746,2723,2729,2669,2620,2595,2524,2523,2544,2518,2541,2531,2527,2506,2542,2552,2532
"48","40","Q1TOO1 D       Hand tools","Q1TOO10",5511,5441,5470,5305,5220,5365,5371,5373,5677,5651,5799,5941,6168,6303,6423,6488,6742,7002,7152,7278,7432,7356,7512,7692,7759,8010,8133,8220,8408,8590,8784,8871,9061,9301,9520,9846,10222,10290,10351,10648,10967,10760,10748,10845,11029,11407,11229,11392,11647,11967,11903,12055,12170,12599,13272,13563,13788,14467,14624,14697,14807,15038,15136
"49","41","Q1HDW1 D         Tools, hardware, and supplies","Q1HDW10",4715,4627,4602,4463,4356,4469,4449,4411,4602,4590,4706,4808,5054,5161,5252,5309,5509,5738,5895,6023,6137,6063,6163,6340,6389,6585,6683,6731,6913,7099,7195,7251,7422,7661,7901,8179,8486,8597,8656,8881,9151,8981,8926,8975,9158,9518,9425,9568,9798,10067,10015,10157,10257,10629,11229,11498,11653,12319,12428,12454,12562,12720,12825
"50","42","Q1LWN1 D         Outdoor equipment and supplies","Q1LWN10",793,811,866,840,862,895,921,960,1074,1059,1092,1132,1112,1140,1169,1177,1231,1262,1254,1252,1292,1291,1347,1350,1367,1422,1447,1486,1493,1488,1586,1617,1636,1637,1617,1666,1734,1694,1696,1767,1816,1779,1822,1870,1870,1889,1804,1824,1849,1899,1889,1898,1913,1971,2044,2066,2136,2148,2196,2244,2245,2320,2312
"51","43","Q1TOD1 B   Other","Q1TOD10",94617,92237,91991,92075,90623,89969,88046,86366,88300,88687,91534,92380,94391,95789,98316,99411,100448,103095,104888,108548,108266,110148,112884,113452,114972,119210,120693,123637,124816,125084,128298,130927,132676,136187,138870,142497,146562,148950,152910,158371,162942,163858,164702,164101,163250,162601,161170,165645,170323,172062,172689,174419,176082,182164,188491,191325,193703,193097,195993,200208,206517,212858,209919
"52","44","Q1OPT1 C     Ophthalmic products and orthopedic appliances (46)","Q1OPT10",18108,17234,17024,16999,16468,15483,14865,14522,14754,15012,15609,15693,15476,15001,15110,15714,16100,16387,16497,16406,16430,16401,16146,16423,16818,17778,18293,18829,19202,19207,20106,20305,20138,20404,21038,21476,21241,20764,21272,22475,22866,22931,21359,21309,21085,19991,19328,20052,19773,21004,21673,21883,20502,21030,21490,21741,21602,21186,21222,22029,21728,22418,22530
"53","45","Q1WHG1 C     Wheel goods, sports and photographic equipment, boats, and pleasure aircraft (90)","Q1WHG10",31365,30209,29609,30495,29990,29129,29250,29118,29161,28761,29935,30273,32031,32303,32451,33056,32816,34660,35135,37271,36772,37133,38867,38813,38771,40057,40714,41905,42190,42385,43700,44003,44741,46815,47597,48509,49917,51431,52794,53929,58452,56346,57418,58031,58189,59935,59125,61603,63607,63006,62990,62832,63699,67405,70561,71879,72097,73285,74558,76422,80946,85560,83201
"54","46","Q1WHE1 D       Sports and photo equipment, bicycles and motorcycles","Q1WHE10",21919,21388,21314,21268,21077,21155,21905,21352,21997,21911,22735,23120,23995,24524,24753,25268,25523,26185,26547,28227,27232,27649,28434,28364,28470,29721,30019,30008,30068,30478,31224,31838,32300,33520,34483,35349,36109,37077,37892,40519,42028,41376,42382,42835,43358,45245,44641,46096,47421,47222,47466,47903,48968,50565,52826,53947,54364,56132,57515,58812,62510,65702,64240
"55","47","Q1GUN1 D         Guns","Q1GUN10",1496,1427,1403,1393,1351,1351,1358,1306,1337,1319,1352,1364,1396,1412,1417,1436,1440,1447,1461,1513,1451,1474,1502,1475,1465,1507,1502,1482,1452,1461,1480,1501,1519,1597,1633,1676,1727,1775,1835,1937,2018,1996,2041,2039,2059,2127,2121,2199,2223,2265,2269,2283,2310,2366,2414,2432,2507,2580,2652,2706,2787,2867,2835
"56","48","Q1SPT1 D         Sporting equipment","Q1SPT10",11743,11454,11515,11690,11576,11836,12178,11989,12606,12708,13268,13604,13929,14254,14466,14831,15050,15302,15639,16402,15935,16398,16921,16850,16939,17676,17881,17922,17926,18268,18656,18997,19082,20026,20438,20943,21632,22237,22985,24269,25287,25003,25571,25548,25800,26647,26572,27553,27854,28375,28424,28603,28938,29641,30249,30466,31413,32330,33226,33903,34918,35923,35516
"57","49","Q1CAM1 D         Photographic equipment","Q1CAM10",2773,2688,2613,2561,2507,2440,2364,2267,2204,2146,2164,2201,2230,2270,2332,2369,2397,2468,2520,2591,2598,2623,2632,2671,2704,2765,2819,2843,2912,2904,2988,2950,3049,3131,3202,3401,3408,3448,3506,3757,3581,3689,3836,4127,3954,3939,3998,4170,4391,4411,4480,4550,4677,4872,5100,5280,5636,5987,6121,6440,6855,7096,7322
"58","50","Q1BCY1 D         Bicycles","Q1BCY10",3097,2968,2883,2844,2780,2768,2793,2697,2719,2610,2639,2675,2761,2804,2841,2919,2936,2996,3040,3114,2980,3018,3101,3071,3046,3146,3153,3183,3150,3179,3235,3302,3341,3454,3463,3466,3497,3551,3579,3741,3826,3749,3813,3768,3750,3855,3822,3934,3972,3976,4037,4037,4066,4121,4313,4442,4456,4441,4646,4737,4820,4908,4794
"59","51","Q1MCY1 D         Motorcycles","Q1MCY10",2762,2851,2913,2712,2849,2670,3289,3138,3118,3088,3285,3199,3725,3835,3700,3698,3670,4004,3876,4712,4313,4122,4265,4287,4304,4632,4667,4573,4624,4655,4863,5101,5345,5317,5775,5883,5846,6069,5973,6814,7319,6938,7118,7352,7790,8657,8125,8244,8970,8223,8284,8457,8992,9573,10709,11275,10418,10898,10984,11193,13191,14843,13907
"60","52","Q1BTA1 D       Pleasure boats and aircraft","Q1BTA10",9559,8898,8332,9343,9009,7984,7269,7755,7067,6728,7082,7018,7950,7654,7557,7636,7084,8358,8467,8907,9481,9407,10410,10430,10266,10265,10644,11947,12192,11944,12539,12180,12464,13351,13128,13154,13817,14368,14921,13383,16427,14968,15036,15198,14840,14715,14508,15518,16186,15796,15548,14981,14809,16853,17745,17947,17755,17231,17151,17711,18559,19957,19088
"61","53","Q1BOA1 D         Pleasure boats","Q1BOA10",8599,7989,7466,8355,8041,7109,6457,6873,6242,5934,6242,6187,7053,6808,6737,6823,6342,7498,7613,8026,8562,8514,9442,9480,9348,9367,9733,10948,11205,10995,11556,11230,11481,12295,12087,12109,12723,13230,13739,12323,15126,13783,13845,13994,13665,13550,13359,14289,14905,14545,14317,13794,13637,15518,16339,16526,16349,15867,15793,16309,17089,18377,17577
