"","Table 1BU# Real Manufacturing and Trade Inventories, Seasonally ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199"
"21","13","      Other transportation equipment manufacturing","KS3OT0",51244,51545,50473,50632,50314,50330,50608,50248,50124,51421,49613,51282,53224,54335,54872,56409,57353,58444,59357,60508,60614,62598,61970,62719,61123,62043,61599,60772,60479,60227,61874,60782,61551,60446,60826,60328,59015,59115,59062,57786,55519,55607,54312,53320,53089,51933,52023,50383,50662,49954,49277,50223,50376,49619,50333,50695,51069,51380,51192,51290,51135,51433,49635,49042,48455,48175,47642,47911,47012,47291,46670,48878,48558,48339,47895,48208,48351,47754,47135,47060,46945,47083,46020,46136,45820,45965,45138,45449,45038,44849,45528,45032,43738,43547,44471,44471,44747,45942,46086,45532,45907,45650,47335,46575,47019,47498,47777,48047,47965,48120,48518,49119,49438,50059,51089,49865,50915,51561,51621,51294,51934,52377,53018,54263,54622,55048,55157,55952,56903,57007,58210,60065,60220,60279,60523,60355,60200,59876,59633,59685,58774,58931,60065,61195,61768,62156,61784,62305,62751,62686,63806,62230,61318,62670,63133,61886,62797,63172,63441,63762,63949,64592,64417,64884,66264,66784,67829,68606,69490,70038,71841,72078,73146,73936,74749,75709,75688,76224,77186,78486,78664,79202,79701,79971,81053,81659,82678,83983,84279,84825,85669,85938,87120,88785,89022,90338
"22","14","    Furniture and related product manufacturing","KS3370",7927,7878,7863,7833,8025,8014,8061,7964,7989,7959,7989,8069,8034,8080,8077,8160,8235,8161,8150,8148,8170,8211,8210,8189,8222,8227,8238,8209,8229,8249,8311,8330,8280,8425,8443,8556,8614,8677,8691,8669,8718,8778,8760,8877,8926,8902,8968,8858,8918,8914,9139,9034,8891,8770,8641,8554,8608,8565,8537,8379,8377,8369,8336,8300,8379,8429,8503,8541,8785,8762,8794,8820,8907,8796,8803,8764,8706,8655,8709,8542,8331,8358,8378,8406,8473,8428,8306,8383,8399,8488,8546,8627,8597,8682,8641,8694,8680,8710,8713,8724,8734,8756,8763,8803,8884,8845,8997,9029,9021,8976,9105,9060,9026,9067,9048,9121,9141,9195,9228,9067,9072,9084,8959,8965,8989,8994,8967,8929,8915,8939,8927,8930,8871,8755,8705,8594,8611,8509,8507,8460,8428,8326,8269,8242,8235,8092,8042,7891,7792,7659,7575,7519,7475,7430,7408,7380,7341,7347,7295,7440,7460,7427,7410,7417,7438,7466,7456,7398,7470,7425,7400,7381,7341,7327,7343,7377,7345,7310,7303,7322,7294,7258,7243,7340,7376,7382,7434,7420,7432,7461,7495,7513,7459,7474,7402,7382
"23","15","    Miscellaneous durable goods manufacturing","KS3390",15613,15613,15655,15461,15355,15539,15177,15529,15547,15733,15804,15892,15973,16024,16212,16257,16313,16236,16509,16431,16490,16455,16561,16367,16410,16469,16538,16685,16744,16587,16579,16563,16891,16895,17023,17089,17269,17271,17372,17506,17595,17599,17728,17975,18131,18236,18223,18148,18360,18523,18385,18231,18422,18486,18290,18265,18258,18002,17867,18020,17866,17862,17809,17868,17899,17995,17994,17882,18103,17908,17723,17985,17964,18104,18231,18205,18293,18396,18492,18604,18528,18559,18549,18903,18823,18853,18838,18420,18529,18625,18573,18608,18548,18775,18764,18754,18669,18754,18749,18996,18919,19123,19385,19792,19735,19857,20045,20168,20171,20158,20098,20234,20240,20150,20446,20573,20732,20755,20705,21011,20959,21011,20980,20594,20982,20984,21049,20999,21085,21178,21234,21292,21386,21359,21325,21383,21304,21443,21481,21413,21514,21642,21834,22004,22106,22233,22287,22257,22296,22262,22221,22149,22079,22078,22158,22011,22171,22301,22308,22453,22524,22669,22798,22965,23098,23067,23136,23445,23668,23746,23849,23845,23759,23646,23651,23660,23716,23895,23921,23776,23581,23249,23472,23462,23514,23596,23951,23919,23826,23763,23766,23672,23699,23700,23569,23464
"24","16","  Nondurable goods manufacturing industries","KS30N0",197824,198288,199352,200428,201150,201643,201009,202282,203444,204748,205519,206205,206250,206904,206824,206506,206494,206345,206748,206120,205511,205759,206905,205152,206308,206689,207124,208499,210069,209907,210072,210567,211213,212409,213759,214546,214498,214676,213997,214483,214563,215271,216286,215622,215761,216023,216105,215206,216830,213908,213580,213562,212994,211681,211350,210906,211267,211206,210891,210511,210338,207291,207385,208098,207942,208277,209264,209949,211027,211286,211633,211341,210465,212005,211030,211420,210943,211058,210494,210977,210201,209433,210058,208266,207591,208510,208581,207877,208262,208679,209405,210024,208676,209228,210759,210171,212424,212959,213677,213440,211649,212773,213261,212588,212415,213749,212801,214632,217092,216351,217312,218073,218643,220118,219975,220734,220781,220240,220618,219995,219224,219360,219185,220834,222652,222808,222303,221222,224253,223915,224288,224369,229809,230169,230541,228870,226992,230062,227548,226260,223702,222338,221867,214265,213810,211588,212228,210159,210424,210844,209946,211161,209517,210965,211511,211148,210401,211876,211848,211018,207255,207279,208071,208246,209316,210698,211265,213349,213686,213292,212519,214922,213368,212020,211373,210363,209166,212558,213082,212483,213289,213318,212581,211362,210003,209186,209548,210040,211392,210038,209594,209983,210926,210276,210730,210701
"25","17","    Food manufacturing","KS3110",37307,37614,37861,37921,37956,38307,38227,38377,38450,38668,38699,38840,39028,39225,38895,38861,38752,38714,38623,38375,38449,38398,38288,38448,38792,38736,38761,39016,39044,38966,39085,38990,39486,39737,39916,39997,40319,40512,40733,40502,40546,40515,40626,40657,40533,40182,40212,40497,41629,39828,39857,39894,39973,39740,39826,39560,39697,39547,40114,39999,40217,39978,39686,40324,40309,40742,40869,40982,40794,40661,40860,40881,40882,41079,41211,40767,41010,40697,40537,40493,40164,40090,40291,39923,39788,39534,39319,38643,38562,38590,38996,39174,39220,39001,38821,38980,38798,38992,39205,39836,39615,39759,39964,39994,40200,40216,40294,40362,40874,40955,41005,40955,40857,40966,40745,40490,40414,40581,40570,40585,40286,39957,39601,39717,40641,40868,40401,40821,40934,40335,39948,39941,39602,39238,39477,39377,39318,39631,39136,38931,39074,39602,40140,40320,40744,40652,41002,40983,41199,40923,41061,41362,40965,41483,41425,41579,41134,41224,41095,41172,41159,41261,41314,41375,41605,41431,40938,41034,40158,39512,39376,39115,39115,39098,38923,38804,38364,38658,38754,38968,39165,39225,39240,39159,39229,39206,38859,38474,38192,38305,38318,38440,38327,38167,38241,38496
"26","18","    Beverage and tobacco product manufacturing","KS3120",12751,12735,12717,13002,13005,12997,13122,13212,13255,13366,13448,13378,13741,13515,13614,13407,13363,13242,13294,12989,12993,13345,13440,13342,13250,13425,13138,13289,13419,13261,13062,13079,12726,12905,12826,13142,13207,13271,13170,13180,13157,13254,13178,13149,13227,13158,13234,13110,13001,13028,13217,13280,13395,13333,13580,13570,13525,13432,13398,13740,13679,13511,13581,13484,13517,13753,13575,13610,13803,13716,13648,13799,13616,13614,13476,13815,13721,13673,13660,13596,13668,13639,13765,13574,13525,13691,13397,13389,13306,13465,13333,13805,13840,13526,13507,13477,13662,13564,13462,13550,13535,13488,13639,13605,13517,13893,13970,13861,13886,13905,13764,13803,13697,13652,13722,13858,13736,13860,13881,13859,13898,13773,13767,13783,13821,13767,13766,13682,13499,13507,13482,13448,13500,13496,13382,13349,13266,13200,13095,13080,13177,13059,13099,13095,13084,13334,13550,13607,13667,13772,13840,13941,14065,14174,14143,14184,13949,14027,13920,13860,13969,14004,13916,13875,13761,13797,13775,13772,13859,13941,13848,13873,13857,13835,13929,13855,13885,13904,13967,14023,14056,13981,14188,14336,14310,14416,14462,14405,14555,14743,14725,14770,14729,14798,14805,14911
"27","19","    Textile mills","KS3130",6853,6819,6827,6858,6820,6824,6817,6876,6822,6827,6781,6795,6796,6834,6836,6814,6855,6826,6876,6831,6869,6877,6869,6872,6924,6938,6957,6955,6953,7000,6991,6988,7018,6959,7006,7053,6927,6837,6842,6847,6804,6780,6774,6758,6682,6708,6700,6600,6712,6590,6416,6476,6462,6437,6362,6353,6366,6351,6319,6159,6123,6094,6066,5929,5929,5905,5924,5969,5900,5923,5837,5857,5856,5856,5877,5929,5951,5971,5910,5867,5872,5765,5767,5715,5687,5671,5707,5714,5697,5652,5690,5687,5666,5644,5667,5642,5650,5644,5593,5608,5646,5624,5616,5528,5542,5569,5556,5589,5604,5587,5584,5532,5472,5509,5534,5537,5558,5469,5434,5438,5401,5415,5316,5306,5304,5339,5311,5366,5343,5285,5260,5285,5231,5153,5202,5115,5089,4967,5054,5016,5015,5013,5023,4952,4921,4870,4811,4791,4705,4623,4548,4471,4388,4437,4393,4338,4313,4335,4327,4291,4288,4310,4325,4343,4362,4373,4397,4418,4442,4430,4432,4466,4492,4513,4536,4526,4531,4539,4536,4532,4526,4513,4504,4480,4457,4451,4454,4460,4460,4468,4459,4461,4464,4472,4470,4496
"28","20","    Textile product mills","KS3140",3433,3483,3524,3560,3599,3645,3660,3675,3703,3690,3716,3725,3731,3751,3726,3704,3689,3639,3619,3624,3598,3552,3524,3510,3459,3527,3635,3676,3693,3744,3747,3765,3770,3838,3827,3838,3860,3882,3934,3964,4027,4063,4103,4113,4170,4179,4248,4260,4311,4317,4302,4308,4333,4429,4389,4401,4420,4441,4449,4443,4327,4186,4064,4031,3966,3883,3845,3782,3724,3631,3524,3427,3501,3533,3536,3563,3560,3539,3540,3556,3517,3484,3538,3559,3542,3528,3546,3555,3519,3525,3537,3537,3585,3580,3575,3545,3629,3644,3657,3625,3622,3620,3593,3614,3586,3638,3611,3735,3707,3704,3704,3702,3655,3732,3776,3785,3785,3791,3772,3757,3717,3701,3655,3620,3693,3697,3679,3665,3664,3652,3654,3664,3677,3657,3649,3634,3602,3558,3649,3618,3601,3612,3597,3570,3389,3299,3250,3170,3110,3061,3043,3032,3021,3020,3014,3020,3022,3027,3045,3060,3072,3124,3141,3169,3209,3229,3240,3255,3295,3275,3261,3267,3278,3271,3284,3300,3289,3290,3322,3359,3312,3318,3326,3306,3299,3308,3301,3289,3300,3312,3344,3358,3376,3387,3394,3391
"29","21","    Apparel manufacturing","KS3150",8598,8606,8625,8715,8808,8925,8996,9081,9049,9102,8987,8983,8976,8978,9055,9029,8965,8966,8959,8957,8990,9043,9041,8974,8950,9063,9218,9267,9384,9453,9499,9575,9618,9577,9529,9617,9621,9525,9458,9354,9280,9220,9291,9222,9165,9218,9347,9291,9369,9233,8975,8837,8718,8631,8381,8210,7999,7921,7815,7548,7379,7322,7225,7159,7149,7151,7125,7122,7176,7218,7244,7211,7286,7358,7444,7539,7568,7474,7508,7387,7295,7226,7218,7207,7128,6960,6973,6904,6878,6914,6959,6953,6959,6971,6986,6937,6990,6999,6987,7010,6998,6910,6885,6900,6918,6926,6868,6800,6790,6781,6791,6770,6766,6705,6775,6840,6565,6622,6764,6792,6755,6738,6706,6717,6689,6684,6747,6644,6637,6634,6594,6606,6610,6575,6533,6529,6525,6505,6508,6502,6449,6432,6406,6377,6313,6294,6266,6236,6197,6186,6144,6095,6068,6040,6041,6035,6036,6016,5993,5966,5947,6003,6002,6012,6029,6032,6017,6014,6014,6015,6026,6025,6053,6060,6089,6109,6117,6204,6209,6200,6209,6215,6209,6223,6225,6244,6269,6294,6317,6334,6382,6356,6372,6406,6417,6461
"30","22","    Leather and allied product manufacturing","KS3160",1829,1839,1816,1875,1910,1920,1919,1904,1905,1925,1915,1925,1932,1944,1948,1989,1999,1989,1993,1989,1978,1989,2015,1937,1896,1899,1907,1898,1893,1947,1930,1932,1957,1965,1972,1937,1905,1911,1906,1918,1898,1902,1913,1912,1906,1911,1892,1823,1837,1834,1827,1906,1840,1771,1758,1749,1746,1735,1713,1646,1585,1557,1492,1444,1448,1456,1473,1487,1455,1501,1516,1485,1488,1467,1467,1460,1468,1462,1439,1418,1425,1425,1424,1429,1409,1402,1400,1403,1387,1375,1372,1360,1366,1385,1400,1420,1427,1428,1444,1463,1453,1446,1436,1446,1465,1461,1473,1475,1480,1435,1442,1450,1467,1488,1495,1527,1556,1550,1565,1598,1598,1599,1586,1588,1574,1583,1581,1580,1574,1595,1578,1563,1549,1536,1542,1803,1753,1700,1672,1641,1624,1597,1588,1571,1587,1592,1618,1593,1584,1570,1564,1557,1539,1503,1512,1507,1504,1490,1458,1438,1425,1425,1419,1418,1426,1436,1457,1437,1440,1436,1443,1447,1448,1446,1445,1447,1448,1449,1448,1455,1450,1456,1455,1462,1471,1483,1480,1482,1490,1489,1492,1497,1487,1479,1496,1495
"31","23","    Paper manufacturing","KS3220",17223,17305,17630,17455,17449,17162,17136,17222,17419,17421,17498,17773,17783,17673,17606,17601,17583,17651,17660,17756,17558,17521,17491,17247,17384,17369,17538,17523,17663,17787,17733,18059,18303,18277,18277,18278,18375,18357,18249,18323,18287,18194,18308,18253,18003,17929,17772,17637,17603,17597,17326,17303,17265,17306,17251,17259,17407,17516,17612,17601,17665,17700,17786,17848,17873,18153,18070,18178,18390,18502,18656,18761,18818,18727,18330,18469,18423,18474,18290,18325,18296,18220,18223,18019,18071,17993,17900,17849,17983,17995,18183,18210,18092,18264,18299,18149,18332,18311,18198,18195,18161,18201,18177,18088,18034,18115,18058,18125,18076,18145,18201,18228,18204,18065,18095,18092,18143,18131,18224,18094,18182,18166,18077,18102,18139,18056,18124,18097,18043,17976,17915,18182,17938,17902,18031,18021,18043,18036,17890,17862,17832,18124,18114,17588,17461,17413,17242,17048,16853,17028,16971,17042,16984,16747,16667,16466,16402,16397,16304,16487,16509,16517,16365,16367,16387,16485,16572,16419,16419,16394,16314,16205,16147,16069,16065,16056,16048,16019,15918,15837,15903,15911,15931,15915,15910,15961,15908,15824,15716,15688,15650,15676,15706,15677,15702,15739
"32","24","    Printing and related support activities","KS3230",7034,6945,6934,7113,7220,7067,6735,6994,6964,7007,7033,7176,6905,6901,6858,6792,6873,6775,6989,6829,6927,6686,6566,6581,6716,6737,6811,6992,6919,6994,6917,6874,7008,6965,7169,7270,7221,7325,7260,6994,6984,6984,6840,6951,6970,7076,7025,6920,6952,6902,6977,6938,6911,6819,6790,6885,6683,6717,6625,6617,6879,6734,6728,6907,6877,7065,7081,6997,6846,6987,6987,6981,6985,6917,6861,6779,6720,6593,6668,6687,6615,6526,6638,6640,6529,6644,6578,6536,6691,6617,6630,6714,6729,6765,6687,6683,6505,6604,6683,6645,6675,6702,6735,6598,6691,6634,6687,6664,6674,6642,6621,6685,6656,6730,6757,6704,6791,6827,6792,6769,6785,6821,6821,6813,6832,6927,6895,6927,7008,7104,7057,7234,7231,7211,7215,7159,7052,6872,6699,6596,6529,6431,6556,6508,6350,6263,6171,6053,6057,6025,6064,6087,6076,6021,6055,5979,5927,5942,5936,5954,5970,6017,5881,5891,5852,5888,5951,6026,6025,5975,5977,5915,5741,5788,5748,5723,5700,5692,5689,5633,5652,5643,5620,5617,5624,5663,5597,5613,5531,5540,5547,5589,5584,5570,5578,5623
"33","25","    Petroleum and coal product manufacturing","KS3240",25884,25504,25978,25903,26275,26261,25966,26721,26843,26894,27225,27323,26242,26588,27041,27197,27195,27009,27109,26665,26310,26492,27314,25939,25802,25017,25997,25745,25550,25528,25714,26086,26163,26346,26629,26169,26232,26157,26015,26326,26509,26857,26497,25997,26323,26684,26814,26116,26310,26474,26778,27092,27156,27066,26703,27220,27107,26640,26883,27445,26774,25350,26398,26705,26508,27077,27381,27007,27185,26814,26281,26385,26425,26564,26591,27088,26139,27049,26186,27219,27343,27125,26668,26344,27165,27514,27327,27081,27647,27753,27950,27295,26829,27791,28870,27318,29023,28817,28769,28371,26622,27202,27977,27691,27721,28856,28204,28307,28892,28664,28608,29520,30230,30652,30511,30912,30198,28996,29187,29317,28765,29350,29504,30752,30676,30231,29972,28962,31405,31933,32285,32419,36369,37381,38272,37794,37374,40033,38961,38278,37568,36239,35718,30301,30628,29059,29583,29169,29999,31458,30974,31827,30667,31817,32468,33445,33189,34192,33748,32911,29166,29220,30135,30241,31097,31841,32888,33811,34289,34586,34905,36762,35501,34370,34036,33254,32624,34790,35391,35152,35471,35759,35092,34537,33747,33335,33929,34970,36091,35147,34603,34447,34366,33543,33405,32935
"34","26","    Chemical manufacturing","KS3250",57288,57593,57706,58097,58192,58512,58346,58351,59177,59876,60315,60394,60645,61155,61123,61158,61091,61194,61281,61476,61079,61235,61992,61283,61779,62068,61706,62341,63459,63117,63312,63127,62903,63515,64256,64611,64325,64407,64211,64555,64624,65207,66231,66019,66376,66555,66592,66453,66588,65800,65928,65786,65610,64932,64933,64452,65011,65509,64652,64392,64269,64181,63820,64012,63885,63570,64405,65057,65507,65669,65979,65092,64235,65227,64672,64441,64463,64377,64951,65096,64874,64932,65475,64716,63885,64955,65597,66085,66095,66139,65925,66204,65129,64991,65739,66800,66906,67437,67983,67579,67606,68249,67756,67571,67614,67126,66659,68239,69223,68588,69524,68951,68965,69829,69712,70036,71088,71405,71388,71123,71075,71010,71212,71450,72061,72398,72597,72360,72667,72481,72837,72204,72863,72448,71360,70634,70109,69377,69306,69469,68455,68668,68700,67558,67176,66540,67009,65979,65833,65227,65029,65117,65158,65024,65054,64072,64245,64318,65068,65108,65298,65006,65028,64997,64830,65368,64932,65815,66252,66163,65448,65593,65959,65959,65937,66024,66153,66420,66097,65621,65682,65258,65150,64746,64313,63972,64112,63861,64059,63445,63593,63966,65068,65649,66102,66276
"35","27","    Plastics and rubber product manufacturing","KS3260",19252,19324,19346,19418,19516,19619,19578,19587,19626,19733,19827,19786,19847,19900,19923,19905,20076,20237,20238,20353,20285,20288,20553,20481,20680,20699,20730,20834,20965,20926,21016,21153,21311,21415,21519,21559,21454,21423,21127,21554,21542,21503,21618,21542,21487,21589,21465,21563,21592,21518,21374,21257,20891,20782,20839,20934,20980,20877,20900,20799,21030,19696,20128,19957,20121,19306,19428,19511,20056,20357,20631,21044,20972,21283,21204,21318,21364,21530,21322,21197,21080,20921,20782,20857,20802,20660,20888,20795,20709,20874,21035,21117,21209,21375,21370,21222,21701,21673,21827,21667,21714,21617,21528,21603,21157,21245,21422,21477,21859,21960,22089,22404,22494,22565,22667,22720,22807,22964,23004,22616,22735,22758,22852,22789,22986,23028,23062,23034,23033,22822,22962,23066,22953,23030,23072,23136,22909,22824,22985,23201,22679,22671,22554,21678,21566,21371,20927,20787,20634,20569,20325,20248,20292,20317,20311,19962,20131,20211,20307,20260,20361,20309,20372,20372,20492,20497,20723,20831,20995,21049,20811,21029,20915,21095,20961,21024,20945,20990,20953,20919,20985,21029,21139,21034,21066,20893,20824,20859,20985,21092,21126,21117,21190,21118,21147,21022
"36","28","Merchant wholesale industries","KS42W0",254780,255150,257130,258234,260060,265249,264782,266437,269334,270925,273525,276005,277036,280609,283291,284021,286818,286842,287958,291527,293879,294906,296319,297304,298301,301269,302779,303364,303828,303992,307097,307611,308945,311667,314804,315302,317022,317550,318826,321049,322302,324023,324885,326237,326451,328877,331138,331405,330532,330540,330574,331641,332713,329892,326904,326206,325755,325162,323214,322639,322921,320853,321691,320814,321415,322225,324069,323435,323218,321503,321274,323238,322262,322030,322273,322827,321436,320703,320918,319653,320213,322647,322368,323280,322369,325503,326607,325442,327963,329921,334965,337260,335960,339389,341894,341700,346360,347236,348349,350437,350316,351441,351855,351955,352127,353478,353581,356029,356091,358857,360064,363177,365037,366016,367275,369003,369739,371247,374306,370772,370360,370911,371499,371651,372323,372931,373763,374338,376826,375236,375340,376559,376682,376406,373604,376646,376162,377362,379780,380935,380509,378815,379767,379323,378773,373472,367581,363403,358431,351106,345733,341150,336710,337217,340990,337907,337267,337532,339060,339788,340974,341211,345316,348136,351407,356205,353786,355062,355482,355358,356625,356929,361823,362065,364057,364858,361762,366034,365598,368913,370332,373274,373925,376434,378008,378068,380927,381841,383633,384403,386437,386040,389589,387599,389712,391733
"37","29","  Durable goods merchant wholesale industries","KS42WD0",148712,149289,151118,152017,153389,157071,155906,156656,158981,159217,160279,162534,163732,166087,168081,168820,170516,170289,171085,173950,175308,176486,176355,177913,178838,180501,181622,181260,182923,183835,185292,185024,186251,187744,190271,190863,191456,192302,193121,194887,196147,198000,198370,199436,199269,200357,201724,201732,201881,201274,200755,200202,199527,195826,194033,192468,191606,191753,188705,187586,187234,185860,186196,186174,186327,186657,187961,188669,188649,187446,187428,187359,186925,188292,188614,189183,188399,188044,187277,186430,186420,186535,186192,188276,188394,190417,191932,191723,194207,196053,198667,201678,201869,203576,205082,205394,208051,209312,209636,210350,210796,212720,213835,213644,212919,215429,215639,216366,216347,217803,218499,221812,222751,223204,224342,224642,226234,227643,227874,226566,227487,227992,228522,227366,228164,227520,226283,226337,227057,226298,226554,227629,229294,229803,229216,231608,231663,231361,233192,235105,236510,235705,235892,234029,232474,226644,220638,216082,211523,207314,203202,199111,196676,196207,195008,192535,192124,192668,194647,194887,195601,195412,196833,198454,199913,201956,202480,204039,205411,206372,206825,207574,211170,212734,214243,215899,216105,217714,217289,219408,221461,222607,224556,227338,228692,229319,231075,231516,233778,236107,237096,237667,240230,240333,241639,242373
"38","30","    Motor vehicles, parts, and supplies wholesalers","KS42110",21029,20510,20836,20420,20915,21843,21834,22055,22291,21953,21817,22049,22383,22660,23130,22238,22208,22192,22092,22629,22823,23100,22300,22829,22792,22960,23352,23442,23885,24018,24501,24776,25073,25069,25546,25609,25869,25992,26456,26878,27006,27197,26932,26961,26416,26454,26595,26894,26519,26635,26420,26479,26056,25788,25833,25701,25807,26436,26052,25733,25844,25653,25864,25679,26513,26867,27205,26947,27850,28082,28710,28197,28363,28447,28368,28706,28565,29153,28682,28619,28242,28772,28105,29098,28688,28873,29302,28908,29046,28934,29702,30756,30465,29834,30339,30289,31265,31179,30436,31114,31434,32572,32651,32604,32298,32875,32748,33123,32445,33519,34305,36202,35678,35010,35253,34315,34504,35402,35040,34090,34854,34242,35133,34034,34804,35205,34545,35062,35300,34426,34865,35056,35400,35720,35012,36787,36354,36663,36978,37702,37865,37720,37984,38746,37952,34992,33821,32822,32233,31065,30243,29600,29693,30625,30568,29661,29961,30035,30621,30399,30259,30066,30310,30264,30687,30641,31375,31644,32324,33187,33386,32250,33889,35117,35147,36685,36475,36687,35856,37154,37508,37150,37310,38364,38898,38518,38649,38447,38064,38145,38202,36572,36645,36699,37285,38161
"39","31","    Furniture and home furnishings wholesalers","KS42120",5362,5240,5145,5398,5470,5352,5279,5397,5453,5397,5481,5494,5534,5516,5460,5612,5683,5708,5749,5763,5777,5888,5806,5832,5828,5933,5967,5910,5952,6072,6109,6069,6087,6267,6086,6212,6198,6218,6270,6360,6436,6567,6678,6798,6595,6735,6851,6811,6912,6826,6869,6777,6727,6573,6538,6442,6534,6492,6487,6355,6328,6371,6265,6348,6382,6426,6534,6544,6577,6515,6505,6577,6514,6568,6633,6686,6719,6717,6610,6644,6627,6655,6713,6800,6982,6868,6902,6832,6791,6852,6912,6909,6916,6892,6934,6935,6944,6984,6999,7039,7044,6894,6932,7046,7064,7227,7181,7176,7179,7155,7048,6979,7250,7304,7303,7322,7359,7349,7353,7413,7433,7409,7516,7408,7416,7467,7494,7464,7439,7325,7354,7278,7427,7509,7336,7352,7140,7073,7089,6971,6803,6801,6768,6632,6388,6200,6025,5780,5618,5465,5261,5134,5111,5020,4928,4926,4877,4855,4840,4932,5027,5072,5162,5247,5310,5386,5397,5357,5390,5402,5259,5359,5280,5219,5142,5084,5097,5103,5167,5143,5114,5107,5109,5081,5091,5044,5097,5072,5151,5136,5241,5125,5169,5176,5135,5190
"40","32","    Lumber and other construction materials wholesalers","KS42130",5846,6030,6057,6144,6179,6262,6292,6369,6399,6412,6613,6630,6678,6650,6542,6614,6524,6537,6639,6807,6344,6427,6497,6466,6472,6421,6496,6563,6672,6637,6756,6622,6681,6821,6798,6911,6986,7020,7042,7059,7106,7218,7222,7109,7131,7167,7260,7427,7279,7303,7337,7182,7093,6838,6923,7087,7183,7441,7335,7362,7398,7304,7380,7422,7427,7428,7492,7565,7677,7745,7762,7833,7989,8220,8268,8355,8339,8442,8443,8546,8586,8745,9076,9287,9481,9601,9766,10047,10679,10436,10651,10808,11026,11227,11069,11381,11824,12230,12416,11941,12129,12006,12110,12078,11570,12008,11918,12073,12078,12012,12088,12271,12274,12506,12541,12598,12767,12584,12614,12404,12326,12416,12342,12134,11879,11682,11587,11706,11553,11560,11516,11512,11462,11242,10886,10999,11222,11314,11418,11365,11218,10999,10656,10391,10114,9849,9526,9106,8771,8476,8387,8263,8223,8214,8228,8142,8178,8358,8459,8573,8611,8591,8481,8416,8247,8232,8189,8444,8561,8551,8672,8606,8544,8463,8453,8437,8539,8545,8540,8434,8393,8518,8758,9046,9097,9077,9153,9157,9284,9546,9619,9846,10238,10261,10233,10203
"41","33","    Professional and commercial equipment wholesalers","KS42140",11066,11338,11464,11869,12137,12722,12947,12851,13444,13710,13747,13880,14241,14451,14944,15185,15322,14922,15016,15274,15268,15225,15552,15523,15649,16334,16437,15985,16508,16830,16834,16849,17028,17458,17869,17984,18357,18060,17807,17854,17895,17851,17878,17907,18526,18824,18889,18651,18497,18634,18322,18622,18256,17964,17952,17879,17496,17431,17068,17534,17337,17043,17465,18006,17843,18107,18223,18739,18551,18184,18444,18713,18776,18856,19031,18587,18744,18641,18924,18940,18997,19028,19251,19300,19306,19674,19756,19545,19866,20414,20410,20837,20878,21341,21759,21492,21697,21595,21638,22150,21983,22342,22336,22335,22405,22887,22879,23120,23608,24336,23935,24235,24759,24645,25098,25382,25915,26230,26438,26751,26910,26987,27152,27409,27486,27707,27877,28051,28184,27945,28057,28426,28482,28623,29074,28943,29537,29549,29488,30008,30218,30474,30217,29601,28908,28747,28164,27863,27211,26788,26312,25875,26202,26005,26455,27365,27129,26888,27733,28254,28508,28786,28743,28882,28855,28999,29296,29694,30344,29919,29612,29504,30181,30492,31586,31584,31335,31914,31576,31609,31565,31601,32042,32541,32756,32691,33258,32799,33045,33557,33930,34526,35224,35548,35761,35671
