"","Table 3#2# Federal Government Current Receipts and Expenditures ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"21","3","  Personal current taxes \1\","A074RC1","1,179.0","1,045.0","532.0","285.0","390.0","455.0","568.0","732.0","1,305.0","1,231.0","855.0","1,014.0","1,601.0","4,164.0","15,987.0","16,876.0","18,613.0","16,351.0","18,793.0","18,065.0","15,376.0","17,432.0","25,375.0","30,167.0","31,306.0","28,068.0","30,470.0","33,913.0","35,994.0","35,485.0","38,466.0","41,838.0","42,694.0","46,529.0","49,138.0","45,985.0","51,068.0","58,602.0","64,386.0","76,435.0","91,700.0"
"22","4","  Taxes on production and imports \2\","W007RC1","1,137.0","989.0","845.0","881.0","1,583.0","2,144.0","2,142.0","2,212.0","2,364.0","2,171.0","2,278.0","2,581.0","3,512.0","3,982.0","4,832.0","5,952.0","6,912.0","7,691.0","7,664.0","7,828.0","7,870.0","8,734.0","9,190.0","10,121.0","10,707.0","9,507.0","10,428.0","10,966.0","11,500.0","11,198.0","12,211.0","13,072.0","13,161.0","14,131.0","14,686.0","15,424.0","15,427.0","14,449.0","15,164.0","16,872.0","17,812.0"
"23","5","    Excise taxes","B234RC1","562.0","535.0","489.0","633.0","1,220.0","1,761.0","1,694.0","1,687.0","1,771.0","1,702.0","1,818.0","2,109.0","2,814.0","3,358.0","4,055.0","5,217.0","6,175.0","7,202.0","7,246.0","7,436.0","7,505.0","8,200.0","8,615.0","9,557.0","10,137.0","8,963.0","9,771.0","10,245.0","10,732.0","10,373.0","11,162.0","12,006.0","12,131.0","12,929.0","13,459.0","14,106.0","13,814.0","12,580.0","13,255.0","14,614.0","15,442.0"
"24","6","    Customs duties","B235RC1","575.0","454.0","356.0","248.0","283.0","291.0","353.0","387.0","454.0","342.0","327.0","305.0","416.0","295.0","396.0","363.0","384.0","489.0","418.0","392.0","365.0","534.0","575.0","564.0","570.0","544.0","657.0","721.0","768.0","825.0","1,049.0","1,066.0","1,030.0","1,202.0","1,227.0","1,318.0","1,613.0","1,869.0","1,909.0","2,258.0","2,370.0"
"25","7","  Taxes on corporate income","B075RC1","1,224.0","744.0","423.0","328.0","462.0","644.0","820.0","1,252.0","1,337.0","895.0","1,285.0","2,635.0","7,333.0","11,065.0","13,616.0","12,484.0","10,234.0","8,642.0","10,664.0","11,750.0","9,598.0","17,155.0","21,676.0","18,573.0","19,478.0","16,851.0","21,073.0","20,949.0","20,404.0","17,960.0","22,484.0","21,447.0","21,491.0","22,470.0","24,578.0","26,141.0","28,899.0","31,428.0","30,026.0","36,055.0","36,064.0"
"26","8","    Federal Reserve banks","B677RC1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","75.0","167.0","193.0","197.0","255.0","292.0","343.0","276.0","252.0","402.0","543.0","524.0","911.0","897.0","687.0","799.0","880.0","1,582.0","1,297.0","1,649.0","1,907.0","2,464.0","3,019.0"
"27","9","    Other","A678RC1","1,224.0","744.0","423.0","328.0","462.0","644.0","820.0","1,252.0","1,337.0","895.0","1,285.0","2,635.0","7,333.0","11,065.0","13,616.0","12,484.0","10,234.0","8,642.0","10,589.0","11,583.0","9,405.0","16,958.0","21,421.0","18,281.0","19,135.0","16,575.0","20,821.0","20,547.0","19,861.0","17,436.0","21,573.0","20,550.0","20,804.0","21,671.0","23,698.0","24,559.0","27,602.0","29,779.0","28,119.0","33,591.0","33,045.0"
"28","10","  Taxes from the rest of the world","W008RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","84.0","95.0","112.0","145.0","188.0","183.0","206.0","228.0","248.0","319.0","394.0"
"29","11","Contributions for government social insurance","W780RC1","74.0","73.0","70.0","71.0","63.0","69.0","72.0","312.0","1,473.0","1,617.0","1,752.0","1,870.0","2,334.0","2,890.0","3,773.0","4,342.0","5,336.0","6,463.0","5,389.0","4,415.0","4,696.0","5,259.0","6,410.0","6,667.0","6,823.0","7,776.0","8,780.0","9,647.0","11,047.0","11,026.0","13,461.0","16,017.0","16,565.0","18,626.0","21,106.0","21,782.0","22,742.0","30,620.0","34,102.0","37,897.0","43,314.0"
"30","12","Income receipts on assets","W009RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","23.0","1,369.0","1,472.0","1,672.0","1,772.0","1,822.0","1,897.0","2,110.0","2,505.0","2,940.0","2,679.0"
"31","13","  Interest receipts \3\","B094RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,328.0","1,413.0","1,598.0","1,685.0","1,723.0","1,800.0","1,991.0","2,334.0","2,735.0","2,490.0"
"32","14","  Dividends","W053RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"33","15","  Rents and royalties \4\","B1040C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","23.0","41.0","59.0","74.0","87.0","99.0","97.0","119.0","171.0","205.0","189.0"
"34","16","Current transfer receipts","W011RC1","80.0","85.0","69.0","59.0","52.0","50.0","65.0","93.0","103.0","105.0","102.0","111.0","130.0","170.0","265.0","413.0","434.0","313.0","304.0","320.0","322.0","225.0","267.0","286.0","295.0","312.0","325.0","371.0","377.0","393.0","379.0","418.0","482.0","520.0","591.0","749.0","1,069.0","1,151.0","1,105.0","1,091.0","1,141.0"
"35","17","  From business","W012RC1","56.0","56.0","49.0","43.0","36.0","37.0","51.0","76.0","82.0","85.0","87.0","95.0","109.0","128.0","186.0","305.0","316.0","216.0","264.0","286.0","287.0","193.0","221.0","233.0","231.0","249.0","275.0","316.0","332.0","346.0","335.0","377.0","437.0","468.0","534.0","691.0","1,017.0","1,103.0","1,046.0","1,049.0","1,080.0"
"36","18","  From persons","B233RC1","24.0","29.0","20.0","16.0","16.0","13.0","14.0","17.0","21.0","20.0","15.0","16.0","21.0","42.0","79.0","108.0","118.0","97.0","40.0","34.0","35.0","32.0","46.0","53.0","64.0","63.0","50.0","55.0","45.0","47.0","44.0","41.0","45.0","52.0","57.0","58.0","52.0","48.0","59.0","42.0","61.0"
"37","19","Current surplus of government enterprises \5\","B097RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-143.0","-320.0","-496.0","-481.0","-269.0","-293.0","-346.0","-615.0","-633.0","-339.0","-449.0"
"38","20","    Current expenditures","W013RC1","2,646.0","2,690.0","4,017.0","2,960.0","3,443.0","5,533.0","5,565.0","7,805.0","6,355.0","7,347.0","8,348.0","8,523.0","12,686.0","30,979.0","52,559.0","66,930.0","70,422.0","44,423.0","37,498.0","38,725.0","43,460.0","43,240.0","53,246.0","62,092.0","66,818.0","64,200.0","65,395.0","68,336.0","76,071.0","81,506.0","83,703.0","86,813.0","92,931.0","101,192.0","106,501.0","110,888.0","117,718.0","135,720.0","156,216.0","173,709.0","184,099.0"
"39","21","Consumption expenditures","A957RC1","1,540.0","1,570.0","1,541.0","1,447.0","1,685.0","2,387.0","2,201.0","4,335.0","3,864.0","4,494.0","4,894.0","4,855.0","9,409.0","27,133.0","48,249.0","61,000.0","60,718.0","26,907.0","20,834.0","21,157.0","23,284.0","22,035.0","34,350.0","44,158.0","48,286.0","43,911.0","43,910.0","45,022.0","49,458.0","50,854.0","49,946.0","49,734.0","51,610.0","57,814.0","60,770.0","62,797.0","65,697.0","75,743.0","86,956.0","95,293.0","98,315.0"
"40","22","Current transfer payments","W014RC1","796.0","844.0","2,011.0","1,022.0","1,144.0","2,156.0","2,265.0","2,718.0","1,482.0","1,766.0","2,024.0","2,054.0","1,870.0","2,143.0","1,890.0","2,439.0","5,211.0","11,939.0","11,947.0","12,758.0","15,190.0","15,717.0","13,102.0","12,412.0","13,051.0","14,893.0","16,077.0","16,850.0","19,402.0","23,507.0","26,354.0","27,579.0","31,394.0","32,461.0","34,214.0","35,359.0","38,471.0","44,413.0","52,811.0","59,669.0","65,452.0"
"41","23","  Government social benefits","W015RC1","645.0","683.0","1,658.0","867.0","625.0","513.0","539.0","1,962.0","721.0","1,084.0","1,122.0","1,295.0","1,239.0","1,287.0","1,092.0","1,651.0","4,054.0","8,654.0","8,383.0","7,186.0","8,200.0","10,227.0","7,894.0","8,081.0","8,702.0","10,680.0","11,502.0","12,300.0","14,531.0","18,191.0","18,578.0","20,113.0","23,383.0","23,802.0","24,968.0","25,509.0","27,715.0","30,347.0","37,075.0","42,417.0","46,341.0"
"42","24","    To persons","B087RC1","645.0","683.0","1,658.0","867.0","625.0","513.0","539.0","1,962.0","721.0","1,084.0","1,122.0","1,295.0","1,239.0","1,287.0","1,092.0","1,651.0","4,054.0","8,654.0","8,383.0","7,186.0","8,200.0","10,227.0","7,894.0","8,081.0","8,702.0","10,680.0","11,502.0","12,300.0","14,531.0","18,191.0","18,578.0","19,867.0","23,107.0","23,503.0","24,644.0","25,163.0","27,262.0","29,883.0","36,520.0","41,860.0","45,756.0"
"43","25","    To the rest of the world \6\","W016RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","246.0","276.0","299.0","324.0","346.0","453.0","464.0","555.0","557.0","585.0"
"44","26","  Other current transfer payments","W010RC1","151.0","161.0","353.0","155.0","519.0","1,643.0","1,726.0","756.0","761.0","682.0","902.0","759.0","631.0","856.0","798.0","788.0","1,157.0","3,285.0","3,564.0","5,572.0","6,990.0","5,490.0","5,208.0","4,331.0","4,349.0","4,213.0","4,575.0","4,550.0","4,871.0","5,316.0","7,776.0","7,466.0","8,011.0","8,659.0","9,246.0","9,850.0","10,756.0","14,066.0","15,736.0","17,252.0","19,111.0"
"45","27","    Grants-in-aid to state and local governments","B089RC1","117.0","125.0","313.0","134.0","502.0","1,633.0","1,706.0","724.0","701.0","653.0","875.0","727.0","645.0","766.0","851.0","876.0","805.0","1,025.0","1,595.0","1,720.0","1,856.0","1,901.0","2,045.0","2,156.0","2,274.0","2,328.0","2,407.0","2,540.0","2,921.0","3,338.0","3,775.0","4,003.0","4,514.0","5,038.0","5,643.0","6,450.0","7,167.0","10,080.0","11,737.0","12,706.0","14,565.0"
"46","28","    To the rest of the world (net) \6\","W017RC1","34.0","36.0","40.0","21.0","17.0","10.0","20.0","32.0","60.0","29.0","27.0","32.0","-14.0","90.0","-53.0","-88.0","352.0","2,260.0","1,969.0","3,852.0","5,134.0","3,589.0","3,163.0","2,175.0","2,075.0","1,885.0","2,168.0","2,010.0","1,950.0","1,978.0","4,001.0","3,463.0","3,497.0","3,621.0","3,603.0","3,400.0","3,589.0","3,986.0","3,999.0","4,546.0","4,546.0"
"47","29","Interest payments \3\","A091RC1","229.0","165.0","298.0","347.0","412.0","474.0","425.0","368.0","565.0","528.0","525.0","732.0","792.0","1,005.0","1,611.0","2,186.0","3,054.0","4,017.0","4,134.0","4,164.0","4,332.0","4,471.0","4,605.0","4,636.0","4,727.0","4,829.0","4,771.0","5,239.0","5,653.0","5,368.0","6,345.0","8,354.0","7,913.0","8,644.0","9,295.0","10,013.0","10,561.0","11,639.0","12,664.0","14,600.0","15,823.0"
"48","30","  To persons and business \3\","B092RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","8,022.0","7,635.0","8,305.0","8,894.0","9,560.0","10,072.0","11,090.0","12,066.0","13,898.0","15,046.0"
"49","31","  To the rest of the world","B093RC1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","6.0","6.0","7.0","9.0","12.0","17.0","15.0","16.0","17.0","25.0","31.0","47.0","64.0","86.0","59.0","94.0","154.0","201.0","139.0","281.0","332.0","278.0","339.0","401.0","453.0","489.0","549.0","598.0","702.0","777.0"
"50","32","Subsidies \5\","B096RC1","81.0","111.0","167.0","144.0","202.0","516.0","674.0","384.0","444.0","559.0","905.0","882.0","615.0","698.0","809.0","1,305.0","1,439.0","1,560.0","583.0","646.0","654.0","1,017.0","1,233.0","918.0","678.0","567.0","637.0","1,225.0","1,558.0","1,777.0","1,058.0","1,146.0","2,014.0","2,273.0","2,222.0","2,719.0","2,989.0","3,925.0","3,785.0","4,147.0","4,509.0"
"51","33","Less: Wage accruals less disbursements","B098RC1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","44.0","32.0","-76.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"52","34","    Net federal government saving","A923RC1","1,048.0","246.0","-2,078.0","-1,336.0","-893.0","-2,171.0","-1,898.0","-3,204.0","227.0","-1,328.0","-2,076.0","-312.0","2,224.0","-8,708.0","-14,086.0","-26,863.0","-28,893.0","-4,963.0","5,316.0","3,653.0","-5,598.0","5,565.0","9,672.0","3,722.0","1,791.0","-1,686.0","5,681.0","7,510.0","3,251.0","-5,444.0","3,262.0","7,123.0","2,550.0","2,420.0","5,289.0","905.0","3,244.0","2,253.0","-9,313.0","-2,439.0","8,556.0"
"53","35","Social insurance funds","B243RC1","61.0","64.0","56.0","42.0","39.0","39.0","45.0","247.0","1,387.0","990.0","1,031.0","1,036.0","1,611.0","2,178.0","3,288.0","3,882.0","4,259.0","3,212.0","3,180.0","2,401.0","1,512.0","-252.0","2,625.0","2,659.0","2,086.0","1,196.0","1,546.0","1,710.0","1,099.0","-2,677.0","-683.0","384.0","-2,337.0","-582.0","831.0","1,252.0","433.0","5,998.0","4,107.0","3,168.0","5,697.0"
"54","36","Other","B244RC1","987.0","182.0","-2,134.0","-1,378.0","-932.0","-2,210.0","-1,943.0","-3,451.0","-1,160.0","-2,318.0","-3,107.0","-1,348.0","613.0","-10,886.0","-17,374.0","-30,745.0","-33,152.0","-8,175.0","2,136.0","1,252.0","-7,110.0","5,817.0","7,047.0","1,063.0","-295.0","-2,882.0","4,135.0","5,800.0","2,152.0","-2,767.0","3,945.0","6,739.0","4,887.0","3,002.0","4,458.0","-347.0","2,811.0","-3,745.0","-13,420.0","-5,607.0","2,859.0"
"55",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","37","  Total receipts","W018RC1","3,754.0","2,996.0","1,994.0","1,654.0","2,618.0","3,489.0","3,912.0","4,982.0","6,979.0","6,404.0","6,638.0","8,547.0","15,306.0","22,736.0","38,928.0","40,624.0","42,183.0","40,185.0","43,633.0","43,263.0","38,602.0","49,448.0","63,649.0","66,651.0","69,519.0","63,422.0","72,044.0","77,114.0","80,752.0","77,391.0","88,369.0","95,695.0","97,431.0","105,666.0","114,031.0","114,360.0","123,777.0","141,019.0","149,968.0","174,398.0","196,218.0"
"57","38","    Current receipts","W005RC1","3,694.0","2,936.0","1,939.0","1,624.0","2,550.0","3,362.0","3,667.0","4,601.0","6,582.0","6,019.0","6,272.0","8,211.0","14,910.0","22,271.0","38,473.0","40,067.0","41,529.0","39,460.0","42,814.0","42,378.0","37,862.0","48,805.0","62,918.0","65,814.0","68,609.0","62,514.0","71,076.0","75,846.0","79,322.0","76,062.0","86,965.0","93,936.0","95,481.0","103,612.0","111,790.0","111,793.0","120,962.0","137,973.0","146,903.0","171,270.0","192,655.0"
"58","39","    Capital transfer receipts","B232RC1","60.0","60.0","55.0","30.0","68.0","127.0","245.0","381.0","397.0","385.0","366.0","336.0","396.0","465.0","455.0","557.0","654.0","725.0","819.0","885.0","740.0","643.0","731.0","837.0","910.0","908.0","968.0","1,268.0","1,430.0","1,329.0","1,404.0","1,759.0","1,950.0","2,054.0","2,241.0","2,567.0","2,815.0","3,046.0","3,065.0","3,128.0","3,563.0"
"59","40","  Total expenditures","W019RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","93,653.0","101,693.0","110,812.0","114,654.0","118,899.0","124,320.0","144,329.0","164,065.0","180,085.0","189,650.0"
"60","41","    Current expenditures","W013RC1","2,646.0","2,690.0","4,017.0","2,960.0","3,443.0","5,533.0","5,565.0","7,805.0","6,355.0","7,347.0","8,348.0","8,523.0","12,686.0","30,979.0","52,559.0","66,930.0","70,422.0","44,423.0","37,498.0","38,725.0","43,460.0","43,240.0","53,246.0","62,092.0","66,818.0","64,200.0","65,395.0","68,336.0","76,071.0","81,506.0","83,703.0","86,813.0","92,931.0","101,192.0","106,501.0","110,888.0","117,718.0","135,720.0","156,216.0","173,709.0","184,099.0"
"61","42","    Gross government investment","A787RC1","189.0","260.0","337.0","382.0","601.0","891.0","1,174.0","1,230.0","1,228.0","1,224.0","1,122.0","1,616.0","8,560.0","27,013.0","38,207.0","35,948.0","23,309.0","1,911.0","1,756.0","2,999.0","4,354.0","3,937.0","10,657.0","14,988.0","16,081.0","13,318.0","10,941.0","11,647.0","11,857.0","12,949.0","15,380.0","14,344.0","16,281.0","17,420.0","16,125.0","15,637.0","14,707.0","16,669.0","17,668.0","15,970.0","14,966.0"
"62","43","    Capital transfer payments","W020RC1",".....",".....",".....",".....",".....",".....",".....",".....","63.0","125.0","113.0","130.0","162.0","122.0","91.0","71.0","65.0","83.0","143.0","266.0","372.0","442.0","442.0","490.0","560.0","585.0","721.0","809.0","1,312.0","2,332.0","3,122.0","2,616.0","2,854.0","3,067.0","3,586.0","4,064.0","4,035.0","4,387.0","4,260.0","5,993.0","5,860.0"
"63","44","    Net purchases of nonproduced assets","AD08RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","456.0","499.0","600.0","531.0","632.0","477.0","648.0","-225.0","-908.0","111.0"
"64","45","    Less: Consumption of fixed capital","A918RC1","216.0","202.0","193.0","181.0","187.0","227.0","269.0","315.0","352.0","384.0","407.0","460.0","824.0","2,126.0","4,752.0","7,464.0","8,671.0","9,252.0","8,767.0","7,521.0","6,551.0","5,786.0","6,067.0","6,808.0","7,601.0","8,237.0","8,648.0","9,218.0","9,741.0","9,854.0","10,214.0","10,576.0","10,872.0","11,467.0","12,089.0","12,322.0","12,617.0","13,095.0","13,854.0","14,679.0","15,386.0"
"65","46","  Net lending or net borrowing (-)","AD02RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","2,042.0","-4,262.0","-5,146.0","-623.0","-4,539.0","-543.0","-3,310.0","-14,097.0","-5,687.0","6,568.0"
"66",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","1. Includes dividends tax for 1933-34 and automobile use tax",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","for 1942-46 as shown in table 3.4.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","2. Includes the capital stock tax for 1933-45 as shown in table 3.5.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
