"","Table 1#7#6# Relation of Real Gross Domestic Product, Real Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95"
"32","12","  Gross national income \2\","A023RX1","1,775,988.0","1,760,803.0","1,760,533.0","1,782,217.0","1,829,921.0","1,878,238.0","1,881,636.0","1,889,174.0","1,851,587.0","1,840,278.0","1,852,978.0","1,828,129.0","1,899,610.0","1,975,417.0","2,059,406.0","2,100,427.0","2,109,389.0","2,137,475.0","2,174,141.0","2,192,328.0","2,209,655.0","2,220,573.0","2,235,542.0","2,302,619.0","2,344,184.0","2,362,377.0","2,347,718.0","2,295,989.0","2,302,719.0","2,306,756.0","2,327,185.0","2,379,533.0","2,442,994.0","2,497,445.0","2,526,531.0","2,547,131.0","2,551,562.0","2,575,970.0","2,573,557.0","2,616,411.0","2,623,706.0","2,623,801.0","2,634,996.0","2,604,952.0","2,548,393.0","2,552,356.0","2,597,956.0","2,660,910.0","2,724,292.0","2,804,234.0","2,781,359.0","2,801,570.0","2,864,990.0","2,859,345.0","2,856,906.0","2,841,698.0","2,847,838.0","2,895,440.0","2,938,648.0","3,004,938.0","3,047,685.0","3,080,991.0","3,109,240.0","3,142,487.0","3,173,245.0","3,220,135.0","3,261,597.0","3,293,335.0","3,351,211.0","3,395,850.0","3,445,103.0","3,473,471.0","3,554,039.0","3,600,388.0","3,648,843.0","3,725,036.0","3,805,628.0","3,828,957.0","3,852,168.0","3,884,656.0","3,903,491.0","3,923,360.0","3,966,687.0","4,005,055.0","4,065,907.0","4,127,227.0","4,179,597.0","4,204,627.0","4,245,997.0","4,272,401.0","4,302,078.0","4,295,582.0"
"33","13","  Net domestic product","A362RX1","1,627,485.0","1,626,270.0","1,625,679.0","1,654,046.0","1,683,580.0","1,718,499.0","1,728,828.0","1,731,861.0","1,704,450.0","1,697,083.0","1,718,022.0","1,699,502.0","1,775,975.0","1,835,310.0","1,914,059.0","1,949,881.0","1,975,282.0","2,009,444.0","2,051,615.0","2,052,936.0","2,073,171.0","2,072,753.0","2,085,336.0","2,158,883.0","2,200,415.0","2,215,632.0","2,197,793.0","2,156,132.0","2,141,625.0","2,142,050.0","2,166,437.0","2,212,592.0","2,281,414.0","2,321,116.0","2,353,251.0","2,365,562.0","2,350,985.0","2,369,201.0","2,363,327.0","2,404,518.0","2,418,983.0","2,409,933.0","2,433,339.0","2,401,550.0","2,325,136.0","2,338,569.0","2,398,198.0","2,459,714.0","2,514,265.0","2,584,306.0","2,579,624.0","2,588,235.0","2,652,015.0","2,636,526.0","2,639,522.0","2,599,438.0","2,614,604.0","2,666,984.0","2,713,019.0","2,772,205.0","2,824,939.0","2,857,043.0","2,883,376.0","2,888,057.0","2,926,820.0","2,964,432.0","3,023,268.0","3,045,318.0","3,118,130.0","3,154,334.0","3,198,139.0","3,203,805.0","3,286,925.0","3,331,742.0","3,401,820.0","3,487,815.0","3,577,123.0","3,584,877.0","3,605,575.0","3,632,675.0","3,662,835.0","3,658,550.0","3,685,774.0","3,711,962.0","3,792,096.0","3,858,580.0","3,882,746.0","3,896,277.0","3,959,305.0","3,966,954.0","3,989,583.0","3,963,459.0"
"34","14","  Net domestic income \3\","W256RX1","1,621,455.0","1,606,919.0","1,607,538.0","1,629,962.0","1,678,322.0","1,727,905.0","1,731,280.0","1,739,271.0","1,700,255.0","1,688,500.0","1,701,577.0","1,676,352.0","1,749,304.0","1,825,982.0","1,909,681.0","1,950,774.0","1,958,651.0","1,983,390.0","2,018,497.0","2,034,048.0","2,050,108.0","2,058,525.0","2,071,448.0","2,138,338.0","2,178,338.0","2,193,091.0","2,176,752.0","2,119,904.0","2,122,797.0","2,124,569.0","2,143,018.0","2,192,925.0","2,256,056.0","2,310,482.0","2,338,094.0","2,356,902.0","2,357,020.0","2,380,027.0","2,374,653.0","2,419,432.0","2,421,909.0","2,417,879.0","2,427,991.0","2,397,772.0","2,335,178.0","2,336,266.0","2,382,035.0","2,446,260.0","2,510,966.0","2,592,821.0","2,566,667.0","2,585,103.0","2,650,482.0","2,642,549.0","2,637,464.0","2,618,380.0","2,621,250.0","2,669,313.0","2,711,608.0","2,777,521.0","2,819,227.0","2,848,984.0","2,875,104.0","2,903,064.0","2,933,005.0","2,979,261.0","3,018,363.0","3,047,014.0","3,101,606.0","3,145,380.0","3,191,778.0","3,219,074.0","3,294,694.0","3,337,124.0","3,384,382.0","3,461,095.0","3,538,401.0","3,557,076.0","3,576,314.0","3,603,532.0","3,617,907.0","3,634,243.0","3,671,198.0","3,706,649.0","3,764,192.0","3,821,946.0","3,870,315.0","3,891,308.0","3,928,980.0","3,952,083.0","3,979,077.0","3,966,872.0"
"35","15","  Net domestic purchases","W367RX1","1,579,566.0","1,581,241.0","1,580,841.0","1,629,730.0","1,673,620.0","1,723,618.0","1,735,202.0","1,740,973.0","1,698,303.0","1,690,802.0","1,718,857.0","1,714,616.0","1,795,870.0","1,859,205.0","1,954,925.0","1,984,597.0","2,005,898.0","2,027,219.0","2,058,561.0","2,058,636.0","2,083,451.0","2,096,182.0","2,123,560.0","2,206,737.0","2,248,060.0","2,268,263.0","2,245,604.0","2,201,221.0","2,184,955.0","2,180,604.0","2,202,541.0","2,245,760.0","2,317,774.0","2,366,751.0","2,394,224.0","2,410,262.0","2,394,655.0","2,404,378.0","2,395,062.0","2,425,544.0","2,440,067.0","2,436,264.0","2,461,933.0","2,434,094.0","2,371,201.0","2,389,248.0","2,448,057.0","2,517,404.0","2,568,370.0","2,641,797.0","2,634,082.0","2,643,174.0","2,696,641.0","2,672,314.0","2,675,429.0","2,625,116.0","2,641,104.0","2,698,381.0","2,754,555.0","2,813,500.0","2,871,959.0","2,892,699.0","2,930,992.0","2,940,976.0","2,973,669.0","2,996,629.0","3,070,003.0","3,083,604.0","3,147,086.0","3,184,313.0","3,234,571.0","3,238,901.0","3,339,533.0","3,370,175.0","3,454,564.0","3,536,697.0","3,636,349.0","3,639,791.0","3,679,603.0","3,702,640.0","3,732,443.0","3,728,463.0","3,764,277.0","3,795,477.0","3,883,488.0","3,950,552.0","3,975,191.0","3,990,170.0","4,061,465.0","4,063,719.0","4,089,807.0","4,051,886.0"
"36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","1. Gross domestic income deflated by the implicit price deflator for gross domestic product.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2. Gross national income deflated by the implicit price deflator for gross national product.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","3. Net domestic income deflated by the implicit price deflator for net domestic product.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Note. Except as noted in footnotes 1, 2 and 3, chained (2005) dollar series are calculated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","as the product of the chain-type quantity index and the 2005 current-dollar value of the corresponding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","series, divided by 100. Because the formula for the chain-type quantity indexes uses weights of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","more than one period, the corresponding chained-dollar estimates are usually not additive.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
