"","Table 1#16# Sources and Uses of Private Enterprise Income       ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25"
"19","1","    Sources of private enterprise income","W259RC1","88,579.0","82,985.0","94,961.0","107,907.0","109,140.0","111,402.0","113,275.0","129,050.0","133,045.0","138,542.0","138,760.0","154,450.0","159,159.0","166,751.0","182,777.0","195,341.0","211,772.0","233,859.0","252,350.0","259,904.0","280,709.0","300,889.0"
"20","2","Net operating surplus","W260RC1","79,852.0","73,783.0","84,865.0","96,483.0","96,394.0","97,521.0","98,437.0","112,121.0","113,637.0","116,741.0","116,533.0","128,696.0","129,915.0","135,930.0","148,532.0","157,468.0","169,886.0","188,348.0","202,179.0","204,851.0","217,405.0","224,438.0"
"21","3","Income receipts on assets","W261RC1","8,727.0","9,202.0","10,096.0","11,424.0","12,746.0","13,881.0","14,838.0","16,929.0","19,408.0","21,801.0","22,227.0","25,754.0","29,244.0","30,821.0","34,245.0","37,873.0","41,886.0","45,511.0","50,171.0","55,053.0","63,304.0","76,451.0"
"22","4","  Interest","W262RC1","7,075.0","7,648.0","8,329.0","9,175.0","10,401.0","11,593.0","12,396.0","14,039.0","16,052.0","18,171.0","19,149.0","22,372.0","25,454.0","26,776.0","29,751.0","32,988.0","36,507.0","39,729.0","44,515.0","49,063.0","56,308.0","68,404.0"
"23","5","  Dividend receipts from the rest of the world","B3375C1","1,071.0","1,118.0","1,292.0","1,498.0","1,422.0","1,462.0","1,740.0","1,928.0","2,181.0","2,267.0","2,133.0","2,293.0","2,433.0","2,884.0","3,178.0","3,240.0","3,784.0","4,046.0","3,625.0","3,948.0","4,233.0","4,849.0"
"24","6","  Reinvested earnings on U.S. direct investment abroad","B3475C1","581.0","436.0","475.0","751.0","923.0","826.0","702.0","962.0","1,175.0","1,363.0","945.0","1,089.0","1,357.0","1,161.0","1,316.0","1,645.0","1,595.0","1,736.0","2,031.0","2,042.0","2,763.0","3,198.0"
"25","7","    Uses of private enterprise income","W263RC1","88,579.0","82,986.0","94,961.0","107,907.0","109,140.0","111,402.0","113,273.0","129,050.0","133,044.0","138,544.0","138,761.0","154,450.0","159,159.0","166,751.0","182,777.0","195,341.0","211,772.0","233,859.0","252,350.0","259,904.0","280,708.0","300,889.0"
"26","8","Income payments on assets","W264RC1","9,949.0","10,834.0","11,905.0","13,200.0","14,822.0","16,698.0","18,295.0","20,637.0","23,393.0","26,688.0","29,071.0","32,516.0","36,538.0","39,609.0","44,280.0","48,495.0","54,328.0","59,861.0","67,510.0","75,210.0","84,320.0","103,073.0"
"27","9","  Interest and miscellaneous payments \1\","W265RC1","9,558.0","10,405.0","11,407.0","12,695.0","14,365.0","16,208.0","17,815.0","20,101.0","22,858.0","26,150.0","28,516.0","31,852.0","35,885.0","38,880.0","43,558.0","47,691.0","53,418.0","58,785.0","66,382.0","73,995.0","82,960.0","101,621.0"
"28","10","  Dividend payments to the rest of the world","B3376C1","235.0","286.0","308.0","336.0","323.0","327.0","318.0","349.0","368.0","381.0","399.0","431.0","477.0","489.0","507.0","566.0","581.0","715.0","783.0","768.0","865.0","1,013.0"
"29","11","  Reinvested earnings on foreign direct investment in the United States","B3476C1","156.0","143.0","190.0","169.0","134.0","163.0","162.0","187.0","167.0","157.0","156.0","233.0","176.0","240.0","215.0","238.0","329.0","361.0","345.0","447.0","495.0","439.0"
"30","12","Business current transfer payments (net)","B029RC1","736.0","731.0","862.0","1,216.0","1,257.0","1,217.0","988.0","1,375.0","1,735.0","1,920.0","1,807.0","1,764.0","1,858.0","2,026.0","2,243.0","2,657.0","3,136.0","3,617.0","3,524.0","3,765.0","4,321.0","4,941.0"
"31","13","  To persons (net)","B931RC1","371.0","355.0","555.0","873.0","888.0","842.0","567.0","930.0","1,235.0","1,395.0","1,240.0","1,322.0","1,312.0","1,361.0","1,549.0","1,868.0","2,187.0","2,265.0","2,113.0","2,262.0","2,788.0","3,331.0"
"32","14","  To government (net)","W061RC1","365.0","376.0","307.0","343.0","369.0","375.0","421.0","445.0","500.0","525.0","567.0","442.0","546.0","665.0","694.0","789.0","949.0","1,352.0","1,411.0","1,503.0","1,533.0","1,610.0"
"33","15","  To the rest of the world (net)","W237RC1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"34","16","Proprietors' income with inventory valuation and capital consumption adjustments","A041RC1","39,222.0","34,622.0","37,486.0","42,651.0","43,070.0","42,013.0","42,274.0","44,263.0","45,863.0","47,825.0","50,189.0","50,326.0","50,707.0","53,199.0","55,304.0","56,522.0","59,351.0","63,903.0","68,248.0","69,848.0","74,190.0","77,508.0"
"35","17","Rental income of persons with capital consumption adjustment","A048RC1","7,797.0","8,089.0","9,073.0","10,039.0","11,152.0","12,357.0","13,382.0","13,776.0","14,068.0","14,472.0","15,236.0","16,018.0","16,960.0","17,730.0","18,605.0","19,332.0","19,433.0","19,949.0","20,522.0","20,906.0","20,626.0","20,896.0"
"36","18","Corporate profits with inventory valuation and capital consumption adjustments","A051RC1","30,875.0","28,710.0","35,635.0","40,801.0","38,839.0","39,117.0","38,334.0","48,999.0","47,985.0","47,639.0","42,458.0","53,826.0","53,096.0","54,187.0","62,345.0","68,335.0","75,524.0","86,529.0","92,546.0","90,175.0","97,251.0","94,471.0"
"37","19","  Taxes on corporate income","A054RC1","12,421.0","10,203.0","17,925.0","22,559.0","19,399.0","20,287.0","17,624.0","22,041.0","21,993.0","21,423.0","18,964.0","23,727.0","22,782.0","22,890.0","24,095.0","26,371.0","28,155.0","31,065.0","33,881.0","32,899.0","39,628.0","39,977.0"
"38","20","    To government","W025RC1","12,421.0","10,203.0","17,925.0","22,559.0","19,399.0","20,287.0","17,624.0","22,041.0","21,993.0","21,423.0","18,964.0","23,646.0","22,696.0","22,781.0","23,972.0","26,231.0","27,985.0","30,876.0","33,658.0","32,651.0","39,365.0","39,674.0"
"39","21","    To the rest of the world","B930RC1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","81.0","86.0","109.0","123.0","140.0","170.0","189.0","223.0","248.0","263.0","303.0"
"40","22","  Profits after tax with inventory valuation and capital consumption adjustments","A551RC1","18,454.0","18,507.0","17,710.0","18,242.0","19,440.0","18,830.0","20,710.0","26,958.0","25,992.0","26,216.0","23,494.0","30,099.0","30,314.0","31,297.0","38,250.0","41,964.0","47,369.0","55,464.0","58,665.0","57,276.0","57,623.0","54,494.0"
"41","23","    Net dividends","B056RC1","7,036.0","7,238.0","8,838.0","8,570.0","8,560.0","8,886.0","9,282.0","10,478.0","11,280.0","11,742.0","11,566.0","12,570.0","13,366.0","13,901.0","15,027.0","16,236.0","18,194.0","20,205.0","20,670.0","21,510.0","23,535.0","24,239.0"
"42","24","    Undistributed corporate profits with inventory valuation and capital consumption adjustments","A127RC1","11,418.0","11,269.0","8,872.0","9,672.0","10,880.0","9,944.0","11,428.0","16,480.0","14,712.0","14,474.0","11,928.0","17,529.0","16,948.0","17,396.0","23,223.0","25,728.0","29,175.0","35,259.0","37,995.0","35,766.0","34,088.0","30,255.0"
"43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","1. Includes rent paid by private enterprises to government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
