"","Table 1#7#5# Relation of Gross Domestic Product, Gross National ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95"
"33","14","Equals: Net national product","A027RC1","212,539.0","215,233.0","218,528.0","227,909.0","233,763.0","240,490.0","246,542.0","247,640.0","242,082.0","238,328.0","239,780.0","237,137.0","247,325.0","256,456.0","273,456.0","283,718.0","298,004.0","305,050.0","311,239.0","315,145.0","317,844.0","318,220.0","323,853.0","336,087.0","342,406.0","345,527.0","344,033.0","338,391.0","337,457.0","337,571.0","341,983.0","350,408.0","363,338.0","371,085.0","378,768.0","384,339.0","385,643.0","390,369.0","394,454.0","402,008.0","410,607.0","412,033.0","418,335.0","412,096.0","404,290.0","407,842.0","420,710.0","433,325.0","443,260.0","455,824.0","456,495.0","460,321.0","473,744.0","472,759.0","475,428.0","469,934.0","474,068.0","484,513.0","494,554.0","507,242.0","520,060.0","527,104.0","533,204.0","536,395.0","544,666.0","552,508.0","564,705.0","573,723.0","589,586.0","597,850.0","608,766.0","612,568.0","632,277.0","643,735.0","659,104.0","679,591.0","701,686.0","709,282.0","720,881.0","733,370.0","742,609.0","745,399.0","758,914.0","772,683.0","798,052.0","820,720.0","834,219.0","849,035.0","871,574.0","884,276.0","901,971.0","907,610.0"
"34","15","Less: Statistical discrepancy","A030RC1","788.0","2,555.0","2,421.0","3,303.0","730.0","-1,306.0","-350.0","-1,051.0","586.0","1,200.0","2,277.0","3,209.0","3,696.0","1,292.0","617.0","-129.0","2,493.0","3,933.0","4,995.0","2,882.0","3,509.0","2,173.0","2,143.0","3,176.0","3,422.0","3,502.0","3,282.0","5,646.0","2,942.0","2,738.0","3,684.0","3,096.0","4,007.0","1,690.0","2,413.0","1,408.0","-978.0","-1,770.0","-1,865.0","-2,468.0","-497.0","-1,358.0","911.0","646.0","-1,742.0","390.0","2,821.0","2,351.0","580.0","-1,505.0","2,291.0","555.0","277.0","-1,068.0","369.0","-3,395.0","-1,202.0","-431.0","251.0","-975.0","1,048.0","1,463.0","1,514.0","-2,760.0","-1,127.0","-2,754.0","904.0","-328.0","3,101.0","1,675.0","1,206.0","-2,885.0","-1,489.0","-1,032.0","3,339.0","5,186.0","7,549.0","5,478.0","5,801.0","5,851.0","9,031.0","4,930.0","2,979.0","1,083.0","5,820.0","7,716.0","2,661.0","1,074.0","6,640.0","3,282.0","2,362.0","-791.0"
"35","16","Equals: National income","A032RC1","211,751.0","212,678.0","216,107.0","224,606.0","233,033.0","241,796.0","246,892.0","248,691.0","241,496.0","237,128.0","237,503.0","233,928.0","243,629.0","255,164.0","272,839.0","283,847.0","295,511.0","301,117.0","306,244.0","312,263.0","314,335.0","316,047.0","321,710.0","332,911.0","338,984.0","342,025.0","340,751.0","332,745.0","334,515.0","334,833.0","338,299.0","347,312.0","359,331.0","369,395.0","376,355.0","382,931.0","386,621.0","392,139.0","396,319.0","404,476.0","411,104.0","413,391.0","417,424.0","411,450.0","406,032.0","407,452.0","417,889.0","430,974.0","442,680.0","457,329.0","454,204.0","459,766.0","473,467.0","473,827.0","475,059.0","473,329.0","475,270.0","484,944.0","494,303.0","508,217.0","519,012.0","525,641.0","531,690.0","539,155.0","545,793.0","555,262.0","563,801.0","574,051.0","586,485.0","596,175.0","607,560.0","615,453.0","633,766.0","644,767.0","655,765.0","674,405.0","694,137.0","703,804.0","715,080.0","727,519.0","733,578.0","740,469.0","755,935.0","771,600.0","792,232.0","813,004.0","831,558.0","847,961.0","864,934.0","880,994.0","899,609.0","908,401.0"
"36","17","Less: Corporate profits with inventory valuation and capital consumption adjustments","A051RC1","20,694.0","23,943.0","23,836.0","25,475.0","29,412.0","31,175.0","30,652.0","32,261.0","30,727.0","28,332.0","29,545.0","26,236.0","29,767.0","33,426.0","38,078.0","41,269.0","40,192.0","40,186.0","40,740.0","42,086.0","39,521.0","37,424.0","37,103.0","41,308.0","41,969.0","41,210.0","40,159.0","33,130.0","35,450.0","36,803.0","38,717.0","42,366.0","47,494.0","48,725.0","49,351.0","50,426.0","48,350.0","48,160.0","47,377.0","48,053.0","49,670.0","48,543.0","48,027.0","44,316.0","38,426.0","39,158.0","43,256.0","48,992.0","52,583.0","57,607.0","52,347.0","52,767.0","57,025.0","53,152.0","52,258.0","49,949.0","48,899.0","53,170.0","55,421.0","59,258.0","61,677.0","60,958.0","62,240.0","64,505.0","64,708.0","68,129.0","69,494.0","71,009.0","75,236.0","75,146.0","76,279.0","75,435.0","83,296.0","85,422.0","86,657.0","90,741.0","93,912.0","92,807.0","91,089.0","92,376.0","89,620.0","88,450.0","89,701.0","92,929.0","93,923.0","97,709.0","97,942.0","99,430.0","99,378.0","96,361.0","93,611.0","88,534.0"
"37","18","      Taxes on production and imports less subsidies \1\","W254RC1","17,364.0","17,521.0","17,871.0","18,885.0","18,803.0","19,605.0","19,631.0","19,643.0","20,024.0","20,663.0","20,966.0","20,935.0","21,112.0","21,907.0","23,869.0","22,570.0","24,216.0","23,231.0","23,915.0","24,625.0","25,622.0","26,488.0","26,908.0","27,829.0","28,399.0","29,111.0","29,036.0","29,366.0","28,975.0","28,555.0","28,854.0","29,592.0","30,403.0","31,308.0","32,306.0","32,656.0","33,109.0","33,418.0","34,084.0","34,912.0","35,281.0","35,785.0","36,405.0","36,245.0","36,188.0","36,500.0","36,772.0","37,760.0","38,622.0","39,364.0","40,634.0","41,356.0","42,672.0","43,067.0","43,813.0","44,052.0","44,204.0","44,455.0","45,084.0","46,073.0","47,112.0","47,522.0","48,672.0","49,130.0","49,973.0","50,762.0","51,623.0","52,250.0","52,943.0","53,866.0","55,233.0","56,118.0","57,260.0","57,368.0","57,528.0","58,652.0","57,801.0","58,899.0","59,684.0","60,664.0","61,572.0","62,960.0","65,062.0","66,910.0","69,331.0","71,220.0","73,473.0","74,908.0","76,249.0","78,437.0","80,549.0","82,053.0"
"38","19","      Contributions for government social insurance, domestic","A061RC1","6,348.0","5,964.0","5,160.0","4,784.0","4,848.0","4,552.0","4,580.0","4,484.0","5,176.0","5,072.0","4,796.0","4,516.0","5,312.0","5,312.0","5,496.0","5,808.0","6,616.0","6,692.0","6,556.0","6,672.0","6,944.0","6,824.0","6,872.0","7,052.0","7,064.0","7,136.0","7,172.0","7,052.0","8,068.0","8,032.0","8,052.0","8,144.0","8,876.0","9,040.0","9,196.0","9,252.0","9,856.0","9,964.0","9,992.0","10,136.0","11,396.0","11,428.0","11,500.0","11,328.0","11,328.0","11,252.0","11,420.0","11,536.0","13,656.0","13,904.0","13,860.0","13,916.0","16,424.0","16,456.0","16,508.0","16,388.0","16,740.0","16,904.0","17,064.0","17,312.0","18,888.0","19,108.0","19,192.0","19,280.0","21,336.0","21,548.0","21,756.0","22,036.0","22,036.0","22,272.0","22,516.0","22,724.0","22,888.0","23,196.0","23,552.0","24,028.0","30,376.0","30,840.0","31,924.0","32,204.0","33,632.0","34,580.0","35,240.0","36,016.0","37,588.0","38,424.0","39,072.0","39,696.0","42,908.0","43,692.0","44,624.0","45,284.0"
"39","20","      Net interest and miscellaneous payments on assets","W255RC1","2,274.0","2,420.0","2,552.0","2,560.0","2,540.0","2,561.0","2,636.0","2,632.0","2,748.0","2,811.0","2,902.0","2,953.0","3,106.0","3,175.0","3,157.0","3,248.0","3,392.0","3,607.0","3,770.0","3,843.0","3,892.0","4,033.0","4,106.0","4,205.0","4,468.0","4,623.0","4,817.0","4,995.0","5,242.0","5,506.0","5,736.0","5,960.0","6,120.0","6,273.0","6,234.0","6,277.0","6,602.0","6,758.0","7,062.0","7,035.0","7,742.0","7,957.0","8,191.0","8,185.0","8,998.0","9,542.0","9,772.0","9,861.0","8,788.0","9,750.0","9,787.0","10,089.0","10,213.0","10,141.0","10,730.0","11,160.0","11,612.0","12,197.0","12,619.0","13,376.0","13,128.0","14,116.0","14,625.0","15,040.0","14,639.0","14,844.0","15,343.0","15,811.0","16,562.0","17,135.0","17,901.0","18,065.0","19,022.0","19,476.0","20,038.0","19,962.0","21,139.0","21,850.0","22,710.0","23,846.0","24,656.0","25,479.0","25,790.0","26,160.0","26,561.0","26,971.0","27,134.0","27,680.0","30,520.0","32,100.0","33,667.0","34,571.0"
"40","21","      Business current transfer payments (net)","B029RC1","687.0","715.0","731.0","735.0","742.0","726.0","736.0","740.0","703.0","706.0","734.0","781.0","743.0","812.0","897.0","996.0","1,131.0","1,208.0","1,243.0","1,282.0","1,276.0","1,263.0","1,246.0","1,243.0","1,253.0","1,257.0","1,214.0","1,144.0","1,026.0","952.0","954.0","1,020.0","1,177.0","1,321.0","1,450.0","1,552.0","1,655.0","1,707.0","1,758.0","1,820.0","1,890.0","1,922.0","1,940.0","1,928.0","1,897.0","1,846.0","1,775.0","1,710.0","1,708.0","1,765.0","1,780.0","1,803.0","1,843.0","1,844.0","1,855.0","1,890.0","1,971.0","1,994.0","2,043.0","2,096.0","2,162.0","2,219.0","2,270.0","2,321.0","2,562.0","2,648.0","2,665.0","2,753.0","2,852.0","2,916.0","3,338.0","3,438.0","3,635.0","3,637.0","3,619.0","3,577.0","3,552.0","3,512.0","3,498.0","3,534.0","3,600.0","3,703.0","3,828.0","3,929.0","4,053.0","4,268.0","4,408.0","4,555.0","4,852.0","4,967.0","4,981.0","4,964.0"
"41","22","      Current surplus of government enterprises \1\","A108RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","917.0","939.0","960.0","1,083.0","976.0","1,015.0","860.0","856.0","780.0","759.0","790.0","1,008.0","915.0","863.0","873.0","933.0","1,281.0","1,289.0","1,388.0","1,455.0","1,371.0","1,380.0","1,102.0","1,542.0","1,391.0","1,496.0","1,292.0","1,203.0","1,140.0","1,046.0","818.0","963.0","920.0","1,058.0","954.0","720.0","1,206.0","1,194.0","1,201.0","1,080.0","938.0","951.0","1,038.0","1,153.0"
"42","23","      Wage accruals less disbursements","A062RC1","0.0","12.0","32.0","16.0","136.0","136.0","-184.0","52.0","132.0","-316.0","0.0","0.0","0.0","0.0","0.0","96.0","196.0","-116.0","788.0","-572.0","124.0","120.0","-332.0","0.0","-48.0","-72.0","-104.0","-80.0","0.0","0.0","0.0","0.0","120.0","460.0","-580.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","640.0","616.0","-1,256.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","116.0","-116.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"43","24","Plus: Personal income receipts on assets","W210RC1","13,396.0","13,849.0","14,176.0","14,212.0","14,901.0","14,668.0","15,217.0","15,639.0","15,706.0","15,886.0","16,009.0","16,537.0","17,671.0","17,984.0","18,987.0","19,575.0","18,617.0","19,053.0","19,179.0","19,464.0","19,056.0","19,840.0","20,005.0","20,503.0","20,600.0","21,708.0","21,926.0","22,107.0","22,950.0","22,697.0","23,420.0","23,909.0","24,712.0","25,160.0","26,137.0","26,675.0","27,376.0","27,864.0","28,338.0","29,239.0","29,811.0","30,455.0","30,979.0","31,135.0","31,307.0","31,782.0","32,129.0","32,244.0","32,979.0","34,037.0","35,121.0","36,277.0","37,421.0","37,549.0","38,107.0","38,455.0","38,732.0","39,464.0","40,463.0","41,874.0","41,957.0","43,615.0","44,901.0","45,869.0","46,146.0","47,115.0","48,392.0","49,912.0","51,542.0","53,095.0","54,555.0","55,811.0","57,059.0","58,760.0","60,289.0","61,414.0","62,647.0","63,604.0","64,501.0","65,545.0","67,486.0","68,728.0","69,763.0","70,135.0","72,353.0","74,673.0","76,015.0","77,580.0","80,516.0","83,029.0","85,325.0","87,672.0"
"44","25","      Personal current transfer receipts","A577RC1","9,720.0","9,588.0","13,456.0","10,516.0","10,692.0","10,436.0","10,112.0","9,768.0","10,472.0","11,044.0","11,540.0","11,792.0","20,212.0","13,788.0","10,808.0","11,080.0","11,092.0","11,416.0","11,584.0","11,552.0","11,392.0","11,524.0","12,272.0","12,340.0","12,352.0","12,312.0","12,512.0","12,888.0","13,500.0","14,100.0","14,476.0","15,180.0","15,288.0","15,612.0","15,868.0","15,968.0","16,336.0","16,572.0","17,068.0","17,332.0","18,212.0","19,436.0","19,636.0","20,824.0","22,116.0","23,908.0","24,188.0","23,652.0","24,008.0","23,932.0","24,184.0","24,832.0","24,636.0","25,276.0","26,040.0","27,008.0","28,832.0","29,688.0","29,872.0","29,408.0","30,000.0","29,992.0","30,424.0","31,152.0","32,648.0","31,688.0","31,960.0","32,540.0","33,568.0","33,208.0","33,504.0","33,736.0","35,032.0","34,640.0","38,140.0","36,900.0","37,844.0","37,880.0","39,600.0","43,144.0","46,084.0","47,224.0","48,704.0","50,044.0","52,424.0","55,916.0","57,340.0","58,696.0","60,444.0","61,536.0","62,896.0","64,340.0"
"45","26","Equals: Personal income","A065RC1","187,500.0","185,540.0","193,557.0","196,879.0","202,145.0","208,145.0","214,170.0","214,286.0","208,164.0","206,790.0","206,109.0","206,836.0","221,472.0","222,304.0","231,137.0","240,515.0","249,477.0","256,778.0","259,995.0","265,343.0","267,404.0","271,259.0","278,084.0","284,117.0","288,831.0","292,780.0","292,895.0","292,133.0","292,204.0","291,782.0","293,882.0","299,319.0","305,141.0","313,040.0","320,403.0","325,411.0","330,761.0","336,568.0","341,452.0","349,091.0","353,148.0","357,647.0","361,976.0","361,407.0","361,978.0","364,228.0","372,467.0","377,011.0","383,393.0","391,969.0","394,141.0","399,861.0","406,371.0","410,977.0","413,182.0","414,497.0","418,628.0","424,617.0","431,617.0","440,376.0","447,087.0","454,462.0","459,143.0","464,967.0","470,088.0","474,845.0","481,884.0","491,189.0","500,595.0","509,763.0","519,134.0","527,794.0","538,365.0","547,572.0","561,508.0","574,556.0","586,708.0","596,334.0","609,458.0","622,621.0","633,148.0","640,191.0","653,827.0","665,115.0","684,347.0","703,807.0","721,683.0","736,888.0","751,049.0","769,051.0","789,360.0","803,854.0"
"46",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","27","  Gross domestic income","A261RC1","236,365.0","237,846.0","242,069.0","251,019.0","259,574.0","268,574.0","274,139.0","276,162.0","269,353.0","264,996.0","265,352.0","261,953.0","271,499.0","283,223.0","301,311.0","313,455.0","326,473.0","332,696.0","338,518.0","345,047.0","347,699.0","349,964.0","356,353.0","368,184.0","374,943.0","378,456.0","377,817.0","370,237.0","372,307.0","373,219.0","377,107.0","386,330.0","398,570.0","409,181.0","417,033.0","424,576.0","429,256.0","435,927.0","441,056.0","450,550.0","457,664.0","460,521.0","465,480.0","460,861.0","455,673.0","457,649.0","468,898.0","482,632.0","494,900.0","509,986.0","507,021.0","512,683.0","526,695.0","527,233.0","528,592.0","527,047.0","529,169.0","539,466.0","549,199.0","563,555.0","575,002.0","581,766.0","588,508.0","596,082.0","603,582.0","613,929.0","623,028.0","633,788.0","646,518.0","657,180.0","669,262.0","678,499.0","697,163.0","709,180.0","721,852.0","742,269.0","763,206.0","774,447.0","787,347.0","801,075.0","808,735.0","817,374.0","834,019.0","851,618.0","873,964.0","896,377.0","916,603.0","935,145.0","954,238.0","972,817.0","993,941.0","1,005,249.0"
"48","28","  Gross national income","A023RC1","237,343.0","238,941.0","243,200.0","252,255.0","260,965.0","270,053.0","275,622.0","277,633.0","270,739.0","266,325.0","266,625.0","263,086.0","272,727.0","284,539.0","302,918.0","315,064.0","328,010.0","334,579.0","340,514.0","347,199.0","349,700.0","351,983.0","358,335.0","370,123.0","376,851.0","380,508.0","379,626.0","372,065.0","374,307.0","375,217.0","379,145.0","388,673.0","400,993.0","411,579.0","419,480.0","427,103.0","432,107.0","438,765.0","443,990.0","453,110.0","460,749.0","463,888.0","468,713.0","463,395.0","458,303.0","460,343.0","471,503.0","485,217.0","497,483.0","512,586.0","509,851.0","515,713.0","529,622.0","530,237.0","531,756.0","530,403.0","532,745.0","542,866.0","552,701.0","567,152.0","578,603.0","585,758.0","592,559.0","600,812.0","608,089.0","618,266.0","627,466.0","638,413.0","651,576.0","662,055.0","674,310.0","683,197.0","702,598.0","714,821.0","727,105.0","747,056.0","768,204.0","779,499.0","792,314.0","806,338.0","813,956.0","822,454.0","839,708.0","857,202.0","879,781.0","902,377.0","922,855.0","941,416.0","960,572.0","978,978.0","999,889.0","1,011,266.0"
"49","29","  Gross national factor income \2\","X023RC1","219,292.0","220,705.0","224,598.0","232,635.0","241,420.0","249,722.0","255,255.0","257,250.0","250,012.0","244,956.0","244,925.0","241,370.0","250,872.0","261,820.0","278,152.0","291,498.0","302,663.0","310,140.0","315,356.0","321,292.0","322,802.0","324,232.0","330,181.0","341,051.0","347,199.0","350,140.0","349,376.0","341,555.0","344,306.0","345,710.0","349,337.0","358,061.0","369,413.0","378,950.0","385,724.0","392,895.0","397,343.0","403,640.0","408,148.0","416,378.0","423,578.0","426,181.0","430,368.0","425,222.0","420,218.0","421,997.0","432,956.0","445,747.0","456,236.0","470,518.0","466,477.0","471,471.0","484,131.0","484,311.0","485,228.0","483,605.0","485,790.0","495,658.0","504,784.0","517,975.0","528,414.0","535,154.0","540,744.0","548,428.0","554,273.0","563,567.0","571,790.0","581,955.0","594,410.0","603,893.0","614,637.0","622,099.0","640,312.0","652,320.0","664,666.0","683,624.0","705,711.0","716,042.0","728,314.0","741,177.0","747,864.0","754,733.0","769,864.0","785,643.0","805,191.0","825,695.0","843,773.0","860,873.0","878,533.0","894,623.0","913,321.0","923,096.0"
"50","30","  Net domestic product","A362RC1","211,561.0","214,138.0","217,397.0","226,673.0","232,372.0","239,011.0","245,059.0","246,169.0","240,696.0","236,999.0","238,507.0","236,004.0","246,097.0","255,140.0","271,849.0","282,109.0","296,467.0","303,167.0","309,243.0","312,993.0","315,843.0","316,201.0","321,871.0","334,148.0","340,498.0","343,475.0","342,224.0","336,563.0","335,457.0","335,573.0","339,945.0","348,065.0","360,915.0","368,687.0","376,321.0","381,812.0","382,792.0","387,531.0","391,520.0","399,448.0","407,522.0","408,666.0","415,102.0","409,562.0","401,660.0","405,148.0","418,105.0","430,740.0","440,677.0","453,224.0","453,665.0","457,291.0","470,817.0","469,755.0","472,264.0","466,578.0","470,492.0","481,113.0","491,052.0","503,645.0","516,459.0","523,112.0","529,153.0","531,665.0","540,159.0","548,171.0","560,267.0","569,098.0","584,528.0","592,975.0","603,718.0","607,870.0","626,842.0","638,094.0","653,851.0","674,804.0","696,688.0","704,230.0","715,914.0","728,107.0","737,388.0","740,319.0","753,225.0","767,099.0","792,235.0","814,720.0","827,967.0","842,764.0","865,240.0","878,115.0","896,023.0","901,593.0"
"51","31","  Net domestic income","W256RC1","210,773.0","211,583.0","214,976.0","223,370.0","231,642.0","240,317.0","245,409.0","247,220.0","240,110.0","235,799.0","236,230.0","232,795.0","242,401.0","253,848.0","271,232.0","282,238.0","293,974.0","299,234.0","304,248.0","310,111.0","312,334.0","314,028.0","319,728.0","330,972.0","337,076.0","339,973.0","338,942.0","330,917.0","332,515.0","332,835.0","336,261.0","344,969.0","356,908.0","366,997.0","373,908.0","380,404.0","383,770.0","389,301.0","393,385.0","401,916.0","408,019.0","410,024.0","414,191.0","408,916.0","403,402.0","404,758.0","415,284.0","428,389.0","440,097.0","454,729.0","451,374.0","456,736.0","470,540.0","470,823.0","471,895.0","469,973.0","471,694.0","481,544.0","490,801.0","504,620.0","515,411.0","521,649.0","527,639.0","534,425.0","541,286.0","550,925.0","559,363.0","569,426.0","581,427.0","591,300.0","602,512.0","610,755.0","628,331.0","639,126.0","650,512.0","669,618.0","689,139.0","698,752.0","710,113.0","722,256.0","728,357.0","735,389.0","750,246.0","766,016.0","786,415.0","807,004.0","825,306.0","841,690.0","858,600.0","874,833.0","893,661.0","902,384.0"
"52","32","  Net national factor income \3\","X032RC1","193,700.0","194,442.0","197,505.0","204,986.0","213,488.0","221,465.0","226,525.0","228,308.0","220,769.0","215,759.0","215,803.0","212,212.0","221,774.0","232,445.0","248,073.0","260,281.0","270,164.0","276,678.0","281,086.0","286,356.0","287,437.0","288,296.0","293,556.0","303,839.0","309,332.0","311,657.0","310,501.0","302,235.0","304,514.0","305,326.0","308,491.0","316,700.0","327,751.0","336,766.0","342,599.0","348,723.0","351,857.0","357,014.0","360,477.0","367,744.0","373,933.0","375,684.0","379,079.0","373,277.0","367,947.0","369,106.0","379,342.0","391,504.0","401,433.0","415,261.0","410,830.0","415,524.0","427,976.0","427,901.0","428,531.0","426,531.0","428,315.0","437,736.0","446,386.0","459,040.0","468,823.0","475,037.0","479,875.0","486,771.0","491,977.0","500,563.0","508,125.0","517,593.0","529,319.0","538,013.0","547,887.0","554,355.0","571,480.0","582,266.0","593,326.0","610,973.0","631,644.0","640,347.0","651,080.0","662,358.0","667,486.0","672,748.0","686,091.0","700,041.0","717,642.0","736,322.0","752,476.0","767,418.0","782,895.0","796,639.0","813,041.0","820,231.0"
"53","33","  Net domestic purchases","W367RC1","200,686.0","202,844.0","205,627.0","217,384.0","225,079.0","233,806.0","240,110.0","241,668.0","234,218.0","230,716.0","233,328.0","233,005.0","243,894.0","253,497.0","272,589.0","282,263.0","296,290.0","301,224.0","305,501.0","308,803.0","312,122.0","314,250.0","321,875.0","335,161.0","341,165.0","344,726.0","342,776.0","336,898.0","335,813.0","335,319.0","339,371.0","346,920.0","359,811.0","368,842.0","375,597.0","381,572.0","382,352.0","385,622.0","388,951.0","394,921.0","402,703.0","404,567.0","411,105.0","406,174.0","400,581.0","404,677.0","417,249.0","431,000.0","440,272.0","453,212.0","453,067.0","456,717.0","468,100.0","465,596.0","468,099.0","460,804.0","464,695.0","475,580.0","487,143.0","499,229.0","512,509.0","517,312.0","525,314.0","528,852.0","536,275.0","541,638.0","556,352.0","563,675.0","577,264.0","585,904.0","597,342.0","600,922.0","622,242.0","630,638.0","648,950.0","669,291.0","692,272.0","698,998.0","713,708.0","724,511.0","732,825.0","735,799.0","750,329.0","764,860.0","791,136.0","812,778.0","826,679.0","841,697.0","865,069.0","876,871.0","895,047.0","898,260.0"
"54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","1. Prior to 1959, current surplus of government enterprises (line 22) is not shown separately;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","subsidies are included net of the current surplus of government enterprises in line 18.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","2. Consists of compensation of employees, proprietors' income with inventory valuation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","adjustment (IVA) and capital consumption adjustment (CCAdj), rental income of persons with",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","CCAdj, corporate profits with IVA and CCAdj, net interest and miscellaneous payments, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","consumption of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
