"","Table 2#1# Personal Income and Its Disposition                  ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95"
"33","14","    Personal interest income","A064RC1","7,392.0","7,537.0","7,656.0","7,764.0","7,873.0","7,992.0","8,129.0","8,287.0","8,482.0","8,682.0","8,897.0","9,125.0","9,383.0","9,612.0","9,831.0","10,039.0","10,237.0","10,421.0","10,599.0","10,776.0","10,900.0","11,128.0","11,405.0","11,731.0","12,168.0","12,532.0","12,882.0","13,215.0","13,514.0","13,817.0","14,112.0","14,405.0","14,664.0","14,992.0","15,357.0","15,759.0","16,212.0","16,676.0","17,158.0","17,651.0","18,203.0","18,663.0","19,083.0","19,463.0","19,755.0","20,106.0","20,473.0","20,864.0","20,895.0","21,573.0","22,357.0","23,309.0","24,249.0","24,301.0","24,571.0","24,947.0","25,168.0","25,824.0","26,531.0","27,406.0","27,393.0","28,623.0","29,721.0","30,497.0","30,386.0","31,023.0","32,060.0","33,152.0","34,086.0","35,075.0","36,143.0","36,923.0","37,851.0","38,872.0","39,749.0","40,230.0","41,379.0","42,728.0","43,969.0","45,541.0","46,422.0","47,048.0","47,691.0","48,911.0","49,749.0","51,301.0","52,047.0","53,384.0","56,552.0","58,905.0","61,057.0","63,072.0"
"34","15","    Personal dividend income","B703RC1","6,004.0","6,312.0","6,520.0","6,448.0","7,028.0","6,676.0","7,088.0","7,352.0","7,224.0","7,204.0","7,112.0","7,412.0","8,288.0","8,372.0","9,156.0","9,536.0","8,380.0","8,632.0","8,580.0","8,688.0","8,156.0","8,712.0","8,600.0","8,772.0","8,432.0","9,176.0","9,044.0","8,892.0","9,436.0","8,880.0","9,308.0","9,504.0","10,048.0","10,168.0","10,780.0","10,916.0","11,164.0","11,188.0","11,180.0","11,588.0","11,608.0","11,792.0","11,896.0","11,672.0","11,552.0","11,676.0","11,656.0","11,380.0","12,084.0","12,464.0","12,764.0","12,968.0","13,172.0","13,248.0","13,536.0","13,508.0","13,564.0","13,640.0","13,932.0","14,468.0","14,564.0","14,992.0","15,180.0","15,372.0","15,760.0","16,092.0","16,332.0","16,760.0","17,456.0","18,020.0","18,412.0","18,888.0","19,208.0","19,888.0","20,540.0","21,184.0","21,268.0","20,876.0","20,532.0","20,004.0","21,064.0","21,680.0","22,072.0","21,224.0","22,604.0","23,372.0","23,968.0","24,196.0","23,964.0","24,124.0","24,268.0","24,600.0"
"35","16","  Personal current transfer receipts","A577RC1","9,720.0","9,588.0","13,456.0","10,516.0","10,692.0","10,436.0","10,112.0","9,768.0","10,472.0","11,044.0","11,540.0","11,792.0","20,212.0","13,788.0","10,808.0","11,080.0","11,092.0","11,416.0","11,584.0","11,552.0","11,392.0","11,524.0","12,272.0","12,340.0","12,352.0","12,312.0","12,512.0","12,888.0","13,500.0","14,100.0","14,476.0","15,180.0","15,288.0","15,612.0","15,868.0","15,968.0","16,336.0","16,572.0","17,068.0","17,332.0","18,212.0","19,436.0","19,636.0","20,824.0","22,116.0","23,908.0","24,188.0","23,652.0","24,008.0","23,932.0","24,184.0","24,832.0","24,636.0","25,276.0","26,040.0","27,008.0","28,832.0","29,688.0","29,872.0","29,408.0","30,000.0","29,992.0","30,424.0","31,152.0","32,648.0","31,688.0","31,960.0","32,540.0","33,568.0","33,208.0","33,504.0","33,736.0","35,032.0","34,640.0","38,140.0","36,900.0","37,844.0","37,880.0","39,600.0","43,144.0","46,084.0","47,224.0","48,704.0","50,044.0","52,424.0","55,916.0","57,340.0","58,696.0","60,444.0","61,536.0","62,896.0","64,340.0"
"36","17","    Government social benefits to persons","A063RC1","9,352.0","9,196.0","13,052.0","10,112.0","10,308.0","10,072.0","9,744.0","9,400.0","10,140.0","10,712.0","11,184.0","11,392.0","19,768.0","13,280.0","10,220.0","10,400.0","10,300.0","10,548.0","10,684.0","10,620.0","10,480.0","10,628.0","11,396.0","11,472.0","11,464.0","11,428.0","11,676.0","12,128.0","12,888.0","13,568.0","13,944.0","14,588.0","14,556.0","14,736.0","14,864.0","14,860.0","15,176.0","15,364.0","15,812.0","16,016.0","16,836.0","18,032.0","18,224.0","19,436.0","20,808.0","22,648.0","22,976.0","22,472.0","22,736.0","22,612.0","22,844.0","23,476.0","23,304.0","23,968.0","24,740.0","25,700.0","27,512.0","28,348.0","28,504.0","27,992.0","28,520.0","28,460.0","28,852.0","29,540.0","30,852.0","29,852.0","30,076.0","30,584.0","31,496.0","31,036.0","31,264.0","31,472.0","32,700.0","32,340.0","35,896.0","34,716.0","35,692.0","35,772.0","37,512.0","41,040.0","43,928.0","45,008.0","46,408.0","47,664.0","49,920.0","53,196.0","54,452.0","55,656.0","57,184.0","58,180.0","59,528.0","61,000.0"
"37","18","      Old-age, survivors, disability, and health insurance benefits","B222RC1","424.0","460.0","476.0","492.0","516.0","548.0","572.0","580.0","612.0","656.0","688.0","704.0","732.0","768.0","784.0","1,524.0","1,740.0","1,884.0","1,944.0","1,920.0","1,964.0","2,040.0","2,124.0","2,576.0","2,728.0","2,964.0","3,104.0","3,124.0","3,288.0","3,464.0","3,628.0","4,148.0","4,448.0","4,848.0","5,156.0","5,204.0","5,332.0","5,524.0","5,808.0","5,944.0","6,424.0","7,512.0","7,492.0","7,836.0","7,972.0","8,448.0","8,644.0","8,848.0","9,704.0","10,028.0","10,344.0","10,624.0","10,760.0","11,000.0","11,252.0","11,508.0","11,952.0","12,336.0","12,796.0","13,372.0","13,768.0","14,136.0","14,472.0","14,816.0","14,912.0","15,168.0","15,392.0","15,508.0","15,728.0","15,912.0","16,160.0","16,272.0","16,492.0","16,680.0","20,148.0","18,948.0","19,296.0","19,736.0","21,084.0","23,060.0","24,460.0","25,584.0","26,340.0","26,900.0","28,136.0","30,616.0","31,352.0","31,848.0","32,384.0","32,912.0","33,348.0","33,664.0"
"38","19","      Government unemployment insurance benefits","B223RC1","824.0","828.0","884.0","780.0","732.0","832.0","848.0","988.0","1,290.0","1,674.0","2,066.0","2,430.0","2,022.0","1,582.0","1,198.0","1,026.0","802.0","770.0","922.0","1,042.0","1,095.0","1,035.0","1,203.0","939.0","971.0","887.0","939.0","1,387.0","1,887.0","2,307.0","2,367.0","2,323.0","1,851.0","1,499.0","1,359.0","1,355.0","1,434.0","1,454.0","1,618.0","1,574.0","1,695.0","1,643.0","1,791.0","2,467.0","3,403.0","4,487.0","4,751.0","3,943.0","3,052.0","2,604.0","2,528.0","2,832.0","2,492.0","2,748.0","3,120.0","3,624.0","4,060.0","5,116.0","4,340.0","3,664.0","3,444.0","3,056.0","2,956.0","2,960.0","3,076.0","3,000.0","2,896.0","2,912.0","2,796.0","2,792.0","2,628.0","2,536.0","2,412.0","2,356.0","2,276.0","2,152.0","2,012.0","1,744.0","1,880.0","1,864.0","2,088.0","2,304.0","2,240.0","2,132.0","2,208.0","2,088.0","2,120.0","2,140.0","2,204.0","2,112.0","2,244.0","2,404.0"
"39","20","      Veterans benefits","B224RC1","6,200.0","5,834.0","9,257.0","6,542.0","6,288.0","6,091.0","5,788.0","5,574.0","5,566.0","5,398.0","5,179.0","4,984.0","13,617.0","7,112.0","5,253.0","4,845.0","4,514.0","4,640.0","4,656.0","4,520.0","4,008.0","4,026.0","4,717.0","4,564.0","4,335.0","4,038.0","3,945.0","4,130.0","4,115.0","4,100.0","4,118.0","4,307.0","4,403.0","4,479.0","4,513.0","4,397.0","4,462.0","4,403.0","4,362.0","4,307.0","4,453.0","4,538.0","4,507.0","4,590.0","4,626.0","4,816.0","4,638.0","4,575.0","4,708.0","4,636.0","4,536.0","4,484.0","4,472.0","4,536.0","4,572.0","4,704.0","5,460.0","4,760.0","5,080.0","4,536.0","4,648.0","4,580.0","4,584.0","4,792.0","5,748.0","4,480.0","4,496.0","4,636.0","5,296.0","4,528.0","4,532.0","4,524.0","5,484.0","4,676.0","4,740.0","4,760.0","5,108.0","4,472.0","4,456.0","5,404.0","6,228.0","5,316.0","5,340.0","5,488.0","5,856.0","5,808.0","5,932.0","6,084.0","6,372.0","6,656.0","6,760.0","7,004.0"
"40","21","      Family assistance \1\","B226RC1","273.0","269.0","281.0","357.0","328.0","344.0","376.0","408.0","432.0","464.0","488.0","516.0","532.0","548.0","560.0","564.0","560.0","556.0","548.0","544.0","540.0","540.0","536.0","540.0","540.0","536.0","548.0","556.0","560.0","568.0","576.0","588.0","600.0","604.0","620.0","628.0","620.0","624.0","632.0","656.0","672.0","692.0","728.0","764.0","788.0","832.0","840.0","884.0","920.0","936.0","936.0","944.0","964.0","980.0","1,000.0","1,020.0","1,056.0","1,108.0","1,188.0","1,232.0","1,264.0","1,284.0","1,292.0","1,312.0","1,344.0","1,344.0","1,356.0","1,380.0","1,432.0","1,496.0","1,520.0","1,552.0","1,604.0","1,636.0","1,664.0","1,696.0","1,748.0","1,796.0","1,892.0","1,980.0","2,068.0","2,192.0","2,304.0","2,460.0","2,572.0","2,756.0","2,924.0","3,044.0","3,276.0","3,416.0","3,636.0","3,852.0"
"41","22","      Other","B227RC1","1,631.0","1,805.0","2,154.0","1,941.0","2,444.0","2,257.0","2,160.0","1,850.0","2,240.0","2,520.0","2,763.0","2,758.0","2,865.0","3,270.0","2,425.0","2,441.0","2,684.0","2,698.0","2,614.0","2,594.0","2,873.0","2,987.0","2,816.0","2,853.0","2,890.0","3,003.0","3,140.0","2,931.0","3,038.0","3,129.0","3,255.0","3,222.0","3,254.0","3,306.0","3,216.0","3,276.0","3,328.0","3,359.0","3,392.0","3,535.0","3,592.0","3,647.0","3,706.0","3,779.0","4,019.0","4,065.0","4,103.0","4,222.0","4,352.0","4,408.0","4,500.0","4,592.0","4,616.0","4,704.0","4,796.0","4,844.0","4,984.0","5,028.0","5,100.0","5,188.0","5,396.0","5,404.0","5,548.0","5,660.0","5,772.0","5,860.0","5,936.0","6,148.0","6,244.0","6,308.0","6,424.0","6,588.0","6,708.0","6,992.0","7,068.0","7,160.0","7,528.0","8,024.0","8,200.0","8,732.0","9,084.0","9,612.0","10,184.0","10,684.0","11,148.0","11,928.0","12,124.0","12,540.0","12,948.0","13,084.0","13,540.0","14,076.0"
"42","23","    Other current transfer receipts, from business (net)","B931RC1","368.0","392.0","404.0","404.0","384.0","364.0","368.0","368.0","332.0","332.0","356.0","400.0","444.0","508.0","588.0","680.0","792.0","868.0","900.0","932.0","912.0","896.0","876.0","868.0","888.0","884.0","836.0","760.0","612.0","532.0","532.0","592.0","732.0","876.0","1,004.0","1,108.0","1,160.0","1,208.0","1,256.0","1,316.0","1,376.0","1,404.0","1,412.0","1,388.0","1,308.0","1,260.0","1,212.0","1,180.0","1,272.0","1,320.0","1,340.0","1,356.0","1,332.0","1,308.0","1,300.0","1,308.0","1,320.0","1,340.0","1,368.0","1,416.0","1,480.0","1,532.0","1,572.0","1,612.0","1,796.0","1,836.0","1,884.0","1,956.0","2,072.0","2,172.0","2,240.0","2,264.0","2,332.0","2,300.0","2,244.0","2,184.0","2,152.0","2,108.0","2,088.0","2,104.0","2,156.0","2,216.0","2,296.0","2,380.0","2,504.0","2,720.0","2,888.0","3,040.0","3,260.0","3,356.0","3,368.0","3,340.0"
"43","24","  Less: Contributions for government social insurance, domestic","A061RC1","6,348.0","5,964.0","5,160.0","4,784.0","4,848.0","4,552.0","4,580.0","4,484.0","5,176.0","5,072.0","4,796.0","4,516.0","5,312.0","5,312.0","5,496.0","5,808.0","6,616.0","6,692.0","6,556.0","6,672.0","6,944.0","6,824.0","6,872.0","7,052.0","7,064.0","7,136.0","7,172.0","7,052.0","8,068.0","8,032.0","8,052.0","8,144.0","8,876.0","9,040.0","9,196.0","9,252.0","9,856.0","9,964.0","9,992.0","10,136.0","11,396.0","11,428.0","11,500.0","11,328.0","11,328.0","11,252.0","11,420.0","11,536.0","13,656.0","13,904.0","13,860.0","13,916.0","16,424.0","16,456.0","16,508.0","16,388.0","16,740.0","16,904.0","17,064.0","17,312.0","18,888.0","19,108.0","19,192.0","19,280.0","21,336.0","21,548.0","21,756.0","22,036.0","22,036.0","22,272.0","22,516.0","22,724.0","22,888.0","23,196.0","23,552.0","24,028.0","30,376.0","30,840.0","31,924.0","32,204.0","33,632.0","34,580.0","35,240.0","36,016.0","37,588.0","38,424.0","39,072.0","39,696.0","42,908.0","43,692.0","44,624.0","45,284.0"
"44","25","Less: Personal current taxes","W055RC1","19,165.0","19,475.0","19,721.0","20,799.0","21,198.0","18,949.0","18,245.0","18,428.0","17,803.0","16,998.0","16,303.0","15,828.0","16,622.0","17,599.0","18,915.0","22,512.0","24,425.0","26,372.0","27,791.0","29,632.0","30,876.0","31,813.0","32,274.0","33,057.0","33,411.0","33,439.0","33,187.0","32,931.0","30,196.0","29,977.0","30,005.0","30,462.0","31,412.0","32,429.0","33,364.0","34,231.0","35,367.0","36,239.0","36,901.0","37,857.0","38,578.0","38,965.0","39,197.0","38,804.0","38,178.0","37,696.0","38,945.0","39,376.0","40,758.0","41,986.0","42,679.0","43,733.0","45,292.0","46,028.0","46,528.0","46,424.0","46,511.0","46,944.0","47,402.0","48,143.0","49,402.0","50,924.0","52,319.0","53,575.0","54,101.0","54,311.0","54,593.0","55,203.0","53,755.0","49,723.0","51,575.0","53,223.0","56,964.0","58,415.0","57,005.0","58,272.0","61,526.0","65,567.0","67,854.0","70,565.0","71,175.0","70,942.0","73,833.0","75,894.0","78,564.0","81,665.0","91,861.0","95,858.0","102,602.0","105,660.0","104,139.0","105,623.0"
"45","26","Equals: Disposable personal income","A067RC1","168,335.0","166,065.0","173,836.0","176,080.0","180,947.0","189,196.0","195,925.0","195,858.0","190,361.0","189,792.0","189,806.0","191,008.0","204,850.0","204,705.0","212,222.0","218,003.0","225,052.0","230,406.0","232,204.0","235,711.0","236,528.0","239,446.0","245,810.0","251,060.0","255,420.0","259,341.0","259,708.0","259,202.0","262,008.0","261,805.0","263,877.0","268,857.0","273,729.0","280,611.0","287,039.0","291,180.0","295,394.0","300,329.0","304,551.0","311,234.0","314,570.0","318,682.0","322,779.0","322,603.0","323,800.0","326,532.0","333,522.0","337,635.0","342,635.0","349,983.0","351,462.0","356,128.0","361,079.0","364,949.0","366,654.0","368,073.0","372,117.0","377,673.0","384,215.0","392,233.0","397,685.0","403,538.0","406,824.0","411,392.0","415,987.0","420,534.0","427,291.0","435,986.0","446,840.0","460,040.0","467,559.0","474,571.0","481,401.0","489,157.0","504,503.0","516,284.0","525,182.0","530,767.0","541,604.0","552,056.0","561,973.0","569,249.0","579,994.0","589,221.0","605,783.0","622,142.0","629,822.0","641,030.0","648,447.0","663,391.0","685,221.0","698,231.0"
"46","27","Less: Personal outlays","A068RC1","158,094.0","161,913.0","165,555.0","169,689.0","172,681.0","176,506.0","179,459.0","180,374.0","179,241.0","180,955.0","180,385.0","182,963.0","185,713.0","189,700.0","203,563.0","201,088.0","212,373.0","208,075.0","210,762.0","214,782.0","216,234.0","220,484.0","223,202.0","231,534.0","235,346.0","237,331.0","238,194.0","237,722.0","239,732.0","242,494.0","245,212.0","249,868.0","256,331.0","261,656.0","266,098.0","270,305.0","272,100.0","274,904.0","278,213.0","283,686.0","288,277.0","290,637.0","295,299.0","297,000.0","296,589.0","299,434.0","304,407.0","308,316.0","315,983.0","322,195.0","327,645.0","329,990.0","333,687.0","339,793.0","339,931.0","342,016.0","342,621.0","347,570.0","350,562.0","357,969.0","363,315.0","369,184.0","373,305.0","379,777.0","383,631.0","387,996.0","395,376.0","400,322.0","410,139.0","418,442.0","427,717.0","430,525.0","441,343.0","448,751.0","458,164.0","472,275.0","482,872.0","488,312.0","497,660.0","503,682.0","508,253.0","517,949.0","524,956.0","532,579.0","550,878.0","565,093.0","581,817.0","591,121.0","603,836.0","615,911.0","626,615.0","639,084.0"
"47","28","  Personal consumption expenditures","DPCERC1","156,297.0","160,168.0","163,677.0","167,809.0","170,514.0","174,288.0","177,222.0","178,080.0","176,987.0","178,606.0","177,971.0","180,420.0","183,095.0","186,987.0","200,693.0","198,130.0","209,400.0","205,136.0","207,806.0","211,782.0","213,145.0","217,280.0","219,771.0","227,914.0","231,521.0","233,287.0","234,021.0","233,480.0","235,518.0","238,268.0","240,707.0","245,517.0","251,844.0","256,928.0","261,135.0","265,147.0","266,681.0","269,374.0","272,625.0","278,003.0","282,441.0","284,736.0","289,321.0","290,958.0","290,523.0","293,436.0","298,469.0","302,318.0","310,058.0","316,078.0","321,282.0","323,395.0","326,935.0","332,806.0","332,755.0","334,679.0","335,206.0","340,158.0","343,055.0","350,322.0","355,603.0","361,241.0","365,111.0","371,385.0","374,950.0","379,079.0","386,069.0","390,739.0","400,372.0","408,350.0","417,252.0","419,833.0","430,533.0","437,468.0","446,644.0","460,600.0","471,036.0","476,137.0","485,290.0","491,099.0","495,416.0","504,550.0","511,812.0","519,352.0","537,343.0","551,128.0","567,306.0","576,241.0","588,443.0","599,810.0","610,129.0","622,128.0"
"48","29","  Personal interest payments \2\","B069RC1","871.0","918.0","962.0","1,021.0","1,163.0","1,259.0","1,307.0","1,371.0","1,399.0","1,506.0","1,611.0","1,748.0","1,838.0","1,961.0","2,136.0","2,216.0","2,241.0","2,226.0","2,210.0","2,239.0","2,341.0","2,459.0","2,621.0","2,799.0","2,955.0","3,162.0","3,271.0","3,360.0","3,389.0","3,377.0","3,401.0","3,473.0","3,634.0","3,889.0","4,118.0","4,291.0","4,460.0","4,553.0","4,582.0","4,657.0","4,747.0","4,822.0","4,915.0","4,985.0","5,040.0","4,980.0","4,961.0","4,983.0","5,134.0","5,325.0","5,570.0","5,803.0","5,992.0","6,192.0","6,336.0","6,448.0","6,477.0","6,476.0","6,507.0","6,613.0","6,635.0","6,841.0","7,087.0","7,290.0","7,486.0","7,775.0","8,111.0","8,372.0","8,508.0","8,786.0","9,128.0","9,342.0","9,519.0","9,905.0","10,124.0","10,236.0","10,393.0","10,634.0","10,745.0","10,944.0","11,056.0","11,080.0","11,160.0","11,291.0","11,567.0","11,983.0","12,367.0","12,822.0","13,326.0","13,815.0","14,222.0","14,601.0"
"49","30","  Personal current transfer payments","W211RC1","926.0","827.0","916.0","859.0","1,004.0","959.0","930.0","923.0","855.0","843.0","803.0","795.0","780.0","752.0","734.0","742.0","732.0","713.0","746.0","761.0","748.0","745.0","810.0","821.0","870.0","882.0","902.0","882.0","825.0","849.0","1,104.0","878.0","853.0","839.0","845.0","867.0","959.0","977.0","1,006.0","1,026.0","1,089.0","1,079.0","1,063.0","1,057.0","1,026.0","1,018.0","977.0","1,015.0","791.0","792.0","793.0","792.0","760.0","795.0","840.0","889.0","938.0","936.0","1,000.0","1,034.0","1,077.0","1,102.0","1,107.0","1,102.0","1,195.0","1,142.0","1,196.0","1,211.0","1,259.0","1,306.0","1,337.0","1,350.0","1,291.0","1,378.0","1,396.0","1,439.0","1,443.0","1,541.0","1,625.0","1,639.0","1,781.0","2,319.0","1,984.0","1,936.0","1,968.0","1,982.0","2,144.0","2,058.0","2,067.0","2,286.0","2,264.0","2,355.0"
"50","31","    To government","W062RC1","202.0","211.0","224.0","239.0","252.0","267.0","286.0","299.0","311.0","319.0","323.0","319.0","308.0","308.0","318.0","322.0","340.0","345.0","354.0","357.0","356.0","361.0","374.0","385.0","398.0","406.0","414.0","422.0","437.0","441.0","436.0","434.0","425.0","419.0","433.0","443.0","463.0","481.0","494.0","514.0","545.0","563.0","575.0","585.0","586.0","582.0","573.0","555.0","335.0","320.0","313.0","312.0","312.0","327.0","352.0","377.0","430.0","464.0","492.0","518.0","537.0","546.0","547.0","542.0","519.0","522.0","532.0","547.0","599.0","606.0","605.0","598.0","555.0","558.0","580.0","619.0","691.0","749.0","809.0","863.0","921.0","967.0","1,004.0","1,036.0","1,032.0","1,038.0","1,040.0","1,046.0","1,075.0","1,106.0","1,144.0","1,187.0"
"51","32","    To the rest of the world (net)","B070RC1","724.0","616.0","692.0","620.0","752.0","692.0","644.0","624.0","544.0","524.0","480.0","476.0","472.0","444.0","416.0","420.0","392.0","368.0","392.0","404.0","392.0","384.0","436.0","436.0","472.0","476.0","488.0","460.0","388.0","408.0","668.0","444.0","428.0","420.0","412.0","424.0","496.0","496.0","512.0","512.0","544.0","516.0","488.0","472.0","440.0","436.0","404.0","460.0","456.0","472.0","480.0","480.0","448.0","468.0","488.0","512.0","508.0","472.0","508.0","516.0","540.0","556.0","560.0","560.0","676.0","620.0","664.0","664.0","660.0","700.0","732.0","752.0","736.0","820.0","816.0","820.0","752.0","792.0","816.0","776.0","860.0","1,352.0","980.0","900.0","936.0","944.0","1,104.0","1,012.0","992.0","1,180.0","1,120.0","1,168.0"
"52","33","Equals: Personal saving","A071RC1","10,241.0","4,152.0","8,281.0","6,391.0","8,266.0","12,690.0","16,466.0","15,484.0","11,120.0","8,837.0","9,421.0","8,045.0","19,137.0","15,005.0","8,659.0","16,915.0","12,679.0","22,331.0","21,442.0","20,929.0","20,294.0","18,962.0","22,608.0","19,526.0","20,074.0","22,010.0","21,514.0","21,480.0","22,276.0","19,311.0","18,665.0","18,989.0","17,398.0","18,955.0","20,941.0","20,875.0","23,294.0","25,425.0","26,338.0","27,548.0","26,293.0","28,045.0","27,480.0","25,603.0","27,211.0","27,098.0","29,115.0","29,319.0","26,652.0","27,788.0","23,817.0","26,138.0","27,392.0","25,156.0","26,723.0","26,057.0","29,496.0","30,103.0","33,653.0","34,264.0","34,370.0","34,354.0","33,519.0","31,615.0","32,356.0","32,538.0","31,915.0","35,664.0","36,701.0","41,598.0","39,842.0","44,046.0","40,058.0","40,406.0","46,339.0","44,009.0","42,310.0","42,455.0","43,944.0","48,374.0","53,720.0","51,300.0","55,038.0","56,642.0","54,905.0","57,049.0","48,005.0","49,909.0","44,611.0","47,480.0","58,606.0","59,147.0"
"53","34","  Personal saving as a percentage of disposable personal income","A072RC1","6.1","2.5","4.8","3.6","4.6","6.7","8.4","7.9","5.8","4.7","5.0","4.2","9.3","7.3","4.1","7.8","5.6","9.7","9.2","8.9","8.6","7.9","9.2","7.8","7.9","8.5","8.3","8.3","8.5","7.4","7.1","7.1","6.4","6.8","7.3","7.2","7.9","8.5","8.6","8.9","8.4","8.8","8.5","7.9","8.4","8.3","8.7","8.7","7.8","7.9","6.8","7.3","7.6","6.9","7.3","7.1","7.9","8.0","8.8","8.7","8.6","8.5","8.2","7.7","7.8","7.7","7.5","8.2","8.2","9.0","8.5","9.3","8.3","8.3","9.2","8.5","8.1","8.0","8.1","8.8","9.6","9.0","9.5","9.6","9.1","9.2","7.6","7.8","6.9","7.2","8.6","8.5"
"54",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","35","  Personal income excluding current transfer receipts, millions of chained (2005) dollars \3\","W875RX1","1,286,955.0","1,263,569.0","1,269,748.0","1,281,991.0","1,302,579.0","1,331,284.0","1,353,259.0","1,360,551.0","1,325,369.0","1,320,289.0","1,320,007.0","1,324,397.0","1,369,023.0","1,411,658.0","1,461,165.0","1,494,788.0","1,505,051.0","1,536,682.0","1,553,637.0","1,566,514.0","1,573,619.0","1,596,895.0","1,623,577.0","1,657,278.0","1,679,396.0","1,701,043.0","1,691,296.0","1,677,046.0","1,665,396.0","1,661,473.0","1,677,308.0","1,707,463.0","1,736,167.0","1,779,727.0","1,814,977.0","1,839,186.0","1,861,054.0","1,881,333.0","1,888,699.0","1,920,346.0","1,921,386.0","1,928,007.0","1,935,874.0","1,916,079.0","1,888,857.0","1,887,940.0","1,930,593.0","1,959,404.0","1,979,101.0","2,018,743.0","2,017,214.0","2,033,780.0","2,067,344.0","2,077,906.0","2,077,722.0","2,070,362.0","2,078,801.0","2,106,400.0","2,135,011.0","2,181,475.0","2,204,244.0","2,235,465.0","2,252,030.0","2,271,996.0","2,284,521.0","2,311,119.0","2,335,326.0","2,371,750.0","2,403,515.0","2,446,883.0","2,485,185.0","2,519,804.0","2,558,887.0","2,594,759.0","2,637,678.0","2,701,517.0","2,736,521.0","2,761,616.0","2,796,437.0","2,821,762.0","2,850,240.0","2,865,405.0","2,897,405.0","2,920,149.0","2,969,005.0","3,013,306.0","3,058,247.0","3,087,603.0","3,113,498.0","3,149,270.0","3,194,231.0","3,214,300.0"
"56",NA,"  Disposable personal income:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","36","    Total, millions of chained (2005) dollars \3\","A067RX1","1,218,583.0","1,192,567.0","1,225,578.0","1,211,254.0","1,231,099.0","1,273,961.0","1,299,324.0","1,302,940.0","1,276,220.0","1,280,130.0","1,287,693.0","1,296,992.0","1,393,443.0","1,385,857.0","1,407,401.0","1,420,308.0","1,420,873.0","1,443,014.0","1,452,273.0","1,454,916.0","1,453,857.0","1,472,155.0","1,501,405.0","1,530,947.0","1,551,479.0","1,572,908.0","1,566,582.0","1,556,675.0","1,565,629.0","1,566,475.0","1,584,086.0","1,615,630.0","1,639,587.0","1,679,099.0","1,710,704.0","1,730,639.0","1,748,411.0","1,765,706.0","1,773,223.0","1,801,540.0","1,804,555.0","1,816,680.0","1,825,260.0","1,814,925.0","1,799,589.0","1,811,450.0","1,848,792.0","1,872,214.0","1,886,861.0","1,919,714.0","1,916,369.0","1,931,280.0","1,955,478.0","1,966,108.0","1,967,767.0","1,966,622.0","1,984,518.0","2,014,363.0","2,041,850.0","2,082,027.0","2,101,707.0","2,125,226.0","2,137,017.0","2,154,562.0","2,172,483.0","2,193,137.0","2,217,850.0","2,254,556.0","2,299,624.0","2,362,087.0","2,392,708.0","2,420,416.0","2,447,387.0","2,474,489.0","2,542,602.0","2,594,131.0","2,618,447.0","2,624,701.0","2,657,788.0","2,688,235.0","2,728,422.0","2,750,793.0","2,777,084.0","2,797,422.0","2,846,190.0","2,893,549.0","2,899,333.0","2,918,416.0","2,923,434.0","2,952,867.0","3,012,887.0","3,034,863.0"
"58",NA,"    Per capita:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
