"","Table 7#6# Capital Consumption Adjustment by Legal Form of Organ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"21","3","    For current-cost valuation","A1401C1","-798.0","-491.0",-104,391,416,36,-71,-149,"-654.0","-728.0","-642.0","-761.0","-1,207.0","-2,072.0","-2,155.0","-2,391.0","-2,378.0","-2,686.0","-4,566.0","-5,412.0","-5,441.0","-5,357.0","-6,609.0","-6,664.0","-6,529.0","-6,233.0","-6,079.0","-7,393.0","-8,338.0","-8,272.0","-8,434.0","-7,755.0","-7,147.0","-6,763.0","-6,426.0","-6,338.0","-6,466.0","-6,912.0","-7,807.0","-9,150.0","-10,793.0"
"22","4","Domestic corporate business","A2201C1","-411.0","-193.0",63,163,143,-72,-131,-149,"-565.0","-605.0","-514.0","-589.0","-594.0","-409.0","-35.0","615.0","735.0","-1,733.0","-2,559.0","-2,849.0","-2,753.0","-2,633.0","-2,788.0","-2,372.0","-1,569.0","-691.0","851.0","215.0","98.0","-250.0","347.0","1,638.0","2,347.0","5,313.0","6,202.0","6,922.0","7,624.0","7,953.0","8,182.0","8,463.0","8,970.0"
"23","5","    For consistent accounting at historical cost","A1402C1","144.0","125.0",139,-61,-100,-87,-41,-26,"-88.0","-114.0","-72.0","-63.0","214.0","959.0","1,385.0","2,124.0","2,209.0","-19.0","333.0","614.0","736.0","840.0","1,534.0","1,956.0","2,722.0","3,433.0","4,911.0","5,298.0","5,918.0","5,517.0","6,254.0","7,111.0","7,372.0","10,057.0","10,695.0","11,330.0","12,075.0","12,687.0","13,548.0","14,785.0","16,418.0"
"24","6","    For current-cost valuation","A1403C1","-555.0","-318.0",-76,224,243,15,-90,-123,"-477.0","-491.0","-442.0","-526.0","-808.0","-1,368.0","-1,420.0","-1,509.0","-1,474.0","-1,714.0","-2,892.0","-3,463.0","-3,489.0","-3,473.0","-4,322.0","-4,328.0","-4,291.0","-4,124.0","-4,060.0","-5,083.0","-5,820.0","-5,767.0","-5,907.0","-5,473.0","-5,025.0","-4,744.0","-4,493.0","-4,408.0","-4,451.0","-4,734.0","-5,366.0","-6,322.0","-7,448.0"
"25","7","  Financial","B393RC1","-92.0","-79.0",-66,-46,-35,-48,-38,-36,"-58.0","-60.0","-67.0","-57.0","-90.0","-155.0","-146.0","-159.0","-142.0","-120.0","-228.0","-250.0","-224.0","-255.0","-284.0","-293.0","-290.0","-288.0","-247.0","-279.0","-286.0","-327.0","-323.0","-213.0","-175.0","-122.0","-150.0","-74.0","-136.0","-196.0","-156.0","-120.0","-105.0"
"26","8","    For consistent accounting at historical cost","B1404C1","-91.0","-86.0",-77,-71,-64,-58,-49,-39,"-52.0","-49.0","-56.0","-46.0","-57.0","-82.0","-80.0","-77.0","-73.0","-84.0","-105.0","-115.0","-92.0","-144.0","-149.0","-147.0","-155.0","-166.0","-157.0","-154.0","-134.0","-178.0","-159.0","-89.0","-62.0","-19.0","-51.0","25.0","-43.0","-116.0","-71.0","-14.0","46.0"
"27","9","    For current-cost valuation","B1405C1","-1.0","7.0",11,25,29,10,11,3,"-6.0","-11.0","-11.0","-11.0","-33.0","-73.0","-66.0","-82.0","-69.0","-36.0","-123.0","-135.0","-132.0","-111.0","-135.0","-146.0","-135.0","-122.0","-90.0","-125.0","-152.0","-149.0","-164.0","-124.0","-113.0","-103.0","-99.0","-99.0","-93.0","-80.0","-85.0","-106.0","-151.0"
"28","10","  Nonfinancial","A2203C1","-319.0","-114.0",129,209,178,-24,-93,-113,"-507.0","-545.0","-447.0","-532.0","-504.0","-254.0","111.0","774.0","877.0","-1,613.0","-2,331.0","-2,599.0","-2,529.0","-2,378.0","-2,504.0","-2,079.0","-1,279.0","-403.0","1,098.0","494.0","384.0","77.0","670.0","1,851.0","2,522.0","5,435.0","6,352.0","6,996.0","7,760.0","8,149.0","8,338.0","8,583.0","9,075.0"
"29","11","    For consistent accounting at historical cost","B1406C1","235.0","211.0",216,10,-36,-29,7,13,"-36.0","-65.0","-16.0","-17.0","272.0","1,040.0","1,465.0","2,201.0","2,282.0","65.0","437.0","728.0","827.0","984.0","1,683.0","2,103.0","2,877.0","3,599.0","5,068.0","5,451.0","6,052.0","5,694.0","6,412.0","7,200.0","7,433.0","10,076.0","10,746.0","11,305.0","12,118.0","12,802.0","13,619.0","14,799.0","16,373.0"
"30","12","    For current-cost valuation","B1407C1","-554.0","-325.0",-87,199,214,5,-100,-126,"-471.0","-480.0","-431.0","-515.0","-776.0","-1,294.0","-1,354.0","-1,427.0","-1,405.0","-1,678.0","-2,768.0","-3,327.0","-3,356.0","-3,362.0","-4,187.0","-4,182.0","-4,156.0","-4,002.0","-3,970.0","-4,957.0","-5,668.0","-5,617.0","-5,742.0","-5,349.0","-4,911.0","-4,641.0","-4,394.0","-4,309.0","-4,358.0","-4,653.0","-5,281.0","-6,216.0","-7,298.0"
"31","13","Domestic noncorporate business","W282RC1","-890.0","-850.0",-662,-413,-403,-471,-417,-405,"-546.0","-578.0","-550.0","-552.0","-642.0","-783.0","-677.0","-744.0","-728.0","-707.0","-1,058.0","-1,246.0","-1,041.0","-991.0","-1,276.0","-1,230.0","-1,097.0","-996.0","-1,012.0","-953.0","-1,074.0","-1,277.0","-1,261.0","-1,113.0","-1,160.0","-1,033.0","-924.0","-864.0","-1,197.0","-1,433.0","-1,588.0","-1,964.0","-2,120.0"
"32","14","  Sole proprietorships and partnerships","A2204C1","-753.0","-720.0",-569,-388,-380,-418,-367,-342,"-450.0","-470.0","-443.0","-432.0","-484.0","-585.0","-451.0","-474.0","-428.0","-363.0","-573.0","-703.0","-496.0","-436.0","-653.0","-590.0","-461.0","-369.0","-378.0","-286.0","-399.0","-609.0","-594.0","-480.0","-564.0","-468.0","-376.0","-308.0","-597.0","-775.0","-856.0","-1,110.0","-1,121.0"
"33","15","    Farm \1\","B044RC1","-58.0","-41.0",-8,18,11,-15,-6,-12,"-31.0","-43.0","-24.0","-20.0","-53.0","-149.0","-153.0","-190.0","-185.0","-181.0","-342.0","-435.0","-456.0","-438.0","-538.0","-576.0","-540.0","-494.0","-445.0","-526.0","-592.0","-608.0","-624.0","-550.0","-520.0","-509.0","-493.0","-489.0","-512.0","-548.0","-608.0","-677.0","-790.0"
"34","16","    Nonfarm","A2205C1","-695.0","-679.0",-561,-406,-391,-403,-361,-330,"-419.0","-427.0","-419.0","-412.0","-431.0","-436.0","-298.0","-284.0","-243.0","-182.0","-231.0","-268.0","-40.0","2.0","-115.0","-14.0","79.0","125.0","67.0","240.0","193.0","-1.0","30.0","70.0","-44.0","41.0","117.0","181.0","-85.0","-227.0","-248.0","-433.0","-331.0"
"35","17","      For consistent accounting at historical cost","B1409C1","-647.0","-677.0",-634,-580,-576,-492,-436,-379,"-369.0","-341.0","-350.0","-317.0","-243.0","-79.0","58.0","138.0","176.0","265.0","616.0","703.0","911.0","893.0","1,011.0","1,106.0","1,141.0","1,113.0","1,007.0","1,357.0","1,444.0","1,228.0","1,266.0","1,169.0","962.0","986.0","1,009.0","1,066.0","818.0","745.0","853.0","864.0","1,225.0"
"36","18","      For current-cost valuation","B1410C1","-48.0","-2.0",73,174,185,89,75,49,"-50.0","-86.0","-69.0","-95.0","-188.0","-357.0","-356.0","-422.0","-419.0","-447.0","-847.0","-971.0","-951.0","-891.0","-1,126.0","-1,120.0","-1,062.0","-988.0","-940.0","-1,117.0","-1,251.0","-1,229.0","-1,236.0","-1,099.0","-1,006.0","-945.0","-892.0","-885.0","-903.0","-972.0","-1,101.0","-1,297.0","-1,556.0"
"37","19","  Other private business \1\","A2206C1","-137.0","-130.0",-93,-25,-23,-53,-50,-63,"-96.0","-108.0","-107.0","-120.0","-158.0","-198.0","-226.0","-270.0","-300.0","-344.0","-485.0","-543.0","-545.0","-555.0","-623.0","-640.0","-636.0","-627.0","-634.0","-667.0","-675.0","-668.0","-667.0","-633.0","-596.0","-565.0","-548.0","-556.0","-600.0","-658.0","-732.0","-854.0","-999.0"
"38","20","    Rental income of persons","B050RC1","-137.0","-130.0",-93,-25,-23,-53,-50,-63,"-96.0","-106.0","-106.0","-119.0","-153.0","-182.0","-213.0","-254.0","-287.0","-336.0","-457.0","-513.0","-513.0","-526.0","-585.0","-601.0","-599.0","-592.0","-604.0","-624.0","-621.0","-612.0","-607.0","-583.0","-554.0","-528.0","-514.0","-522.0","-565.0","-623.0","-689.0","-800.0","-936.0"
"39","21","      Nonfarm tenant-occupied housing","B2611C1","-122.0","-115.0",-82,-21,-19,-46,-43,-55,"-84.0","-93.0","-94.0","-105.0","-136.0","-162.0","-192.0","-228.0","-260.0","-303.0","-412.0","-463.0","-464.0","-476.0","-528.0","-543.0","-541.0","-535.0","-545.0","-561.0","-557.0","-548.0","-544.0","-521.0","-494.0","-469.0","-457.0","-465.0","-506.0","-560.0","-621.0","-724.0","-853.0"
"40","22","      Farm tenant-occupied housing","W283RC1","-6.0","-6.0",-5,-2,-2,-3,-3,-3,"-5.0","-5.0","-5.0","-6.0","-7.0","-8.0","-8.0","-10.0","-11.0","-13.0","-17.0","-19.0","-19.0","-19.0","-22.0","-23.0","-22.0","-23.0","-23.0","-24.0","-24.0","-24.0","-24.0","-24.0","-23.0","-23.0","-22.0","-22.0","-23.0","-24.0","-26.0","-28.0","-30.0"
"41","23","      Farms owned by nonoperator landlords","B2614C1","-8.0","-8.0",-6,-3,-3,-4,-4,-5,"-6.0","-7.0","-7.0","-7.0","-8.0","-9.0","-11.0","-13.0","-13.0","-16.0","-21.0","-23.0","-23.0","-24.0","-26.0","-27.0","-28.0","-27.0","-28.0","-29.0","-29.0","-29.0","-28.0","-28.0","-28.0","-28.0","-27.0","-27.0","-28.0","-30.0","-31.0","-34.0","-36.0"
"42","24","      Nonfarm nonresidential properties","B2615C1","-1.0","-1.0",0,1,1,0,0,0,"-1.0","-1.0","0.0","-1.0","-2.0","-3.0","-2.0","-3.0","-3.0","-4.0","-7.0","-8.0","-7.0","-7.0","-9.0","-8.0","-8.0","-7.0","-8.0","-10.0","-11.0","-11.0","-11.0","-10.0","-9.0","-8.0","-8.0","-8.0","-8.0","-9.0","-11.0","-14.0","-17.0"
"43","25","    Proprietors' income","B1411C1","0.0","0.0",0,0,0,0,0,0,"0.0","-2.0","-1.0","-1.0","-5.0","-16.0","-13.0","-16.0","-13.0","-8.0","-28.0","-30.0","-32.0","-29.0","-38.0","-39.0","-37.0","-35.0","-30.0","-43.0","-54.0","-56.0","-60.0","-50.0","-42.0","-37.0","-34.0","-34.0","-35.0","-35.0","-43.0","-54.0","-63.0"
"44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","1. Except for farm proprietorships and partnerships (line 15) and other private",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","business (line 19), the capital consumption adjustment is calculated in two parts.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","The adjustment for consistent accounting at historical cost converts depreciation,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","based on the service lives and depreciation schedules employed by firms when filing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","their income tax returns, to consistent service lives and empirically based depreciation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","schedules.  The adjustment for current-cost valuation converts the historical-cost series",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","with consistent accounting to a series valued at current cost.  For farm proprietorships",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","and partnerships and for other private business, the historical-cost series is based on",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","consistent service lives and empirically based depreciation schedules, so the adjustment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","reflects only a conversion to current-cost valuation.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
