"","Table 1#12# National Income by Type of Income                   ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"63","43","      Profits before tax (without IVA and CCAdj)","A053RC1","10,595.0","4,291.0","357.0","-1,480.0","1,728.0","3,079.0","4,216.0","6,931.0","7,450.0","4,443.0","7,628.0","10,437.0","18,342.0","22,047.0","25,552.0","24,455.0","20,021.0","24,936.0","31,945.0","35,876.0","29,607.0","43,233.0","44,788.0","40,230.0","41,683.0","39,343.0","49,884.0","50,463.0","49,080.0","42,963.0","53,756.0","51,631.0","51,569.0","57,006.0","62,079.0","69,096.0","80,150.0","86,700.0","83,547.0","92,439.0","91,371.0"
"64","44","        Taxes on corporate income","A054RC1","1,369.0","842.0","498.0","385.0","521.0","744.0","951.0","1,409.0","1,502.0","1,029.0","1,441.0","2,834.0","7,610.0","11,415.0","14,074.0","12,949.0","10,689.0","9,104.0","11,268.0","12,421.0","10,203.0","17,925.0","22,559.0","19,399.0","20,287.0","17,624.0","22,041.0","21,993.0","21,423.0","18,964.0","23,727.0","22,782.0","22,890.0","24,095.0","26,371.0","28,155.0","31,065.0","33,881.0","32,899.0","39,628.0","39,977.0"
"65","45","        Profits after tax (without IVA and CCAdj)","A055RC1","9,226.0","3,449.0","-141.0","-1,865.0","1,207.0","2,335.0","3,265.0","5,522.0","5,948.0","3,414.0","6,187.0","7,603.0","10,732.0","10,632.0","11,478.0","11,506.0","9,332.0","15,832.0","20,677.0","23,455.0","19,404.0","25,308.0","22,229.0","20,831.0","21,396.0","21,719.0","27,843.0","28,470.0","27,657.0","23,999.0","30,029.0","28,849.0","28,679.0","32,911.0","35,708.0","40,941.0","49,085.0","52,819.0","50,648.0","52,811.0","51,394.0"
"66","46","          Net dividends","B056RC1","5,801.0","5,468.0","4,066.0","2,544.0","2,038.0","2,567.0","2,844.0","4,523.0","4,660.0","3,165.0","3,766.0","4,016.0","4,431.0","4,254.0","4,446.0","4,617.0","4,600.0","5,574.0","6,321.0","7,036.0","7,238.0","8,838.0","8,570.0","8,560.0","8,886.0","9,282.0","10,478.0","11,280.0","11,742.0","11,566.0","12,570.0","13,366.0","13,901.0","15,027.0","16,236.0","18,194.0","20,205.0","20,670.0","21,510.0","23,535.0","24,239.0"
"67","47","          Undistributed profits (without IVA and CCAdj)","B057RC1","3,425.0","-2,019.0","-4,207.0","-4,409.0","-831.0","-232.0","421.0","999.0","1,288.0","249.0","2,421.0","3,587.0","6,301.0","6,378.0","7,032.0","6,889.0","4,732.0","10,258.0","14,356.0","16,419.0","12,166.0","16,470.0","13,659.0","12,271.0","12,510.0","12,437.0","17,365.0","17,190.0","15,915.0","12,433.0","17,459.0","15,483.0","14,778.0","17,884.0","19,472.0","22,747.0","28,880.0","32,149.0","29,138.0","29,276.0","27,155.0"
"68","48","      Inventory valuation adjustment","B058RC1","472.0","3,260.0","2,414.0","1,047.0","-2,143.0","-625.0","-227.0","-738.0","-31.0","963.0","-714.0","-200.0","-2,471.0","-1,204.0","-773.0","-287.0","-564.0","-5,263.0","-5,899.0","-2,152.0","1,856.0","-4,965.0","-1,199.0","981.0","-997.0","-318.0","-1,736.0","-2,693.0","-1,539.0","-255.0","-277.0","-173.0","271.0","26.0","54.0","-494.0","-1,245.0","-2,107.0","-1,554.0","-3,651.0","-5,870.0"
"69","49","    Capital consumption adjustment","A059RC1","-411.0","-193.0","63.0","163.0","143.0","-72.0","-131.0","-149.0","-565.0","-605.0","-514.0","-589.0","-594.0","-409.0","-35.0","615.0","735.0","-1,733.0","-2,559.0","-2,849.0","-2,753.0","-2,633.0","-2,788.0","-2,372.0","-1,569.0","-691.0","851.0","215.0","98.0","-250.0","347.0","1,638.0","2,347.0","5,313.0","6,202.0","6,922.0","7,624.0","7,953.0","8,182.0","8,463.0","8,970.0"
"70",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","1. Prior to 1959, subsidies (line 20) and the current surplus of government enterprises (line 25)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","are not shown separately; subsidies are presented net of the current surplus of government enterprises.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","IVA Inventory valuation adjustment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","CCAdj Capital consumption adjustment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
