"","Table 1BU# Real Manufacturing and Trade Inventories, Seasonally ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137"
"31","23","A     Paper manufacturing","KS3220",15650,15720,15999,15847,15849,15579,15553,15616,15794,15820,15908,16130,16210,16162,16132,16176,16210,16313,16332,16382,16177,16117,16060,15764,15857,15821,15966,15969,16132,16274,16268,16550,16810,16803,16826,16811,17022,17126,17112,17235,17253,17184,17311,17192,16941,16778,16523,16267,16140,16097,15810,15668,15555,15484,15434,15389,15580,15742,15965,16079,16195,16375,16503,16549,16647,16930,16923,17016,17204,17281,17406,17479,17529,17475,17151,17242,17183,17222,17051,17035,16994,16872,16848,16689,16653,16512,16356,16260,16361,16358,16543,16601,16545,16750,16824,16749,17016,17100,17074,17130,17155,17227,17177,17025,16838,16816,16707,16717,16669,16761,16830,16843,16821,16675,16676,16666,16687,16642,16700,16592,16575,16535,16428,16382,16396,16454,16549,16650,16705,16743,16775,17058,16699,16595
"32","24","A     Printing and related support activities","KS3230",6558,6445,6418,6580,6677,6550,6253,6502,6483,6536,6571,6708,6464,6463,6452,6436,6524,6431,6641,6487,6578,6345,6236,6210,6297,6277,6354,6565,6492,6591,6550,6533,6678,6643,6835,6911,6915,7070,7025,6824,6838,6847,6709,6811,6790,6842,6729,6552,6542,6497,6483,6351,6330,6236,6246,6367,6190,6258,6235,6286,6472,6232,6182,6380,6402,6620,6716,6664,6529,6731,6727,6732,6785,6742,6719,6665,6612,6476,6535,6525,6454,6341,6433,6409,6275,6365,6274,6210,6356,6270,6267,6331,6375,6430,6352,6365,6201,6305,6385,6345,6378,6394,6390,6207,6294,6241,6265,6188,6199,6164,6132,6153,6110,6176,6164,6071,6168,6217,6135,6078,6097,6134,6091,6030,6033,6126,6107,6137,6274,6322,6333,6461,6081,6214
"33","25","A     Petroleum and coal product manufacturing","KS3240",16072,15771,16148,16045,16257,16184,15837,16433,16468,16468,16627,16606,15373,15469,15831,15935,15882,15709,15796,15511,15386,15752,16647,15812,15626,14645,15426,15118,14812,14697,14804,15182,15239,15429,15664,15515,15580,15406,15351,15629,15710,15864,15610,15315,15489,15678,15592,15208,15278,15451,15488,15812,16031,15995,15916,16223,16298,15961,15944,16411,15674,15683,16253,16325,15946,15946,16248,16024,16123,15979,15438,15805,15810,15897,15957,16187,15609,16158,15742,16377,16411,16293,15933,15900,16544,16800,16654,16574,16986,17064,17224,16876,16583,17020,17548,16570,17673,17634,17666,17595,16671,17023,17487,17451,17501,17970,17504,17548,17844,17775,17816,18476,18907,19074,18902,19146,18639,17611,17593,17636,16988,17256,17541,17782,17785,17845,17596,17421,18033,17849,17958,18049,18952,19114
"34","26","A     Chemical manufacturing","KS3250",46137,46275,46439,46680,46748,47010,47022,46958,47568,48200,48584,48642,49039,49560,49808,49851,49893,50070,50291,50362,49970,49991,50469,49797,50309,50548,50491,50944,51862,51707,51933,51788,51553,52031,52648,52948,52793,52806,52781,52992,53086,53745,54592,54470,54733,54865,54952,54802,55033,54419,54638,54496,54362,53884,53884,53520,53816,54289,53765,53646,53911,53982,53785,53825,53629,53478,54037,54604,54603,54608,54906,53953,53828,54775,54483,54287,54387,54432,54795,54851,54609,54326,54479,53413,52936,53767,54264,54734,54808,54857,54664,54731,53757,53400,53826,54447,54606,54770,54898,54520,54562,55074,54646,54283,54144,53627,53410,54790,55814,55053,55576,55040,54927,55433,55103,55009,55601,55593,55470,54756,55014,54632,54362,54126,54272,54135,54029,53719,53773,53387,53235,52255,53352,52975
"35","27","A     Plastics and rubber product manufacturing","KS3260",16306,16360,16389,16444,16516,16596,16542,16543,16557,16639,16690,16698,16725,16744,16741,16706,16834,16971,16978,17090,17059,17087,17344,17422,17588,17591,17630,17710,17806,17767,17838,17942,18073,18127,18183,18357,18349,18351,18138,18513,18496,18455,18502,18380,18314,18332,18138,18358,18407,18355,18261,18163,17846,17745,17686,17681,17745,17768,17796,17766,17541,17341,19006,18750,18592,18364,18240,18125,18580,18458,18331,18189,18187,18416,18282,18387,18402,18552,18379,18290,18193,18039,17932,17997,17944,17849,17995,17967,17929,18074,18223,18296,18336,18414,18368,18233,18560,18511,18564,18439,18506,18448,18380,18424,17985,17946,18029,18141,18380,18431,18417,18577,18594,18605,18686,18695,18721,18719,18674,18427,18474,18477,18541,18495,18655,18750,18820,18815,18817,18664,18662,18629,18493,18539
"36","28","A Merchant wholesale industries","KS42W0",234576,235036,236476,237090,238588,243631,243586,245057,247480,248959,251362,254081,255126,258524,260527,260575,262932,263076,264091,267554,270179,271445,273222,274423,275115,277695,278872,279139,279792,280366,283327,284147,285756,288337,291457,291968,294144,295183,296511,298393,299886,302011,302913,304248,304819,306161,307681,307035,306825,306853,307179,308323,309925,308021,305903,305827,304936,303170,300554,298639,298187,295382,295519,294228,294715,295938,297816,298123,298506,297214,297679,300485,299861,300434,300974,301515,299984,299233,299213,298494,299748,301450,301453,301795,300717,303257,303565,302133,304079,306021,310571,313010,312571,315860,318319,318863,322641,323186,323556,325507,325571,327132,327433,328087,329148,330078,330530,334295,334521,337130,337746,340959,342572,343938,345410,348555,351143,352335,354031,351607,352252,352617,352424,352351,352617,353243,353914,354924,357144,355577,355617,356453,357564,358574
"37","29","A   Durable goods merchant wholesale industries","KS42WD0",142658,143150,144620,145467,146881,150667,149647,150338,152528,152675,153683,156023,157284,159546,161417,161899,163125,162675,163260,165819,167288,168730,169089,170846,171527,172820,173656,172958,174504,175442,176806,176689,178158,179752,182277,182814,183634,184822,185770,187557,188981,191088,191331,192028,191864,192521,193398,192822,193750,193258,192772,192230,191894,188597,187035,185777,184458,184146,180640,178533,177476,175376,174956,174398,174204,174576,175857,176944,177325,176871,177528,178554,177980,179572,180005,180576,179427,178740,177735,176922,177242,177754,178008,180107,180294,182223,183410,183082,185356,187118,189264,192206,192719,194376,195934,196710,199039,199906,199867,200272,200547,202330,202886,202847,202909,205277,206197,208345,208442,209782,210238,213463,213972,214555,215775,217234,220325,221085,221402,220270,221328,221432,221335,219364,219737,218981,217701,218358,219461,218720,219385,220621,222208,223161
"38","30","D     Motor vehicles, parts, and supplies wholesalers","KS42110",21558,21133,21534,21184,21707,22653,22599,22815,23001,22599,22408,22507,22783,23129,23695,22702,22283,21917,21641,22070,22195,22638,22220,22951,22862,23019,23384,23399,23853,23953,24355,24524,24855,24798,25263,25271,25473,25570,26030,26286,26438,26667,26282,26131,25699,25636,25728,25995,25794,25861,25700,25621,25294,25001,25100,25108,25166,25527,24933,24311,24224,23840,23793,23474,24278,24689,25151,25028,26010,26553,27394,27160,27094,27363,27611,27995,27517,27787,27122,26873,26664,27618,27409,28595,28664,29192,29896,29633,29868,29906,30547,31647,31378,30548,30884,30410,31368,31159,30324,30793,31121,32606,32454,32351,32133,32740,33030,33649,33176,34315,34807,36488,35357,35056,35371,34974,35727,36150,36342,34868,35326,34411,34618,33045,33363,33821,33323,33980,34259,33688,34546,35769,35663,36007
"39","31","D     Furniture and home furnishings wholesalers","KS42120",4961,4850,4766,5001,5070,4962,4899,5013,5065,5020,5104,5124,5184,5156,5091,5213,5246,5245,5277,5292,5296,5383,5285,5271,5245,5303,5303,5227,5252,5350,5382,5340,5361,5540,5411,5549,5572,5616,5686,5772,5847,5949,6019,6094,5880,5974,6036,5972,6049,5974,5993,5901,5849,5704,5658,5574,5644,5597,5587,5477,5439,5462,5335,5399,5396,5436,5531,5569,5629,5618,5632,5737,5711,5793,5873,5945,5976,5989,5884,5922,5904,5946,5990,6083,6270,6192,6256,6214,6152,6221,6289,6271,6262,6224,6235,6199,6202,6225,6252,6288,6241,6125,6183,6271,6268,6420,6389,6379,6380,6344,6270,6225,6422,6487,6537,6554,6584,6597,6628,6738,6742,6713,6889,6838,6797,6848,6905,6894,6859,6797,6835,6813,6972,7066
"40","32","D     Lumber and other construction materials wholesalers","KS42130",5156,5262,5269,5370,5414,5500,5518,5606,5604,5538,5647,5597,5640,5619,5548,5642,5568,5571,5640,5809,5526,5563,5597,5545,5568,5515,5575,5631,5705,5666,5751,5694,5774,5883,5854,5932,6040,6085,6128,6147,6185,6262,6243,6164,6186,6214,6267,6380,6269,6265,6240,6105,6074,5946,6037,6204,6293,6508,6422,6424,6390,6294,6290,6323,6318,6311,6376,6466,6584,6685,6755,6871,6980,7157,7061,7103,7028,7106,7096,7223,7297,7492,7891,8141,8402,8570,8590,8779,9259,9037,9217,9278,9405,9567,9432,9915,10188,10524,10496,10010,10086,9917,9938,9862,9436,9827,9862,10509,10536,10547,10521,10702,10657,10895,10949,11069,11166,10950,10896,11074,10865,10844,10693,10477,10342,10266,10199,10295,10244,10348,10319,10532,10550,10492
"41","33","D     Professional and commercial equipment wholesalers","KS42140",15038,15323,15410,15971,16381,17173,17457,17276,18156,18559,18720,19029,19664,20037,20707,21018,21305,20754,20890,21119,21082,20888,21189,20970,20989,21849,21875,21162,21922,22342,22393,22473,22835,23482,24167,24404,24958,24724,24403,24405,24644,24576,24628,24649,25365,25643,25689,25293,25283,25554,25247,25628,25238,24916,24841,24721,23986,23793,23066,23375,23244,22833,23503,24318,24131,24543,24659,25380,25052,24487,24678,25041,25335,25650,25989,25509,25901,25815,26254,26369,26459,26385,26489,26337,26191,26596,26665,26341,26787,27488,27509,28195,28311,29015,29714,29634,29955,29811,29935,30597,30501,30984,31042,31122,31202,31717,31673,32042,32604,33459,33118,33440,34381,34186,34832,35408,36283,36653,36944,37226,37816,38327,38778,38875,39083,39188,39287,39701,39925,39263,39836,40146,40607,41335
"42","34","D       Computers and software wholesalers","KS42430",6581,6778,6871,7121,7451,8020,8188,8125,8725,8950,8872,9147,9412,9616,10326,10430,10637,10455,10302,10617,10504,10473,10687,10907,10878,11633,11227,10691,11546,11804,11858,11988,12018,12537,12888,13100,13101,13194,12319,12229,12052,12095,12143,12149,12817,13487,13061,12680,12855,13006,12898,13085,12829,12293,12440,12229,11885,11951,11630,11574,11489,11662,12209,12896,12714,12975,12907,13414,13196,12599,12430,12642,13166,13636,13878,13750,14299,14224,14554,14460,14383,14608,14714,15144,15010,14968,15276,15286,15385,16363,16199,16895,16729,17343,18265,18073,18083,18264,18571,18628,18525,19002,18594,19261,20071,20339,20145,20494,20962,21277,21350,21226,22047,21736,22220,22738,23981,24977,24627,24338,25132,25203,25394,25751,26347,26451,26952,27814,28205,28132,27867,27836,28643,28786
"43","35","D       Other professional and commercial equipment wholesalers","KS424X0",9412,9438,9381,9724,9673,9726,9820,9681,9826,9992,10366,10314,10721,10873,10597,10836,10884,10459,10854,10680,10793,10603,10667,10123,10183,10214,10742,10592,10413,10565,10557,10496,10845,10954,11286,11303,11873,11532,12114,12204,12621,12505,12504,12514,12565,12189,12640,12612,12444,12568,12377,12571,12430,12583,12396,12460,12075,11856,11463,11776,11728,11249,11435,11645,11619,11790,11939,12203,12077,12009,12282,12446,12350,12309,12433,12124,12101,12078,12229,12379,12497,12304,12323,11951,11913,12254,12132,11872,12162,12159,12265,12410,12589,12796,12835,12876,13111,12909,12845,13304,13283,13403,13639,13377,13050,13294,13353,13455,13642,14105,13831,14110,14409,14408,14648,14826,14909,14753,15094,15405,15484,15802,16030,15954,15862,15892,15766,15714,15715,15309,15782,15996,16004,16424
"44","36","D     Metal and mineral (except petroleum) wholesalers","KS42150",12692,12991,13038,13150,13149,13300,13271,13304,13271,13215,13213,13319,13455,13549,13666,13714,13831,13783,13761,14205,14331,14465,14700,14737,14987,14690,14379,14479,14618,14640,14489,14354,14487,14657,14876,15029,15224,15422,15679,16085,15903,16026,16080,16064,16007,15842,15701,15375,15354,15230,15095,14993,15062,15055,15029,15103,14860,14836,14567,14484,14280,14260,14156,14075,14060,14060,14214,14267,14506,14253,14250,14215,13876,13942,13913,13943,13735,13760,13636,13509,13610,13557,13729,13987,14242,14473,14821,14587,14875,14908,15144,15514,15454,16064,16295,16283,16535,16521,16695,16769,16729,16633,16518,16327,16215,16134,16004,15936,16022,16073,15971,16425,16680,16913,17089,17459,17868,17864,17967,18113,18007,17932,17798,17461,17610,17486,17207,16951,16892,16703,16494,16670,16760,16899
"45","37","D     Electrical goods wholesalers","KS42160",20054,20118,20528,20313,20325,20668,20566,20688,20644,20478,20282,20520,20443,20742,21220,21561,21774,21872,21808,22008,22223,22137,22199,22441,22442,22720,22559,22370,22739,22936,23638,23733,24037,24465,25075,25707,25651,25875,26044,26070,26412,26967,27497,27739,28034,28741,29076,29184,29491,29258,29308,29557,28938,28332,27314,26786,26427,26165,25290,24492,24026,23663,23344,23068,23171,22871,23182,23772,23537,23647,23477,23577,23489,23303,23347,23519,23171,23115,22872,22818,23052,22842,22470,23182,23044,23874,24329,24703,25153,25272,25248,25369,25419,25521,25657,25817,26057,26247,26287,26068,26020,26424,26898,26884,26811,26791,27036,27458,27326,27720,27918,28241,28480,28370,29013,29211,29611,30354,30231,30038,30166,29884,29992,29656,30257,30041,29876,29907,30058,30321,30389,30644,30864,30681
"46","38","D     Hardware and plumbing and heating equipment wholesalers","KS42170",9563,9577,9378,9623,9632,9613,9507,9547,9667,9631,9678,9664,9835,10129,10066,10226,10256,10373,10349,10427,10388,10415,10442,10484,10575,10509,10556,10523,10557,10571,10679,10465,10548,10606,10768,10701,10698,10933,10919,11170,11239,11416,11461,11512,11428,11528,11549,11614,11528,11443,11391,11254,11142,11190,11141,11311,11273,11196,11105,11022,11043,10882,10864,10771,10897,10878,10940,10925,10980,10882,10872,10995,10951,11311,11412,11401,11243,11157,11190,11004,10982,10986,11012,10969,10905,10884,10926,10913,11091,11151,11283,11407,11549,11672,11723,11746,11761,11746,11690,11667,11658,11684,11585,11641,11689,11903,11978,12223,12576,12545,12619,12663,12683,12826,12934,12989,12961,12802,12776,12647,12455,12402,12597,12975,12821,12706,12903,12889,12959,12973,13007,12986,12895,12801
"47","39","D     Machinery, equipment, and supplies wholesalers","KS42180",40171,40228,40679,41159,41797,42606,41295,41375,42082,42760,43407,44402,44318,44933,45163,45353,46091,46386,47009,47415,48198,48893,49089,50068,50393,50657,51037,51489,51055,51218,51553,51453,51450,51402,51678,51167,50892,51110,51377,51862,52163,52486,52010,52620,52645,52183,52468,51914,52432,52405,52464,51949,52724,52176,51631,50924,50753,50511,49518,48993,48988,48358,48053,47471,46793,46578,46958,46653,46342,45875,45804,46220,45927,46253,46168,46266,46181,45490,45249,45014,44907,44576,44649,44117,44338,44709,44064,44001,44309,45001,45331,45706,45800,46439,46779,47515,47428,47880,48312,48508,48422,48774,48984,49736,49917,50258,50831,51063,51134,51057,51446,52020,52353,52924,52982,53254,53807,54464,54253,53950,54977,55372,54602,54473,54649,54222,54211,54187,54704,55061,55156,55246,55645,55917
"48","40","D     Miscellaneous durable goods wholesalers","KS42190",14814,14869,15238,14718,14336,14956,15065,15350,15444,15147,15499,16125,16071,16347,16220,16354,16626,16774,16889,17516,18152,18550,18539,18623,18730,18702,19155,18904,18961,18885,18658,18730,18876,18955,19201,19057,19113,19482,19509,19765,20154,20740,21111,21052,20620,20766,20889,21098,21557,21285,21335,21265,21600,20274,20294,20060,20009,19948,20080,19950,19815,19762,19677,19676,19321,19426,19044,19182,18938,19082,18904,18996,18947,19132,19018,19201,19058,18933,18928,18729,18925,18915,18903,19229,18726,18334,18481,18522,18481,18873,19338,19531,19852,19898,19898,19798,20182,20355,20339,20237,20435,20169,20341,19784,20381,20742,20695,20562,20250,19751,19603,19379,19186,18893,18383,18546,18698,18004,18162,18243,17945,18470,18585,18723,18201,18010,17598,17733,17850,17693,17447,16830,17258,17182
"49","41","A   Nondurable goods merchant wholesale industries","KS42WN0",92212,92161,92081,91808,91853,93053,94115,94915,95088,96481,97913,98242,97981,99107,99197,98734,99882,100513,100947,101823,102992,102769,104238,103620,103617,104922,105257,106263,105314,104922,106540,107503,107624,108612,109188,109154,110526,110364,110743,110836,110905,110922,111583,112222,112958,113643,114287,114213,113112,113623,114417,116063,117961,119291,118732,119882,120291,118861,119709,119882,120464,119745,120285,119556,120219,121055,121652,120912,120920,120100,119925,121661,121597,120663,120775,120762,120362,120281,121196,121262,122161,123306,123071,121473,120278,120921,120127,119066,118832,119057,121414,121015,120113,121718,122617,122409,123859,123572,123959,125439,125242,125088,124867,125516,126456,125200,124795,126393,126519,127764,127934,128048,129107,129867,130155,131796,131441,131876,133178,131927,131597,131843,131752,133379,133301,134516,136217,136572,137647,136856,136346,136091,135815,135950
"50","42","D     Paper and paper products wholesalers","KS42210",7645,7705,7726,7803,7941,7803,8130,8342,8233,8178,8207,8266,7963,8306,8353,8344,8332,8319,8303,8310,8285,8160,8355,8417,8395,8484,8548,8579,8569,8605,8662,8681,8678,8630,8679,8463,8695,8675,8798,8773,8762,8723,8759,8827,8824,8942,8938,8942,8818,8954,8853,8846,8868,8786,8703,8673,8692,8681,8605,8520,8514,8400,8364,8353,8421,8518,8379,8338,8348,8259,8322,8300,8277,8405,8364,8413,8336,8300,8306,8246,8211,8285,8292,8424,8427,8411,8544,8504,8397,8652,8812,8821,8854,8904,8863,8900,8986,8985,8915,8981,9037,9129,9047,9203,9172,9115,9288,9158,9030,9046,9013,8997,8948,8861,8897,8842,8916,8929,8898,8896,8991,8988,9040,9092,9135,9271,9373,9272,9280,9297,9268,9207,9218,9225
"51","43","D     Drugs and druggists' sundries wholesalers","KS42220",14084,13849,14148,13885,14169,14456,14618,15184,15267,14957,15453,15568,15822,16260,16349,16304,16531,16054,16055,16130,16052,16187,16461,16528,16866,17159,17387,18149,18567,18830,19172,19391,19303,19840,19747,19706,20238,20417,20810,20959,20931,21528,22072,22164,22663,22967,23229,23951,23666,23460,24425,25148,26302,26974,26787,27861,29154,28844,29723,30373,30389,30015,30153,29728,29472,29751,29172,29005,29508,30255,30080,31198,31219,31780,32237,32784,32768,32188,32875,32970,32312,32089,32173,31257,30969,31862,31898,31123,31422,31481,32032,31871,31437,31471,31465,30714,31133,30228,29920,29942,29907,29411,28672,28367,29133,28794,28642,29573,28713,29630,30091,30305,30421,31191,30928,32529,31423,30510,31317,31297,30791,30881,30628,31291,31690,31394,31331,31688,31248,31213,31464,31662,31487,31894
"52","44","D     Apparel, piece goods, and notions wholesalers","KS42230",11707,11854,11992,12048,12156,12384,12426,12402,12358,12943,12922,12860,12874,12601,12646,12701,12654,12769,12706,12894,12770,12852,12907,12873,12376,13020,12539,12254,12089,11848,11862,11828,11650,11743,11926,12084,12319,12279,12268,12428,12528,12222,12323,12198,12282,12158,12160,12049,12107,12479,12616,12836,13088,13143,12855,12825,12799,12777,12332,11938,12220,12040,11858,11509,11605,11916,12166,12476,12898,12517,12400,12506,12452,12237,12449,12508,12327,12501,12471,12191,11936,11562,11774,11806,11554,11648,11683,11544,11630,11270,11370,11598,11886,12102,12650,12069,12337,12368,12482,12809,12843,13020,13008,13059,12980,13085,12992,12710,12404,12581,12511,12439,12308,12379,12628,12693,12828,12781,12721,12965,13319,13201,13080,12738,12803,13284,13492,13619,13579,13514,13309,13222,13482,13555
"53","45","D     Grocery and related products wholesalers","KS42240",16995,16878,16852,16614,16860,17043,17080,17005,16970,17568,17716,17816,18038,18267,17709,18085,18344,18213,18263,18250,18109,17883,17995,17795,17865,18235,18465,18968,18800,18289,18956,19102,19174,19332,19824,19800,19719,19824,19710,19678,19498,19307,19586,19695,20080,20185,20709,20249,19955,19773,19618,19598,19336,19442,19055,19268,19052,18606,18943,19048,19047,18867,19170,19412,20022,20554,20709,20946,20600,20801,20607,20710,21117,21015,20698,20271,19908,19892,20048,20026,20426,19741,19703,20078,19828,20016,20202,20185,20164,20159,20465,20307,19999,20373,20458,19986,20307,20385,20402,20604,20707,20578,20650,20975,21234,21266,21405,21683,21596,21847,21874,21978,22022,22508,22606,22796,22826,22813,23362,23408,23533,23852,24008,23968,24406,24807,24844,24710,24608,24378,24401,24455,24357,24261
"54","46","D     Farm product raw material wholesalers","KS42250",9834,10041,9847,9830,9632,9839,10343,10163,10042,10782,11313,10736,10610,10531,10417,9977,10062,10762,11016,11491,12380,12674,12824,12645,12506,12501,12717,13120,12979,13005,13244,13947,14024,14171,13769,13588,13979,13713,13868,13846,13882,13724,13717,13932,14116,14309,14323,14209,13964,14070,13969,14197,14716,14791,15076,15030,14825,14068,14395,14558,14649,14740,14914,14779,14855,15010,15734,14902,14293,13471,13730,13752,13482,13103,12833,12780,12926,13127,13273,13464,13855,16017,15522,14811,14860,14755,14535,14229,13657,13373,12985,13015,12958,13092,12969,13425,13742,14228,14794,15071,14981,15177,15449,15477,15514,15253,14632,15138,15288,15578,15350,15350,15692,15959,16397,16687,16347,17456,17505,17050,16668,16270,15997,16114,16257,16753,17463,18091,19112,18615,18354,17943,17651,17352
"55","47","D     Chemical and allied products wholesalers","KS42260",4662,4673,4731,4674,4546,4913,4952,4942,4923,4943,5011,4915,4963,4826,4821,5002,5161,4948,5147,5123,5259,5236,5342,5331,5446,5469,5373,5392,5356,5318,5400,5308,5332,5349,5346,5487,5427,5435,5488,5446,5366,5404,5337,5337,5195,5152,5103,5088,5004,4894,5048,5237,5154,5195,5197,5209,5305,5352,5288,5283,5285,5336,5363,5346,5393,5376,5245,5477,5520,5503,5578,5572,5649,5479,5343,5273,5288,5313,5324,5222,5238,5175,5102,5349,4844,4914,4836,4835,4854,4847,4955,4935,4941,5018,5035,5067,5110,5243,5240,5374,5297,5374,5349,5413,5329,5256,5166,5100,5172,5118,5202,5244,5208,5219,5096,5136,5141,5090,5130,5181,5360,5377,5355,5306,5217,5247,5379,5228,5310,5163,5194,5258,5176,5182
"56","48","D     Petroleum and petroleum products wholesalers","KS42270",6343,6336,6291,6367,6543,6409,6383,6282,6391,6433,6421,6630,6735,6735,7001,7241,7529,7415,7403,7459,7928,7542,7349,7363,7636,7743,7461,7081,6812,6912,6824,6491,6540,6400,6317,5931,5834,5676,5581,5573,5534,5631,5439,5605,5420,5336,5523,5452,5311,5475,5533,5535,5598,5694,5945,5925,5817,6230,6560,6797,7264,7298,7168,7005,6790,6597,6619,6424,6452,6082,6058,6295,6066,5511,5321,5570,5934,6091,5810,6039,6216,6290,6244,6018,5772,5743,5559,5448,5359,5436,6245,6278,6026,6244,6207,6735,6860,6718,7116,7100,7098,6905,7260,7346,7259,6920,6972,7004,7711,7642,7377,7207,7414,7263,7250,6960,7378,7640,7727,7109,6898,6904,6962,7423,7051,7062,7034,6934,6906,6961,6717,6896,6792,6828
"57","49","D     Beer, wine, and distilled alcoholic beverages wholesalers","KS42280",5103,4947,4790,4957,4773,5015,4933,4967,5117,5022,5101,5456,5339,5467,5794,5429,5444,5675,5590,5745,5798,5839,5989,5660,5754,5950,6285,6028,6234,6058,6158,6123,5981,5971,5944,6012,6105,6139,6100,6149,6213,6040,6043,6088,6085,6134,6173,6249,6189,6142,6050,6073,6036,6185,6076,6109,6118,6082,5967,6044,6160,6152,6323,6397,6359,6255,6276,6191,6349,6447,6513,6528,6624,6617,6709,6597,6662,6649,6695,6502,6747,6720,6900,6740,6652,6552,6445,6540,6618,6831,6912,6865,6773,6798,6930,7086,7124,7179,7115,7179,7107,7132,7050,7318,7337,7433,7464,7392,7265,7207,7510,7532,7674,7547,7592,7633,7773,7705,7817,7898,8101,8217,8242,8429,8368,8448,8753,8456,8647,8618,8601,8651,8788,8745
"58","50","D     Miscellaneous nondurable goods wholesalers","KS42290",16529,16458,16360,16288,16034,15884,15796,16296,16537,16108,16095,16599,16279,16835,16966,16668,16931,17261,17299,17173,17274,17038,17539,17561,17475,17054,17030,17048,16185,16393,16524,16791,17111,17287,17698,18066,18177,18167,18076,17940,18143,18307,18267,18342,18270,18443,18104,18007,18075,18337,18272,18547,18824,19028,19002,18934,18484,18244,17974,17455,17193,17159,17161,17153,17367,17112,17311,17149,17020,16899,16722,16885,16812,16706,17062,16794,16410,16393,16544,16714,17258,17118,17126,16871,17208,16908,16403,16668,16896,17213,17781,17447,17411,17834,18218,18351,18190,18206,17792,18239,18141,18342,18143,18078,18292,18129,18208,18617,18687,18604,18671,18782,19037,18764,18659,18753,18678,18531,18237,18123,18196,18532,18834,19069,18752,18631,18857,18829,18913,19161,19404,19149,19579,19849
"59","51","A Retail trade industries","KS440",325285,327629,325441,329308,330781,330810,333644,332827,335557,337463,339310,340561,342766,345937,350400,354401,352999,353173,354527,354161,355715,355902,357726,357859,361689,363272,366348,367453,367917,369513,370841,371709,373670,376949,380501,385517,384597,385354,387559,389743,393699,396651,398939,401909,402422,405252,406829,407133,406498,403530,402859,404204,405027,404331,404424,405972,405660,396546,391915,396311,399535,400875,401564,402420,405968,408690,409956,409011,413359,414884,419327,420589,422324,424309,426475,427872,427405,428862,431040,428576,433713,434623,437060,436447,437275,439198,442603,447133,448495,449763,451098,454154,453980,456391,457845,458595,459728,462165,461168,459869,459675,458796,451928,454244,458098,461068,462630,464344,465277,464110,468292,464777,468716,470336,469666,471156,470601,467496,467374,470631,467796,469999,467253,468532,467539,468078,471371,472412,471246,472254,468761,465530,465839,465284
"60","52","A   Motor vehicle and parts dealers","KS4410",100910,101582,100539,102519,102361,101653,103340,103419,103460,105255,106727,106600,107319,108606,110379,113202,113258,110304,109867,108552,109359,109597,109935,108868,111140,112335,114186,113968,113974,114292,115258,115212,116219,118360,119814,121928,122312,121822,122981,125291,126833,129069,131284,132272,133067,134055,134247,134232,133024,130099,128961,130295,131286,131338,132708,132445,133080,123296,120537,125404,128151,129719,130881,131563,133626,135897,135467,134599,136906,139690,143772,143825,146027,147039,148572,150062,151127,152500,153232,151698,154563,154577,156511,156477,157829,158719,160213,163332,163634,163991,164999,166457,165892,167099,166150,164221,163489,165230,163982,162365,160891,158821,152506,153727,157731,161516,162215,162129,161925,161235,163662,160435,162893,163742,162810,162608,161572,157245,156710,158783,156075,156059,154944,156201,153605,153632,156813,158172,156532,155579,154248,148832,148560,148149
"61","53","A   Furniture, furnishings, electronics, and appliance stores","KS44230",19632,19728,19623,19496,19912,19936,20224,19948,20096,20306,20296,20291,20339,20564,20901,21112,21088,21150,21481,21582,21684,21911,22161,22218,22449,22684,22560,22894,22913,23239,23508,23595,23755,23883,23992,24336,24182,24398,24927,24951,25148,25720,25682,26024,25590,26022,26746,26437,26479,26093,26428,26458,26189,25804,25604,25637,25464,25615,25751,25844,26471,26705,26820,26837,27272,27158,27525,27413,27865,27784,27741,27619,27591,27757,27583,27650,27582,28037,28081,28180,28449,29213,29268,29230,29032,29286,29860,30126,30457,30457,30751,31254,31285,31293,31724,32708,32361,32220,32231,32428,32853,33148,33082,33135,33077,33122,33339,33813,34057,34271,34348,34494,34573,34701,34816,34767,34846,34860,34742,34572,35023,35260,35019,35075,34898,35166,35500,35512,35933,36726,36453,36217,36221,36113
