"","Table 2#4#6U# Personal Consumption Expenditures in Millions of C","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76"
"12","4","Q1NDC1 D       New domestic autos","Q1NDC10",70738,64825,65195,57527,50618,48880,50101,51412,54300,51353,53673,54595,53165,56154,56999,62887,61056,59598,57547,61113,53792,54879,56561,60558,59245,57572,52890,54444,53327,49363,54232,54289,52808,58415,54283,59405,58873,61922,63068,61413,69061,66638,64314,58347,64848,60018,57252,76658,63743,62491,67098,60826,60736,61949,62191,60011,61452,58126,57960,60019,60161,64955,65351,60369,64357,64526,62251,58777,59332,60362,52425,60668,59784
"13","5","Q1NFC1 D       New foreign autos","Q1NFC10",40053,38942,36810,35769,28659,30164,30528,28703,31377,31489,29295,30633,27968,30270,29302,29053,28370,28758,29336,27282,26327,26710,24961,24898,23299,23669,25339,25776,27784,25843,28616,30680,29734,31056,30225,32137,31899,35724,36374,40671,38957,38851,38738,39422,36999,39234,38012,41907,40091,39153,40506,39666,41360,38308,39522,38458,41523,42713,40766,44993,42484,44754,46598,45332,43235,48066,47855,49622,48606,49029,46914,48348,46101
"14","6","Q1NPU1 B     Net purchases of used autos (71)","Q1NPU10",42481,42078,42617,42436,46241,41877,46784,44362,47288,48667,47623,47683,49930,49043,48246,46244,55514,51736,53166,53487,53677,50743,56059,50740,51951,56265,57813,53175,61149,55754,55603,57016,55069,54610,65517,70151,59328,66511,65654,55342,65757,54754,55938,66152,60443,58862,60820,54680,55491,61005,60241,55542,58060,54913,56252,55931,53256,56390,56483,58084,59089,56925,56398,55435,56016,56151,57088,56715,56295,56539,57679,55553,56787
"15","7","Q1NET1 D       Net transactions in used autos","Q1NET10",22363,22961,23055,23269,25985,23131,27433,25200,27386,28338,27170,26806,29061,27850,26872,25609,33339,30109,31447,29889,30823,27783,32900,28994,29113,32818,34577,31061,38635,33394,32236,34528,33775,32607,42809,46300,37739,42964,42170,33903,41854,32930,33109,42106,36043,33301,36525,31191,32032,39667,41047,35724,36707,34919,34603,34568,34318,34285,34357,36173,35943,34774,35245,34546,34714,35175,34780,35443,36985,35999,35216,35244,35581
"16","8","Q1MAR1 D       Used auto margin","Q1MAR10",22628,21376,21906,21401,22585,21191,21269,21402,22265,22656,22779,23294,22958,23498,23851,23100,24067,23690,23729,25819,24932,25293,25095,23827,24967,25438,25140,24088,24414,24255,25237,24393,23189,23879,24504,25666,23415,25373,25318,23163,25702,23557,24560,25723,26174,27430,26154,25247,25038,23353,21445,21730,23250,21889,23419,23138,21050,23748,23780,23802,24823,23856,23002,22680,23057,22839,23908,23057,21604,22556,23961,22218,22985
"17","9","Q1REE1 D       Employee reimbursement","Q1REE10",-1861,-1843,-1857,-1845,-2076,-2054,-1999,-2060,-2300,-2322,-2168,-2137,-2127,-2123,-2138,-2096,-2055,-2038,-2055,-2031,-1994,-2011,-1990,-1983,-1944,-1965,-1962,-1998,-1938,-1914,-1888,-1863,-1863,-1857,-1798,-1813,-1834,-1791,-1793,-1730,-1753,-1733,-1724,-1729,-1744,-1804,-1853,-1823,-1728,-1687,-1684,-1746,-1756,-1732,-1716,-1691,-1754,-1760,-1771,-1803,-1779,-1779,-1731,-1698,-1710,-1715,-1688,-1636,-1654,-1699,-1574,-1633,-1609
"18","10","Q1OAU1 C     Other motor vehicles (72)","Q1OAU10",86187,80467,78273,73429,70282,70933,75288,74315,77899,81962,85474,87513,86425,92248,91277,96899,98152,98523,95839,102041,97547,98760,99379,103672,107679,108663,110030,114319,117490,118952,129030,133526,129822,145769,146500,165545,159237,169478,169709,165881,180254,167216,174726,170795,183016,182361,189123,227702,215103,211685,229436,221983,216586,238718,246977,241993,242208,237852,244628,242412,234791,244323,249200,204809,217511,212390,219145,221667,234453,229545,232223,228026,217390
"19","11","Q1TRU1 D       Trucks, new and net used","Q1TRU10",79388,73796,71202,67600,63065,64131,69467,67734,70885,75408,78929,80241,79353,84461,83097,89074,89809,89688,87259,92509,89132,89620,90201,95316,99153,99983,100656,104950,107985,109575,119338,123511,119578,135192,135338,154071,147946,157756,158210,153285,167117,155222,163138,159576,172182,171065,178007,216610,203282,199661,216931,209521,203601,225349,233002,228194,227768,224217,229697,226515,219384,229090,233489,190190,202185,197621,205572,206775,218810,214038,216067,213041,202403
"20","12","Q1NWT1 D         New trucks","Q1NWT10",NA,NA,NA,NA,NA,NA,NA,NA,52107,55502,58314,59503,59031,63627,63001,68293,69243,69277,67289,71513,67615,67351,66580,69912,71863,71672,71251,74094,74586,75306,82597,87499,83321,96594,90323,101470,101373,104771,105970,105873,114078,107255,113164,108158,119846,122326,123584,163623,152949,141606,158080,154795,149648,170853,175978,171037,171681,167020,171656,166719,157541,171316,176158,133078,142322,137771,144858,144827,157391,150375,149291,147589,135776
"21","13","Q1UTR1 D         Net  purchases of used trucks","Q1UTR10",NA,NA,NA,NA,NA,NA,NA,NA,19018,20156,20837,20924,20475,20892,20108,20731,20485,20327,19905,20935,21489,22254,23618,25408,27276,28283,29371,30819,33383,34251,36709,35961,36215,38475,45072,52684,46544,53037,52269,47408,53055,47973,49974,51394,52339,48811,54394,53210,50629,58008,59044,55005,54172,54768,57290,57438,56314,57499,58333,60103,62164,58135,57748,57144,59942,59882,60827,62020,61678,63773,66766,65466,66393
"22","14","Q1UTN1 D           Net transactions in used trucks","Q1UTN10",NA,NA,NA,NA,NA,NA,NA,NA,13409,14306,14733,14618,14024,14168,13197,13514,13004,12568,11890,12594,12855,13311,14331,15762,17281,17976,18751,19878,21600,22691,24783,24337,24769,26241,32013,38322,33600,38644,37910,33812,38173,34248,35592,37011,37696,33508,39523,37956,35415,43393,45495,40577,38630,39591,40755,41158,41583,40563,41017,43271,44163,41747,42325,41647,44066,44418,43965,45599,46898,48484,49591,50378,50308
"23","15","Q1UTM1 D           Used truck margin","Q1UTM10",NA,NA,NA,NA,NA,NA,NA,NA,5313,5468,5675,5924,6205,6508,6827,7156,7487,7819,8147,8469,8775,9090,9403,9714,10024,10333,10639,10945,11787,11527,11907,11613,11447,12235,13048,14340,12934,14404,14371,13601,14885,13725,14381,14380,14636,15323,14874,15239,15088,14791,13889,14476,15445,15131,16432,16235,14966,16713,17058,16807,17835,16343,15580,15598,16075,15765,16881,16640,15446,15976,17543,15979,16765
"24","16","Q1REV1 D       Recreational vehicles","Q1REV10",6904,6733,7059,5918,7118,6754,5918,6590,7009,6637,6664,7334,7145,7844,8205,7895,8392,8869,8613,9562,8461,9178,9217,8390,8558,8715,9421,9406,9544,9409,9709,10031,10277,10580,11182,11468,11292,11721,11495,12609,13142,11996,11587,11217,10839,11296,11126,11142,11847,12040,12534,12482,12980,13393,13995,13814,14428,13656,14905,15829,15347,15199,15668,14460,15170,14632,13586,14775,15532,15378,15979,14903,14828
"25","17","Q1TBA1 C     Tires, tubes, accessories, and other parts (73)","Q1TBA10",29668,29446,29332,28588,28064,29311,28866,28105,28777,28993,29498,30391,30525,31735,32975,33348,34762,34971,35807,36464,36099,36837,37538,38157,38977,39492,39769,40466,40946,40918,41902,42165,42824,43957,43674,44710,45766,46652,47675,48639,49245,48665,49441,48796,47338,48048,47431,48825,47867,48176,48714,48217,48316,48876,50317,50356,50787,50940,51406,52586,53142,53778,53582,53712,54182,52821,52938,52728,53118,52896,53140,52972,51861
"26","18","Q1TAT1 D       Tires and tubes","Q1TAT10",14193,14152,14169,13620,13439,14091,13731,13164,13394,13414,13599,13940,13906,14334,14807,14915,15529,15502,15757,15829,15634,15846,15987,16250,16580,16797,16794,16965,17045,17054,17517,17718,18043,18464,18324,18893,19370,19643,20234,20711,21096,20685,20925,20741,20097,20313,20022,20649,20221,20354,20789,20640,20810,21128,21997,22245,22439,22756,22842,23497,24234,24563,24496,25040,24949,24483,24491,24301,24660,24752,24904,24874,24682
"27","19","Q1PAA1 D       Accessories and parts","Q1PAA10",15434,15254,15124,14929,14587,15180,15095,14903,15345,15542,15861,16412,16583,17365,18134,18399,19199,19437,20020,20614,20445,20976,21545,21901,22391,22689,22973,23504,23909,23870,24390,24450,24782,25495,25354,25817,26396,27011,27441,27929,28150,27980,28517,28055,27241,27736,27410,28177,27647,27823,27925,27577,27507,27749,28325,28120,28356,28199,28577,29105,28933,29242,29113,28708,29264,28371,28479,28456,28492,28183,28276,28139,27234
"28","20","Q1FUR1 B   Furniture and household equipment","Q1FUR10",122168,120213,118983,118079,118770,121874,122609,121101,124606,125557,128858,132022,136196,139794,142773,145586,148712,154229,158813,165312,166166,169474,176076,181546,183201,192663,195636,201978,206387,212683,220171,225847,233460,238554,249033,257604,266140,275073,285650,296066,306671,311280,315898,317779,323796,328146,332238,343018,356889,363454,365231,371649,373270,388727,410021,419098,429089,438771,451675,460824,472615,483410,498965,513762,536823,544443,555385,566850,579876,585853,601035,607703,606295
"29","21","Q1FNR1 C     Furniture, including mattresses and bedsprings (29)","Q1FNR10",43828,41916,41031,40383,40498,41198,41175,41125,41048,40763,41735,41853,42661,43915,44171,44470,44553,45457,46934,48605,47730,48031,49116,50072,49806,51837,52049,53338,54698,54721,56551,58070,58928,58625,58954,60444,61391,61989,63958,65559,66747,68593,68543,66501,67679,67630,68229,69848,71920,71944,70717,71623,70973,73016,74923,76518,77160,78202,80539,81909,82721,84178,86556,87511,88753,88601,90033,90245,92454,91659,92589,92968,90883
"30","22","Q1APP1 C     Kitchen and other household appliances (30)","Q1APP10",22522,22292,22009,21883,21868,22450,22024,21773,22854,22980,23106,23643,23417,23813,24421,24073,23870,24075,24076,24848,24983,24819,25385,25228,25042,25610,25076,25660,24902,25156,25339,25381,25869,26496,26813,27104,27899,28896,29541,29327,30036,30185,30412,31006,30982,30794,30814,31590,32302,32979,32604,32719,32763,33898,35469,36102,36891,37479,38320,39176,38874,39116,38943,39975,40389,40117,40396,39875,40110,39238,39641,39655,39465
"31","23","Q1MHA1 D       Major household appliances","Q1MHA10",20094,19742,19388,19171,19071,19520,19017,18713,19553,19640,19698,20137,19990,20363,20899,20405,20267,20511,20442,21059,21189,21071,21595,21410,21241,21697,21280,21842,21234,21507,21638,21658,22042,22685,22912,23068,23730,24602,25155,24885,25557,25607,25709,26202,26128,25884,25856,26433,26991,27575,27203,27244,27230,28175,29515,30068,30741,31229,31866,32591,32246,32368,32136,33041,33352,33026,33205,32568,32634,31894,32205,32109,31820
"32","24","Q1SEA1 D       Small electric appliances","Q1SEA10",2561,2663,2718,2794,2868,2995,3050,3090,3320,3356,3417,3511,3438,3467,3541,3665,3603,3571,3635,3787,3793,3748,3793,3819,3802,3914,3797,3820,3670,3653,3705,3726,3828,3817,3905,4036,4169,4296,4387,4443,4480,4579,4703,4805,4855,4913,4962,5166,5322,5415,5416,5495,5558,5747,5977,6055,6170,6270,6481,6610,6666,6799,6873,6991,7100,7175,7285,7448,7649,7522,7621,7761,7897
"33","25","Q1CHN1 C     China, glassware, tableware, and utensils (31)","Q1CHN10",18233,17623,17548,17816,17793,17816,17406,17300,17871,18448,19041,19248,19701,19607,20015,19870,20366,20965,21370,21719,21570,22542,22787,23258,22994,23930,23887,24795,24719,24831,25319,25166,25763,25546,26370,27326,27706,28233,29066,30735,31020,30601,30922,31429,31455,31798,31808,32487,33595,34044,34748,35481,35255,36466,37782,37695,38550,38684,38560,39449,40041,39942,41408,42858,45089,45785,46331,48007,48821,48885,49445,48947,48472
"34","26","Q1RAD1 C     Video and audio goods, including musical instruments, and computer goods (91)","Q1RAD10",18406,18662,18696,18723,19043,20243,21286,20740,21576,21850,22726,23764,25261,26568,27530,28923,30243,32020,33429,35532,36430,37733,40780,43350,45030,48251,50028,52286,54864,59134,62422,65428,69815,73557,79958,84179,88947,94225,100069,104674,111749,115179,118468,120995,125146,129321,133722,141201,149083,154060,157263,161970,164545,172981,186369,192969,200426,206926,215888,224364,235908,244062,255494,266147,282002,289993,300809,314359,323794,333406,349471,360978,366092
"35","27","Q1VAM1 C       Video and audio goods, including musical instruments (92)","Q1VAM10",32246,32423,32278,31713,31190,32455,33044,31832,33263,33009,33747,34898,35804,37010,37305,38066,39365,41432,42694,44275,44321,44568,46926,47784,47887,48914,48972,49373,49021,50753,51401,52175,54019,55659,57742,58731,60305,62968,66085,68141,71504,72378,73267,73906,75396,76548,77783,80361,82674,84629,85152,85575,86131,89003,94026,96648,100010,102813,106385,108635,113519,115482,119158,123408,130012,131368,135725,140993,146736,149939,155506,159090,162663
"36","28","Q1TVV1 D         Television receivers, video cassette recorders, and videotapes","Q1TVV10",10919,10908,10702,10464,10294,10509,10547,10171,10445,10270,10369,10582,10829,11277,11627,11686,12037,12547,12870,13323,13279,13408,13980,14229,14342,14536,14604,14653,14435,14774,15196,15377,16078,16629,17356,17968,18992,20149,21203,22037,23641,24641,25718,26592,27617,28780,30096,31860,32789,33820,34591,36060,37151,39504,42597,44635,47013,50036,52266,54241,57685,59262,62103,65805,69983,73150,78554,85308,91134,94343,101564,106208,110617
"37","29","Q1TVS1 D           Television receivers","Q1TVS10",7758,7754,7596,7287,7115,7312,7264,7024,7198,7081,7170,7333,7382,7691,8011,7950,8058,8285,8576,8855,8758,8795,9106,9243,9217,9340,9338,9443,9181,9305,9494,9574,10012,10257,10575,10775,11374,12032,12529,12858,13727,14181,14740,15041,15426,15924,16562,17669,18181,18720,19117,19915,20395,21721,23600,24903,26391,28190,29238,30046,32041,33138,34923,37190,39549,41330,44774,49775,54709,57447,62041,64747,68153
"38","30","Q1OVE1 D           Video equipment and media","Q1OVE10",3475,3469,3411,3427,3408,3447,3511,3373,3474,3413,3432,3490,3659,3808,3868,3961,4175,4438,4494,4669,4705,4788,5041,5151,5268,5341,5401,5363,5377,5574,5793,5888,6154,6443,6832,7220,7646,8142,8689,9183,9915,10458,10977,11553,12204,12884,13573,14218,14636,15132,15511,16185,16814,17842,19034,19748,20620,21834,23038,24244,25685,26136,27171,28586,30400,31784,33701,35386,36285,36798,39433,41357,42420
"39","31","Q1AMI1 D         Audio equipment, media, and instruments","Q1AMI10",20836,21066,21229,20939,20589,21739,22368,21532,22779,22748,23454,24465,25139,25860,25683,26468,27443,29061,30032,31179,31293,31389,33241,33858,33819,34698,34671,35048,34951,36414,36568,37180,38289,39370,40710,41016,41469,42932,44990,46187,47889,47723,47532,47320,47823,47890,47929,48880,50280,51263,51133,50396,50088,50959,53234,54145,55490,55961,57606,58301,60330,61035,62425,63808,66844,66234,66912,67729,69412,70386,71423,72131,72952
"40","32","Q1AUD1 D           Audio equipment","Q1AUD10",10843,11030,10937,10510,10169,10506,10706,10292,10995,11111,11312,11721,11794,12251,12747,12864,13391,14075,14556,15237,15203,15207,15856,16201,16053,16307,16304,16402,16053,16836,16842,16830,17598,18339,19141,19419,19643,20848,22245,23080,24435,23753,23773,24185,24602,25029,25580,26403,27137,27972,28448,28591,28547,29653,31546,31839,32930,33749,35051,35742,37823,38637,40375,41439,43857,43502,44321,45683,47152,47930,49153,50008,50547
"41","33","Q1RTD1 D           Records, tapes, and disks","Q1RTD10",7829,7898,8177,8315,8335,9037,9413,9121,9617,9546,9999,10504,11016,11215,10681,11247,11619,12373,12783,13113,13286,13401,14474,14603,14789,15392,15498,15609,15944,16514,16680,17155,17430,17723,18263,18254,18268,18528,19020,19147,19282,19551,19278,18833,18931,18431,18044,18105,18790,18932,18404,17696,17528,17472,17688,17930,18254,17990,18349,18510,18575,18570,18471,18770,19179,19355,19401,19176,19560,19590,19646,19622,20002
"42","34","Q1MSC1 D           Musical instruments","Q1MSC10",2062,2022,2018,2059,2055,2196,2264,2131,2158,2059,2130,2237,2362,2412,2187,2325,2392,2586,2665,2784,2768,2750,2910,3049,2986,3031,2900,3077,3033,3134,3125,3308,3345,3370,3357,3384,3594,3567,3726,3957,4176,4420,4480,4299,4287,4452,4368,4466,4445,4478,4461,4361,4281,4203,4499,4854,4848,4883,4952,4857,4982,4989,5014,5117,5556,5092,5033,4993,4977,5226,5190,5223,5135
"43","35","Q1CPT1 C       Computers, peripherals, and software (93)","Q1CPT10",543,574,593,650,763,881,1042,1058,1084,1185,1313,1429,1716,1909,2158,2474,2675,2881,3117,3537,3850,4285,4922,5765,6472,7667,8531,9568,11150,12921,14655,16227,18224,19951,23492,26217,29085,31582,34230,36692,40297,42783,45172,47084,49834,53090,56595,62091,68552,71977,75273,80772,83357,90169,100334,105142,109868,114219,120732,128982,136923,145377,155540,163439,174680,184392,192397,202809,205826,214251,227931,238613,239254
"44","36","Q1CPP1 D         Computers and peripherals","Q1CPP10",357,376,388,423,495,570,672,679,693,754,834,906,1096,1225,1389,1588,1723,1860,2021,2301,2510,2794,3208,3762,4224,5013,5578,6247,7285,8439,9586,10619,12062,13486,16385,18409,20755,22788,25261,27476,30387,32644,34768,36258,39246,42601,46417,51958,57996,61220,64164,69750,72697,79198,88879,93184,97490,101704,108162,116877,124752,132781,143703,152630,164113,174179,182427,192780,196025,204891,218637,231165,231970
"45","37","Q1CPS1 D         Software","Q1CPS10",211,226,237,263,312,365,436,448,467,515,576,629,739,809,907,1047,1120,1197,1277,1433,1549,1722,1983,2313,2596,3055,3399,3831,4455,5169,5833,6444,6947,7066,7467,8138,8565,8972,9030,9234,9915,10134,10405,10825,10639,10661,10584,10877,11622,12013,12492,12871,12856,13592,14716,15392,16028,16477,17078,17590,18348,19327,19931,20236,21218,22012,22694,23732,23935,24585,25899,26256,26258
"46","38","Q1ODH1 C     Other durable house furnishings (32)","Q1ODH10",40501,39551,38866,37943,37958,37755,36851,36609,37694,37850,38568,39467,40529,40811,41301,42124,42968,44683,45848,47122,47168,47641,48103,48814,48473,50859,51753,52791,53277,53578,54796,55501,56020,56544,58345,59674,60997,62222,63278,65960,67160,66718,67522,67836,68562,68815,68180,68845,71342,72202,72193,72624,72919,76077,80444,81541,82785,84955,86926,85997,87441,89771,92052,94464,100301,101705,102158,102672,104701,106146,107894,107302,106481
"47","39","Q1FLR1 D       Floor coverings","Q1FLR10",14626,14110,13775,13212,12865,13077,12547,12397,12709,12712,12659,12957,13365,13132,13000,13063,13013,13632,13822,14352,14059,13628,13505,13797,13427,14045,13950,13778,13854,13922,14097,14343,14198,14492,14660,15245,15272,15773,16174,16522,16872,16612,16419,16031,16061,16058,15875,15799,16042,16028,15877,15836,16038,16685,17162,17643,18068,18339,18882,19112,18985,19323,19448,19930,20713,21115,20541,19942,20167,19999,19905,19556,18491
"48","40","Q1DHF1 D       Durable house furnishings n.e.c.","Q1DHF10",18117,17767,17394,17152,17488,16991,16584,16494,16931,17086,17611,18042,18524,18823,19273,19879,20477,21323,22124,22748,22951,23821,24199,24510,24558,26041,26865,27946,28196,28309,29176,29553,29927,29917,31241,31644,32509,33159,33766,35652,36264,36239,37291,37942,38622,38564,38375,39003,41051,41700,41987,42356,42351,44557,47878,48277,48976,50405,51727,50344,52034,53735,56075,57623,62214,63666,65419,67105,69098,71204,73504,73727,74942
"49","41","Q1CLF1 D         Clocks, lamps, and furnishings","Q1CLF10",14211,13917,13599,13476,13862,13462,13106,13140,13602,13787,14290,14616,15050,15298,15712,16263,16797,17550,18327,18797,19033,19824,20148,20370,20394,21777,22520,23465,23727,23798,24579,24791,25148,25025,26187,26555,27443,27880,28384,30142,30865,30819,31897,32393,32754,32700,32598,33051,34935,35528,35681,36041,36082,37971,41193,41517,41973,43422,44610,43074,44551,46071,48595,49846,54376,55736,57583,59392,61262,63249,65485,65845,67531
"50","42","Q1TEX1 D         Blinds, rods, and other","Q1TEX10",3946,3890,3835,3714,3661,3564,3513,3384,3356,3324,3346,3453,3499,3550,3585,3639,3701,3795,3817,3972,3937,4016,4070,4160,4186,4281,4360,4496,4481,4524,4608,4779,4794,4916,5073,5106,5073,5292,5397,5515,5397,5420,5396,5550,5871,5869,5779,5956,6117,6171,6308,6314,6265,6581,6692,6766,7004,6997,7134,7268,7481,7665,7517,7806,7936,8043,8002,7942,8093,8244,8360,8261,7950
"51","43","Q1WTR1 D       Writing equipment","Q1WTR10",3243,3181,3166,3175,3233,3252,3256,3239,3276,3290,3348,3380,3307,3341,3331,3387,3365,3346,3320,3317,3230,3237,3256,3169,3011,3006,2991,2968,2924,2844,2794,2790,2875,2896,2959,2990,3029,3036,3017,3148,3058,3102,3058,3029,2882,2817,2746,2723,2729,2669,2620,2595,2532,2544,2574,2555,2572,2556,2571,2584,2596,2629,2595,2601,2608,2591,2607,2613,2577,2544,2540,2481,2448
"52","44","Q1TOO1 D       Hand tools","Q1TOO10",5511,5441,5470,5305,5220,5365,5371,5373,5677,5651,5799,5941,6168,6303,6423,6488,6742,7002,7152,7278,7432,7356,7512,7692,7759,8010,8133,8220,8408,8590,8784,8871,9061,9301,9520,9846,10222,10290,10351,10648,10967,10760,10748,10845,11029,11407,11229,11392,11647,11967,11903,12055,12209,12565,13265,13474,13580,14139,14275,14314,14353,14700,14817,15249,16093,15832,15565,15475,15629,15653,15693,15529,15291
"53","45","Q1HDW1 D         Tools, hardware, and supplies","Q1HDW10",4715,4627,4602,4463,4356,4469,4449,4411,4602,4590,4706,4808,5054,5161,5252,5309,5509,5738,5895,6023,6137,6063,6163,6340,6389,6585,6683,6731,6913,7099,7195,7251,7422,7661,7901,8179,8486,8597,8656,8881,9151,8981,8926,8975,9158,9518,9425,9568,9798,10067,10015,10157,10286,10581,11200,11396,11438,11984,12074,12090,12130,12374,12480,12840,13618,13323,13068,12983,13084,13114,13072,12876,12608
