"","Table 5#3#3# Real Private Fixed Investment by Type, Quantity Ind","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"11","4","    Commercial and health care","W001RA3",71.473,72.411,79.112,86.412,90.305,84.658,65.968,65.074,68.542,78.085,93.084,102.37,110.779,120.685,117.133,142.582,164.645,152.9,147.371,151.766,149.846,143.911,111.811,103.918,108.107,113.121,119.831,129.078,142.639,151.518,157.041,167.563,159.443,135.036,126.509,129.638,128.499,136.27,149.88,144.319,100,75.142,74.749,81.137,83.904
"12","5","    Manufacturing","C307RA3",90.479,87.362,72.147,63.001,78.085,88.983,85.296,78.788,80.908,107.889,132.572,110.891,125.917,121.552,87.94,90.966,101.77,85.496,83.342,87.928,105.355,119.34,109.906,100.923,79.257,93.807,110.611,116.3,111.08,114.82,95.772,98.776,96.033,56.07,51.949,53.472,60.756,64.791,76.586,95.569,100,72.495,69.476,79.734,78.677
"13","6","    Power and communication","W003RA3",56.733,62.071,62.579,65.256,69.435,65.033,59.92,65.345,64.348,67.417,69.952,70.622,72.433,68.394,58.825,60.102,59.42,63.425,56.417,53.209,55.25,51.402,61.064,64.737,61.741,55.991,57.118,49.14,47.365,55.614,65.604,75.65,78.035,76.143,70.114,58.572,60.683,64.413,89.696,98.621,100,83.899,77.331,93.601,86.466
"14","7","    Mining exploration, shafts, and wells \1\","E318RA3",70.139,65.984,61.052,65.491,69.943,83.128,97.059,104.767,118.316,134.928,143.709,201.911,234.741,216.964,179.649,204.229,181.959,106.615,104.226,114.33,103.41,119.482,116.799,96.683,112.36,109.205,92.706,98.795,116.211,101.641,86.012,107.354,126.578,92.584,105.789,112.283,122.868,132.747,130.565,140.056,100,117.09,147.949,166.088,166.98
"15","8","    Other structures \2\","W004RA3",64.485,60.584,56.828,57.451,61.936,56.621,49.929,52.423,55.301,62.797,69.031,67.029,64.899,61.235,64.602,75.718,83.273,78.288,82.946,77.339,78.926,83.79,72.703,67.351,72.702,71.111,79.595,93.618,106.212,111.955,112.075,115.421,110.054,93.005,89.53,90.817,86.037,94.33,108.61,122.399,100,73.347,66.476,72.779,75.012
"16","9","  Equipment","Y033RA3",18.627,18.296,18.445,20.796,24.644,25.156,22.522,23.906,27.616,31.789,34.391,32.873,34.095,31.502,32.964,39.359,41.52,41.996,42.148,44.928,47.307,46.326,44.202,46.827,52.773,59.238,66.4,72.724,80.814,91.418,102.813,112.824,107.97,102.129,105.388,113.483,124.413,135.152,139.426,129.766,100,115.892,131.601,140.558,147.015
"17","10","    Information processing equipment","Y034RA3",1.221,1.351,1.442,1.649,1.953,2.234,2.16,2.477,3.083,4.035,4.86,5.665,6.551,6.616,7.685,9.756,10.711,11.498,12.002,13.103,14.377,14.572,14.869,17.034,19.374,22.046,26.547,32.073,38.682,47.848,58.363,70.432,69.588,66.341,72.544,79.877,86.77,97.989,109.288,109.733,100,109.903,111.637,115.203,118.707
"18","11","      Computers and peripheral equipment \3\","B935RA3",0.006,0.008,0.01,0.016,0.017,0.023,0.023,0.034,0.05,0.098,0.159,0.251,0.39,0.398,0.605,0.989,1.241,1.427,1.793,2.049,2.491,2.462,2.674,3.658,4.688,5.826,8.785,12.685,18.395,26.741,37.994,46.072,47.221,49.505,54.358,60.983,67.909,83.765,94.749,100.367,100,110.275,108.052,113.118,112.889
"19","12","      Other \4\","B937RA3",8.376,9.025,9.133,9.682,11.738,12.985,12.469,13.653,16.424,19.581,21.986,23.652,25.011,25.182,26.467,30.14,31.1,32.369,31.069,33.209,34.702,35.579,35.362,37.508,40.408,44.167,47.536,52.078,56.557,63.672,70.986,85.428,82.813,75.285,82.152,89.651,96.283,104.573,115.927,113.882,100,109.75,113.088,116.062,121.049
"20","13","    Industrial equipment","B680RA3",65.178,66.103,60.712,65.461,77.394,83.338,70.661,71.01,75.258,83.734,89.719,85.861,84.497,77.188,71.061,81.327,85.083,84.686,82.579,86.723,92.771,87.407,81.807,83.301,90.373,98.433,108.037,112.045,114.463,119.446,120.182,130.563,120.935,112.812,113.264,111.199,120.745,130.907,135.016,128.531,100,99.504,120.511,125.127,130.014
"21","14","    Transportation equipment","B681RA3",110.046,90.293,97.519,113.293,136.243,123.322,106.243,118.122,143.558,158.661,165.631,135.212,131.482,116.497,131.178,156.26,162.384,156.179,148.506,157.248,141.758,139.853,136.026,139.143,165.782,194.317,208.954,215.885,231.45,250.301,295.3,289.275,262.064,236.999,219.384,250.074,280.467,301.256,288.502,222.281,100,194.038,259.389,308.348,327.519
"22","15","    Other equipment \5\","B862RA3",44.537,46.459,46.315,52.489,61.336,60.55,56.065,56.522,63.592,70.051,71.426,64.202,65.934,57.048,54.972,62.251,62.845,61.701,63.437,66.499,74.227,71.414,61.025,60.7,66.453,71.808,75.675,78.558,86.151,94.959,97.462,102.94,102.154,101.39,108.293,116.211,127.385,132.608,131.036,124.726,100,108.56,120.372,125.187,132.277
"23","16","  Intellectual property products","Y001RA3",8.762,8.751,8.786,9.399,9.872,10.158,10.248,11.36,12.108,12.968,14.483,15.203,16.859,17.899,19.313,21.952,23.927,25.595,26.6,28.493,31.838,34.522,36.738,38.949,40.585,42.227,45.297,50.409,56.984,63.14,70.996,77.334,77.686,77.309,80.261,84.384,89.849,93.926,98.445,101.43,100,101.887,105.506,109.587,113.278
"24","17","    Software \6\","B985RA3",0.551,0.703,0.747,0.877,0.997,1.166,1.368,1.486,1.548,1.834,2.284,2.695,3.133,3.618,4.264,5.391,6.404,7.164,8.167,9.735,12.545,14.786,16.746,19.675,21.999,24.161,26.576,31.181,40.374,48.784,60.168,68.486,68.978,68.884,73.586,80.971,86.14,89.704,95.095,99.785,100,99.011,105.836,111.772,115.221
"25","18","    Research and development \7\","Y006RA3",21.347,21.429,21.401,22.403,23.903,24.001,23.611,25.104,26.446,28.515,30.626,32.673,34.777,36.593,38.647,42.601,46.251,48.161,49.083,51.101,54.414,57.298,59.879,60.045,59.682,59.67,62.729,68.245,72.05,75.681,80.293,84.29,85.401,83.167,82.566,83.413,88.33,93.878,99.501,102.839,100,102.351,103.336,105.341,109.488
"26","19","    Entertainment, literary, and artistic originals","Y020RA3",26.456,23.189,22.878,24.625,23.566,23.885,23.116,29.371,32.768,32.223,36.969,33.501,40.458,40.777,42.998,47.935,47.705,52.68,51.811,52.336,54.707,56.649,57.246,60.014,63.252,66.604,72.116,77.346,79.616,83.357,85.886,90.975,88.214,92.608,99.564,101.055,109.5,110.661,107.957,102.97,100,111.553,112.25,116.877,119.751
"27","20","Residential","B011RA3",71.861,68.11,86.247,101.215,100.565,80.844,71.088,86.803,104.603,111.582,107.399,84.928,77.941,63.821,90.616,103.989,106.372,119.566,121.918,120.841,116.931,106.999,97.465,110.901,119.977,130.74,126.313,136.63,139.942,152.035,161.577,162.641,164.103,174.043,189.815,208.773,222.467,205.631,166.934,126.886,100,97.496,98.032,111.276,124.521
"28","21","  Structures","B012RA3",73.491,69.414,88.159,103.412,102.464,81.88,71.882,88.129,106.438,113.493,108.942,85.657,78.424,63.893,91.385,104.967,107.226,120.64,122.953,121.744,117.694,107.54,97.821,111.583,120.876,131.936,127.349,137.968,141.392,153.649,163.19,164.118,165.57,175.676,191.667,210.775,224.655,207.412,167.979,127.221,100,97.317,97.762,111.245,124.593
"29","22","    Permanent site","B943RA3",148.497,134.331,181.015,218.981,217.97,157.708,120.734,158.691,204.759,214.162,200.403,140.787,129.851,101.21,165.381,194.32,191.815,214.116,216.987,209.19,204.024,184.289,158.641,184.999,197.474,221.108,206.531,225.915,227.139,248.704,267.185,269.348,270.928,281.838,309.411,345.224,369.593,337.314,251.073,166.68,100,95.976,92.56,114.901,143.8
"30","23","      Single family","B944RA3",122.344,106.291,147.553,175.388,171.565,131.669,120.22,167.407,215.073,222.153,196.865,129.434,117.763,90.341,156.795,181.942,180.373,206.483,223.05,220.372,214.037,194.529,170.471,207.039,226.731,250.911,227.774,248.837,248.039,275.128,295.404,298.697,299.13,310.719,343.846,385.106,411.102,370.897,269.307,169.184,100,108.625,103.645,125.409,153.714
"31","24","      Multifamily","B292RA3",252.939,247.574,315.079,394.502,405.58,261.146,116.48,112.824,149.585,168.508,205.819,184.269,177.218,144.455,197.795,241.732,235.485,242.471,191.293,163.235,162.823,142.05,109.47,93.03,75.001,96.905,120.115,132.804,143.076,141.475,152.695,150.127,156.629,164.897,169.245,182.384,200.574,201.888,178.752,157.19,100,50.23,52.443,76.866,108.02
"32","25","    Other structures \8\","B863RA3",34.721,35.625,40.333,44.123,43.231,42.609,46.005,51.232,55.544,61.259,61.352,56.533,51.289,44.051,52.847,58.573,63.069,71.776,73.745,75.728,72.354,67.126,65.293,72.594,80.012,84.692,85.058,91.11,95.488,102.848,107.73,108.021,109.377,118.873,128.724,139.003,147.303,138.07,123.677,106.197,100,98.032,100.514,109.334,114.495
"33","26","  Equipment","B013RA3",22.949,24.986,28.03,33.579,37.786,38.492,35.827,37.697,41.254,44.88,49.17,49.215,49.152,47.245,52.734,58.452,63.059,68.229,71.018,73.423,73.813,71.594,68.794,70.921,72.338,72.811,73.752,73.398,72.779,77.89,86.07,91.592,93.254,96.053,102.007,113.676,118.651,121.01,117.507,111.259,100,105.992,110.974,112.307,120.214
"34",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","27","  Private fixed investment in structures","A349RA3",70.782,68.789,77.713,86.418,88.755,77.637,68.792,77.618,88.106,96.66,99.384,90.238,90.422,82.461,90.527,103.571,108.303,109.245,109.079,108.754,107.579,103.054,92.738,97.238,101.924,108.365,108.557,116.464,121.566,130.354,135.274,139.799,139.693,135.032,141.398,150.944,158.721,153.52,140.889,125.123,100,90.016,91.25,103.511,109.405
"36","28","  Private fixed investment in new structures","W040RA3",77.954,75.455,85.011,94.368,96.827,83.885,72.95,82.274,93.383,102.331,105.8,96.997,98.402,90.262,97.289,111.577,116.006,116.133,115.932,114.795,114.273,109.767,97.549,101.697,106.613,113.578,113.973,121.772,126.198,134.068,138.577,143.669,142.489,135.513,139.959,147.341,153.89,151.023,141.028,127.326,100,89.109,89.895,101.581,106.795
"37","29","    Nonresidential structures \9\","A771RA3",71.776,72.151,71.138,73.377,79.252,77.46,69.331,71.065,73.845,84.462,95.293,100.94,109.125,107.293,95.786,109.079,116.757,104.005,101.022,101.593,103.671,105.339,93.712,88.07,87.758,89.28,94.897,100.129,107.033,112.956,113.092,121.873,118.93,98.988,95.278,94.625,95.961,102.908,116.24,123.244,100,83.727,85.569,96.662,96.19
"38","30","    Residential structures \10\","A756RA3",90.209,84.119,107.195,125.927,124.302,96.685,81.556,101.176,123.519,130.926,125.501,98.335,91.352,74.457,105.702,122.189,122.919,138.736,141.844,138.599,134.936,122.69,108.917,125.146,136.639,150.559,144.771,156.185,157.938,168.703,178.857,179.814,180.695,189.226,204,221.698,235.133,219.281,177.036,133.404,100,97.099,96.318,108.885,122.737
"39","31","  Private fixed investment in information processing equipment and software","B679RA3",1.039,1.171,1.249,1.434,1.688,1.937,1.93,2.194,2.66,3.435,4.157,4.854,5.617,5.792,6.744,8.555,9.523,10.3,10.939,12.168,13.858,14.599,15.34,17.703,20.035,22.563,26.477,31.721,39.109,48.008,58.804,69.401,69.099,67.186,72.719,80.046,86.143,93.803,102.274,104.786,100,104.438,108.742,113.515,116.993
"40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","1. Includes petroleum and mineral exploration.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2. Consists primarily of religious, educational, vocational, lodging, railroads, farm, and amusement and recreational",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","structures, net purchases of used structures, and brokers' commissions on the sale of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","3. Annual chain-type quantity indexes for computers and peripheral equipment:",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","1959, .0000041; 1960, .000051; 1961, .000093; 1962, .00017; 1963, .00056. Quarterly chain-type quantity indexes for",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","computers and peripheral equipment: 1959:1, .0000006; 1959:2, .0000003; 1959:3, .0000033; 1959:4, .0000123;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","1960:1, .000035; 1960:2, .000040, 1960:3, .000054; 1960:4, .000073; 1961:1, .000073; 1961:2, .000077; 1961:3, .000110;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","1961:4, .000111; 1962:1, .00013; 1962:2, .00013; 1962:3, .00018, 1962:4, .00027; 1963:1, .00040; 1963:2, .00053;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","1963:3, .00063; 1963:4, .00069.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","4. Includes communication equipment, nonmedical instruments, medical equipment and instruments, photocopy and related",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","equipment, and office and accounting equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","5. Consists primarily of furniture and fixtures, agricultural machinery, construction machinery, mining and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","oilfield machinery, service industry machinery, and electrical equipment not elsewhere classified.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","6. Excludes software ""embedded,"" or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","7. Research and development investment excludes expenditures for software development.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Software development expenditures are included in software investment on line 17.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","8. Consists primarily of manufactured homes, improvements, dormitories, net purchases of used structures,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","brokers' commissions on the sale of residential structures and adjoining land, and other ownership transfer costs.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","9. Excludes net purchases of used structures and brokers' commissions on the sale of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","10. Excludes net purchases of used structures and brokers' commissions and other ownership transfer costs.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
