"","Table 5#1# Saving and Investment by Sector","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"11","4","    Domestic business","A127RC1",3.7,1.2,-1.6,-3.1,-2.7,-0.8,0.2,0.3,0.9,0.8,1.4,3,3.7,5.1,6.4,7.4,5.2,3.6,6.6,11.9,11.6,9.3,10.1,11.7,11.1,12.6,17.6,16.4,16,13.3,19.2,18.5,19.2,24.9,27.9,31.4,38,41.6,39.5,38.6,34.2
"12","5","      Undistributed corporate profits","B057RC1",3.7,-1.8,-4,-4.3,-0.7,-0.1,0.6,1.2,1.5,0.4,2.6,3.8,6.7,6.8,7.3,7.2,5.1,10.9,15,17,12.6,17,14.3,13.3,14,13.9,18.9,19.4,18,14.5,19.7,17.7,17.1,20.1,21.8,25.1,31.8,35.8,33.2,34.7,32.4
"13","6","      Inventory valuation adjustment, corporate","B058RC1",0.5,3.3,2.4,1,-2.1,-0.6,-0.2,-0.7,0,1,-0.7,-0.2,-2.5,-1.2,-0.8,-0.3,-0.6,-5.3,-5.9,-2.2,1.9,-5,-1.2,1,-1,-0.3,-1.7,-2.7,-1.5,-0.3,-0.3,-0.2,0.3,0,0.1,-0.5,-1.2,-2.1,-1.6,-3.7,-5.9
"14","7","      Capital consumption adjustment, corporate","A059RC1",-0.6,-0.3,0,0.1,0.1,-0.1,-0.1,-0.1,-0.5,-0.6,-0.5,-0.6,-0.6,-0.5,-0.2,0.5,0.6,-2.1,-2.6,-3,-2.8,-2.8,-3,-2.6,-1.9,-1,0.5,-0.3,-0.5,-0.9,-0.2,1,1.8,4.8,6,6.8,7.4,7.8,7.8,7.5,7.6
"15","8","    Households and institutions","W986RC1",3.9,3.3,2.8,-0.1,-0.4,0.9,3,4.8,4.9,2,3.9,5.3,13.3,31.9,38.6,42.4,35.2,19.6,11,17.2,13.6,20,25.9,27.8,29.2,28.2,28.2,34.7,36.9,38.9,37.1,37.8,44.4,46.4,46.7,54.8,58.3,61.4,72.2,72.1,75
"16","9","      Personal saving","A071RC1",3.9,3.3,2.8,-0.1,-0.4,0.9,3,4.8,4.9,2,3.9,5.3,13.3,31.9,38.6,42.4,35.2,19.6,11,17.2,13.6,20,25.9,27.8,29.2,28.2,28.2,34.7,36.9,38.9,37.1,37.8,44.4,46.4,46.7,54.8,58.3,61.4,72.2,72.1,75
"17","10","  Net government saving","A922RC1",2.1,1.1,-1.6,-1.1,-0.9,-1.5,-1.3,-1.5,1.6,-0.1,-0.8,0.6,2.2,-10.3,-16,-28.3,-31,-7.4,2.5,1,-8,2.2,6,-0.3,-1.9,-6,1.6,4.4,0,-10.9,-1.7,2.8,-2.5,-1.9,1.6,-2.6,-1.4,-1.8,-14.8,-9.5,-1
"18","11","    Federal","A923RC1",0.8,0,-2.3,-1.6,-1.2,-2.6,-2.3,-3.6,-0.2,-1.8,-2.5,-1,0.6,-11.4,-17.1,-29.5,-32.1,-8.2,2.4,0.9,-8.5,1.8,4.5,-2.1,-4.2,-8,-0.6,1.4,-2.6,-12,-3.9,0.2,-4.7,-5.3,-2.1,-6.9,-5.5,-7,-19.5,-13.7,-5.1
"19","12","    State and local","A924RC1",1.3,1.1,0.8,0.5,0.2,1.1,1,2.1,1.8,1.7,1.7,1.6,1.6,1.1,1.1,1.1,1.1,0.8,0.1,0.1,0.5,0.3,1.5,1.9,2.3,2,2.2,3,2.6,1.1,2.2,2.6,2.2,3.4,3.7,4.3,4.1,5.2,4.7,4.3,4.1
"20","13","Consumption of fixed capital","A262RC1",10.4,10.2,9.5,8.3,8,8.4,8.5,8.8,9.7,10,10.1,10.6,12.1,14.9,18,21.4,23.2,25.8,29.2,31.4,32.3,33.4,37.8,40.6,43.5,46,48.9,54.1,58.9,62.4,65.4,67.9,70.6,74.1,78,82.4,88,95.3,103.5,113.3,124.9
"21","14","  Private","A024RC1",9.4,9.2,8.6,7.5,7,7.3,7.3,7.5,8.4,8.6,8.6,9,10,11.2,11.5,12,12.5,14.2,17.7,20.8,22.6,24.3,27.7,29.5,31.3,33,35,38.8,42.3,44.9,46.8,48.2,49.8,51.8,54.2,57.3,61.6,67.2,73.3,80.6,89.4
"22","15","    Domestic business","W276RC1",8.1,7.9,7.4,6.5,6.1,6.2,6.3,6.4,7.2,7.3,7.3,7.6,8.5,9.6,9.8,10.2,10.5,11.9,14.8,17.4,18.9,20.4,23.2,24.6,26.1,27.4,28.9,32.2,35.2,37.5,39,40,41.3,42.9,44.9,47.4,50.9,55.6,60.9,67,74.2
"23","16","    Households and institutions","W279RC1",1.3,1.3,1.2,1,0.9,1,1,1.1,1.2,1.3,1.3,1.3,1.5,1.6,1.7,1.9,2,2.3,3,3.4,3.7,4,4.6,5,5.3,5.6,6.1,6.6,7.1,7.4,7.8,8.2,8.5,8.8,9.3,9.9,10.7,11.5,12.4,13.6,15.2
"24","17","  Government","A264RC1",1,1,0.9,0.9,1,1.1,1.1,1.3,1.4,1.5,1.5,1.6,2.1,3.6,6.5,9.3,10.7,11.5,11.5,10.6,9.7,9.1,10,11.1,12.1,13,13.9,15.3,16.7,17.5,18.6,19.7,20.8,22.3,23.8,25.1,26.4,28.1,30.2,32.7,35.4
"25","18","    Federal","A918RC1",0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.9,2.2,5,7.9,9.3,10,9.6,8.4,7.6,6.9,7.4,8.3,9.2,10.1,10.7,11.7,12.7,13.4,14.3,15.1,16,17.1,18.3,19.2,20,21,22.4,24.1,25.8
"26","19","    State and local","A919RC1",0.8,0.8,0.7,0.7,0.7,0.9,0.8,0.9,1,1,1.1,1.1,1.2,1.4,1.5,1.5,1.4,1.6,1.9,2.1,2.2,2.2,2.6,2.8,2.9,3,3.2,3.6,3.9,4.1,4.4,4.5,4.8,5.2,5.5,5.9,6.4,7.1,7.8,8.6,9.7
"27","20","    Gross domestic investment, capital account transactions, and net lending, NIPAs","A928RC1",20.8,15.4,9.8,4.2,4.5,7.4,10.2,13.5,17.1,13.4,15.9,20.6,31.5,40.7,45.2,45.4,36.4,42.8,52.1,61.3,51.3,66.1,83.2,82.5,85.7,83.6,98.5,107.5,111.5,104.4,120.2,125.6,130.7,143.4,152.7,166,183.7,201.6,203.8,217.7,234.7
"28","21","Gross domestic investment","W170RC1",20.1,14.7,9.6,4.1,4.3,7,10.2,13.6,16.9,12.2,14.8,19,30.2,40.7,47.3,47.3,37.7,37.8,42.8,58.8,50.4,68,82.3,81.9,87.1,83.5,98.1,104.8,106.7,103.6,121.5,122.5,126.5,139.6,147.7,158.5,177.5,197.8,200.4,216.2,233.1
"29","22","  Gross private domestic investment","A006RC1",17.2,11.4,6.5,1.8,2.3,4.3,7.4,9.4,13,7.9,10.2,14.6,19.4,11.8,7.4,9.2,12.4,33.1,37.1,50.3,39.1,56.5,62.8,57.3,60.4,58.1,73.8,77.7,76.5,70.9,85.7,86.5,86.6,97,103.3,112.2,129.6,144.2,142.7,156.9,173.6
"30","23","    Domestic business","W987RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.7,61.5,70.2,74.5,81.5,97.5,113,111,121.1,135.1
"31","24","    Households and institutions","W988RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.7,25.1,26.7,28.8,30.7,32.1,31.2,31.7,35.9,38.5
"32","25","  Gross government investment","A782RC1",2.9,3.3,3.1,2.3,2,2.7,2.9,4.2,3.9,4.3,4.6,4.4,10.8,29,39.9,38.1,25.3,4.7,5.7,8.5,11.3,11.5,19.6,24.6,26.7,25.4,24.4,27.1,30.2,32.6,35.9,36,39.9,42.6,44.4,46.4,47.9,53.6,57.7,59.2,59.5
"33","26","    Federal","A787RC1",0.2,0.3,0.4,0.5,0.7,0.9,1.2,1.3,1.3,1.3,1.2,1.6,8.5,27.4,39,37.4,24.5,3.1,2.8,4.4,5.9,5.5,12.5,17.2,18.7,16.1,14.2,15.8,17.6,18.9,21.8,21.9,24.6,26.5,26.7,27.1,26.7,30.1,31.9,31.1,30.7
"34","27","    State and local","A799RC1",2.7,2.9,2.7,1.8,1.4,1.8,1.6,2.9,2.6,3,3.4,2.8,2.3,1.6,0.9,0.7,0.9,1.6,2.9,4.1,5.4,5.9,7,7.4,8,9.3,10.1,11.4,12.7,13.7,14.1,14.1,15.3,16.1,17.8,19.3,21.2,23.5,25.7,28.1,28.8
"35","28","Capital account transactions (net) \1\","W167RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"36","29","  Private","W999RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,0.9,0.9,1.1,1.3,1.8,1.8,2.7,3.5,3.5
"37","30","    Domestic business","W989RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.7,-0.8,-1,-0.9,-1,-0.9,-1,-0.2,0.5,-0.4
"38","31","    Households and institutions","W990RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,1.7,1.8,2,2.3,2.6,2.8,2.9,3,3.9
"39","32","  Government","W991RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.8,-0.9,-0.9,-1.1,-1.3,-1.8,-1.8,-2.7,-3.5,-3.5
"40","33","    Federal","W992RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,1.4,1.6,1.9,2.1,1.7,2,1,2,2.4
"41","34","    State and local","W993RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.1,-2.3,-2.5,-3,-3.5,-3.5,-3.8,-3.7,-5.4,-5.9
"42","35","Net lending or net borrowing (-), NIPAs","W162RC1",0.8,0.7,0.2,0.2,0.2,0.4,-0.1,-0.1,0.2,1.2,1,1.5,1.3,-0.1,-2.1,-2,-1.3,4.9,9.3,2.4,0.9,-1.8,0.9,0.6,-1.3,0.2,0.4,2.7,4.7,0.8,-1.3,3.2,4.2,3.8,4.9,7.5,6.2,3.8,3.5,1.5,1.6
"43","36","  Private","W994RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.9,24.8,25.2,22.8,30,27.2,29.2,43,34,23.3
"44","37","    Domestic business","W995RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.8,-1.2,-1.5,-2.4,-1.7,-7,-9.6,-7.1,-12.8,-24.7
"45","38","    Households and institutions","W996RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.7,26,26.6,25.2,31.7,34.2,38.9,50.1,46.9,47.9
"46","39","  Government","AD01RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-12.7,-20.6,-21.4,-17.9,-22.5,-21.1,-25.4,-39.5,-32.5,-21.7
"47","40","    Federal","AD02RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.9,-14.7,-16.3,-12.3,-16.9,-13.9,-18,-30,-22.7,-12.5
"48","41","    State and local","AD03RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.8,-5.9,-5.1,-5.5,-5.6,-7.2,-7.4,-9.5,-9.8,-9.2
"49","42","    Statistical discrepancy","A030RC1",0.7,-0.4,0.7,0.3,0.5,0.4,-0.2,1.2,-0.1,0.7,1.3,1.1,0.3,-0.9,-1.8,2.5,3.8,1.2,2.9,-0.3,1.7,1.2,3.4,2.6,3.8,2.9,2.1,-2.1,-0.4,0.6,0.1,-1.4,-1,-0.1,-1.5,0,0.8,5.1,3.4,3.2,1.6
"50",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","43","  Gross private saving","A126RC1",17,13.7,9.7,4.2,3.9,7.4,10.6,12.6,14.2,11.4,13.9,17.3,26.9,48.2,56.6,61.8,52.8,37.4,35.3,50,47.9,53.6,63.8,69.1,71.7,73.7,80.9,89.9,95.2,97.1,103.2,104.6,113.3,123.1,128.7,143.5,157.9,170.1,185,191.3,198.7
"52","44","    Domestic business","W997RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.6,60.4,67.9,72.8,78.8,88.9,97.2,100.3,105.5,108.4
"53","45","    Households and institutions","W998RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,52.9,55.2,56,64.7,68.9,72.9,84.7,85.7,90.3
"54","46","  Gross government saving","A927RC1",3.1,2.1,-0.6,-0.3,0,-0.4,-0.2,-0.2,3,1.4,0.7,2.2,4.3,-6.6,-9.5,-19,-20.3,4.1,13.9,11.5,1.7,11.3,16,10.8,10.3,7.1,15.5,19.7,16.7,6.6,16.9,22.4,18.4,20.4,25.4,22.5,25,26.3,15.4,23.2,34.4
"55","47","    Federal","A926RC1",1,0.2,-2.1,-1.4,-1,-2.3,-2,-3.3,0.2,-1.3,-2.1,-0.5,1.5,-9.2,-12.1,-21.6,-22.8,1.8,12,9.4,-1,8.8,11.9,6.2,5.1,2.1,10.2,13.1,10.1,1.4,10.4,15.3,11.3,11.8,16.2,12.3,14.5,14.1,2.9,10.4,20.7
"56","48","    State and local","A925RC1",2.1,1.9,1.5,1.1,1,1.9,1.8,3,2.8,2.7,2.8,2.7,2.8,2.6,2.6,2.6,2.5,2.4,1.9,2.2,2.7,2.5,4.2,4.7,5.2,5,5.4,6.6,6.6,5.3,6.5,7.1,7.1,8.6,9.2,10.2,10.5,12.3,12.5,12.9,13.8
"57","49","  Net domestic investment","W171RC1",9.7,4.5,0.1,-4.2,-3.7,-1.4,1.8,4.8,7.1,2.2,4.7,8.4,18.1,25.9,29.3,25.9,14.5,12.1,13.6,27.4,18.1,34.6,44.6,41.3,43.6,37.5,49.2,50.7,47.8,41.1,56.1,54.6,55.9,65.5,69.7,76.2,89.5,102.5,96.8,102.8,108.2
"58","50","    Private","A557RC1",7.8,2.2,-2,-5.6,-4.8,-3,0,1.9,4.6,-0.6,1.6,5.6,9.4,0.5,-4.1,-2.9,-0.1,18.9,19.4,29.5,16.5,32.2,35,27.7,29.1,25.1,38.8,38.9,34.2,26,38.8,38.3,36.8,45.2,49.1,54.9,68.1,77,69.4,76.3,84.1
"59","51","      Domestic business","W790RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.7,20.2,27.3,29.6,34.1,46.6,57.4,50.1,54.1,60.9
"60","52","      Households and institutions","W791RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.6,16.6,17.9,19.5,20.8,21.4,19.6,19.2,22.2,23.2
"61","53","    Government","A889RC1",1.9,2.3,2.1,1.4,1.1,1.6,1.7,3,2.5,2.8,3.1,2.8,8.7,25.3,33.4,28.8,14.6,-6.8,-5.8,-2.1,1.6,2.4,9.6,13.5,14.5,12.4,10.5,11.8,13.6,15.1,17.2,16.3,19.1,20.3,20.6,21.3,21.4,25.4,27.5,26.5,24.1
"62","54","      Federal","A890RC1",0,0.1,0.2,0.3,0.5,0.6,0.9,1,0.9,0.9,0.7,1.1,7.7,25.2,34,29.5,15.2,-6.9,-6.8,-4,-1.7,-1.4,5.1,8.9,9.4,6,3.5,4.1,4.9,5.5,7.5,6.8,8.6,9.4,8.4,7.9,6.7,9.1,9.5,7,4.9
"63","55","      State and local","A893RC1",1.9,2.2,1.9,1.1,0.6,0.9,0.8,2,1.6,2,2.4,1.7,1,0.1,-0.6,-0.7,-0.6,0.1,1,1.9,3.2,3.7,4.4,4.6,5.1,6.3,7,7.8,8.7,9.6,9.7,9.6,10.4,10.9,12.2,13.3,14.7,16.4,17.9,19.5,19.2
"64","56","  Gross saving as a percentage of gross national income","W206RC1",19.2,16.9,11.8,6.7,6.9,10.5,13.9,14.7,18.3,14.6,15.7,19.1,24.1,24.9,22.9,19.3,14.5,18.3,19.8,22.2,18.2,21.6,23.1,21.8,21.1,20.7,22.6,24.1,23.4,21.4,22.9,23.2,23.2,23.5,23.9,24,24.4,24.1,23.2,22.7,22.8
"65","57","  Net saving as a percentage of gross national income","W207RC1",9.3,6,-0.5,-7.3,-7.1,-2.1,2.6,4.2,7.9,3.1,4.8,8.7,14.7,16,14.1,9.7,4.2,6.9,8.1,10.9,6.3,10.5,12.2,10.7,9.9,8.9,11.1,12.2,11.1,8.5,10.4,10.8,10.8,11.4,11.8,12.1,12.7,12.4,11.2,10.7,10.6
"66","58","  Disaster losses \2\","W771RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","59","    Private","W772RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","60","      Domestic business","W773RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","61","      Households and institutions","W774RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","62","    Government","W775RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","63","      Federal","W776RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","64","      State and local","W777RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","1. Consists of capital transfers and the acquisition and disposal of nonproduced",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","nonfinancial assets.  Prior to 1982, reflects only capital grants paid to the U.S.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","territories and the Commonwealths of Puerto Rico and Northern Mariana Islands.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","2. Consists of damages to fixed assets.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
