"","Table 2#5#3# Real Personal Consumption Expenditures by Function,","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"11","4","    Food and nonalcoholic beverages purchased for off-premises consumption","DTFDRA3",24.628,23.947,23.619,21.676,22.083,21.369,21.815,24.541,25.274,26.469,26.746,28.147,29.006,28.51,27.355,28.838,30.449,34.706,34.942,35.45,35.941,36.646,37.186,38.501,40.186,41.678,43.93,45.564,47.059,47.339,49.39,49.871,50.637,50.78,51.102,52.881,55.744,57.892,59.238,61.613,62.871
"12","5","    Alcoholic beverages purchased for off-premises consumption","DAOPRA3",NA,NA,NA,NA,1.117,9.629,13.161,16.865,17.47,15.894,16.112,16.533,18.032,19.21,19.213,20.087,21.318,22.828,23.256,20.565,20.196,21.243,20.502,20.364,21.084,20.474,21.051,21.534,21.205,21.266,22.484,22.612,22.799,24.188,24.924,25.924,26.87,28.37,29.177,31.795,34.738
"13","6","    Food produced and consumed on farms","DFFDRA3",2130.551,2133.426,2285.772,2319.483,2507.949,2376.501,2179.751,2212.892,2203.348,2245.789,2331.315,2272.124,2138.484,2078.635,2186.72,2081.734,2128.58,2242.872,2011.169,1924.545,1809.774,1769.452,1675.976,1627.103,1529.435,1485.633,1443.545,1388.3,1253.972,1191.099,1080.218,976.571,953.71,839.235,801.647,751.424,661.673,609.831,566.841,524.066,485.661
"14","7","  Clothing, footwear, and related services","DCAFRA3",12.015,10.84,10.53,9.245,8.332,8.834,9.563,10.443,10.417,10.514,11.274,11.7,12.658,13.233,14.518,14.139,14.681,15.195,14.589,14.715,14.74,15.052,14.957,15.693,15.844,15.875,16.562,16.942,16.807,16.899,18.173,18.29,18.579,19.338,19.647,21.055,21.901,23.219,23.339,24.203,24.605
"15","8","    Clothing","DCLTRA3",11.416,10.371,9.993,8.527,7.684,8.061,8.896,9.696,9.541,9.668,10.543,10.976,11.877,12.391,13.93,13.573,13.978,14.282,13.824,14.037,14.016,14.228,14.42,15.248,15.384,15.464,16.051,16.5,16.397,16.358,17.585,17.708,18.025,18.81,19.192,20.572,21.471,22.824,22.928,23.7,24.001
"16","9","      Garments","DGARRA3",9.763,8.844,8.673,7.475,6.73,7.029,7.756,8.415,8.188,8.338,9.182,9.483,9.926,9.835,10.649,10.276,10.528,11.227,10.926,11.153,11.162,11.339,11.466,12.281,12.441,12.556,13.119,13.538,13.468,13.484,14.287,14.462,14.78,15.493,15.855,17.143,17.921,19.159,19.33,20.055,20.412
"17","10","        Women's and girls' clothing","DWGCRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.611,12.829,13.171,13.927,14.325,15.511,16.123,17.177,17.036,17.665,17.927
"18","11","        Men's and boys' clothing","DMBCRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.967,19.005,19.229,19.842,20.041,21.689,22.758,24.465,25.298,26.218,26.519
"19","12","        Children's and infants' clothing","DCICRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.896,5.188,5.626,6.028,6.806,6.819,8.144,8.791,9.539,10.328,12.864
"20","13","      Other clothing materials","DOCMRA3",21.347,19.65,19.287,16.832,14.916,14.955,16.881,18.017,17.453,18.265,20.457,22.486,38.901,67.992,96.633,95.521,96.99,50.945,40.451,39,40.565,43.626,49.594,45.314,41.401,37.519,37.679,39.265,39.312,39.701,40.919,39.903,40.785,43.47,43.063,40.394,42.889,48.002,44.96,45.646,42.799
"21","14","      Cleaning, repair, and rental of clothing","DCRCRA3",94.351,87.055,74.438,59.297,53.996,59.056,64.803,73.472,78.344,76.255,77.184,83.608,95.202,101.902,119.821,123.308,133.759,157.03,158.479,158.318,153.541,152.196,149.797,153.851,156.157,157.636,158.189,158.015,155.661,151.211,180.861,177.405,175.553,176.539,177.84,185.377,190.402,191.239,189.312,190.797,189.077
"22","15","        Laundry and dry cleaning services","DDRYRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,132.334,126.842,123.468,122.161,121.236,129.977,140.899,148.831,151.867,152.087,148.917
"23","16","        Clothing repair, rental, and alterations","DLGRRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,335.543,338.48,341.526,349.92,358.496,361.699,346.826,324.041,305.776,311.37,314.472
"24","17","    Footwear \2\","DFTWRA3",16.093,14.038,14.203,14.203,12.804,14.238,14.065,15.501,16.505,16.348,16.17,16.514,17.85,18.864,17.977,17.449,19.11,21.383,19.624,19.054,19.437,20.471,18.311,18.381,18.634,18.32,19.674,19.584,19.241,20.188,21.746,21.824,21.936,22.525,22.378,23.949,24.462,25.562,25.776,27.191,28.191
"25","18","  Housing, utilities, and fuels","DHUFRA3",7.21,7.174,7.065,6.927,6.842,7.193,7.303,7.515,7.644,7.698,7.959,8.28,8.708,9.14,9.454,9.773,10.08,10.972,11.863,12.548,13.085,14.098,15.073,15.94,16.716,17.588,18.568,19.516,20.432,21.446,22.507,23.569,24.565,25.905,27.116,28.431,29.931,31.27,32.605,34.06,35.758
"26","19","    Housing","DHSGRA3",6.149,6.075,6.016,5.911,5.801,6.114,6.164,6.259,6.361,6.462,6.612,6.81,7.199,7.566,7.851,8.151,8.324,9.04,9.767,10.351,11.029,11.804,12.674,13.501,14.23,14.925,15.678,16.455,17.293,18.132,19.11,20.104,21.088,22.262,23.263,24.372,25.693,26.855,28.048,29.452,31.052
"27","20","      Rental of tenant-occupied nonfarm housing \3\","DTENRA3",10.632,10.712,10.872,10.914,10.345,11.516,11.678,11.983,12.352,12.721,13.13,13.601,14.252,14.713,14.713,14.62,14.119,14.779,15.402,16.096,17.014,17.836,18.808,19.616,20.373,20.876,21.294,21.781,22.69,23.606,24.684,25.773,27.114,28.609,30.034,31.608,33.346,34.839,36.298,38.514,40.481
"28","21","      Imputed rental of owner-occupied nonfarm housing \4\","DOWNRA3",3.948,3.838,3.724,3.591,3.627,3.671,3.683,3.709,3.726,3.748,3.816,3.92,4.209,4.539,4.885,5.287,5.645,6.353,7.076,7.637,8.246,9,9.834,10.666,11.383,12.13,12.979,13.833,14.642,15.468,16.447,17.439,18.333,19.445,20.348,21.328,22.54,23.618,24.721,25.906,27.409
"29","22","      Rental value of farm dwellings","DFARRA3",61.928,61.685,61.413,60.994,60.614,60.206,60.175,60.215,60.422,60.379,60.594,61.145,61.856,62.172,62.25,62.202,62.013,63.475,64.577,66.05,67.348,68.39,69.302,69.933,70.511,70.949,71.078,71.396,71.635,71.791,72.166,72.342,72.831,73.174,73.54,74.013,74.3,74.77,75.324,75.801,76.182
"30","23","      Group housing","DGRHRA3",78.158,75.379,71.441,64.501,63.283,72.47,78.158,84.94,88.97,88.374,90.969,96.69,103.125,100.91,115.563,125.222,137.378,148.472,185.038,167.004,158.19,159.035,165.005,170.346,175.726,181.067,187.567,196.971,209.035,204.88,184.529,172.358,167.106,152.7,141.582,150.363,160.841,165.477,194.1,203.881,225.807
"31","24","    Household utilities and fuels","DUTFRA3",13.351,13.632,13.164,12.809,12.919,13.479,13.962,14.891,15.185,14.909,15.897,17.018,17.641,18.45,18.911,19.316,20.479,22.427,24.298,25.57,25.121,27.597,29.134,30.131,31.086,33.053,35.477,37.455,38.73,40.805,42.204,43.5,44.339,46.575,49.06,51.582,54.034,56.355,58.398,59.811,61.77
"32","25","      Water supply and sanitation","DWRSRA3",11.705,12.441,12.441,12.056,12.782,14.1,13.881,14.542,14.761,14.584,15.468,15.808,16.386,16.893,17.198,17.489,17.644,18.808,19.435,20.1,20.874,21.4,22.159,22.575,23.111,23.452,23.512,24.434,24.214,23.277,25.331,27.81,29.128,31.029,33.951,35.439,36.973,37.365,37.602,38.97,41.669
"33","26","      Electricity, gas, and other fuels","DEGFRA3",13.89,14.122,13.583,13.223,13.257,13.737,14.322,15.309,15.62,15.325,16.351,17.603,18.248,19.116,19.608,20.038,21.356,23.452,25.526,26.906,26.3,29.077,30.75,31.846,32.881,35.123,37.952,40.131,41.672,44.298,45.586,46.666,47.417,49.725,52.126,54.858,57.496,60.22,62.646,64.06,65.831
"34","27","        Electricity","DELCRA3",2.013,2.228,2.366,2.396,2.361,2.527,2.705,2.912,3.138,3.369,3.591,3.89,4.151,4.402,4.53,4.888,5.214,6.037,6.778,7.604,8.488,9.645,10.705,11.748,12.825,13.982,15.025,16.299,17.476,18.456,19.599,20.734,21.743,23.175,24.376,25.872,27.261,29.06,30.837,32.909,34.906
"35","28","        Natural gas","DGHERA3",11.151,11.499,11.376,10.962,10.124,10.125,10.309,10.593,10.835,10.714,11.031,11.76,11.824,12.818,13.345,13.735,14.523,15.559,17.869,19.924,21.351,24.353,27.579,30.051,32.449,36.687,41.279,45.947,48.861,54.522,59.364,62.275,65.612,70.45,73.519,76.669,79.644,82.712,86.642,89.321,93.661
"36","29","        Fuel oil and other fuels","DFULRA3",209.486,204.679,185.751,177.778,187.003,193.253,200.491,216.846,214.674,199.199,215.811,232.335,239.481,246.133,250.742,248.212,265.095,285.127,300.312,301.769,266.211,286.066,285.429,277.39,268.085,273.31,290.46,291.045,288.582,299.563,286.163,275.67,259.459,259.508,271.89,285.096,299.052,307.519,308.103,291.132,276.024
"37","30","  Furnishings, household equipment, and routine household maintenance","DFHHRA3",9.461,8.256,7.923,6.713,6.396,7.01,7.684,9.082,9.484,8.775,9.767,10.539,11.569,10.417,8.937,8.337,8.587,11.784,13.053,13.617,13.724,15.554,15.025,14.871,15.28,15.172,17.02,17.828,17.701,17.662,19.174,19.247,19.622,20.681,21.69,23.654,25.013,26.833,27.442,28.62,28.988
"38","31","    Furniture, furnishings, and floor coverings \5\","DFURRA3",8.067,6.617,6.516,5.254,4.471,4.726,5.704,7.239,7.072,6.551,7.55,8.072,9.063,8.002,7.136,6.394,6.506,9.155,9.752,10.372,10.329,11.519,10.98,11.286,11.774,11.808,13.541,14.102,13.802,13.787,14.44,14.314,14.319,15.282,16.6,18.669,19.83,20.989,21.107,22.26,22.436
"39","32","    Household textiles","DTEXRA3",6.715,5.902,6.112,5.572,5.353,5.464,5.77,7.216,7.529,7.4,9.141,9.709,10.293,9.64,9.836,9.606,9.334,11.612,9.85,10.602,12.105,13.617,13.459,13.546,13.373,12.827,13.778,14.133,14.133,13.737,12.198,12.028,12.308,13.267,13.599,14.991,16.021,17.38,17.802,18.34,17.626
"40","33","    Household appliances \6\","DHAPRA3",2.922,2.683,2.453,1.746,2.158,2.688,3.222,3.778,4.195,3.549,3.903,4.583,5.7,3.547,1.3,0.838,1.463,6.257,9.835,10.176,9.488,12.075,11.141,11.022,11.619,11.968,13.627,15.138,15.305,15.088,18.044,17.889,18.256,18.829,19.963,21.741,22.436,24.896,25.913,28.175,29.867
"41","34","    Glassware, tableware, and household utensils \7\","DUTERA3",11.042,8.046,8.575,8.668,7.945,7.963,7.365,8.784,9.767,8.964,9.031,9.694,11.569,10.855,9.008,8.397,10.022,15.777,16.411,17.364,16.231,16.897,16.438,15.667,15.809,15.695,16.4,15.666,14.355,13.728,14.101,13.669,13.65,14.096,13.962,15.33,17.105,19.326,20.207,20.705,20.88
"42","35","    Tools and equipment for house and garden","DTOORA3",3.636,3.244,2.732,2.234,2.119,2.306,2.41,2.952,3.181,2.927,3.3,3.633,4.159,4.167,4.084,4.207,4.604,6.26,6.54,7.1,7.287,8.185,8.355,7.469,6.808,5.914,6.273,6.427,6.417,6.377,6.784,7.121,7.263,7.919,8.383,9.297,10.694,12.551,13.455,14.217,14.507
"43","36","    Other household goods and services \8\","DOGSRA3",24.902,23.516,21.542,18.61,18.061,20.509,21.482,23.256,24.67,23.255,24.864,26.264,26.085,27.033,24.414,23.727,23.147,22.993,25.741,25.756,26.603,29.165,28.963,27.848,28.704,28.255,31.983,33.614,34.149,35.025,40.744,42.192,43.947,45.977,47.175,49.465,51.43,53.639,54.772,55.649,56.396
"44","37","  Health","DHLTRA3",4.034,3.927,3.794,3.535,3.344,3.556,3.608,3.85,4.022,3.97,4.194,4.329,4.6,4.928,5.172,5.494,5.655,6.511,6.661,7.194,7.381,7.798,8.163,8.571,8.967,9.477,9.823,10.504,11.117,11.857,12.716,13.057,13.805,15.158,16.147,17.75,18.579,19.585,20.444,22.137,23.826
"45","38","    Medical products, appliances, and equipment","DMPARA3",1.35,1.296,1.19,1.058,1.067,1.257,1.311,1.407,1.557,1.571,1.678,1.756,2.015,2.293,2.702,2.843,2.984,3.28,3.151,3.309,3.434,3.723,4.101,4.252,4.41,4.421,4.681,5.144,5.488,5.63,5.974,6.455,7.139,8.049,8.546,8.924,9.385,9.88,10.183,11.293,12.282
"46","39","      Pharmaceutical and other medical products \9\","DPHMRA3",1.244,1.176,1.09,0.984,0.988,1.127,1.172,1.258,1.368,1.407,1.497,1.555,1.754,2.003,2.381,2.498,2.633,2.882,2.754,2.903,3.031,3.31,3.678,3.799,3.919,3.935,4.258,4.692,5.1,5.29,5.72,6.285,7.087,7.888,8.522,8.787,9.176,9.553,10.274,11.341,12.288
"47","40","        Pharmaceutical products","DPNPRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.635,6.171,6.968,7.758,8.485,8.712,9.087,9.438,10.246,11.297,12.23
"48","41","        Other medical products","DOMPRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.947,11.953,13.013,14.405,10.427,12.599,13.688,15.329,11.785,13.675,15.356
"49","42","      Therapeutic appliances and equipment","DTAERA3",1.915,1.928,1.718,1.455,1.488,1.934,2.034,2.184,2.525,2.425,2.616,2.791,3.346,3.776,4.35,4.612,4.788,5.319,5.178,5.381,5.501,5.857,6.301,6.598,6.938,6.929,6.892,7.518,7.565,7.479,7.415,7.507,7.657,9.099,9.007,9.898,10.687,11.711,10.283,11.619,12.817
"50","43","    Outpatient services","DOUTRA3",5.758,5.388,5.133,4.732,4.329,4.551,4.53,4.935,5.042,4.783,5.072,5.189,5.403,5.6,5.429,5.911,6.059,7.457,7.955,8.793,8.777,9.096,9.405,9.78,10.219,11.023,11.103,11.662,12.263,13.151,13.993,14.465,14.904,16.129,16.921,19.381,20.048,20.213,20.084,20.816,21.744
"51","44","      Physician services \10\","DPHYRA3",6.454,6.081,5.819,5.457,5.07,5.398,5.477,6.017,6.165,5.803,6.079,6.19,6.368,6.604,6.322,7.181,7.27,9.151,10.181,11.272,11.32,11.743,12.239,12.648,13.158,14.166,14.064,14.786,15.517,16.806,17.541,17.853,17.978,19.189,19.985,22.91,23.189,23.182,24.026,24.756,26.182
"52","45","      Dental services","DDENRA3",14.618,13.659,13.013,11.813,10.542,10.977,10.475,11.297,11.546,11.273,12.353,12.893,13.973,14.413,14.389,14.169,14.703,17.279,16.382,18.045,17.717,18.327,18.623,19.961,21.208,23.236,24.424,25.577,26.871,27.804,27.875,28.426,29.483,30.786,30.437,34.484,35.433,36.166,38.853,40.463,43.944
"53","46","      Paramedical services","DPMSRA3",2.079,1.895,1.773,1.565,1.404,1.416,1.401,1.492,1.501,1.389,1.457,1.457,1.458,1.529,1.467,1.634,1.742,2.118,2.324,2.563,2.56,2.647,2.714,2.741,2.83,2.977,2.954,3.11,3.317,3.637,4.813,5.45,6.1,7.262,8.331,9.622,10.68,10.903,8.751,9.208,8.748
"54","47","        Home health care","DHHCRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","48","        Medical laboratories","DMLBRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","49","        Other professional medical services \11\","DOMDRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","50","    Hospital and nursing home services","DHPNRA3",3.997,4.423,4.675,4.665,4.442,4.351,4.464,4.526,4.664,4.896,5.069,5.248,5.317,5.664,5.993,6.14,6.223,6.624,6.66,7.067,7.547,8.051,8.218,8.855,9.351,9.97,10.637,11.453,12.168,13.228,14.447,14.23,15.128,16.643,18.102,19.452,20.617,22.944,25.427,28.48,31.392
"58","51","      Hospitals \12\","DHSPRA3",4.858,5.375,5.681,5.67,5.399,5.288,5.425,5.501,5.669,5.95,6.16,6.379,6.462,6.884,7.284,7.462,7.563,8.051,8.095,8.589,9.172,9.785,9.987,10.762,11.365,12.117,12.928,13.92,14.789,16.077,17.545,16.603,17.37,18.966,20.301,21.167,22.634,24.916,27.376,30.43,33.073
"59","52","      Nursing homes","DNRSRA3",0.797,0.882,0.932,0.93,0.886,0.867,0.89,0.902,0.93,0.976,1.011,1.046,1.06,1.129,1.195,1.224,1.241,1.321,1.328,1.409,1.504,1.605,1.638,1.765,1.864,1.988,2.121,2.283,2.426,2.637,2.923,5.06,6.325,7.443,9.195,12.048,12.103,14.385,16.732,19.521,23.083
"60","53","  Transportation","DTRNRA3",7.788,6.468,5.748,4.676,4.907,5.467,6.286,7.223,7.555,6.471,7.506,8.513,9.569,5.589,5.46,5.726,6.619,11.308,13.136,14.057,15.925,18.261,17.17,16.718,18.949,18.537,22.344,21.058,21.854,20.219,22.473,23.533,22.539,24.943,26.924,28.409,31.367,32.541,32.817,36.444,38.329
"61","54","    Motor vehicles","DMTRRA3",13.67,8.958,6.501,3.813,5.156,6.493,9.698,12.311,12.493,7.349,10.312,13.278,14.756,1.557,1.434,1.045,0.991,5.309,8.983,10.616,14.342,18.652,15.69,13.726,17.843,17.085,23.727,19.665,20.389,16.261,19.537,20.708,18.151,21.829,24.807,26.121,30.765,31.052,30.024,34.932,35.693
"62","55","      New motor vehicles","DNMVRA3",8.599,5.611,4.072,2.374,3.237,4.078,6.108,7.748,7.858,4.594,6.474,8.384,9.327,0.375,0.378,0.124,0.117,6.056,10.317,11.688,15.947,21.095,17.105,14.4,19.677,18.897,26.694,21.36,21.919,16.409,21.236,22.847,19.657,24.667,28.527,30.379,36.337,36.737,34.808,41.733,42.438
"63","56","      Net purchases of used motor vehicles","DNPVRA3",9.105,7.387,5.373,3.697,4.108,5.119,6.856,9.023,9.421,6.942,8.483,9.167,10.001,9.286,8.204,7.657,7.261,5.862,9.582,13.862,17.827,20.685,22.042,23.938,20.839,18.14,21.402,22.464,24.675,25.841,22.764,22.337,21.496,21.012,21.781,21.596,23.384,23.392,25.027,25.046,26.25
"64","57","    Motor vehicle operation","DMVORA3",6.234,5.853,5.792,5.151,5.185,5.645,5.914,6.454,6.86,6.879,7.589,8.191,9.344,6.403,4.805,5.279,7.134,13.083,13.644,14.174,14.937,15.909,16.712,17.853,18.57,18.77,20.546,21.754,22.821,23.79,25.264,26.368,26.992,28.397,29.569,31.297,32.705,34.74,36.008,38.517,41.305
"65","58","      Motor vehicle parts and accessories","DMVPRA3",3.938,3.416,3.309,2.605,2.277,2.733,2.883,3.135,3.208,3.008,3.707,4.286,5.365,2.108,2.473,2.835,4.111,8.569,8.235,7.666,7.106,8.786,7.585,8.234,7.474,6.887,8.245,8.925,10.073,10.797,12.204,13.137,13.979,15.338,16.092,17.283,17.747,18.973,19.68,21.887,24.831
"66","59","      Motor vehicle fuels, lubricants, and fluids","DMFLRA3",8.751,8.835,9.2,8.477,8.493,9.051,9.599,10.372,11.162,11.484,12.238,12.972,14.471,10.907,6.92,7.138,9.403,17.067,18.16,19.316,21.003,21.781,23.676,25.628,27.044,27.903,30.332,32.166,33.405,34.991,36.789,38.049,38.441,40.072,41.302,43.563,45.621,48.468,50.042,53.527,57.126
"67","60","      Motor vehicle maintenance and repair","DVMRRA3",6.396,5.319,4.621,4.02,4.583,5.037,4.994,5.68,5.914,5.631,6.511,7.092,8.104,5.733,5.329,6.546,8.943,15.426,16.391,17.378,18.34,18.971,20.257,20.939,22.521,22.485,24.149,25.216,26.305,26.921,28.57,29.96,30.885,32.428,34.27,36.156,37.782,39.959,41.615,43.529,45.662
"68","61","      Other motor vehicle services","DOVSRA3",0.891,0.781,0.708,0.635,0.698,0.744,0.778,0.868,0.932,0.913,1.035,1.12,1.254,1.002,0.946,1.096,1.388,2.12,2.314,2.469,2.616,2.854,3.622,3.682,3.898,4.039,4.366,4.639,4.757,4.743,4.822,5.088,5.378,5.735,6.121,6.639,7.148,7.635,8.087,8.849,9.664
"69","62","    Public transportation","DPUBRA3",24.646,22.291,19.798,17.346,16.495,17.25,17.868,19.874,21.021,20.016,20.86,22.042,24.275,32.261,43.237,45.691,45.79,45.601,42.221,40.167,35.167,32.096,31.63,31.373,30.562,28.347,27.738,27.778,27.355,25.507,25.825,25.93,25.274,25.561,25.985,27.215,28.71,30.303,32.478,35.303,38.5
"70","63","      Ground transportation \13\","DGRDRA3",97.115,87.849,78.014,68.238,64.896,67.757,70.078,77.856,82.381,78.357,81.464,85.656,94.13,125.823,169.171,178.384,177.145,174.425,161.006,153.071,132.701,119.375,115.577,113.122,108.381,98.431,94.059,92.613,89.277,82.13,80.572,79.634,75.955,74.776,73.361,73.632,74.218,75.17,74.896,76.199,78.343
"71","64","      Air transportation","DAITRA3",0.025,0.025,0.025,0.04,0.04,0.062,0.087,0.115,0.116,0.13,0.181,0.286,0.361,0.33,0.33,0.429,0.764,1.213,1.238,1.201,1.355,1.674,2.209,2.623,3.09,3.513,4.172,4.714,5.323,5.361,6.334,6.795,7.172,7.914,8.936,10.499,12.335,14.196,17.412,21.037,24.884
"72","65","      Water transportation","DWATRA3",0.279,0.188,0.153,0.166,0.125,0.143,0.141,0.16,0.16,0.141,0.143,0.136,0.148,0.108,0.125,0.12,0.143,0.131,0.136,0.125,0.118,0.108,0.108,0.108,0.118,0.113,0.118,0.125,0.125,0.125,0.132,0.126,0.138,0.154,0.15,0.162,0.176,0.229,0.326,0.373,0.429
"73","66","  Communication","DCMCRA3",1.003,1.009,0.971,0.846,0.771,0.795,0.848,0.926,0.992,1.001,1.062,1.122,1.253,1.402,1.593,1.725,1.876,2.009,2.092,2.248,2.349,2.456,2.669,2.848,3.042,3.191,3.516,3.777,4.024,4.161,4.324,4.573,4.862,5.162,5.513,5.916,6.497,7.129,7.674,8.229,8.983
"74","67","    Telephone and facsimile equipment","DTCERA3",0.138,0.13,0.117,0.103,0.086,0.088,0.088,0.11,0.112,0.111,0.119,0.125,0.132,0.124,0.116,0.106,0.106,0.136,0.134,0.156,0.176,0.2,0.208,0.193,0.181,0.165,0.183,0.188,0.192,0.188,0.197,0.205,0.218,0.241,0.262,0.291,0.305,0.325,0.336,0.355,0.354
"75","68","    Postal and delivery services","DPSSRA3",21.882,22.029,21.937,19.513,18.028,18.594,19.474,21.476,22.542,23.889,24.92,25.187,27.174,29.652,32.847,37,40.542,40.913,40.692,41.72,40.926,43.41,45.4,46.421,49.112,49.652,52.467,55.26,57.107,58.308,56.635,58.258,60.942,65.955,65.346,68.956,72.359,76.227,80.308,78.908,82.889
