"","Table 6#16D# Corporate Profits by Industry                      ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57"
"20","12","    Other financial \2\","N398RC1",145.3,160.2,168.9,190,230.3,246.5,250.8,261.1,277.7,278,291.1,299,318.9,322.9,330.2,345.5,396.4,354.7,402.6,378.7,397.3,407.3,368.9,351.7,285.4,297.6,284.6,194.6,171.1,158.1,22.3,-110.1,222.7,316.4,375.8,347.2,316.1,289.6,345.5,388,300.9,277.7,259.5,361.9,395.4,398.1,456.9,418.3,433.7,450.2,471.8,459.8,392.2,NA
"21","13","  Nonfinancial","N399RC1",363.2,374.1,342.8,253.1,318.1,345.9,368.2,430.3,453.6,466.2,500.6,526.4,604.9,653.5,695.1,689.2,898.7,970.2,940.5,1080.4,1106.6,1117.2,1212.3,1141.6,1098.3,1120.6,1002.9,994.1,812.2,817.1,941.3,802.8,748.4,695.9,731.2,861.1,969.6,1009.7,1067,946.4,823.7,950.6,978.4,1009.9,1211.3,1255.1,1226,1251.2,1276.3,1316.4,1310.1,1305.7,1394.2,NA
"22","14","    Utilities","N419RC1",25.4,26.8,23.6,14.3,6.5,10.6,13.3,14,13.4,12.3,13.2,15.2,17.3,19.7,20.3,24.5,29.1,30.4,23.5,40.1,46.7,54.2,61.3,58.4,54,49.8,56.9,37.2,14.8,-14.7,86.7,33.6,23.5,26.1,10.1,35.5,44.8,14.9,35.9,25.4,-2.9,29.5,4.8,7.9,21,11.6,12.1,6.9,6.8,31.1,30,15.8,42.3,NA
"23","15","    Manufacturing","N400RC1",110,108.1,72.6,9.9,61.4,69.5,78.7,90.6,111,107.7,127.9,154.6,168.4,175.4,187,200.1,268.6,264.5,277.1,300.4,325.2,347.9,386.6,338.9,338,354.4,279.6,315.4,248.9,218.6,269.2,225.7,159,153.9,172.5,200,229.9,286.4,327.6,306.6,261.1,283.1,314.3,333.8,402.7,419.8,392.6,401.5,388.4,383.7,392.3,445.4,432.5,NA
"24","16","      Durable goods","N406RC1",33,15.7,-22.3,-64.1,-15,-1.7,11.2,17.8,29,31.1,30.1,40.4,47.9,49.2,50.3,55.1,93.5,104.9,109.5,120.7,142.6,120.4,163.6,149.3,131.5,121.6,101.9,120.5,91.7,51.4,81.5,32.5,9.1,21.7,41.1,65.6,104.5,121.1,145.7,141.1,110.5,117.1,134.4,168,207.3,210.6,199.7,198.6,193.4,202.4,216.7,212.7,234.8,NA
"25","17","        Fabricated metal products","N408RC1",11.7,10.4,8.5,6.2,8.3,8.3,8.5,9.6,6.7,8.8,7.3,11.5,11.2,13,11.2,13.9,17.2,18.1,19.8,17.6,19.2,16.3,17.8,20.4,18.9,20.2,21.3,23.7,18.2,13.4,14.4,20,16,12.3,10.2,8.4,12.7,12.6,17.5,18.5,14.6,14.2,16.4,19.2,22.9,24.7,24.2,23.5,23.8,23.6,23.2,22.8,24.9,NA
"26","18","        Machinery","N409RC1",10,4.3,-6.9,1.5,3.7,3.3,3.1,2.6,2.2,5,2.9,2.6,4.9,8.2,10.7,10.2,14.2,15.5,18,24.1,21.1,22.7,24.9,24,25.7,27,24.8,22.6,20.6,18,17.5,19.3,11.5,8,7.7,10.3,12.5,15.3,20.1,21.7,20.6,22.8,25.2,28.7,32.5,32.8,35.3,29.3,28.7,35.2,34.4,34.5,34.6,NA
"27","19","        Computer and electronic products","N501RC1",-2.7,-15.6,-37.7,-60.7,-35,-27.1,-19.5,-15.7,-8.7,-7.6,-8.3,-0.7,1.1,-0.6,1.2,3,11.8,14.8,16.6,19.5,16.1,33.3,35.8,30.7,28.6,24,23.6,22.8,31.5,23.1,25.8,23.9,20.9,27.5,28,29.4,43.9,42.5,49.1,52,31.7,30.7,29.3,39.2,45.7,49.4,46,41.8,41.5,41.8,44.2,47.3,51.7,NA
"28","20","        Electrical equipment, appliances, and components","N410RC1",3.7,1.3,0.4,-1,-1.4,-3.6,-2,-1.1,0.5,1.4,2,2.2,1.8,1.6,-1,-3,-4.7,-4.3,-0.6,2.4,11.9,7.9,11.5,11.5,2.2,-3.4,-5,0.3,0.9,4.6,7.9,4.3,8.8,8.5,8.6,9.9,9.2,11.8,11.3,8.3,6,4.3,3.6,5.3,10.8,10.5,11.5,14.3,11.6,10.7,14.9,15.3,18.8,NA
"29","21","        Motor vehicles, bodies and trailers, and parts","N411RC1",-3.6,-6.5,-4.3,-12.7,-11.3,-2.6,-0.3,2,12.2,8.7,8.2,2.5,4.4,-6.2,-9.6,-8.7,2.3,3.3,-0.9,-3.6,2.6,-13,-3.8,-7.1,-11.7,-8.1,-26.5,-16.3,-24.4,-43.4,-31.1,-59.6,-72.8,-64.9,-44,-35.7,-19.4,-8.7,-1.2,-9.5,-7.3,-3.3,-0.9,10.5,24.6,23.7,19,21.1,17.9,23.7,24.5,24.8,27.1,NA
"30","22","        Other durable goods \3\","N412RC1",13.9,21.8,17.8,2.6,20.6,20,21.4,20.5,16.1,14.8,18,22.3,24.4,33.2,37.9,39.8,52.7,57.3,56.5,60.6,71.6,53.2,77.3,69.7,67.8,61.9,63.7,67.5,45,35.7,47.1,24.5,24.8,30.2,30.7,43.2,45.5,47.6,48.9,50,45,48.5,60.8,65,70.7,69.6,63.7,68.5,69.9,67.4,75.5,68,77.8,NA
"31","23","      Nondurable goods","N401RC1",76.9,92.4,94.9,74,76.5,71.2,67.5,72.8,82,76.6,97.7,114.2,120.5,126.2,136.7,145,175,159.7,167.6,179.7,182.6,227.5,223,189.6,206.5,232.8,177.7,194.9,157.3,167.2,187.7,193.2,149.9,132.3,131.4,134.4,125.3,165.3,181.8,165.5,150.6,166,179.9,165.8,195.4,209.2,192.9,202.9,195.1,181.2,175.6,232.6,197.7,NA
"32","24","        Food and beverage and tobacco products","N402RC1",21.8,31.5,30.6,30.2,27.3,27.8,27.7,24.6,23.4,25.5,24.2,30.4,27.2,24.6,30.1,25.1,30.5,27.8,29.3,30.3,33.1,35.5,35.8,35.7,31.2,34.1,30.6,31,24.3,29.5,36.4,33.8,42,48.9,49.7,45.1,43.2,46,51.9,43.3,41.1,42.8,35.3,43.2,49.1,45.3,46.6,41.1,43.9,50.1,58.7,64,46.7,NA
"33","25","        Petroleum and coal products","N404RC1",31.5,30.4,30.2,17.7,8.5,4.3,2.1,0.4,20.5,18.9,29.5,34.9,42.4,47.3,41.8,69.1,71.6,76.3,81.8,90.1,68.5,86.3,80.5,58.7,71.3,114.4,64.8,64.3,82.1,69.4,102.2,105.7,37.5,3.4,4.7,9.1,18.5,33.6,20.3,26.8,29.7,60,65.6,27.9,41.7,55.2,54.6,65.5,53.1,27.8,26.5,64,51.7,NA
"34","26","        Chemical products","N403RC1",16.5,23.3,24.9,23.3,27.6,28.4,29.5,34.2,30.8,27.8,35.3,35,34,39.7,46.5,36.5,55.3,35.2,35.3,38.9,59.5,77.5,80.3,62.9,76.4,62.1,59.5,79.1,40.5,63.5,49.9,46.6,59.4,61.2,56.3,57.7,43,61.9,82.6,71.3,57.3,45.8,59.8,70,75,77.4,58.5,64.8,66.8,70.3,58,70.1,68.7,NA
"35","27","        Other nondurable goods \4\","N405RC1",7.1,7.2,9.2,2.8,13.2,10.6,8.2,13.6,7.2,4.3,8.6,13.8,16.9,14.6,18.3,14.3,17.6,20.4,21.3,20.4,21.5,28.3,26.5,32.3,27.6,22.1,22.9,20.5,10.4,4.9,-0.8,7.1,11,18.7,20.7,22.5,20.6,23.8,27.1,24.1,22.4,17.5,19.1,24.6,29.7,31.3,33.1,31.6,31.3,33,32.4,34.5,30.6,NA
"36","28","    Wholesale trade","N414RC1",38.7,41.7,52.6,71.5,63.1,61.6,48.1,50.4,48.2,55.7,66.3,67,70.9,79.3,83,65.6,93.7,109.1,86.9,95,101.5,100.4,112.7,109,110.8,113.1,106.9,81.8,61.5,68.1,93.9,138.8,107.8,82.4,80.6,86.5,99.3,118.2,114.7,77.4,71.7,89.8,109.5,106.7,123.6,142.1,134.4,146.4,158.1,157.1,154.8,147.9,152,NA
"37","29","    Retail trade","N415RC1",63.4,67.4,74.3,80.2,83.1,80.4,82.1,89.1,89.4,95.8,89.6,87,102.3,94.6,88.4,87.4,101.6,127.9,116.7,140.6,131.7,123.2,135.2,140.1,124.5,133.5,114.7,103.4,79.8,80.4,79.5,81.7,102.2,107.2,111.6,113.8,121,119.3,118.3,115.7,108.1,103.5,112.8,132.6,153.2,155.8,149.2,170.8,166.2,179.1,175.4,164.2,168.1,NA
"38","30","    Transportation and warehousing","N417RC1",0.7,2.5,1.6,-7.4,-5.5,-9,-7.5,-1.8,0.1,5.7,6,7.4,12,18,10.7,7.5,23.9,27.1,26.8,32.9,42.8,44.8,39.5,37.6,24.9,25.9,24.7,19.9,23,31.8,29.1,31.3,26.9,15.3,17.9,29.5,39.2,50.4,52.1,37.2,26.8,29.4,26.7,38.9,51.8,53.9,53.3,48.5,60.3,61.5,62.8,65.7,73.6,NA
"39","31","    Information","N502RC1",-21.2,-22.2,-26.9,-35.2,-15.8,-7.4,-1.2,12,6.9,15,25.3,17.8,23.6,54.6,72.3,60.3,84,94.9,89.2,96.9,92.6,109.2,118,108,106.6,105,104.2,117.8,108.9,125.4,96.5,37.9,65.8,73.9,82.2,103,93.9,94.9,101.4,90.3,84.1,89.5,82.3,79.4,100.7,111.6,102.5,89.6,109.7,114.6,103.2,105.6,123,NA
"40","32","    Other nonfinancial \5\","N420RC1",146.3,149.7,145,119.7,125.2,140.2,154.6,176,184.7,173.9,172.4,177.4,210.4,212,233.4,243.9,297.9,316.2,320.2,374.4,366.2,337.5,359,349.6,339.5,338.9,315.8,318.6,275.3,307.5,286.4,253.9,263.1,237.1,256.2,292.8,341.5,325.7,317.1,293.7,274.8,325.9,328.1,310.6,358.3,360.4,381.9,387.6,386.8,389.3,391.7,361.1,402.6,NA
"41","33","Rest of the world","B394RC1",160.7,171.7,147.3,201.9,159.5,146.8,157.5,171.3,150.2,160.1,164.3,191.9,213.2,197.2,215.2,194.5,234.1,233,252.5,236.7,246.3,254.7,250.3,273.3,286.6,322.8,376.1,428.1,418.1,418.7,439.5,350.4,354.7,327,376.7,370.4,397.7,394.6,384.6,403.8,406.8,408.7,434.3,437.8,408.6,405,391.4,402.4,386.1,393.1,409.6,423.5,397.5,NA
"42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","1. Consists of finance and insurance and bank and other holding companies.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2. Consists of credit intermediation and related activities; securities, commodity contracts,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","and other financial investments and related activities; insurance carriers and related",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","activities; funds, trusts, and other financial vehicles; and bank and other holding companies.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","3. Consists of wood products; nonmetallic mineral products; primary metals; other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","transportation equipment; furniture and related products; and miscellaneous manufacturing.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","4. Consists of textile mills and textile product mills; apparel; leather and allied products;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","paper products; printing and related support activities; and plastics and rubber products.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","5. Consists of agriculture, forestry, fishing, and hunting; mining; construction; real",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","estate and rental and leasing; professional, scientific, and  technical services;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","administrative and waste management services; educational services; health care and social",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","assistance; arts, entertainment, and recreation; accommodation and food services; and other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","services, except government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Note. Estimates in this table are based on the 2002 North American Industry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
