"","Table 7#6# Capital Consumption Adjustment by Legal Form of Organ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"11","4","Domestic corporate business","A2201C1",7.6,6.5,6,7.9,6.8,2.4,-5.4,-7.8,-7,-8.1,-12,-17.1,-4.5,5,23.3,43.6,64.8,51.1,51.4,48.7,41.2,26,17.1,15.5,20.1,32.6,36,44.2,54.8,60.3,68,50.9,55.4,112.1,96.5,68.2,-143.5,-169.2,-179.9,-60.4,-82.2,-53.3,78.1,-103.8,-131.8
"12","5","    For consistent accounting at historical cost","A1402C1",16.1,17,18.1,21.2,22.1,24.7,27.3,28.4,34.1,38.7,43.1,49.3,75.2,90.5,101.9,116.9,134.9,120.1,118.8,122.2,118.6,106.7,100.8,93.6,96.8,110,120.9,123.6,130.5,127.9,133.1,123.8,128.1,181.4,166.4,154.8,-21.6,-15.6,-9.2,125.9,84.8,106.9,252,78.5,53.7
"13","6","    For current-cost valuation","A1403C1",-8.5,-10.4,-12.2,-13.3,-15.3,-22.3,-32.7,-36.1,-41.1,-46.9,-55.1,-66.3,-79.7,-85.4,-78.6,-73.3,-70.1,-69,-67.4,-73.5,-77.4,-80.7,-83.7,-78.1,-76.8,-77.4,-84.8,-79.4,-75.7,-67.6,-65,-72.9,-72.8,-69.3,-70,-86.6,-121.9,-153.7,-170.7,-186.3,-167,-160.1,-173.9,-182.3,-185.5
"14","7","  Financial","B393RC1",-0.1,-0.2,-0.2,-0.1,0.1,0,-0.5,-0.9,-1.1,-0.8,-1.4,-2.8,-2.4,-3.2,-2,-2.3,-1.2,-1.7,-1.7,-3.5,-5.3,-10.7,-12.7,-15.8,-14.4,-12.7,-8.2,-6.1,2.9,4.6,7.2,5.2,6.7,9.3,-0.2,-13.3,-41.9,-39.8,-40.5,-31.4,-41.2,-38.1,-20.2,-37.3,-43.5
"15","8","    For consistent accounting at historical cost","B1404C1",0,0,0,0.2,0.5,0.6,0.4,0.1,0,0.3,0,-0.9,0,-0.5,0.4,-0.4,0.5,0.1,0.4,-0.7,-2.3,-7.4,-9,-13,-11.6,-10,-4.9,-4.3,3.4,3.5,6.1,5.8,7,9.1,-0.4,-11.5,-36.7,-31.6,-30.9,-20.4,-29.9,-27.2,-3,-19,-24.4
"16","9","    For current-cost valuation","B1405C1",-0.2,-0.2,-0.2,-0.3,-0.3,-0.5,-0.9,-0.9,-1.1,-1.1,-1.4,-1.9,-2.3,-2.7,-2.4,-1.9,-1.7,-1.8,-2.1,-2.7,-3,-3.3,-3.8,-2.8,-2.8,-2.7,-3.2,-1.8,-0.5,1.1,1.1,-0.5,-0.3,0.2,0.2,-1.7,-5.2,-8.2,-9.6,-10.9,-11.3,-10.9,-17.2,-18.3,-19
"17","10","  Nonfinancial","A2203C1",7.8,6.7,6.2,8,6.7,2.4,-4.9,-6.9,-5.9,-7.3,-10.6,-14.2,-2.1,8.2,25.4,45.9,66,52.8,53.1,52.2,46.5,36.7,29.8,31.3,34.5,45.3,44.2,50.3,51.9,55.7,60.8,45.7,48.7,102.8,96.7,81.5,-101.5,-129.4,-139.4,-29.1,-41.1,-15.2,98.3,-66.5,-88.3
"18","11","    For consistent accounting at historical cost","B1406C1",16.1,16.9,18.1,21,21.6,24.1,26.9,28.3,34,38.4,43.1,50.2,75.2,91,101.5,117.3,134.5,120,118.4,123,121,114.1,109.8,106.6,108.5,120,125.8,127.9,127.1,124.4,127,118.1,121.1,172.4,166.9,166.3,15.1,16.1,21.7,146.3,114.7,134,255,97.5,78.2
"19","12","    For current-cost valuation","B1407C1",-8.4,-10.2,-11.9,-13,-14.9,-21.8,-31.8,-35.2,-40,-45.8,-53.7,-64.4,-77.3,-82.8,-76.2,-71.4,-68.5,-67.2,-65.3,-70.8,-74.5,-77.4,-80,-75.3,-73.9,-74.6,-81.6,-77.6,-75.2,-68.7,-66.1,-72.4,-72.4,-69.6,-70.2,-84.8,-116.6,-145.5,-161.1,-175.4,-155.7,-149.2,-156.6,-164,-166.5
"20","13","Domestic noncorporate business","W282RC1",-2.1,-2.5,-3,-2.8,-3.1,-4.6,-6.6,-7,-7.5,-8,-8.2,-9.9,-7.8,-9.4,-0.5,9.3,18.4,22.8,17.2,16.6,16.5,6.1,2.8,5,4.6,0,0.1,5.7,14.3,20.7,30.8,38.6,57.2,71.4,77.4,81.2,44.5,50.5,58.7,122.8,118.4,130.2,172.5,137.7,144.5
"21","14","  Sole proprietorships and partnerships","A2204C1",-1.1,-1.3,-1.7,-1.3,-1.3,-2.3,-3.9,-4,-4,-3.8,-3.2,-4,-1.3,-2.5,6.5,16.4,25.6,30.3,25,24.7,24.9,14.7,11.3,13.4,13.4,9.1,9.6,15.4,24.2,30.8,41.4,49.9,69.3,83.7,90.5,95.9,60.9,68.4,76.7,140,133.9,145.1,188,153.3,161.4
"22","15","    Farm \1\","B044RC1",-0.8,-0.9,-1.1,-1.2,-1.3,-1.8,-2.6,-2.9,-3.3,-3.8,-4.5,-5.6,-6.6,-7.1,-7,-6.7,-6.2,-6.1,-5.9,-5.7,-5.7,-5.7,-5.7,-5.6,-5.5,-5.4,-5.4,-5.3,-5,-4.8,-4.7,-4.7,-4.6,-4.5,-4.5,-4.8,-5.5,-5.9,-6.1,-6.5,-6.4,-5.8,-5.9,-5.8,-5.8
"23","16","    Nonfarm","A2205C1",-0.3,-0.4,-0.7,-0.1,-0.1,-0.5,-1.3,-1.1,-0.7,0,1.2,1.6,5.3,4.6,13.4,23,31.7,36.4,30.9,30.5,30.7,20.3,16.9,19.1,18.9,14.5,15.1,20.7,29.2,35.6,46.1,54.6,74,88.3,95,100.7,66.3,74.3,82.9,146.5,140.3,151,193.8,159.1,167.1
"24","17","      For consistent accounting at historical cost","B1409C1",1.5,1.7,1.8,2.6,3,3.7,4.6,5.3,6.7,8.6,11.3,13.5,19.5,20,27.6,36.6,45.2,50.1,44.7,45.2,46.1,36.3,33.3,34.8,35,31.1,32.7,38.1,46.6,53.2,64.1,74,94.3,108.7,116.2,124.9,96.7,110.4,121.6,186.5,176.7,185.3,229.5,196,205.5
"25","18","      For current-cost valuation","B1410C1",-1.8,-2.1,-2.4,-2.7,-3.1,-4.2,-5.9,-6.4,-7.4,-8.6,-10.1,-11.9,-14.2,-15.4,-14.2,-13.6,-13.4,-13.8,-13.8,-14.7,-15.5,-15.9,-16.3,-15.7,-16.1,-16.6,-17.6,-17.5,-17.5,-17.6,-18,-19.4,-20.3,-20.4,-21.1,-24.2,-30.4,-36.2,-38.7,-40,-36.4,-34.3,-35.6,-36.8,-38.4
"26","19","  Other private business \1\","A2206C1",-1,-1.1,-1.3,-1.5,-1.8,-2.2,-2.7,-3,-3.5,-4.2,-5,-5.9,-6.5,-6.9,-6.9,-7.1,-7.2,-7.5,-7.9,-8.1,-8.4,-8.5,-8.5,-8.5,-8.8,-9.2,-9.5,-9.7,-9.8,-10.1,-10.6,-11.3,-12.1,-12.4,-13.1,-14.6,-16.4,-17.9,-18.1,-17.2,-15.5,-15,-15.5,-15.6,-16.9
"27","20","    Rental income of persons","B050RC1",-1,-1,-1.2,-1.4,-1.7,-2.1,-2.4,-2.7,-3.2,-3.9,-4.6,-5.3,-5.9,-6.3,-6.3,-6.5,-6.6,-6.9,-7.3,-7.5,-7.8,-7.9,-7.8,-7.8,-8.2,-8.5,-8.8,-9,-9.2,-9.5,-10,-10.7,-11.5,-11.8,-12.6,-14,-15.7,-17.2,-17.2,-16.3,-14.6,-14.1,-14,-14.1,-15.4
"28","21","      Nonfarm tenant-occupied housing","B2611C1",-0.9,-1,-1.1,-1.3,-1.5,-1.9,-2.3,-2.5,-3,-3.6,-4.3,-5,-5.6,-5.9,-6,-6.1,-6.2,-6.5,-6.9,-7.1,-7.3,-7.4,-7.4,-7.3,-7.7,-8,-8.3,-8.5,-8.7,-8.9,-9.4,-10.1,-10.8,-11.1,-11.9,-13.2,-14.8,-16.2,-16.2,-15.2,-13.5,-13.1,-13,-13.1,-14.3
"29","22","      Farm tenant-occupied housing","W283RC1",0,0,0,0,0,0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
"30","23","      Farms owned by nonoperator landlords","B2614C1",0,0,0,0,0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
"31","24","      Nonfarm nonresidential properties","B2615C1",0,0,0,0,0,0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.4,-0.4,-0.5,-0.6,-0.6,-0.6,-0.5,-0.6,-0.6,-0.6
"32","25","    Proprietors' income","B1411C1",-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,-0.3,-0.3,-0.4,-0.4,-0.5,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.7,-0.8,-0.8,-0.9,-0.9,-0.9,-1.5,-1.5,-1.5
"33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","1. Except for farm proprietorships and partnerships (line 15) and other private",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","business (line 19), the capital consumption adjustment is calculated in two parts.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","The adjustment for consistent accounting at historical cost converts depreciation,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","based on the service lives and depreciation schedules employed by firms when filing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","their income tax returns, to consistent service lives and empirically based depreciation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","schedules.  The adjustment for current-cost valuation converts the historical-cost series",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","with consistent accounting to a series valued at current cost.  For farm proprietorships",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","and partnerships and for other private business, the historical-cost series is based on",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","consistent service lives and empirically based depreciation schedules, so the adjustment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","reflects only a conversion to current-cost valuation.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
