"","Table 7#25# Transactions of Defined Contribution Pension Plans  ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33"
"24","17","  Imputed income payments on assets to persons","Y902RC1",16.9,20.3,22.7,26.5,29,34.8,39.8,43.5,45,45.5,49.2,53.9,59.1,62.6,63.7,67.3,70.4,69.2,66.6,62.1,67.6,76.1,89.6,104.7,114.8,107.6,105.2,105.4,109.6,117.9
"25","18","    Interest","Y903RC1",11.3,14,16.3,19.1,21.3,25.6,29.3,31.7,31.9,30.8,32.3,34.9,38.3,40.3,41,43.7,46.6,44.4,39.8,33.1,33.3,35.7,41,45.3,46.3,43,42.9,42.7,39.2,38.7
"26","19","    Dividends","Y904RC1",5.5,6.3,6.5,7.4,7.7,9.2,10.5,11.8,13.1,14.7,16.9,19,20.8,22.2,22.7,23.6,23.8,24.8,26.7,29,34.3,40.4,48.6,59.4,68.5,64.6,62.3,62.7,70.4,79.2
"27","20","  Benefit payments and withdrawals","Y353RC1",34.1,49.1,64.5,58.2,60.6,68.2,66.4,67.8,79.1,82.2,87.2,105.4,125.6,147,176.2,213,234.6,201.3,197.9,185.9,216.2,243.9,291.9,331.8,300.7,274.5,325.4,339.6,351.5,361.7
"28","21","  Net change in assets from current transactions","Y905RC1",31.3,32.2,32.7,50.6,51.8,60.2,70.5,78.6,78.9,86.2,89.6,87.6,88.4,87.7,74.6,65.7,63,103.1,113.1,125.9,121.9,126.2,124.9,127.3,184.1,189.6,152.7,155.1,159.2,174
"29","22","Cash flow","Y350RC1",31.3,32.2,32.7,50.6,51.8,60.2,70.5,78.6,78.9,86.2,89.6,87.6,88.4,87.7,74.6,65.7,63,103.1,113.1,125.9,121.9,126.2,124.9,127.3,184.1,189.6,152.7,155.1,159.2,174
"30","23","  Actual employer and household contributions (5+9)","Y351RC1",48.9,61.5,75,82.9,84,94.5,98.1,104,114.3,124.4,129.4,140.7,156.6,174.5,190.3,213.5,229.4,237.3,246.4,251.7,272.5,296.4,329.7,357.1,372.8,360,377.4,394.1,405.5,423.2
"31","24","  Monetary income receipts on assets (13+14)","Y345RC1",16.9,20.3,22.7,26.5,29,34.8,39.8,43.5,45,45.5,49.2,53.9,59.1,62.6,63.7,67.3,70.4,69.2,66.6,62.1,67.6,76.1,89.6,104.7,114.8,107.6,105.2,105.4,109.6,117.9
"32","25","  Less: Benefit payments and withdrawals","Y353RC1",34.1,49.1,64.5,58.2,60.6,68.2,66.4,67.8,79.1,82.2,87.2,105.4,125.6,147,176.2,213,234.6,201.3,197.9,185.9,216.2,243.9,291.9,331.8,300.7,274.5,325.4,339.6,351.5,361.7
"33","26","  Less: Administrative expenses","Y349RC1",0.4,0.5,0.5,0.6,0.7,1,0.9,1.2,1.3,1.6,1.7,1.5,1.7,2.4,3.1,2.1,2.1,2,2,2,2.1,2.3,2.5,2.8,2.8,3.4,4.5,4.8,4.5,5.4
"34",NA,"Effect of participation in defined contribution plans on personal income, saving, and wealth:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","27","Effect on personal income (1-9-10 or 15-9-10)","Y355RC1",37.3,47,59.5,67.8,69.2,79.8,85.8,91.4,94.2,98.9,104.1,111.5,121.1,131.5,139.8,146.9,157,158.5,159.3,157.2,168.7,186.7,210.7,235.4,257.5,240.7,246.6,251,259.1,272.7
"36","28","Less: Effect on personal consumption expenditures (2)","Y349RC1",0.4,0.5,0.5,0.6,0.7,1,0.9,1.2,1.3,1.6,1.7,1.5,1.7,2.4,3.1,2.1,2.1,2,2,2,2.1,2.3,2.5,2.8,2.8,3.4,4.5,4.8,4.5,5.4
"37","29","Equals: Effect on personal saving","Y357RC1",36.9,46.6,59,67.2,68.5,78.8,84.9,90.2,92.9,97.3,102.3,110,119.4,129.1,136.7,144.8,154.9,156.5,157.3,155.2,166.6,184.4,208.2,232.6,254.6,237.3,242.1,246.2,254.7,267.3
"38","30","Plus: Holding gains and other changes in assets","Y906RC1",26.9,121.7,25.7,48.6,13.9,79.4,-28.4,101.7,23.7,73.4,1,235.7,162,291.6,294.8,280,-73.6,-380.5,-316.9,451.7,198.4,258.7,250,147,-1200.6,528,371.6,-155.6,298.3,750.3
"39","31","Equals: Change in personal wealth","Y907RC1",63.8,168.2,84.7,115.8,82.4,158.2,56.4,191.9,116.6,170.7,103.3,345.7,281.5,420.7,431.4,424.8,81.3,-224,-159.6,606.9,365,443,458.2,379.6,-946,765.3,613.7,90.7,552.9,1017.6
"40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","1. Included in personal consumption expenditures as part of financial services furnished without",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","payment; the value is equal to administrative expenses (line 16).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2. Imputed income payments received by persons from the pension plans (line 17) are reinvested",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","as household pension contribution supplements.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","Note. In the NIPAs, pension plans are classified as financial corporations that receive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","contributions and property income on behalf of plan participants but do not have saving or net worth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","of their own.  Tables 7.20, 7.21, 7.22, 7.23, 7.24, and 7.25 show the transactions of the pension",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","subsectors.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
