"","Table 1#15# Price, Costs, and Profit Per Unit of Real Gross Valu","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"11","4","  Consumption of fixed capital","A456RD3",0.026,0.029,0.031,0.031,0.033,0.039,0.047,0.047,0.049,0.052,0.058,0.068,0.075,0.085,0.085,0.082,0.084,0.087,0.087,0.088,0.091,0.095,0.101,0.101,0.103,0.103,0.106,0.107,0.107,0.108,0.11,0.113,0.122,0.124,0.124,0.123,0.128,0.132,0.139,0.148,0.159,0.151,0.154,0.153,0.155
"12","5","  Taxes on production and imports less subsidies plus business current transfer payments (net)","W330RD3",0.026,0.029,0.03,0.03,0.031,0.033,0.037,0.037,0.038,0.039,0.04,0.045,0.052,0.054,0.057,0.058,0.06,0.063,0.064,0.064,0.065,0.068,0.074,0.077,0.079,0.082,0.079,0.078,0.077,0.074,0.076,0.076,0.078,0.081,0.084,0.086,0.091,0.092,0.093,0.093,0.099,0.099,0.103,0.101,0.101
"13","6","  Net interest and miscellaneous payments","A471RD3",0.007,0.009,0.009,0.009,0.01,0.013,0.014,0.012,0.012,0.013,0.015,0.02,0.024,0.028,0.026,0.027,0.027,0.029,0.03,0.033,0.038,0.04,0.037,0.03,0.027,0.025,0.026,0.023,0.023,0.025,0.026,0.03,0.034,0.031,0.026,0.023,0.024,0.025,0.033,0.042,0.041,0.04,0.039,0.039,0.037
"14","7","Corporate profits with IVA and CCAdj (unit profits from current production)","A463RD3",0.039,0.032,0.036,0.039,0.041,0.037,0.045,0.053,0.058,0.061,0.059,0.053,0.062,0.058,0.067,0.079,0.076,0.063,0.067,0.072,0.066,0.062,0.064,0.066,0.077,0.091,0.097,0.104,0.106,0.095,0.088,0.073,0.06,0.072,0.088,0.107,0.122,0.137,0.122,0.11,0.105,0.136,0.14,0.151,0.153
"15","8","  Taxes on corporate income","A465RD3",0.016,0.014,0.014,0.015,0.017,0.018,0.018,0.021,0.023,0.024,0.024,0.023,0.022,0.016,0.02,0.022,0.02,0.021,0.024,0.025,0.024,0.023,0.021,0.022,0.024,0.028,0.028,0.029,0.029,0.027,0.028,0.026,0.017,0.015,0.02,0.027,0.038,0.042,0.039,0.031,0.026,0.03,0.031,0.035,0.042
"16","9","  Profits after tax with IVA and CCAdj","A466RD3",0.022,0.018,0.022,0.024,0.024,0.019,0.027,0.032,0.035,0.038,0.035,0.03,0.041,0.042,0.048,0.057,0.056,0.042,0.043,0.047,0.042,0.039,0.043,0.044,0.052,0.063,0.068,0.075,0.077,0.068,0.06,0.047,0.042,0.057,0.068,0.08,0.084,0.096,0.083,0.079,0.079,0.105,0.109,0.116,0.112
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","1. The implicit price deflator for gross value added of nonfinancial corporate business",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","divided by 100. Estimates for nonfinancial corporate business for 2000 and earlier periods",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","are based on the 1987 Standard Industrial Classification (SIC); later estimates for these",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","industries are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Note. The current-dollar gross value added is deflated using the gross value",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","added chain-type price index for nonfinancial industries from the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","GDP-by-industry accounts.  For periods when this price index is not",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","available, the chain-type price index for GDP goods and structures is used.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","IVA Inventory valuation adjustment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","CCAdj Capital consumption adjustment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
