"","Table 4#2#5# Exports and Imports of Goods and Services by Type o","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"11","4","  Industrial supplies and materials","A639RC1",11.7,13.8,12.6,13.9,19.7,29.9,29.3,31.6,33.2,38.4,53.3,68,65.7,61.8,57.1,61.9,59.4,59,67.4,84.2,95.4,101.9,106.2,105.2,102.9,115.4,141,141.3,153,143.3,145.7,171.1,159.5,157.3,173.3,206.3,236.8,279.1,316.3,386.9,293.5,388.6,485.3,482.4,492.1
"12","5","    Durable goods","B686RC1",4.7,5.6,4.3,4.7,7.4,10.3,9.7,10.3,10.3,13.1,18.6,24.8,20.8,17.6,17,17.7,16.9,17.7,21,28.8,33.4,35.8,37.2,36.9,37.7,41.4,49.9,51.1,55.3,53.9,54.3,63.6,57.1,53.5,57.3,70.1,82.2,101.3,113.9,128.6,96,125.1,143.4,140.3,136.9
"13","6","    Nondurable goods","B687RC1",7,8.2,8.4,9.2,12.4,19.6,19.6,21.4,22.9,25.4,34.7,43.2,44.9,44.2,40.2,44.2,42.5,41.3,46.4,55.4,62,66.2,69.1,68.3,65.3,74,91,90.2,97.7,89.3,91.5,107.5,102.4,103.8,116,136.2,154.6,177.8,202.4,258.3,197.6,263.4,341.8,342.1,355.1
"14","7","  Capital goods, except automotive","A640RC1",12.4,14.7,15.4,16.9,22,30.9,36.6,39.1,39.8,47.5,60.2,76.3,84.2,76.5,71.7,77,79.3,82.8,92.7,119.1,136.9,153,166.6,176.4,182.7,205.7,234.4,254,295.8,299.8,311.2,357,321.7,290.4,293.7,327.5,358.4,404,433,457.7,391.5,447.8,494.2,527.5,534.6
"15","8","    Civilian aircraft, engines, and parts","B688RC1",1.3,1.5,1.9,1.7,2.3,3.4,3.2,3.2,2.8,7.3,10.6,14.1,13.9,10.1,11.1,10.2,13.5,15.4,16.4,21.2,26.9,32.2,36.6,37.7,32.8,31.5,26.1,30.8,41.4,53.5,52.9,48.1,52.6,50.4,46.7,46.1,55.9,64.5,73,74,74.8,71.9,80.4,94.3,105
"16","9","    Computers, peripherals, and parts","B850RC1",0.8,1.2,1.3,1.3,1.7,2.2,2.2,2.6,3.3,4.3,5.7,7.8,8.9,9.4,11.1,14.2,14.7,15.7,18.8,24,24.1,25.9,27.3,28.8,29.3,33.3,39.7,43.7,49.4,45.2,46.7,55.5,47.6,38.6,39.9,42.8,45.5,47.6,45.5,43.9,37.7,43.8,48.5,49.3,48.1
"17","10","    Other","B689RC1",10.4,11.9,12.2,13.9,18,25.3,31.2,33.3,33.8,35.9,43.9,54.4,61.4,57.1,49.5,52.6,51.1,51.7,57.5,73.9,85.9,94.9,102.7,109.9,120.6,140.9,168.6,179.4,205.1,201,211.6,253.4,221.6,201.5,207,238.7,257,291.9,314.5,339.8,279,332.1,365.4,383.9,381.5
"18","11","  Automotive vehicles, engines, and parts","B641RC1",3.9,3.9,4.7,5.5,7,8.8,10.8,12.2,13.5,15.2,17.9,17.4,19.7,17.2,18.5,22.4,24.9,25.1,27.6,33.4,35.1,36.2,39.9,46.9,51.6,57.5,61.4,64.4,73.4,72.5,75.3,80.4,75.4,78.9,80.6,89.2,98.4,107.3,121.3,121.5,81.7,112,133,146.2,152.6
"19","12","  Consumer goods, except food and automotive","A642RC1",2.6,2.8,2.9,3.6,4.8,6.4,6.6,8,8.9,11.4,14,17.8,17.7,16.1,14.9,15.1,14.6,16.7,20.3,27,35.9,43.5,46.6,51.2,54.5,59.7,64.2,69.3,77,79.4,80.9,89.3,88.3,84.3,89.9,103.2,115.2,129,145.9,161.2,149.3,164.9,174.7,181,188.4
"20","13","    Durable goods","B690RC1",1.2,1.2,1.3,1.7,2.4,3.3,3.1,4,4.2,5.9,7.3,9.8,9,7.8,6.8,6.7,6.4,7.6,9.5,13.3,19.5,23.6,24.3,26.4,28.2,30.3,32.5,35,39.5,40.8,41.8,46.7,46.4,43.9,46.1,53.9,62.1,71.1,82.6,90.6,75.3,87.4,96.9,98.7,104
"21","14","    Nondurable goods","B691RC1",1.4,1.6,1.6,1.9,2.4,3.1,3.4,4.1,4.8,5.5,6.7,8,8.7,8.4,8.1,8.3,8.2,9.1,10.8,13.6,16.4,19.9,22.2,24.9,26.3,29.4,31.6,34.3,37.5,38.6,39.1,42.6,41.9,40.4,43.8,49.3,53.2,58,63.2,70.6,74,77.5,77.8,82.3,84.4
"22","15","  Other \2\","A643RC1",3.4,4,4.4,5.2,7.1,8.9,9.9,10.7,13.2,11.8,11.4,14.7,19.1,18.7,19.8,22.7,24.7,24.3,32.3,34.6,35.1,33.5,35.1,35.4,35.5,37.7,40.7,43.9,48.6,50.8,52.7,51.6,49.5,52.6,48.9,51.6,58.8,64.2,65.7,63.3,55.2,58.6,53.4,57.2,59.1
"23","16","Exports of services \1\","A646RC1",13.2,14.7,16.8,18.3,19.5,23.2,26.2,28,30.9,37,42.9,50.3,60,60.7,62.9,71.1,75.7,89.6,98.4,112.5,129.5,148.6,164.8,177.7,187.1,202.6,220.4,238.8,253.9,260.4,280.3,299.6,282.9,289.3,298.9,347.1,382.3,426.7,498.2,543.1,522.6,572.7,639.5,667,699.4
"24","17","  Transport","Y800RC1",3.1,3.7,3.9,4.3,5.4,6.8,6.9,8,8.5,9.7,12.1,14.2,15.7,15.5,16.2,17.9,19.1,21,24,28.3,31.2,37.3,38.5,38.1,38.5,40.8,45,46.5,47.9,45.7,43.2,45.8,41.7,41.9,41.4,47.7,52.6,57.5,65.8,75,62.2,71.7,79.8,83.6,87.3
"25","18","  Travel (for all purposes including education)","Y801RC1",2,2.3,2.5,2.8,3.4,4,4.7,5.7,6.2,7.2,8.4,10.6,15.6,15.5,14.5,21.3,22.4,25.5,29,35.2,43,50.9,56.7,64,67.9,69.4,74.9,81.8,86.2,85.1,92.3,100.2,86.7,81.9,80.3,92.4,101.5,105.1,119,133.8,119.9,137,150.9,161.2,173.1
"26","19","  Charges for the use of intellectual property n.e.c.","B684RC1",2,2.3,2.5,2.8,3.2,3.9,4.4,4.5,5,6,6.3,7.2,7.4,5.6,5.8,6.2,6.7,8.1,10.2,12.1,13.8,16.6,17.8,20.8,21.7,26.7,30.3,32.5,33.2,35.6,47.7,51.8,49.5,53.9,56.8,67.1,74.4,83.5,97.8,102.1,98.4,107.5,123.3,125.5,129.2
"27","20","  Other business services \3\","Y802RC1",0.9,1,1.3,1.5,1.7,3,3.7,4.5,4.9,6.2,7.3,8.6,10.5,13.8,14.1,14.5,14.8,23.3,24.2,25.7,30.3,32.7,39.9,41.1,43.5,49.9,53.6,61.3,71.2,78.1,79.6,83.1,87.9,95.1,102.1,118.4,128.5,150.8,183.9,202.3,210.9,226.7,249.4,260.3,273.3
"28","21","  Government goods and services n.e.c.","Y803RC1",4,4.1,5.2,5.4,3.9,3.1,3.8,2.6,3.4,4.3,4.3,4.8,5.1,5.6,6.4,5,4.4,3.7,3.6,3.7,3.7,3.9,4.8,5.3,5.8,4.8,5.6,6.2,4.9,6,7.8,8.5,7.7,7.2,8.5,11.3,14.5,18.6,20.4,18,19.8,18.5,22.8,23.1,23.6
"29","22","  Other","B980RC1",1.1,1.2,1.3,1.5,1.8,2.3,2.7,2.8,3,3.6,4.5,5,5.7,4.7,6,6.2,8.4,8,7.4,7.6,7.6,7.1,7.2,8.3,9.7,11,11,10.4,10.5,10,9.6,10.2,9.3,9.3,9.7,10.2,10.8,11.2,11.3,11.9,11.4,11.4,13.3,13.3,12.9
"30","23","    Imports of goods and services","B021RC1",50.5,55.8,62.3,74.2,91.2,127.5,122.7,151.1,182.4,212.3,252.7,293.8,317.8,303.2,328.6,405.1,417.2,452.9,508.7,554,591,629.7,623.5,667.8,720,813.4,902.6,964,1055.8,1115.7,1248.6,1472.6,1395.4,1429,1543.9,1800.7,2030.1,2247.3,2383.2,2565,1983.2,2365,2686.4,2762.5,2770.4
"31","24","Imports of goods \1\","A255RC1",36.8,40.9,46.6,56.9,71.8,104.5,99,124.6,152.6,177.4,212.8,248.6,267.8,250.5,272.7,336.3,343.3,370,414.8,452.1,484.8,508.1,500.7,544.9,592.8,676.8,757.4,807.4,885.7,930.8,1051.2,1251.5,1176.7,1199.3,1296.2,1511.6,1719.4,1899.7,2003.8,2149.4,1590.3,1949.8,2244.7,2306,2302.3
"32","25","  Foods, feeds, and beverages","B647RC1",5.2,6.1,6.4,7.3,9.1,10.6,9.6,11.5,14,15.8,18,18.6,18.6,17.5,18.8,21.9,21.8,24.4,24.8,24.9,24.9,26.4,26.2,27.6,27.9,31,33.2,35.7,39.7,41.3,44.1,46.5,47.2,50.3,56.5,63,69.1,76.1,83,90.4,82.9,92.5,108.3,111.1,116
"33","26","  Industrial supplies and materials, except petroleum and products","A649RC1",11.7,12.2,13.6,16,19.2,27,23.6,28.5,33.4,39.3,45,47.3,52,45.4,51.1,62.6,59.2,62.5,66.1,76.6,78.8,78.2,75.7,82.4,88.7,105,119.6,124.6,134.7,142.2,149.8,175.1,167.4,161.4,177.3,228.2,268,293.5,297.9,318.7,196.6,249.4,292.7,288.9,291.2
"34","27","    Durable goods","A820RC1",7.1,7.5,8.3,9.9,12.1,17.1,14.1,16.3,19.9,23.6,26.7,26.5,28.4,22.3,26.3,32.8,30.5,33.4,34,39.6,40.2,38.5,35.6,39.2,43.1,53.5,59.7,63,69.1,76,80.1,90.1,82,83.2,86.1,121.5,137.1,164.4,159.9,161.5,95.5,125.2,149.6,150.4,150.9
"35","28","    Nondurable goods","B696RC1",4.5,4.8,5.3,6.1,7,9.9,9.5,12.2,13.5,15.7,18.3,20.8,23.7,23.1,24.8,29.8,28.7,29.1,32.1,37,38.6,39.7,40,43.2,45.6,51.5,59.9,61.6,65.6,66.3,69.7,85,85.4,78.2,91.3,106.7,130.9,129.2,138,157.2,101.1,124.3,143.1,138.4,140.3
"36","29","  Petroleum and products","B648RC1",2.6,2.9,3.7,4.7,8.4,26.6,27,34.6,45,42.6,60.4,79.5,78.4,62,55.1,58.1,51.4,34.3,42.9,39.6,50.9,62.3,51.7,51.6,51.5,51.3,56,72.7,71.8,50.9,72.1,126.1,109.4,109.3,140.4,189.9,263.2,316.7,346.7,476.1,267.7,353.6,462.1,434.3,387.6
"37","30","  Capital goods, except automotive","A650RC1",3.4,4,4.3,5.9,8.3,9.8,10.2,12.3,14,19.3,24.6,31.6,37.1,38.4,43.7,60.4,61.3,72,85.1,102.2,112.3,116.4,121.1,134.8,153.2,185,222.1,228.4,253.6,269.8,296.1,347.7,299.2,284.9,297.6,346.1,382.8,422.6,449.1,458.7,374.1,450.4,513.4,551.8,557.8
"38","31","    Civilian aircraft, engines, and parts","B932RC1",0.2,0.2,0.2,0.5,0.6,0.6,0.5,0.4,0.6,0.8,1.4,3.1,3.9,3.5,3.2,3.7,5.3,6.1,6.6,7.9,9.4,10.5,11.7,12.6,11.3,11.3,10.7,12.7,16.6,21.8,23.8,26.4,31.4,25.5,24.1,24.3,25.8,28.5,34.5,35.5,30.7,31.3,35.5,40.1,46.9
"39","32","    Computers, peripherals, and parts","B852RC1",NA,NA,NA,0.3,0.4,0.4,0.4,0.6,0.7,1,1.2,1.5,1.9,2.7,5.5,8.3,8.4,11,14.8,18.4,21.5,22.9,26,31.7,38,46.2,56.3,61.5,70.2,72.5,81.5,89.8,74.1,75.2,76.6,88.8,93.5,101.6,105.5,101.2,94.2,117.3,119.7,122.3,121.2
"40","33","    Other","B853RC1",3.1,3.6,3.9,5.2,7.3,8.8,9.2,11.3,12.7,17.5,22,27,31.3,32.2,35,48.4,47.6,54.9,63.7,76,81.4,83,83.4,90.5,103.8,127.6,155.2,154.2,166.8,175.5,190.8,231.5,193.7,184.2,196.9,233,263.5,292.5,309.2,322,249.2,301.9,358.2,389.4,389.7
"41","34","  Automotive vehicles, engines, and parts","B651RC1",5.1,5.7,7.6,9,10.7,12.4,12.1,16.8,19.4,25,26.6,28.3,31,34.3,43,56.5,64.9,78.1,85.2,87.9,87.4,88.2,85.5,91.5,102.1,118.1,123.7,128.7,139.4,148.6,178.2,195,188.7,202.8,209.2,227.3,238.7,256,258.5,233.2,159.2,225.6,255.2,298.5,309.6
"42","35","  Consumer goods, except food and automotive","A652RC1",6.5,7.4,8.4,11.1,12.9,14.4,13.2,17.2,21.8,29.4,31.3,34.3,38.4,39.7,47.3,61.1,66.3,79.4,88.8,96.4,103.6,105,107.7,122.4,133.7,145.9,159.7,172.5,195.2,218.5,243.7,284.6,287.1,311.3,338.4,378.1,412.7,447.6,479.8,485.7,429.9,485.1,515.9,518.8,533.9
"43","36","    Durable goods","B697RC1",4,4.4,5,6.9,8.1,9.2,7.7,9.6,13.4,18,19.1,21.1,23.4,23.4,27.4,34.9,38.3,45.6,49,52.8,57,55.7,56.9,63.9,70.2,77.2,83.7,90.9,100.8,113.6,127.8,151.9,148.9,163.7,175.1,202.2,224.6,244.7,264.3,266.3,225,259.2,271.9,276.6,289.2
"44","37","    Nondurable goods","B698RC1",2.5,3,3.3,4.2,4.8,5.2,5.5,7.6,8.4,11.3,12.2,13.2,15,16.2,19.8,26.2,28,33.7,39.8,43.6,46.6,49.3,50.8,58.5,63.5,68.7,76,81.6,94.4,104.9,115.8,132.7,138.1,147.7,163.3,175.9,188.1,203,215.5,219.4,204.8,226,244,242.2,244.7
"45","38","  Other","A653RC1",2.3,2.5,2.7,3,3.3,3.7,3.3,3.8,5.1,6,6.8,9.1,12.3,13.3,13.6,15.8,18.3,19.5,21.8,24.3,26.9,31.7,32.9,34.6,35.8,40.6,43.1,44.7,51.2,59.4,67.2,76.4,77.7,79.3,76.7,78.9,84.9,87.2,88.8,86.5,80,93.1,97.1,102.6,106.1
"46","39","Imports of services \1\","B656RC1",13.7,14.9,15.8,17.3,19.3,22.9,23.7,26.5,29.8,34.8,39.9,45.3,49.9,52.6,56,68.8,73.9,82.9,93.9,101.9,106.2,121.7,122.8,122.9,127.2,136.6,145.1,156.5,170.1,184.9,197.4,221.2,218.7,229.6,247.7,289.1,310.7,347.6,379.4,415.6,392.9,415.2,441.6,456.4,468.1
"47","40","  Transport","Y804RC1",3.5,4.1,4.4,5.1,6.5,8,8,9.4,10.7,12,14.1,15.4,17,16.5,18.2,20.6,22.1,24.3,26.3,28.6,30.4,35.5,35,34.4,35.9,39.1,41.7,43.2,47.1,50.3,49.6,57.6,53.8,51.5,57.9,69.2,75.6,78,79.3,84,64.1,74.6,81.4,85,90.8
"48","41","  Travel (for all purposes including education)","Y805RC1",3.4,4,4.4,5,5.5,6,6.4,6.9,7.5,8.5,9.4,10.4,11.8,12.8,13.6,23.4,25.1,26.5,29.9,32.8,34.2,38.2,36.2,39.6,41.9,45.1,46.4,49.7,53.8,58.5,59.6,65.8,60.7,59.9,61.9,74,80,84.2,89.2,92.5,81.4,86.6,89.7,100.3,104.7
"49","42","  Charges for the use of intellectual property n.e.c.","B908RC1",0.2,0.2,0.2,0.3,0.4,0.5,0.6,0.6,0.6,0.8,1,0.9,0.8,0.8,0.9,1.2,1.2,1.4,1.9,2.6,2.5,3.1,4,5.2,5,5.9,6.9,7.8,9.2,11.2,13.3,16.6,16.7,19.5,19.3,23.7,25.6,25,26.5,29.6,31.3,32.6,36.1,39.5,39
"50","43","  Other business services \3\","Y806RC1",0.6,0.6,0.7,0.8,0.9,1.9,2.3,2.9,3.2,3.9,4.6,5.1,6,7,6.8,7.7,8.8,13.3,16.7,17.8,19.2,22.4,25.9,24.3,26.6,30.3,33.7,38.1,41.4,45.6,56.2,61.6,66.9,74.1,79.6,89.9,95.8,126.6,149.3,174,178.5,183.6,197.3,197.7,202.3
"51","44","  Government goods and services n.e.c.","Y807RC1",5.4,5.4,5.4,5.4,5.3,5.8,5.6,5.8,6.8,8.5,9.5,12.1,12.9,13.9,14.7,14,14.8,15.4,16.8,17.5,17.2,19.4,18.5,16.1,14.3,12.8,12.7,13.7,14.5,15,14.2,14.5,15.3,19.4,23.6,26.3,27.5,27.4,28.3,28.9,31.5,32,31.3,27.9,25.3
"52","45","  Other","B910RC1",0.5,0.6,0.6,0.7,0.7,0.8,0.9,0.9,1,1.2,1.3,1.4,1.5,1.6,1.7,1.9,1.9,2,2.3,2.6,2.8,2.9,3.1,3.3,3.4,3.6,3.7,4,4.2,4.3,4.5,5,5.2,5.3,5.5,6,6.3,6.4,6.8,6.6,6.1,5.9,5.9,6.1,6
"53",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","46","  Exports of durable goods","A332RC1",23.9,27.4,27.9,31.4,42.3,57.7,65.2,70.9,74.4,87.5,109.6,135.7,143.2,128.5,123.8,135.2,139.9,145.3,166.9,211.9,242.5,265.3,285.6,304.2,317.9,353.8,398.6,426.4,488.4,492.4,508.7,573.4,525.3,492.8,501.8,565.7,629.8,715,782.9,829.2,671.6,801.4,894,940.9,957.3
"55","47","  Exports of nondurable goods","A339RC1",14.8,17.7,18.3,21.2,33.5,45.8,47.3,50.6,54,62.4,77.6,94.8,102,94.1,90.3,96.1,87.6,86.1,98.6,120.1,132.2,138,144.6,151.1,149.9,164.6,193.8,202.4,211.5,200.2,203,223.9,218.6,220.4,239.6,268.7,296.8,334.6,383.5,469.6,393.5,478.2,572.9,586.2,605.5
"56","48","  Exports of agricultural goods \4\","B181RC1",6.1,7.4,7.8,9.5,18,22.4,22.2,23.4,24.3,29.9,35.5,42,44.1,37.3,37.1,38.4,29.6,27.2,29.5,38.3,41.1,40.2,40.1,44.1,43.6,47.1,57.2,61.5,58.5,53.2,49.7,52.8,54.9,54.5,60.9,62.9,64.9,72.9,92.1,118,101,119,140,145,148.3
"57","49","  Exports of nonagricultural goods","A182RC1",32.6,37.7,38.4,43.1,57.8,81.1,90.2,98.1,104.1,120,151.8,188.4,201.1,185.3,176.9,192.9,197.9,204.3,236,293.8,333.7,363,390,411.2,424.1,471.3,535.2,567.3,641.4,639.4,662.1,744.5,688.9,658.6,680.5,771.4,861.7,976.7,1074.3,1180.8,964.1,1160.6,1326.8,1382.2,1414.6
"58","50","  Imports of durable goods","A333RC1",20.8,22.8,26.6,33.3,40.8,50.3,45.6,56.8,69.2,89,100.4,111.9,126,125.1,147.3,192.4,204.2,238.8,264.2,294.8,310.3,314.5,315.5,346.7,386.4,454,510.8,533.4,588.5,637.7,715.8,822.9,757.7,774.2,806.3,936.5,1025.7,1131.2,1176.2,1163,893.8,1106.9,1238.7,1328.7,1360.5
"59","51","  Imports of nondurable goods","A340RC1",16.1,18.1,19.9,23.6,31,54.2,53.4,67.8,83.4,88.4,112.3,136.6,141.8,125.4,125.4,143.9,139.1,131.2,150.6,157.3,174.5,193.5,185.2,198.2,206.4,222.8,246.7,274.1,297.1,293,335.4,428.6,419,425.1,489.9,575,693.7,768.5,827.5,986.4,696.5,842.9,1006,977.4,941.7
"60","52","  Imports of nonpetroleum goods","A187RC1",34.2,37.9,42.9,52.3,63.4,77.9,72,90.1,107.6,134.9,152.4,169.1,189.4,188.6,217.6,278.3,291.9,335.7,371.8,412.5,433.9,445.8,449,493.4,541.3,625.5,701.4,734.7,813.9,879.8,979.1,1125.3,1067.3,1090,1155.8,1321.6,1456.2,1583,1657.1,1673.3,1322.6,1596.2,1782.6,1871.7,1914.6
"61",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","n.e.c. Not elsewhere classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","1. Exports and imports of certain goods, primarily military equipment purchased and sold by the federal government, are included ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","in services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","Beginning with 1986, repairs and alterations of equipment are reclassified from goods to services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","2. Includes net exports of goods under merchanting, beginning in 1999, reclassified from services to goods.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","3. Includes maintenance and repair services, insurance services, financial services, telecommunication, computer and information ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","services and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","other other business services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","4. Includes parts of foods, feeds, and beverages, of nondurable industrial supplies and materials, and of nondurable ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","nonautomotive consumer goods.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
