"","Table 2#4#3# Real Personal Consumption Expenditures by Type of P","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46"
"16","9","      Furniture and furnishings (parts of 31 and 32)","DFFFRA3",21.187,20.776,21.497,23.776,26.309,26.145,24.909,26.604,29.237,30.718,31.977,30.055,29.128,27.382,30.556,34.22,36.045,39.669,42.315,43.319,45.17,43.581,42.006,42.585,44.75,47.517,49.642,52.258,55.58,59.966,66.407,73.052,76.152,81.271,85.547,93.028,100,105.358,107.886,102.669,93.247,100.51,106.455
"17","10","      Household appliances (part of 33)","DAPPRA3",24.67,25.664,27.528,31.015,34.076,33.856,31.212,32.156,34.315,34.906,36.025,35.004,33.993,31.324,33.682,36.78,40.564,43.691,44.462,46.229,48.602,48.515,48.208,50.665,52.42,53.054,55.026,55.585,55.297,60.454,68.255,74.321,78.493,83.47,87.9,96.874,100,100.547,97.384,94.099,85.863,91.278,95.253
"18","11","      Glassware, tableware, and household utensils (34)","DUTERA3",20.878,20.563,20.949,21.928,23.958,23.448,22.031,23.529,25.391,27.683,28.502,28.559,29.072,30.252,30.951,32.585,33.171,33.971,33.117,35.362,37.473,38.55,38.042,40.344,42.782,45.457,48.359,51.051,53.27,57.491,66.142,73.999,80.057,89.467,94.678,97.334,100,104.932,104.464,100.594,94.874,101.155,109.79
"19","12","      Tools and equipment for house and garden (35)","DTOORA3",11.261,11.61,12.499,13.795,16.174,17.279,17.815,19.783,22.439,25.041,27.382,27.733,28.154,27.543,29.004,31.548,31.565,33.912,35.788,38.364,42.157,43.852,44.153,47.84,51.484,55.205,57.411,59.058,61.818,67.481,73.19,76.339,79.124,82.219,88.741,96.017,100,103.374,101.605,99.026,91.527,94.905,97.671
"20","13","    Recreational goods and vehicles","DREQRA3",3.165,3.386,3.502,4.062,4.488,4.508,4.829,5.254,5.606,5.982,6.295,6.048,6.211,6.242,7.225,8.477,9.421,10.905,12.213,13.373,13.949,14.287,14.767,15.699,18.113,21.026,24.041,27.761,32.08,38.536,46.758,54.903,60.358,67.691,76.329,87.808,100,113.873,128.152,133.051,131.136,145.602,162.589
"21","14","      Video, audio, photographic, and information processing equipment and media (75, 76, and part of 93)","DVAPRA3",0.766,0.81,0.844,0.965,1.098,1.156,1.245,1.36,1.437,1.548,1.683,1.74,1.831,1.921,2.49,2.953,3.503,4.356,4.982,5.683,6.01,6.327,6.882,7.59,9.115,11.063,13.314,16.446,20.265,26.407,34.125,41.882,48.436,57.371,67.68,82.499,100,120.991,145.046,159.558,169.23,198.004,225.101
"22","15","      Sporting equipment, supplies, guns, and ammunition (part of 80)","DSPGRA3",7.565,7.56,7.804,9.68,10.157,10.955,12.209,14.409,15.473,16.832,17.287,17.779,17.896,17.487,18.119,20.792,22.432,24.479,28.209,30.375,32.596,33.406,32.98,34.845,38.206,41.312,43.595,46.251,48.26,53.47,61.917,71.184,76.776,82.282,86.601,93.12,100,108.678,113.143,110.433,99.612,103.52,115.596
"23","16","      Sports and recreational vehicles (79)","DWHLRA3",21.894,24.185,25.896,32.783,36.694,31.889,34.752,38.114,41.741,42.718,43.18,33.121,33.056,31.555,32.373,40.057,41.393,44.497,46.307,46.487,45.887,42.994,40.481,39.402,44.188,48.943,52.545,55.779,60.733,66.716,72.416,77.995,77.915,80.879,89.248,96.991,100,100.181,101.304,90.503,70.292,67.444,69.232
"24","17","      Recreational books (part of 90)","DRBKRA3",30.813,36.925,35.485,33.462,33.605,34.279,32.115,28.284,29.378,32.891,34.935,35.852,36.874,36.243,37.5,39.949,38.777,39.227,43.295,45.836,46.75,47.51,46.749,47.558,51.554,57.841,63.778,67.917,72.969,75.309,83.3,89.768,89.926,91.388,95.398,97.469,100,103.465,104.856,103.524,99.533,103.272,112.34
"25","18","      Musical instruments (part of 80)","DMSCRA3",19.858,19.942,19.541,21.479,23.669,24.016,24.593,26.115,26.49,27.246,27.896,26.32,25.142,22.723,25.289,27.357,30.201,32.56,34.48,36.038,35.791,37.407,39.628,39.341,42.561,47.791,52.603,54.974,57.751,62.863,71.871,87.045,89.565,94.158,93.083,99.248,100,105.028,106.683,100.37,88.156,88.123,94.104
"26","19","    Other durable goods","DODGRA3",17.372,18.215,19.049,20.088,22.817,23.943,25.331,27.893,29.481,31.095,30.691,28.071,28.491,28.541,31.105,34.642,37.237,41.488,42.98,44.422,44.987,45.219,43.254,44.13,46.354,48.478,49.61,52.906,55.555,61.012,68.293,74.361,72.763,77.574,84.445,91.797,100,107.67,112.739,108.97,103.319,107.841,112.309
"27","20","      Jewelry and watches (part of 119)","DJRYRA3",13.648,13.683,14.464,15.307,18.579,20.442,22.077,25.985,28.588,30.435,29.516,27.144,27.936,27.882,30.527,34.442,37.074,42.447,42.574,43.544,43.28,42.386,40.985,42.449,45.745,48.357,51.387,56.182,58.481,64.741,72.523,78.71,76.227,80.864,87.598,93.844,100,104.666,104.066,94.509,85.565,87.155,88.978
"28","21","      Therapeutic appliances and equipment (42)","DTAERA3",15.35,16.834,16.442,17.94,19.487,20.686,21.489,21.725,22.101,23.471,25.47,26.267,27.18,28.083,30.603,34.527,38.203,42.076,45.919,51.609,53.273,59.15,54.1,53.758,54.546,57.749,57.81,62.308,67.464,73.067,77.291,81.977,79.57,84.91,89.403,94.458,100,105.16,113.479,114.291,113.068,120.263,125.383
"29","22","      Educational books (96)","DEBKRA3",46.87,57.148,54.556,50.633,51.332,52.722,56.273,53.665,57.998,65.773,71.012,73.968,75.003,72.714,76.11,81.764,83.746,87.249,94.525,96.629,96.216,95.739,92.839,91.85,95.256,98.455,99.483,96.966,96.794,99.002,103.715,102.395,98.845,96.858,97.907,98.823,100,99.807,97.383,91.387,82.796,80.998,82.106
"30","23","      Luggage and similar personal items (part of 119)","DLUGRA3",28.409,29.834,32.991,34.9,37.763,36.426,37.549,39.728,39.562,39.421,35.478,26.235,23.924,23.258,26.45,29.289,31.855,35.12,36.94,34.705,36.128,33.12,32.744,33.879,34.947,34.229,31.923,32.307,33.825,38.449,48.435,56.835,54.91,60.354,68.318,80.172,100,113.498,119.945,120.233,116.903,128.106,138.502
"31","24","      Telephone and facsimile equipment (67)","DTCERA3",0.621,0.618,0.609,0.631,0.705,0.753,0.773,0.82,0.873,2.785,6.537,10.434,13.974,15.162,14.07,13.218,11.958,11.38,11.001,11.303,12.011,12.187,12.18,12.623,13.7,15.369,16.651,17.736,18.652,21.478,27.883,35.423,41.786,49.028,66.915,85.634,100,136.155,174.253,185.897,184.104,191.683,206.419
"32","25","  Nondurable goods","DNDGRA3",41.781,42.71,43.511,45.272,46.572,45.439,45.829,48.008,49.102,50.875,52.186,52.098,52.752,53.299,55.035,57.313,59.043,61.145,62.196,63.832,65.556,66.321,66.126,67.411,69.125,71.82,73.599,75.726,77.953,80.895,85.016,87.773,89.354,91.127,94.232,96.899,100,102.643,104.584,103.363,101.507,103.888,106.236
"33","26","    Food and beverages purchased for off-premises consumption","DFXARA3",61.824,63.552,64.309,65.592,64.449,63.149,64.288,67.441,68.438,68.14,69.088,69.799,69.562,70.912,72.704,74.166,76.355,77.914,77.416,79.461,80.453,82.119,82.017,81.697,82.364,84.66,85.096,85.95,86.699,87.738,91.126,93.177,94.263,94.483,95.661,96.797,100,102.871,104.453,103.342,101.599,103.779,106.326
"34","27","      Food and nonalcoholic beverages purchased for off-premises consumption (4)","DTFDRA3",65.59,66.947,67.093,68.01,66.123,64.114,65.316,68.599,69.198,68.738,69.455,69.979,69.553,70.877,72.704,74.464,76.57,78.15,77.818,80.101,81.049,82.467,83.299,83.62,84.13,86.146,86.312,86.807,87.256,88.012,91.343,92.99,93.945,94.152,95.57,96.696,100,102.512,103.993,102.832,101.098,102.71,104.838
"35","28","      Alcoholic beverages purchased for off-premises consumption (5)","DAOPRA3",39.039,42.265,45.948,48.85,51.629,53.655,54.672,56.965,60.464,61.83,64.566,66.672,67.714,69.489,71.11,70.82,73.604,75.113,73.96,74.527,75.971,79.442,73.395,69.232,70.906,74.894,77.059,80.242,82.974,85.812,89.595,94.294,96.284,96.554,96.254,97.476,100,105.125,107.475,106.671,104.83,110.865,116.346
"36","29","      Food produced and consumed on farms (6)","DFFDRA3",609.16,638.109,602.996,612.377,585.931,700.952,650.642,664.848,648.882,530.489,489.415,466.065,461.367,416.578,408.539,380.478,369.862,352.689,267.835,259.469,226.079,199.578,197.483,194.524,178.924,182.336,171.178,158.455,138.663,143.647,137.533,118.369,99.755,110.571,95.416,90.594,100,125.197,99.097,105.428,112.576,99.275,82.14
"37","30","    Clothing and footwear","DCLORA3",21.383,21.137,22.026,23.594,25.291,24.808,25.434,26.606,28.031,30.985,32.79,33.806,35.959,36.557,39.059,42.293,44.179,47.49,49.251,50.699,53.384,53.015,53.052,55.869,58.249,61.512,64.039,67.145,69.353,73.581,78.413,82.207,82.985,85.525,90.007,94.268,100,104.66,108.315,107.666,102.21,107.683,111.445
"38","31","      Garments","DGARRA3",19.921,19.884,20.774,22.268,23.91,23.592,24.377,25.501,26.89,29.725,31.535,32.636,34.796,35.679,38.216,41.642,43.464,46.704,48.362,49.913,52.508,51.981,52.299,55.391,57.84,61.006,63.607,66.593,68.8,72.882,77.41,81.167,82.05,84.836,89.469,93.909,100,104.43,107.996,107.614,102.464,108.304,111.942
"39","32","        Women's and girls' clothing (10)","DWGCRA3",17.572,17.564,18.463,19.465,20.799,20.54,21.303,22.264,23.382,26.066,27.853,29.162,31.613,32.817,35.666,39.354,41.431,45.274,46.541,47.706,50.396,49.445,49.765,53.046,55.108,57.371,59.844,62.749,64.24,68.879,74.578,79.352,80.509,83.65,88.41,93.305,100,104.293,108.067,108.144,102.849,108.81,112.648
"40","33","        Men's and boys' clothing (11)","DMBCRA3",24.256,23.887,24.958,27.284,29.3,28.858,29.905,31.198,33.143,35.947,37.469,38.014,39.423,39.382,41.45,44.367,45.833,48.243,50.511,52.646,55.189,55.699,56.149,59.197,62.293,67.101,70.011,73.488,76.853,79.714,82.353,84.439,84.424,86.37,91.026,94.758,100,104.917,108.132,106.673,101.903,107.773,110.815
"41","34","        Children's and infants' clothing (12)","DCICRA3",17.41,20.684,18.485,22.2,26.517,26.315,24.655,26.989,28.085,32.952,37.028,38.868,41.885,44.967,46.223,49.404,50.135,50.979,53.346,55.778,57.278,54.966,54.305,55.026,57.737,60.678,62.566,62.936,65.588,71.684,75.795,79.545,83.531,88.034,91.056,95.091,100,102.642,106.162,107.881,101.765,105.957,111.439
"42","35","      Other clothing materials and footwear (13 and 17)","DOCCRA3",29.135,27.682,28.54,30.479,32.446,31.034,30.72,32.128,33.717,37.262,39.002,39.568,41.674,40.84,43.165,45.41,47.615,51.274,53.559,54.467,57.596,58.023,56.637,58.075,60.1,63.834,65.996,69.67,71.881,76.8,83.08,87.046,87.315,88.693,92.467,95.895,100,105.674,109.722,107.916,101.158,105.101,109.379
"43","36","    Gasoline and other energy goods","DGOERA3",63.178,65.591,67.881,71.322,75.421,69.282,70.892,74.689,76.029,77.254,75.025,68.391,67.505,67.615,69.103,70.971,72.344,76.024,77.477,79.682,80.956,79.503,78.858,82.008,84.063,85.408,87.001,88.377,90.161,93.401,96.26,94.506,95.188,96.763,99.39,100.686,100,97.722,96.911,92.368,92.95,92.595,89.387
"44","37","      Motor vehicle fuels, lubricants, and fluids (59)","DMFLRA3",50.227,53.336,55.919,58.198,61.224,58.209,59.942,62.34,64.25,65.731,64.85,61.148,62.074,62.848,64.251,66.27,67.572,70.855,72.752,74.71,76.382,75.742,74.968,78.035,79.99,80.985,82.399,84.145,86.7,90.242,92.843,92.087,92.866,94.257,97.35,99.398,100,98.258,97.523,93.488,93.073,93.237,90.674
"45","38","      Fuel oil and other fuels (29)","DFULRA3",299.422,279.105,270.402,297.999,322.93,253.25,251.469,280.954,271.104,267.431,241.721,185.089,154.422,144.294,147.158,146.72,149.255,159.323,153.545,159.769,154.316,139.467,140.95,145.336,149.007,156.364,161.006,155.789,144.431,142.469,149.599,131.371,130.565,135.006,130.244,119.844,100,90.157,88.282,77.083,90.255,83.065,71.456
"46","39","    Other nondurable goods","DONGRA3",31.357,32.401,32.539,34.115,36.426,36.299,35.119,36.598,37.172,39.803,42.109,42.847,43.815,43.659,44.768,47.21,48.478,49.573,51.406,52.585,54.345,55.727,55.421,56.54,58.595,61.559,64.075,66.916,70.596,74.398,79.012,83.059,85.757,88.586,92.897,96.683,100,103.801,106.715,107.033,105.302,107.886,112.498
"47","40","      Pharmaceutical and other medical products (40 and 41)","DPHMRA3",13.905,15.767,16.504,17.972,19.407,20.422,20.517,21.142,21.116,22.646,24.619,25.676,26.28,26.247,27.586,28.967,29.892,31.222,32.716,34.383,36.419,38.533,39.4,39.825,41.14,42.95,45.894,49.128,53.757,60.6,67.912,74.31,80.774,85.572,92.121,97.148,100,104.303,108.608,110.174,111.399,111.961,114.732
"48","41","      Recreational items (parts of 80, 92, and 93)","DREIRA3",12.627,13.098,13.46,14.437,16.072,17.148,17.321,18.753,19.56,21.116,22.379,22.452,23.386,23.966,25.526,27.511,29.039,30.117,32.33,33.963,36.255,38.176,39.309,41.499,44.046,46.956,49.402,51.715,54.503,59.273,66.118,71.836,75.184,80.366,85.296,90.399,100,107.768,115.54,115.981,112.499,119.906,128.679
"49","42","      Household supplies (parts of 32 and 36)","DHOURA3",37.458,37.601,36.738,38.411,41.947,39.98,36.191,36.496,36.83,39.709,42.797,43.97,44.977,45.019,46.466,49.46,50.559,52.808,53.453,55.523,56.275,57.307,57.545,60.424,64.127,68.889,71.345,74.558,78.057,79.514,82.977,83.724,84.232,86.196,91.945,95.969,100,103.666,106.691,105.624,100.492,104.021,108.326
"50","43","      Personal care products (part of 118)","DOPCRA3",27.426,28.441,28.843,30.232,32.84,33.072,32.454,33.807,36.27,38.473,40.221,40.54,40.636,39.692,41.397,44.434,46.465,48.488,51.14,52.559,54.057,55.439,55.034,55.316,57.896,61.201,64.696,68.709,72.348,75.708,80.285,84.23,86.506,89.246,92.872,96.397,100,103.858,106.191,108.028,107.715,113.995,122.217
"51","44","      Tobacco (127)","DTOBRA3",138.868,141.207,142.335,145.13,153.354,155.714,155.339,166.019,160.217,163.465,162.151,163.822,166.255,159.454,151.267,151.086,150.557,147.268,147.975,136.663,134.841,129.96,120.576,125.862,123.26,124.803,126.624,128.414,128.774,124.12,115.806,113.047,110.989,107.062,105.168,104.292,100,98.366,94.093,90.985,85.428,82.817,81.411
"52","45","      Magazines, newspapers, and stationery (part of 90)","DNEWRA3",52.21,52.726,50.732,54.116,57.519,53.964,51.884,54.164,56.524,64.262,70.678,71.284,71.479,70.671,71.236,75.578,75.635,77.092,81.275,86.538,89.443,92.769,90.376,88.144,90.143,93.563,93.319,93.473,95.313,96.34,99.726,103.404,99.39,97.767,97.46,99.412,100,100.908,98.228,97.485,93.125,99.66,110.29
"53","46","      Net expenditures abroad by U.S. residents (131)","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","47","Services","DSERRA3",30.303,31.487,32.574,34.458,36.091,36.783,38.164,39.802,41.447,43.375,44.7,45.389,46.203,47.103,49.568,51.508,54.173,55.784,58.007,60.469,62.301,64.151,65.11,67.431,69.589,71.666,73.488,75.64,77.973,81.409,84.744,88.944,91.134,92.87,94.611,97.134,100,102.599,104.599,105.067,103.558,104.554,106.543
"55","48","  Household consumption expenditures (for services)","DHCERA3",31.732,32.956,34.071,36.037,37.795,38.57,40.062,41.763,43.526,45.54,46.926,47.598,48.353,49.074,51.486,53.311,56.02,57.502,59.728,62.059,63.714,65.253,65.966,67.967,70.035,71.999,73.778,75.857,78.468,81.794,85.054,89.178,91.191,92.651,94.276,96.917,100,102.276,104.172,104.18,102.56,103.538,105.426
"56","49","    Housing and utilities","DHUTRA3",35.088,36.435,38.004,40.036,41.908,43.889,45.295,46.577,47.874,50.152,51.933,53.616,54.503,54.866,56.085,58.072,60.271,61.557,63.428,65.563,67.244,68.45,69.98,71.38,73.271,75.984,78.023,79.717,81.532,84.018,86.673,89.32,91.71,92.374,93.528,95.591,100,102.166,102.78,103.49,104.589,105.44,106.01
"57","50","      Housing","DHSGRA3",33.069,34.287,35.89,37.77,39.647,41.766,42.96,44.176,45.265,47.526,49.457,51.091,52.386,52.697,53.765,55.989,58.177,59.732,61.464,63.359,65.007,66.64,68.15,69.943,71.458,74.371,76.556,78.044,80.22,82.822,85.687,88.356,91.334,91.757,92.787,95.127,100,102.873,103.324,104.436,105.734,106.369,107.366
"58","51","        Rental of tenant-occupied nonfarm housing (20)","DTENRA3",48.106,49.854,52.149,54.64,57.28,58.715,59.897,61.311,62.414,63.51,64.184,65.227,67.811,69.37,71.063,74.414,79.892,82.831,84.264,85.388,86.028,88.644,89.436,90.535,90.995,93.038,95.789,95.872,97.225,98.901,100.567,101.231,102.993,102.177,98.595,98.72,100,103.391,108.878,111.561,116.648,118.821,122.536
"59","52","        Imputed rental of owner-occupied nonfarm housing (21)","DOWNRA3",28.475,29.593,31.079,32.865,34.61,36.933,38.145,39.347,40.48,43.115,45.432,47.271,48.29,48.308,49.266,51.25,52.658,53.901,55.739,57.859,59.78,61.182,62.895,64.91,66.722,69.91,71.992,73.848,76.237,79.076,82.256,85.271,88.623,89.377,91.552,94.283,100,102.799,102.138,102.929,103.272,103.528,103.842
"60","53","        Rental value of farm dwellings (22)","DFARRA3",59.023,59.158,59.297,59.547,59.581,60.308,60.635,60.924,61.573,62.06,61.991,62.214,62.058,61.704,61.41,61.17,60.915,60.776,60.897,60.633,60.782,61.047,61.067,60.981,60.764,61.039,61.107,61.411,63.256,65.236,67.088,78.406,77.88,77.661,79.388,91.235,100,99.909,91.356,88.135,88.009,87.556,87.024
"61","54","        Group housing (23)","DGRHRA3",294.158,293.634,281.516,272.045,271.399,288.023,302.104,292.664,251.604,211.89,191.1,165.785,147.847,141.305,115.595,117.399,106.319,93.917,89.858,97.549,105.505,113.925,119.198,104.497,108.925,107.449,112.16,120.443,118.247,124.151,124.892,124.051,118.906,108.004,107.703,103.687,100,100.389,104.001,105.305,107.096,108.757,115.849
"62","55","      Household utilities","DUTLRA3",45.875,47.991,49.193,52.086,53.785,54.79,57.38,59.001,61.394,63.756,64.753,66.695,65.648,66.258,68.192,69.195,71.506,71.559,74.149,77.533,79.403,78.361,80.006,79.336,83.213,84.886,86.155,88.969,88.821,90.663,92.097,94.606,93.68,95.722,97.591,98.092,100,98.536,99.97,98.707,98.831,100.746,99.216
"63","56","        Water supply and sanitation (25)","DWRSRA3",39.228,41.672,42.395,46.073,48.375,50.557,51.14,50.583,50.687,51.283,54.689,57.184,56.871,56.491,58.574,62.542,66.96,71.115,74.163,76.018,78.854,79.163,78.02,76.554,80.222,83.842,86.982,89.81,91.791,93.265,96.231,97.2,98.107,99.088,100.412,99.654,100,103.262,103.759,104.09,101.353,99.642,98.744
"64","57","        Electricity and gas","DELGRA3",47.354,49.384,50.702,53.383,54.923,55.642,58.676,60.774,63.67,66.427,66.879,68.707,67.513,68.316,70.226,70.648,72.537,71.714,74.201,77.959,79.586,78.186,80.605,80.167,84.107,85.171,85.835,88.642,87.786,89.754,90.638,93.7,92.149,94.556,96.617,97.556,100,96.98,98.72,96.938,98.03,101.294,99.516
"65","58","          Electricity (27)","DELCRA3",33.321,35.338,36.658,38.836,41.216,42.224,45.048,47.161,51.465,53.953,54.957,57.391,57.014,57.424,60.993,61.494,63.587,64.216,67.205,70.052,71.044,71.55,73.614,72.342,76.473,78.066,79.123,80.419,80.179,85.89,86.726,89.705,88.033,92.111,93.703,95.574,100,97.693,98.972,97.496,95.466,101.251,100.071
"66","59","          Natural gas (28)","DGHERA3",98.926,100.278,101.13,105.323,102.247,101.24,104.166,105.567,102.016,105.416,103.772,103.323,99.37,101.455,98.357,98.56,99.817,94.33,95.014,101.779,105.567,97.415,100.979,103.669,106.667,105.803,104.994,113.261,110.242,99.244,100.254,103.489,102.289,99.986,103.311,101.974,100,95.413,98.236,95.741,104.9,100.534,96.906
"67","60","    Health care","DHLCRA3",29.446,31.026,33.258,35.536,38.091,39.401,41.43,43.243,45.341,47.418,49.015,50.425,52.856,52.984,54.567,55.451,57.143,58.928,61.378,63.791,64.52,66.692,67.97,70.022,70.377,70.928,72.397,73.894,76.188,78.663,79.892,82.638,86.758,91.868,93.845,96.833,100,101.839,104.213,106.691,108.55,109.943,113.724
"68","61","      Outpatient services","DOUTRA3",23.45,24.512,24.829,26.228,28.829,29.412,30.529,31.173,32.696,33.525,34.702,35.896,38.489,38.477,40.858,42.943,45.231,47.018,50.756,53.84,55.485,59.054,60.992,64.312,64.627,65.329,67.59,69.45,71.092,73.373,74.794,78.324,82.758,88.256,92.308,96.631,100,102.404,104.398,107.752,108.074,109.076,112.523
"69","62","        Physician services (44)","DPHYRA3",28.66,30.107,30.89,32.497,34.901,35.297,36.363,35.868,37.701,38.344,39.868,41.972,44.587,44.619,46.594,48.466,50.758,52.132,56.386,59.694,60.277,62.173,63.123,65.035,62.922,62.215,63.272,64.795,66.539,68.948,70.817,75.234,79.553,85.943,91.269,96.108,100,102.999,103.697,107.655,107.636,107.778,110.348
"70","63","        Dental services (45)","DDENRA3",42.015,44.815,44.407,46.873,53.013,54.291,55.698,58.838,60.856,62.779,62.75,62.688,67.194,67.198,68.409,69.085,71.185,72.367,74.905,74.514,74.944,75.208,73.631,76.256,76.252,77.713,79.699,80.23,81.699,84.053,85.979,89.375,93.662,97.739,97.147,99.556,100,99.455,100.707,100.7,97.783,97.371,101.35
"71","64","        Paramedical services (46)","DPMSRA3",9.689,9.653,9.562,10.288,11.924,12.51,13.542,14.906,15.772,16.475,17.444,17.691,19.537,19.462,22.617,25.322,27.561,30.047,33.247,36.98,40.612,47.795,52.406,58.194,62.651,65.468,69.858,72.752,74.266,76.291,76.76,78.834,83.502,88.083,91.944,96.227,100,102.75,107.153,111.096,113.485,116.536,121.132
