"","Table 1#17#6# Real Gross Domestic Product, Real Gross Domestic I","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"18",NA,"Final expenditures by U.S. residents:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","8","    Gross domestic purchases","A712RX1",1726.4,1726.5,1725.2,1771.7,1814,1862.1,1873.2,1878.7,1838.2,1831.3,1858.7,1855.1,1933.9,1995.9,2089.3,2119.4,2141.8,2164.5,2196.9,2199.4,2225.9,2241,2270.1,2353,2396,2418.6,2399.6,2359.9,2347.2,2345.6,2369.3,2413.1,2484.7,2534.1,2562.9,2580.6,2568,2579.8,2573.3,2604.6,2620.6,2619.4,2646.5,2622.9,2565.9,2585.8,2644.4,2712.3,2762.5,2834,2827.9,2838,2890.6,2868.9,2873.6,2827.6,2845,2902.4,2958.4,3017.5,3076.4,3098.9,3138.7,3151.4,3186.1,3211.3,3285.1,3301.6,3365.9,3405.2,3457.2,3465.5,3566.5,3600.6,3686.6,3770.6,3871.8,3880.5,3924.1,3951.4,3985.4,3986.6,4026.2,4061.2,4150.7,4220.2,4249,4268.5,4342.2,4349.5
"20","9","    Final sales to domestic purchasers \2\","A713RX1",1740.8,1755.7,1770.9,1790.9,1812.2,1839.5,1843.7,1862.5,1856.1,1880.6,1886.2,1907.6,1941.5,1996.8,2084.2,2054.9,2111.2,2108.2,2167.3,2198.6,2221,2270.1,2262,2345,2394.6,2418,2407.8,2392.3,2376.9,2381.9,2402.8,2439.2,2487.8,2528.8,2560.5,2569.3,2562.9,2582.8,2580.6,2614.3,2637.3,2632.7,2654.3,2658.2,2604.4,2622.1,2658.2,2715.9,2767.2,2816.7,2848.1,2837.7,2857.4,2876.6,2872.6,2877.8,2880.5,2915.3,2946.8,3012.7,3054.1,3094.7,3129.9,3156.7,3171.1,3210.2,3280.5,3306.2,3368.5,3409.2,3457.2,3464.9,3535.4,3585,3665.4,3759.8,3831.1,3844.2,3894.5,3901,3939.6,3982.3,4010.3,4050.2,4140.9,4181.5,4241.3,4269.4,4320,4335.8
"21",NA,"Purchasing power of income: \3\"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","10","    Command-basis gross domestic product","C191RX1",1806.7,1810.2,1813.2,1847.6,1868,1895.1,1905.8,1915,1884.3,1869,1893.9,1875.4,1951,2007.4,2085.9,2126.1,2155.9,2192.2,2230.5,2231.7,2251.2,2248.8,2273.8,2348.7,2392.1,2410.1,2396.8,2355.7,2340.3,2340.3,2371.2,2422,2495.6,2533.5,2568,2591.3,2580.4,2591.8,2593,2630,2653.5,2647.7,2669.4,2628.2,2564.8,2577.6,2648.1,2719.4,2766.9,2832.5,2828.4,2838.5,2909.1,2892.2,2894.3,2852.7,2873.1,2929.9,2978.5,3042.9,3099.6,3128.5,3156.8,3162.7,3201.3,3243.5,3304,3333.7,3405.4,3441.3,3486.2,3498.4,3589.7,3637.9,3708.1,3795.9,3892.6,3901.6,3933.7,3969.4,4006.7,4004.4,4038.6,4070.6,4155.1,4225.6,4252.2,4271.4,4342.4,4352.5
"23","11","    Command-basis net domestic product \1\","C362RX1",1660.9,1666.4,1670.7,1707,1728.2,1756.4,1767.4,1777,1744.7,1728.5,1753.9,1734.3,1812.1,1869.5,1949.7,1989.8,2018.8,2054.3,2091.8,2090.5,2108,2102.5,2125.6,2200.3,2242.1,2257.5,2240.7,2195,2175.9,2173.3,2202.6,2253.1,2327.1,2364.1,2397.6,2419.4,2405.5,2414.9,2413.6,2450,2472.4,2463.8,2483.8,2437.6,2368.1,2378.6,2449.8,2522.7,2570.8,2637.9,2632.3,2641.4,2713.7,2694.4,2694.6,2649.1,2668.1,2724.7,2773,2837.4,2893.6,2921,2947.2,2950.2,2986.9,3027.5,3087,3114.2,3185.5,3219.1,3261.9,3270.3,3360.7,3406,3473.9,3560,3654.8,3658.6,3686.5,3718.1,3751.4,3743.8,3774,3802,3884.8,3952.8,3975.2,3989.8,4058.2,4063.4
"24","12","    Command-basis gross national product","CB22RX1",1814.2,1818.5,1821.6,1856.6,1878,1905.6,1916.1,1925.2,1893.9,1878.4,1902.9,1883.5,1959.7,2016.7,2097,2137,2165.9,2204.4,2243.4,2245.5,2264.1,2261.7,2286.3,2360.9,2404.2,2423.1,2408.1,2367.2,2352.8,2352.8,2383.9,2436.6,2510.6,2548.2,2583,2606.7,2597.6,2608.7,2610.3,2645,2671.4,2667.1,2687.9,2642.7,2579.7,2592.7,2662.7,2733.9,2781.3,2847,2844.1,2855.3,2925.3,2908.7,2911.6,2871,2892.6,2948.3,2997.5,3062.3,3118.9,3149.9,3178.4,3187.9,3225.2,3266.5,3327.5,3358,3431.9,3466.8,3512.5,3522.7,3617.7,3666.8,3734.9,3820.2,3917.8,3926.8,3958.4,3995.2,4032.2,4029.1,4066.1,4097.3,4182.6,4253.7,4281.2,4300,4371,4380
"25","13","    Command-basis net national product \1\","C027RX1",1668.6,1675,1679.3,1716.3,1738.5,1767.3,1778.1,1787.6,1754.8,1738.2,1763.2,1742.6,1821.1,1879.2,1961.3,2001.2,2029.2,2067,2105.3,2104.8,2121.4,2116,2138.7,2213.1,2254.7,2271,2252.5,2206.9,2188.9,2186.2,2215.8,2268.2,2342.7,2379.4,2413.1,2435.4,2423.4,2432.6,2431.7,2465.7,2491.2,2484.1,2503.1,2452.7,2383.6,2394.5,2465.1,2537.8,2585.8,2653.1,2648.8,2658.9,2730.5,2711.6,2712.7,2668.2,2688.4,2743.9,2792.8,2857.7,2913.8,2943.3,2969.8,2976.4,3011.9,3051.5,3111.5,3139.6,3213,3245.6,3289.2,3295.5,3389.8,3436.1,3501.8,3585.2,3681,3684.8,3712,3745,3777.9,3769.5,3802.5,3829.7,3913.3,3981.9,4005.2,4019.4,4087.9,4091.9
"26",NA,"After-tax income received by the personal sector:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","14","    Disposable personal income","A067RX1",1218.1,1192.1,1225.1,1210.7,1230.5,1273.4,1298.7,1302.3,1275.6,1279.5,1287.1,1296.4,1392.8,1385.3,1406.7,1419.7,1420.2,1442.3,1451.6,1454.3,1453.2,1471.5,1500.8,1530.3,1550.8,1572.1,1565.8,1555.9,1564.9,1565.8,1583.4,1614.9,1638.8,1678.3,1710,1729.8,1747.6,1765,1772.4,1800.7,1803.7,1815.9,1824.4,1814.1,1798.7,1810.6,1848,1871.4,1885.9,1918.8,1915.4,1930.3,1954.5,1965.3,1966.8,1965.7,1983.6,2013.4,2040.9,2081.1,2100.8,2124.2,2136,2153.7,2171.6,2192.1,2216.8,2253.5,2298.6,2361.1,2391.6,2419.3,2446.3,2473.4,2541.4,2592.8,2617.3,2623.5,2656.6,2686.9,2727.2,2749.6,2775.9,2796.2,2844.9,2892.2,2898,2917.1,2922,2951.6
"28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","1. In this table, net measures are the corresponding gross measures less the depreciation of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","fixed assets as measured by the consumption of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2. Equals gross domestic purchases less change in private inventories.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","3. The command-basis estimates (lines 10-13) measure the purchasing power of the income generated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","by the sale of goods and services produced; they reflect gains or losses in real income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","resulting from changes in the terms of trade for exports and imports.  For more detail on the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","command-basis estimates, see NIPA tables 1.8.3 and 1.8.6.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
