"","Table 3#10#6# Real Government Consumption Expenditures and Gener","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73"
"12","4","            Compensation of general government employees","A194RX1",1127.4,1128.5,1127.7,1116.5,1115,1128.4,1127,1125.5,1127.5,1129.1,1132.5,1132.4,1136.4,1140,1143.4,1144,1145.4,1144.4,1147.6,1152.4,1159.1,1170.3,1165.5,1166.1,1174.5,1182.7,1189.6,1193.4,1200.9,1207.3,1212.1,1212.8,1219.4,1222.1,1221,1219.9,1221.7,1222.1,1223.3,1227.1,1228.3,1226.8,1228.1,1227.9,1225.2,1226,1233,1236.3,1235.7,1237.2,1241.9,1248.2,1254.2,1258.6,1268.6,1274.1,1278.4,1288.3,1288.5,1291.4,1291.4,1297.1,1288.4,1285,1282.7,1279,1274.4,1273.1,1271.3,1267.8
"13","5","            Consumption of general government fixed capital \2\","A265RX1",164.5,165.1,165.7,166.2,166.9,167.5,168.2,168.9,169.6,170.4,171.3,172.1,173,174,175.1,176.3,177.6,178.9,180.1,181.4,182.7,183.9,185.1,186.2,187.2,188.3,189.4,190.5,191.6,192.7,193.8,194.9,196,197.1,198.2,199.4,201.1,202.6,204,205.4,206.6,207.9,209.4,210.9,212.4,214.1,215.7,217.3,219,220.8,222.6,224.6,225.5,227.5,229.4,231.3,233.2,234.9,236.6,238.2,239.9,241.6,243.2,244.6,246,247.2,248.4,249.5,250.4,251.3
"14","6","          Intermediate goods and services purchased \3\","W104RX1",584,584.7,588.4,580.9,585.9,593.9,591.8,603.3,601.1,618.5,616.4,629.7,617.7,639.4,649.8,654.5,659.8,666.8,684.7,701.4,681.3,703.8,702.3,712.3,732.2,748.8,758.9,777.3,795.5,806,815.8,825.6,814.2,844.2,840.1,842.9,853.4,856.3,867.3,854.5,860.5,857,875.3,859.1,881.2,873.4,873.7,874,871.9,884.4,899.7,898.9,905.8,895,906.6,912.5,925.6,964.3,985.6,994.8,982,980.7,984.6,966.5,941.6,944.8,948.2,923.4,918.5,916.4
"15","7","            Durable goods","W105RX1",37.4,35.4,39.5,35.2,35.8,38.5,38.5,36.7,37.8,39.5,38.3,39,38.8,39.9,42.1,41.9,41,44.1,46.1,44.1,44.8,45,45.6,45,45,47.4,49.1,46.6,47.3,48.5,50.1,48.8,47.8,51.3,51.5,51.6,52.2,54.3,54.8,53.9,53.2,54.2,55.5,55.6,56.6,56.6,57.9,59.4,58.4,60.5,63.1,64.1,65,67,69.1,69.9,67.4,71.7,74.9,73.5,69.7,71.7,73.9,75.5,67.2,69.4,70.3,71.7,66.9,67.3
"16","8","            Nondurable goods","W106RX1",148,147.4,149.4,148.9,150,151.1,152.3,152.5,157.2,158.2,161,163.2,167.2,169.8,173.9,175.8,174.2,177.8,181.8,180.7,185.3,186.3,187.8,191.1,196.4,203.9,203.4,208.1,209.4,213,211.5,212.4,211,212.4,209.2,211.8,215.9,215.4,216.2,213.8,218.4,215.4,218.4,218,218,216.4,219,216.3,220.3,222,224.5,221.7,222.5,219.7,217.2,219.6,230.3,238.1,240.3,239.8,237.5,236.5,233.7,231.4,230.6,228.3,227.4,227.8,227.8,226.8
"17","9","            Services","W107RX1",398.6,402.6,398.9,397.7,400.9,404.3,401.1,414.7,407,421,418.2,428.4,413.5,431.1,435,438.3,445.8,445.8,457.6,477.1,452.5,473.7,470.1,477.7,492.4,499.6,507.8,524.5,540.2,546.1,555,565.2,556.4,580.6,579.1,579.4,585.5,586.6,596,586.7,589,587.4,601.5,585.4,606.8,600.5,596.8,598.4,593.2,601.9,612.3,613.5,618.8,609,622.3,624.7,629.2,655.6,671.3,682.4,675.4,673.4,678.3,661.2,644.1,648,651.7,624.5,623.6,622.2
"18","10","        Less: Own-account investment \4\","W108RX1",20.4,20.3,20.4,19.7,19.8,20.1,20.2,20.1,22.4,21.7,20.7,20,20.8,22.2,22.2,20.8,20,22.3,21.9,22.1,21.7,21.2,22,21.8,23.5,24.7,24,24.2,24.5,24.2,24.3,24.1,23.4,23.3,23.5,23.7,23.3,23.8,23.8,23.6,23.4,23.8,23.8,24.1,23.8,24.4,24.5,24.5,24.3,24.3,24.4,24.6,24.7,24.9,25.1,25.3,25.6,25.7,25.2,24.3,23.6,24.1,24.4,23.6,22.7,22.3,22.1,22.1,21.7,21.3
"19","11","              Sales to other sectors","W109RX1",236.9,236.4,237.7,242,240.3,241.7,245,245,244.6,246.9,248.5,252.1,253.5,252.2,266.4,255.3,256.5,260.4,262.9,264.2,270.7,272.3,276.3,283,284.7,285.9,288.3,291.5,290.9,289.4,292.6,290.3,290.1,292.4,292,291.2,292.3,293.2,295.9,295.3,297.8,295.8,298.5,299,297.5,299.4,299.9,299.4,301.1,303.6,305.3,307,305.4,304.3,306.7,305.1,306.8,308.3,309.2,309.8,310.5,312.2,313.3,312,312.2,314.3,326.1,315.5,316,318.4
"20","12","Federal consumption expenditures \1\","A957RX1",634.1,632.6,631,604.5,611.3,620.2,610.4,616.4,610,621.7,613.6,615.7,593.7,608.7,598.3,609,606.2,599,611.1,625.1,602.8,631.5,616.4,615.1,630.5,642.1,645.8,653.3,668.9,681.1,689.1,704,704.8,739.1,738.1,743.3,754.7,756.9,767.6,758.9,764,761.4,776.8,761.2,783.6,773.2,775.7,773.7,765.6,774.6,794,796.8,815.2,815.5,836.6,855.2,853.3,879.6,892.5,901.9,904.7,921.9,928.7,919.5,899.7,905.3,898.4,886,881.5,877.4
"21","13","      Gross output of general government","W110RX1",650.5,646.6,645.2,620.9,625.2,635,627.9,631.6,623,634.7,624.9,627,605.9,619,621,617.8,614.1,611.4,623.8,635.6,615,642,627.6,629.1,642.1,652.2,656,665,680,690.3,701.5,713.9,714.6,751.2,749.4,753.6,764.4,767.1,780.4,770.6,777.9,773.4,791.3,775.6,796,786.5,788.6,784.5,776.3,786,805.3,808.1,827,827.5,851,867.5,866.2,892.9,906.1,915.5,918.5,937,944.5,932.8,911.8,918.4,923,899.3,893.5,890.4
"22","14","        Value added","W111RX1",441.5,440,437.1,422,422.6,426.6,424.2,419.2,418.1,416.6,415.4,410.7,410.8,410.3,410.5,410.2,410.1,406.8,405.7,405.7,408.6,416.9,409.3,407.2,410.8,412.7,413.2,411.8,416.4,419.2,421.9,423.4,428.8,432.3,432.6,432.5,434.6,434.1,435.9,438.7,439.3,438.2,437.9,439.6,436.4,436.6,440.4,440.5,439.5,439,443.3,445.1,449.6,454.5,462.2,469.9,475.1,485.7,489.8,493.4,498.7,507.2,504.4,505,507.2,507.8,507.5,508.6,507.4,505.2
"23","15","          Compensation of general government employees","B568RX1",357.1,355.6,352.5,336,336.7,341.2,338.7,333.3,332.1,330.4,329.2,324.2,324.5,323.9,324.1,323.5,323.1,319.3,317.9,317.6,320.4,329.1,320.8,318.4,322.3,324.1,324.5,322.9,327.5,330.2,332.7,333.9,339.2,342.4,342.3,341.8,343.5,342.6,343.9,346.1,346.1,344.2,343.3,344.2,340.3,339.7,342.6,342,340.3,338.9,342.3,343.1,346.5,350.3,356.8,363.2,367.1,376.3,379.2,381.6,385.8,393.2,389.5,389.2,390.5,390.3,389.3,389.8,388.1,385.5
"24","16","          Consumption of general government fixed capital \2\","B995RX1",87.3,87.1,87.1,87,87,86.9,86.9,86.8,86.8,86.8,86.7,86.6,86.5,86.6,86.6,86.8,87,87.2,87.4,87.6,87.8,88,88.1,88.2,88.2,88.3,88.4,88.6,88.8,89,89.2,89.4,89.7,90,90.3,90.7,91.1,91.5,92.1,92.7,93.3,93.9,94.6,95.4,96.1,96.9,97.7,98.5,99.3,100.2,101.2,102.2,103.3,104.4,105.6,106.8,108.2,109.5,110.7,111.9,113,114.1,115.1,116,117,117.9,118.6,119.3,119.9,120.4
"25","17","        Intermediate goods and services purchased \3\","W113RX1",215.4,213.1,214.3,205,208.5,213.9,209.4,217,210.1,222.2,214.2,220.2,200.8,213.2,214.9,212.2,208.9,209.2,221.7,232.8,210.9,228.8,222.1,225.4,234.3,242.1,245.2,255,265.1,272.4,280.6,291.1,286.6,319,317,321.2,329.9,333,344.4,331.9,338.6,335.3,353.4,336.1,359.7,350,348.2,344,336.6,346.9,362.1,363.1,377.7,373.2,389.1,398,391.2,407.4,416.7,422.5,420.1,430.1,440.8,428.2,404.6,410.6,415.6,390.4,385.8,384.9
"26","18","          Durable goods","W114RX1",23.5,21.3,25.4,20.7,21.4,24.1,24,21.8,22.5,24.1,22.4,23,22.1,22.6,24.3,23.7,22.3,25.2,26.8,24.4,24.8,24.7,24.9,24,23.4,25.3,26.8,24.1,24.7,26,27.7,26.4,25.7,29.2,29.5,29.6,30.1,32.1,32.6,31.7,31,31.9,33.2,33.3,34.2,34,35.2,36.5,35.3,37.2,39.7,40.7,41.9,44,46.2,46.9,43.5,47.5,50.6,49.3,45.8,48,50.3,52.3,44,46.5,47.5,49,44.2,44.7
"27","19","          Nondurable goods","W115RX1",23.8,21.9,23,21.6,22.1,22.4,22.6,21.6,24.7,24,24.9,24.8,26.3,26.1,27.4,26.5,21.9,23.1,25.2,22.4,26.2,25.6,24.9,25.7,27.3,31.7,28.7,31.3,30.4,33.1,31.5,32.9,33.5,35.9,33.1,36,39.2,38.6,39.3,37,41.7,38.6,41.4,40.8,40.7,38.4,40.3,36.5,38.1,38.6,40.4,37.8,41.6,41,40.1,43,45.1,47.1,46.5,46.1,46.7,48,46.9,46.4,47.2,46,45.8,46.4,46.6,46
"28","20","          Services","W116RX1",167.8,169.9,165,162.8,165,166.9,162.3,173.5,162.9,173.8,167,172.5,152.8,164.8,163.3,162.1,164.1,160.1,169,185.3,159.6,178.1,171.9,175.5,183.6,185.4,189.4,199.9,209.9,213.5,221.1,231.7,227.5,253.8,254,255.5,260.7,262.2,272.3,263.1,266,264.7,278.9,261.9,284.9,277.7,272.7,271.1,263.2,271.1,282.1,285,294.3,288.4,303.6,308.6,302.8,313.2,319.9,327.4,327.6,334.3,343.8,330.2,313,318.3,322.6,295.3,294.8,294
"29","21","      Less: Own-account investment \4\","W117RX1",6.5,6.1,6.5,5.6,5.6,5.8,6.1,5.7,6.3,5.9,5.3,4.7,5.7,6.3,5.8,4.4,3.3,5.9,5.7,5,3.9,4,4.1,4.2,5,5.1,4.9,4.9,5,5.1,5.3,5.1,4.8,4.9,4.7,5,4.5,4.7,4.8,4.7,4.6,4.6,4.7,4.7,4.5,4.5,4.6,4.6,4.4,4.4,4.4,4.3,4.6,4.6,4.8,4.9,4.9,4.9,4.9,4.9,4.8,5.1,5.3,5.2,5.1,5,4.8,4.6,4.4,4.4
"30","22","            Sales to other sectors","W118RX1",9.8,7.7,7.7,10.6,8.2,8.9,11.1,9.3,6.6,7.1,5.9,6.5,6.5,4,16.6,4.4,4.5,6.5,6.9,5.5,8.2,6.4,7,9.6,6.6,4.9,5.2,6.7,6.1,4.2,7,4.8,5,7.2,6.6,5.3,5.2,5.6,7.9,7,9.4,7.4,9.9,9.8,7.9,8.9,8.2,6.2,6.3,7,6.8,7,7.2,7.4,9.7,7.4,8.1,8.5,8.7,8.7,8.9,10,10.5,8.1,7.1,8.2,19.7,8.6,7.6,8.6
"31","23","    Defense consumption expenditures \1\","A997RX1",430,428.8,427.1,412.1,416.6,423,415.7,418.8,407.8,418.1,410.2,412.8,390.5,404.6,405,404.8,402.7,397.9,408.3,421.4,393.4,414.4,403.4,404.3,413.3,416.4,419.2,425.3,435.7,441.6,446.5,459.6,455.4,496.2,487.6,497.1,505.6,507,518.9,505.9,512.5,513.6,526.9,506.4,519.2,515.9,516.7,524.5,515.9,522.3,536.8,537,547.3,545.6,567.2,578.4,571.5,590.4,601.9,604.4,601.5,609.5,619.2,609.8,591.9,602.9,611,590,582.9,579.4
"32","24","      Gross output of general government","W085RX1",436.2,433.7,431.7,417.7,421.6,428.5,422.2,424.6,412.5,423.5,414.7,417.1,395.5,407.6,410.7,407.7,404.8,401.9,413.8,425.3,398.8,417.4,407.5,407,418.8,419.7,422.9,429.5,439.9,445.4,453.4,464.1,460,501.7,493.1,501.4,509.9,511.8,524.8,510.3,518,519,532.7,511,524.6,522.3,522.5,529,520.8,527.1,541.5,542,552.6,551,572.6,583.7,576.9,595.7,607.2,609.7,606.7,614.7,624.5,615.2,597.3,608.3,616.3,595.2,587.9,584.4
"33","25","        Value added","W086RX1",301.6,298.9,296,290.7,289,288.4,286.8,283.2,281.2,279,278.1,275.1,273.5,271.3,270.8,268,266.2,265.1,265.5,265,263.1,263.9,263.8,263.1,263.9,264.1,264.3,264.3,267.4,269.3,270.2,269.4,274.2,277.2,277.9,278.1,280.8,280.2,282.6,284.1,284.6,283.8,284.2,284.9,281.8,281.4,284.1,284.7,282.9,282.5,285.6,286.7,289.2,292.2,298.4,303.2,306.2,312.1,317.5,320.7,322.6,324.2,325.5,326.9,327.8,328.8,329.7,330.9,327.9,326.4
"34","26","          Compensation of general government employees","B237RX1",232.4,229.8,226.9,221.3,219.7,219.5,218.1,214.5,212.7,210.5,210,207.1,205.7,203.7,203.6,200.8,199,198,198.7,198.4,196.5,197.6,197.6,197.1,198.1,198.5,198.9,198.9,202.2,204.1,205,204.1,208.8,211.6,212.1,212,214.5,213.5,215.5,216.6,216.6,215.4,215.3,215.5,211.9,211,213.2,213.4,211.1,210.1,212.5,212.9,214.6,216.7,222,225.8,227.9,232.7,237.2,239.4,240.6,241.4,242,242.7,243,243.5,243.9,244.7,241.5,239.8
"35","27","          Consumption of general government fixed capital \2\","B432RX1",70.6,70.3,70.1,69.8,69.6,69.3,69.1,68.8,68.6,68.3,68,67.7,67.4,67.1,66.9,66.7,66.5,66.3,66.2,66,65.9,65.7,65.6,65.5,65.3,65.2,65.1,65,65,65,65.1,65.2,65.4,65.6,65.8,66.1,66.4,66.7,67.1,67.5,68,68.4,68.9,69.4,69.9,70.4,70.9,71.4,71.9,72.6,73.2,74,74.8,75.6,76.5,77.4,78.5,79.4,80.4,81.3,82.1,82.9,83.7,84.4,85,85.6,86,86.5,86.8,87.1
"36","28","        Intermediate goods and services purchased \3\","W087RX1",140.8,140.7,141.3,133.1,138.1,144.8,140.4,145.6,136.3,148.2,141,145.7,127.4,140.4,143.6,143.2,142.1,140.5,151.1,162.2,139.2,155.9,146.8,146.9,157.3,157.9,160.7,166.8,173.9,177.5,184.2,195.2,186.7,224.5,215.5,223.4,229.1,231.5,242.1,226.2,233.4,235.2,248.4,226.1,242.9,241,238.4,244.3,237.7,244.6,256.2,255.5,263.7,259,274.5,280.9,270.7,283.9,290.1,289.3,284.2,290.8,299.5,288.5,269.3,279.4,286.6,264,259.7,257.5
"37","29","          Durable goods","A998RX1",22.5,20.3,24.4,19.5,20.1,22.8,22.6,20.4,21.1,22.7,21,21.6,20.7,21.1,23,22.3,20.8,23.6,25.3,22.8,23.2,23.1,23.2,22.2,21.7,23.5,24.9,22.2,22.6,23.8,25.5,24.2,23.5,27.1,27.3,27.5,27.8,29.7,30.2,29.2,28.4,29.2,30.3,30.3,31,31.1,32.2,33.7,32.4,34.3,36.6,37.5,38.5,40.6,42.8,43.4,39.9,43.8,46.8,45.4,41.8,43.9,46.2,48.1,40.1,42.6,43.6,45.1,40.4,40.9
"38","30","          Nondurable goods","A725RX1",11,11.2,11.1,9.8,11.6,12.5,12.5,11.1,12.3,11.4,12.2,12,12,11.8,13.3,12.5,12.2,13.5,16.2,13.5,16.1,15.4,13.4,13.2,13.8,15.3,14.5,16.2,16.1,17.4,16.5,18.3,19.3,19.2,15.5,18.1,21.6,20.8,23,17.6,19.8,21.6,22.2,20,20.1,19.4,21.8,19.2,21.1,20.9,22.3,19.2,21.4,21.2,20.5,22.4,21.7,22.8,23.5,22.2,22.4,22.8,21.3,21.2,22.7,22.4,22.6,23.2,23.1,22.2
"39","31","          Services","A489RX1",106.3,108.8,104.4,103.1,106,108.8,104.5,113.7,102.4,113.3,107.4,111.7,94.3,106.9,106.9,107.8,108.7,102.9,109.6,125.5,100.1,117.5,109.9,111.2,121.7,119,120.9,128.7,135.4,136.5,142.1,153,144.5,178.2,171.9,177.4,179.8,181,189.1,179.2,185.2,184.4,195.9,176,191.9,190.6,184.2,191.4,184.1,189.4,197.3,199.4,203.9,197.4,212.3,215.7,209.5,217.9,220.4,222.3,220.3,224.5,232.6,220.1,206.4,214.8,220.8,196,196,194.5
"40","32","      Less: Own-account investment \4\","W088RX1",2.5,2.3,2.3,2.1,2.1,2.1,2.2,2.1,2.3,2.2,1.9,1.7,2,2.2,2,1.5,1.1,2.1,1.9,1.8,1.4,1.4,1.4,1.5,1.8,1.7,1.7,2.1,2.4,2.4,2.5,2.5,2.4,2.4,2.3,2.4,2.1,2.2,2.2,2.2,2,2,2.1,2.1,2,2,2,2.1,2,1.9,1.9,1.9,2,2,2,2,2,2.1,2.1,2.1,2.1,2.2,2.3,2.3,2.2,2.2,2.1,2,1.9,1.9
"41","33","            Sales to other sectors","W089RX1",3.7,2.5,2.3,3.4,2.8,3.4,4.2,3.6,2.4,3.1,2.7,2.5,3,0.8,3.6,1.4,1,2,3.5,2.1,4,1.6,2.7,1.3,3.6,1.7,2,2.2,1.9,1.5,4.4,2.1,2.3,3.1,3.2,2,2.2,2.6,3.7,2.1,3.5,3.4,3.8,2.5,3.4,4.4,3.8,2.5,2.9,2.8,2.8,3.2,3.3,3.4,3.3,3.3,3.3,3.2,3.2,3.1,3,3,3,3.1,3.2,3.2,3.2,3.2,3.2,3.1
"42","34","    Nondefense consumption expenditures \1\","A542RX1",204.2,203.9,204.1,192.5,194.9,197.4,194.8,197.8,202.3,203.7,203.5,203,203.1,204.2,193.5,204.2,203.5,201.1,202.9,203.9,209.2,217,212.8,210.7,217,225.5,226.4,227.9,232.9,239.2,242.4,244.3,249.1,242.9,250.4,246.2,249.1,249.8,248.8,253,251.4,247.9,249.9,254.8,264.4,257.3,259,249.2,249.7,252.2,257.1,259.8,268,270,269.2,276.7,281.8,289.2,290.7,297.5,303.2,312.4,309.6,309.8,307.8,302.4,287.3,296.1,298.7,298.2
"43","35","      Gross output of general government","W128RX1",214.4,213,213.6,203.4,203.8,206.7,205.9,207.2,210.5,211.4,210.2,210,210.3,211.4,210.4,210.1,209.4,209.4,210.1,210.5,216,224.4,219.9,221.8,223.1,232.2,232.8,235.2,239.8,244.6,247.9,249.6,254.3,249.5,256.2,252.1,254.6,255.3,255.6,260.3,259.9,254.4,258.6,264.6,271.4,264.2,266.1,255.4,255.5,258.8,263.7,266,274.4,276.6,278.3,283.7,289.4,297.2,298.9,305.8,311.8,322.4,320,317.7,314.5,310.1,306.6,304.1,305.7,306.2
"44","36","        Value added","W129RX1",140.4,141.6,141.5,131.9,134.2,138.7,137.9,136.5,137.3,138,137.7,135.9,137.7,139.3,140,142.3,144,141.8,140.4,140.9,145.5,152.8,145.5,144.1,146.9,148.5,148.7,147.4,148.9,149.9,151.6,153.8,154.5,155.1,154.6,154.4,153.7,153.8,153.3,154.6,154.7,154.3,153.6,154.7,154.7,155.2,156.3,155.8,156.7,156.5,157.7,158.5,160.4,162.3,163.8,166.7,168.9,173.7,172.3,172.7,176.1,183.1,178.9,178.1,179.3,178.9,177.7,177.7,179.5,178.8
"45","37","          Compensation of general government employees","W130RX1",125.4,126.5,126.2,115.6,117.7,122.3,121.2,119.4,119.9,120.3,119.7,117.6,119.1,120.5,120.8,122.8,124,121.3,119.4,119.4,123.7,131,123,121.3,124.1,125.4,125.5,123.9,125.2,126,127.6,129.7,130.3,130.7,130.2,129.8,129.1,129,128.4,129.5,129.4,128.8,127.9,128.8,128.4,128.6,129.4,128.6,129.3,128.9,129.8,130.3,132,133.6,134.8,137.3,139.2,143.6,141.9,142.1,145.2,151.9,147.5,146.5,147.4,146.8,145.4,145,146.7,145.8
"46","38","          Consumption of general government fixed capital \2\","B546RX1",17,17.1,17.2,17.4,17.6,17.8,18,18.2,18.4,18.7,18.9,19.1,19.3,19.6,19.9,20.2,20.6,21,21.3,21.7,22,22.3,22.6,22.8,23,23.2,23.4,23.5,23.7,23.9,24.1,24.2,24.3,24.4,24.5,24.6,24.7,24.8,25,25.1,25.3,25.5,25.7,25.9,26.3,26.6,26.9,27.1,27.4,27.7,27.9,28.2,28.5,28.7,29,29.4,29.7,30.1,30.4,30.6,30.9,31.1,31.4,31.7,32,32.3,32.6,32.9,33.1,33.3
"47","39","        Intermediate goods and services purchased \3\","W131RX1",74.5,72.3,72.9,71.8,70.3,69.1,69,71.4,73.7,73.9,73.1,74.4,73.3,72.8,71.3,68.9,66.7,68.7,70.6,70.6,71.6,72.9,75.3,78.4,77,84.2,84.5,88,91,94.8,96.3,95.9,99.8,94.5,101.5,97.8,100.8,101.5,102.3,105.7,105.1,100.1,105,109.9,116.8,109,109.8,99.7,98.8,102.2,105.9,107.5,114.1,114.2,114.5,117,120.4,123.5,126.6,133.2,135.9,139.3,141.3,139.7,135.3,131.2,128.9,126.4,126.1,127.4
