"","Table 7#5# Consumption of Fixed Capital by Legal Form of Organiz","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46"
"11","4","    Corporate business","A438RC1",45.1,50,54.8,59.7,66.9,78.8,94.4,104.5,118,134.2,155.1,179.8,208.1,231.4,240.4,252.9,271.7,289.8,306.5,328.8,350.8,373,392.1,402,420.1,444.9,476.8,506,540.9,578.3,625.8,685.1,730.3,755.9,775.5,809.2,862.9,925.9,973.4,1028.5,1030.4,1026.5,1061.9
"12","5","      Financial","B580RC1",2.2,2.5,2.9,3.2,3.8,4.7,5.8,6.8,7.9,9.1,10.9,13.2,15.7,18.5,21.1,24.1,27.7,31.8,36.4,41.5,46.9,52,56,57.9,61,64.8,68.6,70.9,74,78.5,86.5,95,98.3,101.4,106.5,113.6,119.9,124.9,133.3,164.2,167.9,166.4,168.2
"13","6","      Nonfinancial","B456RC1",42.9,47.5,52,56.5,63.1,74.2,88.6,97.8,110.1,125.1,144.3,166.7,192.4,212.8,219.3,228.8,244,258,270,287.3,303.9,321,336.1,344.1,359,380.1,408.3,435.1,466.9,499.9,539.3,590.1,632,654.5,669,695.6,743,800.9,840.1,864.3,862.5,860.1,893.7
"14","7","    Noncorporate business","W277RC1",16.8,18.2,19.8,21.5,23.7,27.3,31.3,33.9,37.5,42.2,48.4,55.6,63.1,69.3,71,73,76.3,80.1,83.9,88.8,93.6,96.8,98.5,98.9,101.1,104.6,109.2,113.2,117.6,123.8,131,139.2,146.3,152.6,159.9,169.6,182.9,197.4,217.4,219.8,219.7,218.6,223.8
"15","8","      Sole proprietorships and partnerships","A1615C1",13.7,14.9,16.2,17.6,19.4,22.3,25.8,27.9,30.8,34.6,39.8,45.8,52.3,57.9,59.2,60.9,63.6,66.6,69.6,73.7,77.8,80.4,81.7,81.8,83.4,86.2,90.1,93.5,97.3,102.7,109,116,121.9,127.3,133.3,141,152.2,164.5,183.8,186.1,186.8,185.8,190.7
"16","9","        Farm","B1616C1",4.5,4.8,5.1,5.5,6,7,8.3,9.3,10.3,11.5,13.1,15,16.5,17.5,17.4,17.1,16.6,16.3,15.9,15.7,16,16.3,16.5,16.4,16.4,16.7,17.2,17.7,18,18.7,19.3,19.6,20.1,20.7,21.5,22.7,24.5,26.2,24.1,23.3,23.9,24.1,25.2
"17","10","        Nonfarm","B1617C1",9.3,10.1,11.1,12.1,13.4,15.4,17.5,18.7,20.5,23.1,26.7,30.8,35.8,40.4,41.9,43.8,46.9,50.3,53.7,58,61.8,64.1,65.2,65.4,67,69.5,72.9,75.9,79.3,84,89.8,96.4,101.8,106.7,111.8,118.3,127.7,138.3,159.7,162.8,162.9,161.7,165.5
"18","11","      Other private business","A1618C1",3.1,3.3,3.5,3.9,4.3,4.9,5.6,6,6.7,7.6,8.6,9.7,10.7,11.4,11.7,12.2,12.7,13.5,14.3,15,15.8,16.4,16.8,17.1,17.7,18.3,19.1,19.6,20.3,21,22,23.2,24.4,25.3,26.6,28.5,30.7,32.9,33.5,33.7,32.9,32.8,33
"19","12","        Rental income of persons","B1620C1",2.7,2.8,3.1,3.4,3.8,4.3,4.8,5.2,5.7,6.5,7.4,8.4,9.3,9.9,10.2,10.7,11.1,11.8,12.6,13.2,13.9,14.5,14.8,15.1,15.7,16.2,16.9,17.5,18.2,18.9,19.8,20.9,22,22.8,24,26,28.1,30.1,31.2,31.3,30.5,30.4,30.6
"20","13","          Nonfarm tenant-occupied housing","B2608C1",2.4,2.6,2.8,3.1,3.5,4,4.5,4.8,5.3,6.1,6.9,7.9,8.7,9.3,9.5,10,10.4,11,11.6,12.2,12.8,13.3,13.6,13.9,14.5,15,15.6,16.2,16.8,17.4,18.2,19.2,20.2,20.9,22.1,23.9,25.9,27.8,28.6,28.7,27.9,27.8,28
"21","14","          Farm tenant-occupied housing","W278RC1",0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
"22","15","          Farms owned by nonoperator landlords","B2609C1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
"23","16","          Nonfarm nonresidential properties","B2610C1",0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.6,0.6,0.7,0.8,0.8,0.9,0.9,0.9,0.9,0.9,0.9,1,1,1.1,1.2,1.3,1.4,1.4,1.5,1.6,1.8,2.1,2,2,1.9,2
"24","17","        Proprietors' income","B1619C1",0.4,0.4,0.5,0.5,0.5,0.6,0.7,0.8,0.9,1,1.1,1.3,1.4,1.5,1.5,1.5,1.6,1.7,1.7,1.8,1.9,1.9,2,2,2.1,2.1,2.1,2.1,2.2,2.2,2.2,2.4,2.5,2.5,2.5,2.5,2.6,2.8,2.3,2.4,2.4,2.4,2.5
"25","18","  Households and institutions","W279RC1",12.6,13.5,14.9,16.5,18.8,21.7,24.7,27.1,30.7,35.5,41,46.9,52.1,55.8,58.1,61.5,64.8,69.2,74.1,79.5,85.2,90.6,94.8,99,105.2,111.5,118.7,124.2,131.2,139.5,150.4,162.5,175.1,185.5,200.5,222.2,245.1,268.1,285.5,294.6,292.7,294.9,301.7
"26","19","    Owner-occupied housing","B2607C1",9.5,10.1,11.1,12.3,13.9,16,17.9,19.7,22.5,26.3,30.5,35,38.8,41.4,43,45.5,47.9,51.2,54.9,58.9,62.9,66.4,68.9,71.3,75.8,80.9,86.6,91.2,96.6,102.3,110,118.5,127.7,135,146.2,163.5,181.4,199.2,208,209.5,204.5,205.5,209.5
"27","20","    Nonprofit institutions serving households","B1621C1",3.1,3.4,3.8,4.3,4.9,5.8,6.8,7.4,8.2,9.2,10.4,11.9,13.2,14.3,15.1,16,16.9,18,19.2,20.6,22.3,24.2,26,27.7,29.4,30.7,32,33,34.6,37.2,40.4,44,47.4,50.6,54.3,58.7,63.7,68.9,77.5,85.2,88.2,89.4,92.2
"28","21","Government","A264RC1",24.7,26.6,28.2,29.4,31.3,35.9,39.9,42.6,45.6,49.5,54.4,61.8,70.1,77.1,81.6,86.9,92.7,99.4,106.6,113.9,121.8,130.8,138.9,144.5,151.6,158.2,164.8,169.2,174.1,179,187.2,197.5,204.6,210.9,218.1,231.9,250.6,269.3,291.3,311.2,323.5,333.5,349.4
"29","22","  General government","A265RC1",22.5,24.1,25.5,26.3,27.8,31.6,34.9,37.1,39.6,42.8,46.9,53,60.1,66.2,70.1,74.7,79.7,85.6,92,98.3,105.1,112.9,120.1,124.7,130.5,135.8,141.2,144.5,148.1,151.9,158.5,166.8,172.5,177.3,182.8,193.4,208.7,224.7,243.2,259.6,270.4,278.2,291
"30","23","    Federal","B995RC1",15.1,15.7,16.1,16.1,16.5,17.5,18.9,20.5,22.1,23.9,25.8,28.7,32.3,35.9,38.9,42.7,46.1,49.5,53,56.8,60.7,64.9,69,71.3,74.2,76.3,77.8,77.9,77.9,78,79.8,82.1,82.8,83.5,85.2,89,94.3,100.5,106.3,113.4,118.2,123.5,130
"31","24","    State and local","B986RC1",7.4,8.4,9.4,10.2,11.3,14.1,15.9,16.6,17.5,18.9,21.1,24.3,27.8,30.3,31.2,32,33.7,36.2,39,41.5,44.4,48,51.1,53.4,56.3,59.5,63.4,66.7,70.2,73.9,78.7,84.7,89.7,93.8,97.6,104.4,114.4,124.2,136.9,146.2,152.2,154.7,161
"32","25","  Government enterprises","A266RC1",2.2,2.5,2.8,3.1,3.5,4.3,5.1,5.5,6,6.7,7.6,8.8,10,10.9,11.5,12.2,12.9,13.8,14.6,15.6,16.7,17.9,18.8,19.8,21.1,22.4,23.6,24.6,26,27.1,28.6,30.7,32.1,33.7,35.4,38.5,41.9,44.6,48.1,51.5,53.1,55.3,58.4
"33","26","    Federal","B833RC1",0.3,0.4,0.4,0.5,0.5,0.7,0.8,0.9,1,1,1.2,1.3,1.5,1.7,1.8,1.8,2,2.1,2.2,2.3,2.6,2.8,3.1,3.3,3.6,3.8,3.9,4.1,4.6,4.8,5.2,5.6,5.8,5.7,5.7,5.8,6.1,6.1,6.3,6.5,6.6,6.8,7
"34","27","    State and local","B846RC1",1.9,2.1,2.4,2.7,3,3.6,4.3,4.6,5,5.6,6.4,7.5,8.5,9.2,9.7,10.3,11,11.7,12.5,13.3,14.2,15.1,15.8,16.5,17.5,18.6,19.7,20.6,21.4,22.3,23.4,25,26.4,28,29.7,32.7,35.7,38.5,41.8,45,46.5,48.6,51.4
"35",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","28","  Nonfarm business","B1667C1",59.4,65.6,72,78.4,87.8,102.9,121.9,134,150.3,170.6,196.8,227.8,263.2,292.5,304,319.5,342.7,365.9,387.5,416,443.5,469.8,491.2,502.5,524.1,553.1,590.1,623.6,663.4,707.2,762.7,831.7,884.8,917.5,945,989.8,1058.1,1136.6,1205.9,1267.3,1269.4,1265.7,1307.5
