"","Table 6#17C# Corporate Profits Before Tax by Industry           ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"43","36","  Transportation and public utilities","E567RC0",43851,48300,44975,46287,52523,59116,69940,85262,88013,94315,86283,80714,59507,46375
"44","37","    Transportation","C512RC0",4795,7508,2512,1413,1434,2628,7049,11168,12311,16923,19469,21863,16636,15606
"45","38","      Railroad transportation","B3038C0",1273,1792,-213,872,904,1085,1217,3007,3221,3059,1328,759,310,2428
"46","39","      Local and interurban passenger transit","B3039C0",59,83,221,1,345,346,255,361,455,625,558,772,500,719
"47","40","      Trucking and warehousing","B3040C0",1923,2233,2122,2645,3467,4705,5402,5594,3974,4875,5935,9325,8544,8873
"48","41","      Water transportation","B3041C0",21,450,558,562,621,325,485,461,504,728,999,904,435,885
"49","42","      Transportation by air","B3042C0",389,1905,-1340,-3805,-5351,-5242,-1955,233,2336,5333,8537,7604,5246,1834
"50","43","      Pipelines, except natural gas","B3043C0",895,808,767,746,702,664,696,664,778,770,686,903,387,-64
"51","44","      Transportation services","B3044C0",234,236,397,392,747,746,950,848,1042,1534,1426,1597,1215,931
"52","45","    Communications","C513RC0",19897,19670,18409,20179,23603,27865,33183,37690,34398,35837,26430,22496,5755,2284
"53","46","      Telephone and telegraph","B3046C0",19845,19674,19132,20694,23067,25870,29453,33156,31084,35176,25703,22589,13043,1326
"54","47","      Radio and television","B3047C0",53,-3,-723,-515,535,1995,3731,4534,3313,662,727,-93,-7288,958
"55","48","    Electric, gas, and sanitary services","C514RC0",19159,21122,24054,24695,27486,28623,29708,36404,41304,41555,40384,36355,37116,28485
"56","49","  Wholesale trade","C510RC0",22789,26720,25505,21634,22386,26077,29128,35596,34202,39554,44249,45066,52631,59164
"57","50","  Retail trade","C511RC0",26466,25080,26023,25450,29573,31813,42707,49804,48104,55612,62920,74094,77515,73493
"58","51","  Finance, insurance, and real estate","A3051C0",60547,68024,77294,87409,115299,138747,131588,129018,162115,171091,193175,166550,197910,203715
"59","52","    Depository institutions","B3091C0",53160,54869,63621,75230,89850,96662,88603,90029,103966,101974,102429,104491,121453,146511
"60","53","      Federal Reserve banks","B3053C0",16247,18075,20646,21817,20725,18291,16687,18512,22942,22544,24278,25595,26674,31215
"61","54","      Commercial and mutual depository institutions","B3092C0",36913,36793,42976,53413,69125,78370,71916,71516,81024,79430,78150,78895,94779,115296
"62","55","    Nondepository institutions","B3093C0",3330,4565,6828,8329,10658,14237,15651,15745,18764,20547,20152,20149,26137,25724
"63","56","    Security and commodity brokers","B3056C0",1254,-2105,-4365,-1595,-4883,-2380,366,-7709,-6158,-1318,10521,-1766,-2803,-22810
"64","57","    Insurance carriers","B3057C0",427,10958,16588,8785,20313,28176,20957,36102,29964,32790,28271,19832,11408,7037
"65","58","    Insurance agents, brokers, and service","B3058C0",3106,2553,2677,3046,3109,3211,3359,4152,4386,4742,4990,6658,6481,8494
"66","59","    Real estate","B3059C0",-1012,-775,-2891,-4907,-6815,-3961,-1831,-160,2007,3628,5744,6924,7469,9330
"67","60","    Holding and other investment offices","B3060C0",281,-2040,-5163,-1479,3067,2803,4482,-9140,9186,8728,21069,10262,27766,29428
"68","61","  Services","A3061C0",14590,15487,16137,20376,24422,33015,38399,46584,51042,57337,61200,50082,52986,12341
"69","62","    Hotels and other lodging places","B3062C0",-588,-530,-1005,-1435,-1027,-203,817,1518,2241,2726,2982,1972,3410,3967
"70","63","    Personal services","B3063C0",889,1051,1645,1646,1508,1743,1932,2375,2641,2470,2975,3977,3477,4382
"71","64","    Business services","B3064C0",4306,5727,6145,7216,7477,11382,12304,15070,16517,19369,22935,11516,4815,-36666
"72","65","    Auto repair, services, and parking","B3065C0",-26,-119,-416,-153,-203,72,852,651,441,579,1407,2127,1866,1637
"73","66","    Miscellaneous repair services","B3066C0",509,698,772,803,777,809,898,952,1037,1261,1215,1227,1350,1373
"74","67","    Motion pictures","B3067C0",-690,-153,-690,-911,-1371,7,46,-485,-317,-47,-1214,-1539,577,-499
"75","68","    Amusement and recreation services","B3068C0",-471,289,870,505,755,1945,1733,1904,1715,2822,3788,846,902,429
"76","69","    Other services","A3069C0",10662,8523,8816,12705,16508,17261,19817,24601,26766,28158,27112,29957,36589,37718
"77","70","      Health services","B3070C0",6523,5114,4845,7561,11376,11153,12996,16091,16086,16497,14347,14447,19148,23525
"78","71","      Legal services","B3071C0",1695,1117,1192,1372,1310,1951,1846,2327,3008,3149,3721,4021,4593,5846
"79","72","      Educational services","B3072C0",380,407,393,563,744,670,570,790,931,813,769,1502,1269,1318
"80","73","      Other \1\","B3073C0",2063,1885,2387,3208,3077,3486,4405,5394,6741,7698,8276,9987,11578,7029
"81","74","Rest of the world \2\","B394RC0",48012,56984,67129,76088,76469,73090,76930,77966,92947,101971,107556,102762,121516,145624
"82","75","  Receipts from the rest of the world","B3075C0",58923,71580,75510,80919,75489,78328,88948,104525,127364,139359,155496,146786,176806,202481
"83","76","  Less: Payments to the rest of the world","B3076C0",10911,14596,8381,4831,-980,5238,12018,26559,34417,37388,47940,44024,55290,56857
"84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","1. Consists of social services; membership organizations;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","engineering and management services, except for commercial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","research and testing services and for management and public",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","relations; and services, not elsewhere classified.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","2. Consists of receipts by all U.S. residents, including both",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","corporations and persons, of dividends from foreign",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","corporations, and, for U.S. corporations, their share of reinvested earnings of their",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","incorporated foreign affiliates, and earnings of unincorporated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","foreign affiliates (line 75), net of corresponding payments",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","(line 76).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","Note.  Estimates in this table are based on the 1987 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
