"","Table 5#4#2# Contributions to Percent Change in Real Private Fix","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46"
"11","2","Nonresidential","B009RW2",2.54,0.13,-0.82,1.37,3.33,-0.93,-5.18,1.2,1.85,5.85,5.34,2.69,4.31,-0.96,-6.8,7.07,3.57,-5.61,-1.29,0.28,0.87,0.67,-5.37,-2.88,-0.28,0.74,2.47,2.33,2.99,2.17,0.05,3.15,-0.64,-7.39,-1.37,0.36,0.46,2.95,5.23,3,-11.79,-8.82,1.47
"12","3","  Commercial and health care","W001RW2",2.03,0.19,1.45,1.42,0.68,-0.96,-3.62,-0.19,0.65,1.54,2.18,1.31,1.3,1.5,-0.6,4.04,3.1,-1.59,-0.75,0.6,-0.26,-0.82,-4.63,-1.27,0.64,0.74,0.93,1.27,1.74,1.1,0.65,1.2,-0.88,-2.64,-0.95,0.33,-0.11,0.74,1.34,-0.6,-5.43,-3.93,-0.29
"13","4","    Office \1\","W031RW2",0.62,-0.08,0.53,-0.14,0.31,-0.31,-1.21,-0.22,0.19,0.57,1.06,1.13,1.21,1.66,-1.02,1.73,1.63,-1.14,-0.92,0.13,-0.2,-0.62,-1.68,-1.09,0.02,0.14,0.55,0.38,0.95,1.1,0.45,0.85,-0.62,-2.2,-0.81,0.05,0.11,0.45,0.49,-0.05,-2.16,-1.76,-0.37
"14","5","    Health care","W032RW2",0.7,0.38,0.3,0.13,-0.13,-0.21,-0.33,0.09,-0.16,-0.03,0.08,0.24,0.42,0.92,0.18,0.01,-0.14,-0.26,0,0.33,-0.08,0.11,-0.42,0,0.16,-0.16,-0.27,0.1,0.41,-0.05,-0.02,0.04,-0.12,0.35,0.16,0.07,0,0.1,0.19,0.2,-0.17,-0.61,-0.18
"15","6","      Hospitals and special care","C311RW2",0.62,0.39,0.24,0.16,-0.17,-0.18,-0.19,0.12,-0.18,-0.09,-0.05,0.09,0.26,0.7,0.32,-0.2,-0.33,-0.12,0.11,0.32,-0.05,0.18,-0.23,0.14,0.17,-0.17,-0.34,0.06,0.27,-0.04,-0.13,0.05,-0.02,0.32,0.02,-0.07,0.03,0.24,0.14,0.1,-0.02,-0.33,-0.19
"16","7","        Hospitals","W033RW2",0.5,0.31,0.19,0.13,-0.13,-0.14,-0.15,0.09,-0.15,-0.08,-0.04,0.08,0.21,0.57,0.25,-0.16,-0.27,-0.09,0.09,0.26,-0.04,0.15,-0.18,0.11,0.13,-0.09,-0.36,-0.14,0.28,-0.16,-0.06,0.04,0.1,0.33,0.12,0,0.08,0.2,0.14,0.05,0.02,-0.3,-0.21
"17","8","        Special care","W034RW2",0.12,0.07,0.05,0.03,-0.03,-0.03,-0.04,0.02,-0.03,-0.02,-0.01,0.02,0.05,0.14,0.06,-0.04,-0.06,-0.02,0.02,0.06,-0.01,0.04,-0.04,0.03,0.03,-0.08,0.03,0.2,0,0.12,-0.06,0.01,-0.12,-0.01,-0.1,-0.07,-0.05,0.05,0,0.05,-0.05,-0.02,0.02
"18","9","      Medical buildings","W035RW2",0.07,-0.01,0.06,-0.03,0.04,-0.04,-0.14,-0.03,0.02,0.07,0.13,0.14,0.15,0.22,-0.13,0.2,0.2,-0.14,-0.12,0.02,-0.03,-0.08,-0.2,-0.14,0,0.01,0.07,0.04,0.14,-0.01,0.11,-0.01,-0.09,0.03,0.14,0.15,-0.02,-0.14,0.04,0.11,-0.15,-0.28,0
"19","10","    Multimerchandise shopping","W036RW2",0.27,-0.03,0.23,0.53,0.19,-0.17,-0.77,-0.03,0.24,0.35,0.37,-0.02,-0.13,-0.39,0.09,0.84,0.59,-0.07,0.06,0.05,0.01,-0.11,-0.92,-0.06,0.18,0.03,-0.12,0.23,-0.25,0.1,0.23,-0.1,0.13,-0.14,-0.07,0.27,0.2,0.4,0.31,-0.37,-1.37,-0.69,0.09
"20","11","    Food and beverage establishments","W037RW2",0.15,-0.02,0.13,0.29,0.1,-0.09,-0.42,-0.02,0.13,0.19,0.2,-0.01,-0.07,-0.21,0.05,0.45,0.32,-0.04,0.03,0.03,0,-0.06,-0.5,-0.03,0.1,-0.08,0.16,0.05,0.15,0.04,-0.16,0.04,-0.03,-0.13,0.03,-0.07,-0.12,-0.08,0.01,-0.03,-0.32,-0.02,0.08
"21","12","    Warehouses","W038RW2",0.12,-0.01,0.11,0.24,0.08,-0.08,-0.35,-0.01,0.11,0.16,0.17,-0.01,-0.06,-0.18,0.04,0.38,0.26,-0.03,0.03,0.02,0,-0.05,-0.42,-0.03,0.08,0.17,0.52,0.39,0.14,-0.05,0.09,0.1,0.06,-0.5,0.01,-0.12,-0.02,0.06,0.13,-0.08,-0.7,-0.49,0.08
"22","13","    Other commercial \2\","W039RW2",0.18,-0.03,0.16,0.37,0.14,-0.1,-0.55,0,0.15,0.29,0.3,0,-0.06,-0.29,0.06,0.63,0.44,-0.05,0.05,0.04,0.01,-0.08,-0.69,-0.07,0.1,0.64,0.09,0.12,0.35,-0.03,0.05,0.27,-0.31,-0.01,-0.27,0.13,-0.28,-0.18,0.21,-0.26,-0.7,-0.37,0.01
"23","14","  Manufacturing","C307RW2",0.44,-0.3,-1.52,-0.82,1.23,0.86,-0.33,-0.65,0.18,2.01,1.66,-1.42,1.08,-0.31,-2.63,0.22,0.71,-1.02,-0.14,0.29,1.11,0.9,-0.63,-0.67,-1.54,0.99,1.07,0.36,-0.31,0.21,-1.03,0.16,-0.14,-1.98,-0.21,0.12,0.42,0.27,0.55,0.96,0.26,-2.11,0.02
"24","15","  Power and communication","W003RW2",0,1.04,0.1,0.48,0.67,-0.7,-0.97,1.16,-0.19,0.49,0.36,0.09,0.27,-0.58,-1.5,0.18,-0.08,0.47,-0.79,-0.36,0.23,-0.45,1.17,0.5,-0.55,-0.71,0.13,-0.92,-0.19,0.83,0.92,0.88,0.2,-0.15,-0.51,-0.96,-0.1,0.32,1.78,0.64,0.06,-1.87,-1.03
"25","16","    Power","W028RW2",-0.55,0.44,0.07,0.31,0.34,-0.49,-0.48,1.18,-0.36,0.08,0.12,0.06,0.16,-0.62,-1.26,-0.05,-0.12,0.26,-0.85,-0.43,0.41,-0.43,1.39,0.49,-0.66,-0.79,0.07,-0.96,-0.25,0.82,0,0.87,0.17,0.03,0.03,-0.99,-0.34,0.27,1.42,0.77,0.66,-1.44,-0.8
"26","17","      Electric","C571RW2",0.07,0.66,0.17,0.3,0.33,-0.59,-0.78,0.68,0.77,0.33,-0.05,-0.12,0.14,-0.28,-0.82,-0.06,-0.3,0.29,-0.84,-0.49,0.3,-0.52,1.16,0.14,-0.34,-0.44,-0.22,-0.64,-0.03,0.24,0.35,0.99,0.15,-0.12,0.01,-0.73,-0.24,0.19,0.73,0.2,0.31,-0.8,-0.69
"27","18","      Other power","W029RW2",-0.62,-0.22,-0.11,0.01,0,0.1,0.3,0.5,-1.12,-0.25,0.17,0.18,0.02,-0.35,-0.45,0.01,0.18,-0.03,-0.01,0.06,0.12,0.09,0.23,0.34,-0.32,-0.34,0.29,-0.32,-0.22,0.59,-0.35,-0.12,0.02,0.15,0.02,-0.26,-0.09,0.08,0.69,0.57,0.34,-0.64,-0.11
"28","19","    Communication","C314RW2",0.55,0.61,0.03,0.18,0.33,-0.21,-0.49,-0.02,0.17,0.41,0.24,0.03,0.1,0.05,-0.23,0.23,0.04,0.21,0.06,0.07,-0.18,-0.02,-0.22,0.01,0.12,0.08,0.07,0.04,0.06,0.01,0.92,0,0.03,-0.19,-0.54,0.02,0.24,0.05,0.36,-0.13,-0.6,-0.42,-0.24
"29","20","  Mining exploration, shafts, and wells","E318RW2",0.15,-0.21,-0.25,0.2,0.18,0.54,0.73,0.48,0.79,0.91,0.46,2.91,1.91,-1.16,-2.5,1.29,-0.95,-2.96,-0.08,0.32,-0.36,0.55,-0.1,-0.8,0.56,-0.11,-0.52,0.2,0.56,-0.5,-0.51,0.65,0.61,-1.27,0.56,0.77,0.61,1.1,0.6,0.99,-4.85,1.87,3.34
"30","21","    Petroleum and natural gas","C319RW2",0.11,-0.24,-0.27,0.19,0.14,0.42,0.65,0.31,0.67,1,0.51,2.81,1.72,-0.97,-2.29,1.25,-0.92,-2.79,-0.01,0.32,-0.38,0.52,-0.13,-0.79,0.55,-0.19,-0.41,0.17,0.58,-0.43,-0.49,0.61,0.63,-1.39,0.63,0.68,0.57,0.99,0.68,1.02,-4.78,1.77,3.25
"31","22","    Mining","C320RW2",0.04,0.03,0.02,0.01,0.04,0.12,0.08,0.18,0.12,-0.09,-0.05,0.1,0.2,-0.19,-0.21,0.04,-0.03,-0.17,-0.07,0.01,0.02,0.03,0.04,-0.01,0.01,0.09,-0.11,0.03,-0.02,-0.06,-0.02,0.04,-0.02,0.12,-0.06,0.1,0.05,0.11,-0.09,-0.03,-0.06,0.1,0.09
"32","23","  Other structures","W004RW2",-0.08,-0.6,-0.6,0.09,0.58,-0.67,-0.98,0.41,0.41,0.91,0.68,-0.21,-0.25,-0.42,0.43,1.33,0.8,-0.5,0.47,-0.57,0.16,0.5,-1.18,-0.64,0.61,-0.17,0.86,1.42,1.19,0.51,0.01,0.27,-0.43,-1.35,-0.26,0.09,-0.35,0.52,0.98,1.01,-1.84,-2.79,-0.56
"33","24","    Religious","C309RW2",-0.22,-0.14,-0.22,-0.03,-0.08,0.01,-0.1,0.05,0.02,0.09,0.09,-0.01,-0.02,-0.07,0.09,0.12,0.08,0.07,0.03,0.02,0.04,-0.07,-0.09,-0.11,0.07,-0.04,0.06,0.02,0.19,0.1,0.08,0.05,0.01,-0.02,0,-0.1,-0.1,-0.05,-0.05,-0.04,-0.07,-0.09,-0.15
"34","25","    Educational and vocational","W044RW2",-0.2,-0.27,0,-0.03,-0.13,-0.25,-0.11,0.03,-0.01,0.03,0.05,0.13,-0.01,0.04,0.05,0.02,0.1,0.12,0.33,-0.26,0.09,0.09,0.02,0.04,0,0,0.1,0.24,0.34,0.11,-0.14,0.25,0.09,-0.01,-0.03,-0.17,-0.07,-0.02,0.08,0.04,-0.17,-0.39,-0.02
"35","26","    Lodging","W045RW2",0.06,-0.12,-0.08,0.47,0.15,-0.64,-0.54,-0.17,-0.01,0.14,0.41,0.24,0.23,-0.07,0.38,0.47,0.13,0,-0.05,-0.2,0.18,0.35,-0.82,-0.77,0.23,-0.02,0.56,0.87,0.36,0.3,0.09,-0.06,-0.39,-0.66,-0.13,0.19,-0.03,0.4,0.91,0.78,-1.04,-2.09,-0.53
"36","27","    Amusement and recreation","W046RW2",0.19,0.04,-0.06,-0.02,0.05,-0.11,-0.12,0.12,0.04,0.13,0.09,0.03,-0.01,0.13,0.14,0.34,0.29,-0.14,0.08,0.09,-0.22,0.05,-0.12,-0.02,0.13,0.01,0.05,0.11,0.12,-0.05,0.1,-0.2,-0.2,-0.07,0.01,0.02,-0.18,0.12,0.04,0.01,-0.2,-0.24,0.07
"37","28","    Transportation","W047RW2",0.04,-0.18,0.03,0.04,0.05,-0.01,-0.19,0.31,0.09,0.22,-0.01,-0.09,-0.05,-0.1,-0.06,0.18,0.16,-0.29,-0.11,-0.03,0.02,-0.02,-0.07,0.12,0.01,0.04,0.02,0.16,0.1,0.15,-0.13,0.02,-0.01,-0.05,-0.05,0.01,0.01,0.11,0.01,0.05,-0.09,0.1,-0.03
"38","29","      Air","W048RW2",0.02,0,-0.01,0,0.01,-0.01,-0.01,0.01,0,0.01,0.01,0,0,0.01,0.01,0.03,0.02,-0.01,0.01,0.02,-0.03,0,-0.01,-0.01,0.02,0.01,0,0.03,0,0.02,0.02,0.08,0.02,-0.09,-0.05,-0.01,-0.02,-0.01,0.01,-0.01,-0.03,-0.02,0.03
"39","30","      Land \3\","W049RW2",0.03,-0.18,0.04,0.04,0.04,0,-0.17,0.29,0.09,0.21,-0.01,-0.09,-0.05,-0.11,-0.08,0.15,0.14,-0.29,-0.12,-0.04,0.05,-0.02,-0.06,0.13,0,0.03,0.02,0.13,0.09,0.13,-0.15,-0.05,-0.03,0.04,0,0.02,0.03,0.12,0.01,0.06,-0.06,0.12,-0.06
"40","31","    Farm","C316RW2",-0.04,0.1,-0.14,-0.28,0.48,0.31,0.12,0.08,0.12,0.18,0,-0.44,-0.35,-0.41,-0.21,-0.05,-0.3,-0.05,0.1,-0.07,0.01,0.04,-0.02,-0.1,0.22,-0.07,-0.07,0.11,0.01,0.05,0.09,0.1,-0.14,0.05,-0.08,0.01,-0.01,-0.04,0.02,0.15,-0.12,-0.05,0.11
"41","32","    Other \4\","W050RW2",0.11,0.09,-0.02,-0.06,-0.02,-0.03,-0.02,0.02,0.07,0.08,0.08,-0.05,0,0.02,0.1,0.22,0.3,-0.18,0.09,-0.16,0.07,0.12,-0.04,0.19,-0.09,-0.13,0.1,-0.17,-0.1,0,-0.08,0.09,-0.15,-0.12,0.04,0.05,-0.04,0.05,0.01,-0.03,-0.13,0.04,-0.03
"42","33","    Brokers' commissions on sale of structures","C321RW2",-0.05,-0.06,-0.05,-0.02,0.08,0.04,-0.04,-0.01,0.08,-0.02,-0.02,-0.02,-0.02,-0.01,0,0.06,0.04,-0.01,0.01,0.02,0.02,0.01,-0.05,-0.01,0,0.02,0.03,0.03,0.03,0.02,0.01,0.02,-0.02,-0.04,-0.01,0.01,0.01,0.03,0.05,0.04,-0.04,-0.08,0
"43","34","    Net purchases of used structures","E322RW2",0.01,-0.05,-0.07,0.01,-0.02,0,0.02,-0.02,0.01,0.06,-0.02,-0.01,-0.03,0.04,-0.06,-0.02,-0.01,-0.02,-0.01,0.03,-0.05,-0.07,0,0.01,0.04,0.02,0,0.04,0.16,-0.18,-0.01,0.01,0.39,-0.43,0,0.08,0.07,-0.06,-0.1,0,0.04,0.01,0.01
"44","35","Residential","A012RW2",1.43,-3.3,13.85,9.92,-0.55,-12.04,-6.69,12.06,12,3.71,-2.28,-11.71,-3.81,-7.67,15.75,7.37,0.71,6.04,1.07,-0.64,-1.75,-4.79,-5.05,7.39,4.77,5.91,-2.06,4.8,1.15,4.43,3.58,0.54,0.31,3.07,5.28,6.55,4.26,-5.06,-11.89,-12.94,-10,-1.71,-0.72
"45","36","  Permanent site","A943RW2",1.08,-3.47,11.64,8.36,-0.2,-11.64,-8.08,9.38,10.11,1.83,-2.47,-10.43,-2.08,-5.31,13.12,5.51,-0.42,3.59,0.47,-1.27,-0.84,-3.23,-4.35,4.98,2.27,4.15,-2.41,3.19,0.19,3.17,2.55,0.29,0.2,1.41,3.75,4.72,2.99,-3.73,-10.03,-10.22,-8.77,-0.68,-0.67
"46","37","    Single-family structures","A944RW2",-1.38,-3.22,8.42,5.02,-0.62,-6.31,-2.05,9.55,8.57,1.13,-3.73,-9.73,-1.84,-4.17,11,3.85,-0.21,3.37,2.15,-0.35,-0.83,-2.58,-3.3,5.58,2.9,3.44,-3.1,2.81,-0.1,3.21,2.26,0.36,0.05,1.21,3.64,4.4,2.59,-3.76,-9.51,-9.7,-7.2,1.13,-0.72
"47","38","    Multifamily structures","C292RW2",2.46,-0.25,3.21,3.34,0.42,-5.33,-6.03,-0.17,1.54,0.7,1.26,-0.7,-0.25,-1.14,2.12,1.65,-0.21,0.23,-1.68,-0.92,-0.01,-0.65,-1.05,-0.6,-0.63,0.71,0.69,0.38,0.29,-0.04,0.3,-0.07,0.16,0.2,0.11,0.32,0.4,0.03,-0.51,-0.52,-1.57,-1.81,0.05
"48","39","  Other structures","A863RW2",0.36,0.17,2.22,1.56,-0.35,-0.4,1.38,2.68,1.89,1.88,0.19,-1.28,-1.72,-2.36,2.63,1.87,1.12,2.45,0.61,0.64,-0.91,-1.55,-0.7,2.4,2.5,1.76,0.35,1.62,0.96,1.26,1.03,0.25,0.1,1.65,1.54,1.83,1.26,-1.33,-1.86,-2.72,-1.23,-1.03,-0.05
"49","40","    Manufactured homes","A945RW2",0.64,-0.13,1.01,0.86,0.2,-1.04,-0.85,0.42,0.42,0.07,0.01,-0.34,0.04,-0.1,0.5,0.03,-0.08,-0.22,-0.03,-0.08,-0.08,-0.08,-0.15,0.28,0.37,0.36,0.28,0.24,0.08,0.11,-0.12,-0.49,-0.29,0.05,-0.22,-0.03,0.1,-0.19,-0.13,-0.11,-0.24,-0.01,-0.02
"50","41","    Dormitories","C295RW2",-0.13,-0.15,-0.09,-0.07,0.01,-0.02,0.06,-0.08,-0.05,0.02,-0.02,0.01,0.03,0.02,0.02,0.02,-0.01,0.01,0.05,-0.01,0.01,0.02,-0.12,0.02,0.04,-0.05,0.03,0.01,0.04,0.02,0.04,0,0.02,-0.01,0.02,-0.03,-0.03,0.04,0.07,0.09,-0.11,-0.1,0.07
"51","42","    Improvements","A946RW2",-0.16,0.37,0.55,0.2,-0.75,0.69,1.4,1.23,0.58,1.32,0.31,0.16,-0.97,-1.61,0.64,1.47,0.78,2.3,0.64,0.19,-0.4,-1.16,-0.59,1.58,1.99,0.96,-0.01,0.7,0.29,0.18,0.6,0.48,0.32,0.95,0.74,0.32,0.42,-0.07,-0.49,-1.18,-0.4,-0.53,-0.29
"52","43","    Brokers' commissions on sale of structures","A758RW2",-0.06,0.2,0.98,0.52,0.07,-0.24,0.33,1.08,1.01,0.51,-0.19,-1.08,-0.82,-0.65,1.41,0.43,0.52,0.6,-0.08,0.2,-0.37,-0.27,0.14,0.51,0.2,0.24,0.08,0.75,0.67,1.05,0.53,-0.05,0.11,0.85,1.03,1.39,0.68,-1.01,-1.22,-1.4,-0.56,-0.34,0.1
"53","44","    Net purchases of used structures","A759RW2",0.06,-0.11,-0.22,0.05,0.11,0.21,0.44,0.03,-0.07,-0.04,0.09,-0.03,-0.01,-0.02,0.05,-0.08,-0.09,-0.25,0.03,0.34,-0.06,-0.06,0.02,0,-0.1,0.24,-0.03,-0.09,-0.11,-0.1,-0.03,0.31,-0.05,-0.18,-0.03,0.18,0.1,-0.1,-0.09,-0.11,0.08,-0.05,0.09
"54",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","45","  Private fixed investment in new structures \5\","W040RW2",4,-3.14,12.39,10.74,2.53,-12.99,-12.62,12.19,12.82,9.06,3.2,-7.88,1.38,-7.99,7.54,14.06,3.8,0.1,-0.16,-0.93,-0.43,-3.72,-10.54,3.99,4.37,6.12,0.33,6.41,3.4,5.8,3.13,3.4,-0.76,-4.51,2.93,5.25,3.86,-0.97,-5.3,-8.46,-21.32,-10.07,0.56
"56","46","    Nonresidential structures","A771RW2",2.57,0.25,-0.71,1.39,3.26,-0.98,-5.16,1.24,1.75,5.81,5.38,2.71,4.36,-0.99,-6.74,7.03,3.53,-5.58,-1.28,0.24,0.9,0.73,-5.32,-2.88,-0.31,0.7,2.44,2.27,2.8,2.32,0.05,3.12,-1.01,-6.92,-1.35,0.27,0.38,2.99,5.28,2.96,-11.79,-8.75,1.46
"57","47","    Residential structures","A756RW2",1.43,-3.39,13.1,9.35,-0.73,-12.01,-7.46,10.95,11.06,3.24,-2.18,-10.6,-2.97,-7,14.28,7.02,0.27,5.69,1.12,-1.17,-1.33,-4.46,-5.21,6.87,4.68,5.42,-2.11,4.14,0.59,3.48,3.07,0.28,0.25,2.4,4.29,4.98,3.48,-3.95,-10.58,-11.42,-9.52,-1.32,-0.91
"58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","1. Consists of office buildings, except those constructed at manufacturing sites and those constructed by power utilities for ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","their own use.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","Includes all financial buildings.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","2. Includes buildings and structures used by the retail, wholesale and selected service industries.  Consists of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","auto dealerships, garages, service stations, drug stores, restaurants, mobile structures, and other structures used",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","for commercial purposes.  Bus or truck garages are included in transportation.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","3. Consists primarily of railroads.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","4. Includes water supply, sewage and waste disposal, public safety, highway and street, and conservation and development.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","5. Excludes net purchases of used structures and brokers' commissions on the sale of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
