"","Table 1#12# National Income by Type of Income                   ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46"
"11","4","    Government","A553RC1",105.6,117.2,126.8,137.9,148.8,160.5,176.2,188.9,202.6,220,237.1,261.5,285.8,307.5,324.8,348.1,373.9,397.2,423.1,452,481.1,519,548.8,572,589,609.5,629,648.1,671.8,701.2,733.7,779.7,821.9,873.1,913.3,952.8,991.5,1035.2,1089,1144.1,1175.2,1191.3,1195.3
"12","5","    Other","B203RC1",412.7,434.3,457.8,500.9,560,611.8,638.6,710.8,791.6,900.6,1016.2,1112,1225.5,1280,1352.7,1496.8,1608.7,1705.1,1833.1,1987.7,2101.9,2222.2,2265.7,2385.8,2494,2639,2805.4,2971.9,3201.8,3479.7,3731.5,4048,4130.3,4124.2,4241.3,4457.9,4714.5,5035,5326.4,5401.8,5100.1,5213.3,5466
"13","6","  Supplements to wages and salaries","A038RC1",59.3,65.7,74.4,86.4,102.5,118,134.3,159.6,186.4,214.9,245,274.2,308.3,332.1,358,400.5,429.2,455.3,479.4,514.4,548.3,585.1,623.9,673.6,714.1,750.1,760.8,771.4,792,842.3,888.8,961.2,1027.1,1113.5,1228,1282.7,1359.1,1406.9,1440.4,1522.5,1524,1565.4,1633.9
"14","7","    Employer contributions for employee pension and insurance funds","B040RC1",36.5,41.8,47.9,55.2,62.7,73.3,87.6,105.2,125.3,143.4,162.4,185.2,204.7,222.4,238.1,261.5,281.5,297.5,313.1,329.7,354.6,378.6,408.7,445.2,474.4,495.9,496.7,496.6,502.4,535.1,565.4,615.9,669.1,747.4,845.6,874.6,931.6,960.1,980.5,1052.4,1067.2,1097.3,1139
"15","8","    Employer contributions for government social insurance","B039RC1",22.8,23.8,26.4,31.2,39.8,44.7,46.7,54.4,61.1,71.5,82.6,88.9,103.6,109.8,119.9,139,147.7,157.9,166.3,184.6,193.7,206.5,215.1,228.4,239.7,254.1,264.1,274.8,289.6,307.2,323.3,345.2,358,366.1,382.4,408.1,427.5,446.7,459.9,470.1,456.9,468.1,494.9
"16","9","Proprietors' income with IVA and CCAdj","A041RC1",77.5,78.5,84.7,96,113.6,113.5,119.6,132.2,146,167.5,181.1,173.5,181.6,174.8,190.7,233.1,246.1,262.6,294.2,334.8,351.6,365.1,367.3,414.9,449.6,485.1,516,583.7,628.2,687.5,746.8,817.5,870.7,890.3,930.6,1033.8,1069.8,1133,1090.4,1097.9,979.4,1103.4,1157.3
"17","10","  Farm","B042RC1",12.8,12.9,13.4,17,29.1,23.5,22,17.2,16,19.9,22.2,11.7,19,13.3,6.2,20.9,21,22.8,28.9,26.8,33,32.2,27.5,35.8,32,35.6,23.4,38.4,32.6,28.9,28.5,29.6,30.5,18.5,36.5,49.7,43.9,29.3,37.8,51.8,39.9,44.3,54.6
"18","11","  Nonfarm","A045RC1",64.7,65.6,71.3,79,84.6,90,97.6,115,130.1,147.6,159,161.8,162.6,161.5,184.5,212.1,225.1,239.7,265.3,308,318.6,333,339.8,379.1,417.6,449.5,492.6,545.2,595.6,658.7,718.3,787.8,840.2,871.8,894.1,984.1,1025.9,1103.6,1052.6,1046.1,939.5,1059.1,1102.8
"19","12","Rental income of persons with CCAdj","A048RC1",20.9,21.1,22.2,23.1,23.9,24,23.4,22.1,19.6,20.9,22.6,28.5,36.5,38.1,38.2,40,41.9,33.8,34.2,40.2,42.4,49.8,61.6,84.6,114.1,142.9,154.6,170.4,176.5,191.5,208.2,215.3,232.4,218.7,204.2,198.4,178.2,146.5,143.7,231.6,289.7,349.2,409.7
"20","13","Corporate profits with IVA and CCAdj","A051RC1",94.5,82.5,96.1,111.4,124.5,115.1,133.3,161.6,191.8,218.4,225.4,201.4,223.3,205.7,259.8,318.6,332.5,314.1,367.8,426.6,425.6,434.4,457.3,496.2,543.7,628.2,716.2,801.5,884.8,812.4,856.3,819.2,784.2,872.2,977.8,1246.9,1456.1,1608.3,1510.6,1248.4,1342.3,1702.4,1827
"21","14","  Taxes on corporate income","A054RC1",40,34.8,38.2,42.3,50,52.8,51.6,65.3,74.4,84.9,90,87.2,84.3,66.5,80.6,97.5,99.4,109.7,130.4,141.6,146.1,145.4,138.6,148.7,171,193.1,217.8,231.5,245.4,248.4,258.8,265.1,203.3,192.3,243.8,306.1,412.4,473.3,445.5,309,269.4,373.3,379
"22","15","  Profits after tax with IVA and CCAdj","A551RC1",54.5,47.7,57.9,69.1,74.5,62.3,81.7,96.3,117.4,133.6,135.3,114.2,138.9,139.2,179.2,221.1,233.1,204.5,237.4,285,279.5,289,318.7,347.5,372.7,435.1,498.3,570,639.4,564.1,597.5,554.1,580.9,679.9,734,940.8,1043.7,1135,1065.2,939.4,1073,1329.1,1447.9
"23","16","    Net dividends","B056RC1",24.2,24.3,25,26.8,29.9,33.2,33,39,44.8,50.8,57.5,64.1,73.8,77.7,83.5,90.8,97.6,106.2,112.3,129.9,158,169.1,180.7,188,202.9,235.7,254.4,297.7,331.2,351.5,337.4,377.9,370.9,399.3,424.9,550.3,557.3,704.8,794.5,786.9,554.1,600.9,697.2
"24","17","    Undistributed profits with IVA and CCAdj","A127RC1",30.3,23.4,32.9,42.2,44.6,29.1,48.7,57.3,72.6,82.8,77.8,50.2,65.2,61.5,95.7,130.3,135.6,98.3,125.1,155.1,121.5,120,138,159.5,169.7,199.4,243.9,272.3,308.2,212.6,260.1,176.3,210,280.6,309.2,390.5,486.4,430.3,270.7,152.5,518.8,728.2,750.7
"25","18","Net interest and miscellaneous payments","W255RC1",32.7,39.1,43.9,47.9,55.2,70.8,81.6,85.5,101.1,115,138.9,181.8,232.3,271.1,285.3,327.1,341.5,367.1,366.7,385.3,434.1,444.2,418.2,387.7,364.6,362.2,358.3,371.1,407.6,479.3,481.4,539.3,544.4,506.4,504.1,461.6,543,652.2,731.6,870.1,640.5,567.9,527.4
"26","19","Taxes on production and imports","W056RC1",83.9,91.4,100.5,107.9,117.2,124.9,135.3,146.4,159.7,170.9,180.1,200.3,235.6,240.9,263.3,289.8,308.1,323.4,347.5,374.5,398.9,425,457.1,483.4,503.1,545.2,557.9,580.8,611.6,639.5,673.6,708.6,727.7,762.8,806.8,863.4,930.2,986.8,1027.2,1038.6,1023.2,1055,1097.9
"27","20","Less: Subsidies \1\","A107RC1",4.5,4.8,4.7,6.6,5.2,3.3,4.5,5.1,7.1,8.9,8.5,9.8,11.5,15,21.3,21.1,21.4,24.9,30.3,29.5,27.4,27,27.5,30.1,36.7,32.5,34.8,35.2,33.8,36.4,45.2,45.8,58.7,41.4,49.1,46.4,60.9,51.4,54.6,52.9,59.7,57,61.6
"28","21","Business current transfer payments (net)","B029RC1",4.9,4.5,4.3,4.9,6,7.1,9.4,9.5,8.5,10.8,13.3,14.7,17.9,20.6,22.6,30.3,35.2,36.9,34.1,33.6,39.2,40.1,39.9,40.7,40.5,41.9,45.8,53.8,51.3,65.2,69,87,101.3,82.4,76.1,81.7,95.9,83,103.3,123,133.4,140,132.6
"29","22","  To persons (net)","B931RC1",3.3,2.9,2.7,3.1,3.9,4.7,6.8,6.7,5.1,6.5,8.2,8.6,11.2,12.4,13.8,19.7,22.3,22.9,20.2,20.6,23.2,22.2,17.6,16.3,14.1,13.3,18.7,22.9,19.4,26,34,42.4,46.8,34.2,25.7,16.9,25.8,21.4,30.5,36.8,39.6,47.4,44.9
"30","23","  To government (net)","W061RC1",1.6,1.6,1.6,1.8,2,2.4,2.6,2.8,3.4,4.4,5.1,6.1,6.7,8.2,8.8,10.6,12.9,13.9,13.8,13,16,17.9,22.3,24.5,26.7,29.1,25.7,31.8,31.1,35.4,37.6,43.6,46,47.9,48.8,52.5,55.2,59.6,66.8,79,96,94.5,94.8
"31","24","  To the rest of the world (net)","W237RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,-0.3,-0.4,1.4,-1,0.8,3.8,-2.6,1,8.5,0.2,1.7,12.2,14.8,2,6,7.2,-2.3,-1.9,-7.1
"32","25","Current surplus of government enterprises \1\","A108RC1",1,0,-0.2,0.5,-0.4,-0.9,-3.2,-1.8,-2.7,-2.2,-2.9,-5.1,-5.6,-4.5,-3.2,-1.9,0.6,0.9,0.2,2.6,4.9,1.6,5.7,8.2,8.7,9.6,13.1,14.4,14.1,13.3,14.1,9.1,4,6.3,7,1.2,-3.5,-4.2,-11.8,-16,-15.6,-19.5,-26.5
"33",NA,"Addenda for corporate cash flow:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","26","  Net cash flow with IVA","A904RC1",75.5,73.6,87.9,102.1,111.7,108.2,143.4,162,190.8,217.2,233.2,230.3,273.5,293.1,336.2,383.2,407.3,388.1,431.6,483.9,470.4,493,528.8,551.1,588.3,635.3,719.3,778.3,849.1,790.9,885.1,861.3,945,1036.5,1084.8,1190.1,1337,1356.1,1244.1,1245.2,1632.8,1774.9,1850.7
"35","27","    Undistributed profits with IVA and CCAdj","A127RC1",30.3,23.4,32.9,42.2,44.6,29.1,48.7,57.3,72.6,82.8,77.8,50.2,65.2,61.5,95.7,130.3,135.6,98.3,125.1,155.1,121.5,120,138,159.5,169.7,199.4,243.9,272.3,308.2,212.6,260.1,176.3,210,280.6,309.2,390.5,486.4,430.3,270.7,152.5,518.8,728.2,750.7
"36","28","    Consumption of fixed capital","A438RC1",45.1,50,54.8,59.7,66.9,78.8,94.4,104.5,118,134.2,155.1,179.8,208.1,231.4,240.4,252.9,271.7,289.8,306.5,328.8,350.8,373,392.1,402,420.1,444.9,476.8,506,540.9,578.3,625.8,685.1,730.3,755.9,775.5,809.2,862.9,925.9,973.4,1028.5,1030.4,1026.5,1061.9
"37","29","    Less: Capital transfers paid (net)","W976RC1",-0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.3,-0.2,-0.2,0,0,0,0,0,0,2,0,1.3,10.4,1.4,8.9,1.5,0,0,0,0.9,0,-4.8,0,-0.1,9.5,12.2,0,0,-64.2,-83.6,-20.2,-38.1
"38",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","30","  Proprietors' income with IVA and CCAdj","A041RC1",77.5,78.5,84.7,96,113.6,113.5,119.6,132.2,146,167.5,181.1,173.5,181.6,174.8,190.7,233.1,246.1,262.6,294.2,334.8,351.6,365.1,367.3,414.9,449.6,485.1,516,583.7,628.2,687.5,746.8,817.5,870.7,890.3,930.6,1033.8,1069.8,1133,1090.4,1097.9,979.4,1103.4,1157.3
"40","31","    Farm","B042RC1",12.8,12.9,13.4,17,29.1,23.5,22,17.2,16,19.9,22.2,11.7,19,13.3,6.2,20.9,21,22.8,28.9,26.8,33,32.2,27.5,35.8,32,35.6,23.4,38.4,32.6,28.9,28.5,29.6,30.5,18.5,36.5,49.7,43.9,29.3,37.8,51.8,39.9,44.3,54.6
"41","32","      Proprietors' income with IVA","A043RC1",13.6,13.8,14.5,18.2,30.3,25.3,24.6,20.1,19.3,23.6,26.6,17.3,25.6,20.4,13.1,27.6,27.2,28.9,34.8,32.5,38.8,37.9,33.2,41.4,37.4,40.9,28.7,43.6,37.4,33.5,33,34.1,35,22.8,41,54.5,49.4,35.4,43.9,58.3,46.2,50.1,60.5
"42","33","      Capital consumption adjustment","B044RC1",-0.8,-0.9,-1.1,-1.2,-1.3,-1.8,-2.6,-2.9,-3.3,-3.7,-4.4,-5.6,-6.5,-7.1,-7,-6.7,-6.2,-6.1,-5.9,-5.7,-5.8,-5.7,-5.7,-5.6,-5.4,-5.3,-5.3,-5.1,-4.8,-4.6,-4.5,-4.5,-4.4,-4.4,-4.4,-4.9,-5.5,-6,-6.1,-6.5,-6.3,-5.8,-5.9
"43","34","    Nonfarm","A045RC1",64.7,65.6,71.3,79,84.6,90,97.6,115,130.1,147.6,159,161.8,162.6,161.5,184.5,212.1,225.1,239.7,265.3,308,318.6,333,339.8,379.1,417.6,449.5,492.6,545.2,595.6,658.7,718.3,787.8,840.2,871.8,894.1,984.1,1025.9,1103.6,1052.6,1046.1,939.5,1059.1,1102.8
"44","35","      Proprietors' income (without IVA and CCAdj)","B046RC1",65.5,66.6,72.6,79.9,86.6,93.8,99.5,116.6,131.3,149.1,160.2,162.7,157.8,155,168.9,186.3,190.5,199.8,229.6,271.7,281.4,305.3,314.2,350.9,387.3,422.8,465.4,511.4,551.2,608.8,657.7,717.3,744.9,763.6,774.9,861.7,936.3,1004.3,959.9,885.7,782.9,898.1,902.6
"45","36","      Inventory valuation adjustment","B179RC1",-0.5,-0.5,-0.6,-0.7,-1.9,-3.4,-1.1,-1.1,-1.1,-1.9,-2.6,-2.9,-1.3,-0.5,-0.5,-0.4,-0.2,0,-0.8,-1.2,-1.3,-1.1,-0.1,-0.5,-0.4,-0.7,-1.5,-0.4,1,1.3,-0.9,-1.7,1,-0.4,-1.5,-4.2,-4.1,-3.6,-7,-6.3,1,-5.8,-8.9
"46","37","      Capital consumption adjustment","B047RC1",-0.4,-0.5,-0.7,-0.2,-0.1,-0.4,-0.7,-0.5,-0.2,0.3,1.4,2,6,7,16.1,26.3,34.9,40,36.5,37.5,38.4,28.8,25.7,28.8,30.7,27.4,28.6,34.2,43.5,48.5,61.5,72.2,94.3,108.6,120.7,126.6,93.6,103,99.6,166.7,155.6,166.8,209
"47","38","  Rental income of persons with CCAdj","A048RC1",20.9,21.1,22.2,23.1,23.9,24,23.4,22.1,19.6,20.9,22.6,28.5,36.5,38.1,38.2,40,41.9,33.8,34.2,40.2,42.4,49.8,61.6,84.6,114.1,142.9,154.6,170.4,176.5,191.5,208.2,215.3,232.4,218.7,204.2,198.4,178.2,146.5,143.7,231.6,289.7,349.2,409.7
"48","39","    Rental income of persons (without CCAdj)","B049RC1",21.8,22.1,23.3,24.5,25.5,26,25.6,24.6,22.6,24.4,26.8,33.4,41.9,43.9,44.1,46.1,48,40.2,40.9,47.2,49.6,57.2,69,92.1,121.9,151,163,179.1,185.5,200.7,217.9,225.6,243.4,230,216.2,211.8,193,162.8,160.3,247.8,304.8,363.9,424.4
"49","40","    Capital consumption adjustment","B050RC1",-0.9,-1,-1.1,-1.3,-1.6,-1.9,-2.3,-2.5,-2.9,-3.5,-4.2,-4.9,-5.5,-5.8,-5.9,-6,-6.1,-6.4,-6.7,-7,-7.2,-7.4,-7.4,-7.5,-7.8,-8,-8.4,-8.6,-8.9,-9.2,-9.7,-10.3,-11,-11.3,-12,-13.4,-14.8,-16.2,-16.6,-16.2,-15.1,-14.7,-14.7
"50","41","  Corporate profits with IVA and CCAdj","A051RC1",94.5,82.5,96.1,111.4,124.5,115.1,133.3,161.6,191.8,218.4,225.4,201.4,223.3,205.7,259.8,318.6,332.5,314.1,367.8,426.6,425.6,434.4,457.3,496.2,543.7,628.2,716.2,801.5,884.8,812.4,856.3,819.2,784.2,872.2,977.8,1246.9,1456.1,1608.3,1510.6,1248.4,1342.3,1702.4,1827
"51","42","    Corporate profits with IVA","A052RC1",85.5,74.4,88.3,101.6,115.4,109.6,135,165.6,194.8,222.4,232,211.4,219.1,191.1,226.6,264.6,257.5,253,306.9,367.7,374.1,398.8,430.3,471.6,515,586.6,666,743.8,815.9,738.6,776.6,755.7,720.8,762.8,892.2,1195.1,1609.5,1784.7,1691.1,1315.5,1443.6,1777.7,1791.6
"52","43","      Profits before tax (without IVA and CCAdj)","A053RC1",91.4,81,92.9,108.2,135,147.8,145.5,179.7,210.5,246.1,272.1,253.5,243.7,198.6,234,268.6,257.5,246,323.1,389.9,390.5,411.7,425.4,474.4,519,599,684.3,740.7,801.8,722.9,780.5,772.5,712.7,765.3,903.5,1229.4,1640.2,1822.7,1738.4,1359.9,1440.5,1816.3,1854.1
"53","44","        Taxes on corporate income","A054RC1",40,34.8,38.2,42.3,50,52.8,51.6,65.3,74.4,84.9,90,87.2,84.3,66.5,80.6,97.5,99.4,109.7,130.4,141.6,146.1,145.4,138.6,148.7,171,193.1,217.8,231.5,245.4,248.4,258.8,265.1,203.3,192.3,243.8,306.1,412.4,473.3,445.5,309,269.4,373.3,379
"54","45","        Profits after tax (without IVA and CCAdj)","A055RC1",51.4,46.2,54.7,65.9,85,95,93.9,114.5,136.1,161.3,182.1,166.4,159.4,132.1,153.4,171.1,158.1,136.3,192.7,248.3,244.4,266.3,286.8,325.7,348,405.9,466.5,509.3,556.3,474.5,521.7,507.4,509.4,573,659.7,923.3,1227.8,1349.5,1292.9,1050.9,1171.1,1443,1475.1
"55","46","          Net dividends","B056RC1",24.2,24.3,25,26.8,29.9,33.2,33,39,44.8,50.8,57.5,64.1,73.8,77.7,83.5,90.8,97.6,106.2,112.3,129.9,158,169.1,180.7,188,202.9,235.7,254.4,297.7,331.2,351.5,337.4,377.9,370.9,399.3,424.9,550.3,557.3,704.8,794.5,786.9,554.1,600.9,697.2
"56","47","          Undistributed profits (without IVA and CCAdj)","B057RC1",27.2,21.9,29.7,39,55.1,61.8,60.9,75.4,91.3,110.5,124.6,102.3,85.6,54.4,69.9,80.3,60.5,30.1,80.3,118.4,86.4,97.2,106.1,137.7,145.1,170.2,212.1,211.5,225.1,123.1,184.3,129.5,138.5,173.8,234.8,373,670.5,644.7,498.4,264,617,842.1,777.9
"57","48","      Inventory valuation adjustment","B058RC1",-5.9,-6.6,-4.6,-6.6,-19.6,-38.2,-10.5,-14.1,-15.7,-23.7,-40.1,-42.1,-24.6,-7.5,-7.4,-4,0,7.1,-16.2,-22.2,-16.3,-12.9,4.9,-2.8,-4,-12.4,-18.3,3.1,14.1,15.7,-4,-16.8,8,-2.6,-11.3,-34.3,-30.7,-38,-47.2,-44.5,3.2,-38.7,-62.6
"58","49","    Capital consumption adjustment","A059RC1",9,8.1,7.8,9.8,9.1,5.6,-1.7,-4,-3,-4,-6.6,-10,4.2,14.6,33.3,54,75.1,61.1,61,58.9,51.5,35.7,27,24.6,28.7,41.6,50.2,57.7,69,73.8,79.7,63.6,63.4,109.4,85.6,51.8,-153.4,-176.4,-180.5,-67.1,-101.3,-75.2,35.4
"59",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","1. Prior to 1959, subsidies (line 20) and the current surplus of government enterprises (line 25)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","are not shown separately; subsidies are presented net of the current surplus of government enterprises.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","IVA Inventory valuation adjustment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","CCAdj Capital consumption adjustment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
