"","Table 1#17#5# Gross Domestic Product, Gross Domestic Income, and","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"11","2","    Gross domestic income","A261RC1",236.4,237.8,242.1,251,259.6,268.6,274.1,276.2,269.4,265,265.4,262,271.5,283.2,301.3,313.5,326.5,332.7,338.5,345,347.7,350,356.4,368.2,374.9,378.5,377.8,370.2,372.3,373.2,377.1,386.3,398.6,409.2,417,424.6,429.3,435.9,441.1,450.6,457.7,460.5,465.5,460.9,455.7,457.6,468.9,482.6,494.9,510,507,512.7,526.7,527.2,528.6,527,529.2,539.5,549.2,563.6,575,581.8,588.5,596.1,603.6,613.9,623,633.8,646.5,657.2,669.3,678.5,697.2,709.2,721.9,742.3,763.2,774.4,787.3,801.1,808.7,817.4,834,851.6,874,896.4,916.6,935.1,954.2,972.8
"12","3","    Net domestic product \1\","A362RC1",211.6,214.1,217.4,226.7,232.4,239,245.1,246.2,240.7,237,238.5,236,246.1,255.1,271.8,282.1,296.5,303.2,309.2,313,315.8,316.2,321.9,334.1,340.5,343.5,342.2,336.6,335.5,335.6,339.9,348.1,360.9,368.7,376.3,381.8,382.8,387.5,391.5,399.4,407.5,408.7,415.1,409.6,401.7,405.1,418.1,430.7,440.7,453.2,453.7,457.3,470.8,469.8,472.3,466.6,470.5,481.1,491.1,503.6,516.5,523.1,529.2,531.7,540.2,548.2,560.3,569.1,584.5,593,603.7,607.9,626.8,638.1,653.9,674.8,696.7,704.2,715.9,728.1,737.4,740.3,753.2,767.1,792.2,814.7,828,842.8,865.2,878.1
"13","4","    Net domestic income \1\","W256RC1",210.8,211.6,215,223.4,231.6,240.3,245.4,247.2,240.1,235.8,236.2,232.8,242.4,253.8,271.2,282.2,294,299.2,304.2,310.1,312.3,314,319.7,331,337.1,340,338.9,330.9,332.5,332.8,336.3,345,356.9,367,373.9,380.4,383.8,389.3,393.4,401.9,408,410,414.2,408.9,403.4,404.8,415.3,428.4,440.1,454.7,451.4,456.7,470.5,470.8,471.9,470,471.7,481.5,490.8,504.6,515.4,521.6,527.6,534.4,541.3,550.9,559.4,569.4,581.4,591.3,602.5,610.8,628.3,639.1,650.5,669.6,689.1,698.8,710.1,722.3,728.4,735.4,750.2,766,786.4,807,825.3,841.7,858.6,874.8
"14",NA,"Production by labor and capital supplied by U.S. residents:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","5","    Gross national product","A001RC1",238.1,241.5,245.6,255.6,261.7,268.7,275.3,276.6,271.3,267.5,268.9,266.3,276.4,285.8,303.5,314.9,330.5,338.5,345.5,350.1,353.2,354.2,360.5,373.3,380.3,384,382.9,377.7,377.2,378,382.8,391.8,405,413.3,421.9,428.5,431.1,437,442.1,450.6,460.3,462.5,469.6,464,456.6,460.7,474.3,487.6,498.1,511.1,512.1,516.3,529.9,529.2,532.1,527,531.5,542.4,553,566.2,579.7,587.2,594.1,598.1,607,615.5,628.4,638.1,654.7,663.7,675.5,680.3,701.1,713.8,730.4,752.2,775.8,785,798.1,812.2,823,827.4,842.7,858.3,885.6,910.1,925.5,942.5,967.2,982.3
"16","6","    Gross national income","A023RC1",237.3,238.9,243.2,252.3,261,270.1,275.6,277.6,270.7,266.3,266.6,263.1,272.7,284.5,302.9,315.1,328,334.6,340.5,347.2,349.7,352,358.3,370.1,376.9,380.5,379.6,372.1,374.3,375.2,379.1,388.7,401,411.6,419.5,427.1,432.1,438.8,444,453.1,460.7,463.9,468.7,463.4,458.3,460.3,471.5,485.2,497.5,512.6,509.9,515.7,529.6,530.2,531.8,530.4,532.7,542.9,552.7,567.2,578.6,585.8,592.6,600.8,608.1,618.3,627.5,638.4,651.6,662.1,674.3,683.2,702.6,714.8,727.1,747.1,768.2,779.5,792.3,806.3,814,822.5,839.7,857.2,879.8,902.4,922.9,941.4,960.6,979
"17","7","    Net national product \1\","A027RC1",212.5,215.2,218.5,227.9,233.8,240.5,246.5,247.6,242.1,238.3,239.8,237.1,247.3,256.5,273.5,283.7,298,305.1,311.2,315.1,317.8,318.2,323.9,336.1,342.4,345.5,344,338.4,337.5,337.6,342,350.4,363.3,371.1,378.8,384.3,385.6,390.4,394.5,402,410.6,412,418.3,412.1,404.3,407.8,420.7,433.3,443.3,455.8,456.5,460.3,473.7,472.8,475.4,469.9,474.1,484.5,494.6,507.2,520.1,527.1,533.2,536.4,544.7,552.5,564.7,573.7,589.6,597.9,608.8,612.6,632.3,643.7,659.1,679.6,701.7,709.3,720.9,733.4,742.6,745.4,758.9,772.7,798.1,820.7,834.2,849,871.6,884.3
"18","8","    National income \2\","A032RC1",211.8,212.7,216.1,224.6,233,241.8,246.9,248.7,241.5,237.1,237.5,233.9,243.6,255.2,272.8,283.8,295.5,301.1,306.2,312.3,314.3,316,321.7,332.9,339,342,340.8,332.7,334.5,334.8,338.3,347.3,359.3,369.4,376.4,382.9,386.6,392.1,396.3,404.5,411.1,413.4,417.4,411.5,406,407.5,417.9,431,442.7,457.3,454.2,459.8,473.5,473.8,475.1,473.3,475.3,484.9,494.3,508.2,519,525.6,531.7,539.2,545.8,555.3,563.8,574.1,586.5,596.2,607.6,615.5,633.8,644.8,655.8,674.4,694.1,703.8,715.1,727.5,733.6,740.5,755.9,771.6,792.2,813,831.6,848,864.9,881
"19",NA,"Final expenditures by U.S. residents:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","9","    Gross domestic purchases","A712RC1",226.3,229.1,232.7,245,253,262.1,268.8,270.6,263.5,259.9,262.5,262.2,273,282.9,302.7,313.5,328.8,334.7,339.8,343.7,347.5,350.2,358.5,372.4,379,383.2,381.7,376.2,375.6,375.7,380.2,388.3,401.5,411,418.7,425.7,427.8,432.2,436.6,443.6,452.3,455.1,462.4,458.1,452.9,457.6,470.9,485.2,495.1,508.5,508.7,512.7,524.3,522,524.8,517.9,522.2,533.5,545.5,558.2,572.1,577.4,586.2,590.5,598.6,604.6,620,628,642.4,651.8,664.1,668.7,691.1,700.7,720.3,741.9,766.3,774.7,790.9,803.3,813.2,817.8,834.1,850.5,878.7,902.2,918,935.2,960.7,974.9
"21","10","    Final sales to domestic purchasers \3\","A713RC1",225.8,230.3,235.6,243.6,249.4,256.2,261.7,264.6,263.1,265.1,263.8,266.9,271,280,298.5,299.4,318.4,319.9,330,339,342.8,351.7,352.9,367.1,375.1,379.6,379.3,378.2,377.6,379.1,382.3,388.6,397.7,406.4,414.4,418.5,421.4,428.7,433.1,441.3,450.2,452.4,459.6,462.6,456.9,461.8,469.3,480,491.2,501.2,508.3,508.5,513.1,518.8,520.5,523.7,524.7,531.7,538.9,552.2,562.7,572,580,587.1,591.7,599.8,614.3,623,637.2,647.3,659.4,663.7,679.5,692.1,711,734.4,752.5,762.4,779.1,786.8,797.8,811.4,824.8,842,870.2,888.1,910.3,929.1,949.2,965.6
"22",NA,"After-tax income received by the personal sector:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","11","    Disposable personal income","A067RC1",168.3,166.1,173.8,176.1,180.9,189.2,195.9,195.9,190.4,189.8,189.8,191,204.9,204.7,212.2,218,225.1,230.4,232.2,235.7,236.5,239.4,245.8,251.1,255.4,259.3,259.7,259.2,262,261.8,263.9,268.9,273.7,280.6,287,291.2,295.4,300.3,304.6,311.2,314.6,318.7,322.8,322.6,323.8,326.5,333.5,337.6,342.6,350,351.5,356.1,361.1,364.9,366.7,368.1,372.1,377.7,384.2,392.2,397.7,403.5,406.8,411.4,416,420.5,427.3,436,446.8,460,467.6,474.6,481.4,489.2,504.5,516.3,525.2,530.8,541.6,552.1,562,569.2,580,589.2,605.8,622.1,629.8,641,648.4,663.4
"24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","1. In this table, net measures are the corresponding gross measures less the depreciation of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","fixed assets as measured by the consumption of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2. Equals gross national income less the depreciation of fixed assets as measured by the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","consumption of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","3. Equals gross domestic purchases less change in private inventories.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
