"","Table 1#17#5# Gross Domestic Product, Gross Domestic Income, and","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46"
"11","3","    Net domestic product \1\","A362RC1",885.2,930,1009,1110.7,1241.5,1335.8,1447.3,1616.4,1798.4,2032.3,2263.3,2444.1,2733.5,2819.7,3083.5,3456.5,3712,3921.6,4165.3,4489.4,4830.7,5109.3,5267.7,5598,5889.3,6266,6545.2,6925.9,7368.6,7772.9,8259.1,8767.2,9029.9,9337.3,9788.2,10420.5,11081.6,11716.5,12261.2,12437.5,12107.4,12625.5,13138.9
"12","4","    Net domestic income \1\","W256RC1",882.4,923.1,998,1101.8,1233.5,1326,1431,1592.9,1777.1,2006.3,2216.4,2398.8,2696.9,2814.9,3033.8,3425,3669.7,3853.8,4132.4,4498.9,4774.6,5025.1,5188,5488,5753.5,6157.2,6492.7,6900,7382.5,7858.3,8330.2,8901.1,9133.3,9359.4,9771.5,10442.8,11176.7,11958.8,12273.2,12439.9,11989.1,12602.1,13107
"13",NA,"Production by labor and capital supplied by U.S. residents:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","5","    Gross national product","A001RC1",990.5,1044.7,1134.4,1246.4,1394.9,1515,1650.7,1841.4,2050.4,2315.3,2594.2,2822.3,3159.8,3289.7,3571.7,3967.2,4244,4477.7,4754,5123.8,5508.1,5835,6022,6371.4,6698.5,7109.2,7444.3,7870.1,8355.8,8810.8,9381.3,9989.2,10338.1,10691.4,11210.9,11944.5,12720.1,13449.6,14151.9,14460.7,14117.2,14708.2,15327.5
"15","6","    Gross national income","A023RC1",987.7,1037.8,1123.4,1237.5,1386.9,1505.2,1634.4,1818,2029.2,2289.3,2547.2,2777,3123.2,3285,3522,3935.6,4201.7,4409.9,4721.1,5133.3,5452,5750.8,5942.3,6261.5,6562.7,7000.4,7391.8,7844.2,8369.8,8896.1,9452.4,10123.2,10441.4,10713.5,11194.2,11966.8,12815.2,13691.9,14163.9,14463.1,13998.9,14684.9,15295.7
"16","7","    Net national product \1\","A027RC1",891.4,936.4,1016.6,1119.3,1254.1,1351.3,1460.3,1633.3,1818.6,2053.9,2295.3,2478.2,2766.4,2856.2,3120.6,3492.8,3738.6,3939.2,4182.9,4512.8,4856.6,5143.7,5297.6,5627.1,5920.5,6290.1,6574.9,6957.6,7392,7790.3,8286.9,8804.9,9081.9,9386.4,9856.9,10511.7,11178.7,11789,12384.4,12606.6,12250.9,12834.8,13390.8
"17","8","    National income \2\","A032RC1",888.5,929.5,1005.6,1110.3,1246.1,1341.5,1444,1609.8,1797.4,2027.9,2248.3,2433,2729.8,2851.4,3070.9,3461.3,3696.3,3871.5,4150,4522.3,4800.5,5059.5,5217.9,5517.1,5784.7,6181.3,6522.3,6931.7,7406,7875.6,8358,8938.9,9185.2,9408.5,9840.2,10534,11273.8,12031.2,12396.4,12609.1,12132.6,12811.4,13358.9
"18",NA,"Final expenditures by U.S. residents:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","9","    Gross domestic purchases","A712RC1",983,1034.4,1126.2,1241.3,1378.2,1500.3,1621.7,1826.2,2053.2,2319.1,2584.8,2801.2,3139.4,3273.2,3586.3,4033.6,4332.7,4592.6,4881.3,5210.5,5570,5878.1,6019.1,6375.1,6731.7,7177.9,7505.3,7934.8,8433.7,8955.3,9615.6,10333.5,10657.2,11069.5,11646.3,12471.9,13345.7,14146.5,14741.7,15001.3,14362.4,15010.6,15643.7
"20","10","    Final sales to domestic purchasers \3\","A713RC1",973.8,1032.4,1117.9,1232.2,1362.3,1486.3,1628,1809.1,2030.9,2293.3,2566.8,2807.5,3109.6,3288.1,3592,3968.2,4310.9,4586,4854.2,5192,5542.3,5863.6,6019.4,6358.8,6710.9,7114.1,7474.2,7904,8362.7,8891.6,9554.7,10279,10695.4,11057.5,11630,12407,13295.7,14086.6,14712.6,15042.4,14516.6,14952.2,15607.1
"21",NA,"After-tax income received by the personal sector:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","11","    Disposable personal income","A067RC1",673.8,735.5,801.4,869,978.1,1071.7,1187.3,1302.3,1435,1607.3,1790.9,2002.7,2237.1,2412.7,2599.8,2891.5,3079.3,3258.8,3435.3,3726.3,3991.4,4254,4444.9,4736.7,4921.6,5184.3,5457,5759.6,6074.6,6498.9,6803.3,7327.2,7648.5,8009.7,8377.8,8889.4,9277.3,9915.7,10423.6,11024.5,10722.4,11127.1,11549.3
"23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","1. In this table, net measures are the corresponding gross measures less the depreciation of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","fixed assets as measured by the consumption of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2. Equals gross national income less the depreciation of fixed assets as measured by the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","consumption of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","3. Equals gross domestic purchases less change in private inventories.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
