"","Table 3#3# State and Local Government Current Receipts and Expen","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80"
"19","12","Income receipts on assets","W074RC1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.4,0.5,0.5,0.5,0.6,0.7,0.7,0.8,0.9,1,1.1,1.1,1.1,1.3,1.4,1.5,1.6,1.9,2.2,2.6,3,3.5,4.3,5.2,5.5,5.9,7.8,10.2,11.2,10.4,11.7,14.7,20.1,26.3,32,36.7,41.4,47.7,54.9,58.4,58.1,60.5,65.7,68.4,68,64.8,61.4,63.2,68.4,73.3,77.8,80.9,85.3,92.2,88.8,78.2,74.9,77.1,79.1
"20","13","  Interest receipts \1\","B112RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.6,0.7,0.7,0.8,0.9,1,1.1,1.1,1.2,1.5,1.8,2.1,2.4,2.8,3.6,4.3,4.6,4.9,6.6,8.9,9.8,9,10.4,13.3,18.1,23.1,28.5,33.1,37,42.6,49.4,52,52.6,55.9,61.4,64.1,63.1,59.6,56.2,57.9,62.9,67.3,71.5,74.6,78.4,84,80.3,69.6,65.4,67,68.3
"21","14","  Dividends","B081RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.5,0.6,0.8,1,1.4,1.5,1.7,1.8,1.9,2,2,2.1,2.4,2.5
"22","15","  Rents and royalties","S230541",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.5,0.6,0.7,0.8,0.8,0.9,1,1.1,1.3,1.3,1.3,1.3,1.3,1.9,3.1,3.3,3.5,4.3,4.9,5.4,6.2,5.3,4.4,4.1,4.2,4.5,4.8,4.5,4.5,4.5,4.6,4.8,4.6,5.1,6.3,6.5,6.6,7.3,7.7,8.3
"23","16","Current transfer receipts","W075RC1",0.5,0.5,0.6,0.4,0.7,1.8,1.9,0.9,0.9,0.9,1.1,0.9,0.8,1,1.1,1.1,1,1.2,1.8,2,2.2,2.3,2.5,2.6,2.8,2.9,3,3.2,3.6,4.1,4.2,4.5,5.2,5.8,6.4,7.3,8,11.1,13.1,14.2,16.2,21.1,25.2,34,37.3,39.3,48.7,55,61.4,71.1,72.7,79.5,81,79.1,82.4,89,94.5,105,100,109,118.1,133.5,158.2,180.3,197.7,211.9,224.1,234.1,246.6,266.8,290.8,315.4,350.8,384.7,424.3,439.8,458.6
"24","17","  Federal grants-in-aid","B089RC1",0.1,0.1,0.3,0.1,0.5,1.6,1.7,0.7,0.7,0.7,0.9,0.7,0.6,0.8,0.9,0.9,0.8,1,1.6,1.7,1.9,1.9,2,2.2,2.3,2.3,2.4,2.5,2.9,3.3,3.8,4,4.5,5,5.6,6.5,7.2,10.1,11.7,12.7,14.6,19.3,23.2,31.7,34.8,36.3,45.1,50.7,56.6,65.5,66.3,72.3,72.5,69.5,71.6,76.7,80.9,87.6,83.9,91.6,98.3,111.4,131.6,149.1,163.7,174.7,184.1,191.2,198.6,212.8,232.9,247.3,276.1,304.6,339.1,348.3,357.6
"25","18","  From business (net)","W076RC1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.5,0.5,0.5,0.6,0.6,0.7,0.9,1.1,1.2,1.4,1.6,1.9,2.2,2.5,2.9,3.2,3.6,4.2,4.4,6.7,4.9,5.4,6.4,7.1,7.9,9.2,10.5,12,13.5,15.2,17.7,22.1,23,28.8,31.4,32.6,34.1,35.5,39.4
"26","19","  From persons","B246RC1",0.3,0.3,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.3,0.3,0.4,0.5,0.5,0.5,0.5,0.7,0.9,1,1.1,1.2,1.4,1.7,1.7,2,2.4,2.9,3.3,3.7,4.1,4.7,5.7,6.4,7.2,8.1,9.2,10.6,11.2,12,13.4,14.9,18.7,21.9,23.5,25.2,26.5,27.8,30.3,31.9,34.9,39.2,43.3,47.5,51.1,56,61.6
"27","20","Current surplus of government enterprises","B115RC1",0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.5,0.4,0.4,0.3,0.4,0.4,0.5,0.5,0.6,0.7,0.8,0.9,0.9,0.9,1.1,1.2,1.3,1.4,1.6,1.6,1.7,1.6,1.5,1.5,1.5,1.5,1.4,1.6,1.5,0.9,0.4,0.4,0.3,0.3,-0.3,-1.2,-2.4,-1.6,-0.2,1.5,3.2,2.8,3.1,4.8,6.5,6.7,7.1,7.7,9,9,12,13.9,12.3,10.2,10.4,7.7,4,2.5,-0.6,-2.5,-7.5
"28","21","    Current expenditures","W024RC1",5.6,5.9,6.2,6.1,6.3,6.9,7.5,5.9,6.6,6.7,7,7.4,7.9,8.5,8.9,9.1,9.5,11.1,13.5,15.5,16.8,18.6,19.4,20.7,22,23.7,25.9,28,30.8,34.2,36.9,40.2,43.8,46.8,50.3,54.9,60,67.2,75.5,86,97.5,113,128.5,142.8,158.6,178.7,207.1,226.3,246.8,268.9,295.4,329.4,362.7,393.6,423.7,456.2,498.7,540.7,578.1,617.6,666.5,730.5,793.3,845,886,932.4,978.2,1017.5,1058.3,1111.2,1186.3,1269.5,1368.2,1444.3,1512.4,1587.5,1686.4
"29","22","Consumption expenditures","A991RC1",5,5.2,5.4,5.1,5,5.5,5.9,4.6,5.1,5.1,5.4,5.8,6.3,7,7.5,7.7,8.2,9.2,10.9,12.3,13.7,14.9,16.1,17.1,18.2,19.7,21.6,23.4,25.8,28.6,30.7,33.5,36.6,39,41.9,45.8,50.2,56.1,62.6,70.4,79.9,91.5,102.7,113.2,126,143.7,165.1,179.5,195.9,213.2,233.3,258.4,282.3,304.9,324.1,347.7,381.8,417.9,440.9,470.4,502.1,544.6,574.6,602.7,630.3,663.3,696.1,724.8,758.9,801.4,858.9,917.8,969.8,1025.3,1074.8,1117.7,1193
"30","23","Government social benefit payments to persons","B109RC1",0.1,0.2,0.3,0.4,0.6,0.8,1,0.7,0.9,1.1,1.1,1.1,1.1,1,1,1,1.1,1.5,2,2.7,2.7,3.2,2.6,2.9,3,3.1,3.3,3.3,3.6,4,4.3,4.6,5,5.3,5.7,6.2,6.7,7.6,9.2,11.4,13.2,16.1,19.3,22,24.1,25.3,30.8,34.1,37,40.8,44.3,51.2,57.1,61.2,66.9,71.2,77.3,84.3,90.7,98.5,109.3,127.7,156.5,180,195.2,206.7,217.6,224.3,227.6,235.8,252.4,271.7,305.2,332,351.3,380.5,400.7
"31","24","Interest payments \1\","B111RC1",0.4,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.3,0.5,0.5,0.5,0.5,0.6,0.6,0.7,0.8,0.9,1.1,1.2,1.4,1.5,1.8,2.1,2.2,2.4,2.7,2.9,3.1,3.4,3.7,4.2,4.4,5.3,6.5,7.5,8.5,9.6,11.1,12.5,13.7,14.9,17.2,19.4,22.8,27.1,32.3,37,39.4,38.2,46.2,48.4,54.6,57.9,61.7,61.9,60.2,62,64.2,68.1,71.4,73.6,74.6,79.5,85.5,86,86.2,88.9,92.2
"32","25","Subsidies","B114RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.4,0.4,0.5,0.4,0.4,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.4,0.4,0.4,0.5,7.7,0.9,0.1,0.5,0.5
"33","26","Less: Wage accruals less disbursements","B116RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,-0.2,0,0,0,0,0,0.2,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34","27","    Net state and local government saving","A924RC1",1.5,1.3,1,0.7,0.4,1.2,1.1,2.3,2,2,2,2,1.9,1.5,1.5,1.6,1.6,1.5,1.4,1.2,1.5,1.3,2.6,3,3.5,3.2,3.5,4.4,4.2,2.9,3.8,4.3,4.3,5.2,5.7,6.4,6.5,7.8,7,7.5,8,7.1,6.5,15.6,15.7,9.3,2.5,7.4,13.1,18.7,13,8.8,7.6,-2.2,4.9,23.9,22.3,21,12.4,17.9,20.8,7.2,-4.2,0.7,0.9,10.5,12,25.8,39.1,52,50.4,50,4.8,-34.2,-23.8,-5.9,3
"35","28","Social insurance funds","B118RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.4,0.5,0.6,1,1.5,1.8,1.3,1.3,1.2,1.2,1.4,1.3,1.9,2.2,2.5,2.3,2,2.4,3.1,4.2,4.6,4,2.8,1.2,1.7,1.7,2,2.6,1.7,1.3,1.8,0.4
"36","29","Other","B119RC1",1.5,1.3,1,0.7,0.4,1.2,1.1,2.3,2,2,2,2,1.9,1.5,1.5,1.6,1.6,1.4,1.4,1.1,1.4,1.2,2.5,2.9,3.4,3.1,3.4,4.3,4.1,2.8,3.8,4.3,4.3,5.2,5.7,6.3,6.4,7.6,6.9,7.3,7.8,6.9,6.2,15.4,15.4,9,2,6.8,12.2,17.2,11.2,7.5,6.3,-3.4,3.7,22.5,21,19.1,10.2,15.4,18.5,5.3,-6.5,-2.4,-3.3,5.8,8,23,38,50.3,48.7,47.9,2.2,-35.9,-25.1,-7.7,2.6
"37",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","30","  Total receipts","W077RC1",7.2,7.5,7.3,6.9,6.8,8.2,8.8,8.3,8.8,9,9.3,9.6,10.1,10.3,10.6,10.9,11.3,12.9,15.2,17.2,18.8,20.6,22.6,24.4,26.3,27.8,30.4,33.5,36.7,39.7,44.1,47.5,51.4,55.5,60.2,66,71.3,80.1,87.6,100.4,112.3,126.3,141.9,165.7,181.7,197.3,220.6,245.7,273,301.3,324.6,356.8,388,408.4,446.6,500.2,543.1,584.7,612.9,658.6,710.7,762.8,815,872.6,915.5,972.8,1022.6,1077.1,1132.7,1199.2,1276.6,1363.2,1421.6,1462.2,1540,1633.6,1744
"39","31","    Current receipts","W023RC1",7.1,7.3,7.1,6.8,6.7,8.1,8.7,8.2,8.6,8.7,9.1,9.4,9.8,10.1,10.4,10.7,11.1,12.6,14.9,16.8,18.3,20,21.9,23.7,25.5,26.9,29.4,32.4,35,37.1,40.6,44.5,48.1,52,56,61.3,66.5,74.9,82.5,93.5,105.5,120.1,134.9,158.4,174.3,188.1,209.6,233.7,259.9,287.6,308.4,338.2,370.2,391.4,428.6,480.2,521.1,561.6,590.6,635.5,687.3,737.8,789.2,845.7,886.9,942.9,990.2,1043.3,1097.4,1163.2,1236.7,1319.5,1373,1410.1,1488.6,1581.7,1689.4
"40","32","    Capital transfer receipts","AD06RC1",0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.5,0.6,0.7,0.7,0.8,0.8,1,1.1,1.6,2.7,3.5,3,3.3,3.5,4.1,4.7,4.7,5.1,5.1,6.8,6.8,6.2,7,7.3,7.3,9.2,11,12,13.1,13.7,16.2,18.6,17.8,16.9,18,20.1,22,23,22.3,23.1,23.4,25,25.8,26.9,28.6,29.9,32.4,33.9,35.3,36,39.9,43.7,48.6,52.1,51.5,51.9,54.6
"41","33","  Total expenditures","W079RC1",7.6,8.2,8.2,7.3,7,7.9,8.4,8,8.2,8.8,9.5,9.3,9.1,8.7,8.4,8.4,9,11.3,14.6,17.6,20.3,22.6,24,25.6,27.4,30.4,33.5,36.4,40.2,44.5,47.4,50.5,55.1,58.7,63.6,69.4,75.9,84.8,94.7,106.8,117.4,132.3,148.4,162.3,179.3,202.6,232.4,250.6,268.6,295.5,326.4,363.3,393.3,421,451.5,491.4,541.5,589.3,629.3,673.5,727.3,800.5,864.3,915.3,953.7,1003.2,1055.6,1100.1,1151.5,1209.1,1298.8,1393.5,1502.7,1588.3,1657.7,1734.6,1842.4
"42","34","    Current expenditures","W024RC1",5.6,5.9,6.2,6.1,6.3,6.9,7.5,5.9,6.6,6.7,7,7.4,7.9,8.5,8.9,9.1,9.5,11.1,13.5,15.5,16.8,18.6,19.4,20.7,22,23.7,25.9,28,30.8,34.2,36.9,40.2,43.8,46.8,50.3,54.9,60,67.2,75.5,86,97.5,113,128.5,142.8,158.6,178.7,207.1,226.3,246.8,268.9,295.4,329.4,362.7,393.6,423.7,456.2,498.7,540.7,578.1,617.6,666.5,730.5,793.3,845,886,932.4,978.2,1017.5,1058.3,1111.2,1186.3,1269.5,1368.2,1444.3,1512.4,1587.5,1686.4
"43","35","    Gross government investment","A799RC1",2.6,2.9,2.6,1.8,1.3,1.8,1.6,2.9,2.6,3,3.4,2.8,2.2,1.5,0.9,0.7,0.8,1.6,2.8,4,5.3,5.9,7,7.3,7.9,9.2,10,11.3,12.5,13.5,13.9,13.9,15,15.9,17.5,19,20.8,23.1,25.3,27.7,28.3,28.7,30.1,30.6,33.2,39.6,43.6,43.8,42.8,49.5,56.8,64,65,64.8,66.4,75,84.4,92.8,98.4,106.3,114.7,127.2,132.1,134.3,135.7,143,154,163.8,178.9,186.5,206,225,243,256.1,262.3,270.6,292.2
"44","36","    Capital transfer payments","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","37","    Net purchases of nonproduced assets","AD09RC1",0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.3,0.3,0.4,0.6,0.7,0.7,0.8,0.8,0.9,1,1.1,1.2,1.3,1.3,1.4,1.4,1.4,1,1.1,1.6,1.7,1.7,1.9,1.9,1.7,1.6,1.6,1.7,1.8,2,2,2.2,2.6,3.1,3.7,4.2,4.3,4.9,5.7,5.8,5.9,5.8,6.2,6.6,6.1,5.8,7.5,8.6,8.8,9.2,10.6,11.3,11.7,12.5
