"","Table 3#1# Government Current Receipts and Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229","F230","F231","F232","F233","F234","F235","F236","F237","F238","F239","F240"
"11","3","  Personal current taxes","W055RC1",19.2,19.5,19.7,20.8,21.2,18.9,18.2,18.4,17.8,17,16.3,15.8,16.6,17.6,18.9,22.5,24.4,26.4,27.8,29.6,30.9,31.8,32.3,33.1,33.4,33.4,33.2,32.9,30.2,30,30,30.5,31.4,32.4,33.4,34.2,35.4,36.2,36.9,37.9,38.6,39,39.2,38.8,38.2,37.7,38.9,39.4,40.8,42,42.7,43.7,45.3,46,46.5,46.4,46.5,46.9,47.4,48.1,49.4,50.9,52.3,53.6,54.1,54.3,54.6,55.2,53.8,49.7,51.6,53.2,57,58.4,57,58.3,61.5,65.6,67.9,70.6,71.2,70.9,73.8,75.9,78.6,81.7,91.9,95.9,102.6,105.7,104.1,105.6,104.6,105.5,100.7,101.5,98.3,100.7,102.3,105.5,119.8,123.4,124.3,127.1,126.4,129.2,134.1,140,142.8,148.9,154.9,157.6,158,121.1,152.8,158.5,162.1,169,175.8,182.4,188.4,195.3,198.2,208.1,211.7,222.8,236,247,253.4,261.8,274.6,285,284.2,291.6,301.6,318.2,330.3,342.1,356.3,352.1,351.9,359.1,349.5,356,350.3,359,344.9,355.1,360.7,370,383.6,395.5,431.8,388.1,421.1,428.5,425.8,428.9,438.9,455.5,450.3,511.2,488.5,506.5,501.1,496.9,505.7,516.3,551.3,565.1,570,578.2,580.6,592.7,598.8,598.9,578.5,583.7,588,596.4,586.6,604.9,613.9,636.9,617.9,641.2,655.3,672.1,670.2,695.6,693.5,703.4,721.4,742.9,747.5,764.4,796.6,833.9,838.5,859.4,895.7,910.4,935.9,963.3,991.2,1018.3,1037.7,1061,1071.7,1090.2,1115.5,1152.5,1207,1231.1,1248,1256.6,1296.6,1312.3,1110.3,1230,1063.2,1050.3,1050,1043.8,1024.3,1026.9,940.8,1007.6,1009.6,1034,1058.4,1094.3,1171.4,1206,1220.4,1233.1,1292.1
"12","4","  Taxes on production and imports","W056RC1",17.7,17.7,18,19,19,19.7,20,20.3,20.4,20.8,21.3,21.2,21.6,22.5,24.4,23.4,25.1,24.1,24.5,25.3,26.1,26.9,27.3,28.2,28.8,29.2,29.3,29.2,28.7,28.8,28.8,29.3,30.3,31.2,32,32.5,33.1,33.6,34.6,35.7,36.2,36.6,37,36.8,36.8,37.4,37.8,39,39.8,40.3,41.8,42.5,43.7,44.4,44.9,45.3,45.8,46.5,47.3,48.4,49.4,50,50.9,51.4,52.1,53,54,54.7,55.7,56.8,57.9,58.8,60.2,60.4,60.6,61.9,61.4,62.9,63.8,65,65.6,66.9,68.8,70.7,73.5,75.5,77.8,79.2,80.7,83,85.3,86.8,88.6,90.6,92.6,94.2,97.8,99.1,101.8,103.8,104.7,106.9,109,111.6,114.7,116.3,118.5,119.8,120.9,124.2,127.2,127.8,129,133.2,138.4,141.3,141.9,145.1,147.9,151.5,155,158.2,161.7,164.5,167.2,173.3,170,174.2,176.7,178.8,181.2,184.9,189.9,197.2,204.7,211,231.2,235.9,237.8,239.2,237.8,238.7,242.2,246.7,251.1,261.6,267.9,274.2,282.1,288.2,292.7,298,301.5,306.1,312.2,314.3,317.8,319.8,326.5,330.7,336.3,344.7,352.7,357.8,365.5,373,378.1,383,391.6,397.8,404.3,403.7,419.9,420,427.4,434.7,444.7,452,461.6,471.7,476.7,481.5,486.3,490.7,490.1,498.3,505.3,520.1,532.3,544.6,550.6,555.1,555.2,554,559.5,564.2,571.1,578.1,582,593.3,596,610.6,616.9,624.3,629.2,635.8,643.4,651,657.9,667.5,679.6,691.2,697.6,706.9,712.2,718.7,725.1,726.3,725.6,737.6,746,757.9,771.6,775.5,783.8,794.7,806.6,820.6,837.1,847.8,855.5,870.9,883.8,900.1,909.5,919.1,935
"13","5","  Taxes on corporate income","W025RC1",11.6,10.9,10.8,11.8,12.1,12.8,12.6,12.2,11,9.7,10.1,9.9,13.6,16.3,19.9,21.8,26.3,22.3,20.1,21.5,19.8,18.7,18.6,20.5,21.6,21.7,21.2,16.6,16.4,16.9,17.9,19.3,21.3,21.6,22.2,23.1,22,22.5,21.1,22.3,22.8,21.9,21.4,19.6,16.9,17.2,19.4,22.3,23.4,25.6,23,22.5,25,23,21.9,20.8,20.6,22,23.3,25.3,23.8,23.5,24.2,24.3,24.4,26.1,26.9,27.5,27.7,27.8,28.4,28,29.4,30.3,30.9,32.9,34,34,33.6,33,32.3,32,32.2,34.2,38.5,39.2,39.4,40.4,41.2,40.1,38.8,38.5,34.1,34.3,35.3,33.8,37.4,38.1,37.5,37.9,40,40.3,41.5,45.7,49,49.6,48.1,50.5,48.8,51.4,56.6,50.3,43.1,46.2,56.5,57.8,65.3,64.4,64.1,63.1,67.4,73.1,75.6,76.1,71.3,85.2,86.3,91.2,88.5,89.1,88.4,85.9,94.7,74.9,80.9,88.6,88.3,79.4,82.9,73.9,62.7,64.7,65.2,59.7,61,75.8,85,87.2,100.3,99.4,87.6,88.8,95.9,94.1,99.3,96.8,103.1,103.4,104.2,115.2,110.9,126,135,136.5,126.7,135.3,140,146.7,152.9,143.7,133.2,136.1,133.6,141.4,147.7,139.7,130.1,132.4,136.1,135.8,144.4,150.2,129,149,152.4,166,161.8,181.3,165.4,183,194.3,204.1,203.1,209,218.6,213.2,219.6,225.3,224,225.7,227.7,232.8,244.9,243.1,240.4,237.4,243.3,235.6,241.2,247,249.8,257,270.8,262.2,250.5,236.4,213.1,208.5,188.9,169.1,165.4,178.6,186.7,199.9,214.1,212.3,225.2,236.3,246.5,262.1,246.9,280.1,348.1,358.5,346.2,402.6,425.6
"14","6","  Taxes from the rest of the world","W008RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.9,0.9,1,1,1,1.1,1.2,1.3,1.5,1.6,1.7,1.7,1.6,1.5,1.5,1.5,1.3,1.3,1.3,1.5,1.2,1.2,1.2,1.2,1.3,1.3,1.2,1.3,1.4,1.8,2.2,2.3,1.5,1.6,1.7,2.1,1.9,2,1.9,2.4,2.1,2.7,2.4,2.2,3,2.5,2.7,2.8,2.7,2.9,3,3.5,2.7,2.7,2.6,2.5,2.7,2.6,2.6,2.7,2.8,2.6,2.7,2.8,3,3.2,3.2,3.2,3.6,3.7,4.2,4.2,4.6,4.8,5.4,5.8,4.8,4.9,5.1,5.6,4.8,5.1,5.6,7.3,5.3,5.9,6.3,6,6.8,7.6,7.2,7.5,7.4,6.4,7.1,7.7,7,7.2,7.2,7.7,7,9.9,7.7,9.4,9.2,8.5,7.9,11.2,9.7,8.5,10,10.2,10.8
"15","7","Contributions for government social insurance","A061RC1",6.3,6,5.2,4.8,4.8,4.6,4.6,4.5,5.2,5.1,4.8,4.5,5.3,5.3,5.5,5.8,6.6,6.7,6.6,6.7,6.9,6.8,6.9,7.1,7.1,7.1,7.2,7.1,8.1,8,8.1,8.1,8.9,9,9.2,9.3,9.9,10,10,10.1,11.4,11.4,11.5,11.3,11.3,11.3,11.4,11.5,13.7,13.9,13.9,13.9,16.4,16.5,16.5,16.4,16.7,16.9,17.1,17.3,18.9,19.1,19.2,19.3,21.3,21.5,21.8,22,22,22.3,22.5,22.7,22.9,23.2,23.6,24,30.4,30.8,31.9,32.2,33.6,34.6,35.2,36,37.6,38.4,39.1,39.7,42.9,43.7,44.6,45.3,46,46.3,46.7,46.5,50.5,51,51.3,51.9,58.1,58.8,59.5,60.4,73.6,74.7,76.1,77.6,83.1,84.7,86.4,86.6,87.6,88,89.8,91.8,98.9,100.4,102.2,103.8,109.3,112.1,114.3,116.7,126.2,130.1,132.8,136,148.8,150.9,154.2,157.1,163.1,163.2,166.6,171.8,191.6,194.1,197.7,199.4,207.2,208.4,209.8,210.2,220.4,223.6,227.2,232.6,251,255.8,259.9,263.1,275.4,278.8,282.8,288.4,297.9,300.7,305.1,310.1,316.5,320.2,324.5,331.2,352.1,359.1,364.4,370.3,379.8,382.8,386.4,391.8,404.1,408.3,414.1,413.9,424.5,427.7,432.6,435.9,448.7,453.7,457.8,459.6,468.1,475.9,480.1,486.6,498.7,506.5,510.5,517.1,525.9,530.1,535.2,540,544.4,552.2,558.9,565.3,575.8,582.2,590,600.7,611.5,619.9,628.5,636.8,652.8,656.8,662.4,673.8,695.5,696.3,707.7,711.2,729.2,731.5,731.9,731.9,747.1,751.1,751.1,750.9,765.8,773.6,780.7,786.3,806.3,813,825.9,843.5,861,864.9,875.4,877.4,901
"16","8","Income receipts on assets","W058RC1",0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,2.6,2.7,2.8,2.7,2.8,2.9,2.8,3,3,3.3,3.3,3.2,3.3,3.4,3.5,3.5,3.7,3.8,3.9,3.6,4.1,4.2,4.1,4,4.5,4.6,4.8,5,5.1,5.3,5.7,5.9,6.3,6.3,6.6,6.5,6.6,6.9,7.2,7.4,7.9,8.2,8.3,8.5,8.7,9,9,9.2,9.2,9.3,9.7,10,10.7,11.3,11.7,12.5,13.4,14.2,14.7,15.2,15.7,16.1,16.3,16.2,16.2,16.2,16.5,16.3,17.4,18,18.8,19.3,20.9,22.5,23.8,25.6,28.1,29.7,31.7,33.6,36.5,38.6,41.1,43.5,46.5,48.9,51.5,54.1,56.8,58.3,59.6,60.8,62.7,64,66,68.4,70.4,73.7,75.3,77.9,80.5,82.8,85.4,87.2,89.1,89.4,91.6,89,87.8,86.7,85.9,84,92.9,88.1,88.9,92.1,92.6,93.4,96.5,94.6,95,95.2,96.8,107.7,101.2,98.4,98.1,94.5,93.3,90.8,89.2,88.6,89,88.3,87.5,85.5,85.5,85.8,87.2,87.8,89.3,91.4,92.2,95.4,97.8,99.1,101.6,102.3,103.5,104.4,104,103.1,102.2,102.1,102.1,103.2,103.9,105.7,107.5,110,114.9,117.4,117.8,119.6,118,115.1,112.2,109.4,103.4,99.1,96.4,94.9,94.6,97.3,98.7,99.6,97.6,98.2,99.2,101,101.2,103.1,102.2,102.7,104.5
"17","9","  Interest and miscellaneous receipts \1\","W059RC1",0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,2.6,2.7,2.8,2.7,2.8,2.9,2.8,3,3,3.3,3.3,3.2,3.3,3.4,3.5,3.5,3.7,3.8,3.9,3.6,4.1,4.2,4.1,4,4.5,4.6,4.8,5,5.1,5.3,5.7,5.9,6.3,6.3,6.6,6.5,6.6,6.9,7.2,7.4,7.9,8.2,8.3,8.5,8.7,9,9,9.2,9.2,9.3,9.7,10,10.7,11.3,11.7,12.4,13.4,14.2,14.7,15.1,15.7,16.1,16.3,16.2,16.1,16.2,16.4,16.3,17.3,18,18.7,19.2,20.8,22.4,23.7,25.5,28.1,29.6,31.6,33.5,36.4,38.5,41,43.4,46.4,48.8,51.3,53.9,56.7,58.1,59.5,60.7,62.6,63.8,65.8,68.2,70.2,73.5,75.2,77.7,80.4,82.7,85.3,87.1,89,89.3,91.5,88.8,87.6,86.6,85.7,83.8,92.8,87.9,88.7,91.9,92.4,93.3,96.4,94.4,94.8,95,96.6,107.4,100.9,98.1,97.8,94.1,92.9,90.3,88.7,88.1,88.4,87.8,86.9,84.9,84.9,85,86.4,86.9,88.5,90.6,91.2,94.3,96.6,97.7,100.1,100.9,102,102.9,102.4,101.5,100.6,100.4,100.4,101.5,102.1,103.9,105.7,108.2,113.1,115.5,115.9,117.6,116.1,113.1,110.2,107.4,101.3,97.1,94.4,92.9,92.4,95.3,96.6,97.5,95.5,96,96.9,97.9,98.8,100.7,99.7,100.2,101.9
"18","10","  Dividends","B081RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.8,0.8,0.8,0.8,1,1.1,1.2,1.3,1.5,1.4,1.4,1.5,1.6,1.6,1.6,1.7,1.7,1.7,1.8,1.8,1.8,1.8,1.8,1.9,1.9,1.9,1.9,2,2,2,2,2,2,2,2.3,2,2.1,2.1,2,2.2,2.3,3.1,2.4,2.5,2.5,2.5,2.6
"19","11","Current transfer receipts","W060RC1",0.5,0.5,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1,1,1,1,1.1,1.1,1.1,1.1,1.2,1.2,1.1,1.1,0.8,0.8,0.8,0.8,0.8,0.9,0.9,1,1.1,1.1,1.2,1.2,1.2,1.2,1.2,1.3,1.3,1.3,1.3,1.3,1.4,1.4,1.7,1.8,1.9,1.9,2,2,2.1,2.2,2.2,2.3,2.4,2.5,2.5,2.6,2.6,2.6,2.6,2.6,2.7,2.7,2.8,2.8,2.9,2.9,2.8,2.9,3,3,3.1,3.2,3.5,3.6,3.7,3.7,3.9,4,3.7,3.8,4.2,4.4,4.6,4.7,4.9,5,5.1,5.3,5.6,5.8,5.9,6.1,6.4,6.6,7,7.2,7.6,7.9,8.1,8.3,8.8,9,9.2,9.5,10,10.3,10.4,12.1,12.2,12,12.4,12.8,14.2,14.7,15.1,15.4,16,16.5,17,17.8,18.8,19.4,19.9,20.2,21,27,21.8,22.2,30.7,23.4,22.9,25.3,25.8,27.1,26.8,27.4,26.8,27.6,28.8,29.8,30.8,31.5,33.1,33.4,33.6,34.1,35.9,38.8,42.1,43.5,45.4,47.3,48.2,48.7,50,55,54.1,54.5,55.1,56.9,59.4,58.9,60.3,59.4,59.4,59.1,59.2,58.6,59.9,60.8,62.1,81.3,65.1,66.2,71.6,68.6,71.2,71,73.6,86.4,77.8,79.3,81,84.3,90.5,92.6,94.6,97.1,98.9,100.5,104.3,103.3,103.8,104.3,105.2,106.1,107.7,109.8,112.1,114.2,117.5,119.9,117.2,125.7,128.2,130.1,45.1,131,139.3
"20","12","  From business (net)","W061RC1",0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.5,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.7,1.1,1.2,1.3,1.3,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.6,1.6,1.6,1.6,1.6,1.7,1.5,1.5,1.6,1.6,1.6,1.6,1.8,1.8,1.8,1.8,2.1,2.2,1.8,1.9,2.3,2.4,2.4,2.4,2.6,2.6,2.6,2.6,2.8,2.8,2.8,2.9,3.1,3.2,3.5,3.5,3.9,4.1,4.2,4.3,4.6,4.8,4.9,5,5.4,5.5,5.4,6.8,6.5,6.1,6.3,6.6,7.5,7.8,7.9,7.9,8.2,8.5,8.7,9.3,10,10.4,10.6,10.6,11.1,16.8,11.2,11.2,19.4,11.7,10.8,12.6,13.1,14.2,13.3,13.7,12.6,12.8,13.7,14.4,14.9,15.2,16.4,16.3,16.3,16.2,17.2,19.2,21.2,21.5,22.3,23.1,23.3,23,23.6,28.2,26.2,26.2,26.4,27.7,29.3,28.2,29.1,27.9,27.5,26.8,26.4,25.2,25.9,26.2,26.9,45.5,27.9,28.3,33,29.4,31.7,30.9,32.7,44.6,34.9,35.2,35.7,37.7,42.4,43.2,44,45.2,46.3,46.9,49.6,47.3,46.7,46.5,46.6,46.7,47.5,48.5,49.5,50,51.4,52.1,47.8,54.7,55.7,56.1,-30.3,53.7,60.1
"21","13","  From persons","W062RC1",0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.8,0.9,0.9,1,1,1,1,1,1,1,1.1,1.1,1.1,1.2,1.2,1.3,1.3,1.3,1.4,1.4,1.5,1.5,1.7,1.8,1.8,1.9,1.8,1.8,1.8,1.9,1.9,2,2.1,2.2,2.3,2.4,2.6,2.7,2.8,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.9,4,4.1,4.3,4.4,4.5,4.6,4.8,5,5.3,5.6,5.9,6.1,6.3,6.7,6.9,7.2,7.5,7.7,8,8.3,8.5,8.8,9.1,9.3,9.5,9.9,10.2,10.6,11,11.3,11.7,12.1,12.7,12.7,12.9,13.5,13.7,14.2,14.8,15.1,15.4,15.9,16.3,16.7,17.1,17.3,17.9,18.7,19.6,20.9,22.1,23.1,24.2,25,25.8,26.4,26.8,27.9,28.3,28.7,29.3,30.1,30.7,31.1,31.6,31.9,32.3,32.9,33.4,34,34.6,35.2,35.8,37.2,37.9,38.6,39.2,39.5,40.1,40.9,41.8,42.8,44,45.3,46.6,48.1,49.4,50.7,51.9,52.6,53.6,54.7,56,57,57.8,58.6,59.4,60.2,61.3,62.6,64.2,66.1,67.8,69.4,71,72.5,73.9,75.4,77.3,79.2
"22","14","Current surplus of government enterprises \2\","A108RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,0.9,1,1.1,1,1,0.9,0.9,0.8,0.8,0.8,1,0.9,0.9,0.9,0.9,1.3,1.3,1.4,1.5,1.4,1.4,1.1,1.5,1.4,1.5,1.3,1.2,1.1,1.1,0.8,1,0.9,1.1,1,0.7,1.2,1.2,1.2,1.1,0.9,1,1,1.2,0.5,-0.3,-0.1,-0.2,-0.6,0,-0.3,-0.2,0,0.4,0.5,1,0.1,-0.3,-0.5,-0.8,-0.7,-0.2,-1.1,-1.8,-2.8,-3,-3.6,-3.6,-1.5,-1.8,-1.9,-2,-2.3,-2.5,-2.9,-2.9,-2.7,-2.1,-1.2,-1.4,-1.8,-2.3,-3,-3.5,-3.9,-4.4,-5.2,-5.8,-6,-4.3,-5.9,-3.6,-3.5,-3.7,-4.8,-4,-3.5,-3.1,-3.5,-2.4,-2.2,-2,-2.1,-1.3,-0.3,1.2,1.3,1,1.1,1.2,1.2,1.7,1.6,1.3,1,0.7,-0.4,3.3,3.4,3.8,4.7,5.2,5.3,4.5,3,1.5,1.1,0.7,3.4,6,6.2,7.1,7.4,7.7,8.2,7.2,6.2,7.8,7.3,7.6,7.6,9.2,8.9,8.6,11.8,11.3,11.3,11.3,12.1,12.3,12.9,13.3,12.6,13.3,12.5,12,10.7,10.8,10.6,9.2,11.2,10.5,10,8.6,7.9,7.1,4.2,2.2,1.7,-1.1,-2.9,-3.4,-1.6,-1.2,4,2.3,4.1,1.8,0.4,-1.1,-1.6,-2.2,-3,-5.2,-6.1,-7,-22.8,-9.1,-5.5
"23","15","    Current expenditures","W022RC1",47.8,48,51.3,47.7,49.1,50.5,53.6,54.5,57.1,58.6,58.2,57.2,65.3,59,54.3,58.5,63.4,67.8,72.2,75.5,74.9,79.4,81.7,82.8,84.7,85.9,85,86.4,84.3,83.6,84.2,85.3,86.5,85.5,89.2,88.5,88.8,92.4,91.7,95.7,99.4,101.6,102.2,105.9,105.4,110.8,112.9,113.5,113.4,115.2,116.4,118.4,119,122.1,123.6,127,127.8,132.4,133,135.2,139.5,141.9,143.5,146.3,148.4,149.3,151.7,154.9,157.4,159.6,159.5,160.2,163.2,166.8,173.5,178.3,182.5,189.8,195.9,202.9,213.5,217,221.7,227.9,237.2,244.4,249.8,255.8,255.9,264.1,270.2,276.6,278.9,296,299,305.2,314,325.4,327.7,334,349.1,352,355,366.1,374.8,384.2,387.6,395.7,409.5,428.1,444.1,461.3,482.4,508.5,514.3,527.6,535.9,541.3,556.5,565.7,578.1,589.2,602.9,620.7,632.5,643,660.1,677.8,695.1,712.4,735.5,763,796.2,822.2,863,889.9,923.3,945,977.5,1005.9,1029.5,1048.9,1084.4,1127.6,1139.7,1165.1,1181.6,1183.7,1213.8,1243.1,1268.9,1300.8,1329.6,1353.3,1378.8,1402.9,1421.1,1450,1476.5,1488.9,1505.5,1525.9,1538.5,1573.4,1595.7,1603.8,1618.4,1657,1691.4,1723.6,1748.4,1779.2,1825.2,1857.4,1883.7,1924.1,1892.5,1964.3,2003.3,2046.7,2096.7,2129.8,2156.9,2178.4,2191.2,2204.4,2229.4,2248.5,2250,2270.5,2301.9,2340.8,2374.7,2396.5,2413,2405.9,2464.6,2487.8,2491.3,2524.7,2540.8,2557.6,2571.4,2604.6,2599.5,2624.8,2634.6,2674.5,2693.3,2712.9,2752.5,2805.3,2822.4,2880.2,2902.1,2941.4,3000.8,3050.2,3074.7,3120.8,3178,3223.9,3251,3310.5,3365.1,3426.2,3442.1,3465.4,3557.8,3596.3,3638.9,3689.2,3788.1,3840.3,3900.4,3979.9,4019.4
"24","16","Consumption expenditures","A955RC1",32.1,32.3,31.7,31.1,31.3,33,34.3,35.5,37,37.8,36.9,36.3,36.5,36.7,35.7,38.9,44.4,48.5,53.6,55.3,57.3,61.1,62.4,64.4,65.7,67.2,66,67.4,64.8,63,63.2,63.6,64.4,64.2,66.9,66.5,66.4,69.2,67.7,70.7,73.9,74.5,75.3,77.5,76.7,80.2,79.6,81.5,78.3,80.7,81.7,82.2,80.6,82,84.4,86.2,85.3,87.6,89,90.8,94.1,95.7,98.1,99.4,100.2,100.6,104.1,106,107.1,108.3,109.7,109.4,110.7,112.6,117.5,122.9,124.9,129.7,135.5,137.8,145.2,147.7,150.8,155.1,161.2,163.7,167.2,171.1,171.3,176.1,181.3,184.3,187.1,188,191.5,194.1,200,203.6,206.2,209.1,217.4,221,220.5,224.3,229.2,233.4,235.5,241.3,249.9,255.5,265.2,276.1,283.6,291.8,298.1,305.1,308.7,314.3,317.5,326.1,334.5,342.8,349.7,359.4,365.5,372.8,379.2,388.5,398.7,407.1,413.6,429.8,445.1,462.9,469.7,486,502.5,517,523.2,539.8,551.8,559.1,572.4,589.4,598.9,609.4,622.4,611.8,634.4,654.4,664.5,677.3,696.6,710.5,729,744.7,754.1,770.2,786.3,793.8,803.2,811,814.8,831.8,840.7,847.1,851.1,872.5,878.8,898.5,907.8,920.4,944.9,956.5,965.7,990.5,1011,1013,1015.5,1017.1,1030.5,1040.7,1057.6,1062.7,1065.3,1067.3,1073.9,1082.2,1089.6,1097.5,1114.7,1114.7,1129.9,1136.6,1142.2,1137.3,1156.5,1168.2,1170.4,1189.4,1200.2,1214.2,1218.9,1232.9,1230.8,1252.6,1258.6,1281.8,1301.2,1314.8,1344.9,1375.2,1386.3,1416,1424.8,1441.3,1470.2,1491.5,1509.3,1535.6,1573.1,1604.3,1624.9,1665.2,1705.5,1735.4,1746.1,1759.7,1805.8,1830.1,1859.6,1878.2,1918.6,1938.5,1988.6,2004.9,2051.2
