"","Table 3#23# State and Local Government Current Receipts and Expe","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175"
"22","3","  Personal current taxes","W071RU1","3,130.0","3,896.0","2,655.0","3,126.0","3,645.0","4,285.0","2,884.0","3,403.0","3,684.0","4,667.0","3,282.0","4,270.0","5,007.0","6,260.0","4,726.0","4,890.0","5,633.0","6,282.0","5,143.0","5,768.0","6,120.0","6,380.0","5,855.0","6,168.0","6,404.0","7,236.0","6,334.0","6,904.0","7,286.0","8,415.0","7,161.0","8,213.0","8,567.0","9,313.0","8,536.0","8,951.0","9,233.0","11,115.0","9,819.0","10,283.0","10,089.0","11,490.0","10,808.0","11,645.0","11,714.0","12,585.0","11,975.0","12,617.0","12,395.0","14,672.0","13,328.0","14,220.0","13,916.0","15,538.0","14,499.0","15,194.0","15,253.0","17,266.0","16,445.0","17,141.0","18,409.0","21,098.0","18,474.0","18,043.0","19,487.0","22,397.0","19,506.0","19,970.0","20,631.0","23,155.0","20,574.0","22,845.0","22,847.0","27,851.0","22,315.0","23,587.0","26,121.0","28,057.0","23,272.0","24,644.0","28,340.0","33,471.0","26,173.0","26,655.0","30,385.0","35,219.0","27,887.0","29,068.0","30,372.0","35,556.0","28,770.0","30,613.0","31,910.0","38,795.0","31,243.0","33,357.0","34,290.0","39,282.0","32,971.0","34,524.0","36,650.0","39,906.0","35,116.0","36,318.0","39,598.0","43,240.0","37,026.0","38,245.0","41,390.0","46,976.0","39,121.0","41,186.0","44,595.0","51,173.0","42,144.0","44,086.0","48,432.0","58,444.0","45,925.0","48,420.0","51,737.0","62,059.0","48,663.0","52,027.0","57,017.0","72,099.0","52,995.0","54,597.0","61,308.0","75,943.0","52,038.0","53,729.0","54,349.0","61,329.0","51,870.0","54,253.0","53,542.0","60,700.0","54,437.0","57,490.0","57,753.0","69,260.0","58,794.0","62,772.0","64,286.0","82,110.0","63,842.0","66,492.0","70,461.0","94,006.0","68,150.0","69,854.0","76,103.0","102,347.0","71,953.0","72,690.0","78,484.0","109,541.0","73,718.0","72,644.0","67,997.0","81,952.0","66,760.0","70,869.0","70,726.0","83,817.0","69,637.0","76,409.0","76,692.0","95,020.0","71,803.0","79,256.0"
"23","4","  Taxes on production and imports","W072RU1","14,795.0","15,961.0","15,601.0","19,688.0","16,557.0","18,444.0","16,207.0","22,125.0","18,255.0","19,443.0","19,165.0","24,639.0","20,370.0","21,658.0","20,516.0","26,904.0","22,167.0","23,785.0","22,148.0","29,321.0","24,009.0","25,663.0","24,071.0","31,094.0","26,431.0","27,382.0","25,595.0","33,807.0","29,203.0","29,800.0","28,353.0","37,659.0","31,785.0","33,012.0","30,523.0","41,620.0","34,587.0","36,219.0","33,562.0","41,254.0","37,577.0","36,495.0","35,236.0","45,109.0","41,189.0","39,558.0","37,281.0","48,638.0","45,242.0","44,360.0","41,629.0","54,484.0","48,796.0","49,326.0","44,644.0","57,211.0","52,205.0","52,328.0","51,365.0","63,001.0","59,958.0","57,823.0","55,657.0","69,035.0","64,857.0","59,227.0","62,601.0","75,396.0","68,477.0","63,338.0","66,465.0","81,395.0","75,235.0","70,878.0","69,234.0","86,258.0","81,205.0","77,775.0","75,173.0","90,483.0","86,761.0","82,397.0","82,377.0","97,593.0","94,173.0","86,775.0","86,256.0","106,874.0","97,394.0","91,462.0","92,944.0","113,526.0","101,863.0","99,027.0","95,986.0","123,205.0","106,586.0","102,291.0","102,094.0","125,796.0","116,446.0","108,309.0","107,211.0","134,296.0","121,092.0","113,031.0","108,829.0","139,399.0","126,481.0","119,827.0","116,717.0","144,876.0","133,061.0","124,991.0","123,177.0","152,550.0","139,200.0","130,838.0","126,842.0","161,895.0","147,040.0","137,127.0","132,644.0","173,342.0","154,723.0","144,658.0","136,759.0","185,165.0","162,011.0","149,319.0","141,014.0","190,063.0","169,520.0","161,611.0","147,328.0","197,527.0","177,048.0","162,821.0","162,722.0","214,914.0","191,806.0","175,906.0","169,192.0","232,196.0","204,057.0","192,248.0","184,111.0","250,984.0","220,316.0","206,709.0","191,351.0","269,035.0","231,360.0","218,016.0","199,122.0","284,201.0","231,123.0","220,987.0","203,758.0","288,748.0","233,578.0","209,453.0","198,340.0","290,438.0","233,821.0","220,035.0","208,476.0","297,154.0","244,304.0","227,240.0","214,907.0","303,982.0"
"24","5","  Taxes on corporate income","B102RU1","894.0","964.0","861.0","891.0","884.0","994.0","937.0","925.0","946.0","1,112.0","1,087.0","1,139.0","1,163.0","1,350.0","1,292.0","1,447.0","1,390.0","1,599.0","1,488.0","1,551.0","1,449.0","1,759.0","1,848.0","1,623.0","1,386.0","1,773.0","2,067.0","2,121.0","2,159.0","2,549.0","2,497.0","2,431.0","2,362.0","3,087.0","3,092.0","2,888.0","2,532.0","3,232.0","3,113.0","3,229.0","3,166.0","3,572.0","3,455.0","3,375.0","3,762.0","3,320.0","3,593.0","3,791.0","3,916.0","3,890.0","3,982.0","3,654.0","3,131.0","3,621.0","3,729.0","3,553.0","2,908.0","3,951.0","4,396.0","4,641.0","4,499.0","5,184.0","4,623.0","4,493.0","4,561.0","5,091.0","5,604.0","4,991.0","4,979.0","5,803.0","5,860.0","6,019.0","5,048.0","6,149.0","6,627.0","6,077.0","5,693.0","6,552.0","6,939.0","6,848.0","6,400.0","6,236.0","5,987.0","5,616.0","5,042.0","5,778.0","6,241.0","5,425.0","5,425.0","5,965.0","6,360.0","5,891.0","5,838.0","6,511.0","5,730.0","6,301.0","5,815.0","6,913.0","6,895.0","7,283.0","6,276.0","7,571.0","8,176.0","7,947.0","7,150.0","8,127.0","8,638.0","7,741.0","7,594.0","8,694.0","8,697.0","8,038.0","7,794.0","8,674.0","9,281.0","8,396.0","8,293.0","9,013.0","9,308.0","8,320.0","8,237.0","9,196.0","9,347.0","9,016.0","9,055.0","9,481.0","8,881.0","7,814.0","7,515.0","8,104.0","7,094.0","6,140.0","7,427.0","8,418.0","8,243.0","6,776.0","7,255.0","8,282.0","9,098.0","9,362.0","8,508.0","10,155.0","10,836.0","12,209.0","12,305.0","13,531.0","14,535.0","14,572.0","14,367.0","15,212.0","15,886.0","13,685.0","14,737.0","16,747.0","14,741.0","11,561.0","13,789.0","14,884.0","13,792.0","4,898.0","10,052.0","17,477.0","9,140.0","8,852.0","9,807.0","15,329.0","9,178.0","10,173.0","10,483.0","17,360.0","9,242.0","10,509.0"
"25","6","Contributions for government social insurance","B104RU1","245.0","254.0","260.0","267.0","268.0","270.0","273.0","278.0","283.0","291.0","296.0","304.0","314.0","327.0","334.0","345.0","356.0","367.0","380.0","389.0","399.0","411.0","421.0","434.0","438.0","450.0","467.0","488.0","509.0","533.0","559.0","586.0","628.0","676.0","714.0","757.0","796.0","837.0","871.0","906.0","942.0","964.0","983.0","991.0","902.0","729.0","953.0","988.0","936.0","957.0","977.0","990.0","1,003.0","1,009.0","1,014.0","1,017.0","1,009.0","1,014.0","1,037.0","1,080.0","1,130.0","1,168.0","1,188.0","1,191.0","1,181.0","1,190.0","1,224.0","1,291.0","1,372.0","1,448.0","1,529.0","1,608.0","1,683.0","1,759.0","1,836.0","1,929.0","2,004.0","2,073.0","2,127.0","2,173.0","2,190.0","2,215.0","2,255.0","2,314.0","2,383.0","2,464.0","2,554.0","2,634.0","2,747.0","2,855.0","2,958.0","3,059.0","3,152.0","3,243.0","3,327.0","3,401.0","3,457.0","3,513.0","3,559.0","3,600.0","3,642.0","3,651.0","3,632.0","3,590.0","3,498.0","3,437.0","3,367.0","3,298.0","3,253.0","3,165.0","3,070.0","2,965.0","2,822.0","2,727.0","2,660.0","2,614.0","2,620.0","2,615.0","2,584.0","2,532.0","2,469.0","2,425.0","2,416.0","2,442.0","2,506.0","2,610.0","2,757.0","2,949.0","3,172.0","3,365.0","3,519.0","3,635.0","3,732.0","3,860.0","4,046.0","4,286.0","4,572.0","4,869.0","5,160.0","5,461.0","5,749.0","5,978.0","6,130.0","6,211.0","6,272.0","6,277.0","6,189.0","6,015.0","5,766.0","5,532.0","5,326.0","5,147.0","4,913.0","4,722.0","4,637.0","4,650.0","4,679.0","4,709.0","4,760.0","4,841.0","4,830.0","4,768.0","4,711.0","4,659.0","4,617.0","4,589.0","4,578.0","4,589.0","4,609.0","4,610.0","4,580.0","4,520.0"
"26","7","Income receipts on assets","W074RU1","996.0","1,056.0","1,115.0","1,170.0","1,236.0","1,278.0","1,310.0","1,329.0","1,362.0","1,370.0","1,378.0","1,386.0","1,413.0","1,442.0","1,497.0","1,577.0","1,732.0","1,861.0","2,004.0","2,163.0","2,357.0","2,505.0","2,622.0","2,706.0","2,807.0","2,821.0","2,804.0","2,753.0","2,628.0","2,588.0","2,587.0","2,631.0","2,729.0","2,839.0","2,973.0","3,125.0","3,306.0","3,520.0","3,771.0","4,062.0","4,554.0","4,883.0","5,196.0","5,496.0","6,087.0","6,391.0","6,719.0","7,073.0","7,484.0","7,840.0","8,168.0","8,471.0","8,806.0","9,068.0","9,313.0","9,535.0","9,883.0","10,173.0","10,505.0","10,882.0","11,230.0","11,672.0","12,139.0","12,634.0","13,216.0","13,617.0","13,842.0","14,166.0","14,415.0","14,576.0","14,677.0","14,727.0","14,630.0","14,498.0","14,510.0","14,531.0","14,763.0","14,972.0","15,258.0","15,545.0","16,030.0","16,306.0","16,564.0","16,794.0","16,866.0","17,102.0","17,403.0","17,092.0","17,199.0","17,078.0","16,934.0","16,770.0","16,722.0","16,256.0","16,045.0","15,794.0","15,493.0","15,334.0","15,221.0","15,232.0","15,408.0","15,605.0","15,975.0","16,291.0","16,643.0","16,946.0","17,308.0","17,618.0","17,896.0","18,195.0","18,525.0","18,831.0","19,160.0","19,427.0","19,665.0","19,908.0","20,109.0","20,253.0","20,440.0","20,663.0","20,765.0","21,102.0","21,620.0","22,295.0","23,234.0","23,706.0","23,739.0","23,604.0","23,245.0","22,837.0","22,296.0","21,659.0","20,854.0","20,132.0","19,567.0","19,090.0","18,779.0","18,485.0","18,365.0","18,344.0","18,527.0","18,945.0","19,441.0","20,220.0","20,760.0","21,572.0","22,467.0","23,457.0","24,478.0","25,477.0","26,366.0","27,178.0","28,017.0","28,539.0","28,921.0","28,996.0","28,092.0","27,272.0","26,140.0","25,309.0","24,579.0","23,899.0","23,469.0","23,088.0","22,727.0","22,410.0","21,933.0","21,732.0","21,671.0","21,591.0","21,644.0","21,492.0"
"27","8","Current transfer receipts","W075RU1","3,593.0","4,252.0","4,052.0","4,265.0","4,710.0","5,671.0","5,306.0","5,384.0","5,735.0","6,839.0","6,121.0","6,511.0","6,856.0","9,656.0","7,117.0","10,405.0","9,344.0","9,822.0","9,083.0","9,098.0","9,247.0","10,087.0","9,887.0","10,089.0","10,840.0","12,847.0","12,280.0","12,757.0","13,243.0","13,453.0","13,652.0","14,622.0","14,134.0","15,167.0","15,919.0","16,228.0","17,157.0","17,989.0","17,540.0","18,381.0","17,455.0","17,922.0","18,215.0","19,059.0","19,500.0","19,618.0","19,670.0","20,732.0","21,474.0","20,524.0","19,335.0","19,709.0","19,810.0","20,061.0","18,679.0","20,564.0","20,498.0","20,838.0","19,687.0","21,331.0","22,229.0","22,127.0","20,922.0","23,724.0","23,401.0","23,079.0","22,880.0","25,125.0","27,466.0","25,786.0","26,030.0","25,684.0","25,202.0","25,259.0","24,259.0","25,261.0","27,331.0","27,101.0","26,488.0","28,094.0","29,321.0","29,142.0","29,027.0","30,651.0","32,721.0","33,261.0","32,405.0","35,091.0","37,707.0","39,006.0","38,901.0","42,621.0","43,922.0","44,832.0","44,267.0","47,234.0","47,782.0","48,908.0","47,875.0","53,494.0","52,217.0","52,823.0","51,056.0","56,182.0","56,473.0","56,965.0","54,259.0","56,488.0","57,400.0","60,201.0","56,710.0","59,714.0","60,495.0","60,900.0","59,716.0","65,262.0","65,053.0","64,812.0","63,531.0","71,902.0","71,634.0","71,557.0","71,451.0","76,501.0","76,502.0","78,254.0","77,383.0","81,749.0","85,072.0","88,905.0","82,988.0","91,002.0","92,227.0","97,701.0","92,340.0","100,073.0","98,970.0","109,283.0","101,927.0","111,133.0","108,123.0","113,637.0","103,758.0","113,906.0","113,153.0","117,201.0","107,671.0","116,260.0","113,109.0","117,918.0","109,879.0","115,790.0","119,984.0","124,564.0","115,918.0","124,672.0","124,584.0","129,276.0","120,140.0","130,964.0","138,073.0","156,957.0","143,476.0","155,048.0","157,647.0","161,942.0","157,228.0","166,400.0","158,987.0","165,107.0","142,421.0","146,193.0"
"28","9","  Federal grants-in-aid","B089RU1","3,201.0","3,856.0","3,651.0","3,857.0","4,285.0","5,237.0","4,863.0","4,932.0","5,257.0","6,350.0","5,618.0","5,992.0","6,290.0","9,076.0","6,527.0","9,808.0","8,711.0","9,183.0","8,433.0","8,433.0","8,521.0","9,340.0","9,117.0","9,295.0","9,986.0","11,967.0","11,372.0","11,820.0","12,226.0","12,407.0","12,579.0","13,521.0","12,950.0","13,958.0","14,687.0","14,973.0","15,811.0","16,619.0","16,143.0","16,955.0","15,926.0","16,360.0","16,621.0","17,432.0","17,778.0","17,852.0","17,854.0","18,859.0","19,418.0","18,408.0","17,165.0","17,490.0","17,473.0","17,680.0","16,253.0","18,092.0","17,885.0","18,185.0","16,968.0","18,521.0","19,289.0","19,085.0","17,788.0","20,514.0","20,133.0","19,725.0","19,427.0","21,569.0","21,779.0","21,975.0","22,133.0","21,718.0","21,257.0","21,276.0","20,228.0","21,166.0","23,160.0","22,827.0","22,085.0","23,543.0","24,565.0","24,248.0","24,010.0","25,516.0","27,409.0","27,911.0","26,849.0","29,279.0","31,463.0","32,542.0","32,128.0","35,464.0","36,452.0","37,196.0","36,414.0","39,063.0","39,500.0","40,488.0","39,293.0","44,724.0","43,194.0","43,610.0","41,660.0","46,610.0","46,750.0","47,067.0","44,178.0","46,221.0","46,959.0","49,568.0","45,882.0","48,686.0","49,045.0","49,206.0","46,913.0","53,243.0","52,730.0","52,740.0","50,985.0","56,146.0","57,621.0","57,179.0","56,710.0","61,390.0","60,337.0","61,748.0","60,566.0","64,651.0","67,582.0","71,123.0","64,871.0","72,509.0","73,257.0","78,329.0","72,596.0","79,979.0","78,810.0","88,724.0","80,902.0","89,569.0","86,070.0","91,158.0","80,986.0","90,968.0","90,155.0","94,079.0","84,348.0","92,647.0","89,282.0","93,707.0","85,273.0","90,780.0","94,648.0","98,822.0","89,619.0","97,663.0","97,378.0","102,015.0","92,742.0","103,345.0","110,424.0","129,259.0","115,704.0","127,179.0","130,020.0","133,911.0","129,031.0","138,120.0","130,559.0","136,478.0","113,584.0","117,181.0"
"29","10","  From business (net)","W076RU1","133.0","133.0","132.0","132.0","141.0","141.0","140.0","138.0","153.0","150.0","148.0","147.0","170.0","170.0","171.0","172.0","214.0","217.0","222.0","227.0","268.0","272.0","273.0","272.0","308.0","304.0","301.0","298.0","344.0","343.0","340.0","339.0","396.0","396.0","395.0","395.0","465.0","466.0","467.0","469.0","540.0","542.0","544.0","544.0","615.0","615.0","614.0","613.0","716.0","716.0","717.0","720.0","808.0","812.0","814.0","815.0","907.0","895.0","906.0","937.0","1,001.0","1,039.0","1,067.0","1,078.0","1,081.0","1,091.0","1,107.0","1,121.0","3,140.0","1,181.0","1,195.0","1,204.0","1,203.0","1,212.0","1,226.0","1,248.0","1,268.0","1,310.0","1,368.0","1,435.0","1,514.0","1,578.0","1,630.0","1,672.0","1,810.0","1,721.0","1,758.0","1,802.0","1,941.0","1,909.0","1,974.0","2,126.0","2,221.0","2,216.0","2,293.0","2,508.0","2,529.0","2,590.0","2,662.0","2,747.0","2,845.0","2,941.0","3,037.0","3,132.0","3,224.0","3,322.0","3,423.0","3,527.0","3,634.0","3,739.0","3,845.0","3,950.0","4,065.0","4,155.0","5,156.0","4,310.0","4,643.0","4,384.0","4,771.0","7,809.0","5,820.0","5,935.0","6,060.0","6,195.0","7,022.0","7,128.0","7,194.0","7,218.0","7,347.0","7,385.0","7,480.0","7,630.0","7,896.0","8,075.0","8,228.0","8,355.0","8,197.0","8,341.0","8,532.0","8,769.0","8,969.0","9,136.0","9,208.0","9,185.0","9,097.0","9,067.0","9,122.0","9,262.0","9,329.0","9,530.0","9,705.0","9,854.0","10,008.0","10,164.0","10,393.0","10,696.0","11,017.0","11,079.0","11,108.0","11,105.0","11,249.0","11,231.0","11,236.0","11,263.0","10,952.0","11,264.0","11,319.0","11,268.0","11,263.0","11,325.0","11,408.0","11,473.0"
"30","11","  From persons","B246RU1","259.0","264.0","269.0","276.0","284.0","293.0","303.0","314.0","325.0","339.0","355.0","372.0","396.0","410.0","420.0","425.0","419.0","422.0","428.0","438.0","458.0","476.0","497.0","522.0","546.0","576.0","607.0","639.0","673.0","704.0","734.0","762.0","788.0","813.0","837.0","860.0","881.0","905.0","930.0","957.0","990.0","1,020.0","1,051.0","1,083.0","1,108.0","1,151.0","1,202.0","1,260.0","1,340.0","1,400.0","1,453.0","1,499.0","1,529.0","1,569.0","1,612.0","1,657.0","1,706.0","1,758.0","1,813.0","1,873.0","1,939.0","2,003.0","2,067.0","2,132.0","2,187.0","2,263.0","2,346.0","2,435.0","2,547.0","2,630.0","2,702.0","2,762.0","2,743.0","2,771.0","2,805.0","2,847.0","2,903.0","2,964.0","3,035.0","3,115.0","3,241.0","3,315.0","3,387.0","3,463.0","3,503.0","3,629.0","3,798.0","4,010.0","4,304.0","4,555.0","4,799.0","5,031.0","5,249.0","5,420.0","5,560.0","5,663.0","5,753.0","5,831.0","5,921.0","6,023.0","6,178.0","6,272.0","6,360.0","6,440.0","6,499.0","6,577.0","6,659.0","6,740.0","6,808.0","6,893.0","6,983.0","7,078.0","7,385.0","7,539.0","7,647.0","7,709.0","7,680.0","7,688.0","7,775.0","7,947.0","8,193.0","8,443.0","8,681.0","8,916.0","9,143.0","9,378.0","9,623.0","9,880.0","10,143.0","10,397.0","10,637.0","10,863.0","11,074.0","11,297.0","11,516.0","11,739.0","11,963.0","12,218.0","12,493.0","12,795.0","13,084.0","13,343.0","13,564.0","13,753.0","13,901.0","14,055.0","14,201.0","14,351.0","14,498.0","14,681.0","14,901.0","15,156.0","15,328.0","15,578.0","15,906.0","16,313.0","16,189.0","16,182.0","16,290.0","16,513.0","16,399.0","16,467.0","16,536.0","16,605.0","16,675.0","16,766.0","16,878.0","17,011.0","17,165.0","17,305.0","17,429.0","17,539.0"
"31","12","Current surplus of government enterprises","B115RU1","365.0","365.0","366.0","374.0","376.0","370.0","370.0","364.0","349.0","337.0","339.0","341.0","363.0","390.0","409.0","408.0","395.0","376.0","361.0","337.0","313.0","258.0","177.0","129.0","147.0","212.0","-17.0","54.0","165.0","108.0","94.0","-7.0","-38.0","90.0","243.0","19.0","9.0","206.0","203.0","-154.0","116.0","-37.0","-113.0","-286.0","5.0","-311.0","-501.0","-411.0","-506.0","-509.0","-822.0","-567.0","-567.0","-391.0","-537.0","-107.0","-197.0","-92.0","7.0","55.0","192.0","362.0","187.0","764.0","550.0","846.0","778.0","997.0","699.0","894.0","466.0","719.0","535.0","691.0","768.0","1,120.0","927.0","1,188.0","1,278.0","1,449.0","1,589.0","1,742.0","1,628.0","1,720.0","1,683.0","1,658.0","1,668.0","1,852.0","1,735.0","1,782.0","1,712.0","2,057.0","1,892.0","2,105.0","2,015.0","2,263.0","2,331.0","2,303.0","2,404.0","2,907.0","2,430.0","2,548.0","2,592.0","2,970.0","3,032.0","3,443.0","3,811.0","3,185.0","3,998.0","3,496.0","3,875.0","4,194.0","4,039.0","3,415.0","3,959.0","2,782.0","2,871.0","2,880.0","3,413.0","3,295.0","2,969.0","3,279.0","3,180.0","3,877.0","2,748.0","2,815.0","1,890.0","2,913.0","2,060.0","1,902.0","2,561.0","1,511.0","2,117.0","1,042.0","1,579.0","1,402.0","958.0","966.0","757.0","614.0","480.0","195.0","160.0","119.0","231.0","3.0","-50.0","-128.0","-60.0","-187.0","-502.0","-585.0","-1,455.0","-2,158.0","-2,464.0","-2,975.0","-2,915.0","-3,041.0","-3,213.0","-3,160.0","-3,135.0","-2,851.0","-2,897.0","-2,181.0","-3,531.0","-2,820.0","-3,039.0","-3,120.0","-3,197.0","-3,345.0","-3,511.0","-3,783.0"
"32","13","    Current expenditures","W024RU1","23,186.0","23,927.0","24,717.0","25,644.0","26,743.0","27,740.0","28,723.0","29,768.0","30,877.0","31,831.0","32,522.0","33,229.0","34,553.0","35,225.0","36,130.0","36,900.0","38,039.0","39,208.0","40,075.0","41,307.0","42,179.0","43,856.0","45,450.0","47,264.0","49,433.0","51,321.0","52,514.0","53,851.0","55,009.0","55,983.0","57,127.0","58,177.0","59,599.0","61,187.0","62,357.0","63,658.0","65,219.0","66,660.0","67,875.0","69,145.0","71,047.0","72,769.0","74,758.0","76,783.0","79,293.0","81,075.0","83,575.0","85,444.0","87,888.0","90,096.0","91,676.0","93,019.0","95,290.0","97,715.0","99,547.0","101,079.0","103,655.0","105,363.0","106,519.0","108,187.0","110,617.0","113,011.0","114,673.0","117,913.0","120,413.0","123,047.0","126,048.0","129,210.0","131,379.0","133,581.0","136,073.0","139,878.0","141,272.0","143,470.0","145,471.0","148,387.0","150,776.0","153,277.0","155,519.0","158,722.0","161,679.0","164,995.0","168,161.0","172,518.0","176,446.0","180,185.0","184,761.0","190,381.0","191,630.0","196,858.0","200,582.0","206,135.0","205,224.0","210,894.0","215,204.0","216,307.0","217,236.0","220,422.0","224,907.0","226,530.0","228,503.0","232,507.0","235,363.0","240,234.0","242,375.0","246,333.0","247,719.0","246,280.0","249,710.0","257,053.0","256,670.0","258,665.0","261,110.0","263,673.0","266,770.0","271,619.0","272,837.0","277,759.0","280,360.0","286,640.0","290,747.0","296,322.0","302,476.0","309,058.0","311,124.0","317,920.0","322,808.0","329,485.0","337,233.0","348,949.0","346,363.0","357,378.0","358,070.0","364,476.0","368,672.0","375,561.0","379,420.0","383,305.0","385,245.0","387,174.0","392,894.0","402,546.0","402,600.0","411,285.0","414,748.0","425,856.0","427,924.0","435,966.0","432,895.0","443,632.0","448,801.0","453,296.0","467,697.0","475,504.0","477,486.0","490,146.0","495,944.0","505,223.0","511,290.0","504,578.0","504,905.0","518,060.0","523,344.0","528,312.0","529,571.0","531,419.0","530,891.0","540,213.0","542,029.0","544,846.0","537,980.0","541,482.0"
"33","14","Consumption expenditures","A991RU1","18,964.0","19,611.0","20,289.0","20,985.0","21,816.0","22,508.0","23,261.0","23,950.0","24,752.0","25,405.0","26,043.0","26,520.0","27,287.0","27,902.0","28,650.0","29,312.0","30,167.0","31,049.0","31,926.0","32,846.0","33,994.0","35,231.0","36,569.0","37,943.0","39,449.0","40,887.0","41,974.0","42,786.0","43,625.0","44,440.0","45,237.0","46,156.0","47,289.0","48,325.0","49,544.0","50,712.0","51,800.0","52,672.0","53,797.0","54,901.0","56,377.0","57,292.0","59,080.0","60,590.0","62,326.0","63,941.0","65,406.0","66,761.0","68,612.0","69,981.0","71,233.0","72,517.0","74,157.0","75,656.0","76,846.0","78,196.0","79,592.0","80,527.0","81,511.0","82,451.0","84,309.0","85,985.0","87,824.0","89,551.0","91,819.0","94,004.0","96,706.0","99,227.0","101,677.0","103,357.0","105,186.0","107,860.0","108,586.0","109,782.0","110,699.0","112,340.0","114,907.0","116,869.0","118,576.0","120,670.0","122,834.0","125,046.0","126,928.0","129,645.0","132,977.0","135,086.0","137,903.0","141,019.0","142,251.0","143,481.0","145,088.0","146,656.0","148,416.0","150,664.0","152,807.0","154,323.0","156,317.0","157,765.0","159,280.0","160,789.0","163,639.0","165,826.0","168,352.0","170,350.0","172,651.0","174,809.0","176,182.0","177,642.0","179,483.0","181,660.0","183,334.0","185,714.0","187,889.0","189,539.0","191,958.0","195,154.0","197,398.0","200,388.0","203,756.0","207,056.0","210,995.0","215,585.0","220,059.0","223,968.0","227,546.0","230,662.0","234,045.0","238,363.0","243,210.0","247,293.0","250,657.0","253,069.0","256,518.0","260,753.0","264,315.0","267,795.0","272,881.0","273,134.0","274,605.0","275,887.0","279,195.0","282,284.0","286,011.0","291,578.0","295,494.0","299,599.0","305,729.0","311,208.0","313,613.0","318,662.0","323,167.0","326,896.0","334,446.0","340,139.0","344,044.0","350,240.0","357,104.0","363,770.0","368,899.0","359,456.0","359,031.0","366,444.0","371,965.0","375,879.0","376,295.0","373,555.0","372,150.0","374,225.0","377,840.0","380,065.0","380,493.0","379,604.0"
"34","15","Government social benefit payments to persons","B109RU1","3,172.0","3,238.0","3,312.0","3,495.0","3,697.0","3,937.0","4,094.0","4,373.0","4,575.0","4,814.0","4,873.0","5,070.0","5,324.0","5,450.0","5,570.0","5,609.0","5,829.0","6,043.0","5,985.0","6,227.0","5,876.0","6,236.0","6,407.0","6,757.0","7,324.0","7,678.0","7,686.0","8,114.0","8,337.0","8,407.0","8,669.0","8,725.0","8,944.0","9,427.0","9,306.0","9,362.0","9,791.0","10,280.0","10,334.0","10,362.0","10,579.0","10,925.0","11,173.0","11,639.0","12,234.0","12,308.0","13,174.0","13,485.0","13,837.0","14,431.0","14,509.0","14,313.0","14,683.0","15,327.0","15,665.0","15,522.0","16,354.0","16,798.0","16,659.0","17,095.0","17,393.0","17,830.0","17,365.0","18,581.0","18,668.0","19,022.0","19,457.0","20,113.0","20,328.0","20,837.0","21,246.0","21,933.0","22,000.0","22,404.0","22,802.0","23,520.0","23,731.0","24,235.0","24,777.0","25,758.0","25,960.0","26,726.0","27,640.0","29,022.0","29,579.0","30,925.0","32,448.0","34,703.0","34,282.0","38,113.0","40,130.0","43,992.0","41,338.0","44,842.0","47,046.0","46,770.0","45,896.0","47,702.0","50,766.0","50,846.0","49,719.0","51,351.0","51,445.0","54,192.0","54,031.0","55,693.0","55,518.0","52,394.0","53,699.0","58,583.0","56,307.0","55,666.0","55,702.0","56,440.0","56,940.0","58,476.0","57,305.0","59,178.0","58,280.0","61,016.0","61,139.0","61,907.0","63,414.0","65,889.0","64,150.0","67,601.0","68,831.0","70,851.0","71,543.0","77,366.0","73,657.0","82,503.0","80,206.0","82,752.0","83,099.0","86,952.0","85,370.0","88,816.0","89,542.0","89,682.0","92,254.0","98,769.0","95,101.0","98,151.0","97,652.0","104,542.0","100,190.0","102,381.0","96,439.0","101,734.0","101,927.0","102,809.0","108,282.0","107,738.0","105,720.0","111,985.0","111,183.0","113,513.0","114,710.0","117,318.0","118,527.0","125,135.0","125,120.0","126,351.0","126,758.0","130,831.0","131,829.0","138,881.0","136,888.0","137,430.0","130,043.0","134,186.0"
