"","Table 7#4#5# Housing Sector Output, Gross Value Added, and Net V","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46"
"20","2","  Nonfarm housing","A2008C1","80,669.0","87,262.0","95,739.0","104,507.0","114,676.0","125,494.0","137,761.0","151,239.0","168,352.0","189,240.0","212,547.0","240,220.0","271,973.0","296,803.0","321,532.0","352,747.0","389,092.0","423,798.0","456,262.0","491,366.0","524,995.0","563,457.0","594,320.0","626,701.0","657,213.0","702,888.0","746,047.0","783,680.0","828,843.0","883,040.0","938,997.0","996,812.0","1,071,688.0","1,120,000.0","1,160,929.0","1,216,207.0","1,309,184.0","1,394,438.0","1,452,366.0","1,509,413.0","1,555,446.0","1,565,337.0","1,600,377.0"
"21","3","    Owner-occupied","DOWNRC1","56,627.0","61,300.0","67,344.0","73,716.0","80,980.0","89,677.0","98,778.0","108,670.0","121,336.0","138,123.0","156,871.0","178,385.0","201,023.0","218,189.0","235,996.0","258,101.0","280,785.0","304,497.0","329,438.0","357,613.0","384,868.0","412,788.0","436,687.0","462,819.0","488,461.0","526,209.0","559,814.0","592,467.0","629,459.0","674,050.0","720,267.0","768,886.0","829,759.0","870,850.0","913,823.0","962,526.0","1,044,497.0","1,111,028.0","1,141,254.0","1,179,132.0","1,202,309.0","1,205,145.0","1,222,811.0"
"22","4","    Tenant-occupied","DTENRC1","24,042.0","25,962.0","28,395.0","30,791.0","33,696.0","35,817.0","38,983.0","42,569.0","47,016.0","51,117.0","55,676.0","61,835.0","70,950.0","78,614.0","85,536.0","94,646.0","108,307.0","119,301.0","126,824.0","133,753.0","140,127.0","150,669.0","157,633.0","163,882.0","168,752.0","176,679.0","186,233.0","191,213.0","199,384.0","208,990.0","218,730.0","227,926.0","241,929.0","249,150.0","247,106.0","253,681.0","264,687.0","283,410.0","311,112.0","330,281.0","353,137.0","360,192.0","377,566.0"
"23","5","  Farm housing","DFARRC1","3,046.0","3,268.0","3,475.0","3,713.0","3,784.0","3,961.0","3,998.0","4,115.0","4,369.0","4,684.0","4,924.0","5,170.0","5,345.0","5,148.0","5,171.0","5,201.0","5,114.0","4,983.0","5,041.0","5,474.0","5,907.0","6,341.0","6,774.0","7,207.0","8,067.0","9,021.0","9,404.0","9,759.0","9,636.0","10,023.0","10,591.0","12,746.0","13,142.0","13,640.0","14,286.0","16,793.0","18,829.0","20,917.0","19,496.0","19,456.0","19,643.0","20,152.0","21,716.0"
"24","6","Less: Intermediate goods and services consumed","B1027C1","12,461.0","13,852.0","15,273.0","17,167.0","20,120.0","22,620.0","24,557.0","28,719.0","32,269.0","38,391.0","44,523.0","45,543.0","48,517.0","46,218.0","48,985.0","56,615.0","61,137.0","69,054.0","75,800.0","81,549.0","87,536.0","92,001.0","93,030.0","95,324.0","102,333.0","109,323.0","114,727.0","122,172.0","129,918.0","147,766.0","151,276.0","159,657.0","180,383.0","201,178.0","236,972.0","244,334.0","274,003.0","284,584.0","271,237.0","229,145.0","252,652.0","263,475.0","270,106.0"
"25","7","Equals: Gross housing value added","A2009C1","71,254.0","76,678.0","83,941.0","91,053.0","98,340.0","106,835.0","117,202.0","126,635.0","140,452.0","155,533.0","172,948.0","199,847.0","228,801.0","255,733.0","277,718.0","301,333.0","333,069.0","359,727.0","385,503.0","415,291.0","443,366.0","477,797.0","508,064.0","538,584.0","562,947.0","602,586.0","640,724.0","671,267.0","708,561.0","745,297.0","798,312.0","849,901.0","904,447.0","932,462.0","938,243.0","988,666.0","1,054,010.0","1,130,771.0","1,200,626.0","1,299,724.0","1,322,437.0","1,322,014.0","1,351,987.0"
"26","8","          Nonfarm housing","B499RC1","68,487.0","73,710.0","80,786.0","87,686.0","94,911.0","103,249.0","113,585.0","122,915.0","136,506.0","151,301.0","168,497.0","195,172.0","223,966.0","251,074.0","273,095.0","296,737.0","328,601.0","355,421.0","381,194.0","410,569.0","438,227.0","472,235.0","502,074.0","532,163.0","555,793.0","594,611.0","632,416.0","662,659.0","700,088.0","736,509.0","789,047.0","838,775.0","893,010.0","920,642.0","925,895.0","974,200.0","1,037,796.0","1,112,687.0","1,183,726.0","1,282,812.0","1,305,363.0","1,304,498.0","1,333,083.0"
"27","9","            Owner-occupied","B1300C1","49,417.0","53,062.0","58,586.0","63,516.0","68,964.0","75,611.0","83,308.0","90,362.0","98,920.0","111,486.0","126,101.0","146,771.0","167,821.0","186,699.0","202,590.0","220,124.0","239,529.0","256,951.0","277,066.0","301,193.0","324,413.0","349,759.0","370,054.0","390,274.0","412,163.0","444,280.0","474,217.0","501,495.0","532,765.0","563,618.0","609,158.0","652,161.0","698,793.0","725,331.0","740,361.0","781,529.0","838,568.0","896,748.0","940,353.0","1,013,961.0","1,021,065.0","1,013,115.0","1,027,745.0"
"28","10","            Tenant-occupied","B1301C1","19,070.0","20,648.0","22,199.0","24,169.0","25,947.0","27,638.0","30,276.0","32,553.0","37,585.0","39,815.0","42,396.0","48,401.0","56,145.0","64,375.0","70,505.0","76,613.0","89,071.0","98,470.0","104,129.0","109,376.0","113,814.0","122,476.0","132,021.0","141,888.0","143,631.0","150,331.0","158,198.0","161,163.0","167,324.0","172,891.0","179,889.0","186,614.0","194,217.0","195,311.0","185,534.0","192,671.0","199,228.0","215,939.0","243,373.0","268,851.0","284,298.0","291,383.0","305,338.0"
"29","11","          Farm housing","B1302C1","2,767.0","2,968.0","3,155.0","3,367.0","3,429.0","3,587.0","3,617.0","3,720.0","3,946.0","4,232.0","4,451.0","4,675.0","4,835.0","4,659.0","4,624.0","4,596.0","4,468.0","4,306.0","4,309.0","4,722.0","5,139.0","5,561.0","5,989.0","6,421.0","7,154.0","7,974.0","8,308.0","8,608.0","8,472.0","8,788.0","9,265.0","11,126.0","11,437.0","11,820.0","12,347.0","14,465.0","16,214.0","18,083.0","16,900.0","16,912.0","17,073.0","17,516.0","18,905.0"
"30","12","Less: Consumption of fixed capital","A1028C1","14,051.0","15,079.0","16,604.0","18,425.0","20,971.0","24,103.0","27,124.0","29,639.0","33,584.0","38,973.0","44,870.0","51,316.0","56,867.0","60,838.0","63,248.0","66,721.0","70,177.0","75,013.0","80,284.0","85,657.0","90,875.0","95,390.0","98,661.0","101,760.0","107,451.0","113,624.0","120,864.0","126,787.0","133,812.0","141,250.0","150,893.0","161,804.0","173,244.0","182,325.0","196,097.0","217,289.0","239,683.0","262,103.0","273,211.0","275,634.0","269,614.0","270,665.0","274,509.0"
"31","13","Equals: Net housing value added \2\","B952RC1","57,203.0","61,599.0","67,337.0","72,628.0","77,368.0","82,733.0","90,078.0","96,996.0","106,867.0","116,561.0","128,078.0","148,531.0","171,934.0","194,895.0","214,470.0","234,612.0","262,891.0","284,715.0","305,220.0","329,634.0","352,491.0","382,406.0","409,402.0","436,824.0","455,496.0","488,961.0","519,860.0","544,479.0","574,748.0","604,047.0","647,420.0","688,097.0","731,203.0","750,137.0","742,146.0","771,377.0","814,327.0","868,668.0","927,415.0","1,024,090.0","1,052,823.0","1,051,349.0","1,077,478.0"
"32","14","          Compensation of employees","B1033C1","1,054.0","1,071.0","1,089.0","1,108.0","1,128.0","1,149.0","1,171.0","1,316.0","1,415.0","1,569.0","1,751.0","1,985.0","2,164.0","2,394.0","2,630.0","2,920.0","3,239.0","3,504.0","3,658.0","3,980.0","4,169.0","4,471.0","4,699.0","6,893.0","7,208.0","7,589.0","7,956.0","8,323.0","8,820.0","9,389.0","9,886.0","10,785.0","11,127.0","11,926.0","11,864.0","12,399.0","12,773.0","13,476.0","14,251.0","14,612.0","14,491.0","14,494.0","14,729.0"
"33","15","          Taxes on production and imports","B1031C1","17,646.0","20,068.0","22,076.0","23,780.0","25,790.0","27,572.0","30,317.0","33,366.0","36,554.0","37,250.0","38,019.0","41,020.0","45,622.0","50,037.0","54,031.0","58,607.0","62,824.0","67,116.0","73,772.0","78,834.0","85,421.0","90,817.0","97,113.0","100,638.0","101,065.0","106,009.0","106,361.0","110,263.0","114,272.0","117,441.0","121,764.0","125,840.0","133,105.0","143,960.0","153,433.0","164,204.0","176,464.0","186,475.0","197,065.0","200,035.0","208,680.0","209,900.0","213,077.0"
"34","16","          Less: Subsidies \3\","W154RC1","459.0","693.0","1,087.0","1,569.0","1,791.0","2,306.0","2,625.0","3,087.0","3,531.0","4,199.0","5,281.0","6,582.0","9,214.0","12,120.0","14,010.0","14,885.0","16,611.0","16,517.0","16,891.0","16,654.0","18,584.0","20,351.0","22,254.0","24,196.0","26,297.0","28,112.0","31,372.0","32,373.0","31,765.0","29,985.0","29,640.0","27,792.0","29,012.0","33,994.0","37,144.0","39,869.0","43,303.0","42,627.0","49,739.0","45,643.0","48,563.0","47,460.0","49,335.0"
"35","17","          Net operating surplus","W165RC1","38,962.0","41,153.0","45,259.0","49,309.0","52,241.0","56,318.0","61,216.0","65,401.0","72,429.0","81,940.0","93,589.0","112,108.0","133,361.0","154,584.0","171,819.0","187,970.0","213,439.0","230,611.0","244,681.0","263,475.0","281,485.0","307,470.0","329,844.0","353,489.0","373,520.0","403,474.0","436,915.0","458,266.0","483,421.0","507,202.0","545,410.0","579,264.0","615,983.0","628,245.0","613,994.0","634,643.0","668,393.0","711,343.0","765,838.0","855,086.0","878,215.0","874,415.0","899,007.0"
"36","18","            Net interest","B1037C1","18,498.0","20,449.0","23,569.0","27,339.0","31,482.0","36,206.0","42,533.0","47,643.0","55,560.0","64,389.0","75,499.0","88,674.0","101,758.0","118,729.0","135,208.0","151,876.0","174,775.0","195,301.0","208,297.0","221,458.0","238,920.0","256,670.0","265,492.0","262,497.0","247,252.0","244,643.0","262,080.0","270,921.0","285,972.0","297,829.0","318,100.0","348,349.0","372,403.0","389,831.0","396,985.0","425,130.0","481,898.0","557,476.0","612,701.0","626,817.0","560,904.0","500,230.0","462,643.0"
"37","19","            Current transfer payments","W166RC1","-30.0","-16.0","73.0","172.0","99.0","-350.0","-229.0","174.0","521.0","615.0","-34.0","-311.0","181.0","-148.0","-357.0","-563.0","-478.0","1,275.0","2,008.0","1,019.0","-827.0","-733.0","-386.0","-556.0","1,799.0","1,323.0","1,659.0","-493.0","4,859.0","1,668.0","2,091.0","924.0","-1,645.0","3,036.0","5,540.0","7,811.0","11,816.0","12,718.0","11,107.0","4,127.0","6,924.0","4,573.0","-2,046.0"
"38","20","            Proprietors' income with inventory valuation and capital consumption adjustments","B1034C1","1,525.0","1,646.0","1,382.0","1,420.0","1,348.0","1,180.0","624.0","810.0","1,396.0","1,768.0","2,503.0","3,662.0","5,498.0","7,750.0","7,519.0","7,866.0","8,767.0","8,953.0","8,737.0","8,708.0","8,763.0","9,971.0","11,545.0","15,757.0","19,406.0","23,037.0","26,009.0","26,727.0","28,755.0","29,933.0","31,124.0","32,139.0","34,225.0","34,395.0","30,725.0","29,391.0","27,859.0","28,929.0","34,459.0","41,201.0","53,444.0","59,238.0","67,854.0"
"39","21","            Rental income of persons with capital consumption adjustment","B1035C1","18,304.0","18,365.0","19,461.0","19,439.0","18,430.0","18,151.0","17,155.0","15,657.0","13,594.0","13,697.0","14,043.0","18,398.0","23,521.0","24,677.0","25,572.0","24,809.0","26,189.0","22,108.0","23,577.0","30,325.0","32,075.0","38,865.0","50,201.0","72,587.0","101,983.0","131,408.0","142,615.0","156,592.0","161,487.0","177,900.0","194,574.0","199,786.0","214,419.0","205,565.0","187,294.0","180,237.0","155,433.0","123,324.0","120,890.0","196,203.0","268,665.0","324,404.0","384,888.0"
"40","22","            Corporate profits with inventory valuation and capital consumption adjustments","B1036C1","445.0","460.0","480.0","529.0","564.0","557.0","532.0","523.0","687.0","790.0","987.0","1,191.0","1,800.0","2,262.0","2,155.0","2,686.0","3,030.0","2,635.0","2,730.0","2,932.0","3,253.0","3,141.0","3,013.0","3,118.0","3,186.0","3,773.0","4,116.0","4,115.0","4,302.0","4,323.0","4,290.0","4,386.0","4,423.0","4,236.0","3,850.0","3,775.0","4,693.0","4,387.0","5,269.0","5,972.0","7,069.0","7,716.0","8,763.0"
"41","23","            Current surplus of government enterprises \3\","W153RC1","219.0","248.0","295.0","409.0","318.0","573.0","600.0","594.0","670.0","681.0","592.0","495.0","603.0","1,313.0","1,723.0","1,296.0","1,157.0","338.0","-668.0","-968.0","-700.0","-443.0","-21.0","86.0","-106.0","-709.0","437.0","405.0","-1,954.0","-4,451.0","-4,768.0","-6,320.0","-7,843.0","-8,818.0","-10,399.0","-11,701.0","-13,306.0","-15,490.0","-18,588.0","-19,235.0","-18,791.0","-21,747.0","-23,095.0"
"42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","1. Equals personal consumption expenditures for housing excluding expenditures for group housing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","as shown in table 2.5.5.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2. Equals housing national income.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","3. Prior to 1959, subsidies and the current surplus of government enterprises are not shown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","separately;  subsidies are presented net of the current surplus of government enterprises.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
