"","Table 7#8# Supplements to Wages and Salaries by Type","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46"
"20","2","Employer contributions for government social insurance (3.6:2)","B039RC1","22,754.0","23,839.0","26,446.0","31,157.0","39,783.0","44,694.0","46,724.0","54,398.0","61,104.0","71,528.0","82,587.0","88,940.0","103,610.0","109,769.0","119,882.0","139,038.0","147,734.0","157,869.0","166,260.0","184,633.0","193,673.0","206,452.0","215,132.0","228,398.0","239,679.0","254,139.0","264,120.0","274,805.0","289,593.0","307,237.0","323,339.0","345,220.0","357,986.0","366,111.0","382,427.0","408,095.0","427,492.0","446,707.0","459,931.0","470,087.0","456,862.0","468,101.0","494,893.0"
"21","3","Employer contributions for employee pension and insurance funds (6.11A-D:1)","B040RC1","36,524.0","41,819.0","47,914.0","55,195.0","62,678.0","73,273.0","87,583.0","105,199.0","125,263.0","143,358.0","162,389.0","185,210.0","204,681.0","222,356.0","238,139.0","261,493.0","281,464.0","297,451.0","313,112.0","329,740.0","354,594.0","378,606.0","408,721.0","445,246.0","474,379.0","495,937.0","496,667.0","496,570.0","502,391.0","535,089.0","565,422.0","615,931.0","669,131.0","747,398.0","845,564.0","874,621.0","931,569.0","960,146.0","980,494.0","1,052,365.0","1,067,165.0","1,097,343.0","1,139,046.0"
"22",NA,"              By type"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","4","Pension, profit-sharing, and other retirement benefit plans \1\","A2209C1","36,693.0","40,049.0","46,328.0","53,017.0","62,367.0","73,596.0","83,608.0","96,373.0","111,014.0","124,838.0","142,585.0","160,143.0","177,596.0","188,712.0","199,169.0","224,513.0","237,253.0","249,120.0","257,989.0","268,935.0","283,351.0","295,117.0","310,602.0","325,171.0","340,690.0","359,180.0","372,585.0","381,000.0","395,853.0","421,852.0","432,909.0","459,935.0","488,380.0","540,079.0","600,405.0","604,091.0","633,457.0","670,942.0","686,216.0","760,386.0","760,409.0","783,878.0","812,069.0"
"24","5","  Old-age, survivors, and disability insurance (3.6:5)","L306051","15,621.0","16,182.0","18,214.0","20,612.0","25,172.0","29,186.0","30,483.0","33,833.0","37,477.0","42,870.0","50,339.0","55,561.0","64,927.0","69,214.0","73,459.0","85,724.0","91,511.0","98,071.0","104,106.0","118,316.0","126,565.0","137,280.0","141,020.0","147,378.0","153,242.0","161,913.0","169,928.0","179,029.0","191,525.0","205,897.0","218,856.0","234,393.0","243,842.0","248,135.0","253,837.0","264,902.0","277,044.0","293,422.0","306,467.0","317,208.0","307,602.0","307,746.0","320,979.0"
"25","6","  Federal civilian employee retirement (6.11A-C:26; 6.11D:28)","B4945C1","1,611.0","2,047.0","3,209.0","3,424.0","3,474.0","4,905.0","6,921.0","8,082.0","11,039.0","11,287.0","13,157.0","15,913.0","18,743.0","19,929.0","21,235.0","21,417.0","22,946.0","23,465.0","24,392.0","25,383.0","26,749.0","28,702.0","31,241.0","33,146.0","34,480.0","35,118.0","35,698.0","36,520.0","38,454.0","39,079.0","39,984.0","41,252.0","42,329.0","43,876.0","41,242.0","47,548.0","48,589.0","52,267.0","54,430.0","57,046.0","59,511.0","63,725.0","63,953.0"
"26","7","  Federal military employee retirement (6.11A-C:27; 6.11D:29)","B1583C1","2,661.0","3,162.0","3,673.0","4,161.0","4,695.0","5,657.0","6,824.0","7,696.0","8,503.0","9,428.0","10,649.0","12,480.0","14,021.0","15,367.0","16,304.0","26,059.0","28,233.0","28,284.0","29,045.0","28,489.0","28,920.0","27,520.0","28,885.0","28,318.0","25,482.0","24,653.0","23,185.0","26,893.0","26,670.0","26,298.0","26,587.0","28,221.0","29,403.0","33,700.0","41,170.0","46,754.0","52,057.0","55,333.0","60,463.0","65,978.0","73,067.0","78,023.0","81,685.0"
"27","8","  Railroad retirement (3.6:12)","CON1701","464.0","517.0","535.0","567.0","766.0","1,131.0","1,124.0","1,255.0","1,384.0","1,456.0","1,652.0","1,712.0","1,872.0","1,972.0","1,949.0","2,194.0","2,273.0","2,536.0","2,514.0","2,670.0","2,619.0","2,610.0","2,620.0","2,622.0","2,628.0","2,555.0","2,525.0","2,594.0","2,669.0","2,802.0","2,841.0","2,851.0","2,831.0","2,713.0","2,545.0","2,509.0","2,570.0","2,663.0","2,695.0","2,793.0","2,679.0","2,697.0","2,873.0"
"28","9","  Pension benefit guaranty (3.6:13)","B1043C1",".....",".....",".....",".....",".....","17.0","33.0","29.0","29.0","62.0","74.0","79.0","88.0","93.0","95.0","95.0","95.0","258.0","304.0","544.0","644.0","685.0","817.0","935.0","939.0","960.0","990.0","1,133.0","1,034.0","980.0","933.0","831.0","861.0","836.0","1,055.0","1,640.0","1,247.0","1,593.0","1,331.0","1,595.0","2,402.0","2,126.0","2,011.0"
"29","10","  State and local employee retirement (6.11A-C:28; 6.11D:30)","S251101","4,513.0","5,091.0","5,589.0","6,350.0","7,326.0","8,482.0","10,170.0","12,059.0","13,500.0","15,011.0","16,839.0","19,100.0","20,770.0","23,240.0","24,781.0","26,301.0","27,992.0","30,311.0","30,379.0","31,142.0","31,922.0","32,978.0","32,907.0","33,750.0","36,062.0","38,917.0","41,706.0","43,073.0","43,752.0","42,047.0","41,190.0","39,645.0","39,185.0","42,050.0","56,436.0","55,798.0","61,854.0","67,191.0","75,192.0","82,460.0","83,765.0","85,005.0","86,281.0"
"30","11","  Private pension and profit-sharing (6.11A-C:22; 6.11D:24)","B4921C1","11,823.0","13,050.0","15,108.0","17,903.0","20,934.0","24,218.0","28,053.0","33,419.0","39,082.0","44,724.0","49,875.0","55,298.0","57,175.0","58,897.0","61,346.0","62,723.0","64,203.0","66,195.0","67,249.0","62,391.0","65,932.0","65,342.0","73,112.0","79,022.0","87,857.0","95,064.0","98,553.0","91,758.0","91,749.0","104,749.0","102,518.0","112,742.0","129,929.0","168,769.0","204,120.0","184,940.0","190,096.0","198,473.0","185,638.0","233,306.0","231,383.0","244,556.0","254,287.0"
"31","12","Health insurance","A2210C1","12,386.0","14,682.0","16,343.0","19,189.0","23,897.0","26,801.0","31,397.0","38,529.0","45,944.0","54,937.0","63,502.0","73,061.0","88,136.0","100,062.0","110,844.0","121,599.0","133,561.0","144,441.0","154,985.0","173,047.0","191,533.0","211,910.0","231,326.0","256,069.0","276,254.0","292,077.0","291,415.0","296,681.0","303,775.0","328,344.0","363,805.0","404,786.0","435,919.0","462,874.0","503,593.0","540,790.0","579,590.0","594,278.0","618,453.0","640,095.0","648,270.0","659,280.0","687,703.0"
"32","13","  Federal hospital insurance (3.6:6)","L306061","2,263.0","2,342.0","2,407.0","2,721.0","5,255.0","5,374.0","5,609.0","6,225.0","6,892.0","8,583.0","10,526.0","11,612.0","15,942.0","16,806.0","18,682.0","20,573.0","22,741.0","26,100.0","27,721.0","29,490.0","31,555.0","33,472.0","36,809.0","38,612.0","40,311.0","44,717.0","47,539.0","50,259.0","54,129.0","58,545.0","62,530.0","67,540.0","69,077.0","69,293.0","71,134.0","74,929.0","78,952.0","84,017.0","88,763.0","90,575.0","86,348.0","88,212.0","91,902.0"
"33","14","  Military medical insurance (3.6:16)","B1606C1","178.0","211.0","237.0","263.0","286.0","280.0","261.0","251.0","265.0","300.0","347.0","358.0","431.0","545.0","633.0","689.0","791.0","921.0","1,052.0","1,264.0","1,345.0","1,534.0","1,653.0","1,698.0","1,622.0","1,362.0","1,047.0","959.0","942.0","975.0","1,031.0","1,159.0","1,317.0","1,480.0","1,751.0","1,961.0","2,103.0","2,452.0","2,449.0","2,707.0","3,147.0","3,626.0","4,360.0"
"34","15","  Temporary disability insurance (3.6:18)","S252101","19.0","28.0","37.0","44.0","47.0","41.0","29.0","29.0","34.0","42.0","54.0","75.0","82.0","95.0","70.0","50.0","30.0","11.0","14.0","16.0","14.0","15.0","16.0","18.0","19.0","20.0","19.0","17.0","14.0","15.0","16.0","21.0","27.0","27.0","28.0","32.0","36.0","32.0","29.0","33.0","39.0","41.0","43.0"
"35","16","  Private group health insurance (6.11B,C:31; 6.11D:33) \2\","B4923C1","9,926.0","12,101.0","13,662.0","16,161.0","18,309.0","21,106.0","25,498.0","32,024.0","38,753.0","46,012.0","52,575.0","61,016.0","71,681.0","82,616.0","91,459.0","100,287.0","109,999.0","117,409.0","126,198.0","142,277.0","158,619.0","176,889.0","192,848.0","215,741.0","234,302.0","245,978.0","242,810.0","245,446.0","248,690.0","268,809.0","300,228.0","336,066.0","365,498.0","392,074.0","430,680.0","463,868.0","498,499.0","507,777.0","527,212.0","546,780.0","558,736.0","567,401.0","591,398.0"
"36","17","Life insurance","A2211C1","2,414.0","2,447.0","2,469.0","2,517.0","2,526.0","2,728.0","3,065.0","3,114.0","3,331.0","3,728.0","3,874.0","4,132.0","4,359.0","4,669.0","4,880.0","4,899.0","5,568.0","6,071.0","6,132.0","6,459.0","6,665.0","7,251.0","6,991.0","7,971.0","8,585.0","9,134.0","9,489.0","10,030.0","10,820.0","11,472.0","11,603.0","12,383.0","13,062.0","12,336.0","11,450.0","12,628.0","13,207.0","16,032.0","17,755.0","12,984.0","11,109.0","10,524.0","10,995.0"
"37","18","  Veterans life insurance (3.6:14)","CON2101","9.0","11.0","8.0","12.0","9.0","2.0","9.0","7.0","6.0","3.0","5.0","6.0","9.0","9.0","6.0","7.0","9.0","8.0","10.0","11.0","13.0","14.0","15.0","22.0","16.0","16.0","7.0","33.0","47.0","30.0","40.0","20.0","18.0","20.0","22.0","33.0","29.0","38.0","49.0","53.0","36.0","58.0","78.0"
"38","19","  Private group life insurance (6.11B,C:32; 6.11D:34) \2\","B4924C1","2,405.0","2,436.0","2,461.0","2,505.0","2,517.0","2,726.0","3,056.0","3,107.0","3,325.0","3,725.0","3,869.0","4,126.0","4,350.0","4,660.0","4,874.0","4,892.0","5,559.0","6,063.0","6,122.0","6,448.0","6,652.0","7,237.0","6,976.0","7,949.0","8,569.0","9,118.0","9,482.0","9,997.0","10,773.0","11,442.0","11,563.0","12,363.0","13,044.0","12,316.0","11,428.0","12,595.0","13,178.0","15,994.0","17,706.0","12,931.0","11,073.0","10,466.0","10,917.0"
"39","20","Workers' compensation","A2212C1","4,258.0","4,693.0","4,978.0","5,492.0","6,388.0","7,446.0","8,579.0","10,535.0","13,102.0","15,622.0","18,103.0","19,657.0","20,418.0","19,979.0","20,440.0","22,201.0","25,244.0","28,940.0","33,541.0","38,100.0","41,423.0","46,257.0","50,196.0","55,629.0","57,216.0","57,746.0","55,542.0","52,461.0","51,184.0","51,116.0","51,394.0","54,159.0","60,341.0","67,508.0","77,241.0","83,188.0","87,298.0","81,162.0","75,854.0","69,011.0","63,636.0","61,214.0","63,498.0"
"40","21","  Federal (3.6:15)","CON2201","121.0","147.0","176.0","203.0","237.0","309.0","415.0","517.0","571.0","636.0","717.0","838.0","870.0","917.0","933.0","989.0","1,089.0","1,124.0","1,173.0","1,253.0","1,379.0","1,492.0","1,645.0","1,788.0","1,833.0","1,863.0","1,889.0","1,902.0","1,911.0","1,973.0","2,035.0","2,161.0","2,334.0","2,342.0","2,371.0","2,450.0","2,465.0","2,457.0","2,551.0","2,567.0","2,711.0","2,728.0","3,015.0"
"41","22","  State and local (3.6:19)","S253001","664.0","725.0","786.0","864.0","994.0","1,154.0","1,337.0","1,650.0","2,118.0","2,675.0","3,028.0","3,040.0","3,084.0","3,098.0","3,036.0","3,290.0","3,741.0","4,395.0","5,176.0","6,139.0","7,104.0","8,015.0","9,211.0","10,277.0","11,102.0","11,444.0","11,021.0","10,222.0","9,203.0","8,558.0","7,947.0","8,199.0","10,015.0","12,251.0","16,114.0","19,388.0","19,260.0","17,291.0","15,137.0","14,265.0","13,005.0","12,054.0","11,713.0"
"42","23","  Private insurance (6.11B,C:33; 6.11D:35) \2\","B4925C1","3,473.0","3,821.0","4,016.0","4,425.0","5,157.0","5,983.0","6,827.0","8,368.0","10,413.0","12,311.0","14,358.0","15,779.0","16,464.0","15,964.0","16,471.0","17,922.0","20,414.0","23,421.0","27,192.0","30,708.0","32,940.0","36,750.0","39,340.0","43,564.0","44,281.0","44,439.0","42,632.0","40,337.0","40,070.0","40,585.0","41,412.0","43,799.0","47,992.0","52,915.0","58,756.0","61,350.0","65,573.0","61,414.0","58,166.0","52,179.0","47,920.0","46,432.0","48,770.0"
"43","24","Unemployment insurance","A2213C1","3,527.0","3,787.0","4,242.0","6,137.0","7,283.0","7,396.0","7,658.0","11,046.0","12,976.0","15,761.0","16,912.0","17,157.0","17,782.0","18,703.0","22,688.0","27,319.0","27,572.0","26,748.0","26,726.0","27,832.0","25,295.0","24,523.0","24,738.0","28,804.0","31,313.0","31,939.0","31,756.0","31,203.0","30,352.0","29,542.0","29,050.0","29,888.0","29,415.0","30,712.0","35,302.0","42,018.0","45,509.0","44,439.0","42,147.0","39,976.0","40,603.0","50,548.0","59,674.0"
"44","25","  State unemployment insurance (3.6:8)","CON1201","2,482.0","2,414.0","2,612.0","4,078.0","5,064.0","5,401.0","5,246.0","8,138.0","9,369.0","11,486.0","12,152.0","11,618.0","11,998.0","12,771.0","15,514.0","19,387.0","19,469.0","18,209.0","17,788.0","18,044.0","16,735.0","15,517.0","15,487.0","18,307.0","21,375.0","22,920.0","22,688.0","22,035.0","21,285.0","20,358.0","19,774.0","20,475.0","20,125.0","21,431.0","25,954.0","32,474.0","35,793.0","34,827.0","32,475.0","30,368.0","30,894.0","40,195.0","47,805.0"
"45","26","  Federal unemployment tax (3.6:9)","CON1501","669.0","854.0","853.0","1,182.0","1,511.0","1,281.0","1,277.0","1,402.0","1,997.0","2,745.0","3,048.0","3,365.0","3,570.0","3,729.0","4,915.0","5,466.0","5,444.0","5,693.0","5,896.0","6,384.0","5,182.0","5,240.0","5,149.0","5,402.0","5,317.0","5,571.0","5,784.0","5,990.0","6,280.0","6,579.0","6,826.0","7,099.0","7,044.0","6,862.0","6,765.0","6,958.0","7,236.0","7,160.0","7,273.0","7,109.0","6,625.0","6,832.0","7,962.0"
"46","27","  Railroad employees unemployment insurance (3.6:10)","CON1601","131.0","128.0","123.0","119.0","118.0","119.0","110.0","150.0","220.0","219.0","196.0","148.0","205.0","180.0","163.0","240.0","229.0","212.0","199.0","190.0","218.0","219.0","172.0","96.0","20.0","22.0","24.0","27.0","27.0","79.0","102.0","64.0","63.0","107.0","154.0","108.0","87.0","88.0","90.0","92.0","94.0","100.0","236.0"
"47","28","  Federal employees unemployment insurance (3.6:11)","CONBFE1","133.0","280.0","458.0","492.0","324.0","399.0","791.0","912.0","742.0","451.0","449.0","528.0","532.0","340.0","427.0","334.0","312.0","331.0","307.0","312.0","300.0","359.0","518.0","1,243.0","1,255.0","776.0","659.0","605.0","527.0","446.0","408.0","407.0","432.0","614.0","697.0","711.0","670.0","667.0","622.0","722.0","1,280.0","1,686.0","1,916.0"
"48","29","  Private supplemental unemployment (6.11B,C:34; 6.11D:36)","B4926C1","112.0","111.0","196.0","266.0","266.0","196.0","234.0","444.0","648.0","860.0","1,067.0","1,498.0","1,477.0","1,683.0","1,669.0","1,892.0","2,118.0","2,303.0","2,536.0","2,902.0","2,860.0","3,188.0","3,412.0","3,756.0","3,346.0","2,650.0","2,601.0","2,546.0","2,233.0","2,080.0","1,940.0","1,843.0","1,751.0","1,698.0","1,732.0","1,767.0","1,723.0","1,697.0","1,687.0","1,685.0","1,710.0","1,735.0","1,755.0"
"49",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","1. Employer contributions to privately administered programs and to publicly administered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","government employee retirement plans are classified as employer contributions for employee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","pension and insurance funds.  Employer contributions to other publicly administered programs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","are classified as employer contributions for government social insurance.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","2. Government contributions to privately administered health, life, and workers' compensation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","insurance for government employees are classified as employer contributions for employee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","pension and insurance funds.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Note.  The numbers in parentheses indicate the tables and line numbers from which the entries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","in this table are derived.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
