"","Table 3#22# Federal Government Current Receipts and Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171"
"28","9","Current transfer receipts","W011RU1","275.0","283.0","288.0","295.0","293.0","295.0","267.0","266.0","271.0","271.0","273.0","280.0","298.0","314.0","325.0","334.0","354.0","373.0","267.0","284.0","332.0","357.0","368.0","369.0","365.0","366.0","370.0","377.0","412.0","395.0","393.0","407.0","409.0","445.0","536.0","571.0","611.0","653.0","688.0","717.0","737.0","765.0","793.0","824.0","863.0","894.0","882.0","1,238.0","1,063.0","966.0","1,017.0","1,081.0","1,338.0","1,415.0","1,456.0","1,468.0","1,432.0","1,496.0","1,548.0","1,664.0","1,787.0","1,850.0","1,877.0","1,892.0","2,063.0","3,497.0","2,097.0","2,084.0","2,073.0","2,113.0","1,891.0","2,423.0","2,597.0","2,881.0","2,724.0","2,771.0","2,451.0","2,519.0","2,686.0","2,817.0","2,948.0","3,046.0","3,364.0","3,342.0","3,248.0","3,349.0","3,595.0","4,050.0","4,404.0","4,504.0","4,632.0","4,694.0","4,608.0","4,550.0","4,648.0","5,567.0","5,383.0","4,806.0","5,429.0","5,639.0","6,608.0","5,881.0","5,873.0","4,441.0","5,016.0","4,261.0","4,655.0","4,477.0","5,021.0","4,482.0","5,023.0","9,311.0","5,975.0","5,124.0","5,529.0","4,661.0","6,034.0","5,236.0","6,149.0","5,167.0","5,861.0","5,446.0","6,129.0","5,972.0","6,625.0","6,235.0","7,031.0","5,840.0","6,798.0","6,136.0","6,805.0","7,296.0","6,458.0","7,002.0","6,776.0","5,896.0","6,116.0","6,674.0","6,190.0","6,614.0","7,109.0","7,105.0","6,925.0","7,871.0","7,987.0","8,200.0","8,355.0","9,055.0","9,609.0","9,856.0","9,628.0","9,228.0","10,796.0","11,038.0","11,160.0","11,808.0","12,298.0","12,378.0","12,652.0","17,054.0","17,509.0","19,948.0","15,126.0","17,180.0","17,699.0","17,400.0","17,709.0","16,916.0"
"29","10","Current surplus of government enterprises \2\","B097RU1","-118.0","-129.0","-221.0","19.0","-242.0","-529.0","-498.0","-243.0","-467.0","-437.0","-636.0","-66.0","-208.0","-367.0","-367.0","-151.0","-294.0","-564.0","-442.0","-535.0","-395.0","-842.0","-233.0","-334.0","-724.0","-1,726.0","-602.0","-586.0","-217.0","-1,699.0","-171.0","-74.0","-207.0","-348.0","-2,243.0","-203.0","-395.0","-262.0","-2,153.0","345.0","111.0","-7.0","-2,754.0","88.0","-67.0","-200.0","-3,598.0","-11.0","-134.0","108.0","-3,865.0","718.0","551.0","310.0","-4,303.0","563.0","351.0","385.0","-4,254.0","565.0","278.0","269.0","-4,404.0","440.0","319.0","513.0","-4,492.0","1,052.0","815.0","847.0","-4,553.0","993.0","433.0","280.0","-4,245.0","575.0","735.0","992.0","-4,865.0","869.0","834.0","943.0","-3,717.0","191.0","-117.0","167.0","-5,354.0","9.0","1,249.0","1,556.0","-5,677.0","1,260.0","1,596.0","1,693.0","-5,671.0","2,339.0","754.0","733.0","-3,293.0","542.0","573.0","619.0","-3,338.0","1,205.0","1,038.0","989.0","-3,088.0","720.0","586.0","613.0","-3,336.0","928.0","986.0","1,030.0","-3,307.0","1,199.0","1,277.0","1,305.0","-3,121.0","1,374.0","1,275.0","1,302.0","-2,786.0","1,000.0","1,015.0","993.0","-3,039.0","-190.0","-249.0","-292.0","-4,169.0","723.0","706.0","703.0","-3,027.0","1,823.0","1,827.0","1,829.0","-1,481.0","1,500.0","1,496.0","1,394.0","-2,718.0","117.0","83.0","68.0","-3,967.0","269.0","342.0","308.0","-4,255.0","724.0","717.0","694.0","-4,432.0","297.0","341.0","318.0","-4,467.0","157.0","128.0","115.0","-4,367.0","-298.0","-50.0","-89.0","-4,425.0","-259.0"
"30","11","    Current expenditures","W013RU1","42,924.0","46,503.0","47,999.0","46,673.0","45,801.0","52,185.0","52,444.0","51,147.0","51,840.0","56,822.0","55,822.0","56,102.0","58,266.0","62,413.0","60,888.0","63,631.0","63,838.0","67,300.0","65,968.0","65,528.0","68,722.0","74,905.0","73,331.0","77,493.0","81,815.0","91,151.0","85,467.0","89,841.0","91,626.0","95,826.0","92,509.0","96,697.0","97,519.0","100,283.0","106,205.0","106,078.0","107,875.0","111,231.0","116,684.0","117,137.0","118,053.0","122,396.0","129,801.0","130,616.0","136,757.0","142,915.0","154,299.0","155,480.0","161,187.0","164,688.0","175,428.0","175,387.0","177,170.0","182,681.0","194,033.0","198,737.0","195,976.0","204,210.0","210,505.0","208,800.0","208,422.0","214,273.0","221,665.0","237,092.0","225,687.0","234,685.0","239,675.0","252,971.0","236,343.0","253,333.0","256,138.0","264,841.0","250,039.0","258,073.0","258,980.0","278,781.0","262,033.0","272,160.0","266,969.0","295,782.0","279,259.0","293,116.0","287,330.0","312,269.0","299,257.0","315,045.0","311,454.0","333,445.0","299,957.0","331,330.0","327,828.0","361,228.0","344,461.0","360,682.0","357,158.0","388,194.0","357,546.0","376,698.0","373,427.0","396,641.0","370,375.0","381,649.0","383,338.0","407,150.0","389,419.0","410,915.0","399,970.0","413,700.0","406,602.0","418,558.0","410,387.0","439,138.0","415,686.0","429,526.0","418,364.0","452,714.0","422,901.0","433,870.0","425,513.0","461,998.0","433,463.0","446,500.0","440,223.0","475,972.0","455,466.0","469,795.0","453,771.0","492,903.0","483,211.0","494,138.0","482,539.0","519,881.0","510,952.0","526,616.0","518,124.0","556,411.0","543,669.0","572,809.0","554,128.0","590,858.0","587,671.0","592,489.0","586,397.0","626,849.0","633,438.0","636,706.0","633,248.0","669,697.0","677,747.0","682,384.0","672,875.0","695,311.0","719,245.0","718,713.0","709,546.0","752,447.0","763,364.0","789,101.0","772,913.0","790,345.0","804,338.0","872,855.0","870,325.0","902,903.0","931,757.0","904,464.0","919,650.0","947,438.0"
"31","12","Consumption expenditures","A957RU1","23,094.0","25,326.0","25,112.0","24,783.0","24,000.0","25,339.0","24,245.0","25,001.0","24,496.0","26,513.0","25,105.0","25,823.0","26,701.0","27,864.0","26,635.0","26,428.0","26,814.0","28,208.0","26,713.0","27,087.0","27,977.0","30,069.0","29,232.0","30,645.0","30,708.0","34,399.0","31,782.0","32,631.0","32,594.0","37,026.0","33,086.0","34,441.0","34,574.0","36,355.0","42,019.0","37,738.0","37,690.0","39,385.0","45,409.0","40,832.0","41,403.0","43,114.0","49,445.0","44,957.0","46,672.0","49,885.0","58,215.0","52,663.0","54,368.0","56,804.0","67,221.0","59,857.0","60,920.0","61,395.0","74,721.0","66,242.0","67,120.0","68,716.0","82,888.0","67,725.0","69,227.0","72,523.0","84,338.0","83,810.0","75,739.0","77,182.0","92,730.0","92,681.0","80,845.0","83,888.0","97,389.0","95,907.0","86,033.0","88,059.0","98,793.0","100,821.0","88,480.0","90,398.0","99,718.0","103,136.0","90,324.0","96,059.0","105,846.0","106,246.0","97,137.0","99,220.0","109,797.0","112,823.0","102,842.0","105,388.0","115,583.0","114,501.0","101,703.0","103,816.0","120,564.0","118,062.0","101,769.0","103,166.0","120,600.0","115,683.0","103,158.0","101,547.0","121,662.0","114,341.0","103,901.0","103,958.0","120,772.0","111,507.0","102,408.0","102,847.0","120,249.0","121,036.0","104,326.0","107,333.0","121,814.0","124,058.0","101,467.0","105,607.0","121,607.0","125,918.0","104,656.0","109,388.0","127,937.0","131,321.0","111,128.0","118,575.0","132,853.0","133,453.0","119,077.0","124,250.0","140,078.0","146,751.0","130,259.0","137,751.0","159,373.0","163,107.0","147,315.0","157,349.0","178,516.0","177,077.0","165,415.0","166,509.0","195,681.0","193,775.0","177,579.0","177,090.0","208,084.0","203,085.0","191,247.0","188,735.0","214,547.0","216,474.0","191,804.0","195,518.0","227,396.0","234,196.0","209,432.0","213,450.0","249,666.0","259,196.0","218,705.0","231,643.0","260,275.0","276,016.0","237,032.0","247,780.0","279,240.0","289,958.0"
"32","13","Current transfer payments","W014RU1","15,629.0","16,826.0","16,110.0","16,887.0","17,988.0","21,210.0","20,193.0","21,101.0","22,670.0","25,209.0","23,533.0","24,708.0","26,652.0","28,794.0","25,632.0","31,620.0","31,312.0","32,197.0","30,880.0","31,464.0","34,108.0","37,184.0","36,906.0","38,672.0","43,473.0","48,313.0","46,061.0","47,752.0","50,197.0","48,991.0","50,317.0","51,394.0","53,181.0","52,900.0","53,996.0","55,400.0","58,402.0","58,321.0","58,566.0","60,381.0","62,303.0","62,586.0","65,479.0","67,637.0","72,574.0","72,238.0","77,916.0","80,128.0","83,611.0","81,310.0","83,449.0","85,165.0","88,233.0","88,634.0","89,624.0","96,500.0","97,680.0","98,104.0","93,948.0","97,422.0","99,923.0","99,321.0","97,798.0","103,759.0","105,527.0","105,222.0","104,938.0","108,340.0","110,838.0","111,816.0","113,590.0","113,631.0","113,880.0","114,571.0","113,752.0","115,377.0","122,082.0","121,847.0","119,604.0","123,218.0","132,031.0","131,084.0","129,821.0","134,165.0","143,525.0","145,199.0","143,141.0","144,335.0","136,363.0","149,318.0","153,978.0","164,299.0","180,632.0","180,136.0","178,247.0","186,369.0","192,549.0","191,957.0","188,934.0","199,959.0","205,394.0","198,943.0","197,161.0","206,782.0","215,552.0","216,141.0","207,123.0","210,155.0","230,984.0","223,553.0","216,640.0","224,813.0","238,341.0","229,354.0","222,609.0","235,101.0","247,873.0","235,220.0","229,960.0","241,866.0","257,617.0","245,129.0","240,764.0","251,905.0","272,430.0","257,992.0","250,270.0","266,673.0","294,648.0","280,712.0","274,669.0","289,944.0","323,354.0","310,954.0","301,715.0","316,033.0","342,690.0","335,821.0","322,427.0","338,425.0","369,978.0","349,147.0","334,691.0","351,232.0","395,461.0","369,049.0","357,630.0","369,175.0","420,385.0","394,849.0","381,625.0","390,279.0","452,287.0","416,217.0","402,370.0","419,562.0","475,858.0","474,294.0","438,241.0","453,507.0","540,051.0","546,144.0","532,964.0","534,432.0","627,066.0","559,389.0","567,896.0","559,309.0"
"33","14","  Government social benefits","W015RU1","11,508.0","11,628.0","11,456.0","11,749.0","12,634.0","14,734.0","14,071.0","14,918.0","15,991.0","17,386.0","16,527.0","16,987.0","18,426.0","18,042.0","17,103.0","20,249.0","21,387.0","21,339.0","20,981.0","21,995.0","24,460.0","25,664.0","26,395.0","28,083.0","31,757.0","34,048.0","33,816.0","34,698.0","37,153.0","35,576.0","35,868.0","37,035.0","39,238.0","37,787.0","38,198.0","39,439.0","41,368.0","40,439.0","41,219.0","42,124.0","45,104.0","44,901.0","47,279.0","48,536.0","52,835.0","52,949.0","58,425.0","58,974.0","62,638.0","61,364.0","64,542.0","65,848.0","68,769.0","69,340.0","71,474.0","75,769.0","78,232.0","78,146.0","74,857.0","75,429.0","78,574.0","78,159.0","77,181.0","78,995.0","82,592.0","82,387.0","81,865.0","82,562.0","86,433.0","85,994.0","87,449.0","88,196.0","89,963.0","90,500.0","90,717.0","89,758.0","96,093.0","96,408.0","94,547.0","94,894.0","104,416.0","104,295.0","102,375.0","104,129.0","112,871.0","113,047.0","112,478.0","112,827.0","123,572.0","124,373.0","122,785.0","127,256.0","140,278.0","138,540.0","137,739.0","139,151.0","149,206.0","146,876.0","144,622.0","146,998.0","158,756.0","151,517.0","150,802.0","152,184.0","164,781.0","165,624.0","159,190.0","159,781.0","178,411.0","170,523.0","166,624.0","168,959.0","185,854.0","176,965.0","172,217.0","175,006.0","191,666.0","179,289.0","175,129.0","178,267.0","196,437.0","183,913.0","180,060.0","183,381.0","207,931.0","191,950.0","184,851.0","193,081.0","223,274.0","205,931.0","205,697.0","210,804.0","242,082.0","228,053.0","224,828.0","229,634.0","256,708.0","239,636.0","234,498.0","241,884.0","274,492.0","251,603.0","246,970.0","251,883.0","294,525.0","267,172.0","263,291.0","264,211.0","323,407.0","292,267.0","286,762.0","290,712.0","345,239.0","309,546.0","304,005.0","308,676.0","366,250.0","362,194.0","335,170.0","337,548.0","418,824.0","403,032.0","400,930.0","395,111.0","481,813.0","413,339.0","423,872.0","405,848.0"
"34","15","    To persons","B087RU1","11,369.0","11,484.0","11,307.0","11,596.0","12,475.0","14,550.0","13,882.0","14,729.0","15,801.0","17,178.0","16,322.0","16,779.0","18,197.0","17,805.0","16,878.0","19,975.0","21,104.0","21,053.0","20,689.0","21,698.0","24,222.0","25,334.0","26,029.0","27,695.0","31,305.0","33,561.0","33,306.0","34,160.0","36,561.0","34,961.0","35,228.0","36,392.0","38,611.0","37,160.0","37,536.0","38,776.0","40,704.0","39,765.0","40,528.0","41,411.0","44,392.0","44,153.0","46,494.0","47,732.0","52,020.0","52,096.0","57,509.0","58,015.0","61,624.0","60,317.0","63,431.0","64,732.0","67,764.0","68,280.0","70,440.0","74,765.0","77,305.0","77,237.0","73,964.0","74,533.0","77,691.0","77,239.0","76,267.0","78,039.0","81,598.0","81,394.0","80,849.0","81,537.0","85,352.0","84,921.0","86,412.0","86,989.0","88,905.0","89,446.0","89,636.0","88,671.0","94,974.0","95,271.0","93,395.0","93,722.0","103,202.0","103,074.0","101,048.0","102,759.0","111,383.0","111,492.0","110,900.0","111,284.0","122,044.0","122,877.0","121,302.0","125,491.0","138,856.0","136,801.0","136,160.0","137,666.0","147,793.0","145,292.0","143,026.0","145,392.0","157,096.0","149,836.0","149,099.0","150,402.0","163,252.0","163,879.0","157,440.0","158,012.0","176,503.0","168,650.0","164,724.0","167,066.0","183,908.0","174,974.0","170,273.0","173,037.0","189,619.0","177,217.0","173,096.0","176,211.0","194,328.0","181,790.0","177,914.0","181,231.0","205,805.0","189,778.0","182,667.0","190,895.0","220,932.0","203,596.0","203,321.0","208,419.0","239,703.0","225,647.0","222,404.0","227,186.0","254,229.0","237,119.0","231,966.0","239,323.0","271,879.0","248,960.0","244,319.0","249,142.0","291,767.0","264,375.0","260,467.0","261,368.0","320,316.0","289,163.0","283,724.0","287,518.0","341,960.0","306,218.0","300,651.0","305,368.0","362,844.0","357,317.0","331,633.0","333,916.0","415,014.0","398,804.0","396,923.0","391,084.0","477,731.0","409,200.0","419,611.0","401,752.0"
"35","16","    To the rest of the world \3\","W016RU1","139.0","144.0","149.0","153.0","159.0","184.0","189.0","189.0","190.0","208.0","205.0","208.0","229.0","237.0","225.0","274.0","283.0","286.0","292.0","297.0","238.0","330.0","366.0","388.0","452.0","487.0","510.0","538.0","592.0","615.0","640.0","643.0","627.0","627.0","662.0","663.0","664.0","674.0","691.0","713.0","712.0","748.0","785.0","804.0","815.0","853.0","916.0","959.0","1,014.0","1,047.0","1,111.0","1,116.0","1,005.0","1,060.0","1,034.0","1,004.0","927.0","909.0","893.0","896.0","883.0","920.0","914.0","956.0","994.0","993.0","1,016.0","1,025.0","1,081.0","1,073.0","1,037.0","1,207.0","1,058.0","1,054.0","1,081.0","1,087.0","1,119.0","1,137.0","1,152.0","1,172.0","1,214.0","1,221.0","1,327.0","1,370.0","1,488.0","1,555.0","1,578.0","1,543.0","1,528.0","1,496.0","1,483.0","1,765.0","1,422.0","1,739.0","1,579.0","1,485.0","1,413.0","1,584.0","1,596.0","1,606.0","1,660.0","1,681.0","1,703.0","1,782.0","1,529.0","1,745.0","1,750.0","1,769.0","1,908.0","1,873.0","1,900.0","1,893.0","1,946.0","1,991.0","1,944.0","1,969.0","2,047.0","2,072.0","2,033.0","2,056.0","2,109.0","2,123.0","2,146.0","2,150.0","2,126.0","2,172.0","2,184.0","2,186.0","2,342.0","2,335.0","2,376.0","2,385.0","2,379.0","2,406.0","2,424.0","2,448.0","2,479.0","2,517.0","2,532.0","2,561.0","2,613.0","2,643.0","2,651.0","2,741.0","2,758.0","2,797.0","2,824.0","2,843.0","3,091.0","3,104.0","3,038.0","3,194.0","3,279.0","3,328.0","3,354.0","3,308.0","3,406.0","4,877.0","3,537.0","3,632.0","3,810.0","4,228.0","4,007.0","4,027.0","4,082.0","4,139.0","4,261.0","4,096.0"
"36","17","  Other current transfer payments","W010RU1","4,121.0","5,198.0","4,654.0","5,138.0","5,354.0","6,476.0","6,122.0","6,183.0","6,679.0","7,823.0","7,006.0","7,721.0","8,226.0","10,752.0","8,529.0","11,371.0","9,925.0","10,858.0","9,899.0","9,469.0","9,648.0","11,520.0","10,511.0","10,589.0","11,716.0","14,265.0","12,245.0","13,054.0","13,044.0","13,415.0","14,449.0","14,359.0","13,943.0","15,113.0","15,798.0","15,961.0","17,034.0","17,882.0","17,347.0","18,257.0","17,199.0","17,685.0","18,200.0","19,101.0","19,739.0","19,289.0","19,491.0","21,154.0","20,973.0","19,946.0","18,907.0","19,317.0","19,464.0","19,294.0","18,150.0","20,731.0","19,448.0","19,958.0","19,091.0","21,993.0","21,349.0","21,162.0","20,617.0","24,764.0","22,935.0","22,835.0","23,073.0","25,778.0","24,405.0","25,822.0","26,141.0","25,435.0","23,917.0","24,071.0","23,035.0","25,619.0","25,989.0","25,439.0","25,057.0","28,324.0","27,615.0","26,789.0","27,446.0","30,036.0","30,654.0","32,152.0","30,663.0","31,508.0","12,791.0","24,945.0","31,193.0","37,043.0","40,354.0","41,596.0","40,508.0","47,218.0","43,343.0","45,081.0","44,312.0","52,961.0","46,638.0","47,426.0","46,359.0","54,598.0","50,771.0","50,517.0","47,933.0","50,374.0","52,573.0","53,030.0","50,016.0","55,854.0","52,487.0","52,389.0","50,392.0","60,095.0","56,207.0","55,931.0","54,831.0","63,599.0","61,180.0","61,216.0","60,704.0","68,524.0","64,499.0","66,042.0","65,419.0","73,592.0","71,374.0","74,781.0","68,972.0","79,140.0","81,272.0","82,901.0","76,887.0","86,399.0","85,982.0","96,185.0","87,929.0","96,541.0","95,486.0","97,544.0","87,721.0","99,349.0","100,936.0","101,877.0","94,339.0","104,964.0","96,978.0","102,582.0","94,863.0","99,567.0","107,048.0","106,671.0","98,365.0","110,886.0","109,608.0","112,100.0","103,071.0","115,959.0","121,227.0","143,112.0","132,034.0","139,321.0","145,253.0","146,050.0","144,024.0","153,461.0"
"37","18","    Grants-in-aid to state and local governments","B089RU1","3,201.0","3,856.0","3,651.0","3,857.0","4,285.0","5,237.0","4,863.0","4,932.0","5,257.0","6,350.0","5,618.0","5,992.0","6,290.0","9,076.0","6,527.0","9,808.0","8,711.0","9,183.0","8,433.0","8,433.0","8,521.0","9,340.0","9,117.0","9,295.0","9,986.0","11,967.0","11,372.0","11,820.0","12,226.0","12,407.0","12,579.0","13,521.0","12,950.0","13,958.0","14,687.0","14,973.0","15,811.0","16,619.0","16,143.0","16,955.0","15,926.0","16,360.0","16,621.0","17,432.0","17,778.0","17,852.0","17,854.0","18,859.0","19,418.0","18,408.0","17,165.0","17,490.0","17,473.0","17,680.0","16,253.0","18,092.0","17,885.0","18,185.0","16,968.0","18,521.0","19,289.0","19,085.0","17,788.0","20,514.0","20,133.0","19,725.0","19,427.0","21,569.0","21,779.0","21,975.0","22,133.0","21,718.0","21,257.0","21,276.0","20,228.0","21,166.0","23,160.0","22,827.0","22,085.0","23,543.0","24,565.0","24,248.0","24,010.0","25,516.0","27,409.0","27,911.0","26,849.0","29,279.0","31,463.0","32,542.0","32,128.0","35,464.0","36,452.0","37,196.0","36,414.0","39,063.0","39,500.0","40,488.0","39,293.0","44,724.0","43,194.0","43,610.0","41,660.0","46,610.0","46,750.0","47,067.0","44,178.0","46,221.0","46,959.0","49,568.0","45,882.0","48,686.0","49,045.0","49,206.0","46,913.0","53,243.0","52,730.0","52,740.0","50,985.0","56,146.0","57,621.0","57,179.0","56,710.0","61,390.0","60,337.0","61,748.0","60,566.0","64,651.0","67,582.0","71,123.0","64,871.0","72,509.0","73,257.0","78,329.0","72,596.0","79,979.0","78,810.0","88,724.0","80,902.0","89,569.0","86,070.0","91,158.0","80,986.0","90,968.0","90,155.0","94,079.0","84,348.0","92,647.0","89,282.0","93,707.0","85,273.0","90,780.0","94,648.0","98,822.0","89,619.0","97,663.0","97,378.0","102,015.0","92,742.0","103,345.0","110,367.0","129,176.0","115,719.0","127,145.0","129,795.0","133,920.0","129,300.0","138,472.0"
"38","19","    To the rest of the world (net) \3\","W017RU1","920.0","1,342.0","1,003.0","1,281.0","1,069.0","1,239.0","1,259.0","1,251.0","1,422.0","1,473.0","1,388.0","1,729.0","1,936.0","1,676.0","2,002.0","1,563.0","1,214.0","1,675.0","1,466.0","1,036.0","1,127.0","2,180.0","1,394.0","1,294.0","1,730.0","2,298.0","873.0","1,234.0","818.0","1,008.0","1,870.0","838.0","993.0","1,155.0","1,111.0","988.0","1,223.0","1,263.0","1,204.0","1,302.0","1,273.0","1,325.0","1,579.0","1,669.0","1,961.0","1,437.0","1,637.0","2,295.0","1,555.0","1,538.0","1,742.0","1,827.0","1,991.0","1,614.0","1,897.0","2,639.0","1,563.0","1,773.0","2,123.0","3,472.0","2,060.0","2,077.0","2,829.0","4,250.0","2,802.0","3,110.0","3,646.0","4,209.0","2,626.0","3,847.0","4,008.0","3,717.0","2,660.0","2,795.0","2,807.0","4,453.0","2,829.0","2,612.0","2,972.0","4,781.0","3,050.0","2,541.0","3,436.0","4,520.0","3,245.0","4,241.0","3,814.0","2,229.0","-18,672.0","-7,597.0","-935.0","1,579.0","3,902.0","4,400.0","4,094.0","8,155.0","3,843.0","4,593.0","5,019.0","8,237.0","3,444.0","3,816.0","4,699.0","7,988.0","4,021.0","3,450.0","3,755.0","4,153.0","5,614.0","3,462.0","4,134.0","7,168.0","3,442.0","3,183.0","3,479.0","6,852.0","3,477.0","3,191.0","3,846.0","7,453.0","3,559.0","4,037.0","3,994.0","7,134.0","4,162.0","4,294.0","4,853.0","8,941.0","3,792.0","3,658.0","4,101.0","6,631.0","8,015.0","4,572.0","4,291.0","6,420.0","7,172.0","7,461.0","7,027.0","6,972.0","9,416.0","6,386.0","6,735.0","8,381.0","10,781.0","7,798.0","9,991.0","12,317.0","7,696.0","8,875.0","9,590.0","8,787.0","12,400.0","7,849.0","8,746.0","13,223.0","12,230.0","10,085.0","10,329.0","12,614.0","10,860.0","13,936.0","16,315.0","12,176.0","15,458.0","12,130.0","14,724.0","14,989.0"
"39","20","Interest payments \1\","A091RU1","3,640.0","4,012.0","3,769.0","4,402.0","4,136.0","4,714.0","4,268.0","4,629.0","4,224.0","4,525.0","4,249.0","4,929.0","4,272.0","4,876.0","4,392.0","5,232.0","4,910.0","5,822.0","5,534.0","6,552.0","5,815.0","6,681.0","6,206.0","7,285.0","6,365.0","7,407.0","6,765.0","8,382.0","7,555.0","8,773.0","7,853.0","9,595.0","8,311.0","9,705.0","8,547.0","10,569.0","9,870.0","11,576.0","10,797.0","13,097.0","12,203.0","14,610.0","12,904.0","15,975.0","15,186.0","18,630.0","16,092.0","19,806.0","20,410.0","24,015.0","22,332.0","27,136.0","24,536.0","29,424.0","26,687.0","31,138.0","26,981.0","32,593.0","29,377.0","35,630.0","32,095.0","38,740.0","35,648.0","43,810.0","37,529.0","45,644.0","38,550.0","47,673.0","40,289.0","48,440.0","40,374.0","49,059.0","41,173.0","49,198.0","41,297.0","52,912.0","43,700.0","54,366.0","44,040.0","57,205.0","47,415.0","60,887.0","48,582.0","62,462.0","50,743.0","64,189.0","54,162.0","68,361.0","54,446.0","70,226.0","54,724.0","71,549.0","54,802.0","70,872.0","54,808.0","70,784.0","54,454.0","72,277.0","54,561.0","72,085.0","53,519.0","73,151.0","56,613.0","78,058.0","61,554.0","82,240.0","63,365.0","83,234.0","64,411.0","83,379.0","64,784.0","84,678.0","64,527.0","84,535.0","65,695.0","85,223.0","65,222.0","84,404.0","64,861.0","84,355.0","60,683.0","80,831.0","60,017.0","81,130.0","60,762.0","81,989.0","59,331.0","81,173.0","57,493.0","77,067.0","52,159.0","71,864.0","45,868.0","69,496.0","47,222.0","66,490.0","42,692.0","65,257.0","41,251.0","63,671.0","41,394.0","65,876.0","44,908.0","68,784.0","46,104.0","75,600.0","52,303.0","81,389.0","52,324.0","86,092.0","64,635.0","76,147.0","63,592.0","95,371.0","67,797.0","86,400.0","65,721.0","89,237.0","72,876.0","64,298.0","32,442.0","81,148.0","60,663.0","77,657.0","55,630.0","83,252.0","58,167.0","82,828.0"
"40","21","  To persons and business \1\","B092RU1","3,455.0","3,820.0","3,581.0","4,190.0","3,932.0","4,471.0","3,995.0","4,325.0","3,904.0","4,135.0","3,737.0","4,307.0","3,658.0","4,245.0","3,705.0","4,480.0","4,080.0","4,862.0","4,520.0","5,520.0","4,848.0","5,633.0","5,116.0","6,128.0","5,178.0","6,306.0","5,625.0","7,268.0","6,486.0","7,688.0","6,686.0","8,396.0","7,122.0","8,434.0","7,154.0","8,880.0","7,927.0","9,502.0","8,650.0","10,587.0","9,446.0","11,886.0","10,153.0","13,085.0","12,102.0","15,660.0","13,056.0","16,212.0","16,362.0","19,653.0","17,900.0","22,665.0","19,833.0","24,846.0","21,709.0","26,115.0","22,262.0","27,925.0","24,631.0","30,770.0","27,149.0","33,663.0","30,243.0","38,083.0","31,779.0","39,916.0","32,734.0","41,838.0","34,167.0","42,383.0","34,179.0","42,808.0","34,721.0","42,695.0","34,770.0","46,176.0","36,466.0","46,636.0","35,807.0","48,687.0","38,178.0","51,361.0","38,812.0","52,631.0","40,721.0","54,068.0","43,939.0","57,957.0","43,996.0","60,006.0","44,458.0","61,613.0","45,011.0","61,050.0","45,028.0","61,096.0","44,752.0","62,590.0","44,599.0","62,060.0","43,333.0","62,572.0","45,473.0","65,771.0","49,303.0","68,627.0","48,728.0","68,112.0","48,849.0","67,232.0","48,104.0","66,449.0","45,136.0","64,255.0","44,891.0","63,997.0","44,038.0","63,001.0","43,915.0","63,734.0","40,292.0","60,661.0","40,055.0","61,128.0","40,356.0","60,726.0","37,989.0","59,667.0","36,534.0","56,707.0","33,262.0","53,699.0","27,268.0","50,963.0","28,580.0","47,357.0","23,928.0","46,951.0","22,803.0","45,355.0","22,675.0","45,431.0","23,796.0","46,524.0","22,219.0","50,488.0","25,890.0","52,925.0","21,840.0","53,172.0","30,003.0","39,204.0","24,533.0","53,970.0","26,068.0","44,238.0","23,671.0","46,339.0","31,571.0","23,728.0","-6,483.0","44,771.0","25,755.0","43,511.0","21,670.0","49,083.0","24,003.0","48,981.0"
