"","Table 1#12# National Income by Type of Income                   ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174"
"34","15","  Profits after tax with IVA and CCAdj","A551RC1","57,918.0","55,933.0","54,471.0","49,654.0","46,102.0","49,767.0","48,885.0","46,242.0","54,924.0","55,989.0","58,831.0","61,892.0","65,873.0","67,191.0","70,169.0","73,103.0","76,268.0","72,621.0","74,601.0","74,638.0","69,051.0","65,206.0","56,756.0","58,353.0","67,964.0","77,715.0","87,606.0","93,371.0","98,239.0","95,163.0","95,975.0","95,890.0","101,456.0","117,072.0","129,430.0","121,648.0","119,988.0","133,602.0","137,653.0","143,033.0","135,971.0","137,110.0","135,630.0","132,639.0","119,488.0","109,116.0","109,462.0","118,865.0","129,863.0","134,517.0","149,214.0","142,122.0","131,521.0","143,154.0","141,499.0","140,694.0","161,044.0","176,901.0","185,058.0","193,729.0","207,642.0","220,307.0","225,527.0","230,827.0","226,917.0","230,393.0","243,736.0","231,510.0","217,815.0","208,752.0","200,214.0","191,022.0","204,615.0","230,330.0","251,801.0","262,858.0","275,765.0","284,730.0","281,666.0","297,791.0","273,070.0","278,839.0","288,129.0","277,938.0","287,978.0","307,489.0","277,116.0","283,518.0","320,737.0","319,045.0","315,785.0","319,169.0","342,813.0","348,927.0","336,491.0","361,926.0","351,189.0","363,556.0","381,305.0","394,628.0","415,928.0","426,407.0","442,047.0","455,958.0","457,263.0","487,401.0","516,057.0","532,670.0","561,635.0","562,472.0","568,321.0","587,703.0","617,461.0","635,819.0","656,916.0","647,452.0","569,191.0","566,037.0","567,915.0","553,078.0","603,496.0","605,364.0","589,203.0","591,894.0","566,215.0","558,590.0","559,954.0","531,763.0","558,307.0","595,633.0","569,935.0","599,604.0","651,070.0","665,994.0","676,041.0","726,319.0","685,946.0","723,085.0","745,459.0","781,578.0","909,591.0","928,665.0","971,808.0","953,286.0","1,003,070.0","1,033,312.0","1,051,632.0","1,086,790.0","1,130,248.0","1,122,636.0","1,158,464.0","1,128,828.0","1,041,354.0","1,097,405.0","1,069,953.0","1,051,992.0","1,004,805.0","989,689.0","1,016,064.0","746,864.0","966,415.0","1,017,524.0","1,137,251.0","1,237,211.0","1,314,518.0","1,386,254.0","1,402,756.0","1,452,678.0","1,454,114.0","1,517,079.0","1,562,578.0"
"35","16","    Net dividends","B056RC1","23,964.0","24,124.0","24,268.0","24,600.0","24,508.0","24,260.0","24,240.0","24,220.0","25,048.0","24,956.0","25,168.0","24,936.0","26,104.0","26,428.0","27,104.0","27,708.0","28,396.0","29,308.0","30,404.0","31,520.0","32,544.0","33,308.0","33,568.0","33,456.0","32,932.0","32,680.0","32,852.0","33,376.0","36,160.0","38,112.0","39,924.0","41,860.0","42,676.0","43,940.0","45,632.0","46,828.0","48,268.0","49,456.0","51,776.0","53,672.0","55,428.0","56,944.0","58,040.0","59,668.0","61,780.0","64,280.0","64,664.0","65,556.0","68,688.0","72,688.0","75,900.0","77,748.0","77,688.0","76,520.0","77,136.0","79,512.0","81,048.0","82,100.0","84,344.0","86,364.0","88,596.0","90,852.0","91,052.0","92,728.0","95,420.0","97,004.0","98,316.0","99,468.0","103,244.0","106,368.0","107,488.0","107,620.0","108,848.0","109,848.0","113,316.0","117,236.0","121,720.0","126,420.0","132,800.0","138,736.0","148,032.0","155,712.0","161,056.0","167,096.0","170,080.0","169,864.0","170,004.0","166,300.0","175,520.0","180,504.0","183,316.0","183,392.0","184,462.0","186,929.0","189,257.0","191,460.0","193,873.0","198,326.0","205,148.0","214,373.0","225,210.0","234,071.0","240,122.0","243,489.0","244,921.0","248,868.0","256,443.0","267,384.0","280,882.0","293,403.0","304,048.0","312,556.0","319,606.0","326,971.0","334,894.0","343,349.0","351,429.0","355,096.0","353,292.0","345,999.0","335,315.0","331,043.0","335,270.0","347,960.0","366,650.0","379,510.0","384,244.0","381,089.0","371,883.0","366,860.0","368,488.0","376,441.0","389,239.0","399,011.0","404,220.0","404,553.0","402,844.0","409,790.0","428,412.0","458,398.0","496,132.0","524,396.0","539,498.0","641,313.0","534,061.0","538,806.0","559,667.0","596,746.0","646,361.0","691,105.0","727,113.0","754,532.0","756,451.0","804,370.0","809,745.0","807,424.0","835,886.0","803,366.0","780,534.0","727,637.0","671,939.0","600,946.0","584,147.0","623,027.0","684,794.0","729,285.0","760,490.0","774,792.0","793,826.0","807,432.0","820,733.0"
"36","17","    Undistributed profits with IVA and CCAdj","A127RC1","33,954.0","31,809.0","30,203.0","25,054.0","21,594.0","25,507.0","24,645.0","22,022.0","29,876.0","31,033.0","33,663.0","36,956.0","39,769.0","40,763.0","43,065.0","45,395.0","47,872.0","43,313.0","44,197.0","43,118.0","36,507.0","31,898.0","23,188.0","24,897.0","35,032.0","45,035.0","54,754.0","59,995.0","62,079.0","57,051.0","56,051.0","54,030.0","58,780.0","73,132.0","83,798.0","74,820.0","71,720.0","84,146.0","85,877.0","89,361.0","80,543.0","80,166.0","77,590.0","72,971.0","57,708.0","44,836.0","44,798.0","53,309.0","61,175.0","61,829.0","73,314.0","64,374.0","53,833.0","66,634.0","64,363.0","61,182.0","79,996.0","94,801.0","100,714.0","107,365.0","119,046.0","129,455.0","134,475.0","138,099.0","131,497.0","133,389.0","145,420.0","132,042.0","114,571.0","102,384.0","92,726.0","83,402.0","95,767.0","120,482.0","138,485.0","145,622.0","154,045.0","158,310.0","148,866.0","159,055.0","125,038.0","123,127.0","127,073.0","110,842.0","117,898.0","137,625.0","107,112.0","117,218.0","145,217.0","138,541.0","132,469.0","135,777.0","158,351.0","161,998.0","147,234.0","170,466.0","157,316.0","165,230.0","176,157.0","180,255.0","190,718.0","192,336.0","201,925.0","212,469.0","212,342.0","238,533.0","259,614.0","265,286.0","280,753.0","269,069.0","264,273.0","275,147.0","297,855.0","308,848.0","322,022.0","304,103.0","217,762.0","210,941.0","214,623.0","207,079.0","268,181.0","274,321.0","253,933.0","243,934.0","199,565.0","179,080.0","175,710.0","150,674.0","186,424.0","228,773.0","201,447.0","223,163.0","261,831.0","266,983.0","271,821.0","321,766.0","283,102.0","313,295.0","317,047.0","323,180.0","413,459.0","404,269.0","432,310.0","311,973.0","469,009.0","494,506.0","491,965.0","490,044.0","483,887.0","431,531.0","431,351.0","374,296.0","284,903.0","293,035.0","260,208.0","244,568.0","168,919.0","186,323.0","235,530.0","19,227.0","294,476.0","416,578.0","553,104.0","614,184.0","629,724.0","656,969.0","642,266.0","677,886.0","660,288.0","709,647.0","741,845.0"
"37","18","Net interest and miscellaneous payments","W255RC1","30,520.0","32,100.0","33,667.0","34,571.0","35,998.0","38,085.0","40,506.0","41,934.0","43,095.0","43,983.0","44,135.0","44,277.0","45,186.0","46,485.0","48,881.0","51,063.0","51,294.0","52,803.0","56,819.0","60,022.0","64,356.0","69,066.0","72,375.0","77,268.0","80,748.0","80,766.0","82,190.0","82,793.0","82,495.0","85,182.0","86,556.0","87,911.0","90,456.0","98,589.0","105,136.0","110,092.0","111,328.0","113,885.0","115,288.0","119,610.0","126,569.0","132,760.0","140,756.0","155,405.0","171,336.0","176,865.0","180,141.0","198,960.0","201,855.0","221,400.0","250,953.0","255,132.0","266,371.0","278,275.0","271,434.0","268,411.0","274,816.0","275,602.0","290,049.0","300,789.0","303,291.0","321,690.0","340,023.0","343,238.0","343,040.0","341,312.0","334,792.0","346,684.0","364,951.0","368,868.0","370,452.0","364,005.0","362,107.0","361,919.0","368,626.0","373,952.0","379,357.0","373,607.0","385,641.0","402,599.0","426,543.0","434,728.0","439,728.0","435,385.0","438,778.0","443,522.0","442,849.0","451,731.0","428,976.0","421,464.0","418,558.0","403,914.0","396,253.0","389,617.0","382,105.0","382,877.0","380,225.0","370,516.0","357,904.0","349,755.0","351,033.0","354,695.0","366,114.0","377,071.0","371,005.0","358,077.0","351,892.0","352,270.0","354,066.0","366,353.0","375,276.0","388,570.0","397,317.0","401,606.0","408,485.0","422,788.0","458,515.0","480,832.0","491,177.0","486,784.0","469,046.0","476,970.0","483,619.0","495,857.0","532,065.0","543,908.0","543,230.0","537,849.0","541,795.0","547,693.0","544,296.0","543,640.0","529,078.0","505,675.0","494,228.0","496,523.0","511,890.0","511,518.0","501,016.0","492,108.0","467,739.0","460,555.0","454,025.0","464,213.0","509,354.0","527,977.0","558,004.0","576,897.0","608,889.0","654,438.0","661,577.0","684,044.0","703,901.0","693,683.0","743,267.0","785,597.0","843,672.0","875,140.0","878,001.0","883,749.0","782,949.0","656,414.0","596,589.0","591,001.0","589,060.0","569,185.0","550,113.0","548,749.0","556,599.0","525,605.0","531,885.0"
"38","19","Taxes on production and imports","W056RC1","80,589.0","82,901.0","85,217.0","86,717.0","88,466.0","90,535.0","92,512.0","94,139.0","97,652.0","98,947.0","101,674.0","103,699.0","104,560.0","106,786.0","108,862.0","111,504.0","114,600.0","116,185.0","118,397.0","119,698.0","120,806.0","124,068.0","127,054.0","127,680.0","128,821.0","133,011.0","138,199.0","141,137.0","141,674.0","144,856.0","147,693.0","151,329.0","154,836.0","158,028.0","161,532.0","164,260.0","166,912.0","173,059.0","169,711.0","173,910.0","176,441.0","178,493.0","180,902.0","184,568.0","189,513.0","196,896.0","204,294.0","210,617.0","230,842.0","235,496.0","237,466.0","238,772.0","237,401.0","238,262.0","241,777.0","246,292.0","250,664.0","261,239.0","267,494.0","273,727.0","281,644.0","287,748.0","292,172.0","297,528.0","301,047.0","305,701.0","311,851.0","313,933.0","317,495.0","319,475.0","326,155.0","330,367.0","336,035.0","344,369.0","352,378.0","357,398.0","365,088.0","372,587.0","377,635.0","382,546.0","391,097.0","397,372.0","403,844.0","403,155.0","419,362.0","419,501.0","426,879.0","434,218.0","444,271.0","451,603.0","461,167.0","471,323.0","476,247.0","481,066.0","485,909.0","490,282.0","489,804.0","497,944.0","504,986.0","519,766.0","531,900.0","544,174.0","550,169.0","554,749.0","554,882.0","553,675.0","559,166.0","563,889.0","570,757.0","577,713.0","581,629.0","592,917.0","595,645.0","610,260.0","616,560.0","623,995.0","629,124.0","635,523.0","642,991.0","650,252.0","657,491.0","667,058.0","679,019.0","690,772.0","698,563.0","707,303.0","711,308.0","717,050.0","724,087.0","724,087.0","725,412.0","737,178.0","745,207.0","756,914.0","772,076.0","776,967.0","787,865.0","799,467.0","812,962.0","826,914.0","843,531.0","855,700.0","867,853.0","886,524.0","905,607.0","925,128.0","939,629.0","950,340.0","971,544.0","983,327.0","991,622.0","1,000,743.0","1,014,660.0","1,023,938.0","1,030,740.0","1,039,415.0","1,035,027.0","1,047,312.0","1,046,694.0","1,025,479.0","1,008,027.0","1,011,756.0","1,020,415.0","1,031,346.0","1,040,917.0","1,050,587.0","1,059,026.0","1,065,498.0","1,087,372.0","1,101,124.0","1,099,216.0"
"39","20","Less: Subsidies \1\","A107RC1","4,340.0","4,464.0","4,668.0","4,664.0","4,736.0","4,820.0","4,740.0","4,812.0","4,764.0","4,812.0","4,512.0","4,612.0","6,103.0","6,203.0","7,175.0","7,063.0","5,944.0","5,704.0","4,717.0","4,555.0","3,556.0","2,892.0","3,172.0","3,608.0","4,220.0","4,264.0","4,564.0","4,928.0","5,136.0","4,836.0","5,068.0","5,460.0","5,820.0","5,856.0","6,416.0","10,308.0","8,680.0","8,368.0","8,288.0","10,408.0","8,352.0","8,776.0","8,132.0","8,864.0","9,200.0","9,624.0","10,072.0","10,304.0","10,556.0","10,704.0","11,120.0","13,512.0","13,996.0","13,604.0","13,040.0","19,428.0","19,900.0","21,584.0","22,196.0","21,536.0","21,224.0","20,996.0","20,880.0","21,160.0","21,119.0","20,994.0","21,333.0","21,994.0","23,105.0","24,187.0","25,451.0","26,837.0","28,281.0","30,443.0","31,306.0","31,098.0","30,364.0","29,842.0","29,237.0","28,565.0","27,952.0","27,389.0","27,096.0","27,275.0","27,124.0","26,949.0","26,931.0","26,968.0","27,137.0","27,213.0","27,504.0","28,098.0","28,575.0","29,224.0","30,392.0","32,161.0","35,468.0","37,558.0","37,688.0","36,010.0","33,567.0","32,376.0","31,945.0","32,204.0","33,964.0","34,614.0","35,147.0","35,523.0","35,502.0","35,434.0","35,193.0","34,807.0","34,375.0","33,647.0","33,432.0","33,786.0","33,810.0","35,006.0","36,784.0","39,872.0","42,447.0","45,027.0","46,449.0","46,913.0","45,067.0","45,472.0","45,819.0","47,002.0","55,246.0","62,026.0","71,173.0","46,443.0","42,631.0","39,835.0","41,357.0","41,737.0","44,876.0","57,098.0","46,962.0","47,292.0","44,825.0","43,562.0","44,948.0","52,209.0","56,874.0","60,965.0","62,094.0","63,719.0","55,561.0","51,430.0","49,762.0","48,655.0","50,007.0","58,142.0","55,668.0","54,483.0","51,877.0","51,864.0","52,519.0","55,408.0","56,377.0","56,806.0","68,442.0","57,131.0","56,432.0","56,772.0","57,001.0","59,112.0","60,043.0","62,660.0","64,137.0"
"40","21","Business current transfer payments (net)","B029RC1","4,852.0","4,967.0","4,981.0","4,964.0","4,773.0","4,623.0","4,389.0","4,291.0","4,299.0","4,272.0","4,321.0","4,404.0","4,700.0","4,847.0","5,018.0","5,155.0","5,744.0","6,093.0","5,903.0","6,140.0","6,622.0","6,914.0","7,324.0","7,672.0","8,720.0","9,461.0","9,652.0","9,799.0","9,937.0","9,786.0","9,438.0","8,919.0","8,532.0","8,199.0","8,417.0","8,712.0","9,768.0","10,466.0","11,179.0","11,847.0","12,778.0","13,239.0","13,558.0","13,737.0","13,875.0","14,136.0","14,457.0","16,460.0","17,221.0","17,443.0","18,157.0","18,827.0","20,040.0","20,555.0","20,820.0","21,033.0","21,240.0","21,781.0","22,771.0","24,612.0","27,736.0","29,759.0","31,304.0","32,361.0","33,407.0","39,330.0","33,923.0","34,160.0","43,035.0","35,433.0","34,105.0","34,828.0","34,781.0","35,104.0","33,242.0","33,116.0","31,936.0","32,522.0","34,045.0","35,980.0","38,164.0","38,596.0","40,041.0","39,914.0","40,246.0","39,861.0","39,816.0","40,525.0","40,820.0","39,734.0","39,534.0","39,654.0","39,576.0","39,298.0","39,827.0","43,991.0","41,225.0","40,375.0","39,829.0","40,539.0","41,933.0","40,921.0","42,444.0","42,404.0","44,652.0","45,707.0","46,786.0","46,206.0","48,128.0","49,171.0","49,903.0","67,835.0","48,373.0","48,564.0","54,522.0","53,686.0","60,288.0","61,391.0","63,798.0","75,319.0","66,317.0","67,184.0","69,103.0","73,205.0","80,833.0","84,637.0","88,856.0","93,526.0","99,895.0","102,787.0","102,584.0","99,767.0","90,264.0","84,205.0","79,388.0","75,605.0","77,257.0","75,848.0","75,816.0","75,657.0","77,764.0","80,044.0","79,026.0","89,908.0","96,522.0","99,569.0","95,161.0","92,252.0","82,847.0","79,348.0","83,586.0","86,054.0","105,639.0","102,891.0","104,364.0","100,408.0","120,756.0","117,340.0","116,107.0","137,768.0","136,950.0","141,528.0","122,158.0","127,488.0","134,603.0","135,748.0","140,901.0","135,693.0","134,737.0","133,850.0","133,664.0"
"41","22","  To persons (net)","B931RC1","3,260.0","3,356.0","3,368.0","3,340.0","3,124.0","2,968.0","2,848.0","2,764.0","2,676.0","2,656.0","2,696.0","2,756.0","2,916.0","3,036.0","3,188.0","3,308.0","3,628.0","3,864.0","4,064.0","4,204.0","4,332.0","4,512.0","4,880.0","5,228.0","6,148.0","6,900.0","7,096.0","7,232.0","7,048.0","6,980.0","6,656.0","6,092.0","5,468.0","5,004.0","4,860.0","5,028.0","5,644.0","6,176.0","6,748.0","7,284.0","7,852.0","8,192.0","8,396.0","8,460.0","8,176.0","8,328.0","8,712.0","9,304.0","10,356.0","10,972.0","11,484.0","11,888.0","12,032.0","12,296.0","12,480.0","12,736.0","12,780.0","13,172.0","13,980.0","15,252.0","17,608.0","19,248.0","20,568.0","21,484.0","21,948.0","22,148.0","22,332.0","22,612.0","23,340.0","23,457.0","23,008.0","21,988.0","21,274.0","20,560.0","19,729.0","19,348.0","19,600.0","20,110.0","20,762.0","21,911.0","23,271.0","23,131.0","23,193.0","23,088.0","23,280.0","22,943.0","21,872.0","20,677.0","19,154.0","17,932.0","17,026.0","16,430.0","16,501.0","16,460.0","16,271.0","15,916.0","15,120.0","14,361.0","13,671.0","13,064.0","12,808.0","12,788.0","13,249.0","14,173.0","16,013.0","17,841.0","19,644.0","21,413.0","22,798.0","23,526.0","23,242.0","21,947.0","19,720.0","18,727.0","18,953.0","20,385.0","22,844.0","25,087.0","27,114.0","28,935.0","31,182.0","32,830.0","34,807.0","37,071.0","39,821.0","41,462.0","43,301.0","45,150.0","46,692.0","48,008.0","47,437.0","44,935.0","40,785.0","36,063.0","31,776.0","28,152.0","28,808.0","26,846.0","24,729.0","22,421.0","17,589.0","16,215.0","16,092.0","17,872.0","23,775.0","26,451.0","27,331.0","25,789.0","21,674.0","19,847.0","20,644.0","23,326.0","26,709.0","29,556.0","31,958.0","33,926.0","36,816.0","36,603.0","36,694.0","37,090.0","37,791.0","38,232.0","38,415.0","38,339.0","38,003.0","37,969.0","37,925.0","39,258.0","39,455.0","39,393.0","39,422.0"
"42","23","  To government (net)","W061RC1","1,592.0","1,611.0","1,613.0","1,624.0","1,649.0","1,655.0","1,541.0","1,527.0","1,623.0","1,616.0","1,625.0","1,648.0","1,784.0","1,811.0","1,830.0","1,847.0","2,116.0","2,229.0","1,839.0","1,936.0","2,290.0","2,402.0","2,444.0","2,444.0","2,572.0","2,561.0","2,556.0","2,567.0","2,889.0","2,806.0","2,782.0","2,827.0","3,064.0","3,195.0","3,557.0","3,684.0","4,124.0","4,290.0","4,431.0","4,563.0","4,926.0","5,047.0","5,162.0","5,277.0","5,699.0","5,808.0","5,745.0","7,156.0","6,865.0","6,471.0","6,673.0","6,939.0","8,008.0","8,259.0","8,340.0","8,297.0","8,460.0","8,609.0","8,791.0","9,360.0","10,128.0","10,511.0","10,736.0","10,877.0","11,459.0","17,182.0","11,591.0","11,548.0","19,695.0","11,976.0","11,097.0","12,840.0","13,507.0","14,544.0","13,513.0","13,768.0","12,336.0","12,412.0","13,283.0","14,069.0","14,893.0","15,465.0","16,848.0","16,826.0","16,966.0","16,918.0","17,944.0","19,848.0","21,666.0","21,802.0","22,508.0","23,224.0","23,323.0","22,966.0","23,620.0","28,119.0","26,169.0","26,218.0","26,534.0","28,047.0","29,921.0","28,901.0","29,627.0","28,011.0","26,911.0","25,918.0","25,518.0","24,573.0","26,034.0","26,777.0","27,821.0","46,712.0","29,265.0","29,733.0","34,409.0","30,817.0","32,492.0","31,380.0","32,984.0","44,824.0","36,724.0","36,996.0","37,416.0","39,220.0","42,712.0","43,204.0","43,692.0","44,660.0","45,420.0","45,840.0","46,236.0","46,484.0","47,404.0","47,784.0","48,232.0","48,308.0","47,540.0","48,288.0","49,248.0","49,928.0","51,317.0","52,251.0","53,156.0","53,412.0","53,884.0","55,197.0","55,437.0","56,446.0","57,833.0","58,864.0","60,120.0","61,551.0","64,786.0","65,127.0","66,614.0","70,737.0","74,048.0","74,392.0","74,443.0","93,173.0","96,683.0","106,102.0","88,102.0","93,505.0","96,239.0","97,878.0","101,753.0","100,146.0","99,061.0","99,006.0","99,339.0"
"43","24","  To the rest of the world (net)","W237RC1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-248.0","-128.0","-64.0","-44.0","-64.0","-204.0","-376.0","-572.0","-796.0","-768.0","-432.0","220.0","1,728.0","1,948.0","1,624.0","220.0","-704.0","-1,132.0","-1,160.0","-824.0","-612.0","104.0","1,160.0","2,484.0","4,952.0","4,924.0","3,700.0","1,560.0","-1,589.0","-2,642.0","-3,120.0","-3,086.0","-1,700.0","-29.0","1,863.0","3,716.0","7,783.0","8,939.0","8,911.0","8,348.0","2,075.0","358.0","-620.0","-855.0","909.0","714.0","1,839.0","3,308.0","8,858.0","11,578.0","9,778.0","18,624.0","18,863.0","17,921.0","12,393.0","10,017.0","3,340.0","637.0","2,822.0","1,177.0","14,144.0","8,208.0","5,792.0","-4,255.0","9,892.0","6,345.0","4,970.0","7,505.0","2,476.0","-2,806.0","-4,359.0","-4,356.0","361.0","-99.0","1,223.0","-3,711.0","-3,779.0","-4,549.0","-5,097.0"
"44","25","Current surplus of government enterprises \1\","A108RC1","938.0","951.0","1,038.0","1,153.0","498.0","-309.0","-72.0","-247.0","-560.0","16.0","-255.0","-161.0","-36.0","361.0","539.0","1,043.0","133.0","-271.0","-488.0","-843.0","-708.0","-190.0","-1,066.0","-1,752.0","-2,797.0","-3,036.0","-3,558.0","-3,575.0","-1,650.0","-1,802.0","-1,802.0","-1,955.0","-2,258.0","-2,462.0","-2,996.0","-3,032.0","-2,951.0","-2,478.0","-1,613.0","-1,763.0","-2,108.0","-2,557.0","-3,194.0","-3,669.0","-4,075.0","-4,607.0","-5,488.0","-6,203.0","-6,527.0","-4,926.0","-6,552.0","-4,299.0","-4,176.0","-4,220.0","-5,224.0","-4,301.0","-3,723.0","-3,208.0","-3,498.0","-2,292.0","-2,118.0","-1,906.0","-2,062.0","-1,558.0","-652.0","876.0","1,022.0","1,006.0","1,024.0","1,019.0","762.0","711.0","485.0","206.0","-85.0","21.0","-654.0","3,327.0","3,551.0","4,066.0","4,516.0","5,012.0","5,127.0","5,065.0","2,951.0","1,510.0","1,111.0","693.0","3,316.0","5,946.0","6,177.0","7,251.0","7,649.0","8,228.0","8,907.0","8,143.0","7,572.0","9,350.0","8,831.0","8,972.0","9,657.0","9,789.0","9,550.0","9,404.0","13,191.0","12,995.0","13,089.0","13,244.0","13,901.0","14,041.0","14,600.0","14,875.0","13,932.0","14,693.0","13,985.0","13,805.0","12,933.0","13,504.0","13,747.0","12,993.0","15,050.0","14,711.0","14,242.0","12,383.0","12,504.0","11,034.0","7,706.0","5,332.0","4,364.0","3,011.0","7,886.0","928.0","4,270.0","4,374.0","9,097.0","7,639.0","9,383.0","7,885.0","6,336.0","4,276.0","3,654.0","1,851.0","318.0","-855.0","-1,785.0","-3,144.0","-4,501.0","-4,535.0","-2,412.0","-3,827.0","-4,665.0","-5,956.0","-10,090.0","-11,034.0","-11,216.0","-14,768.0","-15,211.0","-15,873.0","-16,082.0","-16,754.0","-16,752.0","-15,297.0","-13,953.0","-13,567.0","-14,692.0","-15,485.0","-15,957.0","-16,524.0","-15,596.0","-14,574.0","-14,472.0"
"45",NA,"Addenda for corporate cash flow:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","26","  Net cash flow with IVA","A904RC1","77,260.0","76,296.0","75,988.0","72,264.0","70,360.0","75,448.0","75,332.0","73,144.0","82,740.0","85,402.0","89,393.0","93,877.0","97,692.0","99,897.0","103,618.0","107,361.0","111,620.0","109,085.0","112,286.0","113,833.0","110,124.0","108,863.0","103,876.0","109,799.0","124,542.0","138,431.0","151,360.0","159,111.0","163,010.0","160,210.0","161,893.0","163,018.0","171,308.0","189,441.0","203,800.0","198,577.0","199,368.0","216,058.0","222,405.0","230,841.0","227,392.0","232,565.0","235,739.0","237,026.0","227,867.0","221,410.0","228,050.0","243,772.0","258,931.0","266,753.0","285,238.0","283,138.0","279,097.0","297,035.0","298,496.0","297,732.0","317,580.0","333,967.0","341,989.0","351,236.0","366,053.0","380,064.0","389,192.0","397,414.0","395,900.0","402,774.0","419,631.0","410,971.0","398,094.0","390,261.0","384,715.0","379,261.0","395,256.0","424,217.0","447,080.0","459,691.0","474,204.0","484,367.0","480,631.0","496,338.0","467,647.0","471,159.0","474,384.0","468,209.0","482,778.0","508,054.0","482,926.0","498,255.0","531,313.0","529,048.0","526,738.0","528,025.0","558,201.0","563,697.0","508,547.0","574,016.0","562,808.0","582,381.0","598,786.0","609,408.0","589,633.0","633,170.0","649,917.0","668,496.0","677,284.0","711,785.0","740,574.0","747,404.0","775,314.0","770,799.0","773,842.0","793,223.0","825,110.0","845,215.0","867,434.0","858,493.0","781,066.0","783,813.0","797,720.0","801,054.0","873,690.0","892,565.0","882,712.0","891,250.0","863,216.0","857,831.0","868,324.0","855,914.0","903,055.0","943,109.0","968,181.0","965,650.0","1,010,157.0","1,020,680.0","1,030,406.0","1,084,762.0","1,050,033.0","1,085,271.0","1,095,192.0","1,108,596.0","1,207,271.0","1,207,623.0","1,207,788.0","1,137,868.0","1,307,906.0","1,348,210.0","1,308,831.0","1,383,222.0","1,387,992.0","1,350,480.0","1,364,646.0","1,321,455.0","1,244,098.0","1,261,975.0","1,237,601.0","1,232,634.0","1,172,046.0","1,207,607.0","1,261,110.0","1,339,869.0","1,562,848.0","1,587,064.0","1,526,149.0","1,658,228.0","1,651,812.0","1,750,512.0","1,688,850.0","1,704,899.0","1,725,954.0","1,812,183.0","1,851,760.0"
