"","Table 7#13# Relation of Consumption of Fixed Capital in the Nati","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"22","3","      Depreciation or amortization of intangible assets \1\","B1210C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","63.0","102.0","141.0","149.0","147.0","190.0","197.0","196.0","227.0","283.0","367.0"
"23","4","      Other \2\","B1211C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","205.0","233.0","194.0","434.0","367.0","113.0","119.0"
"24","5","Plus: Normal accidental damage to fixed capital other than repairable damage","B1212C1","196.0","187.0","174.0","160.0","136.0","115.0","113.0","167.0","134.0","168.0","103.0","114.0","139.0","337.0","226.0","184.0","198.0","148.0","216.0","218.0","188.0","232.0","368.0","263.0","309.0","376.0","434.0","306.0","339.0","317.0","349.0","357.0","389.0","430.0","518.0","572.0","685.0","561.0","655.0","725.0","845.0"
"25","6","      Depreciation of computer software not in IRS depreciation","B1215C1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3.0","24.0","54.0","95.0","156.0","227.0","316.0","431.0","554.0","702.0"
"26","7","      Depreciation of mining exploration, shafts, and wells charged to current expense","B1213C1","135.0","144.0","150.0","153.0","155.0","155.0","158.0","162.0","169.0","179.0","188.0","195.0","204.0","211.0","217.0","227.0","242.0","285.0","306.0","338.0","377.0","419.0","471.0","533.0","604.0","684.0","770.0","863.0","958.0","1,044.0","1,124.0","1,190.0","1,257.0","1,331.0","1,397.0","1,453.0","1,516.0","1,558.0","1,596.0","1,677.0","1,773.0"
"27","8","      Depreciation of motor vehicles not in IRS depreciation \3\","B1315C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","64.0","127.0","209.0","288.0","380.0","435.0","423.0","413.0","418.0","433.0","440.0","427.0","381.0","473.0","528.0","569.0","617.0","666.0","657.0","684.0","724.0","718.0","737.0","798.0"
"28","9","      Depreciation of railroad track charged to current expense \4\","B1628C1","373.0","303.0","231.0","147.0","137.0","155.0","167.0","194.0","212.0","178.0","206.0","212.0","260.0","323.0","418.0","512.0","507.0","460.0","480.0","523.0","503.0","500.0","560.0","580.0","622.0","501.0","501.0","498.0","505.0","389.0","396.0","364.0","323.0","336.0","349.0","377.0","380.0","415.0","406.0","481.0","507.0"
"29","10","      Other \5\","B1214C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","175.0","312.0","717.0","0.0","23.0","25.0","28.0","32.0","38.0","51.0","157.0","187.0","265.0","74.0","76.0","64.0","35.0","59.0","270.0","241.0","325.0","494.0","646.0","912.0","1,140.0","1,165.0","1,266.0","1,261.0"
"30","11","Equals: Capital consumption allowances, NIPAs","A677RC1","4,577.0","4,623.0","4,559.0","4,155.0","3,927.0","3,792.0","3,793.0","3,811.0","3,859.0","3,879.0","3,942.0","4,043.0","4,510.0","5,371.0","5,781.0","6,571.0","6,875.0","5,151.0","6,325.0","7,535.0","8,475.0","9,327.0","10,840.0","12,088.0","13,819.0","15,485.0","17,939.0","19,435.0","21,358.0","22,442.0","24,015.0","25,618.0","26,963.0","30,833.0","32,886.0","35,102.0","38,020.0","41,341.0","44,962.0","49,083.0","54,090.0"
"31","12","Less: Capital consumption adjustment","A059RC1","-411.0","-193.0","63.0","163.0","143.0","-72.0","-131.0","-149.0","-565.0","-605.0","-514.0","-589.0","-594.0","-409.0","-35.0","615.0","735.0","-1,733.0","-2,559.0","-2,849.0","-2,753.0","-2,633.0","-2,788.0","-2,372.0","-1,569.0","-691.0","851.0","215.0","98.0","-250.0","347.0","1,638.0","2,347.0","5,313.0","6,202.0","6,922.0","7,624.0","7,953.0","8,182.0","8,463.0","8,970.0"
"32","13","Equals: Consumption of fixed capital, NIPAs","B128RC1","4,988.0","4,816.0","4,496.0","3,992.0","3,784.0","3,864.0","3,924.0","3,960.0","4,424.0","4,484.0","4,456.0","4,632.0","5,104.0","5,780.0","5,816.0","5,956.0","6,140.0","6,884.0","8,884.0","10,384.0","11,228.0","11,960.0","13,628.0","14,460.0","15,388.0","16,176.0","17,088.0","19,220.0","21,260.0","22,692.0","23,668.0","23,980.0","24,616.0","25,520.0","26,684.0","28,180.0","30,396.0","33,388.0","36,780.0","40,620.0","45,120.0"
"33",NA,"       Nonfarm sole proprietorships and partnerships"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","14","Depreciation and amortization, IRS","B1218C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","5,880.0","5,890.0","5,783.0","6,025.0","6,183.0","6,534.0","6,774.0","7,080.0","7,530.0","7,904.0","8,833.0"
"35","15","Less: Depreciation or amortization of intangible assets \1\","B1219C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","84.0","47.0","88.0","90.0","64.0","53.0","42.0","77.0"
"36","16","      Adjustment for misreporting on income tax returns","B1220C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","121.0","148.0","164.0","339.0","362.0","375.0","407.0","464.0"
"37","17","      Other \6\","B2626C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"38","18","Plus: Normal accidental damage to fixed capital other than repairable damage","B1221C1",".....",".....",".....","20.0","16.0","15.0","15.0","26.0","22.0","27.0","15.0","18.0","19.0","20.0","24.0","21.0","22.0","36.0","54.0","54.0","45.0","57.0","89.0","63.0","74.0","92.0","106.0","72.0","85.0","46.0","66.0","34.0","46.0","51.0","85.0","82.0","107.0","86.0","107.0","113.0","145.0"
"39","19","      Depreciation of computer software not in IRS depreciation","B1226C1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","6.0","11.0","20.0","31.0","44.0","62.0","83.0","105.0","133.0"
"40","20","      Depreciation of mining exploration, shafts, and wells charged to current expense","B1222C1","12.0","13.0","13.0","13.0","13.0","14.0","14.0","14.0","15.0","16.0","16.0","17.0","18.0","18.0","19.0","20.0","21.0","25.0","27.0","29.0","32.0","36.0","40.0","46.0","52.0","59.0","67.0","75.0","83.0","90.0","98.0","114.0","124.0","128.0","130.0","136.0","135.0","148.0","157.0","187.0","202.0"
"41","21","      Depreciation of motor vehicles not in IRS depreciation \3\","B1313C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","121.0","131.0","130.0","138.0","159.0","140.0","143.0","154.0"
"42","22","Equals: Capital consumption allowances, NIPAs","B1314C1","833.0","826.0","824.0","787.0","695.0","698.0","716.0","760.0","792.0","820.0","811.0","872.0","1,002.0","1,166.0","1,251.0","1,309.0","1,381.0","1,619.0","2,260.0","2,702.0","3,216.0","3,505.0","3,925.0","4,216.0","4,458.0","4,645.0","4,798.0","5,432.0","5,767.0","5,858.0","6,044.0","6,040.0","5,959.0","6,131.0","6,354.0","6,661.0","6,769.0","7,109.0","7,589.0","8,003.0","8,926.0"
"43","23","Less: Capital consumption adjustment","A2205C1","-695.0","-679.0","-561.0","-406.0","-391.0","-403.0","-361.0","-330.0","-419.0","-427.0","-419.0","-412.0","-431.0","-436.0","-298.0","-284.0","-243.0","-182.0","-231.0","-268.0","-40.0","2.0","-115.0","-14.0","79.0","125.0","67.0","240.0","193.0","-1.0","30.0","70.0","-44.0","41.0","117.0","181.0","-85.0","-227.0","-248.0","-433.0","-331.0"
"44","24","Equals: Consumption of fixed capital, NIPAs","B1617C1","1,528.0","1,505.0","1,385.0","1,193.0","1,086.0","1,101.0","1,077.0","1,090.0","1,211.0","1,247.0","1,230.0","1,284.0","1,433.0","1,602.0","1,549.0","1,593.0","1,624.0","1,801.0","2,491.0","2,970.0","3,256.0","3,503.0","4,040.0","4,230.0","4,379.0","4,520.0","4,731.0","5,192.0","5,574.0","5,859.0","6,014.0","5,970.0","6,003.0","6,090.0","6,237.0","6,480.0","6,854.0","7,336.0","7,837.0","8,436.0","9,257.0"
"45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","1. Consists of intangible assets that the IRS allows to be amortized.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","2. Consists of depreciation or amortization of the following items: Breeding, dairy, and work",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","animals; motion picture films; rental videocassettes; and rental clothing.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","3. Consists of depreciation of employees' motor vehicles reimbursed by business and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","depreciation of business motor vehicles charged to current expense.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","4. Beginning with 1981, included in IRS depreciation (line 1).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","5. Consists of depreciation of assets owned by Federal Reserve banks, federally sponsored",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","credit agencies, credit unions, and nonprofit institutions serving business; depreciation of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","interest paid by public utilities for own-account investment prior to 1987 (beginning with",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","1987, included in line 1).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","6. Consists of depreciation or amortization of rental videocassettes and rental clothing.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","IRS Internal Revenue Service",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","NIPAs National income and product accounts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
