"","Table 3#2# Federal Government Current Receipts and Expenditures ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174"
"35","16","Current transfer receipts","W011RC1","1,100.0","1,132.0","1,152.0","1,180.0","1,172.0","1,180.0","1,068.0","1,064.0","1,084.0","1,084.0","1,092.0","1,120.0","1,192.0","1,256.0","1,300.0","1,336.0","1,416.0","1,492.0","1,068.0","1,136.0","1,328.0","1,428.0","1,472.0","1,476.0","1,460.0","1,464.0","1,480.0","1,508.0","1,648.0","1,580.0","1,572.0","1,628.0","1,636.0","1,780.0","2,144.0","2,284.0","2,444.0","2,612.0","2,752.0","2,868.0","2,948.0","3,060.0","3,172.0","3,296.0","3,452.0","3,576.0","3,528.0","4,952.0","4,252.0","3,864.0","4,068.0","4,324.0","5,352.0","5,660.0","5,824.0","5,872.0","5,728.0","5,984.0","6,192.0","6,656.0","7,148.0","7,400.0","7,508.0","7,568.0","8,252.0","13,988.0","8,388.0","8,336.0","8,292.0","8,452.0","7,564.0","9,692.0","10,388.0","11,524.0","10,896.0","11,084.0","9,804.0","10,076.0","10,744.0","11,268.0","11,792.0","12,184.0","13,456.0","13,368.0","12,992.0","13,396.0","14,380.0","16,200.0","17,616.0","18,016.0","18,528.0","18,776.0","18,432.0","18,200.0","18,592.0","22,268.0","21,084.0","20,868.0","20,888.0","22,188.0","23,944.0","22,744.0","23,224.0","21,300.0","19,904.0","18,668.0","18,080.0","16,984.0","18,296.0","18,880.0","19,744.0","38,428.0","20,704.0","20,976.0","21,780.0","21,696.0","22,252.0","22,432.0","22,796.0","22,864.0","22,960.0","23,000.0","23,124.0","24,548.0","24,988.0","25,308.0","25,764.0","26,864.0","27,000.0","27,168.0","27,156.0","26,816.0","26,692.0","26,292.0","26,044.0","25,500.0","24,988.0","25,332.0","25,888.0","26,168.0","27,688.0","28,500.0","29,576.0","30,276.0","32,072.0","33,760.0","33,980.0","34,576.0","37,104.0","37,688.0","38,588.0","39,904.0","43,540.0","43,580.0","44,452.0","47,636.0","49,564.0","49,780.0","49,744.0","68,440.0","71,096.0","80,224.0","61,620.0","66,112.0","69,052.0","68,596.0","71,576.0","69,672.0","68,068.0","67,380.0","66,916.0"
"36","17","  From business","W012RC1","1,060.0","1,080.0","1,084.0","1,096.0","1,084.0","1,092.0","980.0","976.0","1,012.0","1,016.0","1,032.0","1,060.0","1,104.0","1,132.0","1,148.0","1,160.0","1,260.0","1,360.0","952.0","1,028.0","1,220.0","1,316.0","1,352.0","1,356.0","1,340.0","1,344.0","1,352.0","1,376.0","1,512.0","1,436.0","1,424.0","1,472.0","1,480.0","1,612.0","1,976.0","2,104.0","2,264.0","2,428.0","2,564.0","2,688.0","2,768.0","2,880.0","2,988.0","3,100.0","3,240.0","3,348.0","3,288.0","4,704.0","4,000.0","3,608.0","3,804.0","4,060.0","4,776.0","5,012.0","5,084.0","5,036.0","4,832.0","5,028.0","5,168.0","5,612.0","6,124.0","6,356.0","6,468.0","6,564.0","7,136.0","12,820.0","7,164.0","7,064.0","7,136.0","7,252.0","6,316.0","8,024.0","8,696.0","9,696.0","8,608.0","8,776.0","7,264.0","7,172.0","7,812.0","8,328.0","8,836.0","9,152.0","10,328.0","10,140.0","9,728.0","10,036.0","10,912.0","12,640.0","13,904.0","14,168.0","14,612.0","14,720.0","14,440.0","14,104.0","14,448.0","18,088.0","16,052.0","15,860.0","15,888.0","17,060.0","18,540.0","17,136.0","17,480.0","15,484.0","14,016.0","12,632.0","11,828.0","10,464.0","11,500.0","11,820.0","12,440.0","30,912.0","13,004.0","13,112.0","13,784.0","13,576.0","13,920.0","13,844.0","13,900.0","13,588.0","13,444.0","13,256.0","13,176.0","14,440.0","14,624.0","14,692.0","14,916.0","15,788.0","16,036.0","16,300.0","16,316.0","15,964.0","15,816.0","15,484.0","15,320.0","14,892.0","14,752.0","14,924.0","15,120.0","14,852.0","15,444.0","15,708.0","16,324.0","16,672.0","17,496.0","18,932.0","18,952.0","19,396.0","20,520.0","20,744.0","21,300.0","22,136.0","24,752.0","24,472.0","25,044.0","27,956.0","29,980.0","30,076.0","30,012.0","48,752.0","51,648.0","60,712.0","41,864.0","45,924.0","48,264.0","47,480.0","50,432.0","48,788.0","47,756.0","47,476.0","47,292.0"
"37","18","  From persons","B233RC1","40.0","52.0","68.0","84.0","88.0","88.0","88.0","88.0","72.0","68.0","60.0","60.0","88.0","124.0","152.0","176.0","156.0","132.0","116.0","108.0","108.0","112.0","120.0","120.0","120.0","120.0","128.0","132.0","136.0","144.0","148.0","156.0","156.0","168.0","168.0","180.0","180.0","184.0","188.0","180.0","180.0","180.0","184.0","196.0","212.0","228.0","240.0","248.0","252.0","256.0","264.0","264.0","576.0","648.0","740.0","836.0","896.0","956.0","1,024.0","1,044.0","1,024.0","1,044.0","1,040.0","1,004.0","1,116.0","1,168.0","1,224.0","1,272.0","1,156.0","1,200.0","1,248.0","1,668.0","1,692.0","1,828.0","2,288.0","2,308.0","2,540.0","2,904.0","2,932.0","2,940.0","2,956.0","3,032.0","3,128.0","3,228.0","3,264.0","3,360.0","3,468.0","3,560.0","3,712.0","3,848.0","3,916.0","4,056.0","3,992.0","4,096.0","4,144.0","4,180.0","5,032.0","5,008.0","5,000.0","5,128.0","5,404.0","5,608.0","5,744.0","5,816.0","5,888.0","6,036.0","6,252.0","6,520.0","6,796.0","7,060.0","7,304.0","7,516.0","7,700.0","7,864.0","7,996.0","8,120.0","8,332.0","8,588.0","8,896.0","9,276.0","9,516.0","9,744.0","9,948.0","10,108.0","10,364.0","10,616.0","10,848.0","11,076.0","10,964.0","10,868.0","10,840.0","10,852.0","10,876.0","10,808.0","10,724.0","10,608.0","10,236.0","10,408.0","10,768.0","11,316.0","12,244.0","12,792.0","13,252.0","13,604.0","14,576.0","14,828.0","15,028.0","15,180.0","16,584.0","16,944.0","17,288.0","17,768.0","18,788.0","19,108.0","19,408.0","19,680.0","19,584.0","19,704.0","19,732.0","19,688.0","19,448.0","19,512.0","19,756.0","20,188.0","20,788.0","21,116.0","21,144.0","20,884.0","20,312.0","19,904.0","19,624.0"
"38","19","Current surplus of government enterprises \5\","B097RC1","-520.0","-508.0","-428.0","-340.0","-1,004.0","-1,788.0","-1,556.0","-1,700.0","-1,960.0","-1,332.0","-1,608.0","-1,524.0","-1,488.0","-1,200.0","-1,096.0","-588.0","-1,444.0","-1,772.0","-1,932.0","-2,192.0","-1,956.0","-1,220.0","-1,772.0","-2,268.0","-3,108.0","-3,424.0","-3,904.0","-4,116.0","-2,124.0","-2,160.0","-2,124.0","-2,236.0","-2,588.0","-2,760.0","-3,264.0","-3,392.0","-3,336.0","-2,808.0","-1,820.0","-1,896.0","-2,076.0","-2,316.0","-2,768.0","-3,088.0","-3,380.0","-3,668.0","-4,128.0","-4,328.0","-4,252.0","-2,340.0","-4,008.0","-2,092.0","-2,176.0","-2,520.0","-3,744.0","-3,076.0","-2,936.0","-2,840.0","-3,524.0","-2,512.0","-2,856.0","-3,052.0","-3,700.0","-4,060.0","-3,504.0","-2,296.0","-2,368.0","-2,264.0","-2,036.0","-1,844.0","-1,940.0","-1,772.0","-2,152.0","-2,600.0","-3,196.0","-3,880.0","-4,812.0","-1,248.0","-1,492.0","-1,524.0","-1,712.0","-1,604.0","-1,712.0","-1,968.0","-3,980.0","-5,324.0","-5,656.0","-6,220.0","-3,772.0","-1,240.0","-1,116.0","-320.0","-36.0","204.0","440.0","-780.0","-1,920.0","-444.0","-1,364.0","-1,328.0","-284.0","-420.0","-1,124.0","-1,936.0","848.0","-144.0","-796.0","-1,272.0","-1,376.0","-1,612.0","-1,140.0","-708.0","-1,120.0","224.0","52.0","476.0","1,172.0","1,216.0","1,020.0","-68.0","1,520.0","1,144.0","872.0","-372.0","680.0","196.0","-2,184.0","-3,576.0","-3,304.0","-3,972.0","-4,020.0","-4,652.0","-1,876.0","-1,980.0","2,756.0","1,920.0","5,092.0","4,268.0","3,416.0","1,924.0","1,740.0","640.0","-276.0","-948.0","-2,684.0","-3,116.0","-4,264.0","-4,124.0","-2,132.0","-2,728.0","-3,032.0","-3,632.0","-4,520.0","-2,760.0","-776.0","-2,840.0","-3,000.0","-3,560.0","-3,668.0","-4,376.0","-5,076.0","-4,656.0","-4,044.0","-3,912.0","-4,652.0","-4,932.0","-4,816.0","-4,892.0","-2,660.0","-1,236.0","-1,056.0"
"39","20","    Current expenditures","W013RC1","176,652.0","182,804.0","186,512.0","190,428.0","189,904.0","204,432.0","204,552.0","207,420.0","212,544.0","221,996.0","221,520.0","226,284.0","237,244.0","245,936.0","237,816.0","259,796.0","259,160.0","263,224.0","261,868.0","266,284.0","276,528.0","289,444.0","300,096.0","311,736.0","327,236.0","351,328.0","352,672.0","361,860.0","366,824.0","369,416.0","380,696.0","389,696.0","394,680.0","402,660.0","415,244.0","427,756.0","437,844.0","445,504.0","457,156.0","471,204.0","478,496.0","489,800.0","507,676.0","527,492.0","551,704.0","572,644.0","606,112.0","627,344.0","649,696.0","663,424.0","687,008.0","706,632.0","720,972.0","732,848.0","759,912.0","796,752.0","799,400.0","821,268.0","830,948.0","826,348.0","850,496.0","873,484.0","887,900.0","913,928.0","931,468.0","945,624.0","960,272.0","974,708.0","984,672.0","1,009,384.0","1,028,528.0","1,020,036.0","1,027,192.0","1,042,096.0","1,044,812.0","1,069,392.0","1,086,628.0","1,085,148.0","1,093,568.0","1,122,432.0","1,143,764.0","1,163,700.0","1,182,588.0","1,197,844.0","1,231,540.0","1,253,004.0","1,263,964.0","1,288,296.0","1,250,820.0","1,312,688.0","1,345,056.0","1,372,808.0","1,420,976.0","1,441,280.0","1,459,712.0","1,480,012.0","1,484,336.0","1,493,952.0","1,508,316.0","1,530,644.0","1,513,008.0","1,526,136.0","1,552,676.0","1,578,228.0","1,600,428.0","1,613,424.0","1,624,296.0","1,617,868.0","1,661,968.0","1,671,420.0","1,672,104.0","1,693,248.0","1,697,988.0","1,712,204.0","1,713,024.0","1,741,944.0","1,726,092.0","1,739,524.0","1,743,380.0","1,768,132.0","1,773,216.0","1,776,292.0","1,799,912.0","1,835,212.0","1,827,664.0","1,872,216.0","1,882,876.0","1,904,984.0","1,942,528.0","1,967,964.0","1,999,256.0","2,009,328.0","2,065,388.0","2,108,056.0","2,118,808.0","2,156,160.0","2,186,856.0","2,277,760.0","2,278,804.0","2,302,436.0","2,353,648.0","2,373,416.0","2,405,792.0","2,440,768.0","2,519,584.0","2,545,380.0","2,592,796.0","2,634,596.0","2,681,140.0","2,731,220.0","2,762,852.0","2,738,056.0","2,844,420.0","2,895,980.0","2,916,624.0","2,942,780.0","3,028,924.0","3,174,160.0","3,140,412.0","3,119,396.0","3,219,848.0","3,516,932.0","3,526,976.0","3,537,928.0","3,636,584.0","3,685,804.0","3,733,064.0","3,757,784.0","3,729,008.0","3,829,456.0","3,745,248.0"
"40","21","Consumption expenditures","A957RC1","95,332.0","97,552.0","100,104.0","100,272.0","99,780.0","97,972.0","98,368.0","98,220.0","100,900.0","101,876.0","102,012.0","102,960.0","108,192.0","109,364.0","105,920.0","107,036.0","108,504.0","109,140.0","107,800.0","109,844.0","113,928.0","114,592.0","118,936.0","124,236.0","125,780.0","128,188.0","130,180.0","133,932.0","134,144.0","136,516.0","136,552.0","141,376.0","145,300.0","149,420.0","151,528.0","156,496.0","158,272.0","162,048.0","164,020.0","168,924.0","173,156.0","177,888.0","177,204.0","187,428.0","195,696.0","207,080.0","208,020.0","218,944.0","228,056.0","237,048.0","238,260.0","249,636.0","255,148.0","256,412.0","265,004.0","276,548.0","280,440.0","287,228.0","296,240.0","281,888.0","297,028.0","310,368.0","313,176.0","319,020.0","329,212.0","334,416.0","342,036.0","347,664.0","347,044.0","356,932.0","365,576.0","362,564.0","369,176.0","371,808.0","371,796.0","382,044.0","380,760.0","379,196.0","376,292.0","390,680.0","388,244.0","399,708.0","402,244.0","403,704.0","414,248.0","417,316.0","415,580.0","428,764.0","442,680.0","441,048.0","436,896.0","432,632.0","438,088.0","440,052.0","449,116.0","449,324.0","441,392.0","438,348.0","440,408.0","444,724.0","437,820.0","438,128.0","446,940.0","439,944.0","443,064.0","441,988.0","442,664.0","432,836.0","443,476.0","448,088.0","443,312.0","451,284.0","452,044.0","461,284.0","456,192.0","460,604.0","446,396.0","458,560.0","452,312.0","461,128.0","465,264.0","462,768.0","475,324.0","489,852.0","482,020.0","503,428.0","498,500.0","500,088.0","515,784.0","526,880.0","533,696.0","544,264.0","572,708.0","584,724.0","591,920.0","612,608.0","633,064.0","665,836.0","667,344.0","674,784.0","706,392.0","717,708.0","732,468.0","728,952.0","756,916.0","758,776.0","780,564.0","767,096.0","810,380.0","808,456.0","813,096.0","812,080.0","822,768.0","840,396.0","862,044.0","870,448.0","908,628.0","918,684.0","946,192.0","953,472.0","955,224.0","981,156.0","997,816.0","1,012,360.0","1,033,876.0","1,055,952.0","1,066,640.0","1,059,572.0","1,059,080.0","1,077,508.0","1,084,824.0"
"41","22","Current transfer payments","W014RC1","61,916.0","65,248.0","65,844.0","68,800.0","70,652.0","81,984.0","82,940.0","86,392.0","89,036.0","97,720.0","97,072.0","100,652.0","104,632.0","111,748.0","105,976.0","128,436.0","123,836.0","126,044.0","125,900.0","127,632.0","134,368.0","145,944.0","150,004.0","157,164.0","170,164.0","191,020.0","188,896.0","192,316.0","195,432.0","195,136.0","205,236.0","207,792.0","208,236.0","211,240.0","220,400.0","222,032.0","229,268.0","231,580.0","238,848.0","242,984.0","244,808.0","249,060.0","266,292.0","271,860.0","281,888.0","286,580.0","318,396.0","324,560.0","324,468.0","325,940.0","342,284.0","341,448.0","345,640.0","353,080.0","367,512.0","385,732.0","382,436.0","390,676.0","385,040.0","390,464.0","393,268.0","397,740.0","399,024.0","413,172.0","417,264.0","420,508.0","427,168.0","431,168.0","437,616.0","450,108.0","459,372.0","452,404.0","450,264.0","458,596.0","457,000.0","464,460.0","479,876.0","480,260.0","488,264.0","498,604.0","514,428.0","517,864.0","532,764.0","543,348.0","561,288.0","575,480.0","580,412.0","587,620.0","533,376.0","593,476.0","630,340.0","658,640.0","702,964.0","719,772.0","728,836.0","749,964.0","754,416.0","764,464.0","776,420.0","798,296.0","791,544.0","798,512.0","809,812.0","833,252.0","840,616.0","846,944.0","853,392.0","854,932.0","886,372.0","893,392.0","895,600.0","908,596.0","914,500.0","918,376.0","922,752.0","945,992.0","944,076.0","945,172.0","955,432.0","974,996.0","981,520.0","985,568.0","998,448.0","1,016,124.0","1,015,932.0","1,038,084.0","1,056,600.0","1,078,844.0","1,105,064.0","1,129,744.0","1,145,888.0","1,179,196.0","1,221,968.0","1,250,780.0","1,259,456.0","1,276,020.0","1,293,796.0","1,341,408.0","1,353,488.0","1,368,760.0","1,387,968.0","1,395,700.0","1,404,324.0","1,432,200.0","1,472,804.0","1,472,616.0","1,496,712.0","1,523,128.0","1,552,432.0","1,588,904.0","1,603,708.0","1,603,508.0","1,676,760.0","1,673,056.0","1,691,508.0","1,720,420.0","1,766,716.0","1,899,788.0","1,826,220.0","1,874,876.0","2,006,196.0","2,210,404.0","2,189,864.0","2,207,900.0","2,283,004.0","2,289,028.0","2,331,940.0","2,350,668.0","2,312,712.0","2,346,896.0","2,290,260.0"
"42","23","  Government social benefits","W015RC1","45,124.0","45,924.0","46,720.0","47,596.0","48,912.0","58,212.0","57,704.0","60,600.0","61,784.0","68,700.0","68,048.0","69,032.0","71,140.0","71,188.0","71,236.0","81,716.0","83,312.0","84,772.0","86,228.0","88,496.0","95,068.0","101,976.0","107,852.0","113,512.0","122,348.0","136,116.0","138,816.0","139,996.0","143,340.0","141,732.0","147,548.0","149,908.0","151,952.0","151,072.0","156,728.0","158,896.0","160,936.0","160,424.0","168,388.0","170,852.0","175,088.0","178,436.0","192,968.0","196,788.0","204,740.0","210,020.0","238,436.0","239,536.0","243,960.0","245,164.0","263,112.0","265,332.0","268,616.0","275,824.0","291,024.0","305,944.0","305,336.0","310,488.0","304,332.0","306,500.0","309,400.0","311,556.0","312,284.0","318,396.0","326,708.0","327,652.0","331,128.0","332,136.0","342,064.0","345,696.0","351,356.0","353,172.0","357,256.0","361,272.0","361,688.0","363,536.0","378,516.0","379,640.0","382,948.0","386,664.0","407,144.0","411,588.0","417,356.0","424,772.0","441,444.0","447,616.0","452,224.0","463,608.0","484,848.0","494,996.0","498,780.0","513,320.0","543,372.0","555,184.0","559,548.0","564,728.0","581,072.0","586,116.0","589,848.0","593,772.0","605,824.0","610,308.0","614,216.0","622,688.0","639,188.0","647,396.0","652,524.0","658,396.0","677,496.0","683,032.0","686,184.0","691,356.0","706,580.0","709,844.0","711,292.0","712,452.0","721,892.0","722,960.0","725,604.0","726,948.0","739,376.0","742,532.0","745,084.0","748,172.0","761,028.0","777,252.0","781,980.0","790,992.0","822,208.0","835,888.0","854,444.0","870,284.0","901,040.0","927,760.0","932,320.0","937,268.0","953,148.0","969,364.0","979,064.0","989,328.0","1,010,012.0","1,019,304.0","1,028,712.0","1,041,764.0","1,071,328.0","1,081,012.0","1,095,684.0","1,108,772.0","1,167,508.0","1,191,028.0","1,199,644.0","1,214,412.0","1,248,780.0","1,259,792.0","1,272,108.0","1,289,184.0","1,329,408.0","1,462,848.0","1,388,596.0","1,423,796.0","1,522,980.0","1,649,728.0","1,640,028.0","1,658,852.0","1,706,524.0","1,712,220.0","1,733,024.0","1,747,720.0","1,741,468.0","1,754,300.0","1,762,296.0"
"43","24","    To persons","B087RC1","44,568.0","45,348.0","46,124.0","46,984.0","48,276.0","57,476.0","56,948.0","59,844.0","61,024.0","67,868.0","67,228.0","68,200.0","70,224.0","70,240.0","70,336.0","80,620.0","82,180.0","83,628.0","85,060.0","87,308.0","94,116.0","100,656.0","106,388.0","111,960.0","120,540.0","134,168.0","136,776.0","137,844.0","140,972.0","139,272.0","144,988.0","147,336.0","149,444.0","148,564.0","154,080.0","156,244.0","158,280.0","157,728.0","165,624.0","168,000.0","172,240.0","175,444.0","189,828.0","193,572.0","201,480.0","206,608.0","234,772.0","235,700.0","239,904.0","240,976.0","258,668.0","260,868.0","264,596.0","271,584.0","286,888.0","301,928.0","301,628.0","306,852.0","300,760.0","302,916.0","305,868.0","307,876.0","308,628.0","314,572.0","322,732.0","323,680.0","327,064.0","328,036.0","337,740.0","341,404.0","347,208.0","348,344.0","353,024.0","357,056.0","357,364.0","359,188.0","374,040.0","375,092.0","378,340.0","381,976.0","402,288.0","406,704.0","412,048.0","419,292.0","435,492.0","441,396.0","445,912.0","457,436.0","478,736.0","489,012.0","492,848.0","506,260.0","537,684.0","548,228.0","553,232.0","558,788.0","575,420.0","579,780.0","583,464.0","587,348.0","599,184.0","603,584.0","607,404.0","615,560.0","633,072.0","640,416.0","645,524.0","651,320.0","669,864.0","675,540.0","678,584.0","683,784.0","698,796.0","701,880.0","703,516.0","704,576.0","713,704.0","714,672.0","717,472.0","718,724.0","730,940.0","734,040.0","736,500.0","739,572.0","752,524.0","768,564.0","773,244.0","782,248.0","812,840.0","826,548.0","844,940.0","860,744.0","891,524.0","918,136.0","922,624.0","927,476.0","943,232.0","959,296.0","968,936.0","979,084.0","999,560.0","1,008,732.0","1,018,108.0","1,030,800.0","1,060,296.0","1,069,824.0","1,084,388.0","1,097,400.0","1,155,144.0","1,178,612.0","1,187,492.0","1,201,636.0","1,235,664.0","1,246,480.0","1,258,692.0","1,275,952.0","1,315,784.0","1,443,340.0","1,374,448.0","1,409,268.0","1,507,740.0","1,632,816.0","1,624,000.0","1,642,744.0","1,690,196.0","1,695,664.0","1,715,980.0","1,731,336.0","1,725,056.0","1,737,516.0","1,745,252.0"
"44","25","    To the rest of the world \6\","W016RC1","556.0","576.0","596.0","612.0","636.0","736.0","756.0","756.0","760.0","832.0","820.0","832.0","916.0","948.0","900.0","1,096.0","1,132.0","1,144.0","1,168.0","1,188.0","952.0","1,320.0","1,464.0","1,552.0","1,808.0","1,948.0","2,040.0","2,152.0","2,368.0","2,460.0","2,560.0","2,572.0","2,508.0","2,508.0","2,648.0","2,652.0","2,656.0","2,696.0","2,764.0","2,852.0","2,848.0","2,992.0","3,140.0","3,216.0","3,260.0","3,412.0","3,664.0","3,836.0","4,056.0","4,188.0","4,444.0","4,464.0","4,020.0","4,240.0","4,136.0","4,016.0","3,708.0","3,636.0","3,572.0","3,584.0","3,532.0","3,680.0","3,656.0","3,824.0","3,976.0","3,972.0","4,064.0","4,100.0","4,324.0","4,292.0","4,148.0","4,828.0","4,232.0","4,216.0","4,324.0","4,348.0","4,476.0","4,548.0","4,608.0","4,688.0","4,856.0","4,884.0","5,308.0","5,480.0","5,952.0","6,220.0","6,312.0","6,172.0","6,112.0","5,984.0","5,932.0","7,060.0","5,688.0","6,956.0","6,316.0","5,940.0","5,652.0","6,336.0","6,384.0","6,424.0","6,640.0","6,724.0","6,812.0","7,128.0","6,116.0","6,980.0","7,000.0","7,076.0","7,632.0","7,492.0","7,600.0","7,572.0","7,784.0","7,964.0","7,776.0","7,876.0","8,188.0","8,288.0","8,132.0","8,224.0","8,436.0","8,492.0","8,584.0","8,600.0","8,504.0","8,688.0","8,736.0","8,744.0","9,368.0","9,340.0","9,504.0","9,540.0","9,516.0","9,624.0","9,696.0","9,792.0","9,916.0","10,068.0","10,128.0","10,244.0","10,452.0","10,572.0","10,604.0","10,964.0","11,032.0","11,188.0","11,296.0","11,372.0","12,364.0","12,416.0","12,152.0","12,776.0","13,116.0","13,312.0","13,416.0","13,232.0","13,624.0","19,508.0","14,148.0","14,528.0","15,240.0","16,912.0","16,028.0","16,108.0","16,328.0","16,556.0","17,044.0","16,384.0","16,412.0","16,784.0","17,044.0"
"45","26","  Other current transfer payments","W010RC1","16,792.0","19,324.0","19,124.0","21,204.0","21,740.0","23,772.0","25,236.0","25,792.0","27,252.0","29,020.0","29,024.0","31,620.0","33,492.0","40,560.0","34,740.0","46,720.0","40,524.0","41,272.0","39,672.0","39,136.0","39,300.0","43,968.0","42,152.0","43,652.0","47,816.0","54,904.0","50,080.0","52,320.0","52,092.0","53,404.0","57,688.0","57,884.0","56,284.0","60,168.0","63,672.0","63,136.0","68,332.0","71,156.0","70,460.0","72,132.0","69,720.0","70,624.0","73,324.0","75,072.0","77,148.0","76,560.0","79,960.0","85,024.0","80,508.0","80,776.0","79,172.0","76,116.0","77,024.0","77,256.0","76,488.0","79,788.0","77,100.0","80,188.0","80,708.0","83,964.0","83,868.0","86,184.0","86,740.0","94,776.0","90,556.0","92,856.0","96,040.0","99,032.0","95,552.0","104,412.0","108,016.0","99,232.0","93,008.0","97,324.0","95,312.0","100,924.0","101,360.0","100,620.0","105,316.0","111,940.0","107,284.0","106,276.0","115,408.0","118,576.0","119,844.0","127,864.0","128,188.0","124,012.0","48,528.0","98,480.0","131,560.0","145,320.0","159,592.0","164,588.0","169,288.0","185,236.0","173,344.0","178,348.0","186,572.0","204,524.0","185,720.0","188,204.0","195,596.0","210,564.0","201,428.0","199,548.0","200,868.0","196,536.0","208,876.0","210,360.0","209,416.0","217,240.0","207,920.0","208,532.0","211,460.0","233,540.0","222,184.0","222,212.0","229,828.0","248,048.0","242,144.0","243,036.0","253,364.0","267,952.0","254,904.0","260,832.0","274,620.0","287,852.0","282,856.0","293,856.0","291,444.0","308,912.0","320,928.0","323,020.0","327,136.0","338,752.0","340,648.0","372,044.0","374,424.0","379,432.0","377,956.0","376,396.0","375,612.0","390,436.0","401,476.0","391,604.0","401,028.0","414,356.0","384,924.0","397,876.0","404,064.0","389,096.0","427,980.0","413,264.0","419,400.0","431,236.0","437,308.0","436,940.0","437,624.0","451,080.0","483,216.0","560,676.0","549,836.0","549,048.0","576,480.0","576,808.0","598,916.0","602,948.0","571,244.0","592,596.0","527,964.0"
"46","27","    Grants-in-aid to state and local governments","B089RC1","13,144.0","14,008.0","15,052.0","16,056.0","17,496.0","18,840.0","20,144.0","20,788.0","21,556.0","23,160.0","23,460.0","24,692.0","25,700.0","33,916.0","26,764.0","40,424.0","35,564.0","34,672.0","33,892.0","34,912.0","34,648.0","35,444.0","36,792.0","38,208.0","40,716.0","45,840.0","46,520.0","47,504.0","48,656.0","49,464.0","50,392.0","54,420.0","52,468.0","55,504.0","59,132.0","59,168.0","63,460.0","66,092.0","65,496.0","67,064.0","64,420.0","64,976.0","67,576.0","68,384.0","69,288.0","70,820.0","73,416.0","75,848.0","74,352.0","74,504.0","71,856.0","69,212.0","68,836.0","70,360.0","68,984.0","69,812.0","70,620.0","72,664.0","71,796.0","71,156.0","75,364.0","77,436.0","75,124.0","78,780.0","79,116.0","79,992.0","81,168.0","83,140.0","84,804.0","88,984.0","91,768.0","84,864.0","82,148.0","85,796.0","83,928.0","83,836.0","89,540.0","90,044.0","93,072.0","93,804.0","94,944.0","95,636.0","101,396.0","101,380.0","106,536.0","110,276.0","112,640.0","116,340.0","122,836.0","128,080.0","134,876.0","140,596.0","143,248.0","146,232.0","152,396.0","154,624.0","156,748.0","159,848.0","165,464.0","173,960.0","171,464.0","172,032.0","175,608.0","181,192.0","185,148.0","185,096.0","185,592.0","181,028.0","185,832.0","195,076.0","193,352.0","190,120.0","194,364.0","194,924.0","197,048.0","207,292.0","208,060.0","208,744.0","213,480.0","220,120.0","227,220.0","226,012.0","237,108.0","241,260.0","237,936.0","242,592.0","254,572.0","254,108.0","267,092.0","277,796.0","273,928.0","285,524.0","289,104.0","303,636.0","308,536.0","315,368.0","310,828.0","341,692.0","345,600.0","353,900.0","339,644.0","349,264.0","347,828.0","359,992.0","356,404.0","359,940.0","362,364.0","366,208.0","354,644.0","360,976.0","365,080.0","355,468.0","377,320.0","381,640.0","382,108.0","381,940.0","386,788.0","396,268.0","394,060.0","404,804.0","438,432.0","503,372.0","486,380.0","501,444.0","514,804.0","524,232.0","542,060.0","544,852.0","514,472.0","527,684.0","470,572.0"
