"","Table 2#6# Personal Income and Its Disposition, Monthly","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135"
"26","7","       Employer contributions for employee pension and insurance funds","B040RC1","12,537.0","12,716.0","12,923.0","13,051.0","13,172.0","13,358.0","13,422.0","13,493.0","13,622.0","13,669.0","13,740.0","13,802.0","13,963.0","14,037.0","14,107.0","14,180.0","14,219.0","14,270.0","14,340.0","14,381.0","14,435.0","14,502.0","14,551.0","14,663.0","14,680.0","14,779.0","14,883.0","14,932.0","14,998.0","15,117.0","15,208.0","15,280.0","15,418.0","15,461.0","15,575.0","15,753.0","15,974.0","16,141.0","16,259.0","16,334.0","16,421.0","16,577.0","16,609.0","16,757.0","16,892.0","16,988.0","17,092.0","17,206.0","17,252.0","17,345.0","17,408.0","17,585.0","17,674.0","17,851.0","17,951.0","18,130.0","18,270.0","18,504.0","18,674.0","18,882.0","19,125.0","19,355.0","19,558.0","19,729.0","19,968.0","20,175.0","20,324.0","20,572.0","20,772.0","20,974.0","21,083.0","21,371.0","21,498.0","21,691.0","21,897.0","22,081.0","22,263.0","22,467.0","22,721.0","22,923.0","23,161.0","23,497.0","23,693.0","23,965.0","24,253.0","24,459.0","24,713.0","24,908.0","25,143.0","25,386.0","25,637.0","25,837.0","26,034.0","26,289.0","26,518.0","26,678.0","26,683.0","26,855.0","27,030.0","27,305.0","27,604.0","27,881.0","28,198.0","28,473.0","28,798.0","29,045.0","29,475.0","30,030.0","30,415.0","30,872.0","31,212.0","31,571.0","31,910.0","32,255.0","32,583.0","32,950.0","33,263.0","33,581.0","33,910.0","34,185.0","34,361.0","34,769.0","35,082.0","35,496.0","35,888.0","36,252.0","36,707.0","37,145.0","37,520.0","37,866.0","38,415.0","38,785.0"
"27","8","       Employer contributions for government social insurance","B039RC1","7,716.0","7,740.0","7,800.0","7,836.0","7,872.0","7,956.0","7,980.0","7,836.0","7,812.0","7,824.0","7,872.0","8,016.0","9,240.0","9,252.0","9,264.0","9,252.0","9,252.0","9,288.0","9,300.0","9,264.0","9,276.0","9,276.0","9,204.0","9,132.0","9,456.0","9,468.0","9,432.0","9,540.0","9,540.0","9,588.0","9,636.0","9,660.0","9,636.0","9,720.0","9,816.0","9,828.0","10,980.0","11,004.0","11,148.0","11,160.0","11,172.0","11,196.0","11,208.0","11,196.0","11,280.0","11,244.0","11,280.0","11,316.0","12,180.0","12,180.0","12,252.0","12,276.0","12,300.0","12,420.0","12,420.0","12,432.0","12,516.0","12,588.0","12,588.0","12,708.0","12,336.0","12,468.0","12,480.0","12,552.0","12,588.0","12,576.0","12,636.0","12,732.0","12,756.0","12,696.0","12,840.0","12,924.0","12,756.0","12,804.0","12,852.0","12,912.0","13,008.0","13,008.0","13,068.0","13,164.0","13,248.0","13,356.0","13,416.0","13,524.0","16,368.0","16,476.0","16,572.0","16,668.0","16,704.0","16,848.0","16,956.0","17,004.0","17,040.0","17,124.0","17,172.0","17,220.0","17,544.0","17,520.0","17,604.0","17,712.0","17,760.0","17,904.0","18,012.0","18,192.0","18,264.0","18,348.0","18,564.0","18,804.0","19,260.0","19,464.0","19,596.0","19,620.0","19,812.0","19,872.0","20,040.0","20,112.0","20,220.0","20,292.0","20,496.0","20,616.0","21,960.0","22,056.0","22,248.0","22,368.0","22,500.0","22,668.0","22,884.0","23,016.0","23,148.0","23,316.0","23,412.0","23,472.0"
"28","9","   Proprietors' income with inventory valuation and capital consumption adjustments","A041RC1","50,084.0","50,073.0","50,324.0","50,263.0","50,383.0","50,488.0","50,297.0","49,927.0","50,258.0","50,320.0","50,659.0","50,833.0","50,218.0","49,947.0","49,752.0","50,710.0","50,962.0","50,869.0","50,932.0","50,841.0","50,849.0","51,170.0","51,132.0","51,113.0","52,223.0","52,309.0","52,563.0","52,191.0","52,506.0","52,974.0","53,085.0","53,332.0","53,556.0","54,182.0","54,621.0","54,838.0","55,084.0","55,302.0","55,505.0","55,292.0","55,194.0","54,808.0","55,026.0","55,111.0","55,276.0","55,347.0","55,766.0","55,949.0","56,153.0","55,957.0","55,885.0","55,906.0","55,857.0","55,966.0","56,097.0","56,362.0","56,790.0","57,579.0","57,679.0","58,031.0","57,894.0","58,057.0","58,314.0","58,865.0","59,013.0","59,119.0","59,206.0","59,525.0","59,968.0","60,133.0","60,697.0","61,415.0","61,687.0","62,065.0","62,729.0","62,975.0","63,380.0","63,722.0","64,127.0","64,056.0","64,423.0","65,054.0","65,935.0","66,690.0","68,805.0","69,405.0","70,067.0","67,889.0","67,264.0","67,425.0","67,452.0","67,700.0","67,887.0","67,994.0","68,444.0","68,649.0","69,292.0","68,982.0","69,093.0","68,397.0","68,879.0","69,388.0","70,566.0","71,020.0","71,289.0","70,332.0","70,317.0","70,614.0","71,383.0","71,992.0","72,821.0","72,860.0","73,501.0","73,955.0","74,779.0","75,294.0","75,738.0","75,917.0","75,898.0","76,105.0","75,938.0","76,437.0","76,554.0","77,221.0","77,660.0","77,788.0","77,782.0","78,394.0","78,427.0","78,048.0","77,816.0","78,057.0"
"29","10","     Farm","B042RC1","11,147.0","10,872.0","10,590.0","10,058.0","9,865.0","9,661.0","9,427.0","9,282.0","9,371.0","9,918.0","10,126.0","10,208.0","9,630.0","9,590.0","9,707.0","10,365.0","10,653.0","10,836.0","10,918.0","11,008.0","11,101.0","11,232.0","11,319.0","11,428.0","11,583.0","11,553.0","11,507.0","10,900.0","10,860.0","10,850.0","10,999.0","11,029.0","11,105.0","11,406.0","11,529.0","11,661.0","11,871.0","11,919.0","11,793.0","11,338.0","11,050.0","10,849.0","10,633.0","10,628.0","10,743.0","11,109.0","11,304.0","11,381.0","11,523.0","11,411.0","11,274.0","10,919.0","10,817.0","10,753.0","10,633.0","10,649.0","10,756.0","11,208.0","11,177.0","10,997.0","10,141.0","9,846.0","9,633.0","9,608.0","9,527.0","9,408.0","9,174.0","9,252.0","9,458.0","10,105.0","10,441.0","10,772.0","11,211.0","11,470.0","11,613.0","11,742.0","11,959.0","12,185.0","12,145.0","12,185.0","12,289.0","12,131.0","12,460.0","12,963.0","14,760.0","14,998.0","14,812.0","13,032.0","12,633.0","12,360.0","12,436.0","12,256.0","12,220.0","12,183.0","12,282.0","12,249.0","12,211.0","11,906.0","11,665.0","11,096.0","11,099.0","11,237.0","11,877.0","12,001.0","12,000.0","11,633.0","11,487.0","11,487.0","11,603.0","11,629.0","11,584.0","11,243.0","11,210.0","11,257.0","11,622.0","11,799.0","11,938.0","12,030.0","12,017.0","11,954.0","11,451.0","11,512.0","11,730.0","12,300.0","12,577.0","12,771.0","12,881.0","13,151.0","13,393.0","13,970.0","14,152.0","14,111.0"
"30","11","     Nonfarm","A045RC1","38,938.0","39,201.0","39,735.0","40,205.0","40,518.0","40,827.0","40,870.0","40,645.0","40,887.0","40,402.0","40,533.0","40,625.0","40,588.0","40,357.0","40,045.0","40,345.0","40,309.0","40,033.0","40,014.0","39,833.0","39,748.0","39,938.0","39,813.0","39,685.0","40,640.0","40,756.0","41,056.0","41,291.0","41,646.0","42,124.0","42,086.0","42,303.0","42,450.0","42,776.0","43,092.0","43,176.0","43,213.0","43,382.0","43,712.0","43,954.0","44,144.0","43,959.0","44,394.0","44,483.0","44,534.0","44,238.0","44,462.0","44,568.0","44,630.0","44,546.0","44,611.0","44,987.0","45,040.0","45,213.0","45,464.0","45,713.0","46,034.0","46,371.0","46,502.0","47,034.0","47,753.0","48,211.0","48,681.0","49,257.0","49,486.0","49,711.0","50,032.0","50,274.0","50,511.0","50,029.0","50,256.0","50,643.0","50,476.0","50,595.0","51,116.0","51,233.0","51,421.0","51,537.0","51,981.0","51,870.0","52,133.0","52,923.0","53,475.0","53,727.0","54,045.0","54,408.0","55,255.0","54,858.0","54,631.0","55,065.0","55,016.0","55,444.0","55,667.0","55,811.0","56,162.0","56,400.0","57,080.0","57,076.0","57,428.0","57,301.0","57,780.0","58,151.0","58,690.0","59,019.0","59,289.0","58,700.0","58,831.0","59,128.0","59,780.0","60,363.0","61,237.0","61,617.0","62,292.0","62,698.0","63,157.0","63,496.0","63,800.0","63,887.0","63,881.0","64,151.0","64,486.0","64,925.0","64,823.0","64,921.0","65,083.0","65,017.0","64,901.0","65,243.0","65,034.0","64,078.0","63,664.0","63,946.0"
"31","12","   Rental income of persons with capital consumption adjustment","A048RC1","15,412.0","15,412.0","15,414.0","15,886.0","15,888.0","15,889.0","16,251.0","16,251.0","16,250.0","16,521.0","16,520.0","16,518.0","16,714.0","16,711.0","16,710.0","16,873.0","16,872.0","16,870.0","17,044.0","17,043.0","17,042.0","17,212.0","17,212.0","17,212.0","17,437.0","17,437.0","17,437.0","17,611.0","17,611.0","17,611.0","17,820.0","17,820.0","17,819.0","18,052.0","18,052.0","18,052.0","18,285.0","18,285.0","18,285.0","18,504.0","18,503.0","18,503.0","18,713.0","18,713.0","18,713.0","18,919.0","18,919.0","18,919.0","19,135.0","19,135.0","19,135.0","19,292.0","19,291.0","19,291.0","19,455.0","19,455.0","19,454.0","19,449.0","19,448.0","19,447.0","19,448.0","19,447.0","19,446.0","19,381.0","19,381.0","19,380.0","19,466.0","19,465.0","19,464.0","19,440.0","19,439.0","19,439.0","19,688.0","19,688.0","19,688.0","19,882.0","19,881.0","19,881.0","20,120.0","20,119.0","20,119.0","20,106.0","20,106.0","20,105.0","20,458.0","20,457.0","20,456.0","20,372.0","20,371.0","20,370.0","20,634.0","20,633.0","20,632.0","20,627.0","20,626.0","20,624.0","20,840.0","20,838.0","20,837.0","20,942.0","20,941.0","20,940.0","20,983.0","20,982.0","20,982.0","20,863.0","20,863.0","20,861.0","20,608.0","20,606.0","20,605.0","20,598.0","20,597.0","20,595.0","20,743.0","20,742.0","20,741.0","20,560.0","20,559.0","20,559.0","20,790.0","20,789.0","20,788.0","20,856.0","20,855.0","20,855.0","20,997.0","20,996.0","20,995.0","20,945.0","20,944.0","20,943.0"
"32","13","   Personal income receipts on assets","W210RC1","32,633.0","33,027.0","33,277.0","33,680.0","34,013.0","34,419.0","34,707.0","35,167.0","35,490.0","35,893.0","36,197.0","36,740.0","37,243.0","37,458.0","37,562.0","37,439.0","37,552.0","37,654.0","37,906.0","38,103.0","38,313.0","38,440.0","38,536.0","38,386.0","38,553.0","38,712.0","38,930.0","39,134.0","39,455.0","39,805.0","40,070.0","40,397.0","40,922.0","41,562.0","41,863.0","42,197.0","41,589.0","41,963.0","42,318.0","43,159.0","43,590.0","44,091.0","44,426.0","44,937.0","45,339.0","45,573.0","45,662.0","46,371.0","46,069.0","46,187.0","46,184.0","46,556.0","47,112.0","47,677.0","48,085.0","48,329.0","48,758.0","49,262.0","49,801.0","50,670.0","51,023.0","51,568.0","52,036.0","52,457.0","53,131.0","53,694.0","54,237.0","54,477.0","54,949.0","55,264.0","55,721.0","56,446.0","56,644.0","57,060.0","57,474.0","58,065.0","58,654.0","59,562.0","59,880.0","60,248.0","60,741.0","60,959.0","61,361.0","61,922.0","62,338.0","62,684.0","62,919.0","63,284.0","63,578.0","63,955.0","64,015.0","64,429.0","65,059.0","65,698.0","66,193.0","64,739.0","66,901.0","67,478.0","68,076.0","68,451.0","68,818.0","68,922.0","69,364.0","69,846.0","70,080.0","70,556.0","70,861.0","68,988.0","71,724.0","72,288.0","73,062.0","74,082.0","74,761.0","75,194.0","75,557.0","76,014.0","76,477.0","76,895.0","77,652.0","78,192.0","79,556.0","80,497.0","81,492.0","82,115.0","82,878.0","84,097.0","84,528.0","85,314.0","86,133.0","86,848.0","87,585.0","88,580.0"
"33","14","     Personal interest income","A064RC1","20,789.0","20,871.0","21,025.0","21,332.0","21,569.0","21,819.0","22,071.0","22,351.0","22,650.0","22,993.0","23,309.0","23,624.0","24,067.0","24,282.0","24,398.0","24,251.0","24,292.0","24,358.0","24,466.0","24,567.0","24,681.0","24,844.0","24,952.0","25,042.0","25,029.0","25,152.0","25,322.0","25,598.0","25,823.0","26,053.0","26,270.0","26,525.0","26,798.0","27,246.0","27,439.0","27,533.0","27,213.0","27,347.0","27,618.0","28,231.0","28,626.0","29,007.0","29,402.0","29,733.0","30,027.0","30,369.0","30,530.0","30,591.0","30,313.0","30,359.0","30,488.0","30,752.0","31,008.0","31,309.0","31,705.0","32,057.0","32,414.0","32,810.0","33,157.0","33,486.0","33,767.0","34,084.0","34,408.0","34,733.0","35,071.0","35,418.0","35,829.0","36,153.0","36,445.0","36,640.0","36,917.0","37,210.0","37,528.0","37,848.0","38,178.0","38,553.0","38,878.0","39,186.0","39,516.0","39,764.0","39,969.0","39,971.0","40,205.0","40,514.0","40,966.0","41,372.0","41,799.0","42,296.0","42,734.0","43,159.0","43,507.0","43,957.0","44,443.0","45,118.0","45,565.0","45,935.0","46,165.0","46,430.0","46,668.0","46,839.0","47,050.0","47,262.0","47,392.0","47,670.0","48,012.0","48,560.0","48,925.0","49,248.0","49,368.0","49,728.0","50,166.0","50,910.0","51,337.0","51,674.0","51,713.0","52,026.0","52,405.0","52,667.0","53,316.0","54,168.0","55,616.0","56,581.0","57,456.0","58,151.0","58,914.0","59,653.0","60,360.0","61,062.0","61,749.0","62,392.0","63,069.0","63,752.0"
"34","15","     Personal dividend income","B703RC1","11,844.0","12,156.0","12,252.0","12,348.0","12,444.0","12,600.0","12,636.0","12,816.0","12,840.0","12,900.0","12,888.0","13,116.0","13,176.0","13,176.0","13,164.0","13,188.0","13,260.0","13,296.0","13,440.0","13,536.0","13,632.0","13,596.0","13,584.0","13,344.0","13,524.0","13,560.0","13,608.0","13,536.0","13,632.0","13,752.0","13,800.0","13,872.0","14,124.0","14,316.0","14,424.0","14,664.0","14,376.0","14,616.0","14,700.0","14,928.0","14,964.0","15,084.0","15,024.0","15,204.0","15,312.0","15,204.0","15,132.0","15,780.0","15,756.0","15,828.0","15,696.0","15,804.0","16,104.0","16,368.0","16,380.0","16,272.0","16,344.0","16,452.0","16,644.0","17,184.0","17,256.0","17,484.0","17,628.0","17,724.0","18,060.0","18,276.0","18,408.0","18,324.0","18,504.0","18,624.0","18,804.0","19,236.0","19,116.0","19,212.0","19,296.0","19,512.0","19,776.0","20,376.0","20,364.0","20,484.0","20,772.0","20,988.0","21,156.0","21,408.0","21,372.0","21,312.0","21,120.0","20,988.0","20,844.0","20,796.0","20,508.0","20,472.0","20,616.0","20,580.0","20,628.0","18,804.0","20,736.0","21,048.0","21,408.0","21,612.0","21,768.0","21,660.0","21,972.0","22,176.0","22,068.0","21,996.0","21,936.0","19,740.0","22,356.0","22,560.0","22,896.0","23,172.0","23,424.0","23,520.0","23,844.0","23,988.0","24,072.0","24,228.0","24,336.0","24,024.0","23,940.0","23,916.0","24,036.0","23,964.0","23,964.0","24,444.0","24,168.0","24,252.0","24,384.0","24,456.0","24,516.0","24,828.0"
"35","16","   Personal current transfer receipts","A577RC1","23,904.0","24,144.0","23,976.0","23,976.0","23,820.0","24,000.0","24,108.0","24,036.0","24,408.0","24,528.0","25,068.0","24,900.0","24,396.0","24,540.0","24,972.0","25,080.0","25,152.0","25,596.0","25,644.0","26,016.0","26,460.0","26,508.0","27,060.0","27,456.0","27,816.0","29,448.0","29,232.0","28,752.0","29,724.0","30,588.0","30,936.0","29,460.0","29,220.0","29,172.0","29,328.0","29,724.0","29,928.0","29,856.0","30,216.0","29,904.0","29,976.0","30,096.0","30,276.0","30,576.0","30,420.0","31,428.0","31,068.0","30,960.0","35,064.0","31,380.0","31,500.0","31,548.0","31,752.0","31,764.0","31,836.0","31,956.0","32,088.0","32,340.0","32,316.0","32,964.0","34,932.0","32,796.0","32,976.0","33,168.0","33,228.0","33,228.0","33,468.0","33,444.0","33,600.0","33,588.0","33,540.0","34,080.0","36,648.0","34,152.0","34,296.0","34,728.0","34,512.0","34,680.0","34,920.0","34,476.0","45,024.0","36,432.0","36,984.0","37,284.0","37,596.0","37,860.0","38,076.0","37,896.0","37,992.0","37,752.0","37,728.0","39,384.0","41,688.0","41,856.0","43,452.0","44,124.0","44,904.0","45,852.0","47,496.0","46,860.0","47,232.0","47,580.0","48,360.0","48,972.0","48,780.0","49,608.0","50,124.0","50,400.0","51,264.0","51,504.0","54,504.0","55,884.0","55,776.0","56,088.0","56,592.0","57,660.0","57,768.0","58,296.0","58,716.0","59,076.0","59,820.0","60,636.0","60,876.0","61,212.0","61,608.0","61,788.0","62,424.0","62,952.0","63,312.0","63,924.0","64,212.0","64,884.0"
"36","17","     Government social benefits to persons","A063RC1","22,656.0","22,860.0","22,692.0","22,668.0","22,500.0","22,668.0","22,776.0","22,692.0","23,064.0","23,172.0","23,712.0","23,544.0","23,052.0","23,208.0","23,652.0","23,760.0","23,856.0","24,288.0","24,348.0","24,720.0","25,152.0","25,200.0","25,752.0","26,148.0","26,496.0","28,128.0","27,912.0","27,432.0","28,380.0","29,232.0","29,592.0","28,092.0","27,828.0","27,768.0","27,924.0","28,284.0","28,464.0","28,380.0","28,716.0","28,380.0","28,440.0","28,560.0","28,716.0","29,004.0","28,836.0","29,832.0","29,448.0","29,340.0","33,276.0","29,592.0","29,688.0","29,724.0","29,916.0","29,916.0","29,976.0","30,072.0","30,180.0","30,420.0","30,360.0","30,972.0","32,904.0","30,720.0","30,864.0","31,032.0","31,044.0","31,032.0","31,248.0","31,200.0","31,344.0","31,332.0","31,272.0","31,812.0","34,308.0","31,824.0","31,968.0","32,412.0","32,220.0","32,388.0","32,652.0","32,232.0","42,804.0","34,224.0","34,788.0","35,136.0","35,424.0","35,712.0","35,940.0","35,772.0","35,892.0","35,652.0","35,640.0","37,296.0","39,600.0","39,756.0","41,352.0","42,012.0","42,768.0","43,692.0","45,324.0","44,664.0","45,012.0","45,348.0","46,092.0","46,680.0","46,452.0","47,244.0","47,748.0","48,000.0","48,828.0","48,996.0","51,936.0","53,244.0","53,064.0","53,280.0","53,760.0","54,768.0","54,828.0","55,308.0","55,680.0","55,980.0","56,604.0","57,372.0","57,576.0","57,888.0","58,248.0","58,404.0","59,064.0","59,568.0","59,952.0","60,564.0","60,876.0","61,560.0"
"37","18","       Social security \1\","W823RC1","9,456.0","9,792.0","9,864.0","9,888.0","10,068.0","10,128.0","10,248.0","10,356.0","10,428.0","10,572.0","10,620.0","10,680.0","10,680.0","10,728.0","10,872.0","10,908.0","10,968.0","11,124.0","11,196.0","11,244.0","11,316.0","11,352.0","11,496.0","11,676.0","11,820.0","11,976.0","12,060.0","12,264.0","12,288.0","12,456.0","12,492.0","12,804.0","13,092.0","13,176.0","13,452.0","13,488.0","13,668.0","13,776.0","13,860.0","14,052.0","14,172.0","14,184.0","14,376.0","14,568.0","14,472.0","14,880.0","14,808.0","14,760.0","14,880.0","14,892.0","14,964.0","15,036.0","15,204.0","15,264.0","15,360.0","15,396.0","15,420.0","15,504.0","15,432.0","15,588.0","15,648.0","15,696.0","15,840.0","15,888.0","15,900.0","15,948.0","16,080.0","16,152.0","16,248.0","16,176.0","16,224.0","16,416.0","16,452.0","16,488.0","16,536.0","16,596.0","16,644.0","16,800.0","16,824.0","16,716.0","26,904.0","18,696.0","19,044.0","19,104.0","19,164.0","19,380.0","19,344.0","19,452.0","19,932.0","19,824.0","19,800.0","19,884.0","20,052.0","19,896.0","20,244.0","20,460.0","20,628.0","20,580.0","20,796.0","21,000.0","21,096.0","21,072.0","21,420.0","21,228.0","21,168.0","21,456.0","21,516.0","21,504.0","21,504.0","21,672.0","24,408.0","24,720.0","24,912.0","24,876.0","25,176.0","25,368.0","25,584.0","25,524.0","25,740.0","25,692.0","25,848.0","25,992.0","26,028.0","26,136.0","26,172.0","26,532.0","26,460.0","26,556.0","26,628.0","26,700.0","26,688.0","26,844.0"
"38","19","       Medicare \2\","W824RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","60.0","1,260.0","2,196.0","2,568.0","2,844.0","3,168.0","3,480.0","3,804.0","4,092.0","4,308.0","4,536.0","4,740.0","4,920.0","5,076.0","5,208.0","5,316.0","5,412.0","5,496.0","5,544.0","5,604.0","5,676.0","5,712.0","5,784.0","5,844.0","5,904.0","5,976.0","6,048.0","6,120.0","6,192.0","6,276.0","6,348.0","6,432.0","6,504.0","6,564.0","6,636.0","6,696.0","6,744.0","6,804.0","6,852.0","6,876.0","6,924.0","6,960.0"
"39","20","       Medicaid","W729RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,500.0","1,536.0","1,620.0","1,536.0","2,040.0","2,028.0","1,776.0","1,968.0","1,908.0","1,920.0","2,412.0","2,328.0","2,088.0","2,076.0","2,496.0","2,520.0","2,520.0","2,604.0","2,640.0","3,120.0","2,988.0","3,156.0","3,228.0","3,204.0","3,624.0","3,384.0","3,684.0","4,296.0","3,852.0","4,044.0","3,936.0","4,104.0","4,128.0","4,284.0","4,344.0","4,284.0","4,428.0","4,476.0","4,416.0","4,320.0","4,440.0","4,416.0","4,536.0","4,560.0","4,656.0","4,644.0","4,764.0","4,956.0"
"40","21","       Unemployment insurance","W825RC1","3,443.0","3,141.0","2,932.0","2,808.0","2,600.0","2,704.0","2,582.0","2,582.0","2,684.0","2,680.0","3,195.0","2,885.0","2,499.0","2,499.0","2,706.0","2,756.0","2,756.0","2,960.0","2,997.0","3,101.0","3,514.0","3,513.0","3,720.0","3,927.0","3,997.0","4,202.0","4,305.0","4,730.0","5,552.0","5,450.0","4,717.0","4,512.0","4,103.0","3,920.0","3,714.0","3,610.0","3,576.0","3,474.0","3,474.0","3,260.0","3,056.0","3,056.0","3,005.0","3,005.0","3,110.0","3,090.0","3,090.0","2,988.0","3,211.0","3,211.0","3,106.0","3,088.0","3,088.0","3,088.0","2,980.0","2,980.0","2,980.0","3,000.0","3,000.0","3,000.0","2,923.0","2,923.0","2,818.0","2,888.0","2,991.0","2,785.0","2,781.0","2,678.0","2,677.0","2,685.0","2,582.0","2,581.0","2,488.0","2,488.0","2,488.0","2,497.0","2,393.0","2,394.0","2,340.0","2,340.0","2,340.0","2,273.0","2,170.0","2,169.0","2,022.0","2,123.0","2,023.0","1,853.0","1,750.0","1,749.0","1,848.0","2,053.0","1,847.0","1,727.0","1,930.0","2,031.0","2,023.0","2,124.0","2,225.0","2,348.0","2,348.0","2,348.0","2,356.0","2,356.0","2,152.0","2,188.0","2,188.0","2,188.0","2,276.0","2,276.0","2,276.0","2,144.0","2,144.0","2,144.0","2,158.0","2,158.0","2,260.0","2,216.0","2,216.0","2,216.0","2,284.0","2,284.0","2,284.0","2,292.0","2,188.0","2,084.0","2,297.0","2,402.0","2,297.0","2,400.0","2,504.0","2,608.0"
"41","22","       Veterans' benefits","W826RC1","4,567.0","4,629.0","4,568.0","4,552.0","4,516.0","4,540.0","4,513.0","4,379.0","4,452.0","4,372.0","4,360.0","4,456.0","4,327.0","4,424.0","4,437.0","4,436.0","4,460.0","4,484.0","4,361.0","4,545.0","4,558.0","4,538.0","4,649.0","4,637.0","4,659.0","5,950.0","5,447.0","4,311.0","4,397.0","5,188.0","6,197.0","4,414.0","4,317.0","4,280.0","4,317.0","4,759.0","4,600.0","4,600.0","4,552.0","4,492.0","4,504.0","4,540.0","4,532.0","4,544.0","4,424.0","4,909.0","4,620.0","4,559.0","8,164.0","4,390.0","4,390.0","4,404.0","4,392.0","4,380.0","4,404.0","4,440.0","4,392.0","4,452.0","4,380.0","4,812.0","6,696.0","4,440.0","4,476.0","4,452.0","4,416.0","4,428.0","4,464.0","4,440.0","4,440.0","4,440.0","4,380.0","4,512.0","7,136.0","4,556.0","4,532.0","4,753.0","4,584.0","4,475.0","4,825.0","4,523.0","4,680.0","4,620.0","4,620.0","4,884.0","5,112.0","4,980.0","5,100.0","5,116.0","4,187.0","3,993.0","4,102.0","3,933.0","5,225.0","5,219.0","5,460.0","5,437.0","5,693.0","6,200.0","6,683.0","5,353.0","5,232.0","5,231.0","5,389.0","5,268.0","5,219.0","5,243.0","5,436.0","5,617.0","5,760.0","5,856.0","5,748.0","5,736.0","5,833.0","5,687.0","5,747.0","5,941.0","5,892.0","6,024.0","5,988.0","6,012.0","6,114.0","6,405.0","6,357.0","6,564.0","6,722.0","6,454.0","6,579.0","6,712.0","6,725.0","6,900.0","6,839.0","6,973.0"
"42","23","       Other","W827RC1","5,190.0","5,298.0","5,328.0","5,420.0","5,316.0","5,296.0","5,433.0","5,375.0","5,500.0","5,548.0","5,537.0","5,523.0","5,546.0","5,557.0","5,637.0","5,660.0","5,672.0","5,720.0","5,794.0","5,830.0","5,764.0","5,797.0","5,887.0","5,908.0","6,020.0","6,000.0","6,100.0","6,127.0","6,143.0","6,138.0","6,186.0","6,362.0","6,316.0","6,392.0","6,441.0","6,427.0","6,620.0","6,530.0","6,830.0","6,576.0","6,708.0","6,780.0","6,803.0","6,887.0","6,830.0","6,953.0","6,930.0","7,033.0","7,021.0","7,099.0","7,228.0","7,196.0","7,232.0","7,184.0","7,232.0","7,256.0","7,388.0","7,464.0","7,548.0","7,572.0","7,637.0","7,661.0","7,730.0","7,804.0","7,737.0","7,871.0","7,923.0","7,930.0","7,979.0","8,031.0","8,086.0","8,303.0","8,232.0","8,292.0","8,412.0","8,566.0","8,599.0","8,719.0","8,663.0","8,653.0","8,880.0","8,635.0","8,954.0","8,979.0","7,626.0","7,693.0","7,853.0","7,815.0","7,983.0","8,058.0","8,054.0","8,198.0","8,372.0","8,426.0","8,462.0","8,588.0","8,856.0","8,908.0","9,032.0","9,135.0","9,280.0","9,353.0","9,367.0","9,632.0","9,717.0","9,885.0","9,968.0","9,991.0","10,120.0","10,204.0","10,144.0","10,636.0","10,539.0","10,685.0","10,839.0","11,221.0","10,916.0","11,140.0","11,200.0","11,500.0","11,582.0","11,783.0","11,987.0","12,012.0","12,090.0","12,222.0","12,448.0","12,534.0","12,794.0","13,044.0","13,157.0","13,219.0"
