"","Table 6#19C# Corporate Profits After Tax by Industry            ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"44","37","    Transportation","A3237C0",-741,-1159,-5173,-7280,-5011,-6055,-608,2859,4352,4570,4163,3774,-1633,1034
"45","38","      Railroad transportation","B3238C0",252,552,-1015,-5,272,308,459,1814,2073,1921,829,334,-192,1787
"46","39","      Local and interurban passenger transit","B3239C0",-13,-9,126,-95,244,218,135,221,353,476,379,378,86,360
"47","40","      Trucking and warehousing","B3240C0",80,-924,-1360,-1538,150,206,1475,1880,1107,-86,-888,854,-272,781
"48","41","      Water transportation","B3241C0",-206,110,133,153,258,-166,94,31,38,128,145,170,-279,223
"49","42","      Transportation by air","B3242C0",-996,-878,-3261,-5758,-6523,-7039,-3556,-1823,277,1906,5015,3503,2220,-247
"50","43","      Pipelines, except natural gas","B3243C0",525,520,491,487,451,416,431,411,493,507,526,646,174,-278
"51","44","      Transportation services","B3244C0",-384,-530,-287,-524,138,2,353,325,12,-282,-1843,-2111,-3370,-1593
"52","45","    Communications","A3245C0",14615,14863,13346,17446,21015,24635,27782,29163,27005,27615,18783,11033,-8163,-14697
"53","46","      Telephone and telegraph","B3246C0",14045,14849,13879,16605,19092,20911,23364,24248,22163,23772,15318,8863,-185,-15825
"54","47","      Radio and television","B3247C0",570,14,-533,841,1923,3724,4419,4914,4842,3843,3465,2170,-7978,1128
"55","48","    Electric, gas, and sanitary services","B3248C0",10197,12586,14645,14824,16899,17577,18378,23342,27018,27956,27069,23119,23077,17021
"56","49","  Wholesale trade","B3249C0",14915,19577,18558,15289,16793,19030,21095,26216,24573,28191,33852,33277,35394,40548
"57","50","  Retail trade","B3250C0",15882,15058,15750,15113,19829,20758,30438,35433,34670,39778,44741,52981,54687,51023
"58","51","  Finance, insurance, and real estate","A3251C0",21515,26774,28999,36566,62701,72814,53609,63492,63230,70581,81297,52381,70936,60404
"59","52","    Depository institutions","B3291C0",26640,27888,30993,40003,56505,61909,51394,49312,54194,57215,55406,55599,75163,94843
"60","53","      Federal Reserve banks","B3253C0",-1490,714,-997,-1787,-47,1522,704,-1956,-445,2465,3623,-961,1266,5886
"61","54","      Commercial and mutual depository institutions","B3292C0",28130,27174,31990,41789,56552,60388,50690,51267,54640,54750,51783,56560,73897,88957
"62","55","    Nondepository institutions","B3293C0",2085,3444,5139,6196,8217,11059,11492,11302,14222,15660,15001,15544,20917,20489
"63","56","    Security and commodity brokers","B3256C0",223,-3069,-5082,-2500,-6568,-4562,-3511,-10680,-9551,-6065,5024,-6902,-12099,-30884
"64","57","    Insurance carriers","B3257C0",-4877,4296,8111,1267,8810,14329,3489,23778,12185,13383,8231,-3576,-4211,-12131
"65","58","    Insurance agents, brokers, and service","B3258C0",2291,1835,2058,2335,2411,2521,2686,3259,3595,3998,4365,5182,5389,7140
"66","59","    Real estate","B3259C0",-2577,-2451,-4432,-6081,-7738,-5340,-3313,-1596,461,1271,3131,3167,3759,5595
"67","60","    Holding and other investment offices","B3260C0",-2269,-5169,-7788,-4653,1064,-7102,-8628,-11884,-11876,-14880,-9861,-16633,-17982,-24649
"68","61","  Services","A3261C0",8566,9076,9351,13681,19554,25038,30188,36387,41955,44090,47718,36363,39431,6768
"69","62","    Hotels and other lodging places","B3262C0",-930,-941,-1391,-1791,-1315,-709,236,749,1494,1824,1495,748,1831,2591
"70","63","    Personal services","B3263C0",585,697,1191,1006,959,1287,1405,1862,2106,1956,2024,2396,2329,3350
"71","64","    Business services","B3264C0",2553,3997,4457,5744,6530,9160,10018,11965,13437,15459,18719,8642,2184,-35150
"72","65","    Auto repair, services, and parking","B3265C0",-289,-502,-724,-537,-496,-288,407,203,104,166,938,1005,633,447
"73","66","    Miscellaneous repair services","B3266C0",403,587,647,617,626,656,777,821,882,1053,931,764,843,925
"74","67","    Motion pictures","B3267C0",-1166,-794,-1845,-1295,-1575,-242,-125,-302,99,350,-444,-978,218,-395
"75","68","    Amusement and recreation services","B3268C0",-129,-70,648,188,587,1621,1438,1775,1633,2110,2529,775,366,176
"76","69","    Other services","A3269C0",7539,6104,6367,9749,14239,13554,16032,19315,22200,21173,21525,23011,31027,34823
"77","70","      Health services","B3270C0",4141,3210,2772,4750,8489,7649,9091,10882,12170,11883,10961,9629,15303,19225
"78","71","      Legal services","B3271C0",1339,926,980,1078,1065,1693,1617,2006,2563,2545,2820,645,2156,3834
"79","72","      Educational services","B3272C0",145,336,271,434,661,516,479,687,888,849,1080,1672,1762,1442
"80","73","      Other \1\","B3273C0",1914,1631,2343,3487,4023,3696,4845,5739,6578,5895,6664,11064,11806,10322
"81","74","Rest of the world \2\","A3274C0",48009,56985,67131,76087,76471,73090,76931,77966,92947,101970,107554,102761,122003,146179
"82","75","  Receipts from the rest of the world","B3275C0",58922,71580,75510,80918,75492,78328,88948,104525,127364,139358,155495,146786,177293,203036
"83","76","  Less: Payments to the rest of the world","B3276C0",10913,14595,8379,4831,-979,5238,12017,26559,34417,37388,47941,44025,55290,56857
"84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","1. Consists of social services; membership organizations; engineering and management services,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","except for commercial research and testing services and for management and public relations;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","and services, not elsewhere classified.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","2. Consists of receipts by all U.S. residents, including both corporations and persons, of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","dividends from foreign corporations, and, for U.S. corporations, their share of reinvested earnings of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","their incorporated foreign affiliates, and earnings of unincorporated foreign affiliates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","(line 75), net of corresponding payments (line 76).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","Note.  Estimates in this table are based on the 1987 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
