"","Table 1#7#5# Relation of Gross Domestic Product, Gross National ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"11","4","Equals: Gross national product","A001RC1",1026,1082.3,1175.4,1291,1441.2,1564.3,1701.9,1894.4,2106.2,2378.2,2664.1,2896.7,3243.9,3381.5,3675.2,4077,4372.1,4607.1,4887.7,5275.3,5682.5,6014.3,6205.6,6570.4,6910.7,7332.6,7692.8,8131.9,8632.6,9107.4,9692.8,10326.8,10677.1,11028.8,11580.3,12367.1,13189,13926.3,14606.8,14893.2,14565.1,15164.2,15794.6,16497.4,NA
"12","5","Less: Consumption of fixed capital","A262RC1",124.9,136.8,148.9,160.9,178.1,206.2,237.5,259.2,288.3,325.1,371.1,426,485,534.3,560.5,594.3,636.7,682.2,728,782.4,836.1,886.8,931.1,959.7,1003.6,1055.6,1122.8,1176,1240,1310.3,1400.9,1514.2,1604,1662.1,1727.2,1831.7,1982,2136,2264.4,2363.4,2368.4,2381.6,2452.6,2542.9,2646.9
"13","6","  Private","A024RC1",89.4,98.3,107.6,117.5,131.5,153.2,178.8,196.5,221.1,252.1,290.7,335,381.9,420.4,438.8,463.5,496.4,531.6,566.3,608.3,650.1,689,722.4,744.2,780,824.3,882.6,931,990.1,1054.9,1135.9,1236.6,1317.7,1368,1422.4,1509.3,1635.3,1765,1865,1936.9,1925.7,1923.5,1974.4,2049.3,2141.7
"14","7","    Domestic business","W276RC1",74.2,81.8,89.4,97.2,108.2,126.1,147.9,162.2,181.5,205.5,236.4,272.8,313.5,347.5,362.8,382.7,410.3,438.1,464.5,498.4,531.8,563.9,591.8,607.9,634.2,669,717.8,758.4,807.9,860.4,925,1006.5,1067.5,1101.4,1131.6,1185.9,1273.2,1368.8,1451.2,1522.3,1522.4,1523,1571.6,1639.4,1707.6
"15","8","      Capital consumption allowances","Y0000C1",79.7,85.9,92.3,102.3,111.9,123.9,135.9,147.4,167,189.4,216.1,245.8,301.2,343.1,385.6,435.6,493.5,512,533.1,563.7,589.5,596,611.6,628.4,658.9,701.6,753.9,808.3,877,941.4,1023.8,1096.1,1180.1,1284.9,1305.4,1335.4,1174.2,1250,1330,1584.7,1558.6,1599.9,1837.2,1595,1674
"16","9","      Less: Capital consumption adjustment","Y0004C1",5.5,4.1,2.9,5.2,3.7,-2.2,-12,-14.8,-14.5,-16.2,-20.2,-26.9,-12.3,-4.4,22.8,52.9,83.2,73.9,68.6,65.3,57.7,32.1,19.8,20.5,24.7,32.6,36.2,50,69.1,81,98.9,89.5,112.6,183.5,173.9,149.4,-99,-118.8,-121.2,62.4,36.2,76.9,265.7,-44.4,-33.6
"17","10","    Households and institutions","W279RC1",15.2,16.5,18.2,20.3,23.3,27,30.9,34.3,39.6,46.6,54.4,62.2,68.5,72.9,76,80.9,86.2,93.4,101.8,109.9,118.2,125.1,130.6,136.3,145.7,155.3,164.8,172.7,182.1,194.5,210.9,230.1,250.2,266.6,290.8,323.4,362.1,396.2,413.7,414.6,403.3,400.5,402.9,409.9,434.1
"18","11","  Government","A264RC1",35.4,38.5,41.2,43.4,46.6,53,58.7,62.7,67.2,72.9,80.4,91,103.1,113.9,121.8,130.8,140.2,150.6,161.6,174.1,186,197.8,208.8,215.6,223.6,231.2,240.2,245,249.9,255.3,264.9,277.7,286.3,294.1,304.9,322.4,346.7,371,399.4,426.5,442.7,458.1,478.1,493.6,505.2
"19","12","    General government","A265RC1",33.2,36.1,38.4,40.3,43.1,48.7,53.7,57.2,61.2,66.3,72.8,82.3,93.1,103.1,110.3,118.7,127.3,136.8,147,158.5,169.3,180,189.9,195.8,202.5,208.9,216.6,220.4,224.6,228.9,236.9,247.7,254.9,261.2,270.3,284.9,305.6,326.6,351.4,375.5,390.3,403.8,421.2,434.2,443.1
"20","13","    Government enterprises","A266RC1",2.2,2.5,2.8,3.1,3.5,4.3,5.1,5.5,6,6.7,7.6,8.8,10,10.9,11.5,12.2,12.9,13.8,14.6,15.6,16.7,17.9,18.8,19.8,21.1,22.4,23.6,24.6,25.3,26.4,28,30,31.4,32.9,34.6,37.5,41,44.4,48,51,52.5,54.3,57,59.4,62.1
"21","14","Equals: Net national product","A027RC1",901.1,945.5,1026.5,1130.1,1263.1,1358.2,1464.4,1635.2,1817.9,2053.1,2292.9,2470.7,2758.8,2847.2,3114.7,3482.6,3735.4,3924.9,4159.7,4492.9,4846.4,5127.4,5274.5,5610.6,5907.1,6277,6570,6955.9,7392.6,7797.1,8292,8812.5,9073.1,9366.7,9853.1,10535.4,11207,11790.3,12342.4,12529.8,12196.7,12782.6,13342,13954.6,NA
"22","15","Less: Statistical discrepancy","A030RC1",1.6,5.3,9.5,7.1,6.1,7.4,13.2,20.5,19.3,23.2,44.8,43.9,36.7,6.8,54.2,38.7,51.2,76.7,40.5,-0.5,64.2,91.3,88.4,110.9,152.3,136.8,90.5,56.5,12.3,-60.2,-32.4,-94.5,-111.6,-70.1,-12.1,-6.5,-33.8,-215.3,20.2,99,72.2,43.1,-53.7,-17,NA
"23","16","Equals: National income","A032RC1",899.5,940.1,1017,1123,1257,1350.8,1451.1,1614.8,1798.7,2029.9,2248.2,2426.8,2722.1,2840.4,3060.5,3444,3684.2,3848.2,4119.2,4493.4,4782.2,5036.1,5186.1,5499.7,5754.8,6140.2,6479.5,6899.4,7380.4,7857.3,8324.4,8907,9184.6,9436.8,9865.1,10541.9,11240.8,12005.6,12322.3,12430.8,12124.5,12739.5,13395.7,13971.6,NA
"24",NA,"Less:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","17","  Corporate profits with inventory valuation and capital consumption adjustments","A051RC1",98.4,86.2,100.6,117.2,133.4,125.7,138.9,174.3,205.8,238.6,249,223.6,247.5,229.9,279.8,337.9,354.5,324.4,366,414.9,414.2,417.2,451.3,475.3,522,621.9,703,786.1,865.8,804.1,830.2,781.2,754,907.2,1056.4,1283.3,1477.7,1646.5,1529,1285.1,1392.6,1740.6,1877.7,2009.5,NA
"26","18","  Taxes on production and imports less subsidies \1\","W254RC1",79.3,86.6,95.8,101.3,112,121.6,130.8,141.3,152.6,162,171.6,190.5,224.2,225.9,242,268.7,286.8,298.5,317.3,345,371.4,398,429.6,453.3,466.4,512.7,523.1,545.5,577.8,603.1,628.4,662.7,669,721.2,758.9,817.6,873.6,940.5,980,989.4,967.8,1001.2,1037.2,1065.6,1089.3
"27","19","  Contributions for government social insurance, domestic","A061RC1",44.1,46.4,51.2,59.2,75.5,85.2,89.3,101.3,113.1,131.3,152.7,166.2,195.7,208.9,226,257.5,281.4,303.4,323.1,361.5,385.2,410.1,430.2,455,477.4,508.2,532.8,555.1,587.2,624.7,661.3,705.8,733.2,751.5,779.3,829.2,873.3,922.6,961.4,988.2,964.4,984.1,918.2,950.7,1106.1
"28","20","  Net interest and miscellaneous payments on assets","W255RC1",33.6,40.5,45.2,49.3,57.2,73.5,85.9,89.9,105.9,118.8,141,186.2,238.4,277.5,291.8,336.1,348,365.2,369.5,394.7,442.7,450.1,408.5,383.7,371.4,365.9,376.5,381.9,414.7,477.8,488,565,566.4,490.5,466.2,403.5,496.8,580.9,663.4,693.4,563.1,489.4,456.9,439.6,469.1
"29","21","  Business current transfer payments (net)","B029RC1",4.8,4.4,4.2,4.8,5.7,6.8,9,9.1,8.1,10.4,12.8,14,16.9,19.3,21.7,29.2,34.1,36,33.3,32.8,38.3,39.2,38.9,39.7,39.4,40.7,45,52.6,50.1,64.1,67.8,85.3,99.1,80.7,76.3,81.4,93.9,82.6,98.6,116.4,127.2,128.5,129.6,106.9,124.3
"30","22","  Current surplus of government enterprises \1\","A108RC1",0,-1.2,-1.7,-1.2,-2.2,-2.7,-4.4,-2.7,-3.3,-2.8,-3.2,-5.1,-5.2,-3.8,-2.3,-1.4,1.3,2,2.2,5,6.7,3.2,7.8,9.9,10.8,11.8,15.6,16.9,17.5,16.3,16.2,10.7,5.2,7,3.9,-1.8,-6.4,-9.3,-16.4,-21.2,-20.6,-22.9,-23.8,-27.7,-39.7
"31","23","Plus: Personal income receipts on assets","W210RC1",98.7,112.7,122.3,133.3,150.6,175.4,195.3,212.6,243.4,278,318.3,386,472.9,541.3,584.3,665.1,712.8,755.3,779.9,839.4,951.9,991.2,985.5,982.1,988.6,1029.4,1114,1176.5,1258.5,1342.5,1329.7,1453.5,1441.3,1390.4,1420.5,1503.7,1666.5,1938.4,2166.6,2167.1,1811.8,1739.6,1884.6,1958.5,1997.8
"32","24","Plus: Personal current transfer receipts","A577RC1",62.3,74.7,88.1,97.9,112.6,133.3,170,184,194.2,209.6,235.3,279.5,318.4,354.8,383.7,400.1,424.9,451,467.6,496.5,542.6,594.9,665.9,745.8,790.8,826.4,878.9,924.1,949.2,977.9,1021.6,1083,1188.1,1280.3,1342.9,1416.7,1512,1609.6,1722.8,1884,2140.2,2276.9,2306.9,2358.3,2444.6
"33","25","Equals: Personal income","A065RC1",800.3,864.6,932.1,1023.6,1138.5,1249.3,1366.9,1498.1,1654.2,1859.5,2077.9,2316.8,2595.9,2778.8,2969.7,3281.3,3515.9,3725.1,3955.3,4275.3,4618.2,4904.5,5071.1,5410.8,5646.8,5934.7,6276.5,6661.9,7075,7587.7,7983.8,8632.8,8987.1,9149.5,9487.6,10049.2,10610.3,11389.8,11995.7,12430.6,12082.1,12435.2,13191.3,13743.8,14135.2
"34",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","26","  Gross domestic income","A261RC1",1018.3,1070.5,1158.3,1275.3,1422.4,1541.4,1675.7,1857.1,2066.7,2333.4,2587.4,2818.6,3174.2,3338.2,3584,4002,4295.5,4513.4,4829.7,5253.1,5593.5,5888.2,6085.7,6428.4,6726.4,7171.9,7573.5,8043.6,8596.2,9149.3,9698.1,10384.3,10736.8,11050.3,11524.3,12283.5,13129.2,14073.2,14460.1,14621.2,14345.7,14915.2,15587.5,16261.6,NA
"36","27","  Gross national income","A023RC1",1024.4,1076.9,1165.9,1283.9,1435.1,1556.9,1688.7,1874,2087,2355,2619.3,2852.8,3207.2,3374.7,3621.1,4038.3,4320.8,4530.4,4847.2,5275.8,5618.3,5922.9,6117.3,6459.5,6758.4,7195.8,7602.3,8075.4,8620.3,9167.6,9725.3,10421.3,10788.6,11098.9,11592.3,12373.6,13222.7,14141.6,14586.6,14794.2,14492.9,15121.1,15848.3,16514.5,NA
"37","28","  Gross national factor income \2\","X023RC1",940.3,987.1,1067.6,1179,1319.5,1431.2,1553.2,1726.3,1929.7,2185.5,2438.2,2653.3,2971.3,3133.3,3359.7,3741.8,3998.7,4194,4494.4,4893,5201.9,5482.5,5640.9,5956.5,6241.8,6630.5,7018.6,7460.4,7975,8484.1,9012.9,9662.5,10015.3,10290,10753.2,11476.5,12261.6,13127.9,13524.5,13709.6,13418.5,14014.3,14705.2,15369.6,NA
"38","29","  Net domestic product","A362RC1",895,939.1,1018.9,1121.6,1250.5,1342.7,1451.4,1618.4,1797.6,2031.5,2261,2436.5,2725.9,2810.7,3077.6,3446.4,3710.1,3908,4142.3,4470.2,4821.6,5092.7,5242.9,5579.5,5875.1,6253.2,6541.2,6924.1,7368.5,7778.9,8264.8,8775.5,9021.3,9318.1,9785,10445.3,11113.5,11721.9,12216,12356.9,12049.6,12576.7,13081.3,13701.7,14150.6
"39","30","  Net domestic income","W256RC1",893.4,933.8,1009.4,1114.4,1244.4,1335.2,1438.1,1597.9,1778.4,2008.4,2216.2,2392.6,2689.2,2803.9,3023.4,3407.7,3658.8,3831.2,4101.7,4470.7,4757.4,5001.4,5154.5,5468.7,5722.8,6116.4,6450.7,6867.6,7356.3,7839,8297.3,8870,9132.8,9388.2,9797.1,10451.8,11147.3,11937.1,12195.8,12257.9,11977.3,12533.6,13134.9,13718.8,NA
"40","31","  Net national factor income \3\","X032RC1",815.4,850.4,918.7,1018.1,1141.5,1225.1,1315.7,1467.1,1641.3,1860.5,2067,2227.3,2486.2,2599,2799.2,3147.5,3362,3511.8,3766.5,4110.6,4365.8,4595.7,4709.8,4996.8,5238.2,5575,5895.8,6284.3,6735.1,7173.8,7612,8148.3,8411.4,8628,9026,9644.8,10279.6,10991.8,11260.2,11346.2,11050.2,11632.7,12252.7,12826.8,NA
"41","32","  Net domestic purchases","W367RC1",893.6,935.2,1018.3,1124.9,1246.4,1343.5,1435.4,1620,1820.7,2056.9,2283.6,2449.6,2738.4,2830.6,3129.2,3549.1,3824.1,4039.9,4287,4579.6,4908.3,5170.6,5271.5,5614.3,5940.3,6345.7,6631,7020.6,7470.5,7941.6,8526.3,9155.6,9390.3,9743.2,10285.9,11060.1,11829.2,12484.3,12925.8,13070.1,12441.8,13095.1,13650,14248.9,14647.9
"42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","1. Prior to 1959, current surplus of government enterprises (line 22) is not shown separately;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","subsidies are included net of the current surplus of government enterprises in line 18.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2. Consists of compensation of employees, proprietors' income with inventory valuation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","adjustment (IVA) and capital consumption adjustment (CCAdj), rental income of persons with",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","CCAdj, corporate profits with IVA and CCAdj, net interest and miscellaneous payments, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","consumption of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","3. Consists of gross national factor income less consumption of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
