"","Table 7#18# Relation of Wages and Salaries in the National Incom","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34"
"11","3","  Adjustment for wages and salaries not covered or not fully covered by unemployment insurance","W873RC1",82.7,87.5,98.5,104.8,109,115,122.9,129.7,136.4,145,140.3,149.9,156.4,154.1,152.3,150.4,159.8,164.7,177.7,193.8,214.7,241.8,261.3,270.8,292.2,304.5,320.3,323.3,332.2,343.3,355.4
"12","4","    Government","W787RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.9,70.3,72.1,70.9,69.7,71.9,75.9,79.7,78.9,89.5,102.9,110.7,119.9,123.2,128.6,137.4,145.1,149,150,149.9
"13","5","    Other","W786RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,86.1,82,81.4,80.7,87.9,88.8,98,114.9,125.1,138.9,150.5,151,168.9,175.9,182.9,178.1,183.2,193.3,205.5
"14","6","  Timing adjustment for accrual basis","Y663RC1",0,-0.4,0.2,-0.2,0,0,0,0,0.1,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","7","Equals: Wages and salaries, NIPAs","A576RC1",1587.5,1677.5,1844.9,1982.6,2102.3,2256.3,2439.8,2583.1,2741.2,2814.5,2965.5,3079.3,3236.6,3418,3616.5,3876.8,4181.6,4458,4825.9,4954.4,4996.4,5138.8,5422.9,5692.9,6058.2,6396,6532.8,6252.2,6377.5,6638.7,6926.8
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","1. Total annual wages of workers covered by state unemployment insurance (UI) laws and by the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Unemployment Compensation for Federal Employees program.  Data for the most recent year are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","preliminary.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2. Consists of unreported wages and salaries paid by employers and of unreported tips.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","BLS Bureau of Labor Statistics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","NIPAs National income and product accounts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
