"","Table 7#14# Chain-Type Quantity and Price Indexes for Gross Dome","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77"
"14","6","  Farm","B359RA",31.84,30.01,35.46,34.52,33.17,26.73,32.73,28.47,34.26,33.35,36.85,32.74,36.45,39.38,38.4,37.94,37.71,38.05,34.49,39.51,38.05,40.03,38.02,39.94,41.84,43.3,44.29,44.3,42.62,43.93,43.63,45.81,46.11,45.24,46.51,44.97,47.46,45.97,49.01,47.39,48.71,50.27,52.45,52.44,52.15,51,60.17,57.77,60.7,58.72,63.28,61.24,78.74,82.16,54.74,73.13,87.51,84.05,85.45,76.2,86.2,91.28,92.86,103.76,93.04,108.75,92.69,100,112.37,108.77,117.23,130.69,124,124.46
"15","7","Households and institutions","B193RA",20.25,19.59,18.28,16.7,16.12,17.19,17.72,18.58,19.31,18.59,19.31,20.72,20.75,21.35,19.7,19.57,19.56,19.69,21.03,22.58,23.19,24.62,25.08,24.93,25.59,25.83,28.49,30.03,30.77,32.23,33.17,35.43,35.7,37,37.9,38.98,40.41,41.88,43.26,44.56,45.99,45.55,46.56,47.89,49.02,49.4,50.99,51.59,53.08,54.05,55.22,56.82,58.11,59.8,61.11,62.6,64.53,67.71,71.09,76.16,80.26,83.63,86.32,88.53,91.72,94.93,97.97,100,103.44,106.7,108.78,111.56,114.39,116.95
"16","8","  Private households","B701RA",253.31,236.37,210.2,180.14,171.12,193.82,202.77,215.82,228.33,208.27,223.33,234.26,221.26,225.32,186.74,178.28,176.23,162.56,173.77,170.68,170.17,185.3,182.33,167.64,164.59,155.23,183.91,192.32,188.44,192.8,188.16,189.47,183.98,182.62,180.25,178.34,172.48,165.63,166.54,158.37,149.93,140.42,134.15,130.1,126.26,109.23,102.48,105.6,107.26,110.45,98.02,86.79,80.61,77.34,76.19,86.2,84.23,86.79,84.87,88.61,92.57,94.9,87.41,93.96,97.09,98.45,101.87,100,97.71,110.4,97.57,99.77,84.25,73.59
"17","9","  Nonprofit institutions","B702RA",8.06,8.2,8.09,7.83,7.65,7.76,7.89,8.16,8.32,8.45,8.52,9.35,9.92,10.31,10.6,10.95,11.07,12.16,12.97,14.94,15.66,16.35,17.03,17.73,18.65,19.46,20.74,21.94,22.97,24.32,25.59,27.97,28.56,30.02,31.12,32.36,34.18,36.09,37.51,39.29,41.22,41.21,42.57,44.15,45.51,46.68,48.66,49.15,50.63,51.49,53.33,55.56,57.21,59.13,60.57,61.68,63.78,67,70.59,75.71,79.82,83.23,86.28,88.34,91.53,94.81,97.83,100,103.64,106.56,109.18,111.99,115.49,118.53
"18","10","General government \3\","B765RA",13.53,14.17,14.42,14.23,15.01,16.95,18.07,21.14,20.16,21.75,22.16,23.2,28.56,43.71,71.9,87.3,87.65,47.57,37.45,35.78,35.56,35.99,42.93,46.54,47.4,47.44,47.6,48.48,49.48,49.96,50.66,52.41,54.29,56.41,58.09,60.06,62.07,65.96,69.49,72.25,74.13,74.44,74.62,74.57,74.89,76.35,77.52,78.12,78.84,80.31,81.13,82.26,82.69,83.49,84,85.01,87.41,89.55,91.5,93.86,96.08,98.51,99.44,99.59,99.73,99.67,99.78,100,100.95,102.21,103.34,105.5,107.69,110.15
"19","11","  Federal","B766RA",9.11,9.77,9.36,8.94,11.02,14.68,16.27,26.83,23.25,26.28,26.79,29.29,44.74,90.49,175.75,222.85,223.12,104.8,73.86,67.99,64.69,64.51,84.66,94.31,94.74,92.39,90.2,89.25,88.93,86.43,85.75,87.42,89.32,93.04,93.87,94.72,95.36,101.65,108.36,110.32,110.79,106.18,101.5,96.87,93.4,92.95,92.29,92.25,92.2,93.26,93.04,94.41,95.81,97.22,99.39,101.53,104.34,106.14,108.9,110.2,111.5,113.49,114.14,111.72,109.47,106.11,102.42,100,98.6,98.02,97.66,99.12,99.77,101.9
"20","12","  State and local","B767RA",14.84,15.43,15.96,15.89,16,16.97,17.8,16.85,17.35,18.07,18.4,18.63,18.78,18.53,18.07,17.66,18.02,18.96,20.19,20.72,22.09,22.85,23.46,24.23,25.29,26.41,27.64,29.37,30.98,32.87,34.23,36.05,37.91,39.29,41.34,43.82,46.48,49.24,51.31,54.39,56.87,59.39,61.81,63.97,66.18,68.58,70.67,71.6,72.7,74.39,75.72,76.74,76.7,77.2,76.88,77.34,79.56,81.86,83.44,86.29,88.94,91.58,92.63,93.96,95.2,96.66,98.54,100,102.05,104.18,106,108.5,111.4,114.01
"21",NA,"Chain-type price indexes"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","13","      Gross domestic product","B191RG",12.62,12.13,10.91,9.67,9.42,9.89,10.07,10.19,10.56,10.35,10.21,10.29,10.96,11.86,12.52,12.81,13.15,14.71,16.32,17.26,17.27,17.41,18.6,18.98,19.24,19.45,19.74,20.41,21.13,21.64,21.88,22.19,22.43,22.74,22.99,23.34,23.77,24.45,25.21,26.29,27.59,29.05,30.52,31.81,33.6,36.6,40.03,42.29,45.02,48.22,52.24,57.05,62.37,66.26,68.87,71.44,73.69,75.32,77.58,80.22,83.27,86.53,89.66,91.85,94.05,96.01,98.1,100,101.95,103.2,104.69,106.89,109.42,110.66
"23","14","Business \1\","B195RG",15.61,14.97,13.36,11.75,11.43,12.01,12.27,12.37,12.84,12.54,12.36,12.49,13.4,14.5,15.29,15.47,15.58,16.68,18.63,19.8,19.68,19.86,21.27,21.64,21.89,22.06,22.28,23,23.76,24.24,24.41,24.69,24.89,25.15,25.31,25.59,25.99,26.62,27.34,28.37,29.65,30.94,32.28,33.38,35.1,38.33,41.94,44.14,46.91,50.25,54.48,59.44,64.92,68.77,71.2,73.35,75.46,76.91,78.95,81.53,84.57,87.68,90.62,92.47,94.52,96.31,98.32,100,101.87,102.9,104.05,105.93,108.23,109.04
"24","15","  Nonfarm \2\","B358RG",15.37,14.95,13.69,12.26,11.81,12.18,12.22,12.26,12.68,12.62,12.59,12.58,13.32,14.13,14.69,14.86,14.91,15.81,17.55,18.76,18.97,19.14,20.28,20.81,21.27,21.54,21.86,22.61,23.36,23.76,24.02,24.31,24.51,24.74,24.93,25.23,25.58,26.15,26.96,27.97,29.2,30.51,31.84,32.8,33.99,37.3,41.17,43.42,46.27,49.4,53.55,58.74,64.35,68.46,70.75,72.86,75.31,76.82,78.87,81.36,84.38,87.55,90.68,92.58,94.64,96.5,98.5,100,102.11,103.23,104.55,106.53,108.78,109.63
"25","16","    Nonfarm less housing","B498RG",15.11,14.7,13.4,12,11.71,12.31,12.34,12.36,12.77,12.66,12.62,12.61,13.4,14.25,14.86,15.04,15.09,16.06,17.91,19.14,19.32,19.46,20.64,21.15,21.57,21.8,22.13,22.92,23.71,24.11,24.37,24.65,24.85,25.08,25.27,25.58,25.94,26.54,27.4,28.45,29.74,31.08,32.43,33.38,34.58,38.15,42.24,44.5,47.36,50.6,54.9,60.24,65.95,70,72.14,74.13,76.4,77.58,79.49,81.86,84.86,87.94,91.15,92.96,94.98,96.77,98.66,100,102.05,102.93,104.09,105.94,107.97,108.4
"26","17","    Housing","B499RG",17.8,17.31,16.36,14.66,13.14,11.88,11.88,12.19,12.75,13.13,13.15,13.2,13.45,13.69,13.68,13.71,13.76,13.82,14.25,15.2,15.89,16.47,17.17,17.89,18.89,19.56,19.84,20.21,20.57,20.96,21.24,21.55,21.81,22.07,22.3,22.52,22.74,23.07,23.47,24.06,24.83,25.87,27.09,28.02,29.25,30.32,32.37,34.52,37.34,39.61,42.49,46.42,51.21,55.75,59.08,62.21,66.13,70.24,73.54,76.99,80.19,84.18,86.61,89.26,91.57,94.07,97.06,100,102.72,106.15,108.92,112.2,116.62,121.65
"27","18","  Farm","B359RG",32.9,27.62,19.2,14.06,15.03,18.95,23.1,24.38,26.07,21.29,18.53,21.36,26.55,35.89,43.23,43.83,45.96,53.73,63.44,63.86,53.25,53.81,65.38,60.13,52,48.93,45.64,45.13,46.58,50.52,46.99,46.92,47.2,48.4,47.52,46.46,50.02,53.95,49.21,51.94,56.02,56.54,58.05,67.49,103.48,100.71,87.94,87.16,84.36,101.13,110.48,99.38,96.29,86,97.41,101.65,83.17,81.26,82.6,90.82,95.93,94.56,85.51,84.12,85.76,83.36,85.65,100,85.2,80.35,69.57,64.58,70.5,68
"28","19","Households and institutions","B193RG",4.06,3.89,3.58,3.22,2.98,3.01,3.05,3.16,3.38,3.32,3.38,3.37,3.5,3.92,4.72,5.45,6.04,6.55,7.01,7.12,7.34,7.52,7.92,8.34,8.75,9.02,9.18,9.42,9.86,10.27,10.73,11.25,11.62,12.12,12.61,13.15,13.71,14.56,15.51,16.8,18.39,20.41,21.93,23.33,25.17,27.38,29.24,31.72,33.71,37,40.15,43.96,48.18,51.93,55.95,60.12,62.67,65.13,69.95,73.5,76.71,81.63,85.6,90.59,92.91,94.68,96.73,100,100.75,103.19,106.33,110.86,115.28,119.24
"29","20","  Private households","B701RG",5.65,5.23,4.55,3.86,3.57,3.66,3.75,3.92,4.34,4.1,4.22,4.34,4.67,5.47,7.14,8.83,10.14,10.88,11.27,11.53,11.53,11.56,12.16,12.99,13.62,13.79,13.82,14.15,14.68,15.13,15.72,16.69,16.9,17.36,17.7,18.28,19.16,20.22,20.91,23.01,24.65,26.69,28.27,29.68,31.78,34.98,37.66,42.67,46.04,49.29,54.18,58.55,63.66,67.29,68.67,70.44,72.58,74.16,75.64,78.13,80.27,82.3,86.96,89.78,92.1,93.84,97.18,100,102.57,105.44,108.49,113.22,117.43,121.68
"30","21","  Nonprofit institutions","B702RG",4.22,4.23,4.15,3.93,3.67,3.64,3.65,3.74,3.86,3.96,3.99,3.86,3.87,4.14,4.6,4.96,5.29,5.79,6.39,6.44,6.79,7.06,7.44,7.76,8.15,8.47,8.69,8.93,9.39,9.82,10.28,10.73,11.16,11.7,12.25,12.81,13.34,14.19,15.21,16.42,18.05,20.11,21.67,23.09,24.94,27.09,28.9,31.22,33.12,36.45,39.5,43.3,47.49,51.25,55.39,59.67,62.25,64.75,69.72,73.31,76.57,81.6,85.55,90.62,92.94,94.71,96.71,100,100.68,103.12,106.25,110.78,115.2,119.16
"31","22","General government \3\","B765RG",4.22,4.18,4.17,3.99,4.03,4.22,4.21,4.34,4.39,4.47,4.39,4.32,4.32,4.64,4.84,5.16,5.68,7.63,8.2,8.41,8.79,8.78,9.18,9.57,9.8,10.1,10.6,11.17,11.69,12.31,12.69,13.05,13.41,13.82,14.33,14.89,15.39,16.18,16.99,18.16,19.36,21.31,23.18,25.3,27.27,29.31,32.12,34.54,37.14,39.58,42.62,46.78,51.44,55.52,58.65,63.14,66.14,68.61,71.34,74.11,77.15,80.8,84.8,88.1,91.3,94.35,97.07,100,102.99,105.49,109,112.88,116.48,120
"32","23","  Federal","B766RG",4.21,4.01,4.18,4.17,4.28,4.55,4.36,5,5,5.11,4.93,4.65,4.51,4.85,5.01,5.35,5.95,8.36,8.86,8.64,9.15,8.97,9.16,9.46,9.64,9.85,10.48,11.06,11.54,12.36,12.76,13,13.24,13.5,14.07,14.76,15.29,15.96,16.35,17.59,18.67,20.84,23.12,25.99,27.97,30.03,33.04,35.44,38.4,40.76,43.67,47.94,53.03,57.45,59.61,65.43,67.7,69.02,70.59,73.29,76.03,78.38,82.76,86.68,89.78,92.77,95.89,100,102.61,104.3,107.85,111.74,114.23,119.51
"33","24","  State and local","B767RG",4.44,4.45,4.39,4.16,4.17,4.36,4.41,4.26,4.34,4.4,4.39,4.46,4.6,4.89,5.27,5.57,5.82,6.33,7.05,7.96,8.16,8.37,9.11,9.64,9.96,10.4,10.7,11.26,11.81,12.19,12.54,13.02,13.52,14.11,14.55,14.95,15.43,16.33,17.55,18.65,19.97,21.71,23.26,24.82,26.79,28.8,31.49,33.91,36.29,38.78,41.88,45.97,50.35,54.22,57.93,61.59,65.03,68.2,71.65,74.45,77.68,82.09,85.86,88.8,92.04,95.13,97.64,100,103.16,106.04,109.52,113.41,117.47,120.26
"34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35"," 1. Equals gross domestic product less gross product of households and institutions and of general government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36"," 2. Equals gross domestic business product less gross farm product.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37"," 3. Equals compensation of general government employees plus general government consumption of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
