"","Table 6#18C# Federal, State, and Local Corporate Profits Tax Lia","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18"
"31","24","      Miscellaneous manufacturing industries","B3124C0C",784,905,853,829,947,865,1394,1267,1486,1215,1184,1114,1015,NA,NA
"32","25","    Nondurable goods","A3125C0C",25041,29587,28724,29313,24420,25251,25196,31208,34812,36299,38427,32647,37903,43357,31022
"33","26","      Food and kindred products","B3126C0C",5560,6217,6500,5873,6539,6492,6162,7447,7890,8028,8620,7506,11037,NA,NA
"34","27","      Tobacco products","B3127C0C",624,848,1219,1386,1000,1034,766,979,1058,1018,948,671,1818,NA,NA
"35","28","      Textile mill products","B3128C0C",810,774,517,428,511,879,807,771,625,704,661,660,634,NA,NA
"36","29","      Apparel and other textile products","B3129C0C",576,542,597,557,649,843,869,944,835,842,802,737,612,NA,NA
"37","30","      Paper and allied products","B3130C0C",2284,3017,2945,2330,1769,1608,1681,2428,3354,2270,2405,1590,2035,NA,NA
"38","31","      Printing and publishing","B3131C0C",3770,3932,3584,3063,2528,3050,3215,3980,3559,4590,4727,5153,5234,NA,NA
"39","32","      Chemicals and allied products","B3132C0C",7193,7821,7318,7734,6827,7377,7185,10478,12394,11689,13712,11762,12267,NA,NA
"40","33","      Petroleum and coal products","B3133C0C",2931,5468,5209,7163,3783,3048,3454,3004,4007,5980,5111,3238,2900,NA,NA
"41","34","      Rubber and miscellaneous plastics products","B3134C0C",1110,782,690,634,651,741,907,1052,936,1087,1307,1193,1305,NA,NA
"42","35","      Leather and leather products","B3135C0C",183,186,145,145,163,179,150,125,154,91,134,137,61,NA,NA
"43","36","  Transportation and public utilities","A3136C0C",19370,19872,20230,20076,20272,21337,24238,28326,30601,31654,30574,33915,35945,32108,27742
"44","37","    Transportation","A3137C0C",3005,4396,3331,2927,2374,2856,3464,4186,4242,4898,5252,5624,4801,3787,2030
"45","38","      Railroad transportation","B3138C0C",851,1185,782,843,604,731,733,1163,1107,1106,672,491,397,NA,NA
"46","39","      Local and interurban passenger transit","B3139C0C",54,53,63,48,66,72,72,82,59,69,75,71,62,NA,NA
"47","40","      Trucking and warehousing","B3140C0C",609,699,806,791,880,1212,1461,1440,1243,1364,1347,2320,2202,NA,NA
"48","41","      Water transportation","B3141C0C",110,197,270,235,248,219,235,249,287,248,506,255,201,NA,NA
"49","42","      Transportation by air","B3142C0C",838,1802,874,497,91,128,431,709,986,1557,2141,1824,1369,NA,NA
"50","43","      Pipelines, except natural gas","B3143C0C",368,294,285,268,261,254,269,260,292,292,252,305,251,NA,NA
"51","44","      Transportation services","B3144C0C",175,166,251,245,224,240,263,283,268,262,259,358,319,NA,NA
"52","45","    Communications","A3145C0C",7700,7464,8153,8183,8033,8711,10488,12067,12294,13352,11755,14252,15438,16306,13418
"53","46","      Telephone and telegraph","B3146C0C",7015,6192,6884,7254,7447,7865,9123,10243,10567,12513,10464,12842,11314,NA,NA
"54","47","      Radio and television","B3147C0C",685,1272,1269,929,586,846,1365,1824,1727,839,1291,1410,4124,NA,NA
"55","48","    Electric, gas, and sanitary services","B3148C0C",8665,8012,8746,8966,9865,9770,10286,12073,14065,13404,13567,14039,15706,12015,12294
"56","49","  Wholesale trade","B3149C0C",7755,7002,6739,6144,5573,6562,7742,8828,9416,10548,10169,10619,12085,13874,8576
"57","50","  Retail trade","B3150C0C",9795,8838,9038,8956,8885,9834,11339,13367,12503,14012,15537,18450,19468,19577,19520
"58","51","  Finance, insurance, and real estate","A3151C0C",37118,38617,45656,47481,50136,54404,63103,60848,77610,79131,84684,90603,87659,95487,85155
"59","52","    Depository institutions","B3191C0C",26238,26674,32189,34908,33051,33853,35932,39511,49080,44517,47344,50656,49281,NA,NA
"60","53","      Federal Reserve banks","B3153C0C",17739,17364,21646,23608,20778,16774,15987,20470,23389,20083,20659,26561,25410,NA,NA
"61","54","      Commercial and mutual depository institutions","B3192C0C",8499,9310,10543,11300,12273,17079,19945,19041,25691,24434,26685,24095,23871,NA,NA
"62","55","    Nondepository institutions","B3193C0C",1248,1140,1652,2103,2407,3128,4040,4326,4530,4959,5375,4734,5523,NA,NA
"63","56","    Security and commodity brokers","B3156C0C",1018,981,702,843,1657,1998,3703,2859,3435,4798,5862,6109,10232,NA,NA
"64","57","    Insurance carriers","B3157C0C",5106,6428,7981,6899,10961,12904,16481,11172,17187,19193,20277,22775,15735,NA,NA
"65","58","    Insurance agents, brokers, and service","B3158C0C",770,640,492,585,582,553,562,807,866,911,1092,1622,1513,NA,NA
"66","59","    Real estate","B3159C0C",1264,1326,1192,825,520,957,1135,999,1090,1796,1901,2377,2312,NA,NA
"67","60","    Holding and other investment offices","B3160C0C",1474,1428,1448,1318,958,1011,1250,1174,1422,2957,2833,2330,3063,NA,NA
"68","61","  Services","A3161C0C",5238,5000,6112,5482,5419,6515,8174,10587,10547,12246,13894,14120,16096,12782,5465
"69","62","    Hotels and other lodging places","B3162C0C",255,285,241,179,174,301,431,656,637,730,1161,926,1040,NA,NA
"70","63","    Personal services","B3163C0C",263,266,352,365,341,405,434,454,456,367,625,1003,516,NA,NA
"71","64","    Business services","B3164C0C",1800,1828,2007,1839,1680,2307,2737,3199,3898,4915,6221,6029,8589,NA,NA
"72","65","    Auto repair, services, and parking","B3165C0C",205,301,251,276,188,266,362,352,263,305,301,357,422,NA,NA
"73","66","    Miscellaneous repair services","B3166C0C",79,79,106,111,128,131,113,120,134,165,199,143,148,NA,NA
"74","67","    Motion pictures","B3167C0C",155,184,1013,169,61,156,180,232,231,339,350,829,419,NA,NA
"75","68","    Amusement and recreation services","B3168C0C",269,450,551,463,403,513,570,629,578,834,1535,565,457,NA,NA
"76","69","    Other services","A3169C0C",2212,1607,1591,2080,2444,2436,3347,4945,4350,4591,3502,4268,4505,NA,NA
"77","70","      Health services","B3170C0C",1451,1014,987,1244,1742,1636,2338,3767,2948,3017,1711,2062,1984,NA,NA
"78","71","      Legal services","B3171C0C",231,91,66,56,31,35,55,197,207,215,207,210,203,NA,NA
"79","72","      Educational services","B3172C0C",67,61,57,86,49,75,81,80,122,126,116,185,186,NA,NA
"80","73","      Other \1\","B3173C0C",463,441,481,694,622,690,873,901,1073,1233,1468,1811,2132,NA,NA
"81","74","Rest of the world","B3174C0C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"82",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83"," 1. Consists of social services; membership organizations;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","engineering and management services, except for commercial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","research and testing services and for management and public",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","relations; and services, not elsewhere classified.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","  Note.  Estimates in this table are based on the 1987 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
