"","Table 3#18B# Relation of Federal Government Current Receipts and","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37"
"38","29","        Net investment \10\","M318291B",3.4,1.1,-0.4,-2.1,-2.9,-3.1,-3.3,-1.4,-0.7,0.4,0.2,3.5,5,6.5,7.6,12.3,16.5,24,26.8,29.6,21.9,19.6,19.7,16.9,12.7,8.3,1.4,-0.4,0.5,-5.6,-2.8,-0.2,1.1,-0.1
"39","30","        Capital transfers paid \11\","M318301B",5.2,6.1,5.6,5.5,5.8,6.3,7.1,8.3,9.9,11.3,11.3,13.5,16,16.5,14.8,15.2,16.9,18.8,20.8,18.9,19.5,19.5,20.7,21.4,21.8,23.2,24.6,27.1,27.6,28.8,28.2,31.3,35,39.7
"40","31","        Financial transactions","M318311B",8.2,3.2,3.7,2.4,3.5,1.2,4.9,11.5,11,12.4,20.6,20.1,25.2,30.8,28.7,15.6,13.7,29.6,14.2,1.8,11.9,23.3,55.9,80.1,9.5,-20.2,-1.5,-7.1,2,8,5.7,16.8,2.3,13.5
"41","32","          Loan disbursements less loan repayments and sales","M318321B",7.7,3.2,3.6,2.4,3.3,1.2,4.8,11.7,10.9,12.7,21.3,20.2,25.7,29.5,26.8,19.6,15.6,26,12.6,-0.1,0.1,12.1,5.5,12.9,4.5,4.2,1.6,15.1,15.3,22.4,11.3,26.5,8.2,21.6
"42","33","          Deposit insurance","B1069C1B",0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,1.3,1.5,2.3,0.7,-3.8,-1.7,1.6,23.8,57.9,69.6,5.5,-22.8,-1.7,-14.8,-7.7,-9.9,-3.1,-2.9,-2.2,-0.8
"43","34","          Net purchases of foreign currency","M318341B",0.7,0.3,0.3,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44","35","          Other","M318351B",-0.2,-0.3,-0.3,-0.3,0.1,0,0,-0.3,0.1,-0.3,-0.6,-0.2,-0.5,0.4,0.7,-5.4,-4.1,2.9,5.4,3.5,10.2,-12.6,-7.5,-2.4,-0.5,-1.5,-1.4,-7.4,-5.6,-4.6,-2.5,-6.8,-3.7,-7.4
"45","36","        Net purchases of nonproduced assets","M318361B",-0.6,-0.1,0,-0.7,0.2,-2.4,-6,-1.6,-1,-1.4,-0.9,-1.5,-2.4,-7.6,-2.2,-7.3,-3.3,-1.7,-1.9,-1.4,-0.1,-0.7,-1,0.2,0.2,0.2,0.2,-7.4,-0.1,-11,-5.2,-1.6,-0.3,-0.9
"46","37","          Outer Continental Shelf","M318371B",-0.9,-0.3,-0.2,-0.9,0,-2.5,-6.3,-1.9,-1.3,-1.6,-1.2,-1.9,-2.8,-7.8,-2.4,-7.5,-3.4,-1.9,-2.1,-1.6,-1.3,-0.9,-1.1,0,0,0,0,0,0,-0.2,-0.5,0,-0.2,0
"47","38","          Land and other \12\","M318381B",0.3,0.2,0.1,0.2,0.3,0.1,0.3,0.3,0.3,0.2,0.4,0.4,0.4,0.2,0.2,0.2,0.1,0.3,0.2,0.2,1.2,0.2,0.1,0.2,0.2,0.2,0.2,-7.4,-0.1,-10.8,-4.7,-1.6,0,-0.9
"48","39","        Other \13\","M318391B",-0.3,-0.1,-0.1,-0.4,-0.2,-0.3,-0.5,-0.1,-0.3,-0.2,-0.4,0.3,0,-0.4,-0.8,-0.1,0,0,0,0,-0.2,-0.1,-0.1,-0.1,0,-0.1,-0.1,0,0,0,0,0,0,0
"49","40","      Netting and grossing differences","M318401B",-1.3,-2.1,-2.4,-2.4,-2.9,-3,-2.9,-3.9,-4.2,-5.3,-4.1,-4.4,-4.6,-6,-11.6,-12,-14.7,-17.3,-15.3,-15.6,-18.9,-20.9,-23.2,-27.3,-32.8,-37.5,-39.2,-37.3,-37,-41.6,-40.8,-41.6,-45.4,-49.9
"50","41","        Supplementary medical insurance premiums","M318411B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.9,-4.3,-4.9,-5.6,-5.7,-6.5,-8.8,-11.6,-11.6,-12.2,-13.2,-15.3,-17.8,-20.2,-20,-20.4,-20.7,-21.6,-21.9,-23.7
"51","42","        Taxes received from the rest of the world \5\","B1068C1B",0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.6,0.7,0.9,1.1,1.5,1.6,1.4,1.3,1.3,1.7,1.8,2,2.4,2.6,2.8,2.9,2.6,2.7,3,3.7,4.7,5.1,5.2,6.2,6.7,7.2
"52","43","        Other \6\","M318431B",-1.6,-2.5,-2.8,-2.8,-3.3,-3.4,-3.3,-4.3,-4.8,-6,-5,-5.5,-6.1,-7.6,-9.1,-9,-11,-13.5,-11.4,-11,-12.5,-11.9,-14.4,-17.9,-22.1,-24.9,-24.5,-20.7,-21.7,-26.2,-25.2,-26.2,-30.2,-33.4
"53","44","Plus: Timing differences","M318441B",-2,-0.9,-0.6,-0.2,-0.9,2.1,0.3,-0.5,0.7,1.4,0.7,2.3,-2.6,-1.7,-2.7,-1,2.1,-1.4,-1.1,10.4,0.7,-4.2,11.5,0,-2.3,1.6,-4.4,2.1,14.3,-3.2,-2.1,2.5,-13.6,9.4
"54","45","        Purchases (increase in payables net of advances)","M318451B",-2.5,-1.4,-0.6,-0.3,-1.1,2.1,-0.2,-0.4,0.8,1.5,0.6,1.8,-1.8,-0.4,-1.9,-1,-0.1,-1.3,-0.2,5.7,3.8,-4.6,5.7,2.4,-0.8,0.9,0.1,1.1,7.6,-0.7,0.8,5,-5.3,5.7
"55","46","        Interest","M318461B",0.2,0.1,0,0,-0.1,0,-0.1,0,-0.1,-0.2,-0.3,-0.5,-0.7,-0.9,-1.1,-0.8,-1.3,-1.2,-1.7,0.9,-1.6,-0.8,-1.3,-4.5,-1.5,1.2,1,0.1,2.6,-1.2,-2.6,-1.4,-2.6,-1.6
"56","47","        Transfer payments","M318471B",0,0.1,0.1,0,0.1,0.2,0.5,-0.4,0,0.2,0.1,0.8,0,0.1,0.5,0.2,1.1,-0.3,0.5,2.8,-0.8,-0.2,3.4,0.4,1.4,-0.2,-4.5,-0.5,3.3,-0.9,-0.6,-1.3,-5.2,2.7
"57","48","        Subsidies less current surplus of government enterprises","M318481B",0.2,0.3,0,0,0.2,-0.2,0.1,0.4,-0.1,-0.1,0.4,0.2,0,-0.5,-0.2,0.6,2.3,1.4,0.3,1,-0.7,1.4,3.7,1.6,-1.4,-0.3,-0.9,1.4,0.9,-0.4,0.4,0.2,-0.6,2.6
"58","49","Equals: Federal Government current expenditures, national income and product accounts","M318491B",161.4,174.6,189.2,208.8,227.7,251.5,272.5,320.6,359.7,395.9,434.7,476.5,552.4,641.3,709.1,787.7,829.3,909.4,967.4,1002.4,1051,1121.8,1212.9,1256.3,1394.1,1459.7,1496,1568.6,1611.6,1663,1696.4,1735.4,1817.5,1910.2
"59",NA,"      Surplus or deficit (-)"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","50","Budget surplus or deficit (-) (1-19)","M318501B",-25.2,3.2,-2.8,-23,-23.2,-14.3,-3.5,-43.6,-65.6,-45,-48.8,-27.3,-59,-57.9,-110.7,-195.4,-178.2,-203.2,-221.1,-148.4,-154.3,-153.3,-220.5,-269.5,-290.3,-255.3,-203.1,-163.9,-107.4,-22.5,70,124.4,236.8,127
"61","51","Plus: Net investment (29)","M318511B",3.4,1.1,-0.4,-2.1,-2.9,-3.1,-3.3,-1.4,-0.7,0.4,0.2,3.5,5,6.5,7.6,12.3,16.5,24,26.8,29.6,21.9,19.6,19.7,16.9,12.7,8.3,1.4,-0.4,0.5,-5.6,-2.8,-0.2,1.1,-0.1
"62","52","Less: Net capital transfers received (5-30)","M318521B",-2.1,-2.6,-2,-1.8,-0.4,-1.4,-2,-3.7,-4.7,-4,-6.1,-8.1,-9.7,-9.8,-7,-9.2,-11,-12.5,-14,-11.6,-12.2,-10.9,-9.3,-10.4,-10.8,-10.8,-9.6,-12.6,-10.6,-9.1,-4.3,-3.6,-6.2,-11.5
"63","53","      Federal employee retirement plans (4-22)","M318531B",-0.8,-1.2,-0.8,-1,-1,-1.4,-1.9,-2,-2.6,-1.4,-2.7,-2.7,-2.7,-3.6,-3.3,-2.6,-2.2,28.7,30.9,31.5,31.9,33.1,33.1,35.3,37.4,36.5,34.8,33.5,31.5,36.2,35.9,36.6,36.3,36.5
"64","54","      Other coverage differences (3+6+7-21-27-28-31-36-39)","M318541B",-6.3,-1,-1.2,1.8,0.3,7.1,9.3,4.6,4.6,4.1,-2.7,0.6,-0.4,8.3,3.2,15.3,11.2,-23.3,-13.2,-2.9,-15.3,-26.8,-60,-85.2,-13.4,14,-1.2,14,4.7,18.4,4.5,-5.7,9.9,3.4
"65","55","      Timing differences (44-12)","M318551B",-5.1,0.3,2.3,0,-1.2,-0.4,-1,3.2,-5.7,0.9,-2.7,-1.6,2.3,5.1,5.5,-8.4,-5.4,0.1,-3.8,10.6,2.7,-8,9,-1.6,-1.3,-1.2,-5.6,-1.7,10.4,-9.5,-3.1,6.4,-4,-7.4
"66","56","Equals: Federal Government current surplus or deficit (-), national income and product accounts (18-49)","M318561B",-7.5,8.9,-1.6,-24.1,-23.9,-21.4,-11.1,-47.2,-57.9,-44.3,-34.4,-11.9,-43.5,-51.5,-101.5,-178.2,-154.3,-172.2,-194.2,-146.5,-139.4,-121.2,-173.5,-190.7,-289.7,-285.4,-220.2,-197.5,-143,-64,34.3,90.6,202,106
"67",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68"," 1. Consists largely of contributions for social insurance by residents of U.S. territories and Puerto Rico.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69"," 2. These transactions are included in the NIPA personal sector.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70"," 3. Consists of estate and gift taxes.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71"," 4. Consists largely of U.S. Treasury receipts from sales of foreign currencies to Government agencies.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72"," 5. Taxes received from the rest of the world are included in receipts in the budget and netted against expenditures (transfer ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","payments) in the NIPA's.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74"," 6. Includes proprietary receipts that are netted against outlays in the budget and classified as receipts in the NIPA's.  Also ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","includes some",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","transactions that are not reflected in the budget data but are added to both receipts and expenditures in the NIPA's.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77"," 7. Consists largely of transfer payments, subsidies, and grants-in-aid to residents of U.S. territories and Puerto Rico.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78"," 8. Consists of transactions (not included in the budget totals) that record all cash flows arising from post-1991 direct",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","loan obligations and loan guarantee commitments.  Many of these flows are for new loans or loan repayments; consequently,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","related entries are included in line 32.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81"," 9. Consists largely of agencies or accounts such as the Postal Service and the Federal Financing Bank that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","were not included in the budget in some time periods.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83"," 10. Net investment is gross investment less consumption of fixed capital for government enterprises and general government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84"," 11. Consists of investment grants to State and local governments and maritime construction subsidies.  Does not include the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","forgiveness of debts owed by foreign governments to the U.S. Government; this forgiveness is classified as a capital transfer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","paid by the United States and is excluded from both budget outlays and NIPA current expenditures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87"," 12. Consists of net sales of land other than the Outer Continental Shelf and, beginning with 1995, includes the auction of the ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","radio spectrum.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89"," 13. Consists largely of net expenditures of foreign currencies.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","  Note.  Through 1976, fiscal year estimates reflect a July 1-June 30 Federal fiscal year.  Beginning with 1977, fiscal year",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
