"","Table 2#3#3# Real Personal Consumption Expenditures by Major Typ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81"
"11","4","  Furniture and household equipment","B166RA3",2.735,2.456,2.244,1.819,1.668,1.819,2.064,2.572,2.687,2.421,2.736,3.027,3.551,2.929,2.211,1.9,2.099,3.889,4.521,4.717,4.637,5.558,5.275,5.365,5.634,5.753,6.477,6.774,6.581,6.48,6.974,6.89,7.015,7.458,8.025,9.04,9.898,11.165,11.689,12.438,12.764,12.905,13.419,14.86,16.483,16.658,16.276,17.357,18.851,19.958,21.083,20.714,20.737,20.297,23.064,25.82,28.085,31.606,33.858,36.171,38.08,38.306,38.698,40.83,45.089,50.1,55.389,61.798,69.117,78.19,89.717,100,106.038,116.426,127.124,142.244,157.295,176.051
"12","5","  Other","B167RA3",3.239,2.911,2.361,1.788,1.544,1.858,2.134,2.423,2.929,2.843,3.025,3.238,3.809,3.986,4.666,4.78,5.415,7.066,6.725,6.776,6.409,6.785,6.947,7.35,7.687,8.064,8.899,9.554,9.747,9.912,10.468,10.35,10.313,11.012,11.707,13.056,14.453,17.204,17.979,19.588,20.464,21.491,21.841,24.648,27.662,28.503,29.619,31.918,34.223,36.497,37.929,35.118,35.572,35.018,37.036,42.355,44.432,48.873,52.01,54.838,55.961,56.577,54.149,55.049,59.168,63.602,67.838,72.988,77.658,83.927,92.555,100,99.552,105.169,111.804,119.046,125.4,130.511
"13","6","Nondurable goods","B004RA3",15.102,14.394,14.323,13.153,12.956,14.066,14.907,16.655,17.251,17.492,18.397,19.218,20.512,20.867,21.559,22.413,24.02,25.331,24.643,24.726,25.108,25.892,26.572,27.627,28.494,28.853,30.25,31.281,31.857,32.164,33.491,33.994,34.621,35.71,36.463,38.248,40.277,42.487,43.157,45.126,46.326,47.436,48.294,50.422,52.068,51.02,51.771,54.301,55.609,57.687,59.226,59.137,59.839,60.409,62.417,64.898,66.665,69.06,70.715,73.016,75.044,76.209,76.033,77.553,79.619,82.369,84.152,86.3,88.605,92.154,96.374,100,102.027,104.614,108.002,111.833,115.828,120.051
"14","7","  Food","B168RA3",18.429,18.116,18.203,17.072,17.332,19.12,20.193,22.97,24.055,24.514,25.202,26.352,27.717,28.342,29.091,31.188,33.531,35.109,33.837,33.4,33.636,34.263,35.21,36.365,37.737,38.459,40.093,41.375,42.217,42.211,43.695,44.021,44.52,45.088,45.596,47.406,50.043,52.121,52.789,55.355,56.776,58.534,59.084,60.973,61.162,60.201,61.695,64.897,66.144,66.831,68.147,68.719,68.798,69.9,71.907,73.464,75.248,76.956,78,81.061,82.54,84.782,84.669,85.166,86.704,88.832,89.4,90.223,91.362,93.557,96.586,100,101.63,103.186,105.676,109.109,113.489,118.012
"15","8","  Clothing and shoes","B169RA3",12.224,10.993,10.834,9.628,8.644,9.12,9.87,10.741,10.637,10.789,11.65,12.029,12.933,13.484,14.712,14.235,14.712,15.051,14.378,14.518,14.587,14.95,14.888,15.696,15.853,15.879,16.658,17.098,16.982,17.149,18.029,18.19,18.531,19.368,19.715,21.271,22.146,23.64,23.775,24.775,25.221,24.907,26.105,27.859,29.81,29.391,30.392,31.831,33.555,36.896,38.822,39.748,42.175,42.831,46.004,49.909,52.234,56.417,58.44,60.193,63.633,63.2,63.401,66.919,69.659,73.393,76.377,80.176,82.619,88.373,94.95,100,102.027,106.899,112.272,117.798,125.151,131.374
"16","9","  Gasoline, fuel oil, and other energy goods","A173RA3",17.299,17.199,16.8,15.747,16.116,16.945,17.802,19.243,20.013,19.781,21.214,22.626,24.461,21.055,17.206,17.317,20.233,28.477,30.171,31.332,31.391,32.987,34.734,36.203,37.121,38.158,41.192,42.948,44.008,45.979,47.091,47.764,47.573,49.085,50.804,53.398,55.916,58.974,60.464,63.032,65.75,68.223,70.558,74.115,78.405,72.073,73.589,77.618,79.045,80.401,78.46,71.605,70.708,70.743,72.128,74.061,75.446,79.003,80.734,82.963,84.303,82.748,81.849,85.02,87.153,88.608,90.334,92.008,93.826,97.293,100.619,100,100.997,103.112,103.687,105.053,104.047,103.734
"17","10","    Gasoline and oil","B170RA3",8.224,8.303,8.646,7.967,7.981,8.506,9.021,9.747,10.49,10.793,11.501,12.191,13.599,10.25,6.503,6.708,8.837,16.039,17.066,18.153,19.739,20.469,22.25,24.085,25.415,26.223,28.505,30.229,31.393,32.884,34.573,35.757,36.126,37.658,38.815,40.94,42.874,45.549,47.029,50.304,53.686,57.009,59.77,62.206,65.44,62.217,64.07,66.633,68.675,70.258,69.315,65.358,66.349,67.176,68.676,70.833,72.225,75.734,77.762,79.81,81.515,80.75,79.862,83.093,85.204,86.338,87.935,89.888,92.666,96.941,100.351,100,101.481,103.572,104.268,106.264,105.935,106.369
"18","11","    Fuel oil and coal","B171RA3",169.715,165.821,150.486,144.027,151.501,156.564,162.428,175.678,173.918,161.382,174.839,188.227,194.016,199.405,203.139,201.089,214.767,230.996,243.298,244.478,215.671,231.757,231.241,224.728,217.19,221.423,235.317,235.791,233.795,242.691,231.845,222.035,211.377,210.891,221.303,229.973,240.756,247.751,247.861,234.688,222.384,206.904,199.85,219.748,238.575,188.26,184.752,207.526,200.876,199.313,185.199,143.173,120.134,111.45,111.609,111.153,112.489,116.652,115.124,119.422,116.531,105.816,104.79,107.255,109.637,114.914,118.175,116.468,107.038,101.32,103.68,100,95.771,98.148,97.415,91.972,83.706,75.556
"19","12","  Other","B172RA3",8.11,7.405,7.322,6.505,6.413,7.017,7.357,8.143,8.573,8.672,9.455,9.857,10.891,11.6,12.581,13.142,14.252,14.282,14.195,14.771,15.816,16.977,17.738,18.531,19.245,19.137,20.088,20.984,21.742,22.178,23.527,24.584,25.866,27.738,28.951,30.277,32.099,34.655,35.623,37.148,38.216,39.454,39.727,41.803,44.594,44.493,43.003,44.639,45.306,48.58,51.374,52.23,53.332,53.046,54.267,57.443,58.845,60.515,62.925,64.277,66.351,67.745,67.424,68.695,71.131,74.637,77.719,81.25,85.696,90.295,95.447,100,103.075,106.422,111.325,115.981,119.937,125.015
"20","13","Services","B005RA3",8.399,8.19,7.93,7.431,7.213,7.488,7.721,8.104,8.38,8.289,8.541,8.848,9.296,9.716,10.252,10.598,10.947,11.947,12.451,12.927,13.26,13.925,14.639,15.283,15.933,16.578,17.448,18.323,19.03,19.752,20.794,21.72,22.626,23.747,24.83,26.345,27.749,29.129,30.552,32.148,33.691,35.038,36.4,38.469,40.274,41.216,42.743,44.475,46.392,48.558,50.044,50.921,51.773,52.865,55.76,58.026,61.303,63.111,65.843,68.506,70.555,72.583,73.812,76.379,78.54,80.854,82.973,85.42,88.27,92.011,95.652,100,102.403,104.366,106.363,109.726,112.687,115.696
"21","14","  Housing","B174RA3",7.778,7.681,7.599,7.454,7.315,7.723,7.797,7.931,8.066,8.189,8.381,8.639,9.134,9.583,9.969,10.363,10.606,11.516,12.502,13.179,13.993,14.951,16.039,17.072,17.984,18.854,19.799,20.781,21.844,22.866,24.104,25.368,26.596,28.102,29.404,30.817,32.527,34.015,35.556,37.358,39.367,40.815,42.621,45.08,47.354,49.827,51.282,52.841,54.153,56.787,59.086,60.905,62.496,62.758,64.075,66.834,69.467,71.301,73.513,75.815,77.778,79.703,81.48,82.74,83.637,86.375,88.185,89.533,91.656,94.276,97.228,100,102.71,103.54,104.515,107.683,111.113,114.098
"22","15","  Household operation","B186RA3",7.836,7.852,7.574,6.991,6.689,7.152,7.474,7.973,8.42,8.318,8.797,9.295,9.563,10.161,10.07,10.402,10.856,11.203,12.011,12.596,13.079,14.228,15.138,15.59,16.329,16.954,18.623,19.924,20.702,21.421,22.318,23.402,24.233,25.414,26.489,27.77,29.165,30.646,32.199,33.575,35.329,36.587,37.207,39.172,41.111,41.566,43.5,45.281,47.666,50.199,51.745,53.097,52.598,53.024,54.72,56.141,58.43,59.428,62.138,64.962,67.637,68.28,69.173,71.11,74.612,77.751,80.204,83.892,87.247,91.535,95.326,100,100.22,100.793,102.225,104.725,106.752,105.845
"23","16","    Electricity and gas","B175RA3",3.953,4.279,4.443,4.452,4.295,4.473,4.695,4.964,5.261,5.437,5.693,6.145,6.433,6.883,7.141,7.579,8.095,9.164,10.337,11.418,12.395,14.09,15.792,17.177,18.498,20.306,21.875,23.823,25.327,26.73,28.302,29.858,31.386,33.556,35.164,37.059,38.831,40.986,43.294,45.785,48.546,50.84,52.422,55.467,57.07,57.765,61.004,63.185,66.288,69.193,69.684,71.635,70.42,71.311,73.399,73.85,75.849,75.04,77.67,81.588,83.32,81.927,84.497,84.036,88.474,89.862,90.826,94.025,93.321,95.379,96.401,100,98.32,101.091,102.929,104.072,106.934,103.643
"24","17","    Other household operation","B176RA3",10.412,10.095,9.388,8.256,7.857,8.545,8.906,9.551,10.067,9.693,10.311,10.762,10.962,11.605,11.245,11.472,11.855,11.755,12.318,12.608,12.803,13.61,14.074,14.049,14.475,14.517,16.149,17.079,17.483,17.851,18.394,19.207,19.681,20.355,21.134,22.073,23.219,24.323,25.461,26.295,27.528,28.293,28.498,29.898,31.814,32.14,33.393,34.907,36.855,39.121,41.179,42.182,42.117,42.255,43.732,45.817,48.333,50.468,53.246,55.436,58.682,60.533,60.443,63.785,66.752,70.918,74.221,78.189,83.867,89.41,94.722,100,101.373,100.591,101.774,105.14,106.605,107.421
"25","18","  Transportation","B177RA3",10.03,8.862,7.879,6.96,6.947,7.358,7.56,8.439,8.909,8.52,9.19,9.802,10.919,11.798,14.376,15.6,16.815,19.836,19.601,19.631,18.862,18.661,20.336,20.582,21.168,20.873,21.744,22.566,22.96,22.589,23.507,24.28,24.592,25.506,26.61,27.97,29.16,30.807,32.509,34.464,36.336,37.339,38.665,41.062,42.217,42.542,42.939,44.223,47.395,48.951,50.411,47.907,46.503,45.907,48.878,53.564,58.445,60.671,63.109,66.269,67.219,67.189,63.98,66.677,69.513,74.978,79.578,84.978,90.367,93.39,97.305,100,98.872,96.217,96.344,97.702,98.817,99.981
"26","19","  Medical care","B494RA3",5.323,5.207,5.13,4.824,4.449,4.57,4.621,4.93,5.094,5.014,5.3,5.472,5.759,6.061,6.143,6.584,6.696,7.72,8.246,9.034,9.396,9.961,10.483,10.994,11.539,12.285,12.75,13.571,14.361,15.338,16.479,17.145,17.889,19.447,20.705,23.034,24.095,25.35,26.354,28.425,30.424,32.054,34.134,36.477,39.081,40.477,42.549,44.512,46.663,48.892,50.897,52.745,55.379,56.192,58.505,60.192,62.665,65.241,68.604,72.017,73.953,77.679,80.299,84.108,85.429,86.393,88.273,89.84,91.819,94.532,96.315,100,104.717,110.696,114.993,118.476,122.536,126.634
"27","20","  Recreation","A490RA3",7.041,6.991,6.824,5.577,5.332,5.759,6.104,6.697,7.133,6.761,6.959,7.516,7.92,8.58,9.168,9.039,9.586,11.086,10.516,10.223,10.056,10.049,10.133,10.303,10.416,10.637,11.122,11.652,11.334,11.285,12.016,12.699,13.324,14.013,14.62,15.167,15.578,16.325,16.755,17.805,18.808,19.568,20.286,21.336,23.086,24.714,26.062,27.91,29.652,31.073,32.537,34.087,37.086,39.687,42.677,44.825,48.113,49.939,51.862,56.674,60.696,63.593,63.971,68.576,72.834,76.341,81.706,85.227,87.843,91.309,96.106,100,102.471,104.821,108.408,113.695,116.141,119.76
"28","21","  Other","B178RA3",12.9,12.491,11.931,10.972,10.671,10.496,11.089,11.639,12.003,11.711,11.734,11.871,12.252,12.303,13.19,13.279,13.534,14.296,14.503,14.81,14.863,15.399,15.511,16.141,16.667,17.42,18.131,18.799,19.411,20.199,21.164,21.876,22.821,23.316,24.164,25.757,27.463,28.878,30.66,31.808,32.395,33.726,34.592,36.244,36.983,36.122,37.425,39.135,40.808,42.598,42.776,42.514,41.919,44.511,50.065,52.034,56.707,58.05,61.04,62.531,64.256,65.742,66.735,69.054,71.982,73.597,74.473,77.241,80.835,86.89,92.777,100,101.52,102.18,103.106,106.949,109.277,113.106
"29",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","22","  Energy goods and services \1\","BA02RA3",10.96,11.141,11.075,10.595,10.648,11.165,11.726,12.598,13.168,13.175,14.035,15.019,16.097,14.72,12.97,13.291,15.073,19.91,21.436,22.603,23.105,24.79,26.557,28.017,29.14,30.55,32.957,34.83,36.104,37.842,39.183,40.276,40.882,42.729,44.427,46.742,48.958,51.649,53.522,56.082,58.845,61.264,63.291,66.667,69.784,66.425,68.663,71.923,74.103,76.168,75.252,71.739,70.725,71.09,72.77,74.056,75.717,77.191,79.377,82.448,83.982,82.499,83.187,84.667,87.898,89.322,90.685,93.082,93.717,96.505,98.713,100,99.806,102.227,103.377,104.647,105.199,103.736
"31","23","  Personal consumption expenditures excluding food and energy","BA03RA3",8.113,7.524,7.181,6.446,6.203,6.578,7.007,7.623,7.862,7.593,8.104,8.532,9.216,8.874,9.267,9.331,9.789,11.247,11.734,12.171,12.632,13.69,13.768,14.164,14.909,15.178,16.468,16.875,17.299,17.417,18.572,19.223,19.696,20.94,22.022,23.507,25.087,26.641,27.563,29.247,30.404,30.986,32.458,34.749,36.937,36.896,37.682,39.825,41.836,44.149,45.457,45.434,46.422,47.102,50.341,53.609,56.911,59.559,61.826,64.358,66.355,67.804,67.931,70.611,73.167,76.194,78.609,81.707,85.334,90.144,95.18,100,102.858,105.898,108.984,113.196,116.876,120.689
"32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","1. Consists of gasoline, fuel oil, and other energy goods and of electricity and gas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
