"","Table 5#3#2# Contributions to Percent Change in Real Private Fix","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62"
"17","8","    Other structures \1\","W004RZ2",-0.01,0.08,-0.09,-0.14,0.03,0.24,0.34,0.02,-0.06,0,0.27,0.67,0.69,-0.16,0.14,0.37,0.61,0.8,0.25,-0.14,-0.76,-0.04,-0.32,-0.32,0.05,0.34,-0.37,-0.51,0.21,0.22,0.49,0.37,-0.12,-0.13,-0.22,0.22,0.71,0.43,-0.27,0.25,-0.31,0.09,0.25,-0.58,-0.3,0.29,-0.08,0.41,0.65,0.55,0.24,0.03,0.12,-0.2,-0.68,-0.17,0.08,-0.17,0.16
"18","9","  Equipment and software","B010RZ2",2.25,-5.07,4.13,1.07,-1.14,3.52,-2.23,5.1,0.99,1.02,-6.03,4.6,1.61,-0.76,4.47,3.31,5.02,7.34,6.77,-0.3,2.86,3.97,-0.45,0.45,5.35,7.41,1.09,-4.42,2.97,6.88,6.84,3.92,-1.63,1.97,-2.4,2.53,9.09,2.94,0.88,0.63,3.46,3.46,0.02,-1.27,3.75,6.4,6.2,6.24,5.7,7.31,7.11,6.77,5.06,-2.62,-3.16,1.38,3.51,4.39,2.68
"19","10","    Information processing equipment and software","A679RZ2",0.13,-0.45,0.44,0.38,0.63,0.48,-0.49,0.65,0.68,0.66,-0.6,0.53,1.21,0.61,0.77,1.29,1.07,1.39,2.43,0.65,0.6,1.91,1.25,0.72,1.46,1.7,1.44,-0.04,1.61,2.43,3.23,2.38,2,2.17,1.07,2.71,4.62,2.01,1.45,1.13,2.05,2.62,1.07,1.05,3.43,3.03,2.87,3.85,4.52,5.4,5.27,5.18,4.49,-0.5,-1.22,1.44,2.21,2.18,1.64
"20","11","      Computers and peripheral equipment","B935RZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.26,0.18,0.26,0.78,0.39,0.45,1.02,0.47,0.3,0.54,0.37,0.53,0.8,0.13,0.46,0,0.64,0.7,1.39,1,1.06,1.3,0.68,1.7,2.4,1.12,0.65,1.07,0.64,0.98,-0.06,0.37,1.61,1.35,1.17,2.36,2.33,2.41,2.42,2.25,1.22,0.14,0.23,0.6,0.51,1.06,0.72
"21","12","      Software \2\","B985RZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16,0.06,0.08,0.27,0.12,0.15,0.33,0.15,0.12,0.34,0.33,0.09,0.24,0.19,0.23,0.28,0.17,0.08,0.28,0.37,0.3,0.32,0.33,0.47,0.75,0.56,0.38,0.48,0.72,1.19,0.86,0.74,1.13,0.8,0.66,0.65,1.15,2.05,1.52,1.86,1.19,-0.14,-0.25,0.47,0.93,0.61,0.34
"22","13","      Other \3\","A937RZ2",0.13,-0.45,0.44,0.38,0.63,0.48,-0.49,0.65,0.68,0.66,-0.61,0.49,0.79,0.37,0.43,0.23,0.56,0.79,1.08,0.03,0.18,1.03,0.54,0.09,0.43,1.39,0.75,-0.32,0.8,1.65,1.55,1.01,0.63,0.54,0.07,0.54,1.47,0.33,0.42,-0.42,0.69,0.46,0.26,-0.07,0.7,0.89,1.04,0.84,1.04,0.93,1.32,1.07,2.07,-0.49,-1.2,0.36,0.78,0.51,0.59
"23","14","    Industrial equipment","A680RZ2",-0.97,-2.53,1.47,1.16,0.44,1.2,0.38,-0.1,1.21,0.17,-2.32,0.19,0.9,-0.66,0.6,0.91,1.48,2.1,1.89,0.06,-0.28,0.86,0.18,-1.1,0.89,1.94,0.87,-2.05,0.07,0.75,1.31,0.83,-0.52,-0.2,-1.04,-0.94,1.49,0.47,-0.05,-0.26,0.51,0.73,-0.65,-0.7,0.21,0.93,0.98,1.08,0.43,0.24,0.39,-0.02,0.72,-0.81,-0.68,0.25,-0.27,0.58,0.28
"24","15","    Transportation equipment","A681RZ2",0.56,-0.08,1.54,-0.52,-2.32,2.1,-1.52,2.89,-1.21,0.75,-3.23,3.08,0.33,-0.62,2.47,-0.38,1.39,2.72,1.19,-0.41,2.42,0.53,-2.31,0.86,1.73,2.18,-1.1,-1.54,1.2,2.35,1.22,0.5,-2.08,-0.27,-1.06,1.12,1.8,0.38,-0.38,-0.47,0.49,-0.91,-0.04,-0.23,0.16,1.63,1.65,0.85,0.42,0.86,0.72,1.54,-0.44,-1.06,-1.02,-0.79,1.07,0.85,0.54
"25","16","    Other equipment \4\","A862RZ2",2.53,-2.02,0.68,0.05,0.11,-0.26,-0.6,1.66,0.31,-0.55,0.14,0.8,-0.83,-0.09,0.62,1.5,1.08,1.12,1.26,-0.6,0.13,0.66,0.42,-0.03,1.27,1.58,-0.13,-0.8,0.1,1.35,1.08,0.21,-1.03,0.27,-1.38,-0.35,1.18,0.08,-0.15,0.23,0.41,1.01,-0.36,-1.39,-0.05,0.81,0.69,0.46,0.33,0.81,0.74,0.07,0.29,-0.26,-0.24,0.48,0.49,0.77,0.23
"26","17","Residential","A011RZ2",6.67,-2.78,13.65,-6.88,-0.66,1.3,2.94,6.14,-3.13,-2.08,0.33,8.73,-2.68,0.1,3.37,4.15,2.12,-1.04,-2.83,-0.87,3.74,0.87,-1.72,7.57,5.88,-0.23,-6.81,-3.58,6.26,6.51,2.08,-1.18,-6.31,-2.02,-4.1,8.32,4.02,0.43,3.26,0.6,-0.31,-0.91,-2.44,-2.54,3.56,2.31,2.78,-0.95,2.2,0.53,2.06,1.65,0.21,0.1,1.37,2.74,3.52,2.46,-1.75
"27","18","  Structures","A012RZ2",6.63,-2.73,13.46,-6.83,-0.65,1.26,2.92,6.04,-3.2,-2.09,0.29,8.61,-2.64,0.09,3.33,4.07,2.07,-1.11,-2.84,-0.88,3.62,0.78,-1.78,7.48,5.73,-0.32,-6.83,-3.53,6.22,6.43,2.02,-1.24,-6.31,-2.02,-4.07,8.24,3.94,0.37,3.2,0.57,-0.34,-0.91,-2.42,-2.51,3.53,2.29,2.77,-0.95,2.2,0.53,2.03,1.61,0.19,0.09,1.36,2.71,3.48,2.44,-1.76
"28","19","    Permanent site","A943RZ2",5.61,-1.47,12.75,-6.69,-1.59,0.87,2.54,5.02,-3.84,-2.17,0.55,6.49,-3.07,-0.13,3.26,3.25,1.71,-1.1,-2.71,-0.87,3.2,0.59,-1.88,6.28,4.83,-0.12,-6.6,-4.26,4.84,5.42,1,-1.35,-5.62,-1.11,-2.82,6.87,2.94,-0.22,1.91,0.25,-0.68,-0.44,-1.64,-2.16,2.38,1.09,1.96,-1.14,1.46,0.09,1.45,1.18,0.13,0.09,0.69,1.9,2.48,1.8,-1.58
"29","20","      Single family","A944RZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.47,-2.59,-1.03,1.25,1.24,1.76,-0.42,-1.81,-0.28,1.42,-0.75,-1.74,4.55,2.9,-0.37,-3.58,-1.08,4.93,4.6,0.62,-2.04,-5.25,-0.98,-2.21,5.76,2.06,-0.11,1.79,1.14,-0.19,-0.43,-1.3,-1.64,2.67,1.39,1.63,-1.47,1.29,-0.05,1.47,1.04,0.16,0.02,0.59,1.84,2.31,1.58,-1.66
"30","21","      Multifamily","C292RZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.02,-0.48,0.91,2.01,2.01,-0.05,-0.68,-0.9,-0.59,1.78,1.34,-0.14,1.73,1.93,0.25,-3.02,-3.18,-0.09,0.82,0.38,0.69,-0.37,-0.13,-0.6,1.11,0.88,-0.11,0.12,-0.89,-0.49,-0.01,-0.33,-0.52,-0.29,-0.3,0.34,0.33,0.17,0.13,-0.02,0.14,-0.03,0.07,0.1,0.06,0.17,0.22,0.08
"31","22","    Other structures \5\","A863RZ2",1.02,-1.26,0.7,-0.14,0.94,0.4,0.38,1.02,0.64,0.09,-0.26,2.13,0.44,0.22,0.07,0.82,0.36,-0.01,-0.13,-0.01,0.42,0.19,0.09,1.2,0.9,-0.2,-0.22,0.73,1.38,1.01,1.02,0.1,-0.69,-0.91,-1.25,1.38,1,0.6,1.3,0.32,0.34,-0.47,-0.79,-0.35,1.15,1.2,0.81,0.19,0.75,0.45,0.58,0.43,0.05,0,0.67,0.81,0.99,0.65,-0.18
"32","23","  Equipment","B013RZ2",0.03,-0.05,0.19,-0.06,0,0.04,0.02,0.09,0.07,0,0.04,0.11,-0.05,0,0.04,0.08,0.05,0.07,0.01,0.01,0.11,0.09,0.06,0.09,0.15,0.09,0.01,-0.05,0.04,0.07,0.06,0.06,0,0,-0.03,0.08,0.08,0.05,0.06,0.03,0.03,0,-0.02,-0.03,0.02,0.01,0,0.01,0,0,0.03,0.04,0.02,0,0.02,0.03,0.05,0.02,0.02
"33",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","24","  Private fixed investment in structures","A349RZ2",7.84,-3.46,15.11,-5.23,-0.74,3.43,3.77,7.83,-0.68,-2.1,-1.18,9.26,-0.71,0.44,4.52,4.36,4.58,2.8,-1.05,-1.56,4.01,2.17,-1.71,7.03,6.52,1.64,-7.35,-6.25,6.85,7.43,5.21,1.66,-4.88,0.26,-4.6,4.69,7.72,2.27,0.23,-0.11,-0.19,-0.45,-2.08,-5.18,2.17,2.14,3.11,0.21,3.27,1.91,3.03,1.53,1.44,-0.34,-2.06,1.98,3.7,2.52,-0.33
"35","25","  Private fixed investment in equipment and software","A327RZ2",2.28,-5.12,4.32,1.01,-1.14,3.56,-2.21,5.2,1.06,1.02,-5.99,4.71,1.56,-0.76,4.51,3.39,5.07,7.41,6.78,-0.29,2.98,4.06,-0.39,0.54,5.5,7.5,1.1,-4.48,3.02,6.95,6.9,3.98,-1.63,1.97,-2.43,2.61,9.17,3,0.93,0.66,3.49,3.46,-0.01,-1.3,3.77,6.41,6.21,6.25,5.7,7.3,7.14,6.81,5.08,-2.62,-3.15,1.41,3.56,4.41,2.7
"36","26","  Private fixed investment in new structures \6\","W040RZ2",8.8,-3.06,15.08,-5.2,-0.94,3.46,3.54,7.41,-0.11,-1.82,-0.99,8.46,-0.58,0.6,4.28,3.91,4.56,2.71,-0.82,-1.54,3.78,2.18,-1.69,6.69,6.2,1.49,-7.36,-6.65,6.3,6.88,4.93,1.74,-4.27,0.72,-4.26,3.95,7.52,2.02,0.05,-0.08,-0.5,-0.22,-1.88,-5.24,1.92,2.08,2.89,0.15,2.93,1.56,2.67,1.3,1.32,-0.54,-2.16,1.47,2.86,2.13,0.26
"37","27","    Nonresidential structures","A771RZ2",1.86,-0.44,1.78,1.69,-0.1,2.16,0.84,1.42,2.97,-0.11,-1.48,0.79,1.97,0.45,1.31,0.29,2.47,3.74,1.67,-0.76,0.38,1.4,0.14,-0.38,0.79,1.92,-0.55,-2.71,0.65,0.94,3.16,2.93,1.45,2.3,-0.54,-3.52,3.76,1.88,-2.96,-0.68,0.13,0.47,0.37,-2.65,-1.36,-0.17,0.32,1.15,1.03,1.29,1.07,-0.08,1.24,-0.6,-3.18,-0.73,0.18,0.05,1.44
"38","28","    Residential structures","A756RZ2",6.94,-2.61,13.3,-6.89,-0.84,1.29,2.7,6,-3.07,-1.72,0.49,7.66,-2.55,0.15,2.97,3.62,2.09,-1.03,-2.49,-0.78,3.4,0.78,-1.83,7.07,5.41,-0.43,-6.81,-3.94,5.65,5.93,1.77,-1.19,-5.72,-1.58,-3.72,7.48,3.75,0.14,3.02,0.6,-0.63,-0.69,-2.25,-2.59,3.29,2.25,2.57,-1,1.9,0.27,1.6,1.38,0.08,0.05,1.02,2.2,2.68,2.07,-1.18
"39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","1. Consists primarily of religious, educational, vocational, lodging, railroads, farm, and amusement and recreational",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","structures, net purchases of used structures, and brokers' commissions on the sale of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2. Excludes software ""embedded,'' or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","3. Includes communication equipment, nonmedical instruments, medical equipment and instruments, photocopy and related",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","equipment, and office and accounting equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","4. Consists primarily of furniture and fixtures, agricultural machinery, construction machinery, mining and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","oilfield machinery, service industry machinery, and electrical equipment not elsewhere classified.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","5. Consists primarily of manufactured homes, improvements, dormitories, net purchases",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","of used structures, and brokers' commissions on the sale of residential structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","6. Excludes net purchases of used structures and brokers' commissions on the sale of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
