"","Table 7#14# Relation of Nonfarm Proprietors' Income in the Natio","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51"
"11","4","      Depletion on domestic minerals","B1202C1",0.2,0.4,0.2,0.2,0.2,0.3,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.9,0.8,0.7,0.8,0.8,1.2,1.3,1.5,2.2,1.6,1.3,1.5,1.4,1,1,1,1.2,1,0.9,0.8,0.8,0.8,0.9,0.9,0.7,0.8,1.1,1.1,1,1.1,1.5,1.9,"....."
"12","5","      Adjustment to depreciate expenditures for mining exploration, shafts, and wells","B1203C1",0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0.2,0.7,0.7,1.5,2.2,1.7,4,8.7,7.7,1.2,-0.9,-1.9,-2.5,-2.4,-2.1,-1.1,-1.1,-2.6,-1.8,-1.2,0.8,0.8,0.7,2.9,4.1,1.2,0.9,4.1,3.1,5.7,5.5,8.8,"....."
"13","6","      Bad debt expense","B1205C1",0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.6,0.5,0.5,0.6,0.7,0.7,0.7,0.8,0.8,0.9,1,1.1,1.1,1.2,1.1,1.4,1.9,2,2.3,2.8,4.5,3.8,3.9,3.7,3.6,4.6,6.1,6.9,8.3,9.5,10.8,13.4,15.2,13.5,14,15.3,"....."
"14","7","      Income received by fiduciaries","B1206C1",0.2,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.7,0.8,0.9,0.9,0.9,1,1,1.1,1.1,1.1,1.2,1.2,1.2,1.3,1.4,1.3,1.4,1.4,1.5,"....."
"15","8","      Income of tax-exempt cooperatives","B1207C1",0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.7,0.7,0.7,0.8,0.9,0.9,1,1.1,1.1,1.2,1.3,1.6,1.9,1.6,1.6,2.2,2.5,2.6,2.2,2.5,2.6,2.6,3.1,3.2,3,3.3,2.6,2,1.9,2,1.8,1.8,2.9,3.1,"....."
"16","9","Equals: Nonfarm proprietors' income, NIPAs","B046RC1",40.3,40,42,44.1,45.5,49.5,52.2,55.7,58.7,63.4,65.5,66.6,72.6,79.9,86.6,93.8,99.5,116.6,131.3,149.1,160.2,164.2,159.5,156.7,170.9,198.3,209,214.8,239.1,279.1,294.5,322.4,327.1,366.4,393,414.2,445.2,475.4,500.7,553.4,595.2,641.8,657,646.3,658,750,853.6,"888.8"
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","1. Consists largely of an adjustment to expense all meals and entertainment, of oilwell bonus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","payments written off, of adjustments for corporate partners and statutory employees, of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","interest income, and of margins on owner-built housing.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","IRS Internal Revenue Service",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
